00007ff81b8b9805 (__TEXT,__text) non-external +[CalAlarm alarm]
00007ff81b8baf50 (__TEXT,__text) non-external -[CalAttendee ekParticipant]
00007ff81b8babee (__TEXT,__text) non-external -[CalAttendee hash]
00007ff81b8bab5c (__TEXT,__text) non-external -[CalAttendee initWithEKParticipant:]
00007ff81b8bac04 (__TEXT,__text) non-external -[CalAttendee isEqual:]
00007ff81b8baf5a (__TEXT,__text) non-external -[CalAttendee setEkParticipant:]
00007ff81b8ba8dd (__TEXT,__text) non-external -[CalAttendee status]
00007ff81b8bf782 (__TEXT,__text) non-external -[CalCalendar .cxx_destruct]
00007ff81b8ba105 (__TEXT,__text) non-external -[CalCalendar color]
00007ff81b8bf6fd (__TEXT,__text) non-external -[CalCalendar copyWithZone:]
00007ff81b8b9f63 (__TEXT,__text) non-external -[CalCalendar description]
00007ff81b8bf767 (__TEXT,__text) non-external -[CalCalendar ekCalendar]
00007ff81b8bf234 (__TEXT,__text) non-external -[CalCalendar hash]
00007ff81b8bf160 (__TEXT,__text) non-external -[CalCalendar initWithEKCalendar:]
00007ff81b8bf065 (__TEXT,__text) non-external -[CalCalendar init]
00007ff81b8b9260 (__TEXT,__text) non-external -[CalCalendar isEditable]
00007ff81b8bf24a (__TEXT,__text) non-external -[CalCalendar isEqual:]
00007ff81b8ba0ba (__TEXT,__text) non-external -[CalCalendar notes]
00007ff81b8bf208 (__TEXT,__text) non-external -[CalCalendar setColor:]
00007ff81b8bf771 (__TEXT,__text) non-external -[CalCalendar setEkCalendar:]
00007ff81b8bf21e (__TEXT,__text) non-external -[CalCalendar setNotes:]
00007ff81b8bf1f2 (__TEXT,__text) non-external -[CalCalendar setTitle:]
00007ff81b8ba0a4 (__TEXT,__text) non-external -[CalCalendar title]
00007ff81b8ba11b (__TEXT,__text) non-external -[CalCalendar type]
00007ff81b8b9276 (__TEXT,__text) non-external -[CalCalendar uid]
00007ff81b8c4491 (__TEXT,__text) non-external -[CalCalendarItem .cxx_destruct]
00007ff81b8c3417 (__TEXT,__text) non-external -[CalCalendarItem addAlarm:]
00007ff81b8c350b (__TEXT,__text) non-external -[CalCalendarItem addAlarms:]
00007ff81b8b9c4d (__TEXT,__text) non-external -[CalCalendarItem alarms]
00007ff81b8b9be3 (__TEXT,__text) non-external -[CalCalendarItem calendar]
00007ff81b8c43f1 (__TEXT,__text) non-external -[CalCalendarItem copyWithZone:]
00007ff81b8b9b8b (__TEXT,__text) non-external -[CalCalendarItem dateStamp]
00007ff81b8b9a16 (__TEXT,__text) non-external -[CalCalendarItem description]
00007ff81b8c445b (__TEXT,__text) non-external -[CalCalendarItem ekCalendarItem]
00007ff81b8c33b7 (__TEXT,__text) non-external -[CalCalendarItem hasAlarm]
00007ff81b8c43db (__TEXT,__text) non-external -[CalCalendarItem hash]
00007ff81b8c321b (__TEXT,__text) non-external -[CalCalendarItem initWithEKCalendarItem:]
00007ff81b8c3984 (__TEXT,__text) non-external -[CalCalendarItem isEqual:]
00007ff81b8c33cd (__TEXT,__text) non-external -[CalCalendarItem nextAlarmDate]
00007ff81b8b9bb7 (__TEXT,__text) non-external -[CalCalendarItem notes]
00007ff81b8c3635 (__TEXT,__text) non-external -[CalCalendarItem removeAlarm:]
00007ff81b8c3685 (__TEXT,__text) non-external -[CalCalendarItem removeAlarms:]
00007ff81b8c37af (__TEXT,__text) non-external -[CalCalendarItem setAlarms:]
00007ff81b8c3367 (__TEXT,__text) non-external -[CalCalendarItem setCalendar:]
00007ff81b8c4465 (__TEXT,__text) non-external -[CalCalendarItem setEkCalendarItem:]
00007ff81b8c33d5 (__TEXT,__text) non-external -[CalCalendarItem setNotes:]
00007ff81b8c3401 (__TEXT,__text) non-external -[CalCalendarItem setTitle:]
00007ff81b8c4480 (__TEXT,__text) non-external -[CalCalendarItem setUnsavedRelateToDictionary:]
00007ff81b8c33eb (__TEXT,__text) non-external -[CalCalendarItem setUrl:]
00007ff81b8c40e9 (__TEXT,__text) non-external -[CalCalendarItem sortedAlarms]
00007ff81b8b9ba1 (__TEXT,__text) non-external -[CalCalendarItem title]
00007ff81b8b9b75 (__TEXT,__text) non-external -[CalCalendarItem uid]
00007ff81b8c4476 (__TEXT,__text) non-external -[CalCalendarItem unsavedRelateToDictionary]
00007ff81b8b9bcd (__TEXT,__text) non-external -[CalCalendarItem url]
00007ff81b8bf03c (__TEXT,__text) non-external -[CalCalendarStore .cxx_destruct]
00007ff81b8bd09f (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:]
00007ff81b8bd0b3 (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:forCalendar:]
00007ff81b8bb2bb (__TEXT,__text) non-external -[CalCalendarStore calendarWithUID:]
00007ff81b8b8f2b (__TEXT,__text) non-external -[CalCalendarStore calendars]
00007ff81b8bb2b0 (__TEXT,__text) non-external -[CalCalendarStore copyWithZone:]
00007ff81b8bbee0 (__TEXT,__text) non-external -[CalCalendarStore ekSpanFromCalSpan:]
00007ff81b8bf021 (__TEXT,__text) non-external -[CalCalendarStore eventStore]
00007ff81b8bb61e (__TEXT,__text) non-external -[CalCalendarStore eventWithUID:occurrence:]
00007ff81b8bb39a (__TEXT,__text) non-external -[CalCalendarStore eventsWithPredicate:]
00007ff81b8bd2d9 (__TEXT,__text) non-external -[CalCalendarStore generateUntitledTitle]
00007ff81b8bba1e (__TEXT,__text) non-external -[CalCalendarStore handleUnsavedRelateToDictionaryWithCalendarItem:]
00007ff81b8bafca (__TEXT,__text) non-external -[CalCalendarStore initWithEventStore:]
00007ff81b8baf8f (__TEXT,__text) non-external -[CalCalendarStore init]
00007ff81b8bdab3 (__TEXT,__text) non-external -[CalCalendarStore removeCalendar:error:]
00007ff81b8bc500 (__TEXT,__text) non-external -[CalCalendarStore removeEvent:span:error:]
00007ff81b8bcdfe (__TEXT,__text) non-external -[CalCalendarStore removeTask:error:]
00007ff81b8bd3ed (__TEXT,__text) non-external -[CalCalendarStore saveCalendar:error:]
00007ff81b8bbefc (__TEXT,__text) non-external -[CalCalendarStore saveEvent:span:error:]
00007ff81b8bc917 (__TEXT,__text) non-external -[CalCalendarStore saveTask:error:]
00007ff81b8bf02b (__TEXT,__text) non-external -[CalCalendarStore setEventStore:]
00007ff81b8bb93f (__TEXT,__text) non-external -[CalCalendarStore taskWithUID:]
00007ff81b8bb71b (__TEXT,__text) non-external -[CalCalendarStore tasksWithPredicate:]
00007ff81b8c0f42 (__TEXT,__text) non-external -[CalEvent .cxx_destruct]
00007ff81b8ba5b8 (__TEXT,__text) non-external -[CalEvent attendees]
00007ff81b8c0234 (__TEXT,__text) non-external -[CalEvent compareStartDate:]
00007ff81b8b9874 (__TEXT,__text) non-external -[CalEvent description]
00007ff81b8c0210 (__TEXT,__text) non-external -[CalEvent ekEvent]
00007ff81b8ba477 (__TEXT,__text) non-external -[CalEvent endDate]
00007ff81b8c0167 (__TEXT,__text) non-external -[CalEvent init]
00007ff81b8ba4c7 (__TEXT,__text) non-external -[CalEvent isAllDay]
00007ff81b8c0d25 (__TEXT,__text) non-external -[CalEvent isDetached]
00007ff81b8c02c5 (__TEXT,__text) non-external -[CalEvent isEqual:]
00007ff81b8ba427 (__TEXT,__text) non-external -[CalEvent location]
00007ff81b8c0d6a (__TEXT,__text) non-external -[CalEvent nextAlarmDate]
00007ff81b8ba36e (__TEXT,__text) non-external -[CalEvent occurrence]
00007ff81b8ba50c (__TEXT,__text) non-external -[CalEvent recurrenceRule]
00007ff81b8c0222 (__TEXT,__text) non-external -[CalEvent setEKEvent:]
00007ff81b8c0f2e (__TEXT,__text) non-external -[CalEvent setEkEvent:]
00007ff81b8c0cbc (__TEXT,__text) non-external -[CalEvent setEndDate:]
00007ff81b8c0a98 (__TEXT,__text) non-external -[CalEvent setIsAllDay:]
00007ff81b8c0ae2 (__TEXT,__text) non-external -[CalEvent setLocation:]
00007ff81b8c0b4b (__TEXT,__text) non-external -[CalEvent setRecurrenceRule:]
00007ff81b8c0c53 (__TEXT,__text) non-external -[CalEvent setStartDate:]
00007ff81b8c08e4 (__TEXT,__text) non-external -[CalEvent sortedAttendees]
00007ff81b8b928c (__TEXT,__text) non-external -[CalEvent startDate]
00007ff81b8c2c38 (__TEXT,__text) non-external -[CalNthWeekDay .cxx_destruct]
00007ff81b8c2b29 (__TEXT,__text) non-external -[CalNthWeekDay copyWithZone:]
00007ff81b8c2bf1 (__TEXT,__text) non-external -[CalNthWeekDay dayOfTheWeek]
00007ff81b8c299b (__TEXT,__text) non-external -[CalNthWeekDay description]
00007ff81b8c2c1d (__TEXT,__text) non-external -[CalNthWeekDay ekRecurrenceDayOfWeek]
00007ff81b8c2a56 (__TEXT,__text) non-external -[CalNthWeekDay hash]
00007ff81b8c2909 (__TEXT,__text) non-external -[CalNthWeekDay initWithEKRecurrenceDayOfWeek:]
00007ff81b8c2a6c (__TEXT,__text) non-external -[CalNthWeekDay isEqual:]
00007ff81b8c2c27 (__TEXT,__text) non-external -[CalNthWeekDay setEkRecurrenceDayOfWeek:]
00007ff81b8c2c07 (__TEXT,__text) non-external -[CalNthWeekDay weekNumber]
00007ff81b8bab49 (__TEXT,__text) non-external -[CalPredicate .cxx_destruct]
00007ff81b8baa85 (__TEXT,__text) non-external -[CalPredicate copyWithZone:]
00007ff81b8ba99a (__TEXT,__text) non-external -[CalPredicate initWithPredicate:]
00007ff81b8baadb (__TEXT,__text) non-external -[CalPredicate predicate]
00007ff81b8baa71 (__TEXT,__text) non-external -[CalPredicate setSubpredicate:]
00007ff81b8baa5c (__TEXT,__text) non-external -[CalPredicate subpredicate]
00007ff81b8c320b (__TEXT,__text) non-external -[CalRecurrenceEnd .cxx_destruct]
00007ff81b8c2f89 (__TEXT,__text) non-external -[CalRecurrenceEnd copyWithZone:]
00007ff81b8c2d04 (__TEXT,__text) non-external -[CalRecurrenceEnd description]
00007ff81b8c31f0 (__TEXT,__text) non-external -[CalRecurrenceEnd ekRecurrenceEnd]
00007ff81b8c31c4 (__TEXT,__text) non-external -[CalRecurrenceEnd endDate]
00007ff81b8c2e25 (__TEXT,__text) non-external -[CalRecurrenceEnd hash]
00007ff81b8c3132 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEKRecurrenceEnd:]
00007ff81b8c2fe8 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEndDate:]
00007ff81b8c3096 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithOccurrenceCount:]
00007ff81b8c2e3b (__TEXT,__text) non-external -[CalRecurrenceEnd isEqual:]
00007ff81b8c31da (__TEXT,__text) non-external -[CalRecurrenceEnd occurrenceCount]
00007ff81b8c31fa (__TEXT,__text) non-external -[CalRecurrenceEnd setEkRecurrenceEnd:]
00007ff81b8c2ccb (__TEXT,__text) non-external -[CalRecurrenceEnd usesEndDate]
00007ff81b8c28f9 (__TEXT,__text) non-external -[CalRecurrenceRule .cxx_destruct]
00007ff81b8c1f2f (__TEXT,__text) non-external -[CalRecurrenceRule copyWithZone:]
00007ff81b8b9546 (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheMonth]
00007ff81b8b931a (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheWeek]
00007ff81b8ba90e (__TEXT,__text) non-external -[CalRecurrenceRule description]
00007ff81b8c28de (__TEXT,__text) non-external -[CalRecurrenceRule ekRecurrenceRule]
00007ff81b8c28d6 (__TEXT,__text) non-external -[CalRecurrenceRule firstDayOfTheWeek]
00007ff81b8c1a44 (__TEXT,__text) non-external -[CalRecurrenceRule hash]
00007ff81b8c0fe7 (__TEXT,__text) non-external -[CalRecurrenceRule initDailyRecurrenceWithInterval:end:]
00007ff81b8c142a (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:end:]
00007ff81b8c15e4 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:end:]
00007ff81b8c14ef (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDaysOfTheMonth:end:]
00007ff81b8c10a9 (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:end:]
00007ff81b8c116e (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:forDaysOfTheWeek:end:]
00007ff81b8c0f55 (__TEXT,__text) non-external -[CalRecurrenceRule initWithEKRecurrenceRule:]
00007ff81b8c171c (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:end:]
00007ff81b8c18df (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:forMonthsOfTheYear:end:]
00007ff81b8c17e1 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forMonthsOfTheYear:end:]
00007ff81b8c1a5a (__TEXT,__text) non-external -[CalRecurrenceRule isEqual:]
00007ff81b8b9785 (__TEXT,__text) non-external -[CalRecurrenceRule monthsOfTheYear]
00007ff81b8b955c (__TEXT,__text) non-external -[CalRecurrenceRule nthWeekDaysOfTheMonth]
00007ff81b8b979b (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceEnd]
00007ff81b8b9304 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceInterval]
00007ff81b8b92dc (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceType]
00007ff81b8c28e8 (__TEXT,__text) non-external -[CalRecurrenceRule setEkRecurrenceRule:]
00007ff81b8c20bd (__TEXT,__text) non-external -[CalRecurrenceRule stringValueAsDateOnly:isFloating:]
00007ff81b8c4d2a (__TEXT,__text) non-external -[CalTask .cxx_destruct]
00007ff81b8c462e (__TEXT,__text) non-external -[CalTask completedDate]
00007ff81b8c49ca (__TEXT,__text) non-external -[CalTask description]
00007ff81b8c46e7 (__TEXT,__text) non-external -[CalTask dueDate]
00007ff81b8c457b (__TEXT,__text) non-external -[CalTask ekReminder]
00007ff81b8c44d2 (__TEXT,__text) non-external -[CalTask init]
00007ff81b8c459f (__TEXT,__text) non-external -[CalTask isCompleted]
00007ff81b8c4acb (__TEXT,__text) non-external -[CalTask isEqual:]
00007ff81b8c4830 (__TEXT,__text) non-external -[CalTask nextAlarmDate]
00007ff81b8c47a0 (__TEXT,__text) non-external -[CalTask priority]
00007ff81b8c467e (__TEXT,__text) non-external -[CalTask setCompletedDate:]
00007ff81b8c4737 (__TEXT,__text) non-external -[CalTask setDueDate:]
00007ff81b8c458d (__TEXT,__text) non-external -[CalTask setEKReminder:]
00007ff81b8c4d16 (__TEXT,__text) non-external -[CalTask setEkReminder:]
00007ff81b8c45e4 (__TEXT,__text) non-external -[CalTask setIsCompleted:]
00007ff81b8c47e4 (__TEXT,__text) non-external -[CalTask setPriority:]
00007ff81b8c6228 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00007ff81b8c623c (__TEXT,__gcc_except_tab) non-external GCC_except_table4
00007ff81b8c6250 (__TEXT,__gcc_except_tab) non-external GCC_except_table8
00007ff84282b0e0 (__DATA_CONST,__const) external _CalAlarmActionDisplay
00007ff84282b0e8 (__DATA_CONST,__const) external _CalAlarmActionEmail
00007ff84282b0f0 (__DATA_CONST,__const) external _CalAlarmActionProcedure
00007ff84282b0f8 (__DATA_CONST,__const) external _CalAlarmActionSound
00007ff84282af70 (__DATA_CONST,__const) external _CalAttendeeStatusAccepted
00007ff84282af90 (__DATA_CONST,__const) external _CalAttendeeStatusCompleted
00007ff84282af78 (__DATA_CONST,__const) external _CalAttendeeStatusDeclined
00007ff84282af88 (__DATA_CONST,__const) external _CalAttendeeStatusDelegated
00007ff84282af98 (__DATA_CONST,__const) external _CalAttendeeStatusInProcess
00007ff84282af68 (__DATA_CONST,__const) external _CalAttendeeStatusNeedsAction
00007ff84282af80 (__DATA_CONST,__const) external _CalAttendeeStatusTentative
00007ff84282b038 (__DATA_CONST,__const) external _CalCalendarStoreErrorDomain
00007ff84282b070 (__DATA_CONST,__const) external _CalCalendarTypeBirthday
00007ff84282b078 (__DATA_CONST,__const) external _CalCalendarTypeCalDAV
00007ff84282b098 (__DATA_CONST,__const) external _CalCalendarTypeExchange
00007ff84282b080 (__DATA_CONST,__const) external _CalCalendarTypeIMAP
00007ff84282b088 (__DATA_CONST,__const) external _CalCalendarTypeLocal
00007ff84282b090 (__DATA_CONST,__const) external _CalCalendarTypeSubscription
00007ff84282b0a0 (__DATA_CONST,__const) external _CalCalendarTypeSuggestions
00007ff84282b0a8 (__DATA_CONST,__const) external _CalCalendarTypeUnknown
00007ff84282aff8 (__DATA_CONST,__const) external _CalCalendarsChangedExternallyNotification
00007ff84282afe0 (__DATA_CONST,__const) external _CalCalendarsChangedNotification
00007ff81b8c6440 (__TEXT,__const) external _CalDefaultRecurrenceInterval
00007ff84282b020 (__DATA_CONST,__const) external _CalDeletedRecordsKey
00007ff84282b000 (__DATA_CONST,__const) external _CalEventsChangedExternallyNotification
00007ff84282afe8 (__DATA_CONST,__const) external _CalEventsChangedNotification
00007ff84282b010 (__DATA_CONST,__const) external _CalInsertedRecordsKey
00007ff84282b028 (__DATA_CONST,__const) external _CalSenderProcessIDKey
00007ff84282b138 (__DATA_CONST,__const) external _CalStoreAPI_NS_Log
00007ff84282b008 (__DATA_CONST,__const) external _CalTasksChangedExternallyNotification
00007ff84282aff0 (__DATA_CONST,__const) external _CalTasksChangedNotification
00007ff84282b018 (__DATA_CONST,__const) external _CalUpdatedRecordsKey
00007ff84282b030 (__DATA_CONST,__const) external _CalUserUIDKey
                 (undefined) external _EKErrorDomain (from EventKit)
                 (undefined) external _NSInvalidArgumentException (from CoreFoundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSLocalizedRecoverySuggestionErrorKey (from Foundation)
00007ff843e70330 (__DATA,__objc_data) external _OBJC_CLASS_$_CalAlarm
00007ff843e70240 (__DATA,__objc_data) external _OBJC_CLASS_$_CalAttendee
00007ff843e702e0 (__DATA,__objc_data) external _OBJC_CLASS_$_CalCalendar
00007ff843e704c0 (__DATA,__objc_data) external _OBJC_CLASS_$_CalCalendarItem
00007ff843e70290 (__DATA,__objc_data) external _OBJC_CLASS_$_CalCalendarStore
00007ff843e70380 (__DATA,__objc_data) external _OBJC_CLASS_$_CalEvent
00007ff843e70420 (__DATA,__objc_data) external _OBJC_CLASS_$_CalNthWeekDay
00007ff843e701f0 (__DATA,__objc_data) external _OBJC_CLASS_$_CalPredicate
                 (undefined) external _OBJC_CLASS_$_CalRecurrenceDayOfWeek (from CalendarFoundation)
00007ff843e70470 (__DATA,__objc_data) external _OBJC_CLASS_$_CalRecurrenceEnd
00007ff843e703d0 (__DATA,__objc_data) external _OBJC_CLASS_$_CalRecurrenceRule
00007ff843e70510 (__DATA,__objc_data) external _OBJC_CLASS_$_CalTask
                 (undefined) external _OBJC_CLASS_$_EKAlarm (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKCalendar (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEvent (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEventStore (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKPredicate (from CalendarDaemon)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceDayOfWeek (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceEnd (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceRule (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKReminder (from EventKit)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCalendarDate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSortDescriptor (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
00007ff843e701a0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._ekAlarm
00007ff843e701a8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._relatedToString
00007ff843e701b0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._unsavedRelateToDictionary
00007ff843e70188 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAttendee._ekParticipant
00007ff843e70198 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendar._ekCalendar
00007ff843e701d8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._ekCalendarItem
00007ff843e701e0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._unsavedRelateToDictionary
00007ff843e70190 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarStore._eventStore
00007ff843e701b8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalEvent._ekEvent
00007ff843e701c8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalNthWeekDay._ekRecurrenceDayOfWeek
00007ff843e70180 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalPredicate._subpredicate
