00000002776640f0 (__DATA,__bss) non-external __ZL12reportShadow
0000000260d6b07c (__TEXT,__text) non-external __ZN2vm6createIN4asan19GlobalsRegistryImplEJEEEPT_DpOT0_.cold.1
0000000260d6ae90 (__TEXT,__text) non-external __ZN2vm6createIN4asan19GlobalsRegistryImplEJEEEPT_DpOT0_.cold.2
0000000260d67fa0 (__TEXT,__text) non-external (was a private external) __ZN2vm6createIN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEEEJEEEPT_DpOT0_
0000000260d6aebc (__TEXT,__text) non-external __ZN2vm6createIN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEEEJEEEPT_DpOT0_.cold.1
0000000260d6ae90 (__TEXT,__text) non-external __ZN2vm6createIN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEEEJEEEPT_DpOT0_.cold.2
0000000260d67ef0 (__TEXT,__text) non-external (was a private external) __ZN2vm6createIN5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEEJEEEPT_DpOT0_
0000000260d6ae58 (__TEXT,__text) non-external __ZN2vm6createIN5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEEJEEEPT_DpOT0_.cold.1
0000000260d6ae90 (__TEXT,__text) non-external __ZN2vm6createIN5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEEJEEEPT_DpOT0_.cold.2
0000000260d6a5b8 (__TEXT,__text) non-external (was a private external) __ZN4asan10initShadowEv
0000000260d6b210 (__TEXT,__text) non-external __ZN4asan10initShadowEv.cold.1
0000000260d6ae90 (__TEXT,__text) non-external __ZN4asan10initShadowEv.cold.2
0000000260d69c64 (__TEXT,__text) non-external (was a private external) __ZN4asan11initRuntimeEP6ShadowPNS_15GlobalsRegistryE
0000000260d69c0c (__TEXT,__text) non-external (was a private external) __ZN4asan11initRuntimeERKN6config4ASanE
0000000260d6b0dc (__TEXT,__text) non-external __ZN4asan11initRuntimeERKN6config4ASanE.cold.1
0000000260d69e50 (__TEXT,__text) non-external (was a private external) __ZN4asan11reportErrorENS_9RegistersENS_12MemoryAccessE
0000000260d69524 (__TEXT,__text) non-external (was a private external) __ZN4asan14initGlobalVarsEP6ShadowPNS_15GlobalsRegistryE
0000000260d67718 (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator12createReportENS_9RegistersENS_12MemoryAccessE
0000000260d6acf8 (__TEXT,__text) non-external __ZN4asan15ReportGenerator12createReportENS_9RegistersENS_12MemoryAccessE.cold.1
0000000260d67bec (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator16fillStackVarInfoERNS_6ReportE
0000000260d6ada8 (__TEXT,__text) non-external __ZN4asan15ReportGenerator16fillStackVarInfoERNS_6ReportE.cold.1
0000000260d6add4 (__TEXT,__text) non-external __ZN4asan15ReportGenerator16fillStackVarInfoERNS_6ReportE.cold.2
0000000260d67a08 (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator19addUseAfterFreeInfoERNS_6ReportE
0000000260d6ad50 (__TEXT,__text) non-external __ZN4asan15ReportGenerator19addUseAfterFreeInfoERNS_6ReportE.cold.1
0000000260d67908 (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator25addHeapBufferOverflowInfoERNS_6ReportE
0000000260d6ad24 (__TEXT,__text) non-external __ZN4asan15ReportGenerator25addHeapBufferOverflowInfoERNS_6ReportE.cold.1
0000000260d67bbc (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator26addStackBufferOverflowInfoERNS_6ReportE
0000000260d67b10 (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator27addGlobalBufferOverflowInfoERNS_6ReportE
0000000260d6ad7c (__TEXT,__text) non-external __ZN4asan15ReportGenerator27addGlobalBufferOverflowInfoERNS_6ReportE.cold.1
0000000260d67bd4 (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator27addStackBufferUnderflowInfoERNS_6ReportE
0000000260d67ccc (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator8StackVar11getStackVarEPKcm
0000000260d6ae00 (__TEXT,__text) non-external __ZN4asan15ReportGenerator8StackVar11getStackVarEPKcm.cold.1
0000000260d67d98 (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator8StackVar5parseERPKc
0000000260d69788 (__TEXT,__text) non-external (was a private external) __ZN4asan15initCompilerABIEP6Shadow
0000000260d69cbc (__TEXT,__text) non-external (was a private external) __ZN4asan18initLibmallocHooksEP6Shadow
0000000260d69548 (__TEXT,__text) non-external (was a private external) __ZN4asan19GlobalsRegistryImpl15registerSectionE10array_viewIKNS_9GlobalVarEE
0000000260d6b050 (__TEXT,__text) non-external __ZN4asan19GlobalsRegistryImpl15registerSectionE10array_viewIKNS_9GlobalVarEE.cold.1
0000000260d695e0 (__TEXT,__text) non-external (was a private external) __ZN4asan19initGlobalsRegistryEv
0000000260d69cd0 (__TEXT,__text) non-external (was a private external) __ZN4asan20initReportGenerationEPK6ShadowPKNS_15GlobalsRegistryE
0000000260d6a35c (__TEXT,__text) non-external (was a private external) __ZN4asan28callDebuggerBreakpointSymbolERKNS_6ReportE
00000002776640c8 (__DATA,__bss) non-external __ZN4asanL7_shadowE
00000002776640d0 (__DATA,__bss) non-external __ZN4asanL8_globalsE
0000000260d683c0 (__TEXT,__text) non-external (was a private external) __ZN4hash7Murmur212hashPointersE10array_viewImE
0000000260d684c8 (__TEXT,__text) non-external __ZN5debugL5printEPKcz
0000000260d684c8 (__TEXT,__text) non-external __ZN5debugL5printEPKcz
0000000260d684c8 (__TEXT,__text) non-external __ZN5debugL5printEPKcz
0000000260d6a2dc (__TEXT,__text) non-external __ZN5debugL5printEPKcz
0000000260d68420 (__TEXT,__text) non-external (was a private external) __ZN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEE15addDeallocTraceEmNS_2IdE
0000000260d6af48 (__TEXT,__text) non-external __ZN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEE15addDeallocTraceEmNS_2IdE.cold.1
0000000260d6826c (__TEXT,__text) non-external (was a private external) __ZN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEE6insertEmmNS_2IdE
0000000260d6aef0 (__TEXT,__text) non-external __ZN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEE6insertEmmNS_2IdE.cold.1
0000000260d67e64 (__TEXT,__text) non-external (was a private external) __ZN5trace19initTraceCollectionEb
0000000260d6ae2c (__TEXT,__text) non-external __ZN5trace19initTraceCollectionEb.cold.1
0000000260d68310 (__TEXT,__text) non-external (was a private external) __ZN5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEE11insertTraceEPmm
0000000260d6af1c (__TEXT,__text) non-external __ZN5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEE11insertTraceEPmm.cold.1
0000000260d6823c (__TEXT,__text) non-external (was a private external) __ZN5trace6Lookup6createERA24_h
0000000260d68e7c (__TEXT,__text) non-external (was a private external) __ZN6config3env6Parser10consumeEnvEPPKc
0000000260d6902c (__TEXT,__text) non-external (was a private external) __ZN6config3env6Parser13removeEnvVarsEv
0000000260d694b4 (__TEXT,__text) non-external (was a private external) __ZN6config3env6Parser8unsetEnvILm18EEEvPPKcRAT__S3_
0000000260d693d4 (__TEXT,__text) non-external (was a private external) __ZN6config3env6Parser8unsetEnvILm19EEEvPPKcRAT__S3_
0000000260d69444 (__TEXT,__text) non-external (was a private external) __ZN6config3env6Parser8unsetEnvILm27EEEvPPKcRAT__S3_
0000000260d69364 (__TEXT,__text) non-external (was a private external) __ZN6config3env6Parser8unsetEnvILm30EEEvPPKcRAT__S3_
0000000260d692f4 (__TEXT,__text) non-external (was a private external) __ZN6config3env6Parser8unsetEnvILm34EEEvPPKcRAT__S3_
0000000260d6854c (__TEXT,__text) non-external __ZN9libmalloc12MallocLoggerIXadL_ZL7onAllocmmjEEXadL_ZL9onDeallocmjEEE10loggerFuncEjmmmmj
0000000260d6af74 (__TEXT,__text) non-external __ZN9libmalloc12MallocLoggerIXadL_ZL7onAllocmmjEEXadL_ZL9onDeallocmjEEE10loggerFuncEjmmmmj.cold.1
0000000260d6af74 (__TEXT,__text) non-external __ZN9libmalloc12MallocLoggerIXadL_ZL7onAllocmmjEEXadL_ZL9onDeallocmjEEE10loggerFuncEjmmmmj.cold.2
0000000260d6af74 (__TEXT,__text) non-external __ZN9libmalloc12MallocLoggerIXadL_ZL7onAllocmmjEEXadL_ZL9onDeallocmjEEE10loggerFuncEjmmmmj.cold.3
0000000260d6af74 (__TEXT,__text) non-external __ZN9libmalloc12MallocLoggerIXadL_ZL7onAllocmmjEEXadL_ZL9onDeallocmjEEE10loggerFuncEjmmmmj.cold.4
00000002776640c0 (__DATA,__bss) non-external __ZN9libmalloc12MallocLoggerIXadL_ZL7onAllocmmjEEXadL_ZL9onDeallocmjEEE14previousLoggerE
0000000260d6a93c (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow14addressIsInMemEm
0000000260d6a98c (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow14getShadowStartEv
0000000260d6a994 (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow14getShadowValueEmm
0000000260d6b270 (__TEXT,__text) non-external __ZNK10ASanShadow14getShadowValueEmm.cold.1
0000000260d6b29c (__TEXT,__text) non-external __ZNK10ASanShadow14getShadowValueEmm.cold.2
0000000260d6aa04 (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow16getAllocationEndEN4asan12MemoryAccessE
0000000260d6b2c8 (__TEXT,__text) non-external __ZNK10ASanShadow16getAllocationEndEN4asan12MemoryAccessE.cold.1
0000000260d6b2f4 (__TEXT,__text) non-external __ZNK10ASanShadow16getAllocationEndEN4asan12MemoryAccessE.cold.2
0000000260d6a7b0 (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow16regionIsPoisonedEmm
0000000260d6a928 (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow16shadowForAddressEm
0000000260d6a964 (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow17addressIsInShadowEm
0000000260d6a788 (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow17addressIsPoisonedEm
0000000260d6ab1c (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow17getAllocationInfoEN4asan12MemoryAccessE
0000000260d6b320 (__TEXT,__text) non-external __ZNK10ASanShadow17getAllocationInfoEN4asan12MemoryAccessE.cold.1
0000000260d6a8f8 (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow23getShadowByteForAddressEPv
0000000260d69580 (__TEXT,__text) non-external (was a private external) __ZNK4asan19GlobalsRegistryImpl12getGlobalVarEm
0000000260d68894 (__TEXT,__text) non-external (was a private external) __ZNK5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEE3getEm
0000000260d6afcc (__TEXT,__text) non-external __ZNK5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEE3getEm.cold.1
0000000260d68a94 (__TEXT,__text) non-external (was a private external) __ZNK5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEE12forEachFrameIZNKS3_13retrieveTraceENS_2IdERA64_mEUlmmE_EEvNS3_5EntryET_
0000000260d689cc (__TEXT,__text) non-external (was a private external) __ZNK5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEE13retrieveTraceENS_2IdERA64_m
0000000260d68af8 (__TEXT,__text) non-external (was a private external) __ZNK5trace9ExtractorINS_5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm1048576EXadL_ZNS3_11hashPointerEmEEEEE13diagnoseFaultEm
0000000260d68954 (__TEXT,__text) non-external (was a private external) __ZNK5trace9ExtractorINS_5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm1048576EXadL_ZNS3_11hashPointerEmEEEEE14retrieveTracesERK14AllocationInfoR24sanitizers_stack_trace_tSC_
0000000260d6aff8 (__TEXT,__text) non-external __ZNK5trace9ExtractorINS_5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm1048576EXadL_ZNS3_11hashPointerEmEEEEE14retrieveTracesERK14AllocationInfoR24sanitizers_stack_trace_tSC_.cold.1
0000000260d6881c (__TEXT,__text) non-external (was a private external) __ZNK5trace9ExtractorINS_5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm1048576EXadL_ZNS3_11hashPointerEmEEEEE14retrieveTracesEmR24sanitizers_stack_trace_tS9_
0000000260d6816c (__TEXT,__text) non-external (was a private external) __ZNK5trace9ExtractorINS_5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm1048576EXadL_ZNS3_11hashPointerEmEEEEE19diagnoseMemoryErrorEmR25sanitizers_memory_error_t
0000000260d690a8 (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser10getSettingINS0_16AllocationTracesELm4EEET_PKcS4_RAT0__KNS1_7SettingIS4_EE
0000000260d69138 (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser10getSettingINS0_7AddressELm2EEET_PKcS4_RAT0__KNS1_7SettingIS4_EE
0000000260d691c8 (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser10getSettingIbLm3EEET_PKcS3_RAT0__KNS1_7SettingIS3_EE
0000000260d68ec8 (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser9getConfigEv
0000000260d6925c (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser9getNumberIlXadL_Z6strtolEEEET_PKcS3_
0000000260d68d74 (__TEXT,__text) non-external (was a private external) __ZNK9BlockInfo11absDistanceEm
0000000260d68dc8 (__TEXT,__text) non-external (was a private external) __ZNK9BlockInfo12endInclusiveEv
0000000260d6b024 (__TEXT,__text) non-external __ZNK9BlockInfo12endInclusiveEv.cold.1
000000027c2a3aa0 (__AUTH_CONST,__const) non-external (was a private external) __ZTV10ASanShadow
000000027c2a3a80 (__AUTH_CONST,__const) non-external (was a private external) __ZTVN4asan19GlobalsRegistryImplE
000000027c2a3a68 (__AUTH_CONST,__const) non-external (was a private external) __ZTVN5trace9ExtractorINS_5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm1048576EXadL_ZNS3_11hashPointerEmEEEEEE
0000000278a7b280 (__AUTH,__data) non-external __ZZL21unsetIntegrationHooksvE5funcs
0000000260d6a2d4 (__TEXT,__text) non-external __ZZL21unsetIntegrationHooksvEN3$_08__invokeEmmmm
0000000260d6a2d8 (__TEXT,__text) non-external __ZZL21unsetIntegrationHooksvEN3$_18__invokeEmm
0000000260d696a4 (__TEXT,__text) non-external __ZZN4asan14initGlobalVarsEP6ShadowPNS_15GlobalsRegistryEEN3$_08__invokeEPK11mach_headerl
0000000260d6b0b0 (__TEXT,__text) non-external __ZZN4asan14initGlobalVarsEP6ShadowPNS_15GlobalsRegistryEEN3$_08__invokeEPK11mach_headerl.cold.1
0000000278a7b268 (__AUTH,__data) non-external __ZZN4asan18initLibmallocHooksEP6ShadowE5funcs
0000000260d69ce4 (__TEXT,__text) non-external __ZZN4asan18initLibmallocHooksEP6ShadowEN3$_08__invokeEmmmm
0000000260d6b108 (__TEXT,__text) non-external __ZZN4asan18initLibmallocHooksEP6ShadowEN3$_08__invokeEmmmm.cold.1
0000000260d69dec (__TEXT,__text) non-external __ZZN4asan18initLibmallocHooksEP6ShadowEN3$_18__invokeEmm
0000000260d69b1c (__TEXT,__text) external ___asan_abi_addr_is_in_fake_stack
0000000260d699f0 (__TEXT,__text) external ___asan_abi_address_is_poisoned
0000000260d697b0 (__TEXT,__text) external ___asan_abi_after_dynamic_init
0000000260d69b24 (__TEXT,__text) external ___asan_abi_alloca_poison
0000000260d69b28 (__TEXT,__text) external ___asan_abi_allocas_unpoison
0000000260d697ac (__TEXT,__text) external ___asan_abi_before_dynamic_init
0000000260d698cc (__TEXT,__text) external ___asan_abi_exp_load_n
0000000260d699b4 (__TEXT,__text) external ___asan_abi_exp_store_n
0000000260d69b14 (__TEXT,__text) external ___asan_abi_get_current_fake_stack
0000000260d697c4 (__TEXT,__text) external ___asan_abi_handle_no_return
0000000260d697c0 (__TEXT,__text) external ___asan_abi_init
0000000260d69b0c (__TEXT,__text) external ___asan_abi_load_cxx_array_cookie
0000000260d697d8 (__TEXT,__text) external ___asan_abi_load_n
0000000260d697b4 (__TEXT,__text) external ___asan_abi_memcpy
0000000260d697b8 (__TEXT,__text) external ___asan_abi_memmove
0000000260d697bc (__TEXT,__text) external ___asan_abi_memset
0000000260d69b08 (__TEXT,__text) external ___asan_abi_poison_cxx_array_cookie
0000000260d69b00 (__TEXT,__text) external ___asan_abi_poison_intra_object_redzone
0000000260d69a38 (__TEXT,__text) external ___asan_abi_poison_memory_region
0000000260d69af8 (__TEXT,__text) external ___asan_abi_poison_stack_memory
0000000260d69880 (__TEXT,__text) external ___asan_abi_region_is_poisoned
0000000260d6979c (__TEXT,__text) external ___asan_abi_register_elf_globals
0000000260d697a4 (__TEXT,__text) external ___asan_abi_register_globals
0000000260d69794 (__TEXT,__text) external ___asan_abi_register_image_globals
0000000260d697d0 (__TEXT,__text) external ___asan_abi_report_exp_load_n
0000000260d697d4 (__TEXT,__text) external ___asan_abi_report_exp_store_n
0000000260d697c8 (__TEXT,__text) external ___asan_abi_report_load_n
0000000260d697cc (__TEXT,__text) external ___asan_abi_report_store_n
0000000260d69abc (__TEXT,__text) external ___asan_abi_set_shadow_xx_n
0000000260d69bcc (__TEXT,__text) external ___asan_abi_stack_free_n
0000000260d69b7c (__TEXT,__text) external ___asan_abi_stack_malloc_always_n
0000000260d69b2c (__TEXT,__text) external ___asan_abi_stack_malloc_n
0000000260d69908 (__TEXT,__text) external ___asan_abi_store_n
0000000260d69b04 (__TEXT,__text) external ___asan_abi_unpoison_intra_object_redzone
0000000260d69a80 (__TEXT,__text) external ___asan_abi_unpoison_memory_region
0000000260d69afc (__TEXT,__text) external ___asan_abi_unpoison_stack_memory
0000000260d697a0 (__TEXT,__text) external ___asan_abi_unregister_elf_globals
0000000260d697a8 (__TEXT,__text) external ___asan_abi_unregister_globals
0000000260d69798 (__TEXT,__text) external ___asan_abi_unregister_image_globals
0000000260d6a4ec (__TEXT,__text) external ___asan_get_alloc_stack
0000000260d6b1b8 (__TEXT,__text) non-external ___asan_get_alloc_stack.cold.1
0000000260d6a550 (__TEXT,__text) external ___asan_get_free_stack
0000000260d6b1e4 (__TEXT,__text) non-external ___asan_get_free_stack.cold.1
0000000260d6a404 (__TEXT,__text) external ___asan_get_report_access_size
0000000260d6a3f8 (__TEXT,__text) external ___asan_get_report_access_type
0000000260d6a3ec (__TEXT,__text) external ___asan_get_report_address
0000000260d6a3d4 (__TEXT,__text) external ___asan_get_report_bp
0000000260d6a410 (__TEXT,__text) external ___asan_get_report_description
0000000260d6a3c8 (__TEXT,__text) external ___asan_get_report_pc
0000000260d6a3e0 (__TEXT,__text) external ___asan_get_report_sp
0000000260d6a4d0 (__TEXT,__text) external ___asan_get_shadow_mapping
0000000260d6a41c (__TEXT,__text) external ___asan_locate_address
0000000260d6b134 (__TEXT,__text) non-external ___asan_locate_address.cold.1
0000000260d6b160 (__TEXT,__text) non-external ___asan_locate_address.cold.2
0000000260d6b18c (__TEXT,__text) non-external ___asan_locate_address.cold.3
0000000260d6a3b4 (__TEXT,__text) external ___asan_report_present
                 (undefined) external ___assert_rtn (from libsystem_c)
0000000260d6a5b4 (__TEXT,__text) non-external (was a private external) ___cxa_pure_virtual
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
                 (undefined) external ___stderrp (from libsystem_c)
                 (undefined) external __dyld_register_func_for_add_image (from libdyld)
                 (undefined) external __exit (from libsystem_kernel)
0000000260d68df8 (__TEXT,__text) external __sanitizers_init
                 (undefined) external __simple_getenv (from libsystem_platform)
                 (undefined) external _abort (from libsystem_c)
                 (undefined) external _backtrace_from_fp (from libsystem_c)
                 (undefined) external _bzero (from libsystem_c)
                 (undefined) external _dladdr (from libdyld)
                 (undefined) external _fputs (from libsystem_c)
                 (undefined) external _free (from libsystem_malloc)
                 (undefined) external _getsectiondata (from libmacho)
0000000260d6b5a0 (__TEXT,__const) non-external (was a private external) _libsystem_sanitizersVersionNumber
0000000260d6b560 (__TEXT,__const) non-external (was a private external) _libsystem_sanitizersVersionString
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _malloc_logger (from libsystem_malloc)
                 (undefined) external _malloc_sanitizer_set_functions (from libsystem_malloc)
                 (undefined) external _malloc_size (from libsystem_malloc)
                 (undefined) external _malloc_type_malloc (from libsystem_malloc)
                 (undefined) external _memcmp (from libsystem_c)
                 (undefined) external _memcpy (from libsystem_c)
                 (undefined) external _memmove (from libsystem_c)
                 (undefined) external _memset (from libsystem_c)
0000000260d6a3a4 (__TEXT,__text) external _sanitizers_address_on_report
0000000260d68044 (__TEXT,__text) external _sanitizers_diagnose_memory_error
00000002776645d0 (__DATA,__common) external _sanitizers_report_globals
                 (undefined) external _strtol (from libsystem_c)
                 (undefined) external _strtoul (from libsystem_c)
                 (undefined) external _thread_stack_pcs (from libsystem_c)
                 (undefined) external _vm_map (from libsystem_kernel)
                 (undefined) external _vm_page_size (from libsystem_kernel)
                 (undefined) external _vsnprintf (from libsystem_c)
