                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
0000000192b6484c (__TEXT,__text) external __cg_jcopy_block_row
0000000192b601f0 (__TEXT,__text) non-external _encode_mcu_DC_refine
0000000192b7d970 (__TEXT,__text) non-external _encode_mcu_DC_refine
0000000192b7e240 (__TEXT,__text) non-external _encode_mcu_gather
0000000192b7e4bc (__TEXT,__text) non-external _encode_mcu_huff
0000000192b81c48 (__TEXT,__text) non-external _error_exit
0000000192b5f230 (__TEXT,__text) non-external _examine_app0
0000000192b5f4b8 (__TEXT,__text) non-external _examine_app14
                 (undefined) external _exit (from libSystem)
0000000192b832e8 (__TEXT,__const) non-external _extra_pool_slop
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fflush (from libSystem)
0000000192b6dbac (__TEXT,__text) non-external _fill_dc_scans
0000000192b6111c (__TEXT,__text) non-external _fill_input_buffer
0000000192b5cb58 (__TEXT,__text) non-external _fill_inverse_cmap
0000000192b612f8 (__TEXT,__text) non-external _fill_mem_input_buffer
0000000192b82518 (__TEXT,__const) non-external _fill_mem_input_buffer.mybuffer
0000000192b66558 (__TEXT,__text) non-external _finish_input_pass
0000000192b70550 (__TEXT,__text) non-external _finish_output_pass
0000000192b5facc (__TEXT,__text) non-external _finish_pass
0000000192b6181c (__TEXT,__text) non-external _finish_pass
0000000192b5c050 (__TEXT,__text) non-external _finish_pass1
0000000192b5c780 (__TEXT,__text) non-external _finish_pass2
0000000192b7ffbc (__TEXT,__text) non-external _finish_pass_1_quant
0000000192b7cdc4 (__TEXT,__text) non-external _finish_pass_gather
0000000192b793d8 (__TEXT,__text) non-external _finish_pass_huff
0000000192b7cf20 (__TEXT,__text) non-external _finish_pass_huff
0000000192b6f874 (__TEXT,__text) non-external _finish_pass_master
0000000192b832d8 (__TEXT,__const) non-external _first_pool_slop
                 (undefined) external _fopen (from libSystem)
0000000192b78564 (__TEXT,__text) non-external _format_message
0000000192b631a0 (__TEXT,__text) non-external _forward_DCT
0000000192b632ec (__TEXT,__text) non-external _forward_DCT_float
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
0000000192b818e0 (__TEXT,__text) non-external _free_pool
                 (undefined) external _fseek (from libSystem)
0000000192b77d78 (__TEXT,__text) non-external _fullsize_downsample
0000000192b77bdc (__TEXT,__text) non-external _fullsize_smooth_downsample
0000000192b70fc8 (__TEXT,__text) non-external _fullsize_upsample
                 (undefined) external _fwrite (from libSystem)
0000000192b62570 (__TEXT,__text) non-external _get_byte
0000000192b5e910 (__TEXT,__text) non-external _get_interesting_appn
0000000192b5ee50 (__TEXT,__text) non-external _get_sof
0000000192b63a24 (__TEXT,__text) non-external _gray_rgb_convert
0000000192b5b038 (__TEXT,__text) non-external _grayscale_convert
0000000192b638f0 (__TEXT,__text) non-external _grayscale_convert
0000000192b77e04 (__TEXT,__text) non-external _h2v1_downsample
0000000192b78bd4 (__TEXT,__text) non-external _h2v1_merged_upsample
0000000192b70fd0 (__TEXT,__text) non-external _h2v1_upsample
0000000192b7818c (__TEXT,__text) non-external _h2v2_downsample
0000000192b789bc (__TEXT,__text) non-external _h2v2_merged_upsample
0000000192b77ee8 (__TEXT,__text) non-external _h2v2_smooth_downsample
0000000192b71024 (__TEXT,__text) non-external _h2v2_upsample
0000000192b808ac (__TEXT,__text) non-external _init_destination
0000000192b5bf18 (__TEXT,__text) non-external _init_error_limit
0000000192b80b20 (__TEXT,__text) non-external _init_mem_destination
0000000192b612f4 (__TEXT,__text) non-external _init_mem_source
0000000192b6110c (__TEXT,__text) non-external _init_source
0000000192b78290 (__TEXT,__text) non-external _int_downsample
0000000192b710d8 (__TEXT,__text) non-external _int_upsample
0000000192b647cc (__TEXT,__text) non-external (was a private external) _jdiv_round_up
0000000192b61348 (__TEXT,__text) non-external (was a private external) _jinit_arith_decoder
0000000192b5f820 (__TEXT,__text) non-external (was a private external) _jinit_arith_encoder
0000000192b81e00 (__TEXT,__const) non-external (was a private external) _jpeg_aritab
0000000192b5a670 (__TEXT,__text) non-external (was a private external) _jpeg_calc_jpeg_dimensions
0000000192b657e0 (__TEXT,__text) non-external (was a private external) _jpeg_core_output_dimensions
0000000192b6d160 (__TEXT,__text) non-external (was a private external) _jpeg_default_qtables
0000000192b72b60 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_10x10
0000000192b757f8 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_10x5
0000000192b72f18 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_11x11
0000000192b733ec (__TEXT,__text) non-external (was a private external) _jpeg_fdct_12x12
0000000192b75518 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_12x6
0000000192b7382c (__TEXT,__text) non-external (was a private external) _jpeg_fdct_13x13
0000000192b73da4 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_14x14
0000000192b75184 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_14x7
0000000192b74270 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_15x15
0000000192b747a0 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_16x16
0000000192b74d80 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_16x8
0000000192b727dc (__TEXT,__text) non-external (was a private external) _jpeg_fdct_1x1
0000000192b773cc (__TEXT,__text) non-external (was a private external) _jpeg_fdct_1x2
0000000192b75fa0 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_2x1
0000000192b7275c (__TEXT,__text) non-external (was a private external) _jpeg_fdct_2x2
0000000192b772e8 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_2x4
0000000192b72660 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_3x3
0000000192b77174 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_3x6
0000000192b75e94 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_4x2
0000000192b7249c (__TEXT,__text) non-external (was a private external) _jpeg_fdct_4x4
0000000192b76f3c (__TEXT,__text) non-external (was a private external) _jpeg_fdct_4x8
0000000192b76c2c (__TEXT,__text) non-external (was a private external) _jpeg_fdct_5x10
0000000192b722f8 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_5x5
0000000192b768bc (__TEXT,__text) non-external (was a private external) _jpeg_fdct_6x12
0000000192b75d30 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_6x3
0000000192b72124 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_6x6
0000000192b76498 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_7x14
0000000192b71e40 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_7x7
0000000192b75ff0 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_8x16
0000000192b75a74 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_8x4
0000000192b72818 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_9x9
0000000192b7aa90 (__TEXT,__text) non-external _jpeg_fill_bit_buffer
0000000192b7f4bc (__TEXT,__text) non-external _jpeg_gen_optimal_table
0000000192b7abd4 (__TEXT,__text) non-external _jpeg_huff_decode
0000000192b679d4 (__TEXT,__text) non-external (was a private external) _jpeg_idct_10x10
0000000192b6ab70 (__TEXT,__text) non-external (was a private external) _jpeg_idct_10x5
0000000192b67ddc (__TEXT,__text) non-external (was a private external) _jpeg_idct_11x11
0000000192b682c4 (__TEXT,__text) non-external (was a private external) _jpeg_idct_12x12
0000000192b6a800 (__TEXT,__text) non-external (was a private external) _jpeg_idct_12x6
0000000192b68764 (__TEXT,__text) non-external (was a private external) _jpeg_idct_13x13
0000000192b68cf8 (__TEXT,__text) non-external (was a private external) _jpeg_idct_14x14
0000000192b6a3b0 (__TEXT,__text) non-external (was a private external) _jpeg_idct_14x7
0000000192b69228 (__TEXT,__text) non-external (was a private external) _jpeg_idct_15x15
0000000192b697cc (__TEXT,__text) non-external (was a private external) _jpeg_idct_16x16
0000000192b69e24 (__TEXT,__text) non-external (was a private external) _jpeg_idct_16x8
0000000192b6cb38 (__TEXT,__text) non-external (was a private external) _jpeg_idct_1x2
0000000192b6b44c (__TEXT,__text) non-external (was a private external) _jpeg_idct_2x1
0000000192b6c9e8 (__TEXT,__text) non-external (was a private external) _jpeg_idct_2x4
0000000192b673d8 (__TEXT,__text) non-external (was a private external) _jpeg_idct_3x3
0000000192b6c7f4 (__TEXT,__text) non-external (was a private external) _jpeg_idct_3x6
0000000192b6b2f8 (__TEXT,__text) non-external (was a private external) _jpeg_idct_4x2
0000000192b6c4a0 (__TEXT,__text) non-external (was a private external) _jpeg_idct_4x8
0000000192b6c174 (__TEXT,__text) non-external (was a private external) _jpeg_idct_5x10
0000000192b67000 (__TEXT,__text) non-external (was a private external) _jpeg_idct_5x5
0000000192b6bde4 (__TEXT,__text) non-external (was a private external) _jpeg_idct_6x12
0000000192b6b118 (__TEXT,__text) non-external (was a private external) _jpeg_idct_6x3
0000000192b66da0 (__TEXT,__text) non-external (was a private external) _jpeg_idct_6x6
0000000192b6b99c (__TEXT,__text) non-external (was a private external) _jpeg_idct_7x14
0000000192b66a34 (__TEXT,__text) non-external (was a private external) _jpeg_idct_7x7
0000000192b6b49c (__TEXT,__text) non-external (was a private external) _jpeg_idct_8x16
0000000192b6ae7c (__TEXT,__text) non-external (was a private external) _jpeg_idct_8x4
0000000192b67610 (__TEXT,__text) non-external (was a private external) _jpeg_idct_9x9
0000000192b7ee94 (__TEXT,__text) non-external _jpeg_make_c_derived_tbl
0000000192b79e20 (__TEXT,__text) non-external _jpeg_make_d_derived_tbl
0000000192b80a08 (__TEXT,__text) non-external (was a private external) _jpeg_mem_dest
0000000192b6122c (__TEXT,__text) non-external (was a private external) _jpeg_mem_src
0000000192b82aac (__TEXT,__const) non-external (was a private external) _jpeg_natural_order2
0000000192b82a48 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order3
0000000192b829c8 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order4
0000000192b82924 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order5
0000000192b82854 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order6
0000000192b82750 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order7
0000000192b8307c (__TEXT,__const) non-external _jpeg_zigzag_order
0000000192b82e50 (__TEXT,__const) non-external _jpeg_zigzag_order2
0000000192b82e60 (__TEXT,__const) non-external _jpeg_zigzag_order3
0000000192b82e84 (__TEXT,__const) non-external _jpeg_zigzag_order4
0000000192b82ec4 (__TEXT,__const) non-external _jpeg_zigzag_order5
0000000192b82f28 (__TEXT,__const) non-external _jpeg_zigzag_order6
0000000192b82fb8 (__TEXT,__const) non-external _jpeg_zigzag_order7
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
0000000192b78b80 (__TEXT,__text) non-external _merged_1v_upsample
0000000192b788a0 (__TEXT,__text) non-external _merged_2v_upsample
                 (undefined) external _mktemp (from libSystem)
0000000192b7ffc0 (__TEXT,__text) non-external _new_color_map_1_quant
0000000192b5bf08 (__TEXT,__text) non-external _new_color_map_2_quant
0000000192b5d0a8 (__TEXT,__text) non-external _next_marker
0000000192b70fc0 (__TEXT,__text) non-external _noop_upsample
0000000192b5b36c (__TEXT,__text) non-external _null_convert
0000000192b63dd4 (__TEXT,__text) non-external _null_convert
0000000192b5b034 (__TEXT,__text) non-external _null_method
0000000192b784c4 (__TEXT,__text) non-external _output_message
0000000192b7c694 (__TEXT,__text) non-external _output_pass_setup
0000000192b5c3cc (__TEXT,__text) non-external _pass2_fs_dither
0000000192b5c6a8 (__TEXT,__text) non-external _pass2_no_dither
0000000192b6f824 (__TEXT,__text) non-external _pass_startup
0000000192b6fa14 (__TEXT,__text) non-external _per_scan_setup
0000000192b7139c (__TEXT,__text) non-external _post_process_1pass
0000000192b71534 (__TEXT,__text) non-external _post_process_2pass
0000000192b71434 (__TEXT,__text) non-external _post_process_prepass
0000000192b64d1c (__TEXT,__text) non-external _pre_process_context
0000000192b64f8c (__TEXT,__text) non-external _pre_process_data
0000000192b7038c (__TEXT,__text) non-external _prepare_for_output_pass
0000000192b6f62c (__TEXT,__text) non-external _prepare_for_pass
0000000192b5bfd0 (__TEXT,__text) non-external _prescan_quantize
0000000192b708c4 (__TEXT,__text) non-external _process_data_context_main
0000000192b70c34 (__TEXT,__text) non-external _process_data_crank_post
0000000192b64998 (__TEXT,__text) non-external _process_data_simple_main
0000000192b70b7c (__TEXT,__text) non-external _process_data_simple_main
0000000192b622fc (__TEXT,__text) non-external _process_restart
0000000192b7a9f8 (__TEXT,__text) non-external _process_restart
0000000192b80284 (__TEXT,__text) non-external _quantize3_ord_dither
0000000192b80454 (__TEXT,__text) non-external _quantize_fs_dither
0000000192b80354 (__TEXT,__text) non-external _quantize_ord_dither
0000000192b60ed0 (__TEXT,__text) non-external _read_backing_store
0000000192b5d2a4 (__TEXT,__text) non-external _read_markers
0000000192b5e77c (__TEXT,__text) non-external _read_restart_marker
0000000192b81338 (__TEXT,__text) non-external _realize_virt_arrays
0000000192b81290 (__TEXT,__text) non-external _request_virt_barray
0000000192b811e8 (__TEXT,__text) non-external _request_virt_sarray
0000000192b78638 (__TEXT,__text) non-external _reset_error_mgr
0000000192b66264 (__TEXT,__text) non-external _reset_input_controller
0000000192b5d284 (__TEXT,__text) non-external _reset_marker_reader
0000000192b6398c (__TEXT,__text) non-external _rgb1_gray_convert
0000000192b63c9c (__TEXT,__text) non-external _rgb1_rgb_convert
0000000192b5b1c8 (__TEXT,__text) non-external _rgb_convert
0000000192b63c34 (__TEXT,__text) non-external _rgb_convert
0000000192b5b14c (__TEXT,__text) non-external _rgb_gray_convert
0000000192b6390c (__TEXT,__text) non-external _rgb_gray_convert
0000000192b5b230 (__TEXT,__text) non-external _rgb_rgb1_convert
0000000192b5b2a8 (__TEXT,__text) non-external _rgb_ycc_convert
0000000192b5b088 (__TEXT,__text) non-external _rgb_ycc_start
0000000192b5eba8 (__TEXT,__text) non-external _save_marker
0000000192b832bc (__TEXT,__const) non-external _select_ncolors.RGB_order
0000000192b6f904 (__TEXT,__text) non-external _select_scan_parameters
0000000192b81a30 (__TEXT,__text) non-external _self_destruct
0000000192b77b34 (__TEXT,__text) non-external _sep_downsample
0000000192b70e78 (__TEXT,__text) non-external _sep_upsample
0000000192b611bc (__TEXT,__text) non-external _skip_input_data
0000000192b5e820 (__TEXT,__text) non-external _skip_variable
                 (undefined) external _sprintf (from libSystem)
0000000192b640a0 (__TEXT,__text) non-external _start_iMCU_row
0000000192b6e58c (__TEXT,__text) non-external _start_iMCU_row
0000000192b662c4 (__TEXT,__text) non-external _start_input_pass
0000000192b6ddcc (__TEXT,__text) non-external _start_input_pass
0000000192b6ddd4 (__TEXT,__text) non-external _start_output_pass
0000000192b5b580 (__TEXT,__text) non-external _start_pass
0000000192b5f8b8 (__TEXT,__text) non-external _start_pass
0000000192b61438 (__TEXT,__text) non-external _start_pass
0000000192b82240 (__TEXT,__const) non-external _start_pass.aanscalefactor
0000000192b821c0 (__TEXT,__const) non-external _start_pass.aanscales
0000000192b7fd6c (__TEXT,__text) non-external _start_pass_1_quant
0000000192b5bd98 (__TEXT,__text) non-external _start_pass_2_quant
0000000192b63f90 (__TEXT,__text) non-external _start_pass_coef
0000000192b7b36c (__TEXT,__text) non-external _start_pass_coef
0000000192b638ec (__TEXT,__text) non-external _start_pass_dcolor
0000000192b77b30 (__TEXT,__text) non-external _start_pass_downsample
0000000192b712a0 (__TEXT,__text) non-external _start_pass_dpost
0000000192b62a78 (__TEXT,__text) non-external _start_pass_fdctmgr
0000000192b825c0 (__TEXT,__const) non-external _start_pass_fdctmgr.aanscalefactor
0000000192b82540 (__TEXT,__const) non-external _start_pass_fdctmgr.aanscales
0000000192b7cb30 (__TEXT,__text) non-external _start_pass_huff
0000000192b78dd4 (__TEXT,__text) non-external _start_pass_huff_decoder
0000000192b64954 (__TEXT,__text) non-external _start_pass_main
0000000192b7075c (__TEXT,__text) non-external _start_pass_main
0000000192b7888c (__TEXT,__text) non-external _start_pass_merged_upsample
