0000000182771da8 (__DATA,__data) external _NDR_record
0000000180661340 (__TEXT,__text) external ___fstat64_extended
000000018066136c (__TEXT,__text) external ___fstat_extended
0000000180661398 (__TEXT,__text) external ___fsync_nocancel
0000000180675230 (__TEXT,__text) external ___get_remove_counter
00000001806613c4 (__TEXT,__text) external ___getattrlist
00000001806613f0 (__TEXT,__text) external ___getdirentries64
000000018066141c (__TEXT,__text) external ___gethostuuid
0000000180661448 (__TEXT,__text) external ___getlogin
0000000180661474 (__TEXT,__text) external ___getpeername
00000001806614a0 (__TEXT,__text) external ___getpid
00000001806614f0 (__TEXT,__text) external ___getrlimit
000000018066151c (__TEXT,__text) external ___getsgroups
0000000180661548 (__TEXT,__text) external ___getsockname
0000000180661574 (__TEXT,__text) external ___gettid
00000001806615cc (__TEXT,__text) external ___gettimeofday
00000001806615a0 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
00000001806615fc (__TEXT,__text) external ___getwgroups
0000000180661628 (__TEXT,__text) external ___guarded_open_dprotected_np
0000000180661654 (__TEXT,__text) external ___guarded_open_np
0000000180661680 (__TEXT,__text) external ___identitysvc
0000000180675244 (__TEXT,__text) external ___inc_remove_counter
00000001806616ac (__TEXT,__text) external ___initgroups
00000001806616d8 (__TEXT,__text) external ___ioctl
0000000180661704 (__TEXT,__text) external ___iopolicysys
0000000180661730 (__TEXT,__text) external ___kdebug_trace
000000018066175c (__TEXT,__text) external ___kdebug_trace64
0000000180661788 (__TEXT,__text) external ___kdebug_trace_string
00000001806617b4 (__TEXT,__text) external ___kdebug_typefilter
0000000180692b58 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
0000000180692b20 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
00000001806617e0 (__TEXT,__text) external ___kill
000000018066180c (__TEXT,__text) external ___kqueue_workloop_ctl
0000000180661838 (__TEXT,__text) external ___lchown
0000000180665ce4 (__TEXT,__text) external ___libkernel_init
0000000180665d98 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
0000000180665d94 (__TEXT,__text) external ___libkernel_init_late
0000000180665b0c (__TEXT,__text) external ___libkernel_platform_init
0000000180665b44 (__TEXT,__text) external ___libkernel_voucher_init
0000000180661864 (__TEXT,__text) external ___listen
0000000180661890 (__TEXT,__text) external ___log_data
00000001806618bc (__TEXT,__text) external ___lseek
00000001806618e8 (__TEXT,__text) external ___lstat64_extended
0000000180661914 (__TEXT,__text) external ___lstat_extended
0000000180661940 (__TEXT,__text) external ___mac_execve
000000018066196c (__TEXT,__text) external ___mac_get_fd
0000000180661998 (__TEXT,__text) external ___mac_get_file
00000001806619c4 (__TEXT,__text) external ___mac_get_link
00000001806619f0 (__TEXT,__text) external ___mac_get_mount
0000000180661a1c (__TEXT,__text) external ___mac_get_pid
0000000180661a48 (__TEXT,__text) external ___mac_get_proc
0000000180661a74 (__TEXT,__text) external ___mac_getfsstat
0000000180661aa0 (__TEXT,__text) external ___mac_mount
0000000180661acc (__TEXT,__text) external ___mac_set_fd
0000000180661af8 (__TEXT,__text) external ___mac_set_file
0000000180661b24 (__TEXT,__text) external ___mac_set_link
0000000180661b50 (__TEXT,__text) external ___mac_set_proc
0000000180661b7c (__TEXT,__text) external ___mac_syscall
0000000180661ba8 (__TEXT,__text) external ___mach_bridge_remote_time
0000000180661bd4 (__TEXT,__text) external ___mach_eventlink_signal
0000000180661c00 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
0000000180661c2c (__TEXT,__text) external ___mach_eventlink_wait_until
0000000180661c58 (__TEXT,__text) external ___map_with_linking_np
0000000180661c84 (__TEXT,__text) external ___memorystatus_available_memory
0000000180661cb0 (__TEXT,__text) external ___microstackshot
0000000180661cdc (__TEXT,__text) external ___mkdir_extended
0000000180661d08 (__TEXT,__text) external ___mkfifo_extended
0000000180661d34 (__TEXT,__text) external ___mmap
0000000180661d60 (__TEXT,__text) external ___mprotect
0000000180661d8c (__TEXT,__text) external ___msgctl
0000000180661db8 (__TEXT,__text) external ___msgrcv_nocancel
0000000180661de4 (__TEXT,__text) external ___msgsnd_nocancel
0000000180661e10 (__TEXT,__text) external ___msgsys
0000000180661e3c (__TEXT,__text) external ___msync
0000000180661e68 (__TEXT,__text) external ___msync_nocancel
0000000180661e94 (__TEXT,__text) external ___munmap
0000000180661ec0 (__TEXT,__text) external ___nexus_create
0000000180661eec (__TEXT,__text) external ___nexus_deregister
0000000180661f18 (__TEXT,__text) external ___nexus_destroy
0000000180661f44 (__TEXT,__text) external ___nexus_get_opt
0000000180661f70 (__TEXT,__text) external ___nexus_open
0000000180661f9c (__TEXT,__text) external ___nexus_register
0000000180661fc8 (__TEXT,__text) external ___nexus_set_opt
0000000180661ff4 (__TEXT,__text) external ___open
0000000180662020 (__TEXT,__text) external ___open_dprotected_np
000000018066204c (__TEXT,__text) external ___open_extended
0000000180662078 (__TEXT,__text) external ___open_nocancel
00000001806620a4 (__TEXT,__text) external ___openat
00000001806620d0 (__TEXT,__text) external ___openat_dprotected_np
00000001806620fc (__TEXT,__text) external ___openat_nocancel
00000001827724c8 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
0000000180674688 (__TEXT,__text) external ___os_nexus_flow_add
0000000180674714 (__TEXT,__text) external ___os_nexus_flow_del
0000000180674870 (__TEXT,__text) external ___os_nexus_get_llink_info
0000000180674494 (__TEXT,__text) external ___os_nexus_ifattach
00000001806745c0 (__TEXT,__text) external ___os_nexus_ifdetach
0000000180662128 (__TEXT,__text) external ___persona
0000000180662154 (__TEXT,__text) external ___pipe
000000018066218c (__TEXT,__text) external ___poll_nocancel
00000001806621b8 (__TEXT,__text) external ___posix_spawn
00000001806621e4 (__TEXT,__text) external ___pread_nocancel
0000000180662210 (__TEXT,__text) external ___preadv_nocancel
000000018066223c (__TEXT,__text) external ___proc_info
0000000180662268 (__TEXT,__text) external ___proc_info_extended_id
0000000180662294 (__TEXT,__text) external ___process_policy
00000001806622c0 (__TEXT,__text) external ___pselect
00000001806622ec (__TEXT,__text) external ___pselect_nocancel
0000000180662318 (__TEXT,__text) external ___psynch_cvbroad
0000000180662344 (__TEXT,__text) external ___psynch_cvclrprepost
0000000180662370 (__TEXT,__text) external ___psynch_cvsignal
000000018066239c (__TEXT,__text) external ___psynch_cvwait
00000001806623c8 (__TEXT,__text) external ___psynch_mutexdrop
00000001806623f4 (__TEXT,__text) external ___psynch_mutexwait
0000000180662420 (__TEXT,__text) external ___psynch_rw_downgrade
000000018066244c (__TEXT,__text) external ___psynch_rw_longrdlock
0000000180662478 (__TEXT,__text) external ___psynch_rw_rdlock
00000001806624a4 (__TEXT,__text) external ___psynch_rw_unlock
00000001806624d0 (__TEXT,__text) external ___psynch_rw_unlock2
00000001806624fc (__TEXT,__text) external ___psynch_rw_upgrade
0000000180662528 (__TEXT,__text) external ___psynch_rw_wrlock
0000000180662554 (__TEXT,__text) external ___psynch_rw_yieldwrlock
0000000180662580 (__TEXT,__text) external ___pthread_canceled
00000001806625ac (__TEXT,__text) external ___pthread_chdir
00000001806625d8 (__TEXT,__text) external ___pthread_fchdir
0000000180662604 (__TEXT,__text) external ___pthread_kill
0000000180662630 (__TEXT,__text) external ___pthread_markcancel
000000018066265c (__TEXT,__text) external ___pthread_sigmask
0000000180662688 (__TEXT,__text) external ___ptrace
00000001806626c0 (__TEXT,__text) external ___pwrite_nocancel
00000001806626ec (__TEXT,__text) external ___pwritev_nocancel
0000000180662718 (__TEXT,__text) external ___read_nocancel
0000000180662744 (__TEXT,__text) external ___readv_nocancel
0000000180662770 (__TEXT,__text) external ___reboot
000000018066279c (__TEXT,__text) external ___record_system_event
00000001806627c8 (__TEXT,__text) external ___recvfrom
00000001806627f4 (__TEXT,__text) external ___recvfrom_nocancel
0000000180662820 (__TEXT,__text) external ___recvmsg
000000018066284c (__TEXT,__text) external ___recvmsg_nocancel
00000001827724e8 (__DATA,__bss) non-external ___remove_counter
0000000180662878 (__TEXT,__text) external ___rename
00000001806628a4 (__TEXT,__text) external ___renameat
00000001806628d0 (__TEXT,__text) external ___renameatx_np
00000001806628fc (__TEXT,__text) external ___rmdir
0000000180661940 (__TEXT,__text) external ___sandbox_me
0000000180661aa0 (__TEXT,__text) external ___sandbox_mm
0000000180661b7c (__TEXT,__text) external ___sandbox_ms
0000000180661b50 (__TEXT,__text) external ___sandbox_msp
0000000180662928 (__TEXT,__text) external ___select
0000000180662954 (__TEXT,__text) external ___select_nocancel
0000000180662980 (__TEXT,__text) external ___sem_open
00000001806629ac (__TEXT,__text) external ___sem_wait_nocancel
00000001806629d8 (__TEXT,__text) external ___semctl
0000000180662a04 (__TEXT,__text) external ___semsys
0000000180662a30 (__TEXT,__text) external ___semwait_signal
0000000180662a5c (__TEXT,__text) external ___semwait_signal_nocancel
0000000180662a88 (__TEXT,__text) external ___sendmsg
0000000180662ab4 (__TEXT,__text) external ___sendmsg_nocancel
0000000180662ae0 (__TEXT,__text) external ___sendto
0000000180662b0c (__TEXT,__text) external ___sendto_nocancel
0000000180662b38 (__TEXT,__text) external ___setattrlist
0000000180662b64 (__TEXT,__text) external ___setlogin
0000000180662b90 (__TEXT,__text) external ___setpriority
0000000180662bbc (__TEXT,__text) external ___setregid
0000000180662be8 (__TEXT,__text) external ___setreuid
0000000180662c14 (__TEXT,__text) external ___setrlimit
0000000180662c40 (__TEXT,__text) external ___setsgroups
0000000180662c6c (__TEXT,__text) external ___settid
0000000180662c98 (__TEXT,__text) external ___settid_with_pid
0000000180662cc4 (__TEXT,__text) external ___settimeofday
0000000180662cf0 (__TEXT,__text) external ___setwgroups
0000000180662d1c (__TEXT,__text) external ___sfi_ctl
0000000180662d48 (__TEXT,__text) external ___sfi_pidctl
0000000180662d74 (__TEXT,__text) external ___shared_region_check_np
0000000180662da0 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
0000000180662dcc (__TEXT,__text) external ___shm_open
0000000180662df8 (__TEXT,__text) external ___shmctl
0000000180662e24 (__TEXT,__text) external ___shmsys
0000000180662e50 (__TEXT,__text) external ___sigaction
0000000180662e7c (__TEXT,__text) external ___sigaltstack
0000000180662ea8 (__TEXT,__text) external ___sigreturn
0000000180662ed4 (__TEXT,__text) external ___sigsuspend
0000000180662f00 (__TEXT,__text) external ___sigsuspend_nocancel
0000000180662f2c (__TEXT,__text) external ___sigwait
0000000180662f58 (__TEXT,__text) external ___socketpair
0000000180662f84 (__TEXT,__text) external ___stack_snapshot_with_config
0000000180662fb0 (__TEXT,__text) external ___stat64_extended
0000000180662fdc (__TEXT,__text) external ___stat_extended
0000000180663008 (__TEXT,__text) external ___syscall
0000000182772488 (__DATA,__common) external ___syscall_logger
0000000180663044 (__TEXT,__text) external ___sysctl
0000000180663070 (__TEXT,__text) external ___sysctlbyname
000000018066309c (__TEXT,__text) external ___telemetry
00000001806630c8 (__TEXT,__text) external ___terminate_with_payload
00000001806630f4 (__TEXT,__text) external ___thread_selfid
0000000180663120 (__TEXT,__text) external ___thread_selfusage
000000018066314c (__TEXT,__text) external ___ulock_wait
0000000180663178 (__TEXT,__text) external ___ulock_wait2
00000001806631a4 (__TEXT,__text) external ___ulock_wake
00000001806631d0 (__TEXT,__text) external ___umask_extended
00000001806631fc (__TEXT,__text) external ___unlink
0000000180663228 (__TEXT,__text) external ___unlinkat
0000000180663254 (__TEXT,__text) external ___vfork
00000001806632c4 (__TEXT,__text) external ___wait4
00000001806632f0 (__TEXT,__text) external ___wait4_nocancel
000000018066331c (__TEXT,__text) external ___waitid_nocancel
0000000180663348 (__TEXT,__text) external ___work_interval_ctl
0000000180663374 (__TEXT,__text) external ___workq_kernreturn
00000001806633a0 (__TEXT,__text) external ___workq_open
00000001806633cc (__TEXT,__text) external ___write_nocancel
00000001806633f8 (__TEXT,__text) external ___writev_nocancel
0000000182771e40 (__DATA,__common) external __cpu_capabilities
0000000182771e44 (__DATA,__common) external __cpu_has_altivec
0000000182771bd8 (__DATA,__data) external __current_pid
00000001827724a0 (__DATA,__bss) non-external __dlsym
00000001806608d4 (__TEXT,__text) external __exclaves_ctl_trap
00000001806611ec (__TEXT,__text) external __exit
0000000180660b90 (__TEXT,__text) external __get_cpu_capabilities
00000001827724c0 (__DATA,__bss) non-external __gethostuuid_callback
000000018066b7e0 (__TEXT,__text) external __getprivatesystemidentifier
000000018067b6b0 (__TEXT,__text) external __host_page_size
00000001806753b8 (__TEXT,__text) external __init_cpu_capabilities
000000018067cf90 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
000000018067e4c0 (__TEXT,__text) external __kernelrpc_mach_port_allocate
000000018067fae0 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
000000018067e3a0 (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
000000018067f96c (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
00000001806606c4 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
000000018068191c (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
00000001806809dc (__TEXT,__text) external __kernelrpc_mach_port_construct
0000000180660718 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
000000018067e738 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
00000001806606d0 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
000000018067e618 (__TEXT,__text) external __kernelrpc_mach_port_destroy
0000000180680b50 (__TEXT,__text) external __kernelrpc_mach_port_destruct
0000000180660724 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
00000001806800e4 (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
00000001806804d4 (__TEXT,__text) external __kernelrpc_mach_port_extract_member
000000018066070c (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
000000018067f374 (__TEXT,__text) external __kernelrpc_mach_port_extract_right
000000018067f610 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
00000001806607cc (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
00000001806805f4 (__TEXT,__text) external __kernelrpc_mach_port_get_context
000000018067e858 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
0000000180681740 (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
000000018067ee04 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
000000018067fd8c (__TEXT,__text) external __kernelrpc_mach_port_get_srights
0000000180680c70 (__TEXT,__text) external __kernelrpc_mach_port_guard
00000001806607d8 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
0000000180681160 (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
00000001806803b4 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
0000000180660700 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
000000018067f244 (__TEXT,__text) external __kernelrpc_mach_port_insert_right
00000001806606f4 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
00000001806815e8 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
000000018068024c (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
000000018068086c (__TEXT,__text) external __kernelrpc_mach_port_kobject
00000001806813a8 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
000000018067e9ac (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
00000001806606dc (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
000000018067ef9c (__TEXT,__text) external __kernelrpc_mach_port_move_member
00000001806606e8 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
000000018067df64 (__TEXT,__text) external __kernelrpc_mach_port_names
000000018067eacc (__TEXT,__text) external __kernelrpc_mach_port_peek
000000018067e280 (__TEXT,__text) external __kernelrpc_mach_port_rename
000000018067f0bc (__TEXT,__text) external __kernelrpc_mach_port_request_notification
00000001806608c8 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
000000018067f800 (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
000000018068074c (__TEXT,__text) external __kernelrpc_mach_port_set_context
000000018067ece4 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
000000018067f4f0 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
0000000180680eb4 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
000000018067fee4 (__TEXT,__text) external __kernelrpc_mach_port_space_info
0000000180681008 (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
0000000180681284 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
000000018067e128 (__TEXT,__text) external __kernelrpc_mach_port_type
00000001806608bc (__TEXT,__text) external __kernelrpc_mach_port_type_trap
0000000180680d94 (__TEXT,__text) external __kernelrpc_mach_port_unguard
00000001806607e4 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
000000018068b0b8 (__TEXT,__text) external __kernelrpc_mach_task_is_self
0000000180681a88 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
000000018066067c (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
0000000180681be4 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
0000000180660694 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
0000000180682858 (__TEXT,__text) external __kernelrpc_mach_vm_map
00000001806606b8 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
0000000180681d04 (__TEXT,__text) external __kernelrpc_mach_vm_protect
00000001806606ac (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
0000000180683434 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
0000000180660688 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
0000000180681f4c (__TEXT,__text) external __kernelrpc_mach_vm_read
0000000180682b48 (__TEXT,__text) external __kernelrpc_mach_vm_remap
00000001806838d4 (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
000000018069166c (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
000000018067fc6c (__TEXT,__text) external __kernelrpc_task_set_port_space
000000018068d938 (__TEXT,__text) external __kernelrpc_thread_policy
000000018068daac (__TEXT,__text) external __kernelrpc_thread_policy_set
000000018068e3f4 (__TEXT,__text) external __kernelrpc_thread_set_policy
000000018068f92c (__TEXT,__text) external __kernelrpc_vm_map
0000000180690508 (__TEXT,__text) external __kernelrpc_vm_purgable_control
000000018068f020 (__TEXT,__text) external __kernelrpc_vm_read
000000018068fc1c (__TEXT,__text) external __kernelrpc_vm_remap
0000000180690660 (__TEXT,__text) external __kernelrpc_vm_remap_new
0000000180665dfc (__TEXT,__text) non-external __libkernel_bzero
0000000182772498 (__DATA,__bss) non-external __libkernel_functions
00000001827d2210 (__AUTH_CONST,__const) non-external __libkernel_generic_string_functions
0000000180665e90 (__TEXT,__text) non-external __libkernel_memmove
0000000180665e08 (__TEXT,__text) non-external __libkernel_memset
0000000180665d9c (__TEXT,__text) non-external __libkernel_strchr
0000000180665dd4 (__TEXT,__text) non-external __libkernel_strcmp
0000000180665fa8 (__TEXT,__text) non-external __libkernel_strcpy
0000000182771be0 (__DATA,__data) non-external __libkernel_string_functions
0000000180665ff0 (__TEXT,__text) non-external __libkernel_strlcpy
0000000180665bcc (__TEXT,__text) non-external __libkernel_strlen
0000000182771be8 (__DATA,__data) non-external __libkernel_voucher_functions
0000000180692af0 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
00000001806676e0 (__TEXT,__text) non-external __mach_continuous_time
0000000180749180 (__DATA_CONST,__const) external __mach_errors
000000018066820c (__TEXT,__text) external __mach_fork_child
000000018066970c (__TEXT,__text) external __mach_snprintf
0000000180669598 (__TEXT,__text) external __mach_vsnprintf
0000000182771e48 (__DATA,__common) external __os_alloc_once_table
000000018066d14c (__TEXT,__text) non-external __posix_spawn_file_actions_grow
000000018066b7e4 (__TEXT,__text) external __register_gethostuuid_callback
00000001827724ac (__DATA,__bss) non-external __task_reply_port
00000001806659c8 (__TEXT,__text) external __thread_set_tsd_base
0000000180691fcc (__TEXT,__text) non-external _abort
0000000180691ff0 (__TEXT,__text) non-external _abort.380
0000000180692014 (__TEXT,__text) non-external _abort.382
0000000180692038 (__TEXT,__text) non-external _abort.393
0000000180692108 (__TEXT,__text) external _abort_with_payload
000000018069207c (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
000000018069205c (__TEXT,__text) external _abort_with_reason
0000000180660cc4 (__TEXT,__text) external _accept
0000000180660cf0 (__TEXT,__text) external _accept$NOCANCEL
0000000180663424 (__TEXT,__text) external _access
0000000180660d1c (__TEXT,__text) external _accessx_np
0000000180663450 (__TEXT,__text) external _acct
000000018068bff4 (__TEXT,__text) external _act_get_state
000000018068c240 (__TEXT,__text) external _act_set_state
000000018066347c (__TEXT,__text) external _adjtime
00000001806634a8 (__TEXT,__text) external _aio_cancel
00000001806634d4 (__TEXT,__text) external _aio_error
0000000180663500 (__TEXT,__text) external _aio_fsync
000000018066352c (__TEXT,__text) external _aio_read
0000000180663558 (__TEXT,__text) external _aio_return
0000000180663584 (__TEXT,__text) external _aio_suspend
0000000180660d48 (__TEXT,__text) external _aio_suspend$NOCANCEL
00000001806635b0 (__TEXT,__text) external _aio_write
00000001806635dc (__TEXT,__text) external _audit
0000000180663608 (__TEXT,__text) external _audit_session_join
0000000180663634 (__TEXT,__text) external _audit_session_port
0000000180663660 (__TEXT,__text) external _audit_session_self
000000018066368c (__TEXT,__text) external _auditctl
00000001806636b8 (__TEXT,__text) external _auditon
0000000180660d74 (__TEXT,__text) external _bind
0000000182771dfc (__DATA,__common) external _bootstrap_port
0000000180665b1c (__TEXT,__text) non-external _bzero
00000001806699d8 (__TEXT,__text) external _cerror
00000001806699b4 (__TEXT,__text) external _cerror_nocancel
00000001806636e4 (__TEXT,__text) external _change_fdguard_np
0000000180663710 (__TEXT,__text) external _chdir
000000018066373c (__TEXT,__text) external _chflags
000000018066c0f4 (__TEXT,__text) external _chmod
0000000180663768 (__TEXT,__text) external _chown
0000000180663794 (__TEXT,__text) external _chroot
0000000180677f84 (__TEXT,__text) external _clock_alarm
0000000180677c04 (__TEXT,__text) external _clock_alarm_reply
0000000180677db8 (__TEXT,__text) external _clock_get_attributes
0000000180677c6c (__TEXT,__text) external _clock_get_time
0000000180677aac (__TEXT,__text) external _clock_set_attributes
0000000180677990 (__TEXT,__text) external _clock_set_time
0000000180667868 (__TEXT,__text) external _clock_sleep
0000000180660898 (__TEXT,__text) external _clock_sleep_trap
00000001806676bc (__TEXT,__text) external _clonefile
00000001806637c0 (__TEXT,__text) external _clonefileat
00000001806637ec (__TEXT,__text) external _close
0000000180660f84 (__TEXT,__text) external _close$NOCANCEL
00000001806728f4 (__TEXT,__text) external _coalition_create
000000018067299c (__TEXT,__text) external _coalition_info_debug_info
0000000180672964 (__TEXT,__text) external _coalition_info_resource_usage
0000000180672a0c (__TEXT,__text) external _coalition_info_set_efficiency
00000001806729d4 (__TEXT,__text) external _coalition_info_set_name
0000000180672a48 (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
0000000180672934 (__TEXT,__text) external _coalition_reap
0000000180672904 (__TEXT,__text) external _coalition_terminate
0000000180661034 (__TEXT,__text) external _connect
0000000180661060 (__TEXT,__text) external _connect$NOCANCEL
0000000180663818 (__TEXT,__text) external _connectx
0000000180663844 (__TEXT,__text) external _csops
0000000180663870 (__TEXT,__text) external _csops_audittoken
0000000180672b2c (__TEXT,__text) external _csr_check
0000000180672b5c (__TEXT,__text) external _csr_get_active_config
0000000180660934 (__TEXT,__text) external _debug_control_port_for_pid
0000000180672d54 (__TEXT,__text) external _debug_syscall_reject
0000000180672c44 (__TEXT,__text) external _debug_syscall_reject_config
0000000182771da0 (__DATA,__data) external _denap_boost_assertion_token
000000018066389c (__TEXT,__text) external _disconnectx
0000000180667e3c (__TEXT,__text) non-external _do_compat
00000001806638c8 (__TEXT,__text) external _dup
00000001806638f4 (__TEXT,__text) external _dup2
0000000180748b80 (__DATA_CONST,__const) non-external _err_codes_auth
0000000180748a10 (__DATA_CONST,__const) non-external _err_codes_env_mgr
0000000180748d78 (__DATA_CONST,__const) non-external _err_codes_exception
0000000180748a50 (__DATA_CONST,__const) non-external _err_codes_execd
0000000180748b50 (__DATA_CONST,__const) non-external _err_codes_io
00000001807485f8 (__DATA_CONST,__const) non-external _err_codes_kern
0000000180748d48 (__DATA_CONST,__const) non-external _err_codes_loader
0000000180749130 (__DATA_CONST,__const) non-external _err_codes_mach_mig
00000001807490a8 (__DATA_CONST,__const) non-external _err_codes_mach_rcv
0000000180748ff0 (__DATA_CONST,__const) non-external _err_codes_mach_send
0000000180748d18 (__DATA_CONST,__const) non-external _err_codes_machobj
0000000180748fb0 (__DATA_CONST,__const) non-external _err_codes_mig
0000000180748a70 (__DATA_CONST,__const) non-external _err_codes_netmemory
00000001807489f0 (__DATA_CONST,__const) non-external _err_codes_netname
0000000180748ac0 (__DATA_CONST,__const) non-external _err_codes_ns
0000000180748f68 (__DATA_CONST,__const) non-external _err_codes_rcv
0000000180748f08 (__DATA_CONST,__const) non-external _err_codes_send
0000000180748c88 (__DATA_CONST,__const) non-external _err_codes_sunrpc
