00007ffa19b246eb (__TEXT,__text) non-external +[NFPromise new]
00007ffa19b21cd5 (__TEXT,__text) non-external -[NFEventManager attemptTriggersForCurrentEvent:]
00007ffa19b22408 (__TEXT,__text) non-external -[NFEventManager events]
00007ffa19b214ee (__TEXT,__text) non-external -[NFEventManager fireEvent:]
00007ffa19b294f8 (__TEXT,__text) non-external -[NFEventManager fireEvent:].cold.1
00007ffa19b22194 (__TEXT,__text) non-external -[NFEventManager handleAlwaysTrigger:event:]
00007ffa19b21eb9 (__TEXT,__text) non-external -[NFEventManager handleOnceTrigger:event:]
00007ffa19b21479 (__TEXT,__text) non-external -[NFEventManager init]
00007ffa19b21732 (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:]
00007ffa19b296ba (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:].cold.1
00007ffa19b21b35 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:]
00007ffa19b2995d (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:].cold.1
00007ffa19b21a64 (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:]
00007ffa19b2987c (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:].cold.1
00007ffa19b21599 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:]
00007ffa19b295d9 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:].cold.1
00007ffa19b218c8 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:]
00007ffa19b2979b (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:].cold.1
00007ffa19b22412 (__TEXT,__text) non-external -[NFEventManager triggers]
00007ffa19b2254e (__TEXT,__text) non-external -[NFEventTrigger .cxx_destruct]
00007ffa19b22530 (__TEXT,__text) non-external -[NFEventTrigger block]
00007ffa19b22526 (__TEXT,__text) non-external -[NFEventTrigger events]
00007ffa19b22544 (__TEXT,__text) non-external -[NFEventTrigger fireOnAny]
00007ffa19b2253a (__TEXT,__text) non-external -[NFEventTrigger fireOnce]
00007ffa19b22444 (__TEXT,__text) non-external -[NFEventTrigger initWithKey:fireOnce:fireOnAny:events:block:]
00007ffa19b2251c (__TEXT,__text) non-external -[NFEventTrigger key]
00007ffa19b23f9e (__TEXT,__text) non-external -[NFLazy .cxx_destruct]
00007ffa19b23f8a (__TEXT,__text) non-external -[NFLazy constructor]
00007ffa19b23d84 (__TEXT,__text) non-external -[NFLazy initWithConstructor:]
00007ffa19b23f94 (__TEXT,__text) non-external -[NFLazy lock]
00007ffa19b23efe (__TEXT,__text) non-external -[NFLazy reset]
00007ffa19b23e30 (__TEXT,__text) non-external -[NFLazy value]
00007ffa19b290e2 (__TEXT,__text) non-external -[NFMultiDelegate .cxx_destruct]
00007ffa19b2886e (__TEXT,__text) non-external -[NFMultiDelegate addDelegate:]
00007ffa19b290b3 (__TEXT,__text) non-external -[NFMultiDelegate children]
00007ffa19b28a99 (__TEXT,__text) non-external -[NFMultiDelegate conformsToProtocol:]
00007ffa19b290bd (__TEXT,__text) non-external -[NFMultiDelegate delegateProtocol]
00007ffa19b28865 (__TEXT,__text) non-external -[NFMultiDelegate delegate]
00007ffa19b28ecd (__TEXT,__text) non-external -[NFMultiDelegate forwardInvocation:]
00007ffa19b28756 (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:]
00007ffa19b2876b (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:options:]
00007ffa19b290c7 (__TEXT,__text) non-external -[NFMultiDelegate lock]
00007ffa19b28cdd (__TEXT,__text) non-external -[NFMultiDelegate methodSignatureForSelector:]
00007ffa19b28909 (__TEXT,__text) non-external -[NFMultiDelegate removeDelegate:]
00007ffa19b289a4 (__TEXT,__text) non-external -[NFMultiDelegate replaceDelegate:withDelegate:]
00007ffa19b28b27 (__TEXT,__text) non-external -[NFMultiDelegate respondsToSelector:]
00007ffa19b290d1 (__TEXT,__text) non-external -[NFMultiDelegate setLock:]
00007ffa19b272c2 (__TEXT,__text) non-external -[NFMutexLock dealloc]
00007ffa19b2722e (__TEXT,__text) non-external -[NFMutexLock initWithOptions:]
00007ffa19b2721a (__TEXT,__text) non-external -[NFMutexLock init]
00007ffa19b2734b (__TEXT,__text) non-external -[NFMutexLock lock]
00007ffa19b272fc (__TEXT,__text) non-external -[NFMutexLock performWithLockSync:]
00007ffa19b27359 (__TEXT,__text) non-external -[NFMutexLock unlock]
00007ffa19b21446 (__TEXT,__text) non-external -[NFPendingPromise .cxx_destruct]
00007ffa19b212b4 (__TEXT,__text) non-external -[NFPendingPromise init]
00007ffa19b213f9 (__TEXT,__text) non-external -[NFPendingPromise promise]
00007ffa19b2142d (__TEXT,__text) non-external -[NFPendingPromise reject]
00007ffa19b21414 (__TEXT,__text) non-external -[NFPendingPromise resolve]
00007ffa19b21403 (__TEXT,__text) non-external -[NFPendingPromise setPromise:]
00007ffa19b21437 (__TEXT,__text) non-external -[NFPendingPromise setReject:]
00007ffa19b2141e (__TEXT,__text) non-external -[NFPendingPromise setResolve:]
00007ffa19b258e2 (__TEXT,__text) non-external -[NFPromise .cxx_destruct]
00007ffa19b24801 (__TEXT,__text) non-external -[NFPromise always:]
00007ffa19b24e1f (__TEXT,__text) non-external -[NFPromise alwaysOn:always:]
00007ffa19b24789 (__TEXT,__text) non-external -[NFPromise dealloc]
00007ffa19b25798 (__TEXT,__text) non-external -[NFPromise delayOn]
00007ffa19b256c6 (__TEXT,__text) non-external -[NFPromise delay]
00007ffa19b247e5 (__TEXT,__text) non-external -[NFPromise error:]
00007ffa19b24d85 (__TEXT,__text) non-external -[NFPromise errorOn:error:]
00007ffa19b25248 (__TEXT,__text) non-external -[NFPromise errorOn]
00007ffa19b2518b (__TEXT,__text) non-external -[NFPromise error]
00007ffa19b24707 (__TEXT,__text) non-external -[NFPromise initWithError:]
00007ffa19b24479 (__TEXT,__text) non-external -[NFPromise initWithResolver:]
00007ffa19b24669 (__TEXT,__text) non-external -[NFPromise initWithValue:]
00007ffa19b2430e (__TEXT,__text) non-external -[NFPromise init]
00007ffa19b2507f (__TEXT,__text) non-external -[NFPromise pipeOn]
00007ffa19b24f7d (__TEXT,__text) non-external -[NFPromise pipe]
00007ffa19b254ed (__TEXT,__text) non-external -[NFPromise resolveOn]
00007ffa19b252b2 (__TEXT,__text) non-external -[NFPromise resolve]
00007ffa19b258c7 (__TEXT,__text) non-external -[NFPromise seal]
00007ffa19b258d1 (__TEXT,__text) non-external -[NFPromise setSeal:]
00007ffa19b247c9 (__TEXT,__text) non-external -[NFPromise then:]
00007ffa19b2481d (__TEXT,__text) non-external -[NFPromise thenOn:then:]
00007ffa19b24f13 (__TEXT,__text) non-external -[NFPromise thenOn]
00007ffa19b24eac (__TEXT,__text) non-external -[NFPromise then]
00007ffa19b277ac (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:]
00007ffa19b2780b (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:on:]
00007ffa19b26c58 (__TEXT,__text) non-external -[NFPromiseSeal .cxx_destruct]
00007ffa19b2660f (__TEXT,__text) non-external -[NFPromiseSeal alwaysOn:always:]
00007ffa19b26273 (__TEXT,__text) non-external -[NFPromiseSeal dealloc]
00007ffa19b29d11 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.1
00007ffa19b29df2 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.2
00007ffa19b26c04 (__TEXT,__text) non-external -[NFPromiseSeal error]
00007ffa19b26c33 (__TEXT,__text) non-external -[NFPromiseSeal handlers]
00007ffa19b26200 (__TEXT,__text) non-external -[NFPromiseSeal initWithError:]
00007ffa19b2618d (__TEXT,__text) non-external -[NFPromiseSeal initWithValue:]
00007ffa19b26110 (__TEXT,__text) non-external -[NFPromiseSeal init]
00007ffa19b26c4e (__TEXT,__text) non-external -[NFPromiseSeal lock]
00007ffa19b26736 (__TEXT,__text) non-external -[NFPromiseSeal registerHandler:]
00007ffa19b26386 (__TEXT,__text) non-external -[NFPromiseSeal reject:]
00007ffa19b2636f (__TEXT,__text) non-external -[NFPromiseSeal resolve:]
00007ffa19b263a3 (__TEXT,__text) non-external -[NFPromiseSeal resolveOn:reject:resolve:]
00007ffa19b2689e (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:]
00007ffa19b29ed3 (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:].cold.1
00007ffa19b26c0e (__TEXT,__text) non-external -[NFPromiseSeal setError:]
00007ffa19b26c3d (__TEXT,__text) non-external -[NFPromiseSeal setHandlers:]
00007ffa19b26c29 (__TEXT,__text) non-external -[NFPromiseSeal setState:]
00007ffa19b26bf3 (__TEXT,__text) non-external -[NFPromiseSeal setValue:]
00007ffa19b26c1f (__TEXT,__text) non-external -[NFPromiseSeal state]
00007ffa19b26be9 (__TEXT,__text) non-external -[NFPromiseSeal value]
00007ffa19b271e7 (__TEXT,__text) non-external -[NFReachability .cxx_destruct]
00007ffa19b27032 (__TEXT,__text) non-external -[NFReachability _statusFromNetworkPath:]
00007ffa19b26f39 (__TEXT,__text) non-external -[NFReachability _updateCurrentNetworkPath:]
00007ffa19b271cc (__TEXT,__text) non-external -[NFReachability currentNetworkPath]
00007ffa19b27182 (__TEXT,__text) non-external -[NFReachability currentReachabilityStatus]
00007ffa19b26eff (__TEXT,__text) non-external -[NFReachability dealloc]
00007ffa19b26d54 (__TEXT,__text) non-external -[NFReachability init]
00007ffa19b271b1 (__TEXT,__text) non-external -[NFReachability networkPathMonitor]
00007ffa19b27196 (__TEXT,__text) non-external -[NFReachability observationQueue]
00007ffa19b271d6 (__TEXT,__text) non-external -[NFReachability setCurrentNetworkPath:]
00007ffa19b2718c (__TEXT,__text) non-external -[NFReachability setCurrentReachabilityStatus:]
00007ffa19b271bb (__TEXT,__text) non-external -[NFReachability setNetworkPathMonitor:]
00007ffa19b271a0 (__TEXT,__text) non-external -[NFReachability setObservationQueue:]
00007ffa19b23c87 (__TEXT,__text) non-external -[NFStateMachine .cxx_destruct]
00007ffa19b22d22 (__TEXT,__text) non-external -[NFStateMachine activateIfNeeded]
00007ffa19b22ca4 (__TEXT,__text) non-external -[NFStateMachine activate]
00007ffa19b22f69 (__TEXT,__text) non-external -[NFStateMachine addEvent:]
00007ffa19b29b1f (__TEXT,__text) non-external -[NFStateMachine addEvent:].cold.1
00007ffa19b22e3c (__TEXT,__text) non-external -[NFStateMachine addState:]
00007ffa19b29a3e (__TEXT,__text) non-external -[NFStateMachine addState:].cold.1
00007ffa19b22dee (__TEXT,__text) non-external -[NFStateMachine deactivateIfNeeded]
00007ffa19b22d70 (__TEXT,__text) non-external -[NFStateMachine deactivate]
00007ffa19b22bb6 (__TEXT,__text) non-external -[NFStateMachine debugDescription]
00007ffa19b22b18 (__TEXT,__text) non-external -[NFStateMachine description]
00007ffa19b23c3d (__TEXT,__text) non-external -[NFStateMachine events]
00007ffa19b23096 (__TEXT,__text) non-external -[NFStateMachine fireEventWithName:withContext:]
00007ffa19b229cd (__TEXT,__text) non-external -[NFStateMachine initWithState:withOwner:]
00007ffa19b23c58 (__TEXT,__text) non-external -[NFStateMachine lock]
00007ffa19b23bfb (__TEXT,__text) non-external -[NFStateMachine owner]
00007ffa19b23c47 (__TEXT,__text) non-external -[NFStateMachine setEvents:]
00007ffa19b23c62 (__TEXT,__text) non-external -[NFStateMachine setLock:]
00007ffa19b23c11 (__TEXT,__text) non-external -[NFStateMachine setOwner:]
00007ffa19b23bea (__TEXT,__text) non-external -[NFStateMachine setState:]
00007ffa19b23c2c (__TEXT,__text) non-external -[NFStateMachine setStates:]
00007ffa19b23bd6 (__TEXT,__text) non-external -[NFStateMachine setStatus:]
00007ffa19b23c7d (__TEXT,__text) non-external -[NFStateMachine setStatusToken:]
00007ffa19b23be0 (__TEXT,__text) non-external -[NFStateMachine state]
00007ffa19b23c22 (__TEXT,__text) non-external -[NFStateMachine states]
00007ffa19b23c73 (__TEXT,__text) non-external -[NFStateMachine statusToken]
00007ffa19b23bcc (__TEXT,__text) non-external -[NFStateMachine status]
00007ffa19b2776e (__TEXT,__text) non-external -[NFStateMachineEvent .cxx_destruct]
00007ffa19b27540 (__TEXT,__text) non-external -[NFStateMachineEvent description]
00007ffa19b2773a (__TEXT,__text) non-external -[NFStateMachineEvent destinationState]
00007ffa19b27755 (__TEXT,__text) non-external -[NFStateMachineEvent fireBlock]
00007ffa19b27629 (__TEXT,__text) non-external -[NFStateMachineEvent fired:withOwner:]
00007ffa19b2741f (__TEXT,__text) non-external -[NFStateMachineEvent hash]
00007ffa19b27367 (__TEXT,__text) non-external -[NFStateMachineEvent initWithName:transitionFromStates:toState:]
00007ffa19b27463 (__TEXT,__text) non-external -[NFStateMachineEvent isEqual:]
00007ffa19b27706 (__TEXT,__text) non-external -[NFStateMachineEvent name]
00007ffa19b27609 (__TEXT,__text) non-external -[NFStateMachineEvent onFire:]
00007ffa19b27744 (__TEXT,__text) non-external -[NFStateMachineEvent setDestinationState:]
00007ffa19b2775f (__TEXT,__text) non-external -[NFStateMachineEvent setFireBlock:]
00007ffa19b27710 (__TEXT,__text) non-external -[NFStateMachineEvent setName:]
00007ffa19b27729 (__TEXT,__text) non-external -[NFStateMachineEvent setStates:]
00007ffa19b2771f (__TEXT,__text) non-external -[NFStateMachineEvent states]
00007ffa19b28345 (__TEXT,__text) non-external -[NFStateMachineState .cxx_destruct]
00007ffa19b282c8 (__TEXT,__text) non-external -[NFStateMachineState canTryBlock]
00007ffa19b2819e (__TEXT,__text) non-external -[NFStateMachineState description]
00007ffa19b2832c (__TEXT,__text) non-external -[NFStateMachineState didEnterBlock]
00007ffa19b28313 (__TEXT,__text) non-external -[NFStateMachineState didExitBlock]
00007ffa19b2807d (__TEXT,__text) non-external -[NFStateMachineState hash]
00007ffa19b28012 (__TEXT,__text) non-external -[NFStateMachineState initWithName:]
00007ffa19b280c1 (__TEXT,__text) non-external -[NFStateMachineState isEqual:]
00007ffa19b282af (__TEXT,__text) non-external -[NFStateMachineState name]
00007ffa19b2820f (__TEXT,__text) non-external -[NFStateMachineState onCanTry:]
00007ffa19b2828f (__TEXT,__text) non-external -[NFStateMachineState onDidEnter:]
00007ffa19b2824f (__TEXT,__text) non-external -[NFStateMachineState onDidExit:]
00007ffa19b2826f (__TEXT,__text) non-external -[NFStateMachineState onWillEnter:]
00007ffa19b2822f (__TEXT,__text) non-external -[NFStateMachineState onWillExit:]
00007ffa19b282d2 (__TEXT,__text) non-external -[NFStateMachineState setCanTryBlock:]
00007ffa19b28336 (__TEXT,__text) non-external -[NFStateMachineState setDidEnterBlock:]
00007ffa19b2831d (__TEXT,__text) non-external -[NFStateMachineState setDidExitBlock:]
00007ffa19b282b9 (__TEXT,__text) non-external -[NFStateMachineState setName:]
00007ffa19b28304 (__TEXT,__text) non-external -[NFStateMachineState setWillEnterBlock:]
00007ffa19b282eb (__TEXT,__text) non-external -[NFStateMachineState setWillExitBlock:]
00007ffa19b282fa (__TEXT,__text) non-external -[NFStateMachineState willEnterBlock]
00007ffa19b282e1 (__TEXT,__text) non-external -[NFStateMachineState willExitBlock]
00007ffa19b28399 (__TEXT,__text) non-external -[NFStateMachineState(Private) canTry:withOwner:]
00007ffa19b28679 (__TEXT,__text) non-external -[NFStateMachineState(Private) didEnter:withOwner:]
00007ffa19b2859c (__TEXT,__text) non-external -[NFStateMachineState(Private) didExit:withOwner:]
00007ffa19b284f4 (__TEXT,__text) non-external -[NFStateMachineState(Private) willEnter:withOwner:]
00007ffa19b2844c (__TEXT,__text) non-external -[NFStateMachineState(Private) willExit:withOwner:]
00007ffa19b2126b (__TEXT,__text) non-external -[NFStateMachineTransition .cxx_destruct]
00007ffa19b21250 (__TEXT,__text) non-external -[NFStateMachineTransition context]
00007ffa19b210fb (__TEXT,__text) non-external -[NFStateMachineTransition description]
00007ffa19b211ff (__TEXT,__text) non-external -[NFStateMachineTransition event]
00007ffa19b2121a (__TEXT,__text) non-external -[NFStateMachineTransition fromState]
00007ffa19b20ff7 (__TEXT,__text) non-external -[NFStateMachineTransition initWithStateMachine:event:fromState:toState:context:]
00007ffa19b2125a (__TEXT,__text) non-external -[NFStateMachineTransition setContext:]
00007ffa19b21209 (__TEXT,__text) non-external -[NFStateMachineTransition setEvent:]
00007ffa19b21224 (__TEXT,__text) non-external -[NFStateMachineTransition setFromState:]
00007ffa19b211ee (__TEXT,__text) non-external -[NFStateMachineTransition setStateMachine:]
00007ffa19b2123f (__TEXT,__text) non-external -[NFStateMachineTransition setToState:]
00007ffa19b211e4 (__TEXT,__text) non-external -[NFStateMachineTransition stateMachine]
00007ffa19b21235 (__TEXT,__text) non-external -[NFStateMachineTransition toState]
00007ffa19b20fdb (__TEXT,__text) non-external -[NFUnfairLock assertLocked]
00007ffa19b20fe9 (__TEXT,__text) non-external -[NFUnfairLock assertNotLocked]
00007ffa19b20f07 (__TEXT,__text) non-external -[NFUnfairLock initWithOptions:]
00007ffa19b20f50 (__TEXT,__text) non-external -[NFUnfairLock init]
00007ffa19b20fbc (__TEXT,__text) non-external -[NFUnfairLock lock]
00007ffa19b20f64 (__TEXT,__text) non-external -[NFUnfairLock performWithLockSync:]
00007ffa19b20fcd (__TEXT,__text) non-external -[NFUnfairLock unlock]
00007ffa19b258fd (__TEXT,__text) non-external -[NFVoid copyWithZone:]
00007ffa19b22955 (__TEXT,__text) non-external -[NSError(NFStateMachine) fc_isStateMachineError:]
00007ffa19b240cf (__TEXT,__text) non-external -[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:]
00007ffa19b25e9a (__TEXT,__text) non-external -[NSString(NFAdditions) nf_sha1]
00007ffa19b25f93 (__TEXT,__text) non-external -[NSString(NFAdditions) nf_stringByReversingString]
00007ffa19b23cce (__TEXT,__text) non-external -[NSUserDefaults(NFAdditions) nf_migrateObjectForKey:toKey:]
00007ffa19b292d1 (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGPointValue]
00007ffa19b2923f (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGRectValue]
00007ffa19b2bc04 (__TEXT,__gcc_except_tab) non-external GCC_except_table19
00007ffa19b2bc60 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
00007ffa19b2bc7c (__TEXT,__gcc_except_tab) non-external GCC_except_table2
                 (undefined) external _BOMCopierCopyWithOptions (from Bom)
                 (undefined) external _BOMCopierFree (from Bom)
                 (undefined) external _BOMCopierNew (from Bom)
                 (undefined) external _BOMCopierSetCopyFileFinishedHandler (from Bom)
                 (undefined) external _BOMCopierSetUserData (from Bom)
                 (undefined) external _BOMCopierUserData (from Bom)
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
00007ffa19b226e8 (__TEXT,__text) non-external _NFArchiverCopyFileFinishedHandler
00007ffa19b2949d (__TEXT,__text) external _NFDeviceHasExtendedColorDisplay
00007ffa19b29fe4 (__TEXT,__text) non-external _NFDeviceHasExtendedColorDisplay.cold.1
00007ffa42f51de8 (__DATA_DIRTY,__bss) non-external _NFDeviceHasExtendedColorDisplay.hasExtendedColorDisplay
00007ffa42f51de0 (__DATA_DIRTY,__bss) non-external _NFDeviceHasExtendedColorDisplay.onceToken
00007ffa19b2934a (__TEXT,__text) external _NFDeviceIsA7
00007ffa19b29352 (__TEXT,__text) external _NFDeviceIsA8
00007ffa19b29434 (__TEXT,__text) external _NFDeviceModelString
00007ffa19b29419 (__TEXT,__text) external _NFDeviceOSVersion
00007ffa19b2935a (__TEXT,__text) external _NFDevicePlatform
00007ffa19b29fcc (__TEXT,__text) non-external _NFDevicePlatform.cold.1
00007ffa42f51dd8 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.onceToken
00007ffa42f51dd0 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.s_platformString
00007ffa19b2940c (__TEXT,__text) external _NFGeneralDeviceString
00007ffa19b20e70 (__TEXT,__text) external _NFInternalBuild
00007ffa19b294c8 (__TEXT,__text) non-external _NFInternalBuild.cold.1
00007ffa42f51df8 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.internalBuild
00007ffa42f51df0 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.onceToken
00007ffa19b26c96 (__TEXT,__text) external _NFLockSync
00007ffa19b2605d (__TEXT,__text) external _NFPromiseInvokeOnQueue
00007ffa19b20ea6 (__TEXT,__text) external _NFSeedBuild
00007ffa423558e8 (__DATA_CONST,__const) external _NFStateMachineErrorDomain
00007ffa19b20eae (__TEXT,__text) external _NFStoreDemoMode
00007ffa19b294e0 (__TEXT,__text) non-external _NFStoreDemoMode.cold.1
00007ffa42f51dc8 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.onceToken
00007ffa42f51df9 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.storeDemoMode
00007ffa19b2944f (__TEXT,__text) external _NFSystemName
                 (undefined) external _NSGetSizeAndAlignment (from CoreFoundation)
                 (undefined) external _NSInternalInconsistencyException (from CoreFoundation)
                 (undefined) external _NSKeyedArchiveRootObjectKey (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
00007ffa19b2af50 (__TEXT,__const) external _NewsFoundationVersionNumber
00007ffa19b2af10 (__TEXT,__const) external _NewsFoundationVersionString
00007ffa42f51d20 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFArchiver
00007ffa42f51c80 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventManager
00007ffa42f51c58 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventTrigger
00007ffa42f51c30 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFLazy
00007ffa42f51d48 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMultiDelegate
00007ffa42f51c08 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMutexLock
00007ffa42f51ca8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPendingPromise
00007ffa42f51be0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromise
00007ffa42f51bb8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromiseSeal
00007ffa42f51b90 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFReachability
00007ffa42f51b68 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachine
00007ffa42f51b40 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineEvent
00007ffa42f51b18 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineState
00007ffa42f51af0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineTransition
00007ffa42f51ac8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFUnfairLock
00007ffa42f51aa0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFVoid
                 (undefined) external _OBJC_CLASS_$_NSBlock (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSHashTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSValue (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
00007ffa43bfdf18 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._events
00007ffa43bfdf20 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._triggers
00007ffa43bfdf48 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._block
00007ffa43bfdf40 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._events
00007ffa43bfdf30 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnAny
