00000001e429db74 (__TEXT,__text) non-external _DiToMD5
00000001e427fc60 (__TEXT,__text) external _IOParseBootArgNumber
00000001e42801b0 (__TEXT,__text) external _IOParseBootArgString
00000001e42816fc (__TEXT,__text) external _IORPCMessageFromMach
00000001e42ad9d8 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.1
00000001e42ada18 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.2
00000001e4282930 (__TEXT,__text) external _IORWLockAlloc
00000001e42ade30 (__TEXT,__text) non-external _IORWLockAlloc.cold.1
00000001e4282974 (__TEXT,__text) external _IORWLockFree
00000001e42829b8 (__TEXT,__text) external _IORWLockRead
00000001e42ade5c (__TEXT,__text) non-external _IORWLockRead.cold.1
00000001e42829f8 (__TEXT,__text) external _IORWLockUnlock
00000001e42adeb4 (__TEXT,__text) non-external _IORWLockUnlock.cold.1
00000001e42829d8 (__TEXT,__text) external _IORWLockWrite
00000001e42ade88 (__TEXT,__text) non-external _IORWLockWrite.cold.1
00000001e4282750 (__TEXT,__text) external _IORecursiveConditionLockAlloc
00000001e428278c (__TEXT,__text) external _IORecursiveConditionLockFree
00000001e4282874 (__TEXT,__text) external _IORecursiveConditionLockHaveLock
00000001e42addac (__TEXT,__text) non-external _IORecursiveConditionLockHaveLock.cold.1
00000001e428279c (__TEXT,__text) external _IORecursiveConditionLockLock
00000001e42adcfc (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.1
00000001e42add28 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.2
00000001e42828b8 (__TEXT,__text) external _IORecursiveConditionLockTryLock
00000001e42addd8 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.1
00000001e42ade04 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.2
00000001e4282804 (__TEXT,__text) external _IORecursiveConditionLockUnlock
00000001e42add54 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.1
00000001e42add80 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.2
00000001e4282708 (__TEXT,__text) external _IORecursiveLockAlloc
00000001e428272c (__TEXT,__text) external _IORecursiveLockFree
00000001e4282748 (__TEXT,__text) external _IORecursiveLockHaveLock
00000001e428273c (__TEXT,__text) external _IORecursiveLockLock
00000001e428274c (__TEXT,__text) external _IORecursiveLockTryLock
00000001e4282744 (__TEXT,__text) external _IORecursiveLockUnlock
00000002104f2760 (__AUTH_CONST,__const) external _IOReportLegend_Class
00000002104f24e0 (__AUTH_CONST,__const) external _IOReporter_Class
00000002104f2d90 (__AUTH_CONST,__const) external _IOServiceNotificationDispatchSource_Class
00000002104f2f40 (__AUTH_CONST,__const) external _IOServiceStateNotificationDispatchSource_Class
00000002104f2be0 (__AUTH_CONST,__const) external _IOService_Class
00000002104f2580 (__AUTH_CONST,__const) external _IOSimpleReporter_Class
00000001e427fba8 (__TEXT,__text) external _IOSleep
00000002104f2620 (__AUTH_CONST,__const) external _IOStateReporter_Class
00000002104f4d40 (__AUTH_CONST,__const) external _IOThread_Class
00000002104f30f0 (__AUTH_CONST,__const) external _IOTimerDispatchSource_Class
00000002104f32a0 (__AUTH_CONST,__const) external _IOUserClient_Class
00000001e428341c (__TEXT,__text) external _IOUserServerMain
00000001e42ae238 (__TEXT,__text) non-external _IOUserServerMain.cold.1
00000001e42ae3c4 (__TEXT,__text) non-external _IOUserServerMain.cold.10
00000001e42ae264 (__TEXT,__text) non-external _IOUserServerMain.cold.2
00000001e42ae290 (__TEXT,__text) non-external _IOUserServerMain.cold.3
00000001e42ae2bc (__TEXT,__text) non-external _IOUserServerMain.cold.4
00000001e42ae2e8 (__TEXT,__text) non-external _IOUserServerMain.cold.5
00000001e42ae314 (__TEXT,__text) non-external _IOUserServerMain.cold.6
00000001e42ae340 (__TEXT,__text) non-external _IOUserServerMain.cold.7
00000001e42ae36c (__TEXT,__text) non-external _IOUserServerMain.cold.8
00000001e42ae398 (__TEXT,__text) non-external _IOUserServerMain.cold.9
00000002104f3620 (__AUTH_CONST,__const) external _IOUserServer_Class
000000020f5657b0 (__DATA_DIRTY,__common) external _IOVMPageSize
00000002104f37d0 (__AUTH_CONST,__const) external _IOWorkGroup_Class
00000001e429dd48 (__TEXT,__text) external _MD5Final
00000001e429daac (__TEXT,__text) external _MD5Init
00000001e429dcd0 (__TEXT,__text) non-external _MD5ToDi
00000001e429dbe0 (__TEXT,__text) external _MD5Update
                 (undefined) external _NDR_record (from libSystem)
00000002104f3980 (__AUTH_CONST,__const) external _OSAction_Class
00000002104f3340 (__AUTH_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
00000002104f4a80 (__AUTH_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
00000001e428d750 (__TEXT,__text) external _OSArrayAppendValue
00000001e428d3c4 (__TEXT,__text) external _OSArrayApply
00000001e428cff8 (__TEXT,__text) external _OSArrayCreate
00000001e428c564 (__TEXT,__text) external _OSArrayGetCount
00000001e428d7f8 (__TEXT,__text) external _OSArrayGetStringValue
00000001e428d8a8 (__TEXT,__text) external _OSArrayGetUInt64Value
00000001e428d784 (__TEXT,__text) external _OSArrayGetValue
00000001e428d748 (__TEXT,__text) external _OSArrayReplaceValue
00000001e428d824 (__TEXT,__text) external _OSArraySetStringValue
00000001e428d9b0 (__TEXT,__text) external _OSArraySetUInt64Value
00000001e428d570 (__TEXT,__text) external _OSArraySetValue
00000002104f3b30 (__AUTH_CONST,__const) external _OSArray_Class
00000002104f3c28 (__AUTH_CONST,__const) external _OSBoolean_Class
00000002104f3d20 (__AUTH_CONST,__const) external _OSBundle_Class
00000001e428b384 (__TEXT,__text) external _OSCollectionTypeID
00000001e42af1a8 (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
00000001e428b2b4 (__TEXT,__text) external _OSCollectionTypeName
00000001e42af150 (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
00000002104f3e18 (__AUTH_CONST,__const) external _OSCollection_Class
00000001e4290940 (__TEXT,__text) external _OSCollectionsInitialize
00000002104f3f10 (__AUTH_CONST,__const) external _OSContainer_Class
00000001e428b40c (__TEXT,__text) external _OSCreateObjectFromSerialization
00000001e42af200 (__TEXT,__text) non-external _OSCreateObjectFromSerialization.cold.1
00000001e428e368 (__TEXT,__text) external _OSCreateSerializationFromBytes
00000001e42af780 (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
00000001e428e23c (__TEXT,__text) external _OSCreateSerializationFromObject
00000001e428c3a0 (__TEXT,__text) external _OSDataAppendBytes
00000001e428c304 (__TEXT,__text) external _OSDataCreate
00000001e428c298 (__TEXT,__text) external _OSDataGetBytes
00000001e428c24c (__TEXT,__text) external _OSDataGetBytesPtr
00000001e428c288 (__TEXT,__text) external _OSDataGetLength
00000002104f4070 (__AUTH_CONST,__const) external _OSData_Class
00000001e428c570 (__TEXT,__text) external _OSDictionaryApply
00000001e428c4f0 (__TEXT,__text) external _OSDictionaryCreate
00000001e428c558 (__TEXT,__text) external _OSDictionaryGetCount
00000001e428cd24 (__TEXT,__text) external _OSDictionaryGetStringValue
00000001e428ceac (__TEXT,__text) external _OSDictionaryGetUInt64Value
00000001e428cc80 (__TEXT,__text) external _OSDictionaryGetValue
00000001e428ce28 (__TEXT,__text) external _OSDictionarySetStringValue
00000001e428cf78 (__TEXT,__text) external _OSDictionarySetUInt64Value
00000001e428c8e4 (__TEXT,__text) external _OSDictionarySetValue
00000002104f4168 (__AUTH_CONST,__const) external _OSDictionary_Class
00000002104f4260 (__AUTH_CONST,__const) external _OSMappedFile_Class
00000001e428c47c (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00000001e428c454 (__TEXT,__text) external _OSNumberGetUInt64Value
00000002104f4358 (__AUTH_CONST,__const) external _OSNumber_Class
00000001e428e97c (__TEXT,__text) external _OSObjectLog
00000001e428b314 (__TEXT,__text) external _OSObjectRelease
00000001e428b2f0 (__TEXT,__text) external _OSObjectRetain
00000002104f4450 (__AUTH_CONST,__const) external _OSObject_Class
00000002104f4600 (__AUTH_CONST,__const) external _OSOrderedSet_Class
00000001e42801b8 (__TEXT,__text) external _OSReportWithBacktrace
00000001e428e4ac (__TEXT,__text) external _OSSerializationGetBytes
00000002104f46f8 (__AUTH_CONST,__const) external _OSSerialization_Class
00000002104f47f0 (__AUTH_CONST,__const) external _OSSet_Class
00000001e428bea8 (__TEXT,__text) external _OSStringCreate
00000001e42af2dc (__TEXT,__text) non-external _OSStringCreate.cold.1
00000001e428be54 (__TEXT,__text) external _OSStringGetLength
00000001e42af2b0 (__TEXT,__text) non-external _OSStringGetLength.cold.1
00000001e428be18 (__TEXT,__text) external _OSStringGetStringPtr
00000002104f48e8 (__AUTH_CONST,__const) external _OSString_Class
00000001e427fbb8 (__TEXT,__text) external _OSSynchronizeIO
000000020cd3ab60 (__DATA,__bss) non-external _OSUniqueStrings
00000001e42805e4 (__TEXT,__text) external _PE_i_can_has_debugger
00000001e429e0b8 (__TEXT,__text) external _SHA1Final
00000001e429de1c (__TEXT,__text) external _SHA1Init
00000001e429e044 (__TEXT,__text) non-external _SHA1ToDi
00000001e429df54 (__TEXT,__text) external _SHA1Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00000001e4280cb8 (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
00000002104f49e0 (__AUTH_CONST,__const) external __IOBlockStorageDevice_Class
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
00000001e4280fcc (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00000001e42ad7f4 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
00000001e42ad820 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.2
00000001e4282a18 (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00000001e42adee0 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00000001e42adf0c (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00000001e42adf38 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00000001e42adf64 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00000001e42adf90 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
00000001e4281978 (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00000001e42adac8 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00000001e42adaf4 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00000001e42adb20 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00000001e42adb4c (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
00000001e42adb9c (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.5
00000001e428124c (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00000001e42ad8d0 (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
00000001e428d760 (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
00000001e42908d4 (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
00000001e4280e64 (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00000001e42ad770 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00000001e42ad79c (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00000001e42ad7c8 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00000001e428d8d4 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
00000001e428d984 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
00000001e428d900 (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
00000001e428102c (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
00000001e42ad84c (__TEXT,__text) non-external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject.cold.1
00000001e42ad878 (__TEXT,__text) non-external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject.cold.2
00000001e428ddb0 (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00000001e42af6a4 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00000001e42af6d0 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00000001e42af6fc (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
00000001e42af728 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
00000001e42af754 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
00000001e427f76c (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
00000001e427f8a8 (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
00000001e42815f0 (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
00000001e4283190 (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00000001e4280dd0 (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00000001e4280d1c (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00000001e428e4c8 (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00000001e42af7ac (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
00000001e4281170 (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00000001e42ad8a4 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00000001e428b3c8 (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00000001e42af1d4 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
00000001e428b338 (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00000001e42af17c (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
00000001e427e0f8 (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
00000001e42ad5b4 (__TEXT,__text) non-external __Z21OSUnserializeXMLparsePv.cold.1
00000001e428c1e4 (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
00000001e428da30 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00000001e42af43c (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00000001e42af468 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00000001e42af494 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00000001e42af4c0 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00000001e42af4ec (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
00000001e428c1ac (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00000001e428d0d4 (__TEXT,__text) non-external (was a private external) __Z27OSCollectionEntryArrayApplyP15OSSerialization17OSCollectionEntryU13block_pointerFbmS0_S1_E
00000001e42af38c (__TEXT,__text) non-external __Z27OSCollectionEntryArrayApplyP15OSSerialization17OSCollectionEntryU13block_pointerFbmS0_S1_E.cold.1
00000001e428d060 (__TEXT,__text) non-external (was a private external) __Z27OSCollectionEntryArrayCountP15OSSerialization17OSCollectionEntry
00000001e42af334 (__TEXT,__text) non-external __Z27OSCollectionEntryArrayCountP15OSSerialization17OSCollectionEntry.cold.1
00000001e42af360 (__TEXT,__text) non-external __Z27OSCollectionEntryArrayCountP15OSSerialization17OSCollectionEntry.cold.2
00000001e428c430 (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
00000001e428db74 (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00000001e42af518 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00000001e42af544 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00000001e42af570 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
00000001e4282b0c (__TEXT,__text) non-external (was a private external) __Z6ServerPvP17mach_msg_header_tS1_
00000001e42adfbc (__TEXT,__text) non-external __Z6ServerPvP17mach_msg_header_tS1_.cold.1
00000001e42adfe8 (__TEXT,__text) non-external __Z6ServerPvP17mach_msg_header_tS1_.cold.2
00000001e4283150 (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
00000001e42823c4 (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00000001e42abfc4 (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00000001e427f634 (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
00000001e428b110 (__TEXT,__text) non-external __ZL10uiomessagePv
00000001e42abd68 (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
00000001e428fa78 (__TEXT,__text) non-external __ZL11OSSetCreatev
00000001e42b0dc8 (__TEXT,__const) non-external __ZL11yytranslate
00000001e42ad510 (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
00000001e42ab700 (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00000001e42abe88 (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
00000001e42ac164 (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00000001e42ac1e4 (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
00000001e428c128 (__TEXT,__text) non-external __ZL12OSStringFindjPKcm
00000001e42ac9d0 (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
00000001e429f044 (__TEXT,__text) non-external __ZL13IOCommand_NewP11OSMetaClass
00000001e42a3adc (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
00000001e4289d68 (__TEXT,__text) non-external __ZL13IOThreadStartPv
00000001e42aee90 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.1
00000001e42aeebc (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.2
00000001e42aeee8 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.3
00000001e42abe08 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
00000001e42a385c (__TEXT,__text) non-external __ZL14IOReporter_NewP11OSMetaClass
00000001e42846fc (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
00000001e42ae7dc (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
00000001e42ae808 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
00000001e42ae834 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
00000001e42ae860 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.4
00000001e42a1aec (__TEXT,__text) non-external __ZL15IOEventLink_NewP11OSMetaClass
00000001e42a351c (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
00000001e42ab00c (__TEXT,__text) non-external __ZL15IOWorkGroup_NewP11OSMetaClass
00000001e42abf44 (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
00000001e4282dd0 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00000001e42ae014 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00000001e42ae040 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00000001e42ae06c (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00000001e42ae098 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00000001e4283cd4 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
00000001e42ae560 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
00000001e42ae58c (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
00000001e42ae5b8 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
00000001e42ae5e4 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
00000001e428ab04 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
00000001e42aefc4 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
00000001e42aeff0 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.2
00000001e42af01c (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.3
00000001e42af048 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.4
00000001e42af074 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.5
00000001e42af0a0 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.6
00000001e42af0cc (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.7
000000020cd3ab48 (__DATA,__bss) non-external __ZL15gIOThreadTLSKey
00000001e429f164 (__TEXT,__text) non-external __ZL16IODMACommand_NewP11OSMetaClass
00000001e42a97f0 (__TEXT,__text) non-external __ZL16IOUserClient_NewP11OSMetaClass
00000001e42aa7e4 (__TEXT,__text) non-external __ZL16IOUserServer_NewP11OSMetaClass
00000001e42abf08 (__TEXT,__text) non-external __ZL16OSCollection_NewP11OSMetaClass
00000001e4282f88 (__TEXT,__text) non-external __ZL16OSConsumeObjectsP16IORPCMessageMachb
00000001e4282ff0 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00000001e42ae0c4 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00000001e42ae0f0 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00000001e42ae11c (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00000001e42ae148 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00000001e42ae174 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.5
00000001e42ae1a0 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.6
00000001e42ac044 (__TEXT,__text) non-external __ZL16OSDictionary_NewP11OSMetaClass
00000001e42ac0e4 (__TEXT,__text) non-external __ZL16OSMappedFile_NewP11OSMetaClass
00000001e42ac810 (__TEXT,__text) non-external __ZL16OSOrderedSet_NewP11OSMetaClass
00000001e429f0c4 (__TEXT,__text) non-external __ZL17IOCommandPool_NewP11OSMetaClass
