00000001e9817368 (__DATA,__data) non-external _.compoundliteral
00000001dd4c5fe0 (__TEXT,__text) non-external (was a private external) _BitSetOr
00000001dd4c6194 (__TEXT,__text) non-external (was a private external) _BitSetOrEquals
00000001dd4c5f84 (__TEXT,__text) non-external (was a private external) _BitSetPreviousSetBit
00000001dd4c5d7c (__TEXT,__text) non-external (was a private external) _BitSetSetEquals
00000001dd4c5e1c (__TEXT,__text) non-external (was a private external) _BitSetSetRangeEquals
00000001dd4c5af0 (__TEXT,__text) non-external (was a private external) _BitSetSetRangeEqualsInternal
00000001dd4c5e7c (__TEXT,__text) non-external (was a private external) _BitSetSetSizeEquals
00000001dd4d13e0 (__TEXT,__text) non-external (was a private external) _BlockAdd
00000001dd4d1e68 (__TEXT,__text) non-external (was a private external) _BlockAddSuccessor
00000001dd4d14c8 (__TEXT,__text) non-external (was a private external) _BlockFree
00000001dd4d181c (__TEXT,__text) non-external (was a private external) _Blockify
00000001dd4d1f00 (__TEXT,__text) non-external (was a private external) _BlocksFree
00000001dd4cea30 (__TEXT,__text) non-external (was a private external) _BuildGenKill
00000001dd4cecd4 (__TEXT,__text) non-external (was a private external) _BuildInterferenceSets
00000001dd4cebd0 (__TEXT,__text) non-external (was a private external) _BuildLiveOut
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFBundleGetMainBundle (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
                 (undefined) external _CFStringGetMaximumSizeForEncoding (from CoreFoundation)
00000001dd47fa80 (__TEXT,__text) non-external _CPPelse
00000001dd480728 (__TEXT,__text) non-external _CPPerror
00000001dd480990 (__TEXT,__text) non-external _CPPextension
00000001dd47fd4c (__TEXT,__text) non-external _CPPif
00000001dd47fe4c (__TEXT,__text) non-external _CPPifdef
00000001dd47ffd8 (__TEXT,__text) non-external _CPPinclude
00000001dd480288 (__TEXT,__text) non-external _CPPline
00000001dd48046c (__TEXT,__text) non-external _CPPpragma
00000001dd480670 (__TEXT,__text) non-external _CPPundef
00000001dd480844 (__TEXT,__text) non-external _CPPversion
00000001dd4da098 (__TEXT,__text) non-external _CheckRemoveAvailableCopyTable
00000001dd4d8728 (__TEXT,__text) non-external _ClearDestedOpRegisters
00000001dd4da050 (__TEXT,__text) non-external _ClearJumpTable
00000001dd4d86c0 (__TEXT,__text) non-external _ClearRegisterState
00000001dd4d69f4 (__TEXT,__text) non-external (was a private external) _ConstantPropagateFold
00000001dd4cf644 (__TEXT,__text) non-external (was a private external) _DeadCodeEliminationSimple
00000001dd4d6cfc (__TEXT,__text) non-external (was a private external) _DecomposeMatrixOps
00000001dd4d303c (__TEXT,__text) non-external (was a private external) _DetectConstantLoopsSimple
00000001dd4676e8 (__TEXT,__text) non-external (was a private external) _DstSwizzleMask
00000001dd4d4788 (__TEXT,__text) non-external _EmulateOp
00000001dd4d8660 (__TEXT,__text) non-external _EmulationContext_PopRegisters
00000001dd4d8610 (__TEXT,__text) non-external _EmulationContext_PushRegisters
00000001dd47ed44 (__TEXT,__text) non-external _FindHashLoc
00000001dd4da3c4 (__TEXT,__text) non-external _FindMatchingAvailableCopy
00000001dd466440 (__TEXT,__text) non-external (was a private external) _FinishType
00000001dd4d2224 (__TEXT,__text) non-external (was a private external) _FlattenIf
00000001dd4d2078 (__TEXT,__text) non-external (was a private external) _FlattenIfs
00000001dd47ecdc (__TEXT,__text) non-external (was a private external) _FreeAtomTable
00000001dd47f090 (__TEXT,__text) non-external (was a private external) _FreeCPP
00000001dd481ba4 (__TEXT,__text) non-external (was a private external) _FreeScanner
00000001dd3bbf00 (__TEXT,__text) non-external _GLDAttribBindingForPPStreamToken
00000001dd3c0e78 (__TEXT,__text) non-external _GLDAttribBindingsAddAttribBinding
00000001e5850870 (__DATA_CONST,__const) non-external (was a private external) _GLP_BI_INDEX
00000001dd4f592c (__TEXT,__const) non-external (was a private external) _GLP_BI_INDEX_COUNT
00000001eabe9dd8 (__AUTH,__data) non-external (was a private external) _GLP_MALLOC_ALLOCATOR
00000001dd4f5180 (__TEXT,__const) non-external _GLP_MATRIX_TYPES
00000001e58528b0 (__DATA_CONST,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPES
00000001dd4f593c (__TEXT,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPE_ARRAY
00000001dd4f5130 (__TEXT,__const) non-external _GLP_VECTOR_TYPES
00000001dd47e8f4 (__TEXT,__text) non-external (was a private external) _GetAtomString
00000001dd4d3d84 (__TEXT,__text) non-external _GetOpRegs
00000001dd4d1dd4 (__TEXT,__text) non-external _GetOrAddBlock
00000001dd4d6c88 (__TEXT,__text) non-external _GetRegChunk
00000001dd4d0538 (__TEXT,__text) non-external _GetRegister
00000001dd4d8560 (__TEXT,__text) non-external _GetRegisterIndicies
00000001dd4d2f04 (__TEXT,__text) non-external _GetRegisterTypeInfo
00000001dd47e968 (__TEXT,__text) non-external (was a private external) _GetReversedAtom
00000001dd4da348 (__TEXT,__text) non-external _GetStreamArray
00000001dd47ecc8 (__TEXT,__text) non-external (was a private external) _GetStringOfAtom
00000001dd47eaf8 (__TEXT,__text) non-external _GrowAtomTable
00000001e98172e0 (__DATA,__data) non-external (was a private external) _HT_PRIMES
00000001dd4ce404 (__TEXT,__text) non-external (was a private external) _HashSetAdd
00000001dd4ce388 (__TEXT,__text) non-external (was a private external) _HashSetFree
00000001dd4ce524 (__TEXT,__text) non-external (was a private external) _HashSetGet
00000001dd4ce684 (__TEXT,__text) non-external (was a private external) _HashSetIteratorNext
00000001dd4ce67c (__TEXT,__text) non-external (was a private external) _HashSetIteratorSetup
00000001dd4ce2a4 (__TEXT,__text) non-external (was a private external) _HashSetNew
00000001dd4ce5c8 (__TEXT,__text) non-external (was a private external) _HashSetRemove
00000001dd4ce80c (__TEXT,__text) non-external (was a private external) _HashTableAdd
00000001dd4ce764 (__TEXT,__text) non-external (was a private external) _HashTableFree
00000001dd4ce984 (__TEXT,__text) non-external (was a private external) _HashTableGet
00000001dd4ce700 (__TEXT,__text) non-external (was a private external) _HashTableNew
                 (undefined) external _IOSurfaceGetBaseAddressOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetBytesPerRowOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetSeedOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceLockPlane (from IOSurface)
                 (undefined) external _IOSurfaceUnlockPlane (from IOSurface)
00000001dd47e990 (__TEXT,__text) non-external (was a private external) _InitAtomTable
00000001dd47eebc (__TEXT,__text) non-external (was a private external) _InitCPP
00000001dd46648c (__TEXT,__text) non-external (was a private external) _InitReg
00000001dd481b50 (__TEXT,__text) non-external (was a private external) _InitScanner
00000001dd4d0aac (__TEXT,__text) non-external (was a private external) _InstructionAdd
00000001dd4d1390 (__TEXT,__text) non-external (was a private external) _InstructionFree
00000001dd4d0b9c (__TEXT,__text) non-external _InstructionInitSourcesTargets
00000001dd4d3eb8 (__TEXT,__text) non-external _IsBadUsage
00000001dd467870 (__TEXT,__text) non-external (was a private external) _Load
00000001dd47e67c (__TEXT,__text) non-external (was a private external) _LookUpAddString
00000001dd47e758 (__TEXT,__text) non-external _LookUpAddStringHash
00000001dd483d90 (__TEXT,__text) non-external (was a private external) _LookUpLocalSymbol
00000001dd483e08 (__TEXT,__text) non-external (was a private external) _LookUpSymbol
00000001dd480b08 (__TEXT,__text) non-external (was a private external) _MacroExpand
00000001dd4846e8 (__TEXT,__text) non-external (was a private external) _MatchNextToken
00000001dd483be8 (__TEXT,__text) non-external (was a private external) _NewScopeInPool
00000001dd483e64 (__TEXT,__text) non-external (was a private external) _NewTokenStream
00000001e584ee10 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBfp10
00000001e584eab0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBvp10
00000001e584f030 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp10
00000001e584f170 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp20
00000001e584ec70 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp20
00000001e584ed70 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp30
00000001e584f270 (__DATA_CONST,__const) non-external (was a private external) _OpsList_fpSpecial
00000001e584ede0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_vpSpecial
00000001dd3b7a60 (__TEXT,__text) external _PPParserAttachLLVMIR
00000001dd3b77cc (__TEXT,__text) external _PPParserAttachStream
00000001dd3b7618 (__TEXT,__text) external _PPParserAttachString
00000001dd3bfed4 (__TEXT,__text) external _PPParserBuildErrorString
00000001dd3b7524 (__TEXT,__text) external _PPParserCreate
00000001dd3b819c (__TEXT,__text) non-external (was a private external) _PPParserDeclareNVAddressRegisters
00000001dd3bec48 (__TEXT,__text) non-external (was a private external) _PPParserExpandMacro
00000001dd3b76f0 (__TEXT,__text) external _PPParserFree
00000001dd3b7e70 (__TEXT,__text) non-external (was a private external) _PPParserGetCharacter
00000001dd3c0e60 (__TEXT,__text) external _PPParserGetErrorString
00000001dd3c0e70 (__TEXT,__text) external _PPParserGetImageUnitsUsed
00000001dd3b81f0 (__TEXT,__text) non-external (was a private external) _PPParserGetInteger
00000001dd3c0e3c (__TEXT,__text) external _PPParserGetLimits
00000001dd3c0e58 (__TEXT,__text) external _PPParserGetOptions
00000001dd3b7f7c (__TEXT,__text) non-external (was a private external) _PPParserGetPart
00000001dd3b829c (__TEXT,__text) non-external (was a private external) _PPParserGetScalars
00000001dd3c0e68 (__TEXT,__text) external _PPParserGetStream
00000001dd3b6420 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreate
00000001dd3b6468 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreateFromIdentifier
00000001dd3b6538 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierFree
00000001dd3b64b4 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierSetName
00000001dd3bffd4 (__TEXT,__text) non-external _PPParserInherit
00000001dd3b75a0 (__TEXT,__text) external _PPParserInit
00000001dd3c0f98 (__TEXT,__text) non-external _PPParserLabelsAddLabel
00000001dd3b776c (__TEXT,__text) non-external _PPParserLabelsFree
00000001dd3b5fe8 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreate
00000001dd3b6018 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreateFromMacro
00000001dd3b61b8 (__TEXT,__text) non-external (was a private external) _PPParserMacroFree
00000001dd3b62d0 (__TEXT,__text) non-external (was a private external) _PPParserMacroGetReplaceString
00000001dd3b613c (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamString
00000001dd3b60f4 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamStringsCount
00000001dd3b6234 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetSearchString
00000001dd3c0f24 (__TEXT,__text) non-external _PPParserOutputBindingsAddOutputBinding
00000001dd3befec (__TEXT,__text) external _PPParserParse
00000001dd3b90d0 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDeclaration
00000001dd3bcc60 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDestination
00000001dd3bdfb0 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressSourceVar
00000001dd3bea7c (__TEXT,__text) non-external (was a private external) _PPParserParseAliasDeclaration
00000001dd3b8b48 (__TEXT,__text) non-external (was a private external) _PPParserParseArray
00000001dd3bb45c (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeBinding
00000001dd3bbf40 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeDeclaration
00000001dd3b8a0c (__TEXT,__text) non-external (was a private external) _PPParserParseBlock
00000001dd3bcdd4 (__TEXT,__text) non-external (was a private external) _PPParserParseBranchCondition
00000001dd3b8c18 (__TEXT,__text) non-external (was a private external) _PPParserParseDefaultArray
00000001dd3bd160 (__TEXT,__text) non-external (was a private external) _PPParserParseDestination
00000001dd3bc734 (__TEXT,__text) non-external (was a private external) _PPParserParseDestinationMask
00000001dd3c0d94 (__TEXT,__text) non-external (was a private external) _PPParserParseEnd
00000001dd3b8e58 (__TEXT,__text) non-external (was a private external) _PPParserParseIndirectArray
00000001dd3bcb0c (__TEXT,__text) non-external (was a private external) _PPParserParseLabel
00000001dd3be7ec (__TEXT,__text) non-external (was a private external) _PPParserParseMacroDeclaration
00000001dd3be078 (__TEXT,__text) non-external (was a private external) _PPParserParseOperation
00000001dd3c0128 (__TEXT,__text) non-external (was a private external) _PPParserParseOption
00000001dd3b83b4 (__TEXT,__text) non-external (was a private external) _PPParserParseOptionIdentifier
00000001dd3bc080 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputBinding
00000001dd3bc604 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputDeclaration
00000001dd3b9a04 (__TEXT,__text) non-external (was a private external) _PPParserParseParamBinding
00000001dd3bb2d8 (__TEXT,__text) non-external (was a private external) _PPParserParseParameterDeclaration
00000001dd3b8d1c (__TEXT,__text) non-external (was a private external) _PPParserParseRangeArray
00000001dd3bc8e4 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceSwizzle
00000001dd3bd4e4 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceVar
00000001dd3c0200 (__TEXT,__text) non-external (was a private external) _PPParserParseStatement
00000001dd3bd990 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleCode
00000001dd3bd7fc (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleSourceVar
00000001dd3b9830 (__TEXT,__text) non-external (was a private external) _PPParserParseTempDeclaration
00000001dd3bdca4 (__TEXT,__text) non-external (was a private external) _PPParserParseTextureSourceVar
00000001dd3c0020 (__TEXT,__text) non-external (was a private external) _PPParserParseVersion
00000001dd3b66fc (__TEXT,__text) non-external (was a private external) _PPParserPreprocessString
00000001dd3b7efc (__TEXT,__text) non-external (was a private external) _PPParserReturnCharacter
00000001dd3b8118 (__TEXT,__text) non-external (was a private external) _PPParserReturnPart
00000001dd3b7384 (__TEXT,__text) non-external (was a private external) _PPParserScopeAddIdentifier
00000001dd3b6578 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreate
00000001dd3b72d4 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreateFromScope
00000001dd3b7494 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindIdentifier
00000001dd3b74dc (__TEXT,__text) non-external (was a private external) _PPParserScopeFindMacro
00000001dd3b73e0 (__TEXT,__text) non-external (was a private external) _PPParserScopeFree
00000001dd3c0e44 (__TEXT,__text) external _PPParserSetLimits
00000001dd3c0e34 (__TEXT,__text) external _PPParserSetPrefs
00000001dd3b75a4 (__TEXT,__text) non-external (was a private external) _PPParserShutdown
00000001dd3b9238 (__TEXT,__text) non-external _PPParserValidateName
00000001dd4c7060 (__TEXT,__text) external _PPStreamAddAddressUsage
00000001dd4c71bc (__TEXT,__text) external _PPStreamAddAttribBinding
00000001dd4c7714 (__TEXT,__text) external _PPStreamAddConstant
00000001dd4c760c (__TEXT,__text) external _PPStreamAddLabel
00000001dd4c7318 (__TEXT,__text) external _PPStreamAddOperation
00000001dd4c7814 (__TEXT,__text) external _PPStreamAddOption
00000001dd4c7230 (__TEXT,__text) external _PPStreamAddOutputBinding
00000001dd4c70d4 (__TEXT,__text) external _PPStreamAddParamBinding
00000001dd4c7148 (__TEXT,__text) external _PPStreamAddParamBindingArray
00000001dd4c77a0 (__TEXT,__text) external _PPStreamAddRasterOp
00000001dd4c6db0 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs0
00000001dd4c6e20 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs1
00000001dd4c6f70 (__TEXT,__text) external _PPStreamAddTempUsage
00000001dd4c6fe4 (__TEXT,__text) external _PPStreamAddTempUsageArray
00000001dd4c72a4 (__TEXT,__text) external _PPStreamAddTexImage
00000001dd4c82e8 (__TEXT,__text) external _PPStreamAttachStream
00000001dd4c639c (__TEXT,__text) external _PPStreamAttribBindingIsEqual
00000001dd4c8ad8 (__TEXT,__text) non-external (was a private external) _PPStreamChangeBranchTargets
00000001dd4c64bc (__TEXT,__text) non-external (was a private external) _PPStreamChunkCompare
00000001dd4c6f40 (__TEXT,__text) non-external _PPStreamChunkCreate
00000001dd4c63c4 (__TEXT,__text) non-external (was a private external) _PPStreamChunkGetStream
00000001dd4c6738 (__TEXT,__text) external _PPStreamChunkListAddChunk
00000001dd4c6a7c (__TEXT,__text) non-external (was a private external) _PPStreamChunkListChunkAtIndex
00000001dd4c6b34 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListCompare
00000001dd4c65b4 (__TEXT,__text) external _PPStreamChunkListCreate
00000001dd4c65e4 (__TEXT,__text) external _PPStreamChunkListCreateFromChunkList
00000001dd4c6770 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListFree
00000001dd4c6b9c (__TEXT,__text) external _PPStreamChunkListGetNextIndex
00000001dd4c698c (__TEXT,__text) external _PPStreamChunkListGetStream
00000001dd4c683c (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkAfterChunk
00000001dd4c67d0 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkBeforeChunk
00000001dd4c6898 (__TEXT,__text) external _PPStreamChunkListRemoveChunk
00000001dd4c68f4 (__TEXT,__text) external _PPStreamChunkListSort
00000001dd4c89ac (__TEXT,__text) external _PPStreamCompare
00000001dd4c6ccc (__TEXT,__text) external _PPStreamCreate
00000001dd4c6e94 (__TEXT,__text) external _PPStreamFree
00000001dd4c7884 (__TEXT,__text) external _PPStreamGetStream
00000001dd4c82b8 (__TEXT,__text) external _PPStreamGetTexOperationCount
00000001dd4c7518 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationAfterChunk
00000001dd4c7400 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationBeforeChunk
00000001dd4c63b0 (__TEXT,__text) external _PPStreamOutputBindingIsEqual
00000001dd4c8b94 (__TEXT,__text) non-external (was a private external) _PPStreamPackIndices
00000001dd4c6388 (__TEXT,__text) external _PPStreamParamBindingIsEqual
00000001dd4c76bc (__TEXT,__text) non-external (was a private external) _PPStreamRemoveLabelsAtOperationIndex
00000001dd4c9258 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveOperation
00000001dd4c9138 (__TEXT,__text) non-external (was a private external) _PPStreamResolveBranches
00000001dd3c21cc (__TEXT,__text) external _PPStreamTokenAddBlockInfo
00000001dd3c2d98 (__TEXT,__text) external _PPStreamTokenAddRasterOps
00000001dd4c81a4 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRasterRequirements
00000001dd4c7c00 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRequirements
00000001dd3c2f38 (__TEXT,__text) external _PPStreamTokenAddTexImages
00000001dd3c2ea0 (__TEXT,__text) external _PPStreamTokenAddTexUnitInfo
00000001dd4c828c (__TEXT,__text) external _PPStreamTokenAlloc
00000001dd3c32a4 (__TEXT,__text) external _PPStreamTokenConvertAttribBindings
00000001dd3c3694 (__TEXT,__text) external _PPStreamTokenConvertOutputBindings
00000001dd3c34e4 (__TEXT,__text) external _PPStreamTokenConvertParamBindings
00000001dd3c35d8 (__TEXT,__text) external _PPStreamTokenConvertParamBindingsToGeneric
00000001dd4c82b4 (__TEXT,__text) external _PPStreamTokenFree
00000001dd3c218c (__TEXT,__text) external _PPStreamTokenGetProgramOptions
00000001dd3c2128 (__TEXT,__text) external _PPStreamTokenIsTrivialPassThrough
00000001dd4f42b8 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.ARBFP
00000001dd4f4378 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL1
00000001dd4f4448 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL2
00000001e584f638 (__DATA_CONST,__const) non-external _PPStreamTokenIsTrivialPassThrough.streams
00000001dd3c3760 (__TEXT,__text) external _PPStreamTokenValidateOptions
00000001e5850370 (__DATA_CONST,__const) non-external _PROMOTIONS
00000001dd4f54ac (__TEXT,__const) non-external _PROMOTIONS_110
00000001dd4f54b0 (__TEXT,__const) non-external _PROMOTIONS_120
00000001dd4f54e8 (__TEXT,__const) non-external _PROMOTIONS_400
00000001dd4f54c0 (__TEXT,__const) non-external _PROMOTIONS_FP64
00000001dd4d2028 (__TEXT,__text) non-external (was a private external) _ProgramFree
00000001dd4d1f80 (__TEXT,__text) non-external (was a private external) _ProgramNew
00000001dd4847a4 (__TEXT,__text) non-external (was a private external) _ReadFromTokenStream
00000001dd484128 (__TEXT,__text) non-external (was a private external) _ReadToken
00000001dd4d9dbc (__TEXT,__text) non-external _RecordFunctionCall
00000001dd483fb4 (__TEXT,__text) non-external (was a private external) _RecordToken
00000001dd4d09b8 (__TEXT,__text) non-external (was a private external) _RegisterAdd
00000001dd4d08f8 (__TEXT,__text) non-external (was a private external) _RegisterCanMerge
00000001dd4cf204 (__TEXT,__text) non-external (was a private external) _RegisterVectorCanMerge
00000001dd4cf178 (__TEXT,__text) non-external (was a private external) _RegisterVectorIsFixed
00000001dd4d15fc (__TEXT,__text) non-external (was a private external) _Registerify
00000001dd4d05e4 (__TEXT,__text) non-external (was a private external) _RegistersCleanup
00000001dd4d1798 (__TEXT,__text) non-external (was a private external) _RegistersFree
00000001dd4d159c (__TEXT,__text) non-external (was a private external) _RegistersInitialize
00000001dd4ceebc (__TEXT,__text) non-external (was a private external) _RegistersMerge
00000001dd4cf280 (__TEXT,__text) non-external (was a private external) _RegistersReInterfere
00000001dd4cf310 (__TEXT,__text) non-external (was a private external) _RegistersReplace
00000001dd4d66fc (__TEXT,__text) non-external (was a private external) _RepifyConstantLoopSimple
00000001dd3c0ed8 (__TEXT,__text) non-external _ResizeGLDAttribBindings
00000001dd3c1024 (__TEXT,__text) non-external _ResizeGLPContextStateBindings
00000001dd484114 (__TEXT,__text) non-external (was a private external) _RewindTokenStream
00000001dd482e94 (__TEXT,__text) non-external (was a private external) _ScanFromIncludeString
00000001dd4830ac (__TEXT,__text) non-external (was a private external) _ScanFromSimpleString
00000001dd481c00 (__TEXT,__text) non-external (was a private external) _ScanFromString
00000001dd4832b4 (__TEXT,__text) non-external (was a private external) _ScanFromTokenPastedString
00000001dd467794 (__TEXT,__text) non-external (was a private external) _SetAddressRegister
00000001dd474c70 (__TEXT,__text) external _ShAttributeBindingRequest
00000001dd474bc0 (__TEXT,__text) external _ShCleanup
00000001dd474610 (__TEXT,__text) external _ShCompile
00000001dd47422c (__TEXT,__text) external _ShConstructCompiler
00000001dd4742c0 (__TEXT,__text) external _ShConstructLinker
00000001dd474388 (__TEXT,__text) external _ShDestruct
00000001dd474608 (__TEXT,__text) external _ShFinalize
00000001dd475d0c (__TEXT,__text) external _ShFragDataBindingRequest
00000001dd475490 (__TEXT,__text) external _ShGetActiveAttrib
00000001dd47514c (__TEXT,__text) external _ShGetActiveBindableUniformBufferIndexOffsetFromLocation
00000001dd475134 (__TEXT,__text) external _ShGetActiveBindableUniformBufferSizeTable
00000001dd4750f8 (__TEXT,__text) external _ShGetActiveNonbindableUniformsSize
00000001dd476d50 (__TEXT,__text) external _ShGetActiveSamplerLocations
00000001dd477310 (__TEXT,__text) external _ShGetActiveSubroutineName
00000001dd477268 (__TEXT,__text) external _ShGetActiveSubroutineUniformName
00000001dd477110 (__TEXT,__text) external _ShGetActiveSubroutineUniformiv
00000001dd476bac (__TEXT,__text) external _ShGetActiveUniform
00000001dd476494 (__TEXT,__text) external _ShGetActiveUniformBlockName
00000001dd476200 (__TEXT,__text) external _ShGetActiveUniformBlockiv
00000001dd4766bc (__TEXT,__text) external _ShGetActiveUniformIndex
00000001dd4768fc (__TEXT,__text) external _ShGetActiveUniformName
00000001dd475610 (__TEXT,__text) external _ShGetAttribLocation
00000001dd475394 (__TEXT,__text) external _ShGetBindableUniformTypeInfo
00000001dd4773b4 (__TEXT,__text) external _ShGetCachedUniformIndexTable
00000001dd4773cc (__TEXT,__text) external _ShGetCachedUniformIndexTableSize
00000001dd4756c0 (__TEXT,__text) external _ShGetContextStateUniforms
00000001dd475eb0 (__TEXT,__text) external _ShGetFragDataLocation
00000001dd474bd0 (__TEXT,__text) external _ShGetInfoLog
00000001dd4773e4 (__TEXT,__text) external _ShGetInteger
00000001dd475988 (__TEXT,__text) external _ShGetLinkerPPStream
00000001dd476e48 (__TEXT,__text) external _ShGetMaxActiveSubroutineLength
00000001dd476eac (__TEXT,__text) external _ShGetMaxActiveSubroutineUniformLength
00000001dd4760c0 (__TEXT,__text) external _ShGetMaxActiveUniformBlockLength
00000001dd476ac4 (__TEXT,__text) external _ShGetMaxActiveUniformLength
00000001dd47540c (__TEXT,__text) external _ShGetMaxAttributeLength
00000001dd475c04 (__TEXT,__text) external _ShGetMaxTransformFeedbackVaryingLength
00000001dd474e10 (__TEXT,__text) external _ShGetNumActiveAttributes
00000001dd476638 (__TEXT,__text) non-external _ShGetNumActiveNonbindableUniforms
00000001dd476e38 (__TEXT,__text) external _ShGetNumActiveSubroutineUniformLocations
00000001dd476db4 (__TEXT,__text) external _ShGetNumActiveSubroutineUniforms
