00007ff812df7ca6 (__TEXT,__text) non-external _Annihilate
00007ff812defa25 (__TEXT,__text) non-external _UpdateLastProcessedPos
00007ff812e12675 (__TEXT,__text) non-external _UpdateNodes
00007ff812e025f8 (__TEXT,__text) non-external _WrapRingBuffer
00007ff812defd0b (__TEXT,__text) non-external _WriteMetaBlockInternal
00007ff812dff6d8 (__TEXT,__text) non-external _WriteRingBuffer
00007ff812e1253c (__TEXT,__text) non-external _ZopfliCostModelSetFromLiteralCosts
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ff812ebc150 (__TEXT,__const) non-external __ZL21counter_get_quantizerPK12cosl_counter.lut
00007ff812e65db0 (__TEXT,__const) non-external __ZL22lzma_copy_with_patternPhjj.repeat_off
00007ff812e65cc0 (__TEXT,__const) non-external __ZL22lzma_copy_with_patternPhjj.repeat_perm
00007ff8416b7870 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff812e05e66 (__TEXT,__text) non-external ___yzip_jobs_process_block_invoke
00007ff812ea1be0 (__TEXT,__const) non-external (was a private external) __dist_code
00007ff843d04a00 (__DATA,__data) non-external __dyld_private
00007ff812e9a050 (__TEXT,__const) non-external (was a private external) __kBrotliContextLookupTable
00007ff812e458a0 (__TEXT,__const) non-external (was a private external) __kBrotliPrefixCodeRanges
00007ff812ea1de0 (__TEXT,__const) non-external (was a private external) __length_code
00007ff812e39515 (__TEXT,__text) non-external (was a private external) __tr_align
00007ff812de0a2f (__TEXT,__text) non-external (was a private external) __tr_flush_block
00007ff812ddee16 (__TEXT,__text) non-external (was a private external) __tr_init
00007ff812e393ee (__TEXT,__text) non-external (was a private external) __tr_stored_block
00007ff812e39745 (__TEXT,__text) non-external (was a private external) __tr_tally
00007ff812ddece0 (__TEXT,__text) non-external (was a private external) _adler32
00007ff812de8620 (__TEXT,__text) non-external (was a private external) _adler32_vec
00007ff812ea25d0 (__TEXT,__const) non-external _base_dist
00007ff812ea2550 (__TEXT,__const) non-external _base_length
00007ff812e396c3 (__TEXT,__text) non-external _bi_flush
00007ff812de2377 (__TEXT,__text) non-external _bi_windup
00007ff812ea2530 (__TEXT,__const) non-external _bl_order
00007ff812e99dd0 (__TEXT,__const) non-external _breverse.brev8
00007ff812e376f3 (__TEXT,__text) non-external (was a private external) _brotli_decode_buffer
00007ff812e37728 (__TEXT,__text) non-external (was a private external) _brotli_encode_buffer
00007ff812e378de (__TEXT,__text) non-external (was a private external) _brotli_stream_end
00007ff812e37808 (__TEXT,__text) non-external (was a private external) _brotli_stream_init
00007ff812e37764 (__TEXT,__text) non-external (was a private external) _brotli_stream_process
00007ff812de13e9 (__TEXT,__text) non-external _build_tree
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00007ff812e3767c (__TEXT,__text) non-external (was a private external) _codecGetFooterID
00007ff812e36c9b (__TEXT,__text) non-external (was a private external) _codecReadHeader
00007ff812e37604 (__TEXT,__text) non-external (was a private external) _codecResetModel
00007ff812e3716c (__TEXT,__text) non-external (was a private external) _codecWriteHeader
00007ff812de1f4e (__TEXT,__text) non-external _compress_block
00007ff812de4193 (__TEXT,__text) external _compression_decode_buffer
00007ff812de408f (__TEXT,__text) external _compression_decode_scratch_buffer_size
00007ff812e30660 (__TEXT,__text) external _compression_encode_buffer
00007ff812e3050e (__TEXT,__text) external _compression_encode_scratch_buffer_size
00007ff812de2537 (__TEXT,__text) external _compression_stream_destroy
00007ff812e07556 (__TEXT,__text) external _compression_stream_get_decode_state_size
00007ff812e07500 (__TEXT,__text) external _compression_stream_get_encode_state_size
00007ff812e074b9 (__TEXT,__text) external _compression_stream_get_state_size
00007ff812e07437 (__TEXT,__text) external _compression_stream_identify_algorithm
00007ff812dde6c0 (__TEXT,__text) external _compression_stream_init
00007ff812e073e9 (__TEXT,__text) external _compression_stream_init_with_state_buffer
00007ff812e075ac (__TEXT,__text) external _compression_stream_is_state_valid
00007ff812ddf361 (__TEXT,__text) external _compression_stream_process
00007ff812de48cf (__TEXT,__text) external _compression_stream_reinit
00007ff8416b80e0 (__DATA_CONST,__const) non-external _configuration_table
00007ff812e0e09b (__TEXT,__text) non-external _convert_row_16to8
00007ff812e0e036 (__TEXT,__text) non-external _convert_row_8to16
00007ff812e0de38 (__TEXT,__text) non-external _convert_row_GUVAtoRGBA8888
00007ff812e0d93e (__TEXT,__text) non-external _convert_row_GUVtoRGB888
00007ff812e0e398 (__TEXT,__text) non-external _convert_row_PlanarRGtoRG
00007ff812e0e110 (__TEXT,__text) non-external _convert_row_RG88toRG
00007ff812e0d715 (__TEXT,__text) non-external _convert_row_RGB888toGUV
00007ff812e0db5d (__TEXT,__text) non-external _convert_row_RGBA8888toGUVA
00007ff812e0e29b (__TEXT,__text) non-external _convert_row_RGtoPlanarRG
00007ff812e0e1c9 (__TEXT,__text) non-external _convert_row_RGtoRG88
00007ff812e0e103 (__TEXT,__text) non-external _convert_row_copy16
00007ff812e0cbae (__TEXT,__text) non-external (was a private external) _convert_row_to_lsb
00007ff812e0cb54 (__TEXT,__text) non-external (was a private external) _convert_row_to_msb
00007ff812e0d49c (__TEXT,__text) non-external _convert_rows_from_bayer16
00007ff812e0d261 (__TEXT,__text) non-external _convert_rows_from_bayer8
00007ff812e0cd0c (__TEXT,__text) non-external _convert_rows_from_quadra8
00007ff812e0d5f8 (__TEXT,__text) non-external _convert_rows_to_bayer16
00007ff812e0d376 (__TEXT,__text) non-external _convert_rows_to_bayer8
00007ff812e0cfaf (__TEXT,__text) non-external _convert_rows_to_quadra8
00007ff812e41bc1 (__TEXT,__text) external _cosl_codec_decode
00007ff812e411b6 (__TEXT,__text) external _cosl_codec_encode
00007ff812e41ab8 (__TEXT,__text) external _cosl_codec_get_decoded_size
00007ff812e428c7 (__TEXT,__text) external _cosl_codec_get_id
00007ff812e42678 (__TEXT,__text) external _cosl_codec_map
00007ff812e4287d (__TEXT,__text) external _cosl_codec_unmap
00007ff812e42195 (__TEXT,__text) external _cosl_model_create
00007ff812e422d7 (__TEXT,__text) external _cosl_model_destroy
00007ff812e42300 (__TEXT,__text) external _cosl_model_save_codec
00007ff812e40d19 (__TEXT,__text) external _cosl_model_update
00007ff812e1ed5e (__TEXT,__text) external _cosmix_codec_decode
00007ff812e1e404 (__TEXT,__text) external _cosmix_codec_encode
00007ff812e1ec7a (__TEXT,__text) external _cosmix_codec_get_decoded_size
00007ff812e1f83d (__TEXT,__text) external _cosmix_codec_get_id
00007ff812e1f6b6 (__TEXT,__text) external _cosmix_codec_map
00007ff812e1f7f5 (__TEXT,__text) external _cosmix_codec_unmap
00007ff812e1f2d9 (__TEXT,__text) external _cosmix_model_create
00007ff812e1f404 (__TEXT,__text) external _cosmix_model_destroy
00007ff812e1f42d (__TEXT,__text) external _cosmix_model_save_codec
00007ff812e1dd88 (__TEXT,__text) external _cosmix_model_update
00007ff812e3697c (__TEXT,__text) non-external (was a private external) _crc32
00007ff812ea34b0 (__TEXT,__const) non-external _crc32_lut4
00007ff812e9aad0 (__TEXT,__const) non-external _crc_table
00007ff812e0ae3a (__TEXT,__text) non-external _create_rectangle_within_image
00007ff812dfe1bf (__TEXT,__text) non-external (was a private external) _create_thread
00007ff812ddf773 (__TEXT,__text) non-external (was a private external) _deflate
00007ff812e3f2a4 (__TEXT,__text) non-external (was a private external) _deflateBound
00007ff812e3f879 (__TEXT,__text) non-external (was a private external) _deflateCopy
00007ff812de244c (__TEXT,__text) non-external (was a private external) _deflateEnd
00007ff812dde886 (__TEXT,__text) non-external (was a private external) _deflateInit2_
00007ff812e3efc0 (__TEXT,__text) non-external (was a private external) _deflateInit_
00007ff812e3f17f (__TEXT,__text) non-external (was a private external) _deflateParams
00007ff812e3f14a (__TEXT,__text) non-external (was a private external) _deflatePrime
00007ff812ddeb99 (__TEXT,__text) non-external (was a private external) _deflateReset
00007ff812e3efea (__TEXT,__text) non-external (was a private external) _deflateSetDictionary
00007ff812e3f125 (__TEXT,__text) non-external (was a private external) _deflateSetHeader
00007ff812e3f270 (__TEXT,__text) non-external (was a private external) _deflateTune
00007ff812ea3450 (__TEXT,__const) non-external (was a private external) _deflate_copyright
00007ff812e3fcb4 (__TEXT,__text) non-external _deflate_fast
00007ff812e3f3ad (__TEXT,__text) non-external _deflate_huff
00007ff812e3f528 (__TEXT,__text) non-external _deflate_rle
00007ff812de00de (__TEXT,__text) non-external _deflate_slow
00007ff812e3faec (__TEXT,__text) non-external _deflate_stored
                 (undefined) external _dispatch_apply (from libSystem)
00007ff812e18075 (__TEXT,__text) non-external _emitMatch
00007ff812ea24e0 (__TEXT,__const) non-external _extra_blbits
00007ff812ea2460 (__TEXT,__const) non-external _extra_dbits
00007ff812ea23e0 (__TEXT,__const) non-external _extra_lbits
                 (undefined) external _fclose (from libSystem)
00007ff812de05d2 (__TEXT,__text) non-external _fill_window
00007ff812de23e8 (__TEXT,__text) non-external _flush_pending
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _free (from libSystem)
00007ff812e3ef74 (__TEXT,__text) non-external _fse_adjust_freqs
                 (undefined) external _fstat$INODE64 (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ff812ea3100 (__TEXT,__const) non-external _getDSymbolFromValue.sym
00007ff812ea2680 (__TEXT,__const) non-external _getLSymbolFromValue.sym
00007ff812ea27c0 (__TEXT,__const) non-external _getMSymbolFromValue.sym
00007ff812e0cc08 (__TEXT,__text) non-external (was a private external) _get_conversion_set
