00007ff80b4c3f18 (__TEXT,__text) external _CCAESCmac
00007ff80b4c830e (__TEXT,__text) external _CNCRCDumpTable
00007ff80b4c82c3 (__TEXT,__text) external _CNCRCFinal
00007ff80b4c81da (__TEXT,__text) external _CNCRCInit
00007ff80b4c8265 (__TEXT,__text) external _CNCRCRelease
00007ff80b4c8272 (__TEXT,__text) external _CNCRCUpdate
00007ff80b4c8360 (__TEXT,__text) external _CNCRCWeakTest
00007ff80b4c196b (__TEXT,__text) external _CNEncode
00007ff80b4c88f7 (__TEXT,__text) external _CNEncoderBlocksize
00007ff80b4c8993 (__TEXT,__text) external _CNEncoderBlocksizeFromRef
00007ff80b4c1a14 (__TEXT,__text) external _CNEncoderCreate
00007ff80b4c8d5e (__TEXT,__text) non-external _CNEncoderCreate.cold.1
00007ff80b4c8de8 (__TEXT,__text) non-external _CNEncoderCreate.cold.2
00007ff80b4c8e72 (__TEXT,__text) non-external _CNEncoderCreate.cold.3
00007ff80b4c83c6 (__TEXT,__text) external _CNEncoderCreateCustom
00007ff80b4c20c3 (__TEXT,__text) external _CNEncoderFinal
00007ff80b4c85e3 (__TEXT,__text) external _CNEncoderGetOutputLength
00007ff80b4c86d9 (__TEXT,__text) external _CNEncoderGetOutputLengthFromEncoding
00007ff80b4c222d (__TEXT,__text) external _CNEncoderRelease
00007ff80b4c1c7c (__TEXT,__text) external _CNEncoderUpdate
00007ff80b4c50e8 (__TEXT,__text) external _MD5Final
                 (undefined) weak external ____chkstk_darwin (from libsystem_pthread)
00007ff80b4bf3f0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ff80b4c46d0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___memcpy_chk (from libsystem_c)
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
                 (undefined) external __os_alloc_once (from libsystem_platform)
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
                 (undefined) external __os_crash (from libsystem_c)
                 (undefined) external __os_log_default (from libsystem_trace)
                 (undefined) external __os_log_fault_impl (from libsystem_trace)
00007ff8422fc200 (__DATA,__const) non-external (was a private external) _adler32
00007ff80b4c2dcc (__TEXT,__text) non-external _adler32_final
00007ff80b4c2d6d (__TEXT,__text) non-external _adler32_implementation
00007ff80b4c2dd5 (__TEXT,__text) non-external _adler32_oneshot
00007ff80b4c2e34 (__TEXT,__text) non-external _adler32_setup
00007ff80b4c0b3b (__TEXT,__text) non-external _ccClearCryptor
00007ff80b4c0c57 (__TEXT,__text) external _ccDRBGGetRngState
00007ff80b4c2ca8 (__TEXT,__text) external _ccDevRandomGetRngState
00007ff80b4c57dd (__TEXT,__text) non-external _ccECCryptorFree
00007ff80b4c571d (__TEXT,__text) non-external _ccECpairwiseConsistencyCheck
00007ff80b4c5605 (__TEXT,__text) non-external _ccMallocECCryptor
00007ff80b4c6a8c (__TEXT,__text) non-external _ccMallocRSACryptor
00007ff80b4c6b45 (__TEXT,__text) non-external _ccRSACryptorClear
00007ff80b4c9910 (__TEXT,__const) non-external _ccRandomDefaultStruct
00007ff80b4c1246 (__TEXT,__text) non-external _ccSimpleUpdate
00007ff80b4c3e9f (__TEXT,__text) non-external _cc_alloc
                 (undefined) external _cc_clear (from libcorecrypto)
                 (undefined) external _cc_cmp_safe (from libcorecrypto)
00007ff80b4c3ef6 (__TEXT,__text) non-external _cc_free
00007ff80b4c7ba8 (__TEXT,__text) non-external _cc_rc4_crypt_mode
00007ff80b4c3eac (__TEXT,__text) non-external _cc_realloc
                 (undefined) external _ccaes_cbc_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cbc_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ccm_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ccm_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cfb8_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cfb8_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cfb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cfb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ctr_crypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ecb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ecb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_gcm_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_gcm_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ofb_crypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_xts_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_xts_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccansikdf_x963 (from libcorecrypto)
                 (undefined) external _ccblowfish_cbc_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cbc_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cfb8_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cfb8_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cfb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cfb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_ctr_crypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_ecb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_ecb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_ofb_crypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cbc_decrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cbc_encrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cfb8_decrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cfb8_encrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cfb_decrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cfb_encrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_ctr_crypt_mode (from libcorecrypto)
                 (undefined) external _cccast_ecb_decrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_ecb_encrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_ofb_crypt_mode (from libcorecrypto)
00007ff80b4c7c06 (__TEXT,__text) non-external _cccbc_getiv
00007ff8422fcd00 (__DATA,__const) non-external (was a private external) _cccbc_mode
00007ff80b4c131e (__TEXT,__text) non-external _cccbc_mode_crypt
00007ff80b4c11a1 (__TEXT,__text) non-external _cccbc_mode_get_block_size
00007ff80b4c0e24 (__TEXT,__text) non-external _cccbc_mode_get_ctx_size
00007ff80b4c0e3b (__TEXT,__text) non-external _cccbc_mode_setup
00007ff80b4c14a9 (__TEXT,__text) non-external _cccbc_setiv
                 (undefined) external _ccccm_cbcmac (from libcorecrypto)
00007ff8422fcf30 (__DATA,__const) non-external (was a private external) _ccccm_mode
00007ff80b4c7f9b (__TEXT,__text) non-external _ccccm_mode_crypt
00007ff80b4c7fc1 (__TEXT,__text) non-external _ccccm_mode_done
00007ff80b4c7f60 (__TEXT,__text) non-external _ccccm_mode_get_block_size
00007ff80b4c7f52 (__TEXT,__text) non-external _ccccm_mode_get_ctx_size
00007ff80b4c7f6a (__TEXT,__text) non-external _ccccm_mode_setup
                 (undefined) external _ccccm_set_iv (from libcorecrypto)
00007ff8422fcda0 (__DATA,__const) non-external (was a private external) _cccfb8_mode
00007ff80b4c7cae (__TEXT,__text) non-external _cccfb8_mode_crypt
00007ff80b4c7c89 (__TEXT,__text) non-external _cccfb8_mode_get_block_size
00007ff80b4c7c80 (__TEXT,__text) non-external _cccfb8_mode_get_ctx_size
00007ff80b4c7c93 (__TEXT,__text) non-external _cccfb8_mode_setup
00007ff8422fcd50 (__DATA,__const) non-external (was a private external) _cccfb_mode
00007ff80b4c7c5c (__TEXT,__text) non-external _cccfb_mode_crypt
00007ff80b4c7c37 (__TEXT,__text) non-external _cccfb_mode_get_block_size
00007ff80b4c7c2e (__TEXT,__text) non-external _cccfb_mode_get_ctx_size
00007ff80b4c7c41 (__TEXT,__text) non-external _cccfb_mode_setup
                 (undefined) external _ccchacha20 (from libcorecrypto)
                 (undefined) external _ccchacha20poly1305_decrypt_oneshot (from libcorecrypto)
                 (undefined) external _ccchacha20poly1305_encrypt_oneshot (from libcorecrypto)
                 (undefined) external _ccchacha20poly1305_info (from libcorecrypto)
                 (undefined) external _ccckg_contributor_commit (from libcorecrypto)
                 (undefined) external _ccckg_contributor_finish (from libcorecrypto)
                 (undefined) external _ccckg_init (from libcorecrypto)
                 (undefined) external _ccckg_owner_finish (from libcorecrypto)
                 (undefined) external _ccckg_owner_generate_share (from libcorecrypto)
                 (undefined) external _ccckg_sizeof_commitment (from libcorecrypto)
                 (undefined) external _ccckg_sizeof_ctx (from libcorecrypto)
                 (undefined) external _ccckg_sizeof_opening (from libcorecrypto)
                 (undefined) external _ccckg_sizeof_share (from libcorecrypto)
                 (undefined) external _cccmac_final_generate (from libcorecrypto)
                 (undefined) external _cccmac_init (from libcorecrypto)
                 (undefined) external _cccmac_one_shot_generate (from libcorecrypto)
                 (undefined) external _cccmac_update (from libcorecrypto)
00007ff8422fc840 (__DATA,__const) non-external (was a private external) _ccconversionTable
00007ff8422fcdf0 (__DATA,__const) non-external (was a private external) _ccctr_mode
00007ff80b4c7d00 (__TEXT,__text) non-external _ccctr_mode_crypt
00007ff80b4c7cdb (__TEXT,__text) non-external _ccctr_mode_get_block_size
00007ff80b4c7cd2 (__TEXT,__text) non-external _ccctr_mode_get_ctx_size
00007ff80b4c7ce5 (__TEXT,__text) non-external _ccctr_mode_setup
00007ff80b4c7d24 (__TEXT,__text) non-external _ccctr_setiv
00007ff80b4c80d8 (__TEXT,__text) non-external _cccts3_decrypt_pad
00007ff80b4c80a8 (__TEXT,__text) non-external _cccts3_encrypt_pad
00007ff8422fcfc0 (__DATA,__const) non-external (was a private external) _cccts3_pad
00007ff80b4c8108 (__TEXT,__text) non-external _cccts3_padlen
00007ff80b4c817c (__TEXT,__text) non-external _cccts3_reserve
                 (undefined) external _ccder_decode_rsa_priv (from libcorecrypto)
                 (undefined) external _ccder_decode_rsa_priv_n (from libcorecrypto)
                 (undefined) external _ccder_decode_rsa_pub_n (from libcorecrypto)
                 (undefined) external _ccder_decode_rsa_pub_x509_n (from libcorecrypto)
                 (undefined) external _ccder_encode_rsa_priv (from libcorecrypto)
                 (undefined) external _ccder_encode_rsa_priv_size (from libcorecrypto)
                 (undefined) external _ccder_encode_rsa_pub_size (from libcorecrypto)
                 (undefined) external _ccdes3_cbc_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_cbc_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_cfb8_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_cfb8_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_cfb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_cfb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_ctr_crypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_ecb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_ecb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_ofb_crypt_mode (from libcorecrypto)
                 (undefined) external _ccdes_cbc_cksum (from libcorecrypto)
                 (undefined) external _ccdes_cbc_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes_cbc_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes_cfb8_decrypt_mode (from libcorecrypto)
