                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ff812d3835d (__TEXT,__text) external ___cmph_dump
00007ff812d31a5b (__TEXT,__text) external _bmz_pack
00007ff812d31b00 (__TEXT,__text) external _bmz_packed_size
00007ff812d319ab (__TEXT,__text) external _bmz_search
00007ff812d31b54 (__TEXT,__text) external _bmz_search_packed
00007ff812d31c0b (__TEXT,__text) non-external _bmz_traverse
00007ff812d3c159 (__TEXT,__text) non-external _bmz_traverse.cold.1
00007ff812d331fe (__TEXT,__text) external _brz_config_destroy
00007ff812d33174 (__TEXT,__text) external _brz_config_new
00007ff812d3331e (__TEXT,__text) external _brz_config_set_algo
00007ff812d33300 (__TEXT,__text) external _brz_config_set_b
00007ff812d3321f (__TEXT,__text) external _brz_config_set_hashfuncs
00007ff812d3324b (__TEXT,__text) external _brz_config_set_memory_availability
00007ff812d332e9 (__TEXT,__text) external _brz_config_set_mphf_fd
00007ff812d3c1c2 (__TEXT,__text) non-external _brz_config_set_mphf_fd.cold.1
00007ff812d3325f (__TEXT,__text) external _brz_config_set_tmp_dir
00007ff812d3486e (__TEXT,__text) external _brz_destroy
00007ff812d342ea (__TEXT,__text) external _brz_dump
00007ff812d34393 (__TEXT,__text) external _brz_load
00007ff812d3c26f (__TEXT,__text) non-external _brz_load.cold.1
00007ff812d33335 (__TEXT,__text) external _brz_new
00007ff812d3c1e3 (__TEXT,__text) non-external _brz_new.cold.1
00007ff812d3c206 (__TEXT,__text) non-external _brz_new.cold.2
00007ff812d3c229 (__TEXT,__text) non-external _brz_new.cold.3
00007ff812d3c24c (__TEXT,__text) non-external _brz_new.cold.4
00007ff812d34915 (__TEXT,__text) external _brz_pack
00007ff812d3c2b5 (__TEXT,__text) non-external _brz_pack.cold.1
00007ff812d34ac8 (__TEXT,__text) external _brz_packed_size
00007ff812d3c2d8 (__TEXT,__text) non-external _brz_packed_size.cold.1
00007ff812d3469e (__TEXT,__text) external _brz_search
00007ff812d3c292 (__TEXT,__text) non-external _brz_search.cold.1
00007ff812d34bc0 (__TEXT,__text) external _brz_search_packed
00007ff812d3c2fb (__TEXT,__text) non-external _brz_search_packed.cold.1
00007ff812d350be (__TEXT,__text) external _buffer_entry_destroy
00007ff812d34f48 (__TEXT,__text) external _buffer_entry_get_capacity
00007ff812d35064 (__TEXT,__text) non-external _buffer_entry_load
00007ff812d34edf (__TEXT,__text) external _buffer_entry_new
00007ff812d34f1a (__TEXT,__text) external _buffer_entry_open
00007ff812d34f51 (__TEXT,__text) external _buffer_entry_read_key
00007ff812d34f3f (__TEXT,__text) external _buffer_entry_set_capacity
00007ff812d35241 (__TEXT,__text) external _buffer_manager_destroy
00007ff812d350ed (__TEXT,__text) external _buffer_manager_new
00007ff812d35199 (__TEXT,__text) external _buffer_manager_open
00007ff812d351b0 (__TEXT,__text) external _buffer_manager_read_key
00007ff812d352d8 (__TEXT,__text) external _chd_config_destroy
00007ff812d3528a (__TEXT,__text) external _chd_config_new
00007ff812d3530e (__TEXT,__text) external _chd_config_set_b
00007ff812d352fd (__TEXT,__text) external _chd_config_set_hashfuncs
00007ff812d3531f (__TEXT,__text) external _chd_config_set_keys_per_bin
00007ff812d35678 (__TEXT,__text) external _chd_destroy
00007ff812d35607 (__TEXT,__text) external _chd_dump
00007ff812d3554d (__TEXT,__text) external _chd_load
00007ff812d35330 (__TEXT,__text) external _chd_new
00007ff812d356dc (__TEXT,__text) external _chd_pack
00007ff812d3571b (__TEXT,__text) external _chd_packed_size
00007ff812d357a5 (__TEXT,__text) external _chd_ph_config_destroy
00007ff812d35760 (__TEXT,__text) external _chd_ph_config_new
00007ff812d357de (__TEXT,__text) external _chd_ph_config_set_b
00007ff812d3c31e (__TEXT,__text) non-external _chd_ph_config_set_b.cold.1
00007ff812d357cb (__TEXT,__text) external _chd_ph_config_set_hashfuncs
00007ff812d35802 (__TEXT,__text) external _chd_ph_config_set_keys_per_bin
00007ff812d3c341 (__TEXT,__text) non-external _chd_ph_config_set_keys_per_bin.cold.1
00007ff812d3661a (__TEXT,__text) external _chd_ph_destroy
00007ff812d36530 (__TEXT,__text) external _chd_ph_dump
00007ff812d363f7 (__TEXT,__text) external _chd_ph_load
00007ff812d35826 (__TEXT,__text) external _chd_ph_new
00007ff812d3c364 (__TEXT,__text) non-external _chd_ph_new.cold.1
00007ff812d366f0 (__TEXT,__text) external _chd_ph_pack
00007ff812d3674e (__TEXT,__text) external _chd_ph_packed_size
00007ff812d36655 (__TEXT,__text) external _chd_ph_search
00007ff812d3677d (__TEXT,__text) external _chd_ph_search_packed
00007ff812d356ac (__TEXT,__text) external _chd_search
00007ff812d3572f (__TEXT,__text) external _chd_search_packed
00007ff812d3b6ad (__TEXT,__text) external _check_primality
00007ff812d36a23 (__TEXT,__text) external _chm_config_destroy
00007ff812d369f2 (__TEXT,__text) external _chm_config_new
00007ff812d36a31 (__TEXT,__text) external _chm_config_set_hashfuncs
00007ff812d37280 (__TEXT,__text) external _chm_destroy
00007ff812d36f74 (__TEXT,__text) external _chm_dump
00007ff812d3709c (__TEXT,__text) external _chm_load
00007ff812d36a64 (__TEXT,__text) external _chm_new
00007ff812d3c385 (__TEXT,__text) non-external _chm_new.cold.1
00007ff812d372cd (__TEXT,__text) external _chm_pack
00007ff812d3737c (__TEXT,__text) external _chm_packed_size
00007ff812d37202 (__TEXT,__text) external _chm_search
00007ff812d373d0 (__TEXT,__text) external _chm_search_packed
00007ff812d36ea1 (__TEXT,__text) non-external _chm_traverse
00007ff812d37cf7 (__TEXT,__text) external _cmph_config_destroy
00007ff812d3c4e3 (__TEXT,__text) non-external _cmph_config_destroy.cold.1
00007ff812d37ae2 (__TEXT,__text) external _cmph_config_new
00007ff812d3c47a (__TEXT,__text) non-external _cmph_config_new.cold.1
00007ff812d37b13 (__TEXT,__text) external _cmph_config_set_algo
00007ff812d3c49d (__TEXT,__text) non-external _cmph_config_set_algo.cold.1
00007ff812d3c4c0 (__TEXT,__text) non-external _cmph_config_set_algo.cold.2
00007ff812d37c76 (__TEXT,__text) external _cmph_config_set_b
00007ff812d37e38 (__TEXT,__text) external _cmph_config_set_graphsize
00007ff812d37dbd (__TEXT,__text) external _cmph_config_set_hashfuncs
00007ff812d37cc8 (__TEXT,__text) external _cmph_config_set_keys_per_bin
00007ff812d37ce6 (__TEXT,__text) external _cmph_config_set_memory_availability
00007ff812d37c65 (__TEXT,__text) external _cmph_config_set_mphf_fd
00007ff812d37c54 (__TEXT,__text) external _cmph_config_set_tmp_dir
00007ff812d37db4 (__TEXT,__text) external _cmph_config_set_verbosity
00007ff812d38111 (__TEXT,__text) external _cmph_destroy
00007ff812d3c592 (__TEXT,__text) non-external _cmph_destroy.cold.1
00007ff812d37f38 (__TEXT,__text) external _cmph_dump
00007ff812d3c529 (__TEXT,__text) non-external _cmph_dump.cold.1
00007ff843cbd400 (__DATA,__data) external _cmph_hash_names
00007ff812d377bb (__TEXT,__text) external _cmph_io_byte_vector_adapter
00007ff812d378d8 (__TEXT,__text) external _cmph_io_byte_vector_adapter_destroy
00007ff812d374a0 (__TEXT,__text) external _cmph_io_nlfile_adapter
00007ff812d3c3a8 (__TEXT,__text) non-external _cmph_io_nlfile_adapter.cold.1
00007ff812d37751 (__TEXT,__text) external _cmph_io_nlfile_adapter_destroy
00007ff812d3775b (__TEXT,__text) external _cmph_io_nlnkfile_adapter
00007ff812d3c3cb (__TEXT,__text) non-external _cmph_io_nlnkfile_adapter.cold.1
00007ff812d377b1 (__TEXT,__text) external _cmph_io_nlnkfile_adapter_destroy
00007ff812d378f7 (__TEXT,__text) external _cmph_io_struct_vector_adapter
00007ff812d3c434 (__TEXT,__text) non-external _cmph_io_struct_vector_adapter.cold.1
00007ff812d3c457 (__TEXT,__text) non-external _cmph_io_struct_vector_adapter.cold.2
00007ff812d37a1d (__TEXT,__text) external _cmph_io_struct_vector_adapter_destroy
00007ff812d37a3c (__TEXT,__text) external _cmph_io_vector_adapter
00007ff812d37ac3 (__TEXT,__text) external _cmph_io_vector_adapter_destroy
00007ff812d377e7 (__TEXT,__text) non-external _cmph_io_vector_new
00007ff812d3c3ee (__TEXT,__text) non-external _cmph_io_vector_new.cold.1
00007ff812d3c411 (__TEXT,__text) non-external _cmph_io_vector_new.cold.2
00007ff812d37fac (__TEXT,__text) external _cmph_load
00007ff812d3c54c (__TEXT,__text) non-external _cmph_load.cold.1
00007ff843cbd3b0 (__DATA,__data) external _cmph_names
00007ff812d37e43 (__TEXT,__text) external _cmph_new
00007ff812d3c506 (__TEXT,__text) non-external _cmph_new.cold.1
00007ff812d38184 (__TEXT,__text) external _cmph_pack
00007ff812d3c5b5 (__TEXT,__text) non-external _cmph_pack.cold.1
00007ff812d381fc (__TEXT,__text) external _cmph_packed_size
00007ff812d3c5d8 (__TEXT,__text) non-external _cmph_packed_size.cold.1
00007ff812d38088 (__TEXT,__text) external _cmph_search
00007ff812d3c56f (__TEXT,__text) non-external _cmph_search.cold.1
00007ff812d38270 (__TEXT,__text) external _cmph_search_packed
00007ff812d3c5fb (__TEXT,__text) non-external _cmph_search_packed.cold.1
00007ff812d38108 (__TEXT,__text) external _cmph_size
00007ff812d384da (__TEXT,__text) external _compressed_rank_destroy
00007ff812d38773 (__TEXT,__text) external _compressed_rank_dump
00007ff812d38506 (__TEXT,__text) external _compressed_rank_generate
00007ff812d38748 (__TEXT,__text) external _compressed_rank_get_space_usage
00007ff812d384b1 (__TEXT,__text) external _compressed_rank_init
00007ff812d38868 (__TEXT,__text) external _compressed_rank_load
00007ff812d388f8 (__TEXT,__text) external _compressed_rank_pack
00007ff812d3895d (__TEXT,__text) external _compressed_rank_packed_size
00007ff812d38669 (__TEXT,__text) external _compressed_rank_query
00007ff812d38989 (__TEXT,__text) external _compressed_rank_query_packed
00007ff812d38aac (__TEXT,__text) external _compressed_seq_destroy
00007ff812d38eda (__TEXT,__text) external _compressed_seq_dump
00007ff812d38ae3 (__TEXT,__text) external _compressed_seq_generate
00007ff812d38d66 (__TEXT,__text) external _compressed_seq_get_space_usage
00007ff812d38a7e (__TEXT,__text) external _compressed_seq_init
00007ff812d3901a (__TEXT,__text) external _compressed_seq_load
00007ff812d390ff (__TEXT,__text) external _compressed_seq_pack
00007ff812d39164 (__TEXT,__text) external _compressed_seq_packed_size
00007ff812d38d9e (__TEXT,__text) external _compressed_seq_query
00007ff812d3c61e (__TEXT,__text) non-external _compressed_seq_query.cold.1
00007ff812d3919b (__TEXT,__text) external _compressed_seq_query_packed
00007ff812d3ab0c (__TEXT,__text) non-external _cyclic_del_edge
00007ff812d3a9bf (__TEXT,__text) non-external _del_edge_point
00007ff812d3c9a5 (__TEXT,__text) non-external _del_edge_point.cold.1
                 (undefined) external _exit (from libSystem)
00007ff812d3a616 (__TEXT,__text) external _fch_buckets_destroy
00007ff812d3c8be (__TEXT,__text) non-external _fch_buckets_destroy.cold.1
00007ff812d3a473 (__TEXT,__text) external _fch_buckets_get_indexes_sorted_by_size
00007ff812d3c85b (__TEXT,__text) non-external _fch_buckets_get_indexes_sorted_by_size.cold.1
00007ff812d3c87c (__TEXT,__text) non-external _fch_buckets_get_indexes_sorted_by_size.cold.2
00007ff812d3a3e7 (__TEXT,__text) external _fch_buckets_get_key
00007ff812d3c791 (__TEXT,__text) non-external _fch_buckets_get_key.cold.1
00007ff812d3c7b4 (__TEXT,__text) non-external _fch_buckets_get_key.cold.2
00007ff812d3c7d5 (__TEXT,__text) non-external _fch_buckets_get_key.cold.3
00007ff812d3a424 (__TEXT,__text) external _fch_buckets_get_keylength
00007ff812d3c7f6 (__TEXT,__text) non-external _fch_buckets_get_keylength.cold.1
00007ff812d3c819 (__TEXT,__text) non-external _fch_buckets_get_keylength.cold.2
00007ff812d3c83a (__TEXT,__text) non-external _fch_buckets_get_keylength.cold.3
00007ff812d3a461 (__TEXT,__text) external _fch_buckets_get_max_size
00007ff812d3a46a (__TEXT,__text) external _fch_buckets_get_nbuckets
00007ff812d3a3c0 (__TEXT,__text) external _fch_buckets_get_size
00007ff812d3c74d (__TEXT,__text) non-external _fch_buckets_get_size.cold.1
00007ff812d3c770 (__TEXT,__text) non-external _fch_buckets_get_size.cold.2
00007ff812d3a2df (__TEXT,__text) external _fch_buckets_insert
00007ff812d3c6c7 (__TEXT,__text) non-external _fch_buckets_insert.cold.1
00007ff812d3c6ea (__TEXT,__text) non-external _fch_buckets_insert.cold.2
00007ff812d3c70b (__TEXT,__text) non-external _fch_buckets_insert.cold.3
00007ff812d3c72c (__TEXT,__text) non-external _fch_buckets_insert.cold.4
00007ff812d3a2b2 (__TEXT,__text) external _fch_buckets_is_empty
00007ff812d3c683 (__TEXT,__text) non-external _fch_buckets_is_empty.cold.1
00007ff812d3c6a6 (__TEXT,__text) non-external _fch_buckets_is_empty.cold.2
00007ff812d3a227 (__TEXT,__text) external _fch_buckets_new
00007ff812d3c641 (__TEXT,__text) non-external _fch_buckets_new.cold.1
00007ff812d3c662 (__TEXT,__text) non-external _fch_buckets_new.cold.2
00007ff812d3a567 (__TEXT,__text) external _fch_buckets_print
00007ff812d3c89d (__TEXT,__text) non-external _fch_buckets_print.cold.1
00007ff812d393a4 (__TEXT,__text) external _fch_calc_b
00007ff812d393f5 (__TEXT,__text) external _fch_calc_p1
00007ff812d39410 (__TEXT,__text) external _fch_calc_p2
00007ff812d3932d (__TEXT,__text) external _fch_config_destroy
00007ff812d392f4 (__TEXT,__text) external _fch_config_new
00007ff812d3933b (__TEXT,__text) external _fch_config_set_hashfuncs
00007ff812d39f7a (__TEXT,__text) external _fch_destroy
00007ff812d39bee (__TEXT,__text) external _fch_dump
00007ff812d39d30 (__TEXT,__text) external _fch_load
00007ff812d3942b (__TEXT,__text) external _fch_new
00007ff812d39fb7 (__TEXT,__text) external _fch_pack
00007ff812d3a0a6 (__TEXT,__text) external _fch_packed_size
00007ff812d39edb (__TEXT,__text) external _fch_search
00007ff812d3a0f3 (__TEXT,__text) external _fch_search_packed
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _feof (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fgets (from libSystem)
00007ff812d3ae3d (__TEXT,__text) non-external _find_degree1_edge
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ff812d3a880 (__TEXT,__text) external _graph_add_edge
00007ff812d3c8df (__TEXT,__text) non-external _graph_add_edge.cold.1
00007ff812d3c900 (__TEXT,__text) non-external _graph_add_edge.cold.2
00007ff812d3c921 (__TEXT,__text) non-external _graph_add_edge.cold.3
00007ff812d3c942 (__TEXT,__text) non-external _graph_add_edge.cold.4
00007ff812d3a743 (__TEXT,__text) external _graph_clear_edges
00007ff812d3ad3e (__TEXT,__text) external _graph_contains_edge
00007ff812d3a98a (__TEXT,__text) external _graph_del_edge
00007ff812d3a79a (__TEXT,__text) external _graph_destroy
00007ff812d3a8f4 (__TEXT,__text) external _graph_edge_id
00007ff812d3c963 (__TEXT,__text) non-external _graph_edge_id.cold.1
00007ff812d3c984 (__TEXT,__text) non-external _graph_edge_id.cold.2
00007ff812d3aa5c (__TEXT,__text) external _graph_is_cyclic
00007ff812d3ade8 (__TEXT,__text) external _graph_ncritical_nodes
00007ff812d3adf1 (__TEXT,__text) external _graph_neighbors_it
00007ff812d3a6a1 (__TEXT,__text) external _graph_new
00007ff812d3ae07 (__TEXT,__text) external _graph_next_neighbor
00007ff812d3aba0 (__TEXT,__text) external _graph_node_is_critical
00007ff812d3abc9 (__TEXT,__text) external _graph_obtain_critical_nodes
00007ff812d3a7d5 (__TEXT,__text) external _graph_print
00007ff812d3add5 (__TEXT,__text) external _graph_vertex_id
00007ff812d3aeeb (__TEXT,__text) external _hash
00007ff812d3c9e9 (__TEXT,__text) non-external _hash.cold.1
00007ff812d3b0dc (__TEXT,__text) external _hash_get_type
00007ff812d3b0ab (__TEXT,__text) external _hash_packed
00007ff812d3cad4 (__TEXT,__text) non-external _hash_packed.cold.1
00007ff812d3affe (__TEXT,__text) external _hash_state_copy
00007ff812d3ca4c (__TEXT,__text) non-external _hash_state_copy.cold.1
00007ff812d3b073 (__TEXT,__text) external _hash_state_destroy
00007ff812d3ca6d (__TEXT,__text) non-external _hash_state_destroy.cold.1
00007ff812d3af11 (__TEXT,__text) external _hash_state_dump
00007ff812d3ca2b (__TEXT,__text) non-external _hash_state_dump.cold.1
00007ff812d3b021 (__TEXT,__text) external _hash_state_load
00007ff812d3aecf (__TEXT,__text) external _hash_state_new
00007ff812d3c9c8 (__TEXT,__text) non-external _hash_state_new.cold.1
00007ff812d3b086 (__TEXT,__text) external _hash_state_pack
00007ff812d3ca8e (__TEXT,__text) non-external _hash_state_pack.cold.1
00007ff812d3b099 (__TEXT,__text) external _hash_state_packed_size
00007ff812d3cab1 (__TEXT,__text) non-external _hash_state_packed_size.cold.1
00007ff812d3aefe (__TEXT,__text) external _hash_vector
00007ff812d3ca0a (__TEXT,__text) non-external _hash_vector.cold.1
00007ff812d3b0c2 (__TEXT,__text) external _hash_vector_packed
00007ff812d3caf7 (__TEXT,__text) non-external _hash_vector_packed.cold.1
00007ff812d3b128 (__TEXT,__text) external _jenkins_hash
00007ff812d3b4fa (__TEXT,__text) external _jenkins_hash_packed
00007ff812d3b420 (__TEXT,__text) external _jenkins_hash_vector_
00007ff812d3b53e (__TEXT,__text) external _jenkins_hash_vector_packed
00007ff812d3b47b (__TEXT,__text) external _jenkins_state_copy
00007ff812d3b11e (__TEXT,__text) external _jenkins_state_destroy
00007ff812d3b42d (__TEXT,__text) external _jenkins_state_dump
00007ff812d3b4a5 (__TEXT,__text) external _jenkins_state_load
00007ff812d3b0e4 (__TEXT,__text) external _jenkins_state_new
00007ff812d3b4d4 (__TEXT,__text) external _jenkins_state_pack
00007ff812d3b4ef (__TEXT,__text) external _jenkins_state_packed_size
00007ff812d37854 (__TEXT,__text) non-external _key_byte_vector_read
00007ff812d3773a (__TEXT,__text) non-external _key_nlfile_dispose
00007ff812d375d7 (__TEXT,__text) non-external _key_nlfile_read
00007ff812d37747 (__TEXT,__text) non-external _key_nlfile_rewind
00007ff812d379a7 (__TEXT,__text) non-external _key_struct_vector_read
00007ff812d37a10 (__TEXT,__text) non-external _key_struct_vector_rewind
00007ff812d378be (__TEXT,__text) non-external _key_vector_dispose
00007ff812d37a68 (__TEXT,__text) non-external _key_vector_read
00007ff812d378cb (__TEXT,__text) non-external _key_vector_rewind
                 (undefined) external _log (from libSystem)
00007ff812d3cea0 (__TEXT,__const) non-external _lookup_table
00007ff812d3b58c (__TEXT,__text) external _lsmap_append
00007ff812d3b677 (__TEXT,__text) external _lsmap_destroy
00007ff812d3b624 (__TEXT,__text) external _lsmap_foreach_key
00007ff812d3b64d (__TEXT,__text) external _lsmap_foreach_value
00007ff812d3b54a (__TEXT,__text) external _lsmap_new
00007ff812d3b5e4 (__TEXT,__text) external _lsmap_search
00007ff812d3b57b (__TEXT,__text) external _lsmap_size
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset (from libSystem)
00007ff812d3936e (__TEXT,__text) external _mixh10h11h12
                 (undefined) external _perror (from libSystem)
00007ff812d3684d (__TEXT,__text) non-external _place_bucket_probe
00007ff812d3ce98 (__TEXT,__const) non-external _pow3_table
                 (undefined) external _printf (from libSystem)
                 (undefined) external _rand (from libSystem)
00007ff812d3d650 (__TEXT,__const) non-external _rank_lookup_table
                 (undefined) external _rewind (from libSystem)
00007ff812d3b8ec (__TEXT,__text) external _select_destroy
00007ff812d3bb92 (__TEXT,__text) external _select_dump
00007ff812d3b915 (__TEXT,__text) external _select_generate
00007ff812d3b8ce (__TEXT,__text) external _select_get_space_usage
00007ff812d3b8ba (__TEXT,__text) external _select_init
00007ff812d3bc4e (__TEXT,__text) external _select_load
00007ff812d3d750 (__TEXT,__const) non-external _select_lookup_table
00007ff812d3bb23 (__TEXT,__text) external _select_next_query
00007ff812d3be2f (__TEXT,__text) external _select_next_query_packed
00007ff812d3bd18 (__TEXT,__text) external _select_pack
00007ff812d3bd7d (__TEXT,__text) external _select_packed_size
00007ff812d3baa5 (__TEXT,__text) external _select_query
00007ff812d3bd9c (__TEXT,__text) external _select_query_packed
                 (undefined) external _sprintf (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
00007ff812d3ce78 (__TEXT,__const) non-external _valuemask
00007ff812d3bfaa (__TEXT,__text) external _vqueue_destroy
00007ff812d3bf02 (__TEXT,__text) external _vqueue_insert
00007ff812d3cb1a (__TEXT,__text) non-external _vqueue_insert.cold.1
00007ff812d3bef1 (__TEXT,__text) external _vqueue_is_empty
00007ff812d3be9c (__TEXT,__text) external _vqueue_new
00007ff812d3bf48 (__TEXT,__text) external _vqueue_print
00007ff812d3bf26 (__TEXT,__text) external _vqueue_remove
00007ff812d3cb3b (__TEXT,__text) non-external _vqueue_remove.cold.1
00007ff812d3bffc (__TEXT,__text) external _vstack_destroy
00007ff812d3cb7d (__TEXT,__text) non-external _vstack_destroy.cold.1
00007ff812d3c0f4 (__TEXT,__text) external _vstack_empty
00007ff812d3cc85 (__TEXT,__text) non-external _vstack_empty.cold.1
00007ff812d3bfc9 (__TEXT,__text) external _vstack_new
00007ff812d3cb5c (__TEXT,__text) non-external _vstack_new.cold.1
00007ff812d3c0b1 (__TEXT,__text) external _vstack_pop
00007ff812d3cc01 (__TEXT,__text) non-external _vstack_pop.cold.1
00007ff812d3cc22 (__TEXT,__text) non-external _vstack_pop.cold.2
00007ff812d3c026 (__TEXT,__text) external _vstack_push
00007ff812d3cb9e (__TEXT,__text) non-external _vstack_push.cold.1
00007ff812d3c057 (__TEXT,__text) external _vstack_reserve
00007ff812d3cbbf (__TEXT,__text) non-external _vstack_reserve.cold.1
00007ff812d3cbe0 (__TEXT,__text) non-external _vstack_reserve.cold.2
00007ff812d3c10b (__TEXT,__text) external _vstack_size
00007ff812d3c0d0 (__TEXT,__text) external _vstack_top
00007ff812d3cc43 (__TEXT,__text) non-external _vstack_top.cold.1
00007ff812d3cc64 (__TEXT,__text) non-external _vstack_top.cold.2
