                 (undefined) external _APP_SANDBOX_READ (from libsystem_sandbox)
00000001ea2e4388 (__AUTH,__data) external _CMFSSEAM_DEFAULT
000000018b2b2148 (__TEXT,__text) non-external ___container_paths_enumerate_containers_at_block_invoke_2
000000018b2c7470 (__TEXT,__text) non-external ___container_perfect_hash_create_block_invoke
000000018b2ce56c (__TEXT,__text) non-external ___container_perform_data_migration_block_invoke
000000018b2ce7c4 (__TEXT,__text) non-external ___container_perform_data_migration_for_current_user_block_invoke
000000018b2cff9c (__TEXT,__text) non-external ___container_perform_with_client_context_block_invoke
000000018b2bcaf4 (__TEXT,__text) non-external ___container_persona_collect_all_ids_block_invoke
000000018b2cd3a4 (__TEXT,__text) non-external ___container_process_restored_container_block_invoke
000000018b2c85bc (__TEXT,__text) non-external ___container_pwd_copy_user_home_path_block_invoke
000000018b2c7d3c (__TEXT,__text) non-external ___container_pwd_for_name_block_invoke
000000018b2c80fc (__TEXT,__text) non-external ___container_pwd_for_uid_block_invoke
000000018b2c1628 (__TEXT,__text) non-external ___container_query_copy_block_invoke
000000018b2bfd08 (__TEXT,__text) non-external ___container_query_count_results_block_invoke
000000018b2c0d24 (__TEXT,__text) non-external ___container_query_get_single_result_block_invoke
000000018b2c0ac4 (__TEXT,__text) non-external ___container_query_iterate_results_sync_block_invoke
000000018b2c1004 (__TEXT,__text) non-external ___container_query_iterate_results_with_identifier_sync_block_invoke
000000018b2c135c (__TEXT,__text) non-external ___container_query_iterate_results_with_subquery_sync_block_invoke
000000018b2c1394 (__TEXT,__text) non-external ___container_query_iterate_results_with_subquery_sync_block_invoke.13
000000018b2ccdbc (__TEXT,__text) non-external ___container_recreate_structure_block_invoke
000000018b2b6df0 (__TEXT,__text) non-external ___container_references_add_block_invoke
000000018b2b8610 (__TEXT,__text) non-external ___container_references_iterate_by_group_sync_block_invoke
000000018b2b7a88 (__TEXT,__text) non-external ___container_references_iterate_by_owner_sync_block_invoke
000000018b2b6b90 (__TEXT,__text) non-external ___container_references_operation_set_flags_block_invoke
000000018b2b78ac (__TEXT,__text) non-external ___container_references_remove_block_invoke
000000018b2b6398 (__TEXT,__text) non-external ___container_references_set_class_block_invoke
000000018b2b68f8 (__TEXT,__text) non-external ___container_references_set_persona_unique_string_block_invoke
000000018b2b6778 (__TEXT,__text) non-external ___container_references_set_uid_block_invoke
000000018b2cd00c (__TEXT,__text) non-external ___container_regenerate_uuid_block_invoke
000000018b2d1094 (__TEXT,__text) non-external ___container_repair_user_data_block_invoke
000000018b2cb864 (__TEXT,__text) non-external ___container_replace_block_invoke
000000018b2be1a8 (__TEXT,__text) non-external ___container_seam_fs_ensure_lazy_loaded_block_invoke
000000018b2cbf7c (__TEXT,__text) non-external ___container_set_code_signing_info_for_identifier_block_invoke
000000018b2ce228 (__TEXT,__text) non-external ___container_set_data_protection_for_current_user_block_invoke
000000018b2ce3d8 (__TEXT,__text) non-external ___container_set_data_protection_for_current_user_block_invoke_2
000000018b2cc830 (__TEXT,__text) non-external ___container_set_info_value_block_invoke
000000018b2ae2c0 (__TEXT,__text) non-external ___container_set_test_lock_block_invoke
000000018b2ce954 (__TEXT,__text) non-external ___container_stage_shared_system_content_block_invoke
000000018b2c5d6c (__TEXT,__text) non-external ___container_string_rom_create_block_invoke
000000018b2cf614 (__TEXT,__text) non-external ___container_subdirectories_for_class_block_invoke
000000018b2ca28c (__TEXT,__text) non-external ___container_system_group_path_for_identifier_block_invoke
000000018b2ca094 (__TEXT,__text) non-external ___container_system_path_for_identifier_block_invoke
000000018b2ae0cc (__TEXT,__text) non-external ___container_test_set_locks_and_restart_block_invoke
000000018b2cebf4 (__TEXT,__text) non-external ___container_user_managed_assets_path_block_invoke
000000018b2cef04 (__TEXT,__text) non-external ___container_user_managed_assets_relative_path_block_invoke
000000018b2b5888 (__TEXT,__text) non-external ___container_xpc_create_connection_block_invoke
000000018b2b6084 (__TEXT,__text) non-external ___container_xpc_create_connection_block_invoke_2
000000018b2ac058 (__TEXT,__text) non-external ___container_xpc_decode_create_container_object_array_block_invoke
000000018b2b8828 (__TEXT,__text) non-external ___container_xpc_send_message_block_invoke
000000018b2b9108 (__TEXT,__text) non-external ___container_xpc_send_sync_message_block_invoke
00000001e4260c10 (__DATA_CONST,__const) non-external ___containermanager_what
000000018b2b2580 (__TEXT,__text) non-external ___copy_helper_block_8_32b
000000018b2b25d4 (__TEXT,__text) non-external ___copy_helper_block_8_32b40r
000000018b2b20e8 (__TEXT,__text) non-external ___copy_helper_block_8_32b40r48r
000000018b2b1e04 (__TEXT,__text) non-external ___copy_helper_block_8_32b40r48r56r
000000018b2ad814 (__TEXT,__text) non-external ___copy_helper_block_8_32r
000000018b2ac128 (__TEXT,__text) non-external ___copy_helper_block_8_32r40r
000000018b2b349c (__TEXT,__text) non-external ___copy_helper_block_8_32r40r48r
000000018b2b2574 (__TEXT,__text) non-external ___destroy_helper_block_8_32b
000000018b2b2590 (__TEXT,__text) non-external ___destroy_helper_block_8_32b40r
000000018b2b2098 (__TEXT,__text) non-external ___destroy_helper_block_8_32b40r48r
000000018b2b1da8 (__TEXT,__text) non-external ___destroy_helper_block_8_32b40r48r56r
000000018b2ad808 (__TEXT,__text) non-external ___destroy_helper_block_8_32r
000000018b2ac0e4 (__TEXT,__text) non-external ___destroy_helper_block_8_32r40r
000000018b2b344c (__TEXT,__text) non-external ___destroy_helper_block_8_32r40r48r
                 (undefined) external ___error (from libsystem_kernel)
00000001e7bf51a0 (__DATA,__bss) non-external ___initialize_container_sandbox_extensions.notify_token
00000001e7bf51a8 (__DATA,__bss) non-external ___initialize_container_sandbox_extensions.onceToken
00000001e7bf5198 (__DATA,__bss) non-external ___initialize_container_sandbox_extensions.queue
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
                 (undefined) external ___strlcpy_chk (from libsystem_c)
                 (undefined) external ___xpc_connection_set_logging (from libxpc)
000000018b2b8c24 (__TEXT,__text) non-external __block_invoke
000000018b2c9260 (__TEXT,__text) non-external __common_bundle_lookup
000000018b2ce5ac (__TEXT,__text) non-external __common_perform_data_migration
000000018b2cec40 (__TEXT,__text) non-external __common_user_managed_assets_path
000000018b2b6e3c (__TEXT,__text) non-external __container_add_remove
000000018b2cbd1c (__TEXT,__text) non-external __container_async_reclaim_disk_space
00000001e7bf51e8 (__DATA,__bss) non-external __container_async_reclaim_disk_space.onceToken
00000001e7bf51e0 (__DATA,__bss) non-external __container_async_reclaim_disk_space.queue
000000018b2c505c (__TEXT,__text) non-external __container_base64_decode
000000018b2b97dc (__TEXT,__text) non-external __container_entitlements_append_strings_to_array
000000018b2b9874 (__TEXT,__text) external __container_init
000000018b2c8ae4 (__TEXT,__text) non-external __container_legacy_lookup
000000018b2ca620 (__TEXT,__text) non-external __container_legacy_lookup_multiple
000000018b2bdd04 (__TEXT,__text) non-external __container_log_replication_enable_to_uid_relative_path
00000001e7bf4eac (__DATA,__bss) non-external __container_log_replication_enable_to_uid_relative_path.enabled
00000001e7bf4ea0 (__DATA,__bss) non-external __container_log_replication_enable_to_uid_relative_path.g_log_hook
00000001e7bf4ea8 (__DATA,__bss) non-external __container_log_replication_enable_to_uid_relative_path.lock
00000001e7bf4d1c (__DATA,__data) non-external __container_log_replication_enable_to_uid_relative_path.log_fd
00000001e7bf4eb0 (__DATA,__bss) non-external __container_log_replication_enable_to_uid_relative_path.onceToken
00000001e4260830 (__DATA_CONST,__const) non-external __container_paths_definition_from_type.definitions
00000001e4260740 (__DATA_CONST,__const) non-external __container_paths_get_volume_relative_path._relative_paths
00000001e42607b8 (__DATA_CONST,__const) non-external __container_paths_get_volume_relative_path._transient_relative_paths
000000018b2b3318 (__TEXT,__text) non-external __container_paths_in_reverse_order_from_type_do
000000018b2b2624 (__TEXT,__text) non-external __container_paths_passthru_dispatch_async
000000018b2c7ea8 (__TEXT,__text) non-external __container_pwd
000000018b2bfd40 (__TEXT,__text) non-external __container_query_execute
000000018b2c144c (__TEXT,__text) external __container_query_get_servicing_pid
000000018b2bf054 (__TEXT,__text) non-external __container_query_log_if_error
000000018b2bf168 (__TEXT,__text) non-external __container_query_replace_error
000000018b2bf000 (__TEXT,__text) non-external __container_query_set_usage_error
000000018b2b867c (__TEXT,__text) external __container_references_get_servicing_pid
