00000001e01a6300 (__DATA,__common) external _BC
000000019fd8adf4 (__TEXT,__text) external __nc_mvcur_init
000000019fd8ad40 (__TEXT,__text) external __nc_mvcur_resume
000000019fd8b388 (__TEXT,__text) external __nc_mvcur_wrap
000000019fd93c60 (__TEXT,__text) external __nc_name_match
000000019fd7ad1c (__TEXT,__text) external __nc_next_db
00000001e01a6310 (__DATA,__common) external __nc_nulls_sent
00000001e01a5fa0 (__DATA,__common) external __nc_oldnums
000000019fd7ba30 (__TEXT,__text) external __nc_ospeed
000000019fd91a20 (__TEXT,__text) external __nc_outch
000000019fd93d34 (__TEXT,__text) external __nc_panelhook
000000019fd829f4 (__TEXT,__text) external __nc_panic_mode
000000019fd93d50 (__TEXT,__text) external __nc_parse_entry
000000019fd7ace8 (__TEXT,__text) external __nc_pathlast
00000001e01a5a48 (__DATA,__data) external __nc_prescreen
000000019fd96138 (__TEXT,__text) external __nc_printf_string
00000001e01a61e0 (__DATA,__common) external __nc_progname
000000019fd82e80 (__TEXT,__text) external __nc_push_token
000000019fd7ab9c (__TEXT,__text) external __nc_read_entry
000000019fd81804 (__TEXT,__text) external __nc_read_entry_source
000000019fd7b008 (__TEXT,__text) external __nc_read_file_entry
000000019fd95730 (__TEXT,__text) external __nc_read_termcap_entry
000000019fd7b1e4 (__TEXT,__text) external __nc_read_termtype
000000019fd964d8 (__TEXT,__text) external __nc_remove_key
000000019fd9655c (__TEXT,__text) external __nc_remove_string
000000019fd84960 (__TEXT,__text) external __nc_render
000000019fd86bc4 (__TEXT,__text) external __nc_reset_colors
000000019fd81e08 (__TEXT,__text) external __nc_reset_input
000000019fd81e00 (__TEXT,__text) external __nc_resolve_uses
000000019fd8199c (__TEXT,__text) external __nc_resolve_uses2
000000019fd8fb24 (__TEXT,__text) external __nc_ripoffline
000000019fd7d7b8 (__TEXT,__text) external __nc_rootname
000000019fd96334 (__TEXT,__text) external __nc_safe_strcat
000000019fd963ac (__TEXT,__text) external __nc_safe_strcpy
000000019fd7dbac (__TEXT,__text) external __nc_save_str
00000001e01a61d0 (__DATA,__common) external __nc_screen_chain
000000019fd99698 (__TEXT,__text) external __nc_screen_init
000000019fd8caec (__TEXT,__text) external __nc_screen_of
000000019fd96f04 (__TEXT,__text) external __nc_screen_resume
000000019fd9969c (__TEXT,__text) external __nc_screen_wrap
000000019fd83e7c (__TEXT,__text) external __nc_scroll_oldhash
000000019fd832f8 (__TEXT,__text) external __nc_scroll_optimize
000000019fd8ef00 (__TEXT,__text) external __nc_scroll_window
000000019fd9851c (__TEXT,__text) external __nc_scrolln
000000019fd96224 (__TEXT,__text) external __nc_set_buffer
000000019fd7d6b4 (__TEXT,__text) external __nc_set_no_padding
000000019fd806cc (__TEXT,__text) external __nc_set_source
000000019fd92158 (__TEXT,__text) external __nc_set_tty_mode
000000019fd806dc (__TEXT,__text) external __nc_set_type
000000019fd9ac1c (__TEXT,__text) external __nc_set_writedir
000000019fd8f550 (__TEXT,__text) external __nc_setupscreen
000000019fd7a788 (__TEXT,__text) external __nc_setupterm
000000019fd91d2c (__TEXT,__text) external __nc_signal_handler
000000019fd8fe04 (__TEXT,__text) external __nc_slk_initialize
00000001e01a5f68 (__DATA,__common) external __nc_start_line
000000019fd96328 (__TEXT,__text) external __nc_str_copy
000000019fd962f8 (__TEXT,__text) external __nc_str_init
000000019fd96314 (__TEXT,__text) external __nc_str_null
00000001e01a5f38 (__DATA,__common) external __nc_suppress_warnings
000000019fd936b0 (__TEXT,__text) external __nc_synchook
00000001e01a5f48 (__DATA,__common) external __nc_syntax
000000019fd80908 (__TEXT,__text) external __nc_syserr_abort
00000001e01a5f98 (__DATA,__common) external __nc_tail
000000019fd82ecc (__TEXT,__text) external __nc_tic_dir
000000019fd80958 (__TEXT,__text) external __nc_tic_expand
000000019fd9bbb8 (__TEXT,__text) external __nc_tic_written
000000019fd92460 (__TEXT,__text) external __nc_timed_wait
000000019fda3f14 (__TEXT,__const) external __nc_tinfo_fkeys
000000019fd804a8 (__TEXT,__text) external __nc_to_char
000000019fd804ac (__TEXT,__text) external __nc_to_widechar
000000019fd7d39c (__TEXT,__text) external __nc_tparm_analyze
00000001e01a6308 (__DATA,__common) external __nc_tparm_err
00000001e01a6320 (__DATA,__common) external __nc_tracing
000000019fd82a28 (__TEXT,__text) external __nc_trans_string
000000019fd7bca8 (__TEXT,__text) external __nc_trim_sgr0
000000019fd9a3ac (__TEXT,__text) external __nc_unctrl
000000019fd928b4 (__TEXT,__text) external __nc_ungetch
000000019fd8fcb0 (__TEXT,__text) external __nc_unicode_locale
000000019fd8fc2c (__TEXT,__text) external __nc_update_screensize
00000001e01a5915 (__DATA,__data) external __nc_user_definable
000000019fd9a6fc (__TEXT,__text) external __nc_visbuf
000000019fd9a4ec (__TEXT,__text) external __nc_visbuf2
000000019fd9a70c (__TEXT,__text) external __nc_visbufn
00000001e01a6318 (__DATA,__common) external __nc_wacs
000000019fd84b24 (__TEXT,__text) external __nc_waddch_nosync
000000019fd80770 (__TEXT,__text) external __nc_warning
000000019fd857b0 (__TEXT,__text) external __nc_wchstrlen
000000019fd92708 (__TEXT,__text) external __nc_wcrtomb
000000019fd884b0 (__TEXT,__text) external __nc_wgetch
000000019fd7dc5c (__TEXT,__text) external __nc_wrap_entry
000000019fd9ae3c (__TEXT,__text) external __nc_write_entry
                 (undefined) external _access (from libSystem)
00000001e01a5fa8 (__DATA,__common) external _acs_map
000000019fd9d6cc (__TEXT,__text) external _add_wch
000000019fd9d6e0 (__TEXT,__text) external _add_wchnstr
000000019fd9d6f8 (__TEXT,__text) external _add_wchstr
000000019fd9bfbc (__TEXT,__text) external _addch
000000019fd9bfd0 (__TEXT,__text) external _addchnstr
000000019fd9bfe8 (__TEXT,__text) external _addchstr
000000019fd9c000 (__TEXT,__text) external _addnstr
000000019fd9d710 (__TEXT,__text) external _addnwstr
000000019fd9c018 (__TEXT,__text) external _addstr
000000019fd9d728 (__TEXT,__text) external _addwstr
000000019fd87a80 (__TEXT,__text) external _assume_default_colors
                 (undefined) external _atoi (from libSystem)
000000019fd9c074 (__TEXT,__text) external _attr_get
000000019fd9c0a4 (__TEXT,__text) external _attr_off
000000019fd9c0bc (__TEXT,__text) external _attr_on
000000019fd9c0d4 (__TEXT,__text) external _attr_set
000000019fd9c030 (__TEXT,__text) external _attroff
000000019fd9c048 (__TEXT,__text) external _attron
000000019fd9c060 (__TEXT,__text) external _attrset
000000019fd7d700 (__TEXT,__text) external _baudrate
000000019fd85c30 (__TEXT,__text) external _beep
000000019fd9c0f4 (__TEXT,__text) external _bkgd
000000019fd9c108 (__TEXT,__text) external _bkgdset
000000019fd9d740 (__TEXT,__text) external _bkgrnd
000000019fd9d754 (__TEXT,__text) external _bkgrndset
00000001e6f462e8 (__DATA_CONST,__const) external _boolcodes
00000001e6f473f0 (__DATA_CONST,__const) external _boolfnames
00000001e6f47288 (__DATA_CONST,__const) external _boolnames
000000019fd9c11c (__TEXT,__text) external _border
000000019fd9d768 (__TEXT,__text) external _border_set
000000019fd9c16c (__TEXT,__text) external _box
000000019fd9d7b8 (__TEXT,__text) external _box_set
                 (undefined) external _btowc (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
000000019fd87480 (__TEXT,__text) external _can_change_color
000000019fd8dc98 (__TEXT,__text) external _cbreak
                 (undefined) external _cfgetospeed (from libSystem)
                 (undefined) external _chdir (from libSystem)
000000019fd9c1a8 (__TEXT,__text) external _chgat
000000019fd9c1c8 (__TEXT,__text) external _clear
                 (undefined) external _clearerr (from libSystem)
000000019fd869f0 (__TEXT,__text) external _clearok
                 (undefined) external _close (from libSystem)
000000019fd9c1d8 (__TEXT,__text) external _clrtobot
000000019fd9c1e8 (__TEXT,__text) external _clrtoeol
000000019fd87504 (__TEXT,__text) external _color_content
000000019fd9c1f8 (__TEXT,__text) external _color_set
000000019fd8cfe4 (__TEXT,__text) external _copywin
00000001e01a61b0 (__DATA,__common) external _cur_term
000000019fd8cd98 (__TEXT,__text) external _curs_set
00000001e01a61c0 (__DATA,__common) external _curscr
000000019fd9a4e0 (__TEXT,__text) external _curses_version
000000019fd92254 (__TEXT,__text) external _def_prog_mode
000000019fd921e8 (__TEXT,__text) external _def_shell_mode
000000019fd83070 (__TEXT,__text) external _define_key
000000019fd8785c (__TEXT,__text) external _del_curterm
000000019fd918d8 (__TEXT,__text) external _delay_output
000000019fd9c218 (__TEXT,__text) external _delch
000000019fd9c228 (__TEXT,__text) external _deleteln
000000019fd8f304 (__TEXT,__text) external _delscreen
000000019fd8799c (__TEXT,__text) external _delwin
000000019fd8c9c8 (__TEXT,__text) external _derwin
000000019fd968f4 (__TEXT,__text) external _doupdate
000000019fd939c0 (__TEXT,__text) external _dupwin
000000019fd87b7c (__TEXT,__text) external _echo
000000019fd9d7f4 (__TEXT,__text) external _echo_wchar
000000019fd9c23c (__TEXT,__text) external _echochar
000000019fd87bb0 (__TEXT,__text) external _endwin
000000019fd9c250 (__TEXT,__text) external _erase
000000019fd89ef8 (__TEXT,__text) external _erasechar
000000019fd87d10 (__TEXT,__text) external _erasewchar
                 (undefined) external _exit (from libSystem)
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _feof (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fflush (from libSystem)
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fileno (from libSystem)
000000019fd8c258 (__TEXT,__text) external _filter
000000019fd87d80 (__TEXT,__text) external _flash
000000019fd89f38 (__TEXT,__text) external _flushinp
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _fwrite (from libSystem)
000000019fd9d808 (__TEXT,__text) external _get_wch
000000019fd9d81c (__TEXT,__text) external _get_wstr
000000019fd9d58c (__TEXT,__text) external _getattrs
000000019fd9d5c0 (__TEXT,__text) external _getbegx
000000019fd9d5d4 (__TEXT,__text) external _getbegy
000000019fd9c260 (__TEXT,__text) external _getbkgd
000000019fd9d834 (__TEXT,__text) external _getbkgrnd
000000019fd86844 (__TEXT,__text) external _getcchar
000000019fd9c268 (__TEXT,__text) external _getch
000000019fd9d598 (__TEXT,__text) external _getcurx
000000019fd9d5ac (__TEXT,__text) external _getcury
                 (undefined) external _getcwd (from libSystem)
                 (undefined) external _getenv (from libSystem)
000000019fd9d5e8 (__TEXT,__text) external _getmaxx
000000019fd9d600 (__TEXT,__text) external _getmaxy
000000019fd8a090 (__TEXT,__text) external _getmouse
000000019fd9d858 (__TEXT,__text) external _getn_wstr
000000019fd9c278 (__TEXT,__text) external _getnstr
000000019fd9d618 (__TEXT,__text) external _getparx
000000019fd9d62c (__TEXT,__text) external _getpary
                 (undefined) external _getpgrp (from libSystem)
                 (undefined) external _getpid (from libSystem)
000000019fd9c290 (__TEXT,__text) external _getstr
                 (undefined) external _gettimeofday (from libSystem)
000000019fd8ea6c (__TEXT,__text) external _getwin
000000019fd8cbf8 (__TEXT,__text) external _halfdelay
000000019fd874a0 (__TEXT,__text) external _has_colors
000000019fd88fac (__TEXT,__text) external _has_ic
000000019fd89008 (__TEXT,__text) external _has_il
000000019fd8ce58 (__TEXT,__text) external _has_key
000000019fd9c2a8 (__TEXT,__text) external _hline
000000019fd9d870 (__TEXT,__text) external _hline_set
000000019fd8cbac (__TEXT,__text) external _idcok
000000019fd8cb2c (__TEXT,__text) external _idlok
000000019fd892d8 (__TEXT,__text) external _immedok
000000019fd9d888 (__TEXT,__text) external _in_wch
000000019fd9d89c (__TEXT,__text) external _in_wchnstr
000000019fd9d8b4 (__TEXT,__text) external _in_wchstr
000000019fd9c2c0 (__TEXT,__text) external _inch
000000019fd9c2d0 (__TEXT,__text) external _inchnstr
000000019fd9c2e8 (__TEXT,__text) external _inchstr
000000019fd8725c (__TEXT,__text) external _init_color
000000019fd86f54 (__TEXT,__text) external _init_pair
000000019fd8944c (__TEXT,__text) external _initscr
000000019fd9c300 (__TEXT,__text) external _innstr
000000019fd9d8cc (__TEXT,__text) external _innwstr
000000019fd9d8e4 (__TEXT,__text) external _ins_nwstr
000000019fd9d8fc (__TEXT,__text) external _ins_wch
000000019fd9d910 (__TEXT,__text) external _ins_wstr
000000019fd9c318 (__TEXT,__text) external _insch
000000019fd9c32c (__TEXT,__text) external _insdelln
000000019fd9c340 (__TEXT,__text) external _insertln
000000019fd9c354 (__TEXT,__text) external _insnstr
000000019fd9c36c (__TEXT,__text) external _insstr
000000019fd9c384 (__TEXT,__text) external _instr
000000019fd8e114 (__TEXT,__text) external _intrflush
000000019fd9d928 (__TEXT,__text) external _inwstr
                 (undefined) external _ioctl (from libSystem)
000000019fd9d64c (__TEXT,__text) external _is_cleared
000000019fd9d654 (__TEXT,__text) external _is_idcok
000000019fd9d65c (__TEXT,__text) external _is_idlok
000000019fd9d664 (__TEXT,__text) external _is_immedok
000000019fd9d66c (__TEXT,__text) external _is_keypad
000000019fd9d674 (__TEXT,__text) external _is_leaveok
000000019fd91664 (__TEXT,__text) external _is_linetouched
000000019fd9d67c (__TEXT,__text) external _is_nodelay
000000019fd9d68c (__TEXT,__text) external _is_notimeout
000000019fd9d694 (__TEXT,__text) external _is_scrollok
000000019fd9d69c (__TEXT,__text) external _is_syncok
000000019fd95bf0 (__TEXT,__text) external _is_term_resized
000000019fd916a0 (__TEXT,__text) external _is_wintouched
                 (undefined) external _isatty (from libSystem)
000000019fd89ed0 (__TEXT,__text) external _isendwin
000000019fd84224 (__TEXT,__text) external _key_defined
000000019fd89f98 (__TEXT,__text) external _key_name
000000019fd842dc (__TEXT,__text) external _keybound
000000019fd9bfa8 (__TEXT,__text) external _keyname
000000019fd8432c (__TEXT,__text) external _keyok
000000019fd8cc9c (__TEXT,__text) external _keypad
                 (undefined) external _kill (from libSystem)
000000019fd89f18 (__TEXT,__text) external _killchar
000000019fd87d48 (__TEXT,__text) external _killwchar
000000019fd8a018 (__TEXT,__text) external _leaveok
                 (undefined) external _link (from libSystem)
000000019fd8a034 (__TEXT,__text) external _longname
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mblen (from libSystem)
                 (undefined) external _mbrtowc (from libSystem)
                 (undefined) external _mbtowc (from libSystem)
000000019fd8d8cc (__TEXT,__text) external _mcprint
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
000000019fd8cd40 (__TEXT,__text) external _meta
                 (undefined) external _mkdir (from libSystem)
000000019fd9e7ec (__TEXT,__text) external _mouse_trafo
000000019fd8a434 (__TEXT,__text) external _mouseinterval
000000019fd8a148 (__TEXT,__text) external _mousemask
000000019fd9c39c (__TEXT,__text) external _move
000000019fd9d93c (__TEXT,__text) external _mvadd_wch
000000019fd9d9a0 (__TEXT,__text) external _mvadd_wchnstr
000000019fd9da18 (__TEXT,__text) external _mvadd_wchstr
000000019fd9c3b4 (__TEXT,__text) external _mvaddch
000000019fd9c418 (__TEXT,__text) external _mvaddchnstr
000000019fd9c490 (__TEXT,__text) external _mvaddchstr
000000019fd9c4f8 (__TEXT,__text) external _mvaddnstr
000000019fd9da80 (__TEXT,__text) external _mvaddnwstr
000000019fd9c570 (__TEXT,__text) external _mvaddstr
000000019fd9daf8 (__TEXT,__text) external _mvaddwstr
000000019fd9c5d8 (__TEXT,__text) external _mvchgat
000000019fd8b418 (__TEXT,__text) external _mvcur
000000019fd9c66c (__TEXT,__text) external _mvdelch
000000019fd937a8 (__TEXT,__text) external _mvderwin
000000019fd9db60 (__TEXT,__text) external _mvget_wch
000000019fd9dbc4 (__TEXT,__text) external _mvget_wstr
000000019fd9c6c8 (__TEXT,__text) external _mvgetch
000000019fd9dc2c (__TEXT,__text) external _mvgetn_wstr
000000019fd9c724 (__TEXT,__text) external _mvgetnstr
000000019fd9c79c (__TEXT,__text) external _mvgetstr
000000019fd9c804 (__TEXT,__text) external _mvhline
000000019fd9dca4 (__TEXT,__text) external _mvhline_set
000000019fd9dd1c (__TEXT,__text) external _mvin_wch
000000019fd9dd80 (__TEXT,__text) external _mvin_wchnstr
000000019fd9ddf8 (__TEXT,__text) external _mvin_wchstr
000000019fd9c87c (__TEXT,__text) external _mvinch
000000019fd9c8d8 (__TEXT,__text) external _mvinchnstr
000000019fd9c950 (__TEXT,__text) external _mvinchstr
000000019fd9c9b8 (__TEXT,__text) external _mvinnstr
000000019fd9de60 (__TEXT,__text) external _mvinnwstr
000000019fd9ded8 (__TEXT,__text) external _mvins_nwstr
000000019fd9df50 (__TEXT,__text) external _mvins_wch
000000019fd9dfb4 (__TEXT,__text) external _mvins_wstr
000000019fd9ca30 (__TEXT,__text) external _mvinsch
000000019fd9ca94 (__TEXT,__text) external _mvinsnstr
000000019fd9cb0c (__TEXT,__text) external _mvinsstr
000000019fd9cb74 (__TEXT,__text) external _mvinstr
000000019fd9e01c (__TEXT,__text) external _mvinwstr
000000019fd8dae0 (__TEXT,__text) external _mvprintw
000000019fd8e9b4 (__TEXT,__text) external _mvscanw
000000019fd9cbdc (__TEXT,__text) external _mvvline
000000019fd9e080 (__TEXT,__text) external _mvvline_set
000000019fd9e0f8 (__TEXT,__text) external _mvwadd_wch
000000019fd9e14c (__TEXT,__text) external _mvwadd_wchnstr
000000019fd9e1b4 (__TEXT,__text) external _mvwadd_wchstr
000000019fd9cc54 (__TEXT,__text) external _mvwaddch
000000019fd9cca8 (__TEXT,__text) external _mvwaddchnstr
000000019fd9cd10 (__TEXT,__text) external _mvwaddchstr
000000019fd9cd68 (__TEXT,__text) external _mvwaddnstr
000000019fd9e20c (__TEXT,__text) external _mvwaddnwstr
000000019fd9cdd0 (__TEXT,__text) external _mvwaddstr
000000019fd9e274 (__TEXT,__text) external _mvwaddwstr
000000019fd9ce28 (__TEXT,__text) external _mvwchgat
000000019fd9ceac (__TEXT,__text) external _mvwdelch
000000019fd9e2cc (__TEXT,__text) external _mvwget_wch
000000019fd9e320 (__TEXT,__text) external _mvwget_wstr
000000019fd9cef8 (__TEXT,__text) external _mvwgetch
000000019fd9e378 (__TEXT,__text) external _mvwgetn_wstr
000000019fd9cf44 (__TEXT,__text) external _mvwgetnstr
000000019fd9cfac (__TEXT,__text) external _mvwgetstr
000000019fd9d004 (__TEXT,__text) external _mvwhline
000000019fd9e3e0 (__TEXT,__text) external _mvwhline_set
000000019fd8c168 (__TEXT,__text) external _mvwin
000000019fd9e448 (__TEXT,__text) external _mvwin_wch
000000019fd9e49c (__TEXT,__text) external _mvwin_wchnstr
000000019fd9e504 (__TEXT,__text) external _mvwin_wchstr
000000019fd9d06c (__TEXT,__text) external _mvwinch
000000019fd9d0b8 (__TEXT,__text) external _mvwinchnstr
000000019fd9d120 (__TEXT,__text) external _mvwinchstr
000000019fd9d178 (__TEXT,__text) external _mvwinnstr
000000019fd9e55c (__TEXT,__text) external _mvwinnwstr
000000019fd9e5c4 (__TEXT,__text) external _mvwins_nwstr
000000019fd9e62c (__TEXT,__text) external _mvwins_wch
000000019fd9e680 (__TEXT,__text) external _mvwins_wstr
000000019fd9d1e0 (__TEXT,__text) external _mvwinsch
000000019fd9d234 (__TEXT,__text) external _mvwinsnstr
000000019fd9d29c (__TEXT,__text) external _mvwinsstr
000000019fd9d2f4 (__TEXT,__text) external _mvwinstr
000000019fd9e6d8 (__TEXT,__text) external _mvwinwstr
000000019fd8db40 (__TEXT,__text) external _mvwprintw
000000019fd8ea18 (__TEXT,__text) external _mvwscanw
000000019fd9d34c (__TEXT,__text) external _mvwvline
000000019fd9e72c (__TEXT,__text) external _mvwvline_set
                 (undefined) external _nanosleep (from libSystem)
000000019fd8c1d0 (__TEXT,__text) external _napms
000000019fd8d318 (__TEXT,__text) external _newpad
00000001e01a61c8 (__DATA,__common) external _newscr
000000019fd8c27c (__TEXT,__text) external _newterm
000000019fd8c6e4 (__TEXT,__text) external _newwin
000000019fd8caf8 (__TEXT,__text) external _nl
                 (undefined) external _nl_langinfo (from libSystem)
000000019fd8df64 (__TEXT,__text) external _nocbreak
000000019fd8cc50 (__TEXT,__text) external _nodelay
000000019fd87b98 (__TEXT,__text) external _noecho
000000019fd8c26c (__TEXT,__text) external _nofilter
000000019fd8cb14 (__TEXT,__text) external _nonl
000000019fd8e054 (__TEXT,__text) external _noqiflush
000000019fd8de5c (__TEXT,__text) external _noraw
000000019fd8cc74 (__TEXT,__text) external _notimeout
00000001e6f46450 (__DATA_CONST,__const) external _numcodes
00000001e6f47698 (__DATA_CONST,__const) external _numfnames
00000001e6f47558 (__DATA_CONST,__const) external _numnames
                 (undefined) external _open (from libSystem)
00000001e01a630e (__DATA,__common) external _ospeed
000000019fd8cf20 (__TEXT,__text) external _overlay
000000019fd8cfdc (__TEXT,__text) external _overwrite
000000019fd87590 (__TEXT,__text) external _pair_content
000000019fd8d84c (__TEXT,__text) external _pecho_wchar
000000019fd8d7cc (__TEXT,__text) external _pechochar
                 (undefined) external _perror (from libSystem)
000000019fd8d464 (__TEXT,__text) external _pnoutrefresh
000000019fd8d42c (__TEXT,__text) external _prefresh
000000019fd8da1c (__TEXT,__text) external _printw
                 (undefined) external _putc (from libSystem)
000000019fd91a90 (__TEXT,__text) external _putp
000000019fd8ec30 (__TEXT,__text) external _putwin
000000019fd8dd9c (__TEXT,__text) external _qiflush
000000019fd8db90 (__TEXT,__text) external _raw
                 (undefined) external _read (from libSystem)
                 (undefined) external _realloc (from libSystem)
000000019fd9d3bc (__TEXT,__text) external _redrawwin
000000019fd9d3cc (__TEXT,__text) external _refresh
                 (undefined) external _remove (from libSystem)
000000019fd922a4 (__TEXT,__text) external _reset_prog_mode
000000019fd92318 (__TEXT,__text) external _reset_shell_mode
000000019fd923fc (__TEXT,__text) external _resetty
000000019fd95c38 (__TEXT,__text) external _resize_term
000000019fd95ecc (__TEXT,__text) external _resizeterm
000000019fd8e828 (__TEXT,__text) external _restartterm
