00000001879a2a00 (__TEXT,__const) non-external _A1_Table
0000000187819050 (__TEXT,__text) non-external _ChunkyToPlanarF
000000018780b508 (__TEXT,__text) non-external _ChunkyToPlanarPass_Print
00000001877d6ce4 (__TEXT,__text) non-external _CoefGeneration
00000001877def7c (__TEXT,__text) non-external _CoefGenerationFP16
00000001877daab4 (__TEXT,__text) non-external _CoefGenerationVertical
00000001877e2aa4 (__TEXT,__text) non-external _CoefGenerationVertical_FP16
00000001876d12fc (__TEXT,__text) non-external (was a private external) _ColorFill_ARGB8888
00000001876c045c (__TEXT,__text) non-external (was a private external) _ColorFill_ARGBFFFF
0000000187653780 (__TEXT,__text) non-external (was a private external) _ColorFill_Planar8
00000001876bc864 (__TEXT,__text) non-external (was a private external) _ColorFill_PlanarF
00000001878136e0 (__TEXT,__text) non-external _CompressPassesToLUT
00000001dd56fdd0 (__AUTH_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_8to64U_vtbl
00000001dd56fd70 (__AUTH_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanar128_vtbl
00000001dd56fb90 (__AUTH_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanar16_vtbl
00000001dd56fbf0 (__AUTH_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanar24_vtbl
00000001dd56fcb0 (__AUTH_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanar48_vtbl
00000001dd56fd10 (__AUTH_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanar96_vtbl
00000001dd56fc50 (__AUTH_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanarF_vtbl
00000001dd56fb30 (__AUTH_CONST,__const) non-external _CompressPassesToLUT.LUTPass_TableLookup_Planar8_vtbl
0000000187664344 (__TEXT,__text) non-external _ComputeTileSize
0000000187916ec0 (__TEXT,__text) non-external _ComputeTileSize.cold.1
000000018780fe40 (__TEXT,__text) non-external _Convert10ToF
000000018780f0bc (__TEXT,__text) non-external _Convert10toSomethingPass_Print
000000018780ff70 (__TEXT,__text) non-external _Convert11ToF
00000001878100a0 (__TEXT,__text) non-external _Convert12ToF
00000001878101d0 (__TEXT,__text) non-external _Convert13ToF
0000000187810300 (__TEXT,__text) non-external _Convert14ToF
0000000187810430 (__TEXT,__text) non-external _Convert15ToF
0000000187644f24 (__TEXT,__text) non-external (was a private external) _Convert16UToF
0000000187810560 (__TEXT,__text) non-external _Convert17ToF
0000000187810690 (__TEXT,__text) non-external _Convert18ToF
00000001878107c0 (__TEXT,__text) non-external _Convert19ToF
000000018780d828 (__TEXT,__text) non-external _Convert1To8Bit
00000001878108f0 (__TEXT,__text) non-external _Convert20ToF
0000000187810a20 (__TEXT,__text) non-external _Convert21ToF
0000000187810b50 (__TEXT,__text) non-external _Convert22ToF
0000000187810c80 (__TEXT,__text) non-external _Convert23ToF
0000000187810db0 (__TEXT,__text) non-external _Convert24ToF
0000000187810ee0 (__TEXT,__text) non-external _Convert25ToF
0000000187811010 (__TEXT,__text) non-external _Convert26ToF
0000000187811140 (__TEXT,__text) non-external _Convert27ToF
0000000187811270 (__TEXT,__text) non-external _Convert28ToF
00000001878113a0 (__TEXT,__text) non-external _Convert29ToF
000000018780d940 (__TEXT,__text) non-external _Convert2To8Bit
00000001878114d0 (__TEXT,__text) non-external _Convert30ToF
0000000187811600 (__TEXT,__text) non-external _Convert31ToF
0000000187811730 (__TEXT,__text) non-external _Convert32ToF
000000018780de58 (__TEXT,__text) non-external _Convert3To8Bit
000000018780da58 (__TEXT,__text) non-external _Convert4To8Bit
000000018780df78 (__TEXT,__text) non-external _Convert5To8Bit
000000018780e090 (__TEXT,__text) non-external _Convert6To8Bit
000000018780e1b0 (__TEXT,__text) non-external _Convert7To8Bit
000000018780db70 (__TEXT,__text) non-external _Convert8To1Bit
000000018780dc68 (__TEXT,__text) non-external _Convert8To2Bit
000000018780e2d0 (__TEXT,__text) non-external _Convert8To3Bit
000000018780dd60 (__TEXT,__text) non-external _Convert8To4Bit
000000018780e3e0 (__TEXT,__text) non-external _Convert8To5Bit
000000018780e4f0 (__TEXT,__text) non-external _Convert8To6Bit
000000018780e600 (__TEXT,__text) non-external _Convert8To7Bit
000000018780fd10 (__TEXT,__text) non-external _Convert9ToF
000000018761b374 (__TEXT,__text) non-external _ConvertByteOrderingToDefault
00000001dd56d130 (__AUTH_CONST,__const) non-external _ConvertDirectToIndexed.Convert_Planar8toIndexed1_vtbl
00000001dd56d190 (__AUTH_CONST,__const) non-external _ConvertDirectToIndexed.Convert_Planar8toIndexed2_vtbl
00000001dd56d1f0 (__AUTH_CONST,__const) non-external _ConvertDirectToIndexed.Convert_Planar8toIndexed4_vtbl
00000001dd56d250 (__AUTH_CONST,__const) non-external _ConvertDirectToIndexed.Convert_TableLookUp_Planar8toIndexed_vtbl
0000000187811978 (__TEXT,__text) non-external _ConvertFTo10
0000000187811a90 (__TEXT,__text) non-external _ConvertFTo11
0000000187811ba8 (__TEXT,__text) non-external _ConvertFTo12
0000000187811cc0 (__TEXT,__text) non-external _ConvertFTo13
0000000187811dd8 (__TEXT,__text) non-external _ConvertFTo14
0000000187811ef0 (__TEXT,__text) non-external _ConvertFTo15
0000000187812008 (__TEXT,__text) non-external _ConvertFTo17
0000000187812120 (__TEXT,__text) non-external _ConvertFTo18
0000000187812238 (__TEXT,__text) non-external _ConvertFTo19
0000000187812350 (__TEXT,__text) non-external _ConvertFTo20
0000000187812468 (__TEXT,__text) non-external _ConvertFTo21
0000000187812580 (__TEXT,__text) non-external _ConvertFTo22
0000000187812698 (__TEXT,__text) non-external _ConvertFTo23
00000001878127b0 (__TEXT,__text) non-external _ConvertFTo24
00000001878128c8 (__TEXT,__text) non-external _ConvertFTo25
00000001878129e0 (__TEXT,__text) non-external _ConvertFTo26
0000000187812af8 (__TEXT,__text) non-external _ConvertFTo27
0000000187812c10 (__TEXT,__text) non-external _ConvertFTo28
0000000187812d28 (__TEXT,__text) non-external _ConvertFTo29
0000000187812e40 (__TEXT,__text) non-external _ConvertFTo30
0000000187812f58 (__TEXT,__text) non-external _ConvertFTo31
0000000187813070 (__TEXT,__text) non-external _ConvertFTo32
0000000187811860 (__TEXT,__text) non-external _ConvertFTo9
0000000187813528 (__TEXT,__text) non-external _ConvertFloatToHalf
00000001dd575bf0 (__AUTH_CONST,__const) non-external _ConvertFromCVRGB101010.Convert_CVRGB101010toARGB16Q12_vtbl
00000001dd575c50 (__AUTH_CONST,__const) non-external _ConvertFromCVRGB101010.Convert_CVRGB101010toARGB16U_vtbl
00000001dd575b90 (__AUTH_CONST,__const) non-external _ConvertFromCVRGB101010.Convert_CVRGB101010toARGB8888_vtbl
000000018781344c (__TEXT,__text) non-external _ConvertHalfToFloat
0000000187806608 (__TEXT,__text) non-external _ConvertIndexedToDirect
00000001dd56ce90 (__AUTH_CONST,__const) non-external _ConvertIndexedToDirect.Convert_Indexed1toPlanar8_vtbl
00000001dd56cef0 (__AUTH_CONST,__const) non-external _ConvertIndexedToDirect.Convert_Indexed2toPlanar8_vtbl
00000001dd56cf50 (__AUTH_CONST,__const) non-external _ConvertIndexedToDirect.Convert_Indexed4toPlanar8_vtbl
00000001dd56d010 (__AUTH_CONST,__const) non-external _ConvertIndexedToDirect.Convert_Planar8ToChunky_vtbl
00000001dd56d0d0 (__AUTH_CONST,__const) non-external _ConvertIndexedToDirect.Convert_Planar8toARGB888_vtbl
00000001dd56d070 (__AUTH_CONST,__const) non-external _ConvertIndexedToDirect.Convert_Planar8toRGB888_vtbl
00000001dd56cfb0 (__AUTH_CONST,__const) non-external _ConvertIndexedToDirect.Convert_TableLookUp_Planar8_vtbl
0000000187629128 (__TEXT,__text) non-external (was a private external) _ConvertPass_Delete
00000001877a7cac (__TEXT,__text) non-external (was a private external) _ConvertPass_Print
00000001876291b8 (__TEXT,__text) non-external (was a private external) _ConvertPass_StandardDeallocator
00000001dd574b10 (__AUTH_CONST,__const) non-external _ConvertToCVRGB101010.Convert_ARGB16Q12toCVRGB101010_vtbl
00000001dd574b70 (__AUTH_CONST,__const) non-external _ConvertToCVRGB101010.Convert_ARGB16UtoCVRGB101010_vtbl
00000001dd574ab0 (__AUTH_CONST,__const) non-external _ConvertToCVRGB101010.Convert_ARGB8888toCVRGB101010_vtbl
0000000187813188 (__TEXT,__text) non-external _Convert_12UTo16U
00000001878062a4 (__TEXT,__text) non-external (was a private external) _Convert_16Q12to16U
00000001878060ec (__TEXT,__text) non-external (was a private external) _Convert_16Q12to8
000000018780645c (__TEXT,__text) non-external (was a private external) _Convert_16Q12toF
0000000187813280 (__TEXT,__text) non-external _Convert_16UTo12U
0000000187805e58 (__TEXT,__text) non-external (was a private external) _Convert_16UToF
0000000187805cbc (__TEXT,__text) non-external (was a private external) _Convert_16UToPlanar8
00000001878061c8 (__TEXT,__text) non-external (was a private external) _Convert_16Uto16Q12
000000018781aa48 (__TEXT,__text) non-external _Convert_420Yp8_Cb8_Cr8ToARGB8888
000000018781aa98 (__TEXT,__text) non-external _Convert_420Yp8_CbCr8ToARGB8888
000000018781a9a8 (__TEXT,__text) non-external _Convert_422CbYpCrYp16ToARGB16U
000000018781a988 (__TEXT,__text) non-external _Convert_422CbYpCrYp16ToARGB8888
000000018781a8e8 (__TEXT,__text) non-external _Convert_422CbYpCrYp8ToARGB8888
000000018781aa78 (__TEXT,__text) non-external _Convert_422CbYpCrYp8_AA8ToARGB8888
000000018781a9e8 (__TEXT,__text) non-external _Convert_422CrYpCbYpCbYpCbYpCrYpCrYp10ToARGB16Q12
000000018781a9c8 (__TEXT,__text) non-external _Convert_422CrYpCbYpCbYpCbYpCrYpCrYp10ToARGB8888
000000018781aac4 (__TEXT,__text) non-external _Convert_422YpCbYpCr8ToARGB8888
000000018781a950 (__TEXT,__text) non-external _Convert_444AYpCbCr16ToARGB16U
000000018781a938 (__TEXT,__text) non-external _Convert_444AYpCbCr16ToARGB8888
000000018781a920 (__TEXT,__text) non-external _Convert_444AYpCbCr8ToARGB8888
000000018781a908 (__TEXT,__text) non-external _Convert_444CbYpCrA8ToARGB8888
000000018781aa28 (__TEXT,__text) non-external _Convert_444CrYpCb10ToARGB16Q12
000000018781aa08 (__TEXT,__text) non-external _Convert_444CrYpCb10ToARGB8888
000000018781a968 (__TEXT,__text) non-external _Convert_444CrYpCb8ToARGB8888
000000018763ba64 (__TEXT,__text) non-external (was a private external) _Convert_8to16Q12
000000018780e710 (__TEXT,__text) non-external _Convert_ARGB1555toARGB8888
000000018780e79c (__TEXT,__text) non-external _Convert_ARGB1555toBGRA8888
000000018781a7cc (__TEXT,__text) non-external _Convert_ARGB16Q12To422CrYpCbYpCbYpCbYpCrYpCrYp10
000000018781a7fc (__TEXT,__text) non-external _Convert_ARGB16Q12To444CrYpCb10
000000018781a6a4 (__TEXT,__text) non-external _Convert_ARGB16Q12toCVRGB101010
000000018781a79c (__TEXT,__text) non-external _Convert_ARGB16UTo422CbYpCrYp16
000000018781a754 (__TEXT,__text) non-external _Convert_ARGB16UTo444AYpCbCr16
0000000187805d98 (__TEXT,__text) non-external (was a private external) _Convert_ARGB16UToARGB8888
00000001879a2f48 (__TEXT,__const) non-external _Convert_ARGB16UToARGB8888.black
000000018781a6d4 (__TEXT,__text) non-external _Convert_ARGB16UtoCVRGB101010
000000018780537c (__TEXT,__text) non-external (was a private external) _Convert_ARGB16UtoRGB16U
000000018781a814 (__TEXT,__text) non-external _Convert_ARGB8888To420Yp8_Cb8_Cr8
000000018781a854 (__TEXT,__text) non-external _Convert_ARGB8888To420Yp8_CbCr8
000000018781a784 (__TEXT,__text) non-external _Convert_ARGB8888To422CbYpCrYp16
000000018781a6f4 (__TEXT,__text) non-external _Convert_ARGB8888To422CbYpCrYp8
000000018781a838 (__TEXT,__text) non-external _Convert_ARGB8888To422CbYpCrYp8_AA8
000000018781a7b4 (__TEXT,__text) non-external _Convert_ARGB8888To422CrYpCbYpCbYpCbYpCrYpCrYp10
000000018781a870 (__TEXT,__text) non-external _Convert_ARGB8888To422YpCbYpCr8
000000018781a73c (__TEXT,__text) non-external _Convert_ARGB8888To444AYpCbCr16
000000018781a724 (__TEXT,__text) non-external _Convert_ARGB8888To444AYpCbCr8
000000018781a70c (__TEXT,__text) non-external _Convert_ARGB8888To444CbYpCrA8
000000018781a7e4 (__TEXT,__text) non-external _Convert_ARGB8888To444CrYpCb10
000000018781a76c (__TEXT,__text) non-external _Convert_ARGB8888To444CrYpCb8
0000000187805a58 (__TEXT,__text) non-external (was a private external) _Convert_ARGB8888ToARGB16U
00000001879a2f38 (__TEXT,__const) non-external _Convert_ARGB8888ToARGB16U.backColor
0000000187805b18 (__TEXT,__text) non-external (was a private external) _Convert_ARGB8888ToRGB16U
00000001879a2f40 (__TEXT,__const) non-external _Convert_ARGB8888ToRGB16U.backColor
000000018780ec58 (__TEXT,__text) non-external _Convert_ARGB8888toARGB1555
000000018781a684 (__TEXT,__text) non-external _Convert_ARGB8888toCVRGB101010
000000018780f42c (__TEXT,__text) non-external _Convert_ARGB8888toRGB101010
000000018780ed0c (__TEXT,__text) non-external _Convert_ARGB8888toRGB565
0000000187805334 (__TEXT,__text) non-external (was a private external) _Convert_ARGB8888toRGB888
00000001878053c4 (__TEXT,__text) non-external (was a private external) _Convert_ARGBFFFFtoRGBFFF
0000000187809a14 (__TEXT,__text) non-external _Convert_BGR888toRGB888
00000001879a31fc (__TEXT,__const) non-external _Convert_BGR888toRGB888.permuteMap
000000018780f4c4 (__TEXT,__text) non-external _Convert_BGRA8888toRGB101010
000000018780ee74 (__TEXT,__text) non-external _Convert_BGRA8888toRGB565
000000018780531c (__TEXT,__text) non-external (was a private external) _Convert_BGRA8888toRGB888
000000018781a8a8 (__TEXT,__text) non-external _Convert_CVRGB101010toARGB16Q12
000000018781a8c8 (__TEXT,__text) non-external _Convert_CVRGB101010toARGB16U
000000018781a888 (__TEXT,__text) non-external _Convert_CVRGB101010toARGB8888
0000000187806014 (__TEXT,__text) non-external (was a private external) _Convert_FTo16U
0000000187806380 (__TEXT,__text) non-external (was a private external) _Convert_Fto16Q12
000000018780af9c (__TEXT,__text) non-external _Convert_Indexed1toPlanar8
000000018780b328 (__TEXT,__text) non-external _Convert_Indexed2toPlanar8
000000018780b3c8 (__TEXT,__text) non-external _Convert_Indexed4toPlanar8
0000000187813370 (__TEXT,__text) non-external _Convert_Planar16FtoPlanar16Q12
000000018763df20 (__TEXT,__text) non-external _Convert_Planar16FtoPlanar16U
000000018763bd78 (__TEXT,__text) non-external _Convert_Planar16Q12toPlanar16F
0000000187813604 (__TEXT,__text) non-external _Convert_Planar16UtoPlanar16F
000000018780597c (__TEXT,__text) non-external (was a private external) _Convert_Planar8To16U
000000018780b5f0 (__TEXT,__text) non-external _Convert_Planar8toARGB8888
000000018780b610 (__TEXT,__text) non-external _Convert_Planar8toIndexed1
000000018780b6cc (__TEXT,__text) non-external _Convert_Planar8toIndexed2
000000018780b788 (__TEXT,__text) non-external _Convert_Planar8toIndexed4
0000000187805bd8 (__TEXT,__text) non-external (was a private external) _Convert_Planar8toPlanarF
000000018780b5d4 (__TEXT,__text) non-external _Convert_Planar8toRGB888
0000000187805f30 (__TEXT,__text) non-external (was a private external) _Convert_PlanarFtoPlanar8
000000018780f144 (__TEXT,__text) non-external _Convert_RGB101010toARGB8888
000000018780f208 (__TEXT,__text) non-external _Convert_RGB101010toBGRA8888
000000018780f7c8 (__TEXT,__text) non-external _Convert_RGB101010toRGB16U
000000018780f2e8 (__TEXT,__text) non-external _Convert_RGB101010toRGB888
000000018780f608 (__TEXT,__text) non-external _Convert_RGB101010toRGBA16Q12
000000018780f6e8 (__TEXT,__text) non-external _Convert_RGB101010toRGBA16U
000000018780efdc (__TEXT,__text) non-external _Convert_RGB101010toRGBA8888
000000018780fa58 (__TEXT,__text) non-external _Convert_RGB101010toRGBAFFFF
000000018780fb2c (__TEXT,__text) non-external _Convert_RGB101010toRGBFFF
00000001878052c4 (__TEXT,__text) non-external (was a private external) _Convert_RGB16UtoARGB16U
000000018780f9c4 (__TEXT,__text) non-external _Convert_RGB16UtoRGB101010
000000018763d198 (__TEXT,__text) non-external (was a private external) _Convert_RGB16UtoRGBA16U
000000018780eb08 (__TEXT,__text) non-external _Convert_RGB565toABGR8888
000000018780e8e8 (__TEXT,__text) non-external _Convert_RGB565toARGB8888
000000018780ea78 (__TEXT,__text) non-external _Convert_RGB565toBGRA8888
000000018780ebcc (__TEXT,__text) non-external _Convert_RGB565toRGB888
000000018780e9e8 (__TEXT,__text) non-external _Convert_RGB565toRGBA8888
00000001878052a4 (__TEXT,__text) non-external (was a private external) _Convert_RGB888toARGB8888
000000018762ff80 (__TEXT,__text) non-external (was a private external) _Convert_RGB888toBGRA8888
000000018780f574 (__TEXT,__text) non-external _Convert_RGB888toRGB101010
000000018780ef28 (__TEXT,__text) non-external _Convert_RGB888toRGB565
0000000187630cc0 (__TEXT,__text) non-external (was a private external) _Convert_RGB888toRGBA8888
000000018780f85c (__TEXT,__text) non-external _Convert_RGBA16Q12toRGB101010
000000018780f914 (__TEXT,__text) non-external _Convert_RGBA16UtoRGB101010
0000000187805370 (__TEXT,__text) non-external (was a private external) _Convert_RGBA16UtoRGB16U
000000018780e85c (__TEXT,__text) non-external _Convert_RGBA5551toRGBA8888
000000018780f37c (__TEXT,__text) non-external _Convert_RGBA8888toRGB101010
0000000187652fd0 (__TEXT,__text) non-external _Convert_RGBA8888toRGB565
0000000187805328 (__TEXT,__text) non-external (was a private external) _Convert_RGBA8888toRGB888
000000018780edc0 (__TEXT,__text) non-external _Convert_RGBA8888toRGBA5551
000000018780fbc4 (__TEXT,__text) non-external _Convert_RGBAFFFFtoRGB101010
00000001878053b8 (__TEXT,__text) non-external (was a private external) _Convert_RGBAFFFFtoRGBFFF
0000000187805300 (__TEXT,__text) non-external (was a private external) _Convert_RGBFFFtoARGBFFFF
000000018780fc78 (__TEXT,__text) non-external _Convert_RGBFFFtoRGB101010
00000001878052e4 (__TEXT,__text) non-external (was a private external) _Convert_RGBFFFtoRGBAFFFF
0000000187722d74 (__TEXT,__text) non-external _Convolve16F_GCDWork
0000000187630184 (__TEXT,__text) non-external (was a private external) _CopyImageTilingInfo
00000001876cf1d8 (__TEXT,__text) non-external (was a private external) _CopyInPlace_ARGB8888
00000001876bfa84 (__TEXT,__text) non-external (was a private external) _CopyInPlace_ARGBFFFF
00000001876c4f30 (__TEXT,__text) non-external (was a private external) _CopyInPlace_Planar8
00000001876bba88 (__TEXT,__text) non-external (was a private external) _CopyInPlace_PlanarF
0000000187630a60 (__TEXT,__text) non-external (was a private external) _Copy_Convert
00000001878149ac (__TEXT,__text) non-external _CorrectWithinColorspace
00000001dd574f30 (__AUTH_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB16Q12To422CrYpCbYpCbYpCbYpCrYpCrYp10_vtbl
00000001dd574ff0 (__AUTH_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB16Q12To444CrYpCb10_vtbl
00000001dd574e70 (__AUTH_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB16UTo422CbYpCrYp16_vtbl
00000001dd574d50 (__AUTH_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB16UTo444AYpCbCr16_vtbl
00000001dd575050 (__AUTH_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB8888To420Yp8_Cb8_Cr8_vtbl
00000001dd575110 (__AUTH_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB8888To420Yp8_CbCr8_vtbl
00000001dd574e10 (__AUTH_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB8888To422CbYpCrYp16_vtbl
00000001dd5750b0 (__AUTH_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB8888To422CbYpCrYp8_AA8_vtbl
00000001dd574bd0 (__AUTH_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB8888To422CbYpCrYp8_vtbl
00000001dd574ed0 (__AUTH_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB8888To422CrYpCbYpCbYpCbYpCrYpCrYp10_vtbl
00000001dd575170 (__AUTH_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB8888To422YpCbYpCr8_vtbl
00000001dd574cf0 (__AUTH_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB8888To444AYpCbCr16_vtbl
00000001dd574c90 (__AUTH_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB8888To444AYpCbCr8_vtbl
00000001dd574c30 (__AUTH_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB8888To444CbYpCrA8_vtbl
00000001dd574f90 (__AUTH_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB8888To444CrYpCb10_vtbl
00000001dd574db0 (__AUTH_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB8888To444CrYpCb8_vtbl
00000001db478620 (__DATA_DIRTY,__data) non-external (was a private external) _CreateCGImageFromBuffer
