00007ff841ae2718 (__DATA,__data) non-external _C
00007ff80032bf57 (__TEXT,__text) external ___bt_ret
00007ff80032a768 (__TEXT,__text) external ___bt_search
00007ff80032a9c0 (__TEXT,__text) external ___bt_seq
00007ff80032ad84 (__TEXT,__text) external ___bt_setcur
00007ff80032af9f (__TEXT,__text) external ___bt_split
00007ff800328c79 (__TEXT,__text) non-external ___bt_stkacq
00007ff8003285e4 (__TEXT,__text) external ___bt_sync
00007ff80032e3ec (__TEXT,__text) external ___buf_free
00007ff80032e3b4 (__TEXT,__text) non-external (was a private external) ___buf_init
                 (undefined) external ___bzero (from libsystem_platform)
00007ff84380aa70 (__DATA_DIRTY,__data) non-external ___c_locale
00007ff8003598e7 (__TEXT,__text) non-external ___calc_left_pad
00007ff80032cf7b (__TEXT,__text) external ___call_hash
00007ff841ae2c00 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
00007ff80035fe0b (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
00007ff80035fe1d (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
00007ff800313eff (__TEXT,__text) non-external (was a private external) ___chk_init
00007ff8002e9330 (__TEXT,__text) non-external (was a private external) ___chk_overlap
00007ff80031e2b0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ff80031e2d0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___chmod_extended (from libsystem_kernel)
00007ff84380d060 (__DATA_DIRTY,__common) external ___cleanup
00007ff8002f4b42 (__TEXT,__text) external ___cmp_D2A
00007ff800339b2b (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
00007ff800339cc3 (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
00007ff800339e35 (__TEXT,__text) external ___collate_equiv_match
00007ff8002ffda1 (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
00007ff80033936a (__TEXT,__text) non-external (was a private external) ___collate_err
00007ff841ae2830 (__DATA,__data) external ___collate_load_error
00007ff80030763f (__TEXT,__text) non-external (was a private external) ___collate_load_tables
00007ff841ae4ee0 (__DATA,__bss) non-external ___collate_load_tables.cache
00007ff800339676 (__TEXT,__text) external ___collate_lookup
00007ff800339425 (__TEXT,__text) external ___collate_lookup_l
00007ff800339839 (__TEXT,__text) non-external (was a private external) ___collate_lookup_which
00007ff800339734 (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
00007ff80033a251 (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
00007ff841ae4ee8 (__DATA,__bss) non-external ___collate_range_cmp.s1
00007ff841ae4ef0 (__DATA,__bss) non-external ___collate_range_cmp.s2
00007ff800339175 (__TEXT,__text) non-external (was a private external) ___collate_substitute
00007ff800339322 (__TEXT,__text) non-external (was a private external) ___collate_wcsdup
00007ff8003398f8 (__TEXT,__text) non-external (was a private external) ___collate_xfrm
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
00007ff800305280 (__TEXT,__text) non-external (was a private external) ___confstr_init
00007ff8002f7681 (__TEXT,__text) external ___copybits_D2A
00007ff80031eb32 (__TEXT,__text) non-external (was a private external) ___crypt_des_cipher
00007ff80031e533 (__TEXT,__text) non-external (was a private external) ___crypt_des_setkey
00007ff841ae45b0 (__DATA,__bss) non-external ___crypt_des_setkey.des_ready
00007ff841ae5470 (__DATA,__common) non-external (was a private external) ___crypt_des_setkey_called
00007ff8003532cd (__TEXT,__text) non-external ___cvt
00007ff841ae5400 (__DATA,__bss) non-external ___cvt.s
00007ff8002e9b0b (__TEXT,__text) external ___cxa_atexit
00007ff80030e067 (__TEXT,__text) external ___cxa_finalize
00007ff80030e09f (__TEXT,__text) external ___cxa_finalize_ranges
00007ff80034fb62 (__TEXT,__text) external ___cxa_thread_atexit
00007ff8002f3930 (__TEXT,__text) external ___d2b_D2A
00007ff84380d018 (__DATA_DIRTY,__common) non-external (was a private external) ___darwin_altzone
00007ff80032c2c5 (__TEXT,__text) non-external ___dberr
00007ff80032c2a0 (__TEXT,__text) external ___dbpanic
00007ff841ae2740 (__DATA,__data) external ___default_hash
00007ff800357d69 (__TEXT,__text) external ___default_utx
00007ff841ae2bb0 (__DATA,__data) non-external ___default_utx.once
00007ff800357d89 (__TEXT,__text) non-external ___default_utx_init
00007ff80032e604 (__TEXT,__text) external ___delpair
00007ff8003075ac (__TEXT,__text) non-external (was a private external) ___detect_path_locale
00007ff8002f4a32 (__TEXT,__text) external ___diff_D2A
00007ff84380b730 (__DATA_DIRTY,__bss) non-external ___dirhelper_func
00007ff8002f29dc (__TEXT,__text) external ___dtoa
00007ff800357eac (__TEXT,__text) non-external (was a private external) ___endutxent
00007ff84380d070 (__DATA_DIRTY,__common) non-external (was a private external) ___env_owned
00007ff80034fbcf (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
00007ff841ae5398 (__DATA,__bss) non-external ___environ_lock_obj
                 (undefined) external ___error (from libsystem_kernel)
00007ff800314558 (__TEXT,__text) non-external (was a private external) ___errstr
00007ff8002f8c19 (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
00007ff80032ce36 (__TEXT,__text) external ___expand_table
00007ff841ae5190 (__DATA,__bss) non-external ___fallback_evp
                 (undefined) external ___fchmod_extended (from libsystem_kernel)
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
00007ff8002f65fe (__TEXT,__text) external ___fflush
00007ff8003411c7 (__TEXT,__text) external ___fgetwc
00007ff800342a84 (__TEXT,__text) non-external (was a private external) ___find_arguments
00007ff80032d7ca (__TEXT,__text) external ___find_bigpair
00007ff80032d8e0 (__TEXT,__text) external ___find_last_page
00007ff800343b0c (__TEXT,__text) non-external (was a private external) ___find_warguments
00007ff8002e373a (__TEXT,__text) non-external (was a private external) ___findenv_locked
00007ff80030916a (__TEXT,__text) external ___fix_locale_grouping_str
00007ff80033afdb (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
                 (undefined) external ___fpclassifyl (from libsystem_m)
00007ff800341880 (__TEXT,__text) non-external (was a private external) ___fputwc
00007ff8002effee (__TEXT,__text) external ___fread
00007ff80032f86b (__TEXT,__text) external ___free_ovflpage
00007ff8002f3c5b (__TEXT,__text) external ___freedtoa
                 (undefined) external ___fstat64_extended (from libsystem_kernel)
                 (undefined) external ___fstat_extended (from libsystem_kernel)
00007ff841ae2c04 (__DATA,__data) non-external (was a private external) ___ftell_conformance_fix
00007ff8002f526f (__TEXT,__text) non-external ___fts_open
00007ff8002f5513 (__TEXT,__text) non-external ___fts_open
00007ff800331b80 (__TEXT,__text) external ___gdtoa
00007ff841ae5480 (__DATA,__common) external ___gdtoa_locks
00007ff80032dfbe (__TEXT,__text) external ___get_buf
00007ff80033b57a (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
00007ff8002e85e6 (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
00007ff8002e8609 (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
00007ff8003059be (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
00007ff800310249 (__TEXT,__text) non-external (was a private external) ___get_locale_env
00007ff80032f34a (__TEXT,__text) external ___get_page
00007ff80030e999 (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
00007ff84380cfa0 (__DATA_DIRTY,__bss) non-external ___getevp.predicate
                 (undefined) external ___getlogin (from libsystem_kernel)
00007ff80033b59d (__TEXT,__text) external ___getonlyClocaleconv
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00007ff800357f77 (__TEXT,__text) non-external (was a private external) ___getutxent
00007ff8003582fa (__TEXT,__text) non-external ___getutxid
00007ff800313108 (__TEXT,__text) non-external (was a private external) ___gl_compare
00007ff800312aef (__TEXT,__text) non-external (was a private external) ___gl_g_Ctoc
00007ff800335c42 (__TEXT,__text) non-external (was a private external) ___gl_g_strchr
00007ff800312e78 (__TEXT,__text) non-external (was a private external) ___gl_globextend
00007ff800311c1c (__TEXT,__text) non-external (was a private external) ___gl_globtilde
00007ff800312bfe (__TEXT,__text) non-external (was a private external) ___gl_match
00007ff8003110ca (__TEXT,__text) non-external ___glob
00007ff80031141a (__TEXT,__text) non-external ___glob
00007ff84380a4a0 (__DATA_DIRTY,__data) non-external (was a private external) ___global_locale
00007ff800305342 (__TEXT,__text) non-external (was a private external) ___guard_setup
00007ff80032c2d0 (__TEXT,__text) external ___hash_open
00007ff800319b04 (__TEXT,__text) external ___hdtoa
00007ff8002f14f5 (__TEXT,__text) non-external (was a private external) ___heapsort_r
00007ff8002f74ac (__TEXT,__text) external ___hi0bits_D2A
00007ff800331916 (__TEXT,__text) external ___hldtoa
00007ff8002f46e4 (__TEXT,__text) external ___i2b_D2A
00007ff80032f7b2 (__TEXT,__text) external ___ibitmap
00007ff80033ff56 (__TEXT,__text) non-external ___inaddr_to_index
00007ff800361603 (__TEXT,__text) non-external ___inaddr_to_index.cold.1
00007ff800352751 (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
00007ff80033be56 (__TEXT,__text) external ___isctype
00007ff80033bded (__TEXT,__text) external ___istype
00007ff80033bf2f (__TEXT,__text) external ___istype_l
00007ff84380b078 (__DATA_DIRTY,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
00007ff84380b720 (__DATA_DIRTY,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
00007ff80033b566 (__TEXT,__text) non-external (was a private external) ___ldpart_free_extra
00007ff8003536f8 (__TEXT,__text) external ___ldtoa
00007ff8003275dc (__TEXT,__text) external ___libc_init
00007ff8002f3b46 (__TEXT,__text) external ___lo0bits_D2A
00007ff8002f8c44 (__TEXT,__text) non-external ___loadevp
00007ff84380aa68 (__DATA_DIRTY,__data) non-external (was a private external) ___locale_key
00007ff80032e5e8 (__TEXT,__text) external ___log2
00007ff841ae54a0 (__DATA,__common) non-external (was a private external) ___logname
00007ff841ae2770 (__DATA,__data) non-external (was a private external) ___logname_mutex
00007ff800364fc0 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
00007ff8002f493a (__TEXT,__text) external ___lshift_D2A
                 (undefined) external ___lstat64_extended (from libsystem_kernel)
                 (undefined) external ___lstat_extended (from libsystem_kernel)
00007ff8002f9289 (__TEXT,__text) external ___maskrune
00007ff80033bedb (__TEXT,__text) external ___maskrune_l
00007ff800332d63 (__TEXT,__text) external ___match_D2A
00007ff841ae289c (__DATA,__data) external ___mb_cur_max
00007ff841ae28a0 (__DATA,__data) external ___mb_sb_limit
00007ff800349762 (__TEXT,__text) non-external ___mbsconv
00007ff80033b786 (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
00007ff80035fe2f (__TEXT,__text) external ___memccpy_chk
00007ff8002e950c (__TEXT,__text) external ___memcpy_chk
00007ff8002e9ee4 (__TEXT,__text) external ___memmove_chk
00007ff8002f2121 (__TEXT,__text) external ___memset_chk
00007ff8003096f7 (__TEXT,__text) non-external (was a private external) ___messages_load_locale
00007ff841ae4ef8 (__DATA,__bss) non-external ___messages_load_locale.cache
                 (undefined) external ___mkdir_extended (from libsystem_kernel)
                 (undefined) external ___mkfifo_extended (from libsystem_kernel)
00007ff800308a5e (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
00007ff841ae4f08 (__DATA,__bss) non-external ___monetary_load_locale.cache
00007ff8002f480e (__TEXT,__text) external ___mult_D2A
00007ff8002f464b (__TEXT,__text) external ___multadd_D2A
00007ff800340f10 (__TEXT,__text) non-external ___nls_free_resources
00007ff800364861 (__TEXT,__const) non-external ___nogrouping
00007ff8002f7469 (__TEXT,__text) external ___nrv_alloc_D2A
00007ff800324410 (__TEXT,__text) non-external (was a private external) ___numeric_ctype
00007ff800309222 (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
00007ff841ae4f18 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_extended (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
00007ff800307d00 (__TEXT,__text) non-external (was a private external) ___open_path_locale
00007ff80035e4bf (__TEXT,__text) external ___opendir2
00007ff8002e89b0 (__TEXT,__text) external ___opendir2$INODE64
00007ff8002e9ef6 (__TEXT,__text) non-external ___opendir_common
00007ff8002ea0ee (__TEXT,__text) non-external ___opendir_common
                 (undefined) external ___os_log_simple_offset (from libsystem_platform)
00007ff80032a0c1 (__TEXT,__text) external ___ovfl_delete
00007ff800329ef7 (__TEXT,__text) external ___ovfl_get
00007ff800329fd2 (__TEXT,__text) external ___ovfl_put
00007ff8002f7370 (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
00007ff84380cfb8 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.bsiz
00007ff84380cfb0 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
00007ff84380b508 (__DATA_DIRTY,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
00007ff800308f45 (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
00007ff841ae54a8 (__DATA,__common) non-external (was a private external) ___popen_pidlist
00007ff841ae27b0 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
00007ff8002f4707 (__TEXT,__text) external ___pow5mult_D2A
00007ff800364070 (__TEXT,__const) non-external ___pow5mult_D2A.p05
00007ff800356f39 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
00007ff800361ea1 (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
00007ff800355ce6 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
00007ff800361d2e (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
00007ff800355dd4 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
00007ff800361d50 (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
00007ff800356974 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
00007ff800361d96 (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
00007ff800316f26 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
00007ff800361db7 (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
00007ff800357538 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
00007ff800361f15 (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
00007ff80035751a (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
00007ff800356bf6 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
00007ff800361e3a (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
00007ff800356c9b (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
00007ff800361e5d (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
00007ff800316ef0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
00007ff800361e80 (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
00007ff800357090 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
00007ff800361ed0 (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
00007ff800357387 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
00007ff800361ef1 (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
00007ff8003165e5 (__TEXT,__text) non-external (was a private external) ___printf_comp
00007ff800316faa (__TEXT,__text) non-external (was a private external) ___printf_exec
00007ff800317f2c (__TEXT,__text) non-external (was a private external) ___printf_flush
00007ff800345333 (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
00007ff80031776a (__TEXT,__text) non-external (was a private external) ___printf_out
00007ff8003574a6 (__TEXT,__text) non-external (was a private external) ___printf_pad
00007ff800317453 (__TEXT,__text) non-external (was a private external) ___printf_puts
00007ff800356f7c (__TEXT,__text) non-external (was a private external) ___printf_render_chr
00007ff800355d05 (__TEXT,__text) non-external (was a private external) ___printf_render_errno
00007ff800355e10 (__TEXT,__text) non-external (was a private external) ___printf_render_float
00007ff800361d73 (__TEXT,__text) non-external ___printf_render_float.cold.1
00007ff80035699b (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
00007ff8003177f6 (__TEXT,__text) non-external (was a private external) ___printf_render_int
00007ff800361dda (__TEXT,__text) non-external ___printf_render_int.cold.1
00007ff800361e17 (__TEXT,__text) non-external ___printf_render_int.cold.2
00007ff800357557 (__TEXT,__text) non-external (was a private external) ___printf_render_n
00007ff800357522 (__TEXT,__text) non-external (was a private external) ___printf_render_pct
00007ff800356c23 (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
00007ff800356cba (__TEXT,__text) non-external (was a private external) ___printf_render_quote
00007ff8003174d6 (__TEXT,__text) non-external (was a private external) ___printf_render_str
00007ff8003570af (__TEXT,__text) non-external (was a private external) ___printf_render_time
00007ff8003573a6 (__TEXT,__text) non-external (was a private external) ___printf_render_vis
00007ff80030e440 (__TEXT,__text) non-external (was a private external) ___private_getcwd
00007ff84380b750 (__DATA_DIRTY,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
00007ff80032f4e2 (__TEXT,__text) external ___put_page
00007ff80036498f (__TEXT,__const) non-external (was a private external) ___puts_null__
00007ff800358549 (__TEXT,__text) non-external (was a private external) ___pututxline
00007ff8002f7518 (__TEXT,__text) external ___quorem_D2A
00007ff80030c03f (__TEXT,__text) external ___ratio_D2A
00007ff8003300aa (__TEXT,__text) external ___rec_close
00007ff8003303a1 (__TEXT,__text) external ___rec_delete
00007ff8003304a9 (__TEXT,__text) external ___rec_dleaf
00007ff800330e22 (__TEXT,__text) external ___rec_fd
00007ff800330906 (__TEXT,__text) external ___rec_fmap
00007ff8003306a0 (__TEXT,__text) external ___rec_fpipe
00007ff8003305bc (__TEXT,__text) external ___rec_get
00007ff800331138 (__TEXT,__text) external ___rec_iput
00007ff800330ad4 (__TEXT,__text) external ___rec_open
00007ff800330e70 (__TEXT,__text) external ___rec_put
00007ff8003316c8 (__TEXT,__text) external ___rec_ret
00007ff800331376 (__TEXT,__text) external ___rec_search
00007ff800331514 (__TEXT,__text) external ___rec_seq
00007ff800330169 (__TEXT,__text) external ___rec_sync
00007ff800330a19 (__TEXT,__text) external ___rec_vmap
00007ff8003307ce (__TEXT,__text) external ___rec_vpipe
00007ff80032e4cd (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
00007ff8002f84e5 (__TEXT,__text) external ___rshift_D2A
00007ff800363e80 (__TEXT,__const) non-external (was a private external) ___rune_depreciated_msg
00007ff8002f3bd5 (__TEXT,__text) external ___rv_alloc_D2A
00007ff8002f457c (__TEXT,__text) external ___s2b_D2A
00007ff84380b080 (__DATA_DIRTY,__data) external ___sF
00007ff84380b250 (__DATA_DIRTY,__data) non-external ___sFX
00007ff800304f32 (__TEXT,__text) external ___sclose
00007ff84380b7a0 (__DATA_DIRTY,__bss) non-external ___scounted
00007ff84380d000 (__DATA_DIRTY,__common) external ___sdidinit
                 (undefined) external ___semwait_signal (from libsystem_kernel)
                 (undefined) external ___semwait_signal_nocancel (from libsystem_kernel)
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sendto_nocancel (from libsystem_kernel)
00007ff8002e8e33 (__TEXT,__text) non-external (was a private external) ___setenv_locked
                 (undefined) external ___setlogin (from libsystem_kernel)
00007ff80033b5a9 (__TEXT,__text) external ___setonlyClocaleconv
00007ff800307f32 (__TEXT,__text) non-external (was a private external) ___setrunelocale
00007ff841ae50f8 (__DATA,__bss) non-external ___setrunelocale.CachedRuneLocale
00007ff841ae5100 (__DATA,__bss) non-external ___setrunelocale.cache_lock
                 (undefined) external ___settimeofday (from libsystem_kernel)
00007ff80035996f (__TEXT,__text) non-external ___setup_vars
00007ff800357ddc (__TEXT,__text) non-external (was a private external) ___setutxent
00007ff8002f42d0 (__TEXT,__text) external ___sflags
00007ff8002f3d59 (__TEXT,__text) external ___sflush
00007ff8002f4368 (__TEXT,__text) external ___sfp
00007ff8002f452c (__TEXT,__text) non-external (was a private external) ___sfprelease
