000000000003c1b8 (__DATA,__data) external _NDR_record
00000000000310a0 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
0000000000031068 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
0000000000008458 (__TEXT,__text) external ___kill
0000000000006b58 (__TEXT,__text) external ___kqueue_workloop_ctl
000000000000616c (__TEXT,__text) external ___lchown
0000000000006248 (__TEXT,__text) external ___libkernel_init
000000000000f378 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
000000000000f29c (__TEXT,__text) external ___libkernel_init_late
0000000000006480 (__TEXT,__text) external ___libkernel_platform_init
00000000000010c0 (__TEXT,__text) external ___libkernel_voucher_init
0000000000008a90 (__TEXT,__text) external ___listen
000000000000d158 (__TEXT,__text) external ___log_data
0000000000002370 (__TEXT,__text) external ___lseek
000000000000e524 (__TEXT,__text) external ___lstat
0000000000005ffc (__TEXT,__text) external ___lstat64_extended
000000000000d180 (__TEXT,__text) external ___lstat_extended
000000000000d1a8 (__TEXT,__text) external ___mac_execve
000000000000d1d0 (__TEXT,__text) external ___mac_get_fd
000000000000d1f8 (__TEXT,__text) external ___mac_get_file
000000000000d220 (__TEXT,__text) external ___mac_get_link
000000000000d248 (__TEXT,__text) external ___mac_get_mount
000000000000d270 (__TEXT,__text) external ___mac_get_pid
000000000000d298 (__TEXT,__text) external ___mac_get_proc
000000000000d2c0 (__TEXT,__text) external ___mac_getfsstat
000000000000d2e8 (__TEXT,__text) external ___mac_mount
000000000000d310 (__TEXT,__text) external ___mac_set_fd
000000000000d338 (__TEXT,__text) external ___mac_set_file
000000000000d360 (__TEXT,__text) external ___mac_set_link
0000000000008a34 (__TEXT,__text) external ___mac_set_proc
000000000000245c (__TEXT,__text) external ___mac_syscall
000000000000d388 (__TEXT,__text) external ___mach_bridge_remote_time
000000000000d3b0 (__TEXT,__text) external ___mach_eventlink_signal
000000000000d3d8 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
000000000000d400 (__TEXT,__text) external ___mach_eventlink_wait_until
000000000000d428 (__TEXT,__text) external ___map_with_linking_np
000000000000d450 (__TEXT,__text) external ___memorystatus_available_memory
000000000000d478 (__TEXT,__text) external ___microstackshot
000000000000d4a0 (__TEXT,__text) external ___mkdir_extended
000000000000d4c8 (__TEXT,__text) external ___mkfifo_extended
00000000000017f4 (__TEXT,__text) external ___mmap
0000000000004600 (__TEXT,__text) external ___mprotect
000000000000d4f0 (__TEXT,__text) external ___msgctl
000000000000d518 (__TEXT,__text) external ___msgrcv_nocancel
000000000000d540 (__TEXT,__text) external ___msgsnd_nocancel
000000000000d568 (__TEXT,__text) external ___msgsys
0000000000006ad4 (__TEXT,__text) external ___msync
000000000000d590 (__TEXT,__text) external ___msync_nocancel
0000000000004280 (__TEXT,__text) external ___munmap
000000000000d5b8 (__TEXT,__text) external ___nexus_create
000000000000d5e0 (__TEXT,__text) external ___nexus_deregister
000000000000d608 (__TEXT,__text) external ___nexus_destroy
000000000000d630 (__TEXT,__text) external ___nexus_get_opt
000000000000d658 (__TEXT,__text) external ___nexus_open
000000000000d680 (__TEXT,__text) external ___nexus_register
000000000000d6a8 (__TEXT,__text) external ___nexus_set_opt
00000000000015c0 (__TEXT,__text) external ___open
000000000000607c (__TEXT,__text) external ___open_dprotected_np
000000000000c56c (__TEXT,__text) external ___open_extended
000000000000172c (__TEXT,__text) external ___open_nocancel
000000000000230c (__TEXT,__text) external ___openat
000000000000d6d0 (__TEXT,__text) external ___openat_dprotected_np
00000000000061bc (__TEXT,__text) external ___openat_nocancel
000000000003c260 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
000000000001a198 (__TEXT,__text) external ___os_nexus_flow_add
000000000001a21c (__TEXT,__text) external ___os_nexus_flow_del
000000000001a364 (__TEXT,__text) external ___os_nexus_get_llink_info
0000000000019fc0 (__TEXT,__text) external ___os_nexus_ifattach
000000000001a0dc (__TEXT,__text) external ___os_nexus_ifdetach
0000000000004734 (__TEXT,__text) external ___persona
0000000000006afc (__TEXT,__text) external ___pipe
000000000000d6f8 (__TEXT,__text) external ___poll_nocancel
0000000000007704 (__TEXT,__text) external ___posix_spawn
000000000000d720 (__TEXT,__text) external ___pread_nocancel
000000000000d748 (__TEXT,__text) external ___preadv_nocancel
0000000000001e70 (__TEXT,__text) external ___proc_info
000000000000d770 (__TEXT,__text) external ___proc_info_extended_id
0000000000007ecc (__TEXT,__text) external ___process_policy
00000000000068a8 (__TEXT,__text) external ___pselect
000000000000d798 (__TEXT,__text) external ___pselect_nocancel
00000000000040d0 (__TEXT,__text) external ___psynch_cvbroad
00000000000046a4 (__TEXT,__text) external ___psynch_cvclrprepost
000000000000538c (__TEXT,__text) external ___psynch_cvsignal
00000000000040a8 (__TEXT,__text) external ___psynch_cvwait
000000000000379c (__TEXT,__text) external ___psynch_mutexdrop
00000000000035e0 (__TEXT,__text) external ___psynch_mutexwait
000000000000d7c0 (__TEXT,__text) external ___psynch_rw_downgrade
000000000000d7e8 (__TEXT,__text) external ___psynch_rw_longrdlock
0000000000005b44 (__TEXT,__text) external ___psynch_rw_rdlock
0000000000005b1c (__TEXT,__text) external ___psynch_rw_unlock
000000000000d810 (__TEXT,__text) external ___psynch_rw_unlock2
000000000000d838 (__TEXT,__text) external ___psynch_rw_upgrade
0000000000005af4 (__TEXT,__text) external ___psynch_rw_wrlock
000000000000d860 (__TEXT,__text) external ___psynch_rw_yieldwrlock
000000000000c264 (__TEXT,__text) external ___pthread_canceled
000000000000748c (__TEXT,__text) external ___pthread_chdir
0000000000007464 (__TEXT,__text) external ___pthread_fchdir
00000000000089e4 (__TEXT,__text) external ___pthread_kill
000000000000d888 (__TEXT,__text) external ___pthread_markcancel
0000000000007940 (__TEXT,__text) external ___pthread_sigmask
0000000000008e0c (__TEXT,__text) external ___ptrace
000000000000d8b0 (__TEXT,__text) external ___pwrite_nocancel
000000000000d8d8 (__TEXT,__text) external ___pwritev_nocancel
0000000000002968 (__TEXT,__text) external ___read_nocancel
000000000000d900 (__TEXT,__text) external ___readv_nocancel
000000000000d928 (__TEXT,__text) external ___reboot
000000000000d950 (__TEXT,__text) external ___record_system_event
0000000000004d14 (__TEXT,__text) external ___recvfrom
0000000000004bf8 (__TEXT,__text) external ___recvfrom_nocancel
00000000000050fc (__TEXT,__text) external ___recvmsg
000000000000d978 (__TEXT,__text) external ___recvmsg_nocancel
00000000000406d0 (__DATA_DIRTY,__bss) non-external ___remove_counter
00000000000043c4 (__TEXT,__text) external ___rename
000000000000d9a0 (__TEXT,__text) external ___renameat
000000000000d9c8 (__TEXT,__text) external ___renameatx_np
0000000000004428 (__TEXT,__text) external ___rmdir
000000000000d1a8 (__TEXT,__text) external ___sandbox_me
000000000000d2e8 (__TEXT,__text) external ___sandbox_mm
000000000000245c (__TEXT,__text) external ___sandbox_ms
0000000000008a34 (__TEXT,__text) external ___sandbox_msp
000000000000b140 (__TEXT,__text) external ___select
0000000000004bd0 (__TEXT,__text) external ___select_nocancel
0000000000009a48 (__TEXT,__text) external ___sem_open
000000000000d9f0 (__TEXT,__text) external ___sem_wait_nocancel
000000000000da18 (__TEXT,__text) external ___semctl
000000000000da40 (__TEXT,__text) external ___semsys
0000000000003ed8 (__TEXT,__text) external ___semwait_signal
0000000000007968 (__TEXT,__text) external ___semwait_signal_nocancel
00000000000061e4 (__TEXT,__text) external ___sendmsg
0000000000004c48 (__TEXT,__text) external ___sendmsg_nocancel
0000000000004cec (__TEXT,__text) external ___sendto
0000000000004b74 (__TEXT,__text) external ___sendto_nocancel
0000000000004030 (__TEXT,__text) external ___setattrlist
000000000000bf34 (__TEXT,__text) external ___setlogin
0000000000008528 (__TEXT,__text) external ___setpriority
000000000000da68 (__TEXT,__text) external ___setregid
000000000000da90 (__TEXT,__text) external ___setreuid
0000000000003610 (__TEXT,__text) external ___setrlimit
000000000000dab8 (__TEXT,__text) external ___setsgroups
00000000000097e0 (__TEXT,__text) external ___settid
000000000000dae0 (__TEXT,__text) external ___settid_with_pid
000000000000db08 (__TEXT,__text) external ___settimeofday
000000000000db30 (__TEXT,__text) external ___setwgroups
0000000000009ad4 (__TEXT,__text) external ___sfi_ctl
000000000000db58 (__TEXT,__text) external ___sfi_pidctl
000000000000db80 (__TEXT,__text) external ___shared_region_check_np
000000000000dba8 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
00000000000022bc (__TEXT,__text) external ___shm_open
000000000000dbd0 (__TEXT,__text) external ___shmctl
000000000000dbf8 (__TEXT,__text) external ___shmsys
0000000000006b80 (__TEXT,__text) external ___sigaction
0000000000003fb8 (__TEXT,__text) external ___sigaltstack
000000000000ba08 (__TEXT,__text) external ___sigreturn
000000000000dc20 (__TEXT,__text) external ___sigsuspend
000000000000799c (__TEXT,__text) external ___sigsuspend_nocancel
000000000000ba58 (__TEXT,__text) external ___sigwait
0000000000004c20 (__TEXT,__text) external ___socketpair
000000000000dc48 (__TEXT,__text) external ___stack_snapshot_with_config
000000000000ee84 (__TEXT,__text) external ___stat
0000000000005fac (__TEXT,__text) external ___stat64_extended
000000000000dc70 (__TEXT,__text) external ___stat_extended
000000000000eeac (__TEXT,__text) external ___statfs
0000000000002da0 (__TEXT,__text) external ___syscall
000000000003c230 (__DATA,__common) external ___syscall_logger
00000000000021c4 (__TEXT,__text) external ___sysctl
00000000000023d0 (__TEXT,__text) external ___sysctlbyname
000000000000dc98 (__TEXT,__text) external ___telemetry
000000000000a8d8 (__TEXT,__text) external ___terminate_with_payload
00000000000027ac (__TEXT,__text) external ___thread_selfid
000000000000dcc0 (__TEXT,__text) external ___thread_selfusage
00000000000027d4 (__TEXT,__text) external ___ulock_wait
000000000000dce8 (__TEXT,__text) external ___ulock_wait2
0000000000002890 (__TEXT,__text) external ___ulock_wake
000000000000dd10 (__TEXT,__text) external ___umask_extended
0000000000004784 (__TEXT,__text) external ___unlink
0000000000009e08 (__TEXT,__text) external ___unlinkat
000000000000dd38 (__TEXT,__text) external ___vfork
00000000000078c8 (__TEXT,__text) external ___wait4
000000000000c544 (__TEXT,__text) external ___wait4_nocancel
000000000000dda4 (__TEXT,__text) external ___waitid_nocancel
0000000000008f98 (__TEXT,__text) external ___work_interval_ctl
00000000000026e4 (__TEXT,__text) external ___workq_kernreturn
000000000000270c (__TEXT,__text) external ___workq_open
00000000000046cc (__TEXT,__text) external ___write_nocancel
000000000000ddcc (__TEXT,__text) external ___writev_nocancel
000000000003c224 (__DATA,__common) external __cpu_capabilities
000000000003c228 (__DATA,__common) external __cpu_has_altivec
0000000000040000 (__DATA_DIRTY,__data) external __current_pid
00000000000406a8 (__DATA_DIRTY,__bss) non-external __dlsym
0000000000000c5c (__TEXT,__text) external __exclaves_ctl_trap
000000000000ff80 (__TEXT,__text) non-external __execve_with_filter
00000000000079c4 (__TEXT,__text) external __exit
0000000000006444 (__TEXT,__text) external __get_cpu_capabilities
000000000003c248 (__DATA,__bss) non-external __gethostuuid_callback
000000000001380c (__TEXT,__text) external __getprivatesystemidentifier
000000000001f738 (__TEXT,__text) external __host_page_size
0000000000006440 (__TEXT,__text) external __init_cpu_capabilities
00000000000208e4 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
0000000000021c88 (__TEXT,__text) external __kernelrpc_mach_port_allocate
0000000000022934 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
0000000000021b6c (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
00000000000227c4 (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
0000000000000a4c (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
00000000000244a8 (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
0000000000023594 (__TEXT,__text) external __kernelrpc_mach_port_construct
0000000000000aa0 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
0000000000021ef8 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
0000000000000a58 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
0000000000021ddc (__TEXT,__text) external __kernelrpc_mach_port_destroy
0000000000023704 (__TEXT,__text) external __kernelrpc_mach_port_destruct
0000000000000aac (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
0000000000022f28 (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
000000000002330c (__TEXT,__text) external __kernelrpc_mach_port_extract_member
0000000000000a94 (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
000000000000a310 (__TEXT,__text) external __kernelrpc_mach_port_extract_right
000000000000ad14 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
0000000000000b54 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
0000000000005bd0 (__TEXT,__text) external __kernelrpc_mach_port_get_context
0000000000003d88 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
00000000000242d0 (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
000000000000c0d0 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
0000000000022bd8 (__TEXT,__text) external __kernelrpc_mach_port_get_srights
0000000000023820 (__TEXT,__text) external __kernelrpc_mach_port_guard
0000000000000b60 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
0000000000023d00 (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
00000000000231f0 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
0000000000000a88 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
000000000002257c (__TEXT,__text) external __kernelrpc_mach_port_insert_right
0000000000000a7c (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
000000000002417c (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
000000000002308c (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
0000000000023428 (__TEXT,__text) external __kernelrpc_mach_port_kobject
0000000000023f40 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
0000000000022014 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
0000000000000a64 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
0000000000022460 (__TEXT,__text) external __kernelrpc_mach_port_move_member
0000000000000a70 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
0000000000021890 (__TEXT,__text) external __kernelrpc_mach_port_names
0000000000022130 (__TEXT,__text) external __kernelrpc_mach_port_peek
0000000000021a50 (__TEXT,__text) external __kernelrpc_mach_port_rename
00000000000047d4 (__TEXT,__text) external __kernelrpc_mach_port_request_notification
0000000000000c50 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
0000000000003338 (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
000000000000bfb0 (__TEXT,__text) external __kernelrpc_mach_port_set_context
0000000000022344 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
00000000000226a8 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
0000000000023a5c (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
0000000000022d2c (__TEXT,__text) external __kernelrpc_mach_port_space_info
0000000000023bac (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
0000000000023e20 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
0000000000009058 (__TEXT,__text) external __kernelrpc_mach_port_type
0000000000000c44 (__TEXT,__text) external __kernelrpc_mach_port_type_trap
0000000000023940 (__TEXT,__text) external __kernelrpc_mach_port_unguard
0000000000000b6c (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
000000000002bfe8 (__TEXT,__text) external __kernelrpc_mach_task_is_self
0000000000024610 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
0000000000000a04 (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
0000000000024768 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
0000000000000a1c (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
0000000000001e98 (__TEXT,__text) external __kernelrpc_mach_vm_map
0000000000000a40 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
0000000000024884 (__TEXT,__text) external __kernelrpc_mach_vm_protect
0000000000000a34 (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
0000000000025734 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
0000000000000a10 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
0000000000024ac4 (__TEXT,__text) external __kernelrpc_mach_vm_read
00000000000252a0 (__TEXT,__text) external __kernelrpc_mach_vm_remap
0000000000025bc8 (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
00000000000306c4 (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
0000000000022abc (__TEXT,__text) external __kernelrpc_task_set_port_space
0000000000005938 (__TEXT,__text) external __kernelrpc_thread_policy
0000000000006978 (__TEXT,__text) external __kernelrpc_thread_policy_set
000000000002e584 (__TEXT,__text) external __kernelrpc_thread_set_policy
000000000000c32c (__TEXT,__text) external __kernelrpc_vm_map
000000000002fa9c (__TEXT,__text) external __kernelrpc_vm_purgable_control
00000000000098c0 (__TEXT,__text) external __kernelrpc_vm_read
0000000000002f68 (__TEXT,__text) external __kernelrpc_vm_remap
000000000002fbf0 (__TEXT,__text) external __kernelrpc_vm_remap_new
000000000000f3e4 (__TEXT,__text) non-external __libkernel_bzero
00000000000406a0 (__DATA_DIRTY,__bss) non-external __libkernel_functions
0000000000038000 (__DATA_CONST,__const) non-external __libkernel_generic_string_functions
000000000000f478 (__TEXT,__text) non-external __libkernel_memmove
000000000000f3f0 (__TEXT,__text) non-external __libkernel_memset
000000000000f3ac (__TEXT,__text) non-external __libkernel_strchr
0000000000006458 (__TEXT,__text) non-external __libkernel_strcmp
000000000000f848 (__TEXT,__text) non-external __libkernel_strcpy
0000000000040008 (__DATA_DIRTY,__data) non-external __libkernel_string_functions
00000000000100b8 (__TEXT,__text) non-external __libkernel_strlcpy
000000000000f184 (__TEXT,__text) non-external __libkernel_strlen
0000000000040010 (__DATA_DIRTY,__data) non-external __libkernel_voucher_functions
0000000000031038 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
00000000000116dc (__TEXT,__text) non-external __mach_continuous_time
0000000000039968 (__DATA_CONST,__const) external __mach_errors
0000000000011be4 (__TEXT,__text) external __mach_fork_child
0000000000012178 (__TEXT,__text) external __mach_snprintf
0000000000012004 (__TEXT,__text) external __mach_vsnprintf
0000000000040058 (__DATA_DIRTY,__common) external __os_alloc_once_table
000000000003c200 (__DATA,__common) external __os_xbs_chrooted
0000000000007050 (__TEXT,__text) non-external __posix_spawn_file_actions_grow
000000000000f87c (__TEXT,__text) non-external __posix_spawn_with_filter
0000000000013810 (__TEXT,__text) external __register_gethostuuid_callback
000000000000f590 (__TEXT,__text) non-external __system_version_compat_check_path_suffix
000000000000f638 (__TEXT,__text) non-external __system_version_compat_open_shim
00000000000406b4 (__DATA_DIRTY,__bss) non-external __task_reply_port
000000000000f154 (__TEXT,__text) external __thread_set_tsd_base
0000000000030db4 (__TEXT,__text) non-external _abort
0000000000030dd4 (__TEXT,__text) non-external _abort.561
0000000000030df4 (__TEXT,__text) non-external _abort.563
0000000000030e14 (__TEXT,__text) non-external _abort.580
0000000000030ed8 (__TEXT,__text) external _abort_with_payload
0000000000030e50 (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
0000000000030e34 (__TEXT,__text) external _abort_with_reason
0000000000008ab8 (__TEXT,__text) external _accept
000000000000cd70 (__TEXT,__text) external _accept$NOCANCEL
0000000000001598 (__TEXT,__text) external _access
000000000000cd98 (__TEXT,__text) external _accessx_np
000000000000ddf4 (__TEXT,__text) external _acct
000000000002cef8 (__TEXT,__text) external _act_get_state
000000000002d140 (__TEXT,__text) external _act_set_state
000000000000de1c (__TEXT,__text) external _adjtime
000000000000de44 (__TEXT,__text) external _aio_cancel
000000000000de6c (__TEXT,__text) external _aio_error
000000000000de94 (__TEXT,__text) external _aio_fsync
000000000000debc (__TEXT,__text) external _aio_read
000000000000dee4 (__TEXT,__text) external _aio_return
000000000000df0c (__TEXT,__text) external _aio_suspend
000000000000cdc0 (__TEXT,__text) external _aio_suspend$NOCANCEL
000000000000df34 (__TEXT,__text) external _aio_write
000000000000df5c (__TEXT,__text) external _audit
000000000000ba30 (__TEXT,__text) external _audit_session_join
000000000000b898 (__TEXT,__text) external _audit_session_port
0000000000004a34 (__TEXT,__text) external _audit_session_self
000000000000df84 (__TEXT,__text) external _auditctl
0000000000009a98 (__TEXT,__text) external _auditon
0000000000007f80 (__TEXT,__text) external _bind
000000000004001c (__DATA_DIRTY,__common) external _bootstrap_port
000000000000f164 (__TEXT,__text) non-external _bzero
0000000000002334 (__TEXT,__text) external _cerror
0000000000001530 (__TEXT,__text) external _cerror_nocancel
0000000000004980 (__TEXT,__text) external _change_fdguard_np
0000000000002484 (__TEXT,__text) external _chdir
0000000000008480 (__TEXT,__text) external _chflags
0000000000004450 (__TEXT,__text) external _chmod
0000000000007f58 (__TEXT,__text) external _chown
000000000000dfac (__TEXT,__text) external _chroot
000000000001c424 (__TEXT,__text) external _clock_alarm
000000000001c1f8 (__TEXT,__text) external _clock_alarm_reply
000000000001c25c (__TEXT,__text) external _clock_get_attributes
0000000000005dc8 (__TEXT,__text) external _clock_get_time
000000000001c0a4 (__TEXT,__text) external _clock_set_attributes
000000000001bf8c (__TEXT,__text) external _clock_set_time
000000000000c28c (__TEXT,__text) external _clock_sleep
0000000000000c20 (__TEXT,__text) external _clock_sleep_trap
000000000000a1c4 (__TEXT,__text) external _clonefile
000000000000563c (__TEXT,__text) external _clonefileat
00000000000016dc (__TEXT,__text) external _close
00000000000022e4 (__TEXT,__text) external _close$NOCANCEL
0000000000018b5c (__TEXT,__text) external _coalition_create
0000000000018bf8 (__TEXT,__text) external _coalition_info_debug_info
0000000000018bc4 (__TEXT,__text) external _coalition_info_resource_usage
0000000000018c60 (__TEXT,__text) external _coalition_info_set_efficiency
0000000000018c2c (__TEXT,__text) external _coalition_info_set_name
0000000000018c98 (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
0000000000018b98 (__TEXT,__text) external _coalition_reap
0000000000018b6c (__TEXT,__text) external _coalition_terminate
0000000000004cc4 (__TEXT,__text) external _connect
0000000000004b4c (__TEXT,__text) external _connect$NOCANCEL
0000000000004d3c (__TEXT,__text) external _connectx
00000000000025dc (__TEXT,__text) external _csops
0000000000001508 (__TEXT,__text) external _csops_audittoken
00000000000015e8 (__TEXT,__text) external _csr_check
0000000000008dfc (__TEXT,__text) external _csr_get_active_config
0000000000000cbc (__TEXT,__text) external _debug_control_port_for_pid
0000000000018e80 (__TEXT,__text) external _debug_syscall_reject
0000000000018d74 (__TEXT,__text) external _debug_syscall_reject_config
000000000003c1b0 (__DATA,__data) external _denap_boost_assertion_token
000000000000dfd4 (__TEXT,__text) external _disconnectx
0000000000006ea8 (__TEXT,__text) non-external _do_compat
0000000000004ddc (__TEXT,__text) external _dup
0000000000008b98 (__TEXT,__text) external _dup2
0000000000038e08 (__DATA_CONST,__const) non-external _err_codes_auth
0000000000038c98 (__DATA_CONST,__const) non-external _err_codes_env_mgr
0000000000039000 (__DATA_CONST,__const) non-external _err_codes_exception
0000000000038cd8 (__DATA_CONST,__const) non-external _err_codes_execd
0000000000038dd8 (__DATA_CONST,__const) non-external _err_codes_io
