000000019fc3c600 (__TEXT,__text) non-external +[AMFI isAvailable]
000000019fc3eb18 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.1
000000019fc3eb98 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.2
000000019fc3b798 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:]
000000019fc3f0e0 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.1
000000019fc3f13c (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.2
000000019fc3173c (__TEXT,__text) non-external +[SPExecutionHistoryItem executionHistoryItemWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
000000019fc31884 (__TEXT,__text) non-external +[SPExecutionHistoryItem supportsSecureCoding]
000000019fc2fc9c (__TEXT,__text) non-external +[SPExecutionPolicyItem supportsSecureCoding]
000000019fc2b0c8 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:]
000000019fc3d0fc (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.1
000000019fc2add4 (__TEXT,__text) non-external +[SPFilePolicy getAllowedPaths]
000000019fc35f8c (__TEXT,__text) non-external +[SPKernelExtensionHistoryItem supportsSecureCoding]
000000019fc31fe8 (__TEXT,__text) non-external +[SPKernelExtensionPolicy findBundledKernelExtensions:]
000000019fc2948c (__TEXT,__text) non-external +[SPKernelExtensionPolicyItem supportsSecureCoding]
000000019fc311ac (__TEXT,__text) non-external +[SPLog exec]
000000019fc31504 (__TEXT,__text) non-external +[SPLog generateSignpostID]
000000019fc31074 (__TEXT,__text) non-external +[SPLog generic]
000000019fc31110 (__TEXT,__text) non-external +[SPLog kext]
000000019fc31248 (__TEXT,__text) non-external +[SPLog measurements]
000000019fc314f8 (__TEXT,__text) non-external +[SPLog setVerboseLogging:]
000000019fc312e4 (__TEXT,__text) non-external +[SPLog signposts]
000000019fc31380 (__TEXT,__text) non-external +[SPLog verboseLoggingEnabled]
000000019fc3919c (__TEXT,__text) non-external +[SPMigration createGatekeeperMigrationData:]
000000019fc38b08 (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:]
000000019fc37e28 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:]
000000019fc3ee08 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:].cold.1
000000019fc37c34 (__TEXT,__text) non-external +[SPMigration gatekeeperMigrationDataPath:]
000000019fc37c18 (__TEXT,__text) non-external +[SPMigration kernelExtensionMigrationDataPath:]
000000019fc382d4 (__TEXT,__text) non-external +[SPMigration readKernelExtensionMigrationPolicy:]
000000019fc37dd8 (__TEXT,__text) non-external +[SPMigration volumeRequiresGatekeeperMigration:]
000000019fc37c50 (__TEXT,__text) non-external +[SPMigration volumeRequiresKernelExtensionMigration:]
000000019fc2a878 (__TEXT,__text) non-external -[AKELData .cxx_destruct]
000000019fc2a778 (__TEXT,__text) non-external -[AKELData findLegacyKextBundleID:]
000000019fc2a5fc (__TEXT,__text) non-external -[AKELData initWithURL:]
000000019fc2a44c (__TEXT,__text) non-external -[AKELData init]
000000019fc2a834 (__TEXT,__text) non-external -[AKELData isKextAllowedWithoutSecureTimestamp:]
000000019fc2a734 (__TEXT,__text) non-external -[AKELData isLegacyKextAllowed:]
000000019fc2a1c8 (__TEXT,__text) non-external -[AKELData loadFromBundleData:]
000000019fc2a724 (__TEXT,__text) non-external -[AKELData reloadIfNecessary]
000000019fc3c8bc (__TEXT,__text) non-external -[AppWrapperPolicyResult description]
000000019fc3c808 (__TEXT,__text) non-external -[AppWrapperPolicyResult initWithValid:withSignerCategory:withModified:]
000000019fc3c8d8 (__TEXT,__text) non-external -[AppWrapperPolicyResult isModified]
000000019fc3c8c8 (__TEXT,__text) non-external -[AppWrapperPolicyResult isValid]
000000019fc3c86c (__TEXT,__text) non-external -[AppWrapperPolicyResult redactedDescription]
000000019fc3c8d0 (__TEXT,__text) non-external -[AppWrapperPolicyResult signerCategory]
000000019fc2f854 (__TEXT,__text) non-external -[BundleData .cxx_destruct]
000000019fc2eea0 (__TEXT,__text) non-external -[BundleData dealloc]
000000019fc3e29c (__TEXT,__text) non-external -[BundleData dealloc].cold.1
000000019fc2f3f0 (__TEXT,__text) non-external -[BundleData doReload]
000000019fc2f820 (__TEXT,__text) non-external -[BundleData forceReload]
000000019fc2ef44 (__TEXT,__text) non-external -[BundleData initWithURL:withReloadBlock:watchForUpdates:]
000000019fc2ee84 (__TEXT,__text) non-external -[BundleData init]
000000019fc2f834 (__TEXT,__text) non-external -[BundleData isSigned]
000000019fc2f454 (__TEXT,__text) non-external -[BundleData loadInternalData:]
000000019fc2f7a4 (__TEXT,__text) non-external -[BundleData reloadIfNecessary]
000000019fc2f0c8 (__TEXT,__text) non-external -[BundleData setupFSStream]
000000019fc3e30c (__TEXT,__text) non-external -[BundleData setupFSStream].cold.1
000000019fc3e37c (__TEXT,__text) non-external -[BundleData setupFSStream].cold.2
000000019fc2f84c (__TEXT,__text) non-external -[BundleData timestamp]
000000019fc2f82c (__TEXT,__text) non-external -[BundleData url]
000000019fc2f844 (__TEXT,__text) non-external -[BundleData versionNumber]
000000019fc2f83c (__TEXT,__text) non-external -[BundleData version]
000000019fc303e8 (__TEXT,__text) non-external -[GKScanResult .cxx_destruct]
000000019fc303c4 (__TEXT,__text) non-external -[GKScanResult allowed]
000000019fc3030c (__TEXT,__text) non-external -[GKScanResult encodeWithCoder:]
000000019fc303d4 (__TEXT,__text) non-external -[GKScanResult gkError]
000000019fc3024c (__TEXT,__text) non-external -[GKScanResult initWithCoder:]
000000019fc303cc (__TEXT,__text) non-external -[GKScanResult setAllowed:]
000000019fc303dc (__TEXT,__text) non-external -[GKScanResult setGkError:]
000000019fc3b984 (__TEXT,__text) non-external -[NSData(Strings) hexString]
000000019fc2b56c (__TEXT,__text) non-external -[PolicyCacheMeta .cxx_destruct]
000000019fc2b534 (__TEXT,__text) non-external -[PolicyCacheMeta forEntry]
000000019fc2b520 (__TEXT,__text) non-external -[PolicyCacheMeta lastMiss]
000000019fc2b4f8 (__TEXT,__text) non-external -[PolicyCacheMeta metaId]
000000019fc2b50c (__TEXT,__text) non-external -[PolicyCacheMeta missCount]
000000019fc2b558 (__TEXT,__text) non-external -[PolicyCacheMeta resolvedEntry]
000000019fc2b53c (__TEXT,__text) non-external -[PolicyCacheMeta setForEntry:]
000000019fc2b528 (__TEXT,__text) non-external -[PolicyCacheMeta setLastMiss:]
000000019fc2b500 (__TEXT,__text) non-external -[PolicyCacheMeta setMetaId:]
000000019fc2b514 (__TEXT,__text) non-external -[PolicyCacheMeta setMissCount:]
000000019fc2b560 (__TEXT,__text) non-external -[PolicyCacheMeta setResolvedEntry:]
000000019fc2b550 (__TEXT,__text) non-external -[PolicyCacheMeta setSourceTable:]
000000019fc2b548 (__TEXT,__text) non-external -[PolicyCacheMeta sourceTable]
000000019fc3b210 (__TEXT,__text) non-external -[PolicyScanTarget .cxx_destruct]
000000019fc3b180 (__TEXT,__text) non-external -[PolicyScanTarget blockDevice]
000000019fc3a864 (__TEXT,__text) non-external -[PolicyScanTarget bundleID]
000000019fc3a924 (__TEXT,__text) non-external -[PolicyScanTarget bundleVersion]
000000019fc3ace4 (__TEXT,__text) non-external -[PolicyScanTarget cdhashData]
000000019fc3ada0 (__TEXT,__text) non-external -[PolicyScanTarget cdhashDigestAlgorithm]
000000019fc3ac00 (__TEXT,__text) non-external -[PolicyScanTarget cdhash]
000000019fc3b1a8 (__TEXT,__text) non-external -[PolicyScanTarget checkValidity]
000000019fc3a020 (__TEXT,__text) non-external -[PolicyScanTarget dealloc]
000000019fc3b0b8 (__TEXT,__text) non-external -[PolicyScanTarget description]
000000019fc3ab54 (__TEXT,__text) non-external -[PolicyScanTarget entitlements]
000000019fc3b190 (__TEXT,__text) non-external -[PolicyScanTarget fsTypeName]
000000019fc3a084 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:]
000000019fc3eec4 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.1
000000019fc3ef4c (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.2
000000019fc3ef8c (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.3
000000019fc3efc4 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.4
000000019fc3effc (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.5
000000019fc3f03c (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.6
000000019fc3a004 (__TEXT,__text) non-external -[PolicyScanTarget init]
000000019fc3b1b8 (__TEXT,__text) non-external -[PolicyScanTarget isAppWrapper]
000000019fc3b1e8 (__TEXT,__text) non-external -[PolicyScanTarget isBundled]
000000019fc3b1d0 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantinedMount]
000000019fc3afd8 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantined]
000000019fc3b1d8 (__TEXT,__text) non-external -[PolicyScanTarget isScript]
000000019fc3b01c (__TEXT,__text) non-external -[PolicyScanTarget isUserApproved]
000000019fc3a7c0 (__TEXT,__text) non-external -[PolicyScanTarget mainExecutableURL]
000000019fc3b1a0 (__TEXT,__text) non-external -[PolicyScanTarget modTime]
000000019fc3b208 (__TEXT,__text) non-external -[PolicyScanTarget mountTime]
000000019fc3b188 (__TEXT,__text) non-external -[PolicyScanTarget objectID]
000000019fc3b168 (__TEXT,__text) non-external -[PolicyScanTarget originalURL]
000000019fc3b178 (__TEXT,__text) non-external -[PolicyScanTarget pathOnVolume]
000000019fc3b1f8 (__TEXT,__text) non-external -[PolicyScanTarget pid]
000000019fc3b060 (__TEXT,__text) non-external -[PolicyScanTarget redactedDescription]
000000019fc3b1b0 (__TEXT,__text) non-external -[PolicyScanTarget setCheckValidity:]
000000019fc3b1f0 (__TEXT,__text) non-external -[PolicyScanTarget setIsBundled:]
000000019fc3b1e0 (__TEXT,__text) non-external -[PolicyScanTarget setIsScript:]
000000019fc3b200 (__TEXT,__text) non-external -[PolicyScanTarget setPid:]
000000019fc3b1c8 (__TEXT,__text) non-external -[PolicyScanTarget setTriggeredByLibraryLoad:]
000000019fc3af1c (__TEXT,__text) non-external -[PolicyScanTarget signingID]
000000019fc3ab10 (__TEXT,__text) non-external -[PolicyScanTarget signingInfo]
000000019fc3aa48 (__TEXT,__text) non-external -[PolicyScanTarget staticCodeRef]
000000019fc3ae60 (__TEXT,__text) non-external -[PolicyScanTarget teamID]
000000019fc3b1c0 (__TEXT,__text) non-external -[PolicyScanTarget triggeredByLibraryLoad]
000000019fc3b160 (__TEXT,__text) non-external -[PolicyScanTarget url]
000000019fc3b198 (__TEXT,__text) non-external -[PolicyScanTarget volumePath]
000000019fc3b170 (__TEXT,__text) non-external -[PolicyScanTarget volumeUUID]
000000019fc3cf6c (__TEXT,__text) non-external -[SPDeveloperPolicy .cxx_destruct]
000000019fc3cef0 (__TEXT,__text) non-external -[SPDeveloperPolicy createLocalDevelopmentCertificateForUser:error:]
000000019fc3cd94 (__TEXT,__text) non-external -[SPDeveloperPolicy dealloc]
000000019fc3ccc0 (__TEXT,__text) non-external -[SPDeveloperPolicy init]
000000019fc3cde8 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperModeEnabled]
000000019fc3ced0 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperToolEnvironmentWithError:]
000000019fc3cf5c (__TEXT,__text) non-external -[SPDeveloperPolicy registerDevelopmentTeamWithIdentifier:error:]
000000019fc3cf54 (__TEXT,__text) non-external -[SPDeveloperPolicy removeLocalDevelopmentCertificateForUser:error:]
000000019fc3ce0c (__TEXT,__text) non-external -[SPDeveloperPolicy setDeveloperModeEnabled:error:]
000000019fc3cf64 (__TEXT,__text) non-external -[SPDeveloperPolicy unregisterDevelopmentTeamWithIdentifier:error:]
000000019fc31d3c (__TEXT,__text) non-external -[SPExecutionHistoryItem .cxx_destruct]
000000019fc31d1c (__TEXT,__text) non-external -[SPExecutionHistoryItem cdHash]
000000019fc31d2c (__TEXT,__text) non-external -[SPExecutionHistoryItem developerName]
000000019fc31ac8 (__TEXT,__text) non-external -[SPExecutionHistoryItem encodeWithCoder:]
000000019fc31cfc (__TEXT,__text) non-external -[SPExecutionHistoryItem execPath]
000000019fc3188c (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithCoder:]
000000019fc31570 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
000000019fc31554 (__TEXT,__text) non-external -[SPExecutionHistoryItem init]
000000019fc31d34 (__TEXT,__text) non-external -[SPExecutionHistoryItem lastSeen]
000000019fc31d04 (__TEXT,__text) non-external -[SPExecutionHistoryItem mmapPath]
000000019fc31d24 (__TEXT,__text) non-external -[SPExecutionHistoryItem responsiblePath]
000000019fc31d0c (__TEXT,__text) non-external -[SPExecutionHistoryItem signingID]
000000019fc31d14 (__TEXT,__text) non-external -[SPExecutionHistoryItem teamID]
000000019fc34138 (__TEXT,__text) non-external -[SPExecutionPolicy .cxx_destruct]
000000019fc33d1c (__TEXT,__text) non-external -[SPExecutionPolicy addBlockedSoftwareOverride:error:]
000000019fc33c18 (__TEXT,__text) non-external -[SPExecutionPolicy addGatekeeperUserIntent:error:]
000000019fc33b9c (__TEXT,__text) non-external -[SPExecutionPolicy blockedExecutionPolicyItems]
000000019fc33824 (__TEXT,__text) non-external -[SPExecutionPolicy connection]
000000019fc3353c (__TEXT,__text) non-external -[SPExecutionPolicy dealloc]
000000019fc33710 (__TEXT,__text) non-external -[SPExecutionPolicy doGatekeeperProgressUpdate:withTotal:]
000000019fc33f30 (__TEXT,__text) non-external -[SPExecutionPolicy getBlockedSoftwareOverride:error:]
000000019fc334bc (__TEXT,__text) non-external -[SPExecutionPolicy init]
000000019fc34034 (__TEXT,__text) non-external -[SPExecutionPolicy isBlockedSoftware:error:]
000000019fc33b20 (__TEXT,__text) non-external -[SPExecutionPolicy legacyExecutionHistory]
000000019fc33598 (__TEXT,__text) non-external -[SPExecutionPolicy myProgressHandler]
000000019fc33590 (__TEXT,__text) non-external -[SPExecutionPolicy progressBlock]
000000019fc33e20 (__TEXT,__text) non-external -[SPExecutionPolicy setBlockedSoftwareOverride:isEnabled:error:]
000000019fc335c4 (__TEXT,__text) non-external -[SPExecutionPolicy setProgressHandler:]
000000019fc30c3c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) notifyInstalledContent:withInstallationType:error:]
000000019fc303f4 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:]
000000019fc3e3c0 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.1
000000019fc3e3f8 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.2
000000019fc3e488 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.3
000000019fc3e52c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.4
000000019fc3e594 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.5
000000019fc3e624 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.6
000000019fc3e65c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.7
000000019fc3e6fc (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.8
000000019fc30d44 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperScan:withScanOptions:withProgressHandler:error:]
000000019fc301dc (__TEXT,__text) non-external -[SPExecutionPolicyItem .cxx_destruct]
000000019fc301d4 (__TEXT,__text) non-external -[SPExecutionPolicyItem blockedReasonDescription]
000000019fc301b4 (__TEXT,__text) non-external -[SPExecutionPolicyItem cdHash]
000000019fc2ff18 (__TEXT,__text) non-external -[SPExecutionPolicyItem encodeWithCoder:]
000000019fc2fca4 (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithCoder:]
000000019fc2fb44 (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithItemPath:signingID:teamID:cdHash:needsApproval:needsOverride:knownMalware:blockedReasonDescription:]
000000019fc2fb28 (__TEXT,__text) non-external -[SPExecutionPolicyItem init]
000000019fc3019c (__TEXT,__text) non-external -[SPExecutionPolicyItem itemPath]
000000019fc301cc (__TEXT,__text) non-external -[SPExecutionPolicyItem knownMalware]
000000019fc301bc (__TEXT,__text) non-external -[SPExecutionPolicyItem needsApproval]
000000019fc301c4 (__TEXT,__text) non-external -[SPExecutionPolicyItem needsOverride]
000000019fc301a4 (__TEXT,__text) non-external -[SPExecutionPolicyItem signingID]
000000019fc301ac (__TEXT,__text) non-external -[SPExecutionPolicyItem teamID]
000000019fc39fc0 (__TEXT,__text) non-external -[SPInstallationPolicy .cxx_destruct]
000000019fc39ca0 (__TEXT,__text) non-external -[SPInstallationPolicy canInstallPackage:withUserConsent:withHash:evaluateOnly:synchronousPrompt:error:]
000000019fc39c4c (__TEXT,__text) non-external -[SPInstallationPolicy dealloc]
000000019fc39af8 (__TEXT,__text) non-external -[SPInstallationPolicy init]
000000019fc39e14 (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withHashMap:withUserConsent:error:]
000000019fc39df8 (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withUserConsent:error:]
000000019fc31fa4 (__TEXT,__text) non-external -[SPKernelExtensionHistory .cxx_destruct]
000000019fc31f2c (__TEXT,__text) non-external -[SPKernelExtensionHistory dealloc]
000000019fc31dc8 (__TEXT,__text) non-external -[SPKernelExtensionHistory init]
000000019fc31f80 (__TEXT,__text) non-external -[SPKernelExtensionHistory kernelExtensionHistory]
000000019fc36400 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem .cxx_destruct]
000000019fc363c0 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem bundleID]
000000019fc363d0 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem cdHash]
000000019fc36190 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem encodeWithCoder:]
000000019fc35f94 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem initWithCoder:]
000000019fc35e14 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem initWithPath:teamID:bundleID:cdHash:isNotarized:isDeprecated:isUnsupported:isCodeless:lastUsed:]
000000019fc35df8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem init]
000000019fc363f0 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isCodeless]
000000019fc363e0 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isDeprecated]
000000019fc363d8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isNotarized]
000000019fc363e8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isUnsupported]
000000019fc363f8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem lastUsed]
000000019fc363b8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem path]
000000019fc363c8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem teamID]
000000019fc332a0 (__TEXT,__text) non-external -[SPKernelExtensionPolicy .cxx_destruct]
000000019fc32ba4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy areKernelExtensionsApproved:withError:]
000000019fc3255c (__TEXT,__text) non-external -[SPKernelExtensionPolicy canLoadKernelExtension:error:]
000000019fc32640 (__TEXT,__text) non-external -[SPKernelExtensionPolicy canLoadKernelExtensionInCache:error:]
000000019fc32504 (__TEXT,__text) non-external -[SPKernelExtensionPolicy clearConnection]
000000019fc324fc (__TEXT,__text) non-external -[SPKernelExtensionPolicy connection]
000000019fc32b5c (__TEXT,__text) non-external -[SPKernelExtensionPolicy currentPolicy]
000000019fc33298 (__TEXT,__text) non-external -[SPKernelExtensionPolicy currentUAKL]
000000019fc324a8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy dealloc]
000000019fc3304c (__TEXT,__text) non-external -[SPKernelExtensionPolicy getCurrentUAKLHash:withError:]
000000019fc32104 (__TEXT,__text) non-external -[SPKernelExtensionPolicy init]
000000019fc32808 (__TEXT,__text) non-external -[SPKernelExtensionPolicy isKernelExtensionApprovedByUser:withBundleID:error:]
000000019fc32e68 (__TEXT,__text) non-external -[SPKernelExtensionPolicy notifyLoadedKernelExtension:withPath:]
000000019fc32f68 (__TEXT,__text) non-external -[SPKernelExtensionPolicy notifyUnsupportedKernelExtension:error:]
000000019fc32b80 (__TEXT,__text) non-external -[SPKernelExtensionPolicy pendingApprovals]
000000019fc32c9c (__TEXT,__text) non-external -[SPKernelExtensionPolicy requestKernelExtensionApprovals:withError:]
000000019fc33274 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresAdministratorToApproveUpdates]
000000019fc33250 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresAuthenticationOnUpdates]
000000019fc3322c (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresRebootForInstallation]
000000019fc33208 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresSecurityDowngrade]
000000019fc32724 (__TEXT,__text) non-external -[SPKernelExtensionPolicy teamIdentifierIsAllowed:error:]
000000019fc32d80 (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerKernelCollectionRebuildFlow:withKernelExtensions:withError:]
000000019fc331e8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerPanicMedicWithError:]
000000019fc331c8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerRecoveryJumpToSecurityStartupUtilityWithError:]
000000019fc330e4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy updateLastUsedTimes:withError:]
000000019fc32a74 (__TEXT,__text) non-external -[SPKernelExtensionPolicy updatePolicyItems:error:]
000000019fc3295c (__TEXT,__text) non-external -[SPKernelExtensionPolicy updatePolicyItems:withExternalContext:error:]
000000019fc35cf4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) enableKernelExtensionManagementForMDM:error:]
000000019fc3584c (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) installMDMPayload:withTeams:withExtensions:withContext:error:]
000000019fc35a84 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) removeMDMPayload:withContext:error:]
000000019fc35768 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) setApprovalRequiresAdministrator:error:]
000000019fc35684 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) setUserApprovalAllowed:error:]
000000019fc35bbc (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) triggerKernelCollectionRebuildForMDM:withContext:error:]
000000019fc298cc (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem .cxx_destruct]
000000019fc29884 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem applicationName]
000000019fc2988c (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem applicationPath]
000000019fc298a4 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem bundleIDs]
000000019fc29878 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem description]
000000019fc29894 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem developerName]
000000019fc296f0 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem encodeWithCoder:]
000000019fc29224 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithApplication:path:developerName:teamID:bundleIDs:allowed:rebootRequired:isPendingUpgrade:]
000000019fc294a8 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithCoder:]
000000019fc2937c (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithDeveloper:teamID:bundleIDs:allowed:rebootRequired:isPendingUpgrade:]
000000019fc29208 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem init]
000000019fc298ac (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isAllowed]
000000019fc29494 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isModified]
000000019fc298c4 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isPendingUpgrade]
000000019fc298bc (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isRebootRequired]
000000019fc29820 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem redactedDescription]
000000019fc298b4 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem setAllowed:]
