00007ff80d2e9841 (__TEXT,__const) non-external _KW_ANY
00007ff80d2d3366 (__TEXT,__text) external _XML_GetCurrentByteCount
00007ff80d2d333d (__TEXT,__text) external _XML_GetCurrentByteIndex
00007ff80d2d3421 (__TEXT,__text) external _XML_GetCurrentColumnNumber
00007ff80d2d33c8 (__TEXT,__text) external _XML_GetCurrentLineNumber
00007ff80d2d3326 (__TEXT,__text) external _XML_GetErrorCode
00007ff80d2d362b (__TEXT,__text) external _XML_GetFeatureList
00007ff8408df3d0 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
00007ff80d2d295b (__TEXT,__text) external _XML_GetIdAttributeIndex
00007ff80d2d338f (__TEXT,__text) external _XML_GetInputContext
00007ff80d2d3307 (__TEXT,__text) external _XML_GetParsingStatus
00007ff80d2e9617 (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
00007ff80d2d2944 (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
00007ff80d2d34bc (__TEXT,__text) external _XML_MemFree
00007ff80d2d348c (__TEXT,__text) external _XML_MemMalloc
00007ff80d2d34a3 (__TEXT,__text) external _XML_MemRealloc
00007ff80d2d2bf6 (__TEXT,__text) external _XML_Parse
00007ff80d2d3067 (__TEXT,__text) external _XML_ParseBuffer
00007ff80d2d1090 (__TEXT,__text) external _XML_ParserCreate
00007ff80d2d10ac (__TEXT,__text) external _XML_ParserCreateNS
00007ff80d2d10a0 (__TEXT,__text) external _XML_ParserCreate_MM
00007ff80d2d243f (__TEXT,__text) external _XML_ParserFree
00007ff80d2d13b6 (__TEXT,__text) external _XML_ParserReset
00007ff80d2d3233 (__TEXT,__text) external _XML_ResumeParser
00007ff80d2d2b64 (__TEXT,__text) external _XML_SetAttlistDeclHandler
00007ff80d2d2888 (__TEXT,__text) external _XML_SetBase
00007ff80d2d3672 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
00007ff80d2d3638 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
00007ff80d2d29d6 (__TEXT,__text) external _XML_SetCdataSectionHandler
00007ff80d2d29a3 (__TEXT,__text) external _XML_SetCharacterDataHandler
00007ff80d2d29c4 (__TEXT,__text) external _XML_SetCommentHandler
00007ff80d2d2a13 (__TEXT,__text) external _XML_SetDefaultHandler
00007ff80d2d2a2c (__TEXT,__text) external _XML_SetDefaultHandlerExpand
00007ff80d2d2a45 (__TEXT,__text) external _XML_SetDoctypeDeclHandler
00007ff80d2d2b52 (__TEXT,__text) external _XML_SetElementDeclHandler
00007ff80d2d2972 (__TEXT,__text) external _XML_SetElementHandler
00007ff80d2d1995 (__TEXT,__text) external _XML_SetEncoding
00007ff80d2d2a01 (__TEXT,__text) external _XML_SetEndCdataSectionHandler
00007ff80d2d2a70 (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
00007ff80d2d2994 (__TEXT,__text) external _XML_SetEndElementHandler
00007ff80d2d2ad1 (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
00007ff80d2d2b76 (__TEXT,__text) external _XML_SetEntityDeclHandler
00007ff80d2d2af5 (__TEXT,__text) external _XML_SetExternalEntityRefHandler
00007ff80d2d2b07 (__TEXT,__text) external _XML_SetExternalEntityRefHandlerArg
00007ff80d2d2bc0 (__TEXT,__text) external _XML_SetHashSalt
00007ff80d2d2aa6 (__TEXT,__text) external _XML_SetNamespaceDeclHandler
00007ff80d2d2ae3 (__TEXT,__text) external _XML_SetNotStandaloneHandler
00007ff80d2d2a94 (__TEXT,__text) external _XML_SetNotationDeclHandler
00007ff80d2d2b9a (__TEXT,__text) external _XML_SetParamEntityParsing
00007ff80d2d29b2 (__TEXT,__text) external _XML_SetProcessingInstructionHandler
00007ff80d2d284b (__TEXT,__text) external _XML_SetReturnNSTriplet
00007ff80d2d2b27 (__TEXT,__text) external _XML_SetSkippedEntityHandler
00007ff80d2d29ef (__TEXT,__text) external _XML_SetStartCdataSectionHandler
00007ff80d2d2a5e (__TEXT,__text) external _XML_SetStartDoctypeDeclHandler
00007ff80d2d2985 (__TEXT,__text) external _XML_SetStartElementHandler
00007ff80d2d2abf (__TEXT,__text) external _XML_SetStartNamespaceDeclHandler
00007ff80d2d2b39 (__TEXT,__text) external _XML_SetUnknownEncodingHandler
00007ff80d2d2a82 (__TEXT,__text) external _XML_SetUnparsedEntityDeclHandler
00007ff80d2d286d (__TEXT,__text) external _XML_SetUserData
00007ff80d2d2b88 (__TEXT,__text) external _XML_SetXmlDeclHandler
00007ff80d2d31c4 (__TEXT,__text) external _XML_StopParser
00007ff80d2d281d (__TEXT,__text) external _XML_UseForeignDTD
00007ff80d2d280e (__TEXT,__text) external _XML_UseParserAsHandlerArg
00007ff80d2dd1ef (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncoding
00007ff80d2dd737 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncodingNS
00007ff80d2dd1e2 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncoding
00007ff80d2dd72a (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncodingNS
00007ff80d2dd1fc (__TEXT,__text) non-external (was a private external) _XmlInitEncoding
00007ff80d2dd744 (__TEXT,__text) non-external (was a private external) _XmlInitEncodingNS
00007ff80d2dcc76 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncoding
00007ff80d2dd935 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncodingNS
00007ff80d2dd2fa (__TEXT,__text) non-external (was a private external) _XmlParseXmlDecl
00007ff80d2dd7dd (__TEXT,__text) non-external (was a private external) _XmlParseXmlDeclNS
00007ff80d2db340 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInit
00007ff80d2db420 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInitExternalEntity
00007ff80d2dcc6b (__TEXT,__text) non-external (was a private external) _XmlSizeOfUnknownEncoding
00007ff80d2dcc1f (__TEXT,__text) non-external (was a private external) _XmlUtf16Encode
00007ff80d2dcb6f (__TEXT,__text) non-external (was a private external) _XmlUtf8Encode
00007ff80d2dcae4 (__TEXT,__text) non-external (was a private external) __INTERNAL_trim_to_complete_utf8_characters
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
00007ff80d2d5954 (__TEXT,__text) non-external _accountingDiffTolerated
00007ff80d2e965d (__TEXT,__text) non-external _accountingDiffTolerated.cold.1
00007ff80d2d758b (__TEXT,__text) non-external _accountingGetCurrentAmplification
00007ff80d2e9680 (__TEXT,__text) non-external _accountingGetCurrentAmplification.cold.1
00007ff80d2d7603 (__TEXT,__text) non-external _accountingReportStats
00007ff80d2d9f54 (__TEXT,__text) non-external _addBinding
00007ff80d2eac80 (__TEXT,__cstring) non-external _addBinding.xmlNamespace
00007ff80d2eacb0 (__TEXT,__cstring) non-external _addBinding.xmlnsNamespace
00007ff80d2da438 (__TEXT,__text) non-external _appendAttributeValue
                 (undefined) external _arc4random_buf (from libSystem)
00007ff8408e0d18 (__DATA_CONST,__const) non-external _ascii_encoding
00007ff8408e1668 (__DATA_CONST,__const) non-external _ascii_encoding_ns
00007ff80d2e5653 (__TEXT,__text) non-external _ascii_toUtf8
00007ff80d2db925 (__TEXT,__text) non-external _attlist0
00007ff80d2dc024 (__TEXT,__text) non-external _attlist1
00007ff80d2dc094 (__TEXT,__text) non-external _attlist2
00007ff8408dfdf0 (__DATA_CONST,__const) non-external _attlist2.types
00007ff80d2dc2b8 (__TEXT,__text) non-external _attlist3
00007ff80d2dc3e6 (__TEXT,__text) non-external _attlist4
00007ff80d2dc272 (__TEXT,__text) non-external _attlist5
00007ff80d2dc34c (__TEXT,__text) non-external _attlist6
00007ff80d2dc392 (__TEXT,__text) non-external _attlist7
00007ff80d2dc17f (__TEXT,__text) non-external _attlist8
00007ff80d2dc306 (__TEXT,__text) non-external _attlist9
00007ff80d2e78e8 (__TEXT,__text) non-external _big2_attributeValueTok
00007ff80d2e74f8 (__TEXT,__text) non-external _big2_cdataSectionTok
00007ff80d2e800c (__TEXT,__text) non-external _big2_charRefNumber
00007ff80d2e8eb4 (__TEXT,__text) non-external _big2_checkPiTarget
00007ff80d2e6278 (__TEXT,__text) non-external _big2_contentTok
00007ff8408e0978 (__DATA_CONST,__const) non-external _big2_encoding
00007ff8408e12c8 (__DATA_CONST,__const) non-external _big2_encoding_ns
00007ff80d2e7a20 (__TEXT,__text) non-external _big2_entityValueTok
00007ff80d2e7c50 (__TEXT,__text) non-external _big2_getAtts
00007ff80d2e7758 (__TEXT,__text) non-external _big2_ignoreSectionTok
00007ff80d2e829c (__TEXT,__text) non-external _big2_isPublicId
00007ff80d2e7ba1 (__TEXT,__text) non-external _big2_nameLength
00007ff80d2e7b5c (__TEXT,__text) non-external _big2_nameMatchesAscii
00007ff80d2e80c7 (__TEXT,__text) non-external _big2_predefinedEntityName
00007ff80d2e568a (__TEXT,__text) non-external _big2_prologTok
00007ff80d2e9f83 (__TEXT,__const) non-external _big2_scanCdataSection.CDATA_LSQB
00007ff80d2e8d54 (__TEXT,__text) non-external _big2_scanComment
00007ff80d2e855a (__TEXT,__text) non-external _big2_scanLit
00007ff80d2e8ae8 (__TEXT,__text) non-external _big2_scanPercent
00007ff80d2e8688 (__TEXT,__text) non-external _big2_scanPi
00007ff80d2e8f33 (__TEXT,__text) non-external _big2_scanRef
00007ff80d2e7c16 (__TEXT,__text) non-external _big2_skipS
00007ff80d2e84e5 (__TEXT,__text) non-external _big2_toUtf16
00007ff80d2e8327 (__TEXT,__text) non-external _big2_toUtf8
00007ff80d2e81cb (__TEXT,__text) non-external _big2_updatePosition
00007ff80d2d9d8c (__TEXT,__text) non-external _cdataSectionProcessor
00007ff80d2dcf41 (__TEXT,__text) non-external _checkCharRefNumber
00007ff80d2dbd99 (__TEXT,__text) non-external _condSect0
00007ff80d2dbe3c (__TEXT,__text) non-external _condSect1
00007ff80d2dbe7c (__TEXT,__text) non-external _condSect2
00007ff80d2d62c8 (__TEXT,__text) non-external _contentProcessor
00007ff80d2db11f (__TEXT,__text) non-external _copyEntityTable
00007ff80d2d1a03 (__TEXT,__text) non-external _copyString
00007ff80d2dbc9c (__TEXT,__text) non-external _declClose
00007ff80d2d6669 (__TEXT,__text) non-external _defineAttribute
00007ff80d2d9adc (__TEXT,__text) non-external _doCdataSection
00007ff80d2d7908 (__TEXT,__text) non-external _doContent
00007ff80d2d6e50 (__TEXT,__text) non-external _doIgnoreSection
00007ff80d2dd33b (__TEXT,__text) non-external _doParseXmlDecl
00007ff80d2d3970 (__TEXT,__text) non-external _doProlog
00007ff80d2e9742 (__TEXT,__const) non-external _doProlog.atypeCDATA
00007ff80d2e975f (__TEXT,__const) non-external _doProlog.atypeENTITIES
00007ff80d2e9758 (__TEXT,__const) non-external _doProlog.atypeENTITY
00007ff80d2e9748 (__TEXT,__const) non-external _doProlog.atypeID
00007ff80d2e974b (__TEXT,__const) non-external _doProlog.atypeIDREF
00007ff80d2e9751 (__TEXT,__const) non-external _doProlog.atypeIDREFS
00007ff80d2e9768 (__TEXT,__const) non-external _doProlog.atypeNMTOKEN
00007ff80d2e9770 (__TEXT,__const) non-external _doProlog.atypeNMTOKENS
00007ff80d2e963a (__TEXT,__text) non-external _doProlog.cold.1
00007ff80d2eab6b (__TEXT,__cstring) non-external _doProlog.enumValueSep
00007ff80d2eab6d (__TEXT,__cstring) non-external _doProlog.enumValueStart
00007ff80d2eab61 (__TEXT,__cstring) non-external _doProlog.notationPrefix
00007ff80d2db514 (__TEXT,__text) non-external _doctype0
00007ff80d2db567 (__TEXT,__text) non-external _doctype1
00007ff80d2db886 (__TEXT,__text) non-external _doctype2
00007ff80d2db840 (__TEXT,__text) non-external _doctype3
00007ff80d2dca88 (__TEXT,__text) non-external _doctype4
00007ff80d2db9fe (__TEXT,__text) non-external _doctype5
00007ff80d2db970 (__TEXT,__text) non-external _element0
00007ff80d2dc43a (__TEXT,__text) non-external _element1
00007ff80d2dc50c (__TEXT,__text) non-external _element2
00007ff80d2dc60c (__TEXT,__text) non-external _element3
00007ff80d2dc830 (__TEXT,__text) non-external _element4
00007ff80d2dc87b (__TEXT,__text) non-external _element5
00007ff80d2dc68b (__TEXT,__text) non-external _element6
00007ff80d2dc75c (__TEXT,__text) non-external _element7
00007ff8408e0770 (__DATA_CONST,__const) non-external _encodings
00007ff8408e0ef0 (__DATA_CONST,__const) non-external _encodingsNS
00007ff80d2db8cc (__TEXT,__text) non-external _entity0
00007ff80d2dba44 (__TEXT,__text) non-external _entity1
00007ff80d2dbce9 (__TEXT,__text) non-external _entity10
00007ff80d2dba8a (__TEXT,__text) non-external _entity2
00007ff80d2dbf05 (__TEXT,__text) non-external _entity3
00007ff80d2dbebf (__TEXT,__text) non-external _entity4
00007ff80d2dbf4b (__TEXT,__text) non-external _entity5
00007ff80d2dbfd6 (__TEXT,__text) non-external _entity6
00007ff80d2dbb4d (__TEXT,__text) non-external _entity7
00007ff80d2dbc56 (__TEXT,__text) non-external _entity8
00007ff80d2dbc10 (__TEXT,__text) non-external _entity9
00007ff80d2d7329 (__TEXT,__text) non-external _entityTrackingOnOpen
00007ff80d2daad8 (__TEXT,__text) non-external _entityTrackingReportStats
00007ff80d2e96a3 (__TEXT,__text) non-external _entityTrackingReportStats.cold.1
00007ff80d2dada0 (__TEXT,__text) non-external _entityValueInitProcessor
00007ff80d2db046 (__TEXT,__text) non-external _entityValueProcessor
00007ff80d2d9902 (__TEXT,__text) non-external _epilogProcessor
00007ff80d2db55f (__TEXT,__text) non-external _error
00007ff80d2d2e22 (__TEXT,__text) non-external _errorProcessor
00007ff80d2da3d4 (__TEXT,__text) non-external _externalEntityContentProcessor
00007ff80d2d26ec (__TEXT,__text) non-external _externalEntityInitProcessor
00007ff80d2dabce (__TEXT,__text) non-external _externalEntityInitProcessor2
00007ff80d2dacc4 (__TEXT,__text) non-external _externalEntityInitProcessor3
00007ff80d2d273c (__TEXT,__text) non-external _externalParEntInitProcessor
00007ff80d2daf45 (__TEXT,__text) non-external _externalParEntProcessor
00007ff80d2db438 (__TEXT,__text) non-external _externalSubset0
00007ff80d2dbd3e (__TEXT,__text) non-external _externalSubset1
00007ff80d2dd613 (__TEXT,__text) non-external _findEncoding
00007ff80d2dd81e (__TEXT,__text) non-external _findEncodingNS
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
00007ff80d2d98aa (__TEXT,__text) non-external _freeBindings
                 (undefined) external _fwrite (from libSystem)
00007ff80d2d63a9 (__TEXT,__text) non-external _getAttributeId
00007ff80d2d372a (__TEXT,__text) non-external _getDebugLevel
00007ff80d2d631d (__TEXT,__text) non-external _getElementType
00007ff80d2dd254 (__TEXT,__text) non-external _getEncodingIndex
00007ff8408e0740 (__DATA_CONST,__const) non-external _getEncodingIndex.encodingNames
                 (undefined) external _getenv (from libSystem)
00007ff80d2d3853 (__TEXT,__text) non-external _handleUnknownEncoding
00007ff80d2d7667 (__TEXT,__text) non-external _hash
00007ff80d2db0e7 (__TEXT,__text) non-external _hashTableDestroy
00007ff80d2d6fd0 (__TEXT,__text) non-external _ignoreSectionProcessor
00007ff80d2e9780 (__TEXT,__const) non-external _implicitContext
00007ff80d2e548e (__TEXT,__text) non-external _initScan
00007ff80d2dd2c7 (__TEXT,__text) non-external _initScanContent
00007ff80d2dd7bb (__TEXT,__text) non-external _initScanContentNS
00007ff80d2dd2a8 (__TEXT,__text) non-external _initScanProlog
00007ff80d2dd79c (__TEXT,__text) non-external _initScanPrologNS
00007ff80d2dd2e9 (__TEXT,__text) non-external _initUpdatePosition
00007ff80d2d3789 (__TEXT,__text) non-external _initializeEncoding
00007ff80d2da8c0 (__TEXT,__text) non-external _internalEntityProcessor
00007ff80d2db640 (__TEXT,__text) non-external _internalSubset
00007ff8408e01d0 (__DATA_CONST,__const) non-external _internal_little2_encoding
00007ff8408e0570 (__DATA_CONST,__const) non-external _internal_little2_encoding_ns
00007ff8408e0000 (__DATA_CONST,__const) non-external _internal_utf8_encoding
00007ff8408e03a0 (__DATA_CONST,__const) non-external _internal_utf8_encoding_ns
00007ff80d2e171f (__TEXT,__text) non-external _isNever
00007ff8408dfe30 (__DATA_CONST,__const) non-external _latin1_encoding
00007ff8408e0f28 (__DATA_CONST,__const) non-external _latin1_encoding_ns
00007ff80d2e074a (__TEXT,__text) non-external _latin1_toUtf16
00007ff80d2e06c8 (__TEXT,__text) non-external _latin1_toUtf8
00007ff80d2e3aa4 (__TEXT,__text) non-external _little2_attributeValueTok
00007ff80d2e36b8 (__TEXT,__text) non-external _little2_cdataSectionTok
00007ff80d2e41c8 (__TEXT,__text) non-external _little2_charRefNumber
00007ff80d2e5058 (__TEXT,__text) non-external _little2_checkPiTarget
00007ff80d2e2478 (__TEXT,__text) non-external _little2_contentTok
00007ff8408e0b48 (__DATA_CONST,__const) non-external _little2_encoding
00007ff8408e1498 (__DATA_CONST,__const) non-external _little2_encoding_ns
00007ff80d2e3bdc (__TEXT,__text) non-external _little2_entityValueTok
00007ff80d2e3e0b (__TEXT,__text) non-external _little2_getAtts
00007ff80d2e3914 (__TEXT,__text) non-external _little2_ignoreSectionTok
00007ff80d2e4454 (__TEXT,__text) non-external _little2_isPublicId
00007ff80d2e3d5d (__TEXT,__text) non-external _little2_nameLength
00007ff80d2e3d18 (__TEXT,__text) non-external _little2_nameMatchesAscii
00007ff80d2e427f (__TEXT,__text) non-external _little2_predefinedEntityName
00007ff80d2e1898 (__TEXT,__text) non-external _little2_prologTok
00007ff80d2e4efc (__TEXT,__text) non-external _little2_scanComment
00007ff80d2e470e (__TEXT,__text) non-external _little2_scanLit
00007ff80d2e4c98 (__TEXT,__text) non-external _little2_scanPercent
00007ff80d2e483c (__TEXT,__text) non-external _little2_scanPi
00007ff80d2e50d7 (__TEXT,__text) non-external _little2_scanRef
00007ff80d2e3dd1 (__TEXT,__text) non-external _little2_skipS
00007ff80d2e469d (__TEXT,__text) non-external _little2_toUtf16
00007ff80d2e44df (__TEXT,__text) non-external _little2_toUtf8
00007ff80d2e4383 (__TEXT,__text) non-external _little2_updatePosition
00007ff80d2d5f42 (__TEXT,__text) non-external _lookup
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
00007ff80d2e9e50 (__TEXT,__const) non-external _namePages
00007ff80d2e9850 (__TEXT,__const) non-external _namingBitmap
00007ff80d2d704c (__TEXT,__text) non-external _nextScaffoldPart
00007ff80d2e9d50 (__TEXT,__const) non-external _nmstrtPages
00007ff80d2dfe88 (__TEXT,__text) non-external _normal_attributeValueTok
00007ff80d2dfa30 (__TEXT,__text) non-external _normal_cdataSectionTok
00007ff80d2e0444 (__TEXT,__text) non-external _normal_charRefNumber
00007ff80d2e112c (__TEXT,__text) non-external _normal_checkPiTarget
00007ff80d2de634 (__TEXT,__text) non-external _normal_contentTok
00007ff80d2dffc0 (__TEXT,__text) non-external _normal_entityValueTok
00007ff80d2e0173 (__TEXT,__text) non-external _normal_getAtts
00007ff80d2dfce8 (__TEXT,__text) non-external _normal_ignoreSectionTok
00007ff80d2e0648 (__TEXT,__text) non-external _normal_isPublicId
00007ff80d2e010c (__TEXT,__text) non-external _normal_nameLength
00007ff80d2e00d0 (__TEXT,__text) non-external _normal_nameMatchesAscii
00007ff80d2e04fc (__TEXT,__text) non-external _normal_predefinedEntityName
00007ff80d2dd94c (__TEXT,__text) non-external _normal_prologTok
00007ff80d2e0fa0 (__TEXT,__text) non-external _normal_scanComment
00007ff80d2e078e (__TEXT,__text) non-external _normal_scanLit
00007ff80d2e0d0c (__TEXT,__text) non-external _normal_scanPercent
00007ff80d2e08f4 (__TEXT,__text) non-external _normal_scanPi
00007ff80d2e1197 (__TEXT,__text) non-external _normal_scanRef
00007ff80d2e0149 (__TEXT,__text) non-external _normal_skipS
00007ff80d2e058e (__TEXT,__text) non-external _normal_updatePosition
00007ff80d2dab8b (__TEXT,__text) non-external _normalizeLines
00007ff80d2d6265 (__TEXT,__text) non-external _normalizePublicId
00007ff80d2db9bb (__TEXT,__text) non-external _notation0
00007ff80d2dc8d8 (__TEXT,__text) non-external _notation1
00007ff80d2dc9cf (__TEXT,__text) non-external _notation2
00007ff80d2dc981 (__TEXT,__text) non-external _notation3
00007ff80d2dca15 (__TEXT,__text) non-external _notation4
00007ff80d2e9280 (__TEXT,__text) non-external _parsePseudoAttribute
00007ff80d2d10ce (__TEXT,__text) non-external _parserCreate
00007ff80d2d17d5 (__TEXT,__text) non-external _parserInit
00007ff80d2d65f7 (__TEXT,__text) non-external _poolAppend
00007ff80d2d28d3 (__TEXT,__text) non-external _poolCopyString
00007ff80d2d27ca (__TEXT,__text) non-external _poolDestroy
00007ff80d2d677c (__TEXT,__text) non-external _poolGrow
00007ff80d2d5efb (__TEXT,__text) non-external _poolStoreString
00007ff80d2d717a (__TEXT,__text) non-external _processInternalEntity
00007ff80d2d5b79 (__TEXT,__text) non-external _processXmlDecl
00007ff80d2db365 (__TEXT,__text) non-external _prolog0
00007ff80d2db458 (__TEXT,__text) non-external _prolog1
00007ff80d2db7b8 (__TEXT,__text) non-external _prolog2
00007ff80d2d36da (__TEXT,__text) non-external _prologInitProcessor
00007ff80d2d37e4 (__TEXT,__text) non-external _prologProcessor
                 (undefined) external _realloc (from libSystem)
00007ff80d2d74c0 (__TEXT,__text) non-external _reportComment
00007ff80d2d351d (__TEXT,__text) non-external _reportDefault
00007ff80d2d7374 (__TEXT,__text) non-external _reportProcessingInstruction
00007ff80d2d21b1 (__TEXT,__text) non-external _setContext
00007ff80d2d9e42 (__TEXT,__text) non-external _setElementTypePrefix
00007ff80d2d77c3 (__TEXT,__text) non-external _sip24_final
00007ff80d2d772b (__TEXT,__text) non-external _sip24_update
00007ff80d2d78ac (__TEXT,__text) non-external _sip_round
00007ff80d2d2d89 (__TEXT,__text) non-external _startParsing
00007ff80d2d6946 (__TEXT,__text) non-external _storeAttributeValue
00007ff80d2d8bac (__TEXT,__text) non-external _storeAtts
00007ff80d2d69b5 (__TEXT,__text) non-external _storeEntityValue
00007ff80d2d8ad0 (__TEXT,__text) non-external _storeRawNames
00007ff80d2e542c (__TEXT,__text) non-external _streqci
                 (undefined) external _strtoul (from libSystem)
00007ff80d2d3697 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesDirect
00007ff80d2d36ac (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesIndirect
00007ff80d2dd030 (__TEXT,__text) non-external _unknown_isInvalid
00007ff80d2dcf8e (__TEXT,__text) non-external _unknown_isName
00007ff80d2dcfdf (__TEXT,__text) non-external _unknown_isNmstrt
00007ff80d2dd144 (__TEXT,__text) non-external _unknown_toUtf16
00007ff80d2dd05d (__TEXT,__text) non-external _unknown_toUtf8
00007ff80d2d36c1 (__TEXT,__text) non-external (was a private external) _unsignedCharToPrintable
00007ff8408e07a8 (__DATA_CONST,__const) non-external _utf8_encoding
00007ff8408e10f8 (__DATA_CONST,__const) non-external _utf8_encoding_ns
00007ff80d2e17bf (__TEXT,__text) non-external _utf8_isInvalid2
00007ff80d2e17de (__TEXT,__text) non-external _utf8_isInvalid3
00007ff80d2e1845 (__TEXT,__text) non-external _utf8_isInvalid4
00007ff80d2e1687 (__TEXT,__text) non-external _utf8_isName2
00007ff80d2e16cd (__TEXT,__text) non-external _utf8_isName3
00007ff80d2e1727 (__TEXT,__text) non-external _utf8_isNmstrt2
00007ff80d2e176d (__TEXT,__text) non-external _utf8_isNmstrt3
00007ff80d2e1527 (__TEXT,__text) non-external _utf8_toUtf16
00007ff80d2e1491 (__TEXT,__text) non-external _utf8_toUtf8
