00007ffb18a0ec1f (__TEXT,__text) external _AAArchiveStreamCancel
00007ffb18a54cef (__TEXT,__text) external _AAEntryYECBlobCreate
00007ffb18a54d85 (__TEXT,__text) external _AAEntryYECBlobCreateWithEncodedData
00007ffb18a54dcc (__TEXT,__text) external _AAEntryYECBlobCreateWithPath
00007ffb18a54d51 (__TEXT,__text) external _AAEntryYECBlobDestroy
00007ffb18a550c6 (__TEXT,__text) external _AAEntryYECBlobGetEncodedData
00007ffb18a550bd (__TEXT,__text) external _AAEntryYECBlobGetEncodedSize
00007ffb18a48c70 (__TEXT,__text) external _AAExtractArchiveOutputStreamOpen
00007ffb18a46336 (__TEXT,__text) external _AAFieldKeySetClear
00007ffb18a46214 (__TEXT,__text) external _AAFieldKeySetClone
00007ffb18a46344 (__TEXT,__text) external _AAFieldKeySetContainsKey
00007ffb18a45e60 (__TEXT,__text) external _AAFieldKeySetCreate
00007ffb18a45eba (__TEXT,__text) external _AAFieldKeySetCreateWithString
00007ffb18a461ee (__TEXT,__text) external _AAFieldKeySetDestroy
00007ffb18a46940 (__TEXT,__text) external _AAFieldKeySetGetKey
00007ffb18a46938 (__TEXT,__text) external _AAFieldKeySetGetKeyCount
00007ffb18a463e1 (__TEXT,__text) external _AAFieldKeySetInsertKey
00007ffb18a4665f (__TEXT,__text) external _AAFieldKeySetInsertKeySet
00007ffb18a465a0 (__TEXT,__text) external _AAFieldKeySetRemoveKey
00007ffb18a46840 (__TEXT,__text) external _AAFieldKeySetRemoveKeySet
00007ffb18a468d4 (__TEXT,__text) external _AAFieldKeySetSelectKeySet
00007ffb18a4694f (__TEXT,__text) external _AAFieldKeySetSerialize
00007ffb18a56b6f (__TEXT,__text) external _AAFileStreamOpenWithFD
00007ffb18a56d42 (__TEXT,__text) external _AAFileStreamOpenWithPath
00007ffb18a5c00a (__TEXT,__text) non-external (was a private external) _AAGenericRandomAccessInputStreamOpen
00007ffb18a4ee65 (__TEXT,__text) external _AAHeaderAssign
00007ffb18a4f1cf (__TEXT,__text) external _AAHeaderClear
00007ffb18a4edbf (__TEXT,__text) external _AAHeaderClone
00007ffb18a4ece0 (__TEXT,__text) external _AAHeaderCreate
00007ffb18a4ef27 (__TEXT,__text) external _AAHeaderCreateWithEncodedData
00007ffb18a4ef6e (__TEXT,__text) external _AAHeaderCreateWithPath
00007ffb18a4ed81 (__TEXT,__text) external _AAHeaderDestroy
00007ffb18a501e3 (__TEXT,__text) external _AAHeaderGetEncodedData
00007ffb18a501d9 (__TEXT,__text) external _AAHeaderGetEncodedSize
00007ffb18a4f5c5 (__TEXT,__text) external _AAHeaderGetFieldBlob
00007ffb18a4f1f4 (__TEXT,__text) external _AAHeaderGetFieldCount
00007ffb18a4f425 (__TEXT,__text) external _AAHeaderGetFieldHash
00007ffb18a4f288 (__TEXT,__text) external _AAHeaderGetFieldKey
00007ffb18a4f361 (__TEXT,__text) external _AAHeaderGetFieldString
00007ffb18a4f50d (__TEXT,__text) external _AAHeaderGetFieldTimespec
00007ffb18a4f231 (__TEXT,__text) external _AAHeaderGetFieldType
00007ffb18a4f2dc (__TEXT,__text) external _AAHeaderGetFieldUInt
00007ffb18a4f1fc (__TEXT,__text) external _AAHeaderGetKeyIndex
00007ffb18a501cf (__TEXT,__text) external _AAHeaderGetPayloadSize
00007ffb18a4efba (__TEXT,__text) external _AAHeaderRemoveField
00007ffb18a4ffef (__TEXT,__text) external _AAHeaderSetFieldBlob
00007ffb18a4f652 (__TEXT,__text) external _AAHeaderSetFieldFlag
00007ffb18a4fc24 (__TEXT,__text) external _AAHeaderSetFieldHash
00007ffb18a4fa45 (__TEXT,__text) external _AAHeaderSetFieldString
00007ffb18a4fe20 (__TEXT,__text) external _AAHeaderSetFieldTimespec
00007ffb18a4f864 (__TEXT,__text) external _AAHeaderSetFieldUInt
00007ffb18a57126 (__TEXT,__text) external _AAMagicInputStreamOpen
00007ffb18a2a87b (__TEXT,__text) external _AAMemoryInputStreamOpen
00007ffb18a13ed2 (__TEXT,__text) external _AAPathFilterAddRule
00007ffb18a143c6 (__TEXT,__text) external _AAPathFilterApply
00007ffb18a13d44 (__TEXT,__text) external _AAPathFilterCreate
00007ffb18a13e57 (__TEXT,__text) external _AAPathFilterDestroy
00007ffb18a469c0 (__TEXT,__text) external _AAPathListCreate
00007ffb18a46b4c (__TEXT,__text) external _AAPathListCreateWithDirectoryContents
00007ffb18a48372 (__TEXT,__text) external _AAPathListCreateWithPath
00007ffb18a46b1d (__TEXT,__text) external _AAPathListDestroy
00007ffb18a4885a (__TEXT,__text) external _AAPathListGetNode
00007ffb18a4898c (__TEXT,__text) external _AAPathListMerge
00007ffb18a48ad9 (__TEXT,__text) external _AAPathListNodeFirst
00007ffb18a48732 (__TEXT,__text) external _AAPathListNodeGetPath
00007ffb18a48af5 (__TEXT,__text) external _AAPathListNodeNext
00007ffb18a22734 (__TEXT,__text) external _AARandomAccessByteStreamProcess
00007ffb18a40e90 (__TEXT,__text) external _AARandomAccessDecodeAndExtract
00007ffb18a2ed8c (__TEXT,__text) external _AARangeInputStreamOpen
00007ffb18a25008 (__TEXT,__text) external _AARemoveArchiveOutputStreamOpen
00007ffb18a56f99 (__TEXT,__text) external _AASharedBufferPipeOpen
00007ffb18a573cf (__TEXT,__text) external _AATeeOutputStreamOpen
00007ffb18a56dbe (__TEXT,__text) external _AATempFileStreamOpen
00007ffb18a40e68 (__TEXT,__text) external _AAThreadErrorContextEnter
00007ffb18a40e72 (__TEXT,__text) external _AAThreadErrorContextLeave
00007ffb18a17990 (__TEXT,__text) external _AAVerifyDirectoryArchiveOutputStreamOpen
00007ffb18a1367c (__TEXT,__text) external _AEAAuthDataAppendEntry
00007ffb18a13a77 (__TEXT,__text) external _AEAAuthDataClear
00007ffb18a130d6 (__TEXT,__text) external _AEAAuthDataCreate
00007ffb18a13171 (__TEXT,__text) external _AEAAuthDataCreateWithContext
00007ffb18a1313c (__TEXT,__text) external _AEAAuthDataDestroy
00007ffb18a13ba1 (__TEXT,__text) external _AEAAuthDataGetEncodedData
00007ffb18a13b97 (__TEXT,__text) external _AEAAuthDataGetEncodedSize
00007ffb18a1354c (__TEXT,__text) external _AEAAuthDataGetEntry
00007ffb18a13544 (__TEXT,__text) external _AEAAuthDataGetEntryCount
00007ffb18a13a8d (__TEXT,__text) external _AEAAuthDataRemoveEntry
00007ffb18a1385b (__TEXT,__text) external _AEAAuthDataSetEntry
00007ffb18a3928e (__TEXT,__text) external _AEAContextCreateWithEncryptedStream
00007ffb18a391e6 (__TEXT,__text) external _AEAContextCreateWithProfile
00007ffb18a3916a (__TEXT,__text) external _AEAContextDestroy
00007ffb18a39dcd (__TEXT,__text) external _AEAContextGenerateFieldBlob
00007ffb18a396ac (__TEXT,__text) external _AEAContextGetFieldBlob
00007ffb18a395ea (__TEXT,__text) external _AEAContextGetFieldUInt
00007ffb18a39aa8 (__TEXT,__text) external _AEAContextSetFieldBlob
00007ffb18a39efb (__TEXT,__text) external _AEAContextSetFieldCallback
00007ffb18a398dc (__TEXT,__text) external _AEAContextSetFieldUInt
00007ffb18a1aac8 (__TEXT,__text) non-external _AEADDecrypt_AESCTR_MAC256_KEY640
00007ffb18a1a5a0 (__TEXT,__text) non-external _AEADDecrypt_None_MAC256_KEY256
00007ffb18a1a619 (__TEXT,__text) non-external _AEADEncrypt_AESCTR_MAC256_KEY640
00007ffb18a1a50d (__TEXT,__text) non-external _AEADEncrypt_None_MAC256_KEY256
00007ffb18a11ad1 (__TEXT,__text) external _AEADecryptAndExtract
00007ffb18a3c5d9 (__TEXT,__text) external _AEADecryptAndExtractAsyncStreamOpen
00007ffb18a0c424 (__TEXT,__text) external _AEADecryptAsyncStreamOpen
00007ffb18a260c3 (__TEXT,__text) external _AEADecryptToFile
00007ffb18a3734e (__TEXT,__text) external _AEADecryptToFileAsyncStreamOpen
00007ffb18a1c0cf (__TEXT,__text) external _AEADecryptionInputStreamOpen
00007ffb18a1164a (__TEXT,__text) external _AEADecryptionRandomAccessInputStreamOpen
00007ffb18a1ff18 (__TEXT,__text) external _AEAEncryptionOutputStreamCloseAndUpdateContext
00007ffb18a1f127 (__TEXT,__text) external _AEAEncryptionOutputStreamOpen
00007ffb18a1f760 (__TEXT,__text) external _AEAEncryptionOutputStreamOpenExisting
00007ffb18a21b1c (__TEXT,__text) external _AEAKeychainGenerateItem
00007ffb18a22438 (__TEXT,__text) external _AEAKeychainHasItem
00007ffb18a2227e (__TEXT,__text) external _AEAKeychainLoadItem
00007ffb18a2253c (__TEXT,__text) external _AEAKeychainRemoveItem
00007ffb18a21de4 (__TEXT,__text) external _AEAKeychainStoreItem
00007ffb18a17194 (__TEXT,__text) external _AEAStreamSign
                 (undefined) external _BZ2_bzDecompress (from libbz2)
                 (undefined) external _BZ2_bzDecompressEnd (from libbz2)
                 (undefined) external _BZ2_bzDecompressInit (from libbz2)
00007ffb18a2aba1 (__TEXT,__text) non-external (was a private external) _BlobBufferFree
00007ffb18a2ab05 (__TEXT,__text) non-external (was a private external) _BlobBufferIncreaseCapacity
00007ffb18a2aa60 (__TEXT,__text) non-external (was a private external) _BlobBufferStore
                 (undefined) external _CCCryptorCreateWithMode (from libSystem)
                 (undefined) external _CCCryptorFinal (from libSystem)
                 (undefined) external _CCCryptorGetOutputLength (from libSystem)
                 (undefined) external _CCCryptorRelease (from libSystem)
                 (undefined) external _CCCryptorUpdate (from libSystem)
                 (undefined) external _CCDeriveKey (from libSystem)
                 (undefined) external _CCHmacFinal (from libSystem)
                 (undefined) external _CCHmacInit (from libSystem)
                 (undefined) external _CCHmacUpdate (from libSystem)
                 (undefined) external _CCKDFParametersCreateHkdf (from libSystem)
                 (undefined) external _CCKDFParametersDestroy (from libSystem)
                 (undefined) external _CCRandomGenerateBytes (from libSystem)
00007ffb18a32421 (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Final
00007ffb18a323c4 (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Init
00007ffb18a323dd (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Update
00007ffb18a32a46 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Final
00007ffb18a32a32 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Init
00007ffb18a32a3c (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Update
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CC_SHA384_Final (from libSystem)
                 (undefined) external _CC_SHA384_Init (from libSystem)
                 (undefined) external _CC_SHA384_Update (from libSystem)
                 (undefined) external _CC_SHA512_Final (from libSystem)
                 (undefined) external _CC_SHA512_Init (from libSystem)
                 (undefined) external _CC_SHA512_Update (from libSystem)
                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDataGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFErrorCopyDescription (from CoreFoundation)
                 (undefined) external _CFErrorCreateWithUserInfoKeysAndValues (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
00007ffb18a6a370 (__TEXT,__const) non-external _CKSUMTable
00007ffb18a57c59 (__TEXT,__text) non-external _CompressionConsumerProc
00007ffb18a57ace (__TEXT,__text) non-external _CompressionWorkerDataCreate
00007ffb18a58814 (__TEXT,__text) non-external _CompressionWorkerDataDestroy
00007ffb18a57bcf (__TEXT,__text) non-external _CompressionWorkerProc
00007ffb18a1b49a (__TEXT,__text) non-external _DHERecipient_ECDHE_P256
00007ffb18a1b13b (__TEXT,__text) non-external _DHESender_ECDHE_P256
00007ffb18a1b9b9 (__TEXT,__text) non-external _DSASign_ECDSA_P256
00007ffb18a1bc05 (__TEXT,__text) non-external _DSAVerify_ECDSA_P256
00007ffb18a1b7d6 (__TEXT,__text) non-external _DerivePublicFromPrivate_ECP256
00007ffb18a1b963 (__TEXT,__text) non-external _Digest_SHA256
00007ffb18a2337c (__TEXT,__text) non-external (was a private external) _ECC65537CheckAndFix
00007ffb18a22ff3 (__TEXT,__text) non-external (was a private external) _ECC65537GetParity
00007ffb18a6a240 (__TEXT,__const) non-external _ECC65537_G
00007ffb18a2b31f (__TEXT,__text) non-external (was a private external) _ECCFixThreadProc
00007ffb18a1a38c (__TEXT,__text) non-external _HKDFDerive
00007ffb18a1bf3a (__TEXT,__text) non-external _HMACDerive_SHA256
00007ffb18a1bec9 (__TEXT,__text) non-external _HMACFinal_SHA256
00007ffb18a1be37 (__TEXT,__text) non-external _HMACInit_SHA256
00007ffb18a1beb1 (__TEXT,__text) non-external _HMACUpdate_SHA256
00007ffb18a1c017 (__TEXT,__text) non-external _HMACVerify_SHA256
00007ffb18a242ba (__TEXT,__text) non-external (was a private external) _IDecoderStreamAbort
00007ffb18a24052 (__TEXT,__text) non-external (was a private external) _IDecoderStreamCreate
00007ffb18a2419b (__TEXT,__text) non-external (was a private external) _IDecoderStreamDestroy
00007ffb18a2429f (__TEXT,__text) non-external (was a private external) _IDecoderStreamRead
00007ffb18a24018 (__TEXT,__text) non-external (was a private external) _IDecoderStreamThreadProc
00007ffb18a2cbca (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFD
00007ffb18a2c87c (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFilename
00007ffb18a2cb93 (__TEXT,__text) non-external (was a private external) _IFileStreamDestroy
00007ffb18a2ccf2 (__TEXT,__text) non-external (was a private external) _IFileStreamRead
00007ffb18a2c855 (__TEXT,__text) non-external (was a private external) _IZeroStreamRead
00007ffb18a2c5af (__TEXT,__text) non-external (was a private external) _MemBufferCreate
00007ffb18a2c6a3 (__TEXT,__text) non-external (was a private external) _MemBufferDestroy
00007ffb18a2c63a (__TEXT,__text) non-external (was a private external) _MemBufferIncreaseCapacity
00007ffb18a2c6c9 (__TEXT,__text) non-external (was a private external) _MemBufferTransmit
00007ffb18a2cfc1 (__TEXT,__text) non-external (was a private external) _OArchiveFileStreamCreate
00007ffb18a2d2ff (__TEXT,__text) non-external (was a private external) _OArchiveFileStreamCreateAt
00007ffb18a2d660 (__TEXT,__text) non-external (was a private external) _OArchiveFileStreamDestroy
00007ffb18a2d670 (__TEXT,__text) non-external (was a private external) _OArchiveFileStreamDestroyEx
00007ffb18a2d856 (__TEXT,__text) non-external (was a private external) _OArchiveFileStreamWrite
00007ffb18a2c1d3 (__TEXT,__text) non-external (was a private external) _OECCStreamCreate
00007ffb18a2c3bc (__TEXT,__text) non-external (was a private external) _OECCStreamDestroy
00007ffb18a2c3eb (__TEXT,__text) non-external (was a private external) _OECCStreamGetDataPtr
00007ffb18a2c402 (__TEXT,__text) non-external (was a private external) _OECCStreamGetDataSize
00007ffb18a2c419 (__TEXT,__text) non-external (was a private external) _OECCStreamWrite
00007ffb18a2ce07 (__TEXT,__text) non-external (was a private external) _OFileStreamCreateWithFilename
00007ffb18a2ced9 (__TEXT,__text) non-external (was a private external) _OFileStreamDestroy
00007ffb18a2cf07 (__TEXT,__text) non-external (was a private external) _OFileStreamWrite
00007ffb18a2c873 (__TEXT,__text) non-external (was a private external) _ONullStreamWrite
00007ffb18a130ac (__TEXT,__text) non-external (was a private external) _PCompressCopyDecode
00007ffb18a13082 (__TEXT,__text) non-external (was a private external) _PCompressCopyEncode
00007ffb18a12456 (__TEXT,__text) non-external (was a private external) _PCompressFilter
00007ffb18a0c405 (__TEXT,__text) non-external (was a private external) _PCompressGetDecoderDescription
00007ffb18a22718 (__TEXT,__text) non-external (was a private external) _PCompressGetDecoderFilter
00007ffb18a0c3dd (__TEXT,__text) non-external (was a private external) _PCompressGetDecoderKey
00007ffb18a0c3cc (__TEXT,__text) non-external (was a private external) _PCompressGetEncoderDecoder
00007ffb18a0c3b0 (__TEXT,__text) non-external (was a private external) _PCompressGetEncoderDescription
00007ffb18a226fc (__TEXT,__text) non-external (was a private external) _PCompressGetEncoderFilter
00007ffb18a14888 (__TEXT,__text) non-external (was a private external) _PCompressLZ4Decode
00007ffb18a14861 (__TEXT,__text) non-external (was a private external) _PCompressLZ4Encode
00007ffb18a17969 (__TEXT,__text) non-external (was a private external) _PCompressLZFSEDecode
00007ffb18a17942 (__TEXT,__text) non-external (was a private external) _PCompressLZFSEEncode
00007ffb18a19f94 (__TEXT,__text) non-external (was a private external) _PCompressLZMA6Encode
00007ffb18a19fe5 (__TEXT,__text) non-external (was a private external) _PCompressLZMADecode
00007ffb18a21af5 (__TEXT,__text) non-external (was a private external) _PCompressLZVNDecode
00007ffb18a21ace (__TEXT,__text) non-external (was a private external) _PCompressLZVNEncode
00007ffb18a2260a (__TEXT,__text) non-external (was a private external) _PCompressZLIB5Encode
00007ffb18a22652 (__TEXT,__text) non-external (was a private external) _PCompressZLIBDecode
00007ffb18a2b5e2 (__TEXT,__text) non-external (was a private external) _ParallelArchiveECCFixCommon
00007ffb18a2c1ab (__TEXT,__text) non-external (was a private external) _ParallelArchiveECCFixFileSegment
00007ffb18a3170a (__TEXT,__text) non-external (was a private external) _ParallelCompressionAFSCCompress
00007ffb18a300b5 (__TEXT,__text) non-external (was a private external) _ParallelCompressionAFSCFixupMetadata
00007ffb18a2ffea (__TEXT,__text) non-external (was a private external) _ParallelCompressionAFSCGetMetadata
00007ffb18a2fd9f (__TEXT,__text) non-external (was a private external) _ParallelCompressionAFSCGetMetadataFD
00007ffb18a2f5ed (__TEXT,__text) non-external (was a private external) _ParallelCompressionAFSCStreamClose
00007ffb18a2f004 (__TEXT,__text) non-external (was a private external) _ParallelCompressionAFSCStreamOpen
00007ffb18a2f390 (__TEXT,__text) non-external (was a private external) _ParallelCompressionAFSCStreamWrite
00007ffb18a22691 (__TEXT,__text) non-external (was a private external) _ParallelCompressionDecode
00007ffb18a355f2 (__TEXT,__text) non-external (was a private external) _ParallelCompressionEnterThreadErrorContext
00007ffb18a355fc (__TEXT,__text) non-external (was a private external) _ParallelCompressionLeaveThreadErrorContext
00007ffb18a35606 (__TEXT,__text) non-external (was a private external) _ParallelCompressionUpdateError
00007ffb18a35622 (__TEXT,__text) non-external (was a private external) _ParallelCompressionUpdateWarning
00007ffb18a1a4cc (__TEXT,__text) non-external _RNG
00007ffb18a5b454 (__TEXT,__text) non-external _RandomAccessDecompressStreamAbort
00007ffb18a5b257 (__TEXT,__text) non-external _RandomAccessDecompressStreamDestroy
00007ffb18a5b2c4 (__TEXT,__text) non-external _RandomAccessDecompressStreamGetBlock
00007ffb18a11ab5 (__TEXT,__text) non-external _RandomAccessDecryptionStreamAbort
00007ffb18a11948 (__TEXT,__text) non-external _RandomAccessDecryptionStreamDestroy
00007ffb18a11a3c (__TEXT,__text) non-external _RandomAccessDecryptionStreamGetBlock
00007ffb18a1af55 (__TEXT,__text) non-external _ScryptDerive_KEY256
                 (undefined) external _SecAccessControlCreateWithFlags (from Security)
                 (undefined) external _SecItemAdd (from Security)
                 (undefined) external _SecItemCopyMatching (from Security)
                 (undefined) external _SecItemDelete (from Security)
00007ffb18a20591 (__TEXT,__text) non-external _SharedArrayEnqueue
00007ffb18a24e34 (__TEXT,__text) non-external _SharedArrayEnqueue
00007ffb18a2ea57 (__TEXT,__text) non-external _SharedArrayEnqueue
00007ffb18a3ea86 (__TEXT,__text) non-external _SharedArrayEnqueue
00007ffb18a24634 (__TEXT,__text) non-external _SharedArrayPush
00007ffb18a5c9b7 (__TEXT,__text) non-external _SharedArrayPush
00007ffb18a24afb (__TEXT,__text) non-external (was a private external) _SharedBufferAbort
00007ffb18a242ce (__TEXT,__text) non-external (was a private external) _SharedBufferCreate
00007ffb18a24797 (__TEXT,__text) non-external (was a private external) _SharedBufferDecRefCount
00007ffb18a2472b (__TEXT,__text) non-external (was a private external) _SharedBufferDestroy
00007ffb18a247a9 (__TEXT,__text) non-external (was a private external) _SharedBufferFillFromStream
00007ffb18a24b9f (__TEXT,__text) non-external (was a private external) _SharedBufferFlushToStream
00007ffb18a24fb0 (__TEXT,__text) non-external (was a private external) _SharedBufferRead
00007ffb18a24f8a (__TEXT,__text) non-external _SharedBufferReadFromBufferProc
00007ffb18a24f44 (__TEXT,__text) non-external (was a private external) _SharedBufferWrite
00007ffb18a24fe8 (__TEXT,__text) non-external _SharedBufferWriteToBufferProc
00007ffb18a2ace1 (__TEXT,__text) non-external (was a private external) _StringTableAppend
00007ffb18a2ade2 (__TEXT,__text) non-external (was a private external) _StringTableAppendTable
00007ffb18a2accd (__TEXT,__text) non-external (was a private external) _StringTableClear
00007ffb18a2b2d7 (__TEXT,__text) non-external _StringTableCmp
