000000018bd13ef4 (__TEXT,__text) non-external _Annihilate
000000018bd46c30 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl12
000000018bd47a4c (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl13
000000018bd48868 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl14
000000018bd49684 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl15
000000018bd4a4a0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl16
000000018bd4b3bc (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl17
000000018bd433c0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl8
000000018bd441dc (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl9
000000018bd23874 (__TEXT,__text) non-external (was a private external) _BrotliConvertBitDepthsToSymbols
000000018bd34aa0 (__TEXT,__text) non-external (was a private external) _BrotliCreateBackwardReferences
000000018bd29a94 (__TEXT,__text) non-external (was a private external) _BrotliCreateHqZopfliBackwardReferences
000000018bd22e58 (__TEXT,__text) non-external (was a private external) _BrotliCreateHuffmanTree
000000018bd29934 (__TEXT,__text) non-external (was a private external) _BrotliCreateZopfliBackwardReferences
000000018bd191e0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderCreateInstance
000000018bd19300 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompress
000000018bd1941c (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompressStream
000000018bd192a0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDestroyInstance
000000018bd1d514 (__TEXT,__text) non-external (was a private external) _BrotliDecoderErrorString
000000018bd1d50c (__TEXT,__text) non-external (was a private external) _BrotliDecoderGetErrorCode
000000018bd1d3bc (__TEXT,__text) non-external (was a private external) _BrotliDecoderHasMoreOutput
000000018bd1f6d0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHuffmanTreeGroupInit
000000018bd1d4c0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsFinished
000000018bd1d4a0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsUsed
000000018bd1918c (__TEXT,__text) non-external (was a private external) _BrotliDecoderSetParameter
000000018bd1f68c (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanup
000000018bd1f60c (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanupAfterMetablock
000000018bd1f4d8 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateInit
000000018bd1f5c0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateMetablockBegin
000000018bd1d3f4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderTakeOutput
000000018bd1d53c (__TEXT,__text) non-external (was a private external) _BrotliDecoderVersion
000000018bd18f10 (__TEXT,__text) non-external (was a private external) _BrotliDefaultAllocFunc
000000018bd18f18 (__TEXT,__text) non-external (was a private external) _BrotliDefaultFreeFunc
000000018bd14f28 (__TEXT,__text) non-external (was a private external) _BrotliDestroyBlockSplit
000000018bd081e8 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompress
000000018bd09dcc (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompressStream
000000018bd07fc0 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCreateInstance
000000018bd080d8 (__TEXT,__text) non-external (was a private external) _BrotliEncoderDestroyInstance
000000018bd0dc10 (__TEXT,__text) non-external (was a private external) _BrotliEncoderHasMoreOutput
000000018bd0ab98 (__TEXT,__text) non-external (was a private external) _BrotliEncoderIsFinished
000000018bd081c0 (__TEXT,__text) non-external (was a private external) _BrotliEncoderMaxCompressedSize
000000018bd07edc (__TEXT,__text) non-external (was a private external) _BrotliEncoderSetParameter
000000018bd0dc20 (__TEXT,__text) non-external (was a private external) _BrotliEncoderTakeOutput
000000018bd0dc88 (__TEXT,__text) non-external (was a private external) _BrotliEncoderVersion
000000018bd1bd9c (__TEXT,__text) non-external _BrotliEnsureRingBuffer
000000018bd21cdc (__TEXT,__text) non-external (was a private external) _BrotliEstimateBitCostsForLiterals
000000018bd40bb4 (__TEXT,__text) non-external (was a private external) _BrotliFindAllStaticDictionaryMatches
000000018bd13db4 (__TEXT,__text) non-external (was a private external) _BrotliFree
000000018bd143b4 (__TEXT,__text) non-external (was a private external) _BrotliGetDictionary
000000018bd2c7b8 (__TEXT,__text) non-external (was a private external) _BrotliGetTransforms
000000018bd26558 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceCommand
000000018bd27158 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceDistance
000000018bd25958 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceLiteral
000000018bd26288 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineCommand
000000018bd26e88 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineDistance
000000018bd25688 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineLiteral
000000018bd2675c (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexCommand
000000018bd2735c (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexDistance
000000018bd25b5c (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexLiteral
000000018bd265ec (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapCommand
000000018bd271ec (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapDistance
000000018bd259ec (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapLiteral
000000018bd18ff0 (__TEXT,__text) non-external (was a private external) _BrotliInitBitReader
000000018bd14f18 (__TEXT,__text) non-external (was a private external) _BrotliInitBlockSplit
000000018bd4e338 (__TEXT,__text) non-external (was a private external) _BrotliInitDistanceParams
000000018bd2c744 (__TEXT,__text) non-external (was a private external) _BrotliInitEncoderDictionary
000000018bd13c24 (__TEXT,__text) non-external (was a private external) _BrotliInitMemoryManager
000000018bd28044 (__TEXT,__text) non-external (was a private external) _BrotliInitZopfliNodes
000000018bd42b64 (__TEXT,__text) non-external (was a private external) _BrotliIsMostlyUTF8
000000018bd4fb38 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHistograms
000000018bd23114 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHuffmanCountsForRle
000000018bd318a0 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostCommand
000000018bd31cc4 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostDistance
000000018bd3147c (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostLiteral
000000018bd74430 (__TEXT,__const) non-external _BrotliReverseBits.kLut
000000018bd19050 (__TEXT,__text) non-external (was a private external) _BrotliSafeReadBits32Slow
000000018bd22d80 (__TEXT,__text) non-external (was a private external) _BrotliSetDepth
000000018bd143c0 (__TEXT,__text) non-external (was a private external) _BrotliSetDictionaryData
000000018bd14f68 (__TEXT,__text) non-external (was a private external) _BrotliSplitBlock
000000018bd2d9d4 (__TEXT,__text) non-external (was a private external) _BrotliStoreHuffmanTree
000000018bda8578 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeBitLengths
000000018bda8572 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeSymbols
000000018bda8560 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kStorageOrder
000000018bd2e3cc (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlock
000000018bd306a0 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockFast
000000018bd137c8 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
000000018bd4c2d8 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
000000018bd2fd08 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockTrivial
000000018bd30a60 (__TEXT,__text) non-external (was a private external) _BrotliStoreUncompressedMetaBlock
000000018bd2c7c4 (__TEXT,__text) non-external (was a private external) _BrotliTransformDictionaryWord
000000018bd19000 (__TEXT,__text) non-external (was a private external) _BrotliWarmupBitReader
000000018bd13e10 (__TEXT,__text) non-external (was a private external) _BrotliWipeOutMemoryManager
000000018bd23448 (__TEXT,__text) non-external (was a private external) _BrotliWriteHuffmanTree
000000018bd2837c (__TEXT,__text) non-external (was a private external) _BrotliZopfliComputeShortestPath
000000018bd28070 (__TEXT,__text) non-external (was a private external) _BrotliZopfliCreateCommands
000000018bd2f088 (__TEXT,__text) non-external _BuildAndStoreBlockSwitchEntropyCodes
000000018bd13a68 (__TEXT,__text) non-external _BuildAndStoreCommandPrefixCode
000000018bd30008 (__TEXT,__text) non-external _BuildAndStoreHuffmanTree
000000018bd13870 (__TEXT,__text) non-external _BuildAndStoreLiteralPrefixCode
000000018bd2ff64 (__TEXT,__text) non-external _BuildHistograms
000000018bd542d0 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapContinuation
000000018bd543d0 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapSimpleUTF8
000000018bd0dc94 (__TEXT,__text) non-external _ChooseDistanceParams
000000018bd13cd0 (__TEXT,__text) non-external _CollectGarbagePointers
000000018bd4eb00 (__TEXT,__text) non-external _ComputeDistanceCost
000000018bd298b8 (__TEXT,__text) non-external _ComputeShortestPathFromNodes
000000018bd50268 (__TEXT,__text) non-external _ContextBlockSplitterFinishBlock
000000018bd1b788 (__TEXT,__text) non-external _CopyUncompressedBlockToOutput
000000018bd34c88 (__TEXT,__text) non-external _CreateBackwardReferencesNH2
000000018bd35ad4 (__TEXT,__text) non-external _CreateBackwardReferencesNH3
000000018bd3d8dc (__TEXT,__text) non-external _CreateBackwardReferencesNH35
000000018bd36614 (__TEXT,__text) non-external _CreateBackwardReferencesNH4
000000018bd398d8 (__TEXT,__text) non-external _CreateBackwardReferencesNH40
000000018bd3a9ec (__TEXT,__text) non-external _CreateBackwardReferencesNH41
000000018bd3bb40 (__TEXT,__text) non-external _CreateBackwardReferencesNH42
000000018bd375b4 (__TEXT,__text) non-external _CreateBackwardReferencesNH5
000000018bd3cd2c (__TEXT,__text) non-external _CreateBackwardReferencesNH54
000000018bd3e794 (__TEXT,__text) non-external _CreateBackwardReferencesNH55
000000018bd38714 (__TEXT,__text) non-external _CreateBackwardReferencesNH6
000000018bd3f674 (__TEXT,__text) non-external _CreateBackwardReferencesNH65
000000018bd541c0 (__TEXT,__const) non-external _DecideOverLiteralContextModeling.lut
000000018bd1d9f8 (__TEXT,__text) non-external _DecodeCommandBlockSwitch
000000018bd1b934 (__TEXT,__text) non-external _DecodeContextMap
000000018bd1e474 (__TEXT,__text) non-external _DecodeDistanceBlockSwitch
000000018bd1df30 (__TEXT,__text) non-external _DecodeLiteralBlockSwitch
000000018bd1a610 (__TEXT,__text) non-external _DecodeMetaBlockLength
000000018bd1abd0 (__TEXT,__text) non-external _DecodeVarLenUint8
000000018bd1372c (__TEXT,__text) non-external _EmitUncompressedMetaBlock
000000018bd2f52c (__TEXT,__text) non-external _EncodeContextMap
000000018bd0acf4 (__TEXT,__text) non-external _EncodeData
000000018bd2970c (__TEXT,__text) non-external _EvaluateNode
000000018bd744b0 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
000000018bdb1958 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
000000018bd0dfd4 (__TEXT,__text) non-external _GetBrotliStorage
000000018bd0e048 (__TEXT,__text) non-external _GetHashTable
000000018bd540c0 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandBits
000000018bdca479 (__TEXT,__cstring) non-external _InitCommandPrefixCodes.kDefaultCommandCode
000000018bd54040 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandDepths
000000018bd28e1c (__TEXT,__text) non-external _InitZopfliCostModel
000000018bd0abbc (__TEXT,__text) non-external _InjectFlushOrPushOutput
000000018bd1d60c (__TEXT,__text) non-external _InverseMoveToFrontTransform
000000018bd24ad4 (__TEXT,__text) non-external _LZFSEIBootBufferCopy
000000018bd24a84 (__TEXT,__text) non-external _LZFSEIBootBufferPush
000000018bd24994 (__TEXT,__text) non-external _LZFSEIBootBufferPushN
000000018bd0df58 (__TEXT,__text) non-external _PrepareH54
000000018bd0dee4 (__TEXT,__text) non-external _PrepareH6
000000018bd1be48 (__TEXT,__text) non-external _ProcessCommands
000000018bd1ada0 (__TEXT,__text) non-external _ReadHuffmanCode
000000018bd1d6cc (__TEXT,__text) non-external _SafeDecodeCommandBlockSwitch
000000018bd1e134 (__TEXT,__text) non-external _SafeDecodeDistanceBlockSwitch
000000018bd1dbbc (__TEXT,__text) non-external _SafeDecodeLiteralBlockSwitch
000000018bd1d548 (__TEXT,__text) non-external _SafeDecodeSymbol
000000018bd1c85c (__TEXT,__text) non-external _SafeProcessCommands
000000018bd1a4b0 (__TEXT,__text) non-external _SaveErrorCode
000000018bd2aae4 (__TEXT,__text) non-external _SetCost
000000018bd2ca68 (__TEXT,__text) non-external _Shift
000000018bd0dcec (__TEXT,__text) non-external _ShouldCompress
000000018bd541d0 (__TEXT,__const) non-external _ShouldUseComplexStaticContextMap.kStaticContextMapComplexUTF8
000000018bd13e6c (__TEXT,__text) non-external _SortPointers
000000018bd54748 (__TEXT,__const) non-external _SortPointers.gaps
000000018bda9288 (__TEXT,__const) non-external _StoreCommands.kInsertOffset
000000018bda9088 (__TEXT,__const) non-external _StoreCommands.kNumExtraBits
000000018bd2ef50 (__TEXT,__text) non-external _StoreCompressedMetaBlockHeader
000000018bd30410 (__TEXT,__text) non-external _StoreDataWithHuffmanCodes
000000018bd2f9c8 (__TEXT,__text) non-external _StoreSymbol
000000018bd2fb64 (__TEXT,__text) non-external _StoreSymbolWithContext
000000018bd2f318 (__TEXT,__text) non-external _StoreTrivialContextMap
000000018bd30bf0 (__TEXT,__text) non-external _StoreVarLenUint8
000000018bd28fb4 (__TEXT,__text) non-external _UpdateNodes
000000018bd1d378 (__TEXT,__text) non-external _WrapRingBuffer
000000018bd1a4c4 (__TEXT,__text) non-external _WriteRingBuffer
000000018bd28e98 (__TEXT,__text) non-external _ZopfliCostModelSetFromLiteralCosts
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00000001d493d468 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
000000018bd20788 (__TEXT,__text) non-external ___yzip_jobs_process_block_invoke
000000018bdb0348 (__TEXT,__const) non-external (was a private external) __dist_code
000000018bda8878 (__TEXT,__const) non-external (was a private external) __kBrotliContextLookupTable
000000018bd544e0 (__TEXT,__const) non-external (was a private external) __kBrotliPrefixCodeRanges
000000018bdb0548 (__TEXT,__const) non-external (was a private external) __length_code
000000018bd4e024 (__TEXT,__text) non-external (was a private external) __tr_align
000000018bd01a98 (__TEXT,__text) non-external (was a private external) __tr_flush_block
000000018bcffdf0 (__TEXT,__text) non-external (was a private external) __tr_init
000000018bd4dedc (__TEXT,__text) non-external (was a private external) __tr_stored_block
000000018bd4e298 (__TEXT,__text) non-external (was a private external) __tr_tally
000000018bcffcb4 (__TEXT,__text) non-external (was a private external) _adler32
000000018bd53990 (__TEXT,__text) non-external (was a private external) _adler32_vec
000000018bdb0d00 (__TEXT,__const) non-external _base_dist
000000018bdb0c8c (__TEXT,__const) non-external _base_length
000000018bd4e208 (__TEXT,__text) non-external _bi_flush
000000018bd02f54 (__TEXT,__text) non-external _bi_windup
000000018bdb0c78 (__TEXT,__const) non-external _bl_order
000000018bda8618 (__TEXT,__const) non-external _breverse.brev8
000000018bd4c68c (__TEXT,__text) non-external (was a private external) _brotli_decode_buffer
000000018bd4c6d4 (__TEXT,__text) non-external (was a private external) _brotli_encode_buffer
000000018bd4c8c4 (__TEXT,__text) non-external (was a private external) _brotli_stream_end
000000018bd4c7e4 (__TEXT,__text) non-external (was a private external) _brotli_stream_init
000000018bd4c720 (__TEXT,__text) non-external (was a private external) _brotli_stream_process
000000018bd01ff0 (__TEXT,__text) non-external _build_tree
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
000000018bd02b94 (__TEXT,__text) non-external _compress_block
000000018bd047f8 (__TEXT,__text) external _compression_decode_buffer
000000018bd04730 (__TEXT,__text) external _compression_decode_scratch_buffer_size
000000018bd42df4 (__TEXT,__text) external _compression_encode_buffer
000000018bd42cd0 (__TEXT,__text) external _compression_encode_scratch_buffer_size
000000018bd0314c (__TEXT,__text) external _compression_stream_destroy
000000018bd21bc4 (__TEXT,__text) external _compression_stream_get_decode_state_size
000000018bd21b74 (__TEXT,__text) external _compression_stream_get_encode_state_size
000000018bd21b24 (__TEXT,__text) external _compression_stream_get_state_size
000000018bd21a90 (__TEXT,__text) external _compression_stream_identify_algorithm
000000018bcff700 (__TEXT,__text) external _compression_stream_init
000000018bd21a58 (__TEXT,__text) external _compression_stream_init_with_state_buffer
000000018bd21c14 (__TEXT,__text) external _compression_stream_is_state_valid
000000018bcffe40 (__TEXT,__text) external _compression_stream_process
000000018bd050c0 (__TEXT,__text) external _compression_stream_reinit
00000001dd8b3390 (__AUTH_CONST,__const) non-external _configuration_table
000000018bd3307c (__TEXT,__text) external _cosmix_codec_decode
000000018bd32788 (__TEXT,__text) external _cosmix_codec_encode
000000018bd32f94 (__TEXT,__text) external _cosmix_codec_get_decoded_size
000000018bd33b44 (__TEXT,__text) external _cosmix_codec_get_id
000000018bd33998 (__TEXT,__text) external _cosmix_codec_map
000000018bd33ae4 (__TEXT,__text) external _cosmix_codec_unmap
000000018bd33588 (__TEXT,__text) external _cosmix_model_create
000000018bd336e4 (__TEXT,__text) external _cosmix_model_destroy
000000018bd3372c (__TEXT,__text) external _cosmix_model_save_codec
000000018bd320e8 (__TEXT,__text) external _cosmix_model_update
000000018bd4c38c (__TEXT,__text) non-external (was a private external) _crc32
000000018bda92e8 (__TEXT,__const) non-external _crc_table
000000018bd18f20 (__TEXT,__text) non-external (was a private external) _create_thread
000000018bd002dc (__TEXT,__text) non-external (was a private external) _deflate
000000018bd531ec (__TEXT,__text) non-external (was a private external) _deflateBound
000000018bd532e8 (__TEXT,__text) non-external (was a private external) _deflateCopy
000000018bd0305c (__TEXT,__text) non-external (was a private external) _deflateEnd
000000018bcff8c4 (__TEXT,__text) non-external (was a private external) _deflateInit2_
000000018bd52f48 (__TEXT,__text) non-external (was a private external) _deflateInit_
000000018bd530e8 (__TEXT,__text) non-external (was a private external) _deflateParams
000000018bd530b8 (__TEXT,__text) non-external (was a private external) _deflatePrime
000000018bcffb84 (__TEXT,__text) non-external (was a private external) _deflateReset
000000018bd52f64 (__TEXT,__text) non-external (was a private external) _deflateSetDictionary
000000018bd5308c (__TEXT,__text) non-external (was a private external) _deflateSetHeader
000000018bd531c8 (__TEXT,__text) non-external (was a private external) _deflateTune
000000018bdb1ba8 (__TEXT,__const) non-external (was a private external) _deflate_copyright
000000018bd5364c (__TEXT,__text) non-external _deflate_fast
000000018bd011f4 (__TEXT,__text) non-external _deflate_slow
000000018bd534a4 (__TEXT,__text) non-external _deflate_stored
                 (undefined) external _dispatch_apply (from libSystem)
000000018bd2d3a4 (__TEXT,__text) non-external _emitMatch
000000018bdb0c2c (__TEXT,__const) non-external _extra_blbits
000000018bdb0bb4 (__TEXT,__const) non-external _extra_dbits
000000018bdb0b40 (__TEXT,__const) non-external _extra_lbits
                 (undefined) external _fclose (from libSystem)
000000018bd01648 (__TEXT,__text) non-external _fill_window
000000018bd02fc8 (__TEXT,__text) non-external _flush_pending
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fwrite (from libSystem)
000000018bdb1854 (__TEXT,__const) non-external _getDSymbolFromValue.sym
000000018bd33d34 (__TEXT,__text) non-external _getDecoderTable
000000018bdb0de0 (__TEXT,__const) non-external _getLSymbolFromValue.sym
000000018bdb0f1c (__TEXT,__const) non-external _getMSymbolFromValue.sym
000000018bd4c380 (__TEXT,__text) non-external (was a private external) _get_crc_table
000000018bd27ff4 (__TEXT,__text) non-external (was a private external) _get_default_nthreads
000000018bd1f740 (__TEXT,__text) non-external (was a private external) _get_max_payload_size
000000018bd1f758 (__TEXT,__text) non-external (was a private external) _get_plane_max_rice_size
000000018bd1f76c (__TEXT,__text) non-external (was a private external) _get_pool_size
000000018bd27fa8 (__TEXT,__text) non-external (was a private external) _get_real_time
                 (undefined) external _gettimeofday (from libSystem)
000000018bd24d60 (__TEXT,__text) non-external _header_fetch_from_payload
000000018bd4dda4 (__TEXT,__text) non-external _init_block
000000018bd4dcec (__TEXT,__text) non-external _init_quantization_lut
000000018bd18fc8 (__TEXT,__text) non-external (was a private external) _join_thread
000000018bd72750 (__TEXT,__const) non-external (was a private external) _kBrotliBitMask
000000018bd53f10 (__TEXT,__const) non-external (was a private external) _kBrotliCopyBase
000000018bd53f70 (__TEXT,__const) non-external (was a private external) _kBrotliCopyExtra
00000001d493d2a0 (__DATA_CONST,__const) non-external _kBrotliDictionary
000000018bd54768 (__TEXT,__const) non-external _kBrotliDictionaryData
000000018bd53e50 (__TEXT,__const) non-external (was a private external) _kBrotliInsBase
000000018bd53eb0 (__TEXT,__const) non-external (was a private external) _kBrotliInsExtra
000000018bdb1bf0 (__TEXT,__const) non-external (was a private external) _kBrotliLog2Table
000000018bd74400 (__TEXT,__const) non-external (was a private external) _kBrotliShellGaps
00000001d493d488 (__DATA_CONST,__const) non-external _kBrotliTransforms
000000018bd54548 (__TEXT,__const) non-external _kCmdHistoSeed
000000018bd72852 (__TEXT,__const) non-external _kCmdLut
000000018bda5b14 (__TEXT,__const) non-external _kCodeLengthBits
000000018bd72820 (__TEXT,__const) non-external _kCodeLengthCodeOrder
000000018bda5b00 (__TEXT,__const) non-external _kCodeLengthDepth
000000018bd72832 (__TEXT,__const) non-external _kCodeLengthPrefixLength
000000018bd72842 (__TEXT,__const) non-external _kCodeLengthPrefixValue
000000018bd742b8 (__TEXT,__const) non-external (was a private external) _kDSymbolVBase
000000018bd74278 (__TEXT,__const) non-external (was a private external) _kDSymbolVBits
000000018bd746e4 (__TEXT,__const) non-external _kDistanceCacheIndex
000000018bd74724 (__TEXT,__const) non-external _kDistanceCacheOffset
000000018bd741c4 (__TEXT,__const) non-external (was a private external) _kLSymbolVBase
000000018bd741b0 (__TEXT,__const) non-external (was a private external) _kLSymbolVBits
000000018bd74228 (__TEXT,__const) non-external (was a private external) _kMSymbolVBase
000000018bd74214 (__TEXT,__const) non-external (was a private external) _kMSymbolVBits
000000018bda6660 (__TEXT,__const) non-external _kNonZeroRepsBits
000000018bda5b5c (__TEXT,__const) non-external _kNonZeroRepsDepth
000000018bda3740 (__TEXT,__const) non-external _kPrefixSuffix
000000018bda381a (__TEXT,__const) non-external _kPrefixSuffixMap
000000018bda7f20 (__TEXT,__const) non-external _kStaticCommandCodeBits
000000018bda7c60 (__TEXT,__const) non-external _kStaticCommandCodeDepth
000000018bd747dc (__TEXT,__const) non-external _kStaticDictionaryBuckets
000000018bdc23fe (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashLengths
000000018bdb23fe (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashWords
000000018bd847dc (__TEXT,__const) non-external _kStaticDictionaryWords
000000018bda84e0 (__TEXT,__const) non-external _kStaticDistanceCodeBits
000000018bda84a0 (__TEXT,__const) non-external _kStaticDistanceCodeDepth
000000018bda387e (__TEXT,__const) non-external _kTransformsData
000000018bda4500 (__TEXT,__const) non-external _kZeroRepsBits
000000018bda3a00 (__TEXT,__const) non-external _kZeroRepsDepth
                 (undefined) external _log2 (from libSystem)
000000018bd01898 (__TEXT,__text) non-external _longest_match
00000001d93d0804 (__DATA,__common) non-external (was a private external) _lut_ok
00000001d93d1c00 (__DATA,__common) non-external (was a private external) _lut_quantize
000000018bdad2f4 (__TEXT,__const) non-external (was a private external) _lut_rle
000000018bd2295c (__TEXT,__text) non-external (was a private external) _lz24_decode_buffer
000000018bd221f4 (__TEXT,__text) non-external (was a private external) _lz24_encode_buffer
000000018bd221e8 (__TEXT,__text) non-external (was a private external) _lz24_encode_scratch_buffer_size
000000018bd06ed0 (__TEXT,__text) non-external (was a private external) _lz4_decode
000000018bd06ac0 (__TEXT,__text) non-external (was a private external) _lz4_decode_asm
000000018bd068f4 (__TEXT,__text) non-external (was a private external) _lz4_decode_buffer
000000018bd13fd0 (__TEXT,__text) non-external (was a private external) _lz4_encode_2gb
000000018bd07d10 (__TEXT,__text) non-external (was a private external) _lz4_encode_buffer
000000018bd313f4 (__TEXT,__text) non-external (was a private external) _lz4_stream_end
000000018bd31470 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_decode_state_size
000000018bd31464 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_encode_state_size
000000018bd31458 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_state_size
000000018bd31424 (__TEXT,__text) non-external (was a private external) _lz4_stream_identify_algorithm
000000018bd30c8c (__TEXT,__text) non-external (was a private external) _lz4_stream_init
000000018bd30d54 (__TEXT,__text) non-external (was a private external) _lz4_stream_process
000000018bd22ce0 (__TEXT,__text) non-external (was a private external) _lz4raw_decode_buffer
000000018bd22be4 (__TEXT,__text) non-external (was a private external) _lz4raw_encode_buffer
