00000001e7e705e8 (__DATA,__data) non-external _.compoundliteral
00000001d7286a2c (__TEXT,__text) non-external (was a private external) _LookUpLocalSymbol
00000001d7286aa4 (__TEXT,__text) non-external (was a private external) _LookUpSymbol
00000001d7283818 (__TEXT,__text) non-external (was a private external) _MacroExpand
00000001d72873b0 (__TEXT,__text) non-external (was a private external) _MatchNextToken
00000001d7286884 (__TEXT,__text) non-external (was a private external) _NewScopeInPool
00000001d7286b00 (__TEXT,__text) non-external (was a private external) _NewTokenStream
00000001e4f83370 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBfp10
00000001e4f83010 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBvp10
00000001e4f83590 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp10
00000001e4f836d0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp20
00000001e4f831d0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp20
00000001e4f832d0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp30
00000001e4f837d0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_fpSpecial
00000001e4f83340 (__DATA_CONST,__const) non-external (was a private external) _OpsList_vpSpecial
00000001d71b8e44 (__TEXT,__text) external _PPParserAttachLLVMIR
00000001d71b8ba8 (__TEXT,__text) external _PPParserAttachStream
00000001d71b89f8 (__TEXT,__text) external _PPParserAttachString
00000001d71c13f4 (__TEXT,__text) external _PPParserBuildErrorString
00000001d71b890c (__TEXT,__text) external _PPParserCreate
00000001d71b9570 (__TEXT,__text) non-external (was a private external) _PPParserDeclareNVAddressRegisters
00000001d71c0174 (__TEXT,__text) non-external (was a private external) _PPParserExpandMacro
00000001d71b8acc (__TEXT,__text) external _PPParserFree
00000001d71b924c (__TEXT,__text) non-external (was a private external) _PPParserGetCharacter
00000001d71c23a8 (__TEXT,__text) external _PPParserGetErrorString
00000001d71c23b8 (__TEXT,__text) external _PPParserGetImageUnitsUsed
00000001d71b95c4 (__TEXT,__text) non-external (was a private external) _PPParserGetInteger
00000001d71c2384 (__TEXT,__text) external _PPParserGetLimits
00000001d71c23a0 (__TEXT,__text) external _PPParserGetOptions
00000001d71b9358 (__TEXT,__text) non-external (was a private external) _PPParserGetPart
00000001d71b9670 (__TEXT,__text) non-external (was a private external) _PPParserGetScalars
00000001d71c23b0 (__TEXT,__text) external _PPParserGetStream
00000001d71b77b4 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreate
00000001d71b77f4 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreateFromIdentifier
00000001d71b78bc (__TEXT,__text) non-external (was a private external) _PPParserIdentifierFree
00000001d71b7840 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierSetName
00000001d71c14f4 (__TEXT,__text) non-external _PPParserInherit
00000001d71b8980 (__TEXT,__text) external _PPParserInit
00000001d71c24d0 (__TEXT,__text) non-external _PPParserLabelsAddLabel
00000001d71b8b48 (__TEXT,__text) non-external _PPParserLabelsFree
00000001d71b73d4 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreate
00000001d71b73fc (__TEXT,__text) non-external (was a private external) _PPParserMacroCreateFromMacro
00000001d71b757c (__TEXT,__text) non-external (was a private external) _PPParserMacroFree
00000001d71b7664 (__TEXT,__text) non-external (was a private external) _PPParserMacroGetReplaceString
00000001d71b7508 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamString
00000001d71b74c8 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamStringsCount
00000001d71b75f8 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetSearchString
00000001d71c2464 (__TEXT,__text) non-external _PPParserOutputBindingsAddOutputBinding
00000001d71c0500 (__TEXT,__text) external _PPParserParse
00000001d71ba518 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDeclaration
00000001d71be160 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDestination
00000001d71bf4cc (__TEXT,__text) non-external (was a private external) _PPParserParseAddressSourceVar
00000001d71bffb0 (__TEXT,__text) non-external (was a private external) _PPParserParseAliasDeclaration
00000001d71b9f88 (__TEXT,__text) non-external (was a private external) _PPParserParseArray
00000001d71bc9a4 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeBinding
00000001d71bd41c (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeDeclaration
00000001d71b9e48 (__TEXT,__text) non-external (was a private external) _PPParserParseBlock
00000001d71be2d4 (__TEXT,__text) non-external (was a private external) _PPParserParseBranchCondition
00000001d71ba058 (__TEXT,__text) non-external (was a private external) _PPParserParseDefaultArray
00000001d71be65c (__TEXT,__text) non-external (was a private external) _PPParserParseDestination
00000001d71bdc30 (__TEXT,__text) non-external (was a private external) _PPParserParseDestinationMask
00000001d71c22dc (__TEXT,__text) non-external (was a private external) _PPParserParseEnd
00000001d71ba298 (__TEXT,__text) non-external (was a private external) _PPParserParseIndirectArray
00000001d71be00c (__TEXT,__text) non-external (was a private external) _PPParserParseLabel
00000001d71bfd18 (__TEXT,__text) non-external (was a private external) _PPParserParseMacroDeclaration
00000001d71bf594 (__TEXT,__text) non-external (was a private external) _PPParserParseOperation
00000001d71c164c (__TEXT,__text) non-external (was a private external) _PPParserParseOption
00000001d71b9788 (__TEXT,__text) non-external (was a private external) _PPParserParseOptionIdentifier
00000001d71bd55c (__TEXT,__text) non-external (was a private external) _PPParserParseOutputBinding
00000001d71bdb00 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputDeclaration
00000001d71bae54 (__TEXT,__text) non-external (was a private external) _PPParserParseParamBinding
00000001d71bc820 (__TEXT,__text) non-external (was a private external) _PPParserParseParameterDeclaration
00000001d71ba15c (__TEXT,__text) non-external (was a private external) _PPParserParseRangeArray
00000001d71bdde4 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceSwizzle
00000001d71be9ec (__TEXT,__text) non-external (was a private external) _PPParserParseSourceVar
00000001d71c1728 (__TEXT,__text) non-external (was a private external) _PPParserParseStatement
00000001d71beea8 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleCode
00000001d71bed14 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleSourceVar
00000001d71bac80 (__TEXT,__text) non-external (was a private external) _PPParserParseTempDeclaration
00000001d71bf1bc (__TEXT,__text) non-external (was a private external) _PPParserParseTextureSourceVar
00000001d71c1540 (__TEXT,__text) non-external (was a private external) _PPParserParseVersion
00000001d71b7af4 (__TEXT,__text) non-external (was a private external) _PPParserPreprocessString
00000001d71b92d8 (__TEXT,__text) non-external (was a private external) _PPParserReturnCharacter
00000001d71b94ec (__TEXT,__text) non-external (was a private external) _PPParserReturnPart
00000001d71b876c (__TEXT,__text) non-external (was a private external) _PPParserScopeAddIdentifier
00000001d71b78fc (__TEXT,__text) non-external (was a private external) _PPParserScopeCreate
00000001d71b86c4 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreateFromScope
00000001d71b887c (__TEXT,__text) non-external (was a private external) _PPParserScopeFindIdentifier
00000001d71b88c4 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindMacro
00000001d71b87c8 (__TEXT,__text) non-external (was a private external) _PPParserScopeFree
00000001d71c238c (__TEXT,__text) external _PPParserSetLimits
00000001d71c237c (__TEXT,__text) external _PPParserSetPrefs
00000001d71b8984 (__TEXT,__text) non-external (was a private external) _PPParserShutdown
00000001d71ba680 (__TEXT,__text) non-external _PPParserValidateName
00000001d72cb05c (__TEXT,__text) external _PPStreamAddAddressUsage
00000001d72cb1dc (__TEXT,__text) external _PPStreamAddAttribBinding
00000001d72cb76c (__TEXT,__text) external _PPStreamAddConstant
00000001d72cb664 (__TEXT,__text) external _PPStreamAddLabel
00000001d72cb35c (__TEXT,__text) external _PPStreamAddOperation
00000001d72cb884 (__TEXT,__text) external _PPStreamAddOption
00000001d72cb25c (__TEXT,__text) external _PPStreamAddOutputBinding
00000001d72cb0dc (__TEXT,__text) external _PPStreamAddParamBinding
00000001d72cb15c (__TEXT,__text) external _PPStreamAddParamBindingArray
00000001d72cb804 (__TEXT,__text) external _PPStreamAddRasterOp
00000001d72cad84 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs0
00000001d72cae00 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs1
00000001d72caf5c (__TEXT,__text) external _PPStreamAddTempUsage
00000001d72cafdc (__TEXT,__text) external _PPStreamAddTempUsageArray
00000001d72cb2dc (__TEXT,__text) external _PPStreamAddTexImage
00000001d72cc338 (__TEXT,__text) external _PPStreamAttachStream
00000001d72ca374 (__TEXT,__text) external _PPStreamAttribBindingIsEqual
00000001d72ccb9c (__TEXT,__text) non-external (was a private external) _PPStreamChangeBranchTargets
00000001d72ca494 (__TEXT,__text) non-external (was a private external) _PPStreamChunkCompare
00000001d72caf34 (__TEXT,__text) non-external _PPStreamChunkCreate
00000001d72ca39c (__TEXT,__text) non-external (was a private external) _PPStreamChunkGetStream
00000001d72ca70c (__TEXT,__text) external _PPStreamChunkListAddChunk
00000001d72caa58 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListChunkAtIndex
00000001d72cab10 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListCompare
00000001d72ca590 (__TEXT,__text) external _PPStreamChunkListCreate
00000001d72ca5b8 (__TEXT,__text) external _PPStreamChunkListCreateFromChunkList
00000001d72ca744 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListFree
00000001d72cab78 (__TEXT,__text) external _PPStreamChunkListGetNextIndex
00000001d72ca960 (__TEXT,__text) external _PPStreamChunkListGetStream
00000001d72ca810 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkAfterChunk
00000001d72ca7a4 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkBeforeChunk
00000001d72ca86c (__TEXT,__text) external _PPStreamChunkListRemoveChunk
00000001d72ca8c8 (__TEXT,__text) external _PPStreamChunkListSort
00000001d72cca70 (__TEXT,__text) external _PPStreamCompare
00000001d72caca8 (__TEXT,__text) external _PPStreamCreate
00000001d72cae88 (__TEXT,__text) external _PPStreamFree
00000001d72cb900 (__TEXT,__text) external _PPStreamGetStream
00000001d72cc308 (__TEXT,__text) external _PPStreamGetTexOperationCount
00000001d72cb560 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationAfterChunk
00000001d72cb444 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationBeforeChunk
00000001d72ca388 (__TEXT,__text) external _PPStreamOutputBindingIsEqual
00000001d72ccc58 (__TEXT,__text) non-external (was a private external) _PPStreamPackIndices
00000001d72ca360 (__TEXT,__text) external _PPStreamParamBindingIsEqual
00000001d72cb714 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveLabelsAtOperationIndex
00000001d72cd2a4 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveOperation
00000001d72cd184 (__TEXT,__text) non-external (was a private external) _PPStreamResolveBranches
00000001d71c3698 (__TEXT,__text) external _PPStreamTokenAddBlockInfo
00000001d71c426c (__TEXT,__text) external _PPStreamTokenAddRasterOps
00000001d72cc1fc (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRasterRequirements
00000001d72cbc4c (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRequirements
00000001d71c43f4 (__TEXT,__text) external _PPStreamTokenAddTexImages
00000001d71c435c (__TEXT,__text) external _PPStreamTokenAddTexUnitInfo
00000001d72cc2e4 (__TEXT,__text) external _PPStreamTokenAlloc
00000001d71c473c (__TEXT,__text) external _PPStreamTokenConvertAttribBindings
00000001d71c4b2c (__TEXT,__text) external _PPStreamTokenConvertOutputBindings
00000001d71c497c (__TEXT,__text) external _PPStreamTokenConvertParamBindings
00000001d71c4a70 (__TEXT,__text) external _PPStreamTokenConvertParamBindingsToGeneric
00000001d72cc304 (__TEXT,__text) external _PPStreamTokenFree
00000001d71c3658 (__TEXT,__text) external _PPStreamTokenGetProgramOptions
00000001d71c35f4 (__TEXT,__text) external _PPStreamTokenIsTrivialPassThrough
00000001d72fa168 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.ARBFP
00000001d72fa228 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL1
00000001d72fa2f8 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL2
00000001e4f83b98 (__DATA_CONST,__const) non-external _PPStreamTokenIsTrivialPassThrough.streams
00000001d71c4bf8 (__TEXT,__text) external _PPStreamTokenValidateOptions
00000001e4f848d0 (__DATA_CONST,__const) non-external _PROMOTIONS
00000001d72fb364 (__TEXT,__const) non-external _PROMOTIONS_110
00000001d72fb368 (__TEXT,__const) non-external _PROMOTIONS_120
00000001d72fb3a0 (__TEXT,__const) non-external _PROMOTIONS_400
00000001d72fb378 (__TEXT,__const) non-external _PROMOTIONS_FP64
00000001d72d5f74 (__TEXT,__text) non-external (was a private external) _ProgramFree
00000001d72d5eec (__TEXT,__text) non-external (was a private external) _ProgramNew
00000001d728746c (__TEXT,__text) non-external (was a private external) _ReadFromTokenStream
00000001d7286dc4 (__TEXT,__text) non-external (was a private external) _ReadToken
00000001d72dde9c (__TEXT,__text) non-external _RecordFunctionCall
00000001d7286c50 (__TEXT,__text) non-external (was a private external) _RecordToken
00000001d72d4a08 (__TEXT,__text) non-external (was a private external) _RegisterAdd
00000001d72d4948 (__TEXT,__text) non-external (was a private external) _RegisterCanMerge
00000001d72d31d0 (__TEXT,__text) non-external (was a private external) _RegisterVectorCanMerge
00000001d72d3144 (__TEXT,__text) non-external (was a private external) _RegisterVectorIsFixed
00000001d72d5598 (__TEXT,__text) non-external (was a private external) _Registerify
00000001d72d4634 (__TEXT,__text) non-external (was a private external) _RegistersCleanup
00000001d72d5734 (__TEXT,__text) non-external (was a private external) _RegistersFree
00000001d72d5538 (__TEXT,__text) non-external (was a private external) _RegistersInitialize
00000001d72d2ea0 (__TEXT,__text) non-external (was a private external) _RegistersMerge
00000001d72d3238 (__TEXT,__text) non-external (was a private external) _RegistersReInterfere
00000001d72d32c8 (__TEXT,__text) non-external (was a private external) _RegistersReplace
00000001d72da6c8 (__TEXT,__text) non-external (was a private external) _RepifyConstantLoopSimple
00000001d71c2420 (__TEXT,__text) non-external _ResizeGLDAttribBindings
00000001d71c2554 (__TEXT,__text) non-external _ResizeGLPContextStateBindings
00000001d7286db0 (__TEXT,__text) non-external (was a private external) _RewindTokenStream
00000001d7285b6c (__TEXT,__text) non-external (was a private external) _ScanFromIncludeString
00000001d7285d70 (__TEXT,__text) non-external (was a private external) _ScanFromSimpleString
00000001d72848fc (__TEXT,__text) non-external (was a private external) _ScanFromString
00000001d7285f68 (__TEXT,__text) non-external (was a private external) _ScanFromTokenPastedString
00000001d726a4bc (__TEXT,__text) non-external (was a private external) _SetAddressRegister
00000001d7277a50 (__TEXT,__text) external _ShAttributeBindingRequest
00000001d72779a0 (__TEXT,__text) external _ShCleanup
00000001d7277408 (__TEXT,__text) external _ShCompile
00000001d7277034 (__TEXT,__text) external _ShConstructCompiler
00000001d72770c0 (__TEXT,__text) external _ShConstructLinker
00000001d7277180 (__TEXT,__text) external _ShDestruct
00000001d7277400 (__TEXT,__text) external _ShFinalize
00000001d7278ac8 (__TEXT,__text) external _ShFragDataBindingRequest
00000001d7278250 (__TEXT,__text) external _ShGetActiveAttrib
00000001d7277f14 (__TEXT,__text) external _ShGetActiveBindableUniformBufferIndexOffsetFromLocation
00000001d7277efc (__TEXT,__text) external _ShGetActiveBindableUniformBufferSizeTable
00000001d7277ec0 (__TEXT,__text) external _ShGetActiveNonbindableUniformsSize
00000001d7279af8 (__TEXT,__text) external _ShGetActiveSamplerLocations
00000001d727a0b8 (__TEXT,__text) external _ShGetActiveSubroutineName
00000001d727a010 (__TEXT,__text) external _ShGetActiveSubroutineUniformName
00000001d7279eb8 (__TEXT,__text) external _ShGetActiveSubroutineUniformiv
00000001d727995c (__TEXT,__text) external _ShGetActiveUniform
00000001d7279240 (__TEXT,__text) external _ShGetActiveUniformBlockName
00000001d7278fac (__TEXT,__text) external _ShGetActiveUniformBlockiv
00000001d7279468 (__TEXT,__text) external _ShGetActiveUniformIndex
00000001d72796a8 (__TEXT,__text) external _ShGetActiveUniformName
00000001d72783d0 (__TEXT,__text) external _ShGetAttribLocation
00000001d7278154 (__TEXT,__text) external _ShGetBindableUniformTypeInfo
00000001d727a15c (__TEXT,__text) external _ShGetCachedUniformIndexTable
00000001d727a174 (__TEXT,__text) external _ShGetCachedUniformIndexTableSize
00000001d7278480 (__TEXT,__text) external _ShGetContextStateUniforms
00000001d7278c5c (__TEXT,__text) external _ShGetFragDataLocation
00000001d72779b0 (__TEXT,__text) external _ShGetInfoLog
00000001d727a18c (__TEXT,__text) external _ShGetInteger
00000001d727874c (__TEXT,__text) external _ShGetLinkerPPStream
00000001d7279bf0 (__TEXT,__text) external _ShGetMaxActiveSubroutineLength
00000001d7279c54 (__TEXT,__text) external _ShGetMaxActiveSubroutineUniformLength
00000001d7278e6c (__TEXT,__text) external _ShGetMaxActiveUniformBlockLength
00000001d7279870 (__TEXT,__text) external _ShGetMaxActiveUniformLength
00000001d72781cc (__TEXT,__text) external _ShGetMaxAttributeLength
00000001d72789c0 (__TEXT,__text) external _ShGetMaxTransformFeedbackVaryingLength
00000001d7277be0 (__TEXT,__text) external _ShGetNumActiveAttributes
00000001d72793e4 (__TEXT,__text) non-external _ShGetNumActiveNonbindableUniforms
00000001d7279be0 (__TEXT,__text) external _ShGetNumActiveSubroutineUniformLocations
00000001d7279b5c (__TEXT,__text) external _ShGetNumActiveSubroutineUniforms
00000001d7279b38 (__TEXT,__text) external _ShGetNumActiveSubroutines
00000001d7278db8 (__TEXT,__text) external _ShGetNumActiveUniformBlocks
00000001d7279794 (__TEXT,__text) external _ShGetNumActiveUniforms
00000001d7278ab8 (__TEXT,__text) external _ShGetNumActiveVaryingsComponents
00000001d7277ed8 (__TEXT,__text) external _ShGetNumBindableUniformBuffers
00000001d727872c (__TEXT,__text) external _ShGetPPStreamManager
00000001d727873c (__TEXT,__text) external _ShGetShaderByteCode
00000001d7279e08 (__TEXT,__text) external _ShGetSubroutineIndex
