00007ffa42ae00c0 (__DATA,__data) non-external _.compoundliteral
00007ffa17fb5e2a (__TEXT,__text) non-external _PPParserOutputBindingsAddOutputBinding
00007ffa17fb3d1f (__TEXT,__text) external _PPParserParse
00007ffa17fad72c (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDeclaration
00007ffa17fb189a (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDestination
00007ffa17fb2bab (__TEXT,__text) non-external (was a private external) _PPParserParseAddressSourceVar
00007ffa17fb377b (__TEXT,__text) non-external (was a private external) _PPParserParseAliasDeclaration
00007ffa17fad1d8 (__TEXT,__text) non-external (was a private external) _PPParserParseArray
00007ffa17fafffa (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeBinding
00007ffa17fb0b39 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeDeclaration
00007ffa17fad0af (__TEXT,__text) non-external (was a private external) _PPParserParseBlock
00007ffa17fb1a0b (__TEXT,__text) non-external (was a private external) _PPParserParseBranchCondition
00007ffa17fad28f (__TEXT,__text) non-external (was a private external) _PPParserParseDefaultArray
00007ffa17fb1d70 (__TEXT,__text) non-external (was a private external) _PPParserParseDestination
00007ffa17fb13c8 (__TEXT,__text) non-external (was a private external) _PPParserParseDestinationMask
00007ffa17fb5cb4 (__TEXT,__text) non-external (was a private external) _PPParserParseEnd
00007ffa17fad492 (__TEXT,__text) non-external (was a private external) _PPParserParseIndirectArray
00007ffa17fb1736 (__TEXT,__text) non-external (was a private external) _PPParserParseLabel
00007ffa17fb3498 (__TEXT,__text) non-external (was a private external) _PPParserParseMacroDeclaration
00007ffa17fb2c53 (__TEXT,__text) non-external (was a private external) _PPParserParseOperation
00007ffa17fb5160 (__TEXT,__text) non-external (was a private external) _PPParserParseOption
00007ffa17facb08 (__TEXT,__text) non-external (was a private external) _PPParserParseOptionIdentifier
00007ffa17fb0c7c (__TEXT,__text) non-external (was a private external) _PPParserParseOutputBinding
00007ffa17fb1298 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputDeclaration
00007ffa17fae006 (__TEXT,__text) non-external (was a private external) _PPParserParseParamBinding
00007ffa17fafe70 (__TEXT,__text) non-external (was a private external) _PPParserParseParameterDeclaration
00007ffa17fad375 (__TEXT,__text) non-external (was a private external) _PPParserParseRangeArray
00007ffa17fb155c (__TEXT,__text) non-external (was a private external) _PPParserParseSourceSwizzle
00007ffa17fb2139 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceVar
00007ffa17fb521d (__TEXT,__text) non-external (was a private external) _PPParserParseStatement
00007ffa17fb25ea (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleCode
00007ffa17fb2497 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleSourceVar
00007ffa17fade08 (__TEXT,__text) non-external (was a private external) _PPParserParseTempDeclaration
00007ffa17fb2898 (__TEXT,__text) non-external (was a private external) _PPParserParseTextureSourceVar
00007ffa17fb5084 (__TEXT,__text) non-external (was a private external) _PPParserParseVersion
00007ffa17fab234 (__TEXT,__text) non-external (was a private external) _PPParserPreprocessString
00007ffa17fac6b7 (__TEXT,__text) non-external (was a private external) _PPParserReturnCharacter
00007ffa17fac8b9 (__TEXT,__text) non-external (was a private external) _PPParserReturnPart
00007ffa17fabcb3 (__TEXT,__text) non-external (was a private external) _PPParserScopeAddIdentifier
00007ffa17faafef (__TEXT,__text) non-external (was a private external) _PPParserScopeCreate
00007ffa17fabc1a (__TEXT,__text) non-external (was a private external) _PPParserScopeCreateFromScope
00007ffa17fabd9c (__TEXT,__text) non-external (was a private external) _PPParserScopeFindIdentifier
00007ffa17fabdd5 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindMacro
00007ffa17fabcfe (__TEXT,__text) non-external (was a private external) _PPParserScopeFree
00007ffa17fb5d4f (__TEXT,__text) external _PPParserSetLimits
00007ffa17fb5d35 (__TEXT,__text) external _PPParserSetPrefs
00007ffa17fabe8b (__TEXT,__text) non-external (was a private external) _PPParserShutdown
00007ffa17fad884 (__TEXT,__text) non-external _PPParserValidateName
00007ffa180dcd50 (__TEXT,__text) external _PPStreamAddAddressUsage
00007ffa180dce8b (__TEXT,__text) external _PPStreamAddAttribBinding
00007ffa180dd393 (__TEXT,__text) external _PPStreamAddConstant
00007ffa180dd2bf (__TEXT,__text) external _PPStreamAddLabel
00007ffa180dcfc9 (__TEXT,__text) external _PPStreamAddOperation
00007ffa180dd48c (__TEXT,__text) external _PPStreamAddOption
00007ffa180dcef5 (__TEXT,__text) external _PPStreamAddOutputBinding
00007ffa180dcdb8 (__TEXT,__text) external _PPStreamAddParamBinding
00007ffa180dce22 (__TEXT,__text) external _PPStreamAddParamBindingArray
00007ffa180dd423 (__TEXT,__text) external _PPStreamAddRasterOp
00007ffa180dcaec (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs0
00007ffa180dcb55 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs1
00007ffa180dcc7d (__TEXT,__text) external _PPStreamAddTempUsage
00007ffa180dcce7 (__TEXT,__text) external _PPStreamAddTempUsageArray
00007ffa180dcf5f (__TEXT,__text) external _PPStreamAddTexImage
00007ffa180de005 (__TEXT,__text) external _PPStreamAttachStream
00007ffa180dc245 (__TEXT,__text) external _PPStreamAttribBindingIsEqual
00007ffa180de81d (__TEXT,__text) non-external (was a private external) _PPStreamChangeBranchTargets
00007ffa180dc32c (__TEXT,__text) non-external (was a private external) _PPStreamChunkCompare
00007ffa180dcc5f (__TEXT,__text) non-external _PPStreamChunkCreate
00007ffa180dc267 (__TEXT,__text) non-external (was a private external) _PPStreamChunkGetStream
00007ffa180dc534 (__TEXT,__text) external _PPStreamChunkListAddChunk
00007ffa180dc814 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListChunkAtIndex
00007ffa180dc8a8 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListCompare
00007ffa180dc3f0 (__TEXT,__text) external _PPStreamChunkListCreate
00007ffa180dc40f (__TEXT,__text) external _PPStreamChunkListCreateFromChunkList
00007ffa180dc569 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListFree
00007ffa180dc8fc (__TEXT,__text) external _PPStreamChunkListGetNextIndex
00007ffa180dc722 (__TEXT,__text) external _PPStreamChunkListGetStream
00007ffa180dc605 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkAfterChunk
00007ffa180dc5a5 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkBeforeChunk
00007ffa180dc656 (__TEXT,__text) external _PPStreamChunkListRemoveChunk
00007ffa180dc698 (__TEXT,__text) external _PPStreamChunkListSort
00007ffa180de6cc (__TEXT,__text) external _PPStreamCompare
00007ffa180dca00 (__TEXT,__text) external _PPStreamCreate
00007ffa180dcbbe (__TEXT,__text) external _PPStreamFree
00007ffa180dd4f2 (__TEXT,__text) external _PPStreamGetStream
00007ffa180ddfe3 (__TEXT,__text) external _PPStreamGetTexOperationCount
00007ffa180dd1c5 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationAfterChunk
00007ffa180dd0a7 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationBeforeChunk
00007ffa180dc256 (__TEXT,__text) external _PPStreamOutputBindingIsEqual
00007ffa180de8cb (__TEXT,__text) non-external (was a private external) _PPStreamPackIndices
00007ffa180dc234 (__TEXT,__text) external _PPStreamParamBindingIsEqual
00007ffa180dd353 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveLabelsAtOperationIndex
00007ffa180def78 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveOperation
00007ffa180dee5c (__TEXT,__text) non-external (was a private external) _PPStreamResolveBranches
00007ffa17fb74dd (__TEXT,__text) external _PPStreamTokenAddBlockInfo
00007ffa17fb81d4 (__TEXT,__text) external _PPStreamTokenAddRasterOps
00007ffa180ddeb4 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRasterRequirements
00007ffa180dd819 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRequirements
00007ffa17fb836b (__TEXT,__text) external _PPStreamTokenAddTexImages
00007ffa17fb82e7 (__TEXT,__text) external _PPStreamTokenAddTexUnitInfo
00007ffa180ddfc4 (__TEXT,__text) external _PPStreamTokenAlloc
00007ffa17fb86e3 (__TEXT,__text) external _PPStreamTokenConvertAttribBindings
00007ffa17fb8a8a (__TEXT,__text) external _PPStreamTokenConvertOutputBindings
00007ffa17fb88e7 (__TEXT,__text) external _PPStreamTokenConvertParamBindings
00007ffa17fb89d4 (__TEXT,__text) external _PPStreamTokenConvertParamBindingsToGeneric
00007ffa180ddfd9 (__TEXT,__text) external _PPStreamTokenFree
00007ffa17fb74b1 (__TEXT,__text) external _PPStreamTokenGetProgramOptions
00007ffa17fb7460 (__TEXT,__text) external _PPStreamTokenIsTrivialPassThrough
00007ffa181109b0 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.ARBFP
00007ffa18110a70 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL1
00007ffa18110b40 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL2
00007ffa419e7710 (__DATA_CONST,__const) non-external _PPStreamTokenIsTrivialPassThrough.streams
00007ffa17fb8b22 (__TEXT,__text) external _PPStreamTokenValidateOptions
00007ffa419e7bc0 (__DATA_CONST,__const) non-external _PROMOTIONS
00007ffa18112930 (__TEXT,__const) non-external _PROMOTIONS_110
00007ffa18112940 (__TEXT,__const) non-external _PROMOTIONS_120
00007ffa18112980 (__TEXT,__const) non-external _PROMOTIONS_400
00007ffa18112950 (__TEXT,__const) non-external _PROMOTIONS_FP64
00007ffa180e7af4 (__TEXT,__text) non-external (was a private external) _ProgramFree
00007ffa180e7a67 (__TEXT,__text) non-external (was a private external) _ProgramNew
00007ffa18099f71 (__TEXT,__text) non-external (was a private external) _ReadFromTokenStream
00007ffa18099918 (__TEXT,__text) non-external (was a private external) _ReadToken
00007ffa180f0d33 (__TEXT,__text) non-external _RecordFunctionCall
00007ffa180997e3 (__TEXT,__text) non-external (was a private external) _RecordToken
00007ffa180e664f (__TEXT,__text) non-external (was a private external) _RegisterAdd
00007ffa180e65df (__TEXT,__text) non-external (was a private external) _RegisterCanMerge
00007ffa180e4b24 (__TEXT,__text) non-external (was a private external) _RegisterVectorCanMerge
00007ffa180e4abf (__TEXT,__text) non-external (was a private external) _RegisterVectorIsFixed
00007ffa180e7211 (__TEXT,__text) non-external (was a private external) _Registerify
00007ffa180e6200 (__TEXT,__text) non-external (was a private external) _RegistersCleanup
00007ffa180e73a8 (__TEXT,__text) non-external (was a private external) _RegistersFree
00007ffa180e71c3 (__TEXT,__text) non-external (was a private external) _RegistersInitialize
00007ffa180e481b (__TEXT,__text) non-external (was a private external) _RegistersMerge
00007ffa180e4b88 (__TEXT,__text) non-external (was a private external) _RegistersReInterfere
00007ffa180e4c04 (__TEXT,__text) non-external (was a private external) _RegistersReplace
00007ffa180ecdc1 (__TEXT,__text) non-external (was a private external) _RepifyConstantLoopSimple
00007ffa17fb5df8 (__TEXT,__text) non-external _ResizeGLDAttribBindings
00007ffa17fb5eee (__TEXT,__text) non-external _ResizeGLPContextStateBindings
00007ffa180998fe (__TEXT,__text) non-external (was a private external) _RewindTokenStream
00007ffa18098934 (__TEXT,__text) non-external (was a private external) _ScanFromIncludeString
00007ffa18098ad0 (__TEXT,__text) non-external (was a private external) _ScanFromSimpleString
00007ffa180977b8 (__TEXT,__text) non-external (was a private external) _ScanFromString
00007ffa18098c59 (__TEXT,__text) non-external (was a private external) _ScanFromTokenPastedString
00007ffa1807da37 (__TEXT,__text) non-external (was a private external) _SetAddressRegister
00007ffa1808b430 (__TEXT,__text) external _ShAttributeBindingRequest
00007ffa1808b39b (__TEXT,__text) external _ShCleanup
00007ffa1808ade2 (__TEXT,__text) external _ShCompile
00007ffa1808aa1f (__TEXT,__text) external _ShConstructCompiler
00007ffa1808aaa4 (__TEXT,__text) external _ShConstructLinker
00007ffa1808ab65 (__TEXT,__text) external _ShDestruct
00007ffa1808add7 (__TEXT,__text) external _ShFinalize
00007ffa1808c3d0 (__TEXT,__text) external _ShFragDataBindingRequest
00007ffa1808bbf8 (__TEXT,__text) external _ShGetActiveAttrib
00007ffa1808b8f4 (__TEXT,__text) external _ShGetActiveBindableUniformBufferIndexOffsetFromLocation
00007ffa1808b8df (__TEXT,__text) external _ShGetActiveBindableUniformBufferSizeTable
00007ffa1808b8b0 (__TEXT,__text) external _ShGetActiveNonbindableUniformsSize
00007ffa1808d577 (__TEXT,__text) external _ShGetActiveSamplerLocations
00007ffa1808dae1 (__TEXT,__text) external _ShGetActiveSubroutineName
00007ffa1808da2f (__TEXT,__text) external _ShGetActiveSubroutineUniformName
00007ffa1808d90b (__TEXT,__text) external _ShGetActiveSubroutineUniformiv
00007ffa1808d3a3 (__TEXT,__text) external _ShGetActiveUniform
00007ffa1808cc07 (__TEXT,__text) external _ShGetActiveUniformBlockName
00007ffa1808c8a9 (__TEXT,__text) external _ShGetActiveUniformBlockiv
00007ffa1808ce65 (__TEXT,__text) external _ShGetActiveUniformIndex
00007ffa1808d074 (__TEXT,__text) external _ShGetActiveUniformName
00007ffa1808bd57 (__TEXT,__text) external _ShGetAttribLocation
00007ffa1808bae9 (__TEXT,__text) external _ShGetBindableUniformTypeInfo
00007ffa1808db58 (__TEXT,__text) external _ShGetCachedUniformIndexTable
00007ffa1808db6d (__TEXT,__text) external _ShGetCachedUniformIndexTableSize
00007ffa1808bde5 (__TEXT,__text) external _ShGetContextStateUniforms
00007ffa1808c53f (__TEXT,__text) external _ShGetFragDataLocation
00007ffa1808b3b0 (__TEXT,__text) external _ShGetInfoLog
00007ffa1808db81 (__TEXT,__text) external _ShGetInteger
00007ffa1808c074 (__TEXT,__text) external _ShGetLinkerPPStream
00007ffa1808d686 (__TEXT,__text) external _ShGetMaxActiveSubroutineLength
00007ffa1808d6d4 (__TEXT,__text) external _ShGetMaxActiveSubroutineUniformLength
00007ffa1808c73a (__TEXT,__text) external _ShGetMaxActiveUniformBlockLength
00007ffa1808d277 (__TEXT,__text) external _ShGetMaxActiveUniformLength
00007ffa1808bb4c (__TEXT,__text) external _ShGetMaxAttributeLength
00007ffa1808c2de (__TEXT,__text) external _ShGetMaxTransformFeedbackVaryingLength
