                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSGetEnviron (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) weak external ___darwin_check_fd_set_overflow (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcpy_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
                 (undefined) external __exit (from libSystem)
                 (undefined) external _accept (from libSystem)
                 (undefined) external _access (from libSystem)
00007ffb1fa3a642 (__TEXT,__text) external _apr__SHA256_Data
00007ffb1fa2dedc (__TEXT,__text) external _apr_atomic_inc32
00007ffb1fa2deaf (__TEXT,__text) external _apr_atomic_init
00007ffb1fa2deb7 (__TEXT,__text) external _apr_atomic_read32
00007ffb1fa2debf (__TEXT,__text) external _apr_atomic_set32
00007ffb1fa2ded3 (__TEXT,__text) external _apr_atomic_sub32
00007ffb1fa2df08 (__TEXT,__text) external _apr_atomic_xchg32
00007ffb1fa2df23 (__TEXT,__text) external _apr_atomic_xchgptr
00007ffb1fa2738b (__TEXT,__text) external _apr_collapse_spaces
00007ffb1fa270a2 (__TEXT,__text) external _apr_cpystrn
00007ffb1fa3a6c9 (__TEXT,__text) external _apr_crypto_sha256_new
00007ffb1fa3c54e (__TEXT,__text) external _apr_ctime
00007ffb1fa3dbb0 (__TEXT,__const) external _apr_day_snames
00007ffb1fa2e3e6 (__TEXT,__text) external _apr_dir_close
00007ffb1fa2e5f3 (__TEXT,__text) external _apr_dir_make
00007ffb1fa2e624 (__TEXT,__text) external _apr_dir_make_recursive
00007ffb1fa312e1 (__TEXT,__text) external _apr_dir_open
00007ffb1fa2e345 (__TEXT,__text) external _apr_dir_open$INODE64
00007ffb1fa31382 (__TEXT,__text) external _apr_dir_read
00007ffb1fa2e41c (__TEXT,__text) external _apr_dir_read$INODE64
00007ffb1fa2e6ef (__TEXT,__text) external _apr_dir_remove
00007ffb1fa31541 (__TEXT,__text) external _apr_dir_rewind
00007ffb1fa2e5e2 (__TEXT,__text) external _apr_dir_rewind$INODE64
00007ffb1fa2e09e (__TEXT,__text) external _apr_dso_error
00007ffb1fa2df89 (__TEXT,__text) external _apr_dso_load
00007ffb1fa2e066 (__TEXT,__text) external _apr_dso_sym
00007ffb1fa2e04f (__TEXT,__text) external _apr_dso_unload
00007ffb1fa33d84 (__TEXT,__text) external _apr_env_delete
00007ffb1fa33d45 (__TEXT,__text) external _apr_env_get
00007ffb1fa33d6e (__TEXT,__text) external _apr_env_set
00007ffb1fa26a7f (__TEXT,__text) external _apr_escape_echo
00007ffb1fa26400 (__TEXT,__text) external _apr_escape_entity
00007ffb1fa26ce8 (__TEXT,__text) external _apr_escape_hex
00007ffb1fa26078 (__TEXT,__text) external _apr_escape_path
00007ffb1fa25efe (__TEXT,__text) external _apr_escape_path_segment
00007ffb1fa2599c (__TEXT,__text) external _apr_escape_shell
00007ffb1fa26267 (__TEXT,__text) external _apr_escape_urlencoded
00007ffb1fa2e313 (__TEXT,__text) external _apr_file_append
00007ffb1fa2f3a6 (__TEXT,__text) external _apr_file_attrs_set
00007ffb1fa2e0cf (__TEXT,__text) external _apr_file_buffer_set
00007ffb1fa2e158 (__TEXT,__text) external _apr_file_buffer_size_get
00007ffb1fa2fcd0 (__TEXT,__text) external _apr_file_close
00007ffb1fa2e162 (__TEXT,__text) external _apr_file_copy
00007ffb1fa2e875 (__TEXT,__text) external _apr_file_data_get
00007ffb1fa2e882 (__TEXT,__text) external _apr_file_data_set
00007ffb1fa30c13 (__TEXT,__text) external _apr_file_datasync
00007ffb1fa2e89b (__TEXT,__text) external _apr_file_dup
00007ffb1fa2ea4a (__TEXT,__text) external _apr_file_dup2
00007ffb1fa2fdef (__TEXT,__text) external _apr_file_eof
00007ffb1fa2e783 (__TEXT,__text) external _apr_file_flags_get
00007ffb1fa30b71 (__TEXT,__text) external _apr_file_flush
00007ffb1fa30926 (__TEXT,__text) external _apr_file_flush_locked
00007ffb1fa30b24 (__TEXT,__text) external _apr_file_getc
00007ffb1fa30c71 (__TEXT,__text) external _apr_file_gets
00007ffb1fa3165b (__TEXT,__text) external _apr_file_info_get
00007ffb1fa2f2f1 (__TEXT,__text) external _apr_file_info_get$INODE64
00007ffb1fa31552 (__TEXT,__text) external _apr_file_info_get_locked
00007ffb1fa2f1d9 (__TEXT,__text) external _apr_file_info_get_locked$INODE64
00007ffb1fa2ffbf (__TEXT,__text) external _apr_file_inherit_set
00007ffb1fa3003d (__TEXT,__text) external _apr_file_inherit_unset
00007ffb1fa300c4 (__TEXT,__text) external _apr_file_link
00007ffb1fa2f57e (__TEXT,__text) external _apr_file_lock
00007ffb1fa2f8ed (__TEXT,__text) external _apr_file_mktemp
00007ffb1fa2f4b1 (__TEXT,__text) external _apr_file_mtime_set
00007ffb1fa2e774 (__TEXT,__text) external _apr_file_name_get
00007ffb1fa304da (__TEXT,__text) external _apr_file_namedpipe_create
00007ffb1fa2fa69 (__TEXT,__text) external _apr_file_open
00007ffb1fa2fe03 (__TEXT,__text) external _apr_file_open_flags_stderr
00007ffb1fa2fe4d (__TEXT,__text) external _apr_file_open_flags_stdin
00007ffb1fa2fe28 (__TEXT,__text) external _apr_file_open_flags_stdout
00007ffb1fa2fe72 (__TEXT,__text) external _apr_file_open_stderr
00007ffb1fa2ff50 (__TEXT,__text) external _apr_file_open_stdin
00007ffb1fa2fee1 (__TEXT,__text) external _apr_file_open_stdout
00007ffb1fa2f374 (__TEXT,__text) external _apr_file_perms_set
00007ffb1fa30304 (__TEXT,__text) external _apr_file_pipe_create
00007ffb1fa30482 (__TEXT,__text) external _apr_file_pipe_create_ex
00007ffb1fa3018e (__TEXT,__text) external _apr_file_pipe_timeout_get
00007ffb1fa300df (__TEXT,__text) external _apr_file_pipe_timeout_set
00007ffb1fa300bb (__TEXT,__text) external _apr_file_pool_get
00007ffb1fa30ddc (__TEXT,__text) external _apr_file_printf
00007ffb1fa30aea (__TEXT,__text) external _apr_file_putc
00007ffb1fa30b4b (__TEXT,__text) external _apr_file_puts
00007ffb1fa3050c (__TEXT,__text) external _apr_file_read
00007ffb1fa2f68d (__TEXT,__text) external _apr_file_read_full
00007ffb1fa2fce7 (__TEXT,__text) external _apr_file_remove
00007ffb1fa2fd01 (__TEXT,__text) external _apr_file_rename
00007ffb1fa30f3c (__TEXT,__text) external _apr_file_seek
00007ffb1fa2ea6c (__TEXT,__text) external _apr_file_setaside
00007ffb1fa30bb5 (__TEXT,__text) external _apr_file_sync
00007ffb1fa310b3 (__TEXT,__text) external _apr_file_trunc
00007ffb1fa30b15 (__TEXT,__text) external _apr_file_ungetc
00007ffb1fa2f61e (__TEXT,__text) external _apr_file_unlock
00007ffb1fa3077e (__TEXT,__text) external _apr_file_write
00007ffb1fa2f6f2 (__TEXT,__text) external _apr_file_write_full
00007ffb1fa30a25 (__TEXT,__text) external _apr_file_writev
00007ffb1fa2f757 (__TEXT,__text) external _apr_file_writev_full
00007ffb1fa2efde (__TEXT,__text) external _apr_filepath_encoding
00007ffb1fa2eb63 (__TEXT,__text) external _apr_filepath_get
00007ffb1fa2efcc (__TEXT,__text) external _apr_filepath_list_merge
00007ffb1fa2f0a4 (__TEXT,__text) external _apr_filepath_list_merge_impl
00007ffb1fa2efba (__TEXT,__text) external _apr_filepath_list_split
00007ffb1fa2efec (__TEXT,__text) external _apr_filepath_list_split_impl
00007ffb1fa2ec4a (__TEXT,__text) external _apr_filepath_merge
00007ffb1fa27363 (__TEXT,__text) external _apr_filepath_name_get
00007ffb1fa2ec05 (__TEXT,__text) external _apr_filepath_root
00007ffb1fa2ebeb (__TEXT,__text) external _apr_filepath_set
00007ffb1fa273fe (__TEXT,__text) external _apr_fnmatch
00007ffb1fa27beb (__TEXT,__text) external _apr_fnmatch_test
00007ffb1fa34be9 (__TEXT,__text) external _apr_generate_random_bytes
00007ffb1fa37e10 (__TEXT,__text) external _apr_gethostname
00007ffb1fa363f5 (__TEXT,__text) external _apr_getnameinfo
00007ffb1fa3422c (__TEXT,__text) external _apr_getopt
00007ffb1fa34158 (__TEXT,__text) external _apr_getopt_init
00007ffb1fa34405 (__TEXT,__text) external _apr_getopt_long
00007ffb1fa36517 (__TEXT,__text) external _apr_getservbyname
00007ffb1fa3c80c (__TEXT,__text) external _apr_gid_get
00007ffb1fa3c77f (__TEXT,__text) external _apr_gid_name_get
00007ffb1fa31843 (__TEXT,__text) external _apr_global_mutex_child_init
00007ffb1fa31756 (__TEXT,__text) external _apr_global_mutex_create
00007ffb1fa31931 (__TEXT,__text) external _apr_global_mutex_destroy
00007ffb1fa31854 (__TEXT,__text) external _apr_global_mutex_lock
00007ffb1fa31948 (__TEXT,__text) external _apr_global_mutex_lockfile
00007ffb1fa31956 (__TEXT,__text) external _apr_global_mutex_name
00007ffb1fa31964 (__TEXT,__text) external _apr_global_mutex_pool_get
00007ffb1fa3189a (__TEXT,__text) external _apr_global_mutex_trylock
00007ffb1fa318e0 (__TEXT,__text) external _apr_global_mutex_unlock
00007ffb1fa2b2e4 (__TEXT,__text) external _apr_hash_clear
00007ffb1fa2b020 (__TEXT,__text) external _apr_hash_copy
00007ffb1fa2b2db (__TEXT,__text) external _apr_hash_count
00007ffb1fa2b5c9 (__TEXT,__text) external _apr_hash_do
00007ffb1fa2af21 (__TEXT,__text) external _apr_hash_first
00007ffb1fa2b0fd (__TEXT,__text) external _apr_hash_get
00007ffb1fa2ae15 (__TEXT,__text) external _apr_hash_make
00007ffb1fa2aec0 (__TEXT,__text) external _apr_hash_make_custom
00007ffb1fa2b34d (__TEXT,__text) external _apr_hash_merge
00007ffb1fa2aed9 (__TEXT,__text) external _apr_hash_next
00007ffb1fa2b33e (__TEXT,__text) external _apr_hash_overlay
00007ffb1fa2b670 (__TEXT,__text) external _apr_hash_pool_get
00007ffb1fa2b211 (__TEXT,__text) external _apr_hash_set
00007ffb1fa2af5e (__TEXT,__text) external _apr_hash_this
00007ffb1fa2af94 (__TEXT,__text) external _apr_hash_this_key
00007ffb1fa2afa2 (__TEXT,__text) external _apr_hash_this_key_len
00007ffb1fa2afb0 (__TEXT,__text) external _apr_hash_this_val
00007ffb1fa2afbe (__TEXT,__text) external _apr_hashfunc_default
00007ffb1fa34f50 (__TEXT,__text) external _apr_inet_ntop
00007ffb1fa3524c (__TEXT,__text) external _apr_inet_pton
00007ffb1fa34c98 (__TEXT,__text) external _apr_initialize
00007ffb1fa36694 (__TEXT,__text) external _apr_ipsubnet_create
00007ffb1fa369b9 (__TEXT,__text) external _apr_ipsubnet_test
00007ffb1fa2c3b6 (__TEXT,__text) external _apr_is_empty_array
00007ffb1fa2c833 (__TEXT,__text) external _apr_is_empty_table
00007ffb1fa2a8b7 (__TEXT,__text) external _apr_itoa
00007ffb1fa2a91e (__TEXT,__text) external _apr_ltoa
00007ffb1fa27c42 (__TEXT,__text) external _apr_match_glob
00007ffb1fa35696 (__TEXT,__text) external _apr_mcast_hops
00007ffb1fa35737 (__TEXT,__text) external _apr_mcast_interface
00007ffb1fa3559a (__TEXT,__text) external _apr_mcast_join
00007ffb1fa3567b (__TEXT,__text) external _apr_mcast_leave
00007ffb1fa35723 (__TEXT,__text) external _apr_mcast_loopback
00007ffb1fa34d67 (__TEXT,__text) external _apr_mmap_create
00007ffb1fa34f39 (__TEXT,__text) external _apr_mmap_delete
00007ffb1fa34ec9 (__TEXT,__text) external _apr_mmap_dup
00007ffb1fa34d48 (__TEXT,__text) external _apr_mmap_offset
00007ffb1fa3db80 (__TEXT,__const) external _apr_month_snames
00007ffb1fa2a999 (__TEXT,__text) external _apr_off_t_toa
00007ffb1fa33cff (__TEXT,__text) external _apr_os_default_encoding
00007ffb1fa2e709 (__TEXT,__text) external _apr_os_dir_get
00007ffb1fa2e723 (__TEXT,__text) external _apr_os_dir_put
00007ffb1fa2df7a (__TEXT,__text) external _apr_os_dso_handle_get
00007ffb1fa2df32 (__TEXT,__text) external _apr_os_dso_handle_put
00007ffb1fa3c2ab (__TEXT,__text) external _apr_os_exp_time_get
00007ffb1fa3c2ef (__TEXT,__text) external _apr_os_exp_time_put
00007ffb1fa2fd1b (__TEXT,__text) external _apr_os_file_get
00007ffb1fa2fd28 (__TEXT,__text) external _apr_os_file_put
00007ffb1fa31913 (__TEXT,__text) external _apr_os_global_mutex_get
00007ffb1fa3c271 (__TEXT,__text) external _apr_os_imp_time_get
00007ffb1fa3c2d3 (__TEXT,__text) external _apr_os_imp_time_put
00007ffb1fa33d0c (__TEXT,__text) external _apr_os_locale_encoding
00007ffb1fa3026f (__TEXT,__text) external _apr_os_pipe_put
00007ffb1fa301a8 (__TEXT,__text) external _apr_os_pipe_put_ex
00007ffb1fa31b15 (__TEXT,__text) external _apr_os_proc_mutex_get
00007ffb1fa31b32 (__TEXT,__text) external _apr_os_proc_mutex_put
00007ffb1fa3ac61 (__TEXT,__text) external _apr_os_shm_get
00007ffb1fa3ac6c (__TEXT,__text) external _apr_os_shm_put
00007ffb1fa3752c (__TEXT,__text) external _apr_os_sock_get
00007ffb1fa37539 (__TEXT,__text) external _apr_os_sock_make
00007ffb1fa37632 (__TEXT,__text) external _apr_os_sock_put
00007ffb1fa3be22 (__TEXT,__text) external _apr_os_thread_current
00007ffb1fa3be2c (__TEXT,__text) external _apr_os_thread_equal
00007ffb1fa3beb5 (__TEXT,__text) external _apr_os_thread_get
00007ffb1fa3bec4 (__TEXT,__text) external _apr_os_thread_put
00007ffb1fa3bfff (__TEXT,__text) external _apr_os_threadkey_get
00007ffb1fa3c00e (__TEXT,__text) external _apr_os_threadkey_put
00007ffb1fa34b9a (__TEXT,__text) external _apr_os_uuid_get
00007ffb1fa32f47 (__TEXT,__text) external _apr_palloc
00007ffb1fa33cb9 (__TEXT,__text) external _apr_palloc_debug
00007ffb1fa36132 (__TEXT,__text) external _apr_parse_addr_port
00007ffb1fa27037 (__TEXT,__text) external _apr_password_get
00007ffb1fa3305f (__TEXT,__text) external _apr_pcalloc
00007ffb1fa33cc3 (__TEXT,__text) external _apr_pcalloc_debug
00007ffb1fa26c84 (__TEXT,__text) external _apr_pescape_echo
00007ffb1fa26664 (__TEXT,__text) external _apr_pescape_entity
00007ffb1fa26d6a (__TEXT,__text) external _apr_pescape_hex
00007ffb1fa26203 (__TEXT,__text) external _apr_pescape_path
00007ffb1fa2601f (__TEXT,__text) external _apr_pescape_path_segment
00007ffb1fa25a93 (__TEXT,__text) external _apr_pescape_shell
00007ffb1fa263a7 (__TEXT,__text) external _apr_pescape_urlencoded
00007ffb1fa2a50c (__TEXT,__text) external _apr_pmemdup
00007ffb1fa387be (__TEXT,__text) external _apr_poll
00007ffb1fa391d5 (__TEXT,__text) external _apr_poll_method_defname
00007ffb1fa38e97 (__TEXT,__text) external _apr_pollcb_add
00007ffb1fa38e8a (__TEXT,__text) external _apr_pollcb_create
00007ffb1fa38d8e (__TEXT,__text) external _apr_pollcb_create_ex
00007ffb1fa38eb5 (__TEXT,__text) external _apr_pollcb_poll
00007ffb42d494c0 (__DATA,__data) external _apr_pollcb_provider_kqueue
00007ffb42d49528 (__DATA,__data) external _apr_pollcb_provider_poll
00007ffb1fa38ea6 (__TEXT,__text) external _apr_pollcb_remove
00007ffb1fa39250 (__TEXT,__text) external _apr_pollset_add
00007ffb1fa391f7 (__TEXT,__text) external _apr_pollset_create
00007ffb1fa38f3d (__TEXT,__text) external _apr_pollset_create_ex
00007ffb1fa39204 (__TEXT,__text) external _apr_pollset_destroy
00007ffb1fa38ec4 (__TEXT,__text) external _apr_pollset_drain_wakeup_pipe
00007ffb1fa391c7 (__TEXT,__text) external _apr_pollset_method_name
00007ffb1fa3926e (__TEXT,__text) external _apr_pollset_poll
00007ffb42d49490 (__DATA,__data) external _apr_pollset_provider_kqueue
00007ffb42d494f8 (__DATA,__data) external _apr_pollset_provider_poll
00007ffb42d49560 (__DATA,__data) external _apr_pollset_provider_select
00007ffb1fa3925f (__TEXT,__text) external _apr_pollset_remove
00007ffb1fa39230 (__TEXT,__text) external _apr_pollset_wakeup
00007ffb1fa3390b (__TEXT,__text) external _apr_pool_abort_get
00007ffb1fa33901 (__TEXT,__text) external _apr_pool_abort_set
00007ffb1fa3391e (__TEXT,__text) external _apr_pool_allocator_get
00007ffb1fa33bda (__TEXT,__text) external _apr_pool_child_cleanup_set
00007ffb1fa33c21 (__TEXT,__text) external _apr_pool_cleanup_for_exec
00007ffb1fa33b61 (__TEXT,__text) external _apr_pool_cleanup_kill
00007ffb1fa33c76 (__TEXT,__text) external _apr_pool_cleanup_null
00007ffb1fa339fc (__TEXT,__text) external _apr_pool_cleanup_register
00007ffb1fa33c03 (__TEXT,__text) external _apr_pool_cleanup_run
00007ffb1fa33089 (__TEXT,__text) external _apr_pool_clear
00007ffb1fa33ccd (__TEXT,__text) external _apr_pool_clear_debug
00007ffb1fa3333f (__TEXT,__text) external _apr_pool_create_core_ex
00007ffb1fa33ceb (__TEXT,__text) external _apr_pool_create_core_ex_debug
00007ffb1fa32c50 (__TEXT,__text) external _apr_pool_create_ex
00007ffb1fa33ce1 (__TEXT,__text) external _apr_pool_create_ex_debug
00007ffb1fa33349 (__TEXT,__text) external _apr_pool_create_unmanaged_ex
00007ffb1fa33cf5 (__TEXT,__text) external _apr_pool_create_unmanaged_ex_debug
00007ffb1fa32da5 (__TEXT,__text) external _apr_pool_destroy
00007ffb1fa33cd7 (__TEXT,__text) external _apr_pool_destroy_debug
00007ffb1fa32b1d (__TEXT,__text) external _apr_pool_initialize
00007ffb1fa33928 (__TEXT,__text) external _apr_pool_is_ancestor
00007ffb1fa33c7e (__TEXT,__text) external _apr_pool_note_subprocess
00007ffb1fa33915 (__TEXT,__text) external _apr_pool_parent_get
00007ffb1fa33b0c (__TEXT,__text) external _apr_pool_pre_cleanup_register
00007ffb1fa32d65 (__TEXT,__text) external _apr_pool_tag
00007ffb1fa32d6f (__TEXT,__text) external _apr_pool_terminate
00007ffb1fa33ade (__TEXT,__text) external _apr_pool_userdata_get
00007ffb1fa33949 (__TEXT,__text) external _apr_pool_userdata_set
00007ffb1fa33a57 (__TEXT,__text) external _apr_pool_userdata_setn
00007ffb1fa3b231 (__TEXT,__text) external _apr_proc_create
00007ffb1fa3ba14 (__TEXT,__text) external _apr_proc_detach
00007ffb1fa3b158 (__TEXT,__text) external _apr_proc_fork
00007ffb1fa3bae5 (__TEXT,__text) external _apr_proc_kill
00007ffb1fa31aa3 (__TEXT,__text) external _apr_proc_mutex_child_init
00007ffb1fa31984 (__TEXT,__text) external _apr_proc_mutex_cleanup
00007ffb1fa31a1a (__TEXT,__text) external _apr_proc_mutex_create
00007ffb1fa319ff (__TEXT,__text) external _apr_proc_mutex_defname
00007ffb1fa3196d (__TEXT,__text) external _apr_proc_mutex_destroy
00007ffb1fa31abe (__TEXT,__text) external _apr_proc_mutex_lock
00007ffb1fa31ae2 (__TEXT,__text) external _apr_proc_mutex_lockfile
00007ffb1fa31a0c (__TEXT,__text) external _apr_proc_mutex_name
00007ffb1fa31b0c (__TEXT,__text) external _apr_proc_mutex_pool_get
00007ffb1fa31aca (__TEXT,__text) external _apr_proc_mutex_trylock
00007ffb1fa31990 (__TEXT,__text) external _apr_proc_mutex_unix_setup_lock
00007ffb1fa31ad6 (__TEXT,__text) external _apr_proc_mutex_unlock
00007ffb1fa34aae (__TEXT,__text) external _apr_proc_other_child_alert
00007ffb1fa34af2 (__TEXT,__text) external _apr_proc_other_child_refresh
00007ffb1fa34b6b (__TEXT,__text) external _apr_proc_other_child_refresh_all
00007ffb1fa3494d (__TEXT,__text) external _apr_proc_other_child_register
00007ffb1fa34a28 (__TEXT,__text) external _apr_proc_other_child_unregister
00007ffb1fa3b774 (__TEXT,__text) external _apr_proc_spawn
00007ffb1fa3b919 (__TEXT,__text) external _apr_proc_wait
00007ffb1fa3b909 (__TEXT,__text) external _apr_proc_wait_all_procs
00007ffb1fa3b1ba (__TEXT,__text) external _apr_procattr_addrspace_set
00007ffb1fa3b03b (__TEXT,__text) external _apr_procattr_child_err_set
00007ffb1fa3b1a3 (__TEXT,__text) external _apr_procattr_child_errfn_set
00007ffb1fa3ae7f (__TEXT,__text) external _apr_procattr_child_in_set
00007ffb1fa3af5d (__TEXT,__text) external _apr_procattr_child_out_set
00007ffb1fa3b142 (__TEXT,__text) external _apr_procattr_cmdtype_set
00007ffb1fa3ad1c (__TEXT,__text) external _apr_procattr_create
00007ffb1fa3b14d (__TEXT,__text) external _apr_procattr_detach_set
00007ffb1fa3b119 (__TEXT,__text) external _apr_procattr_dir_set
00007ffb1fa3b1af (__TEXT,__text) external _apr_procattr_error_check_set
00007ffb1fa3b208 (__TEXT,__text) external _apr_procattr_group_set
00007ffb1fa3ad7c (__TEXT,__text) external _apr_procattr_io_set
00007ffb1fa3b9cc (__TEXT,__text) external _apr_procattr_limit_set
00007ffb1fa3b1c2 (__TEXT,__text) external _apr_procattr_user_set
00007ffb1fa33867 (__TEXT,__text) external _apr_psprintf
00007ffb1fa2a5f6 (__TEXT,__text) external _apr_pstrcat
00007ffb1fa2a798 (__TEXT,__text) external _apr_pstrcatv
00007ffb1fa2a4bc (__TEXT,__text) external _apr_pstrdup
00007ffb1fa2a5b0 (__TEXT,__text) external _apr_pstrmemdup
00007ffb1fa2a54d (__TEXT,__text) external _apr_pstrndup
00007ffb1fa26a26 (__TEXT,__text) external _apr_punescape_entity
00007ffb1fa26fc9 (__TEXT,__text) external _apr_punescape_hex
00007ffb1fa25e62 (__TEXT,__text) external _apr_punescape_url
00007ffb1fa33461 (__TEXT,__text) external _apr_pvsprintf
00007ffb1fa39d02 (__TEXT,__text) external _apr_random_add_entropy
00007ffb1fa39c3c (__TEXT,__text) external _apr_random_after_fork
00007ffb1fa3a08c (__TEXT,__text) external _apr_random_barrier
00007ffb1fa39aab (__TEXT,__text) external _apr_random_init
00007ffb1fa3a074 (__TEXT,__text) external _apr_random_insecure_bytes
00007ffb1fa3a0b0 (__TEXT,__text) external _apr_random_insecure_ready
00007ffb1fa39f80 (__TEXT,__text) external _apr_random_secure_bytes
00007ffb1fa3a09c (__TEXT,__text) external _apr_random_secure_ready
00007ffb1fa39ca9 (__TEXT,__text) external _apr_random_standard_new
00007ffb1fa3c36d (__TEXT,__text) external _apr_rfc822_date
00007ffb1fa3bbda (__TEXT,__text) external _apr_setup_signal_thread
00007ffb1fa3aac4 (__TEXT,__text) external _apr_shm_attach
00007ffb1fa3ac0e (__TEXT,__text) external _apr_shm_attach_ex
00007ffb1fa3ac44 (__TEXT,__text) external _apr_shm_baseaddr_get
00007ffb1fa3a751 (__TEXT,__text) external _apr_shm_create
00007ffb1fa3aa0c (__TEXT,__text) external _apr_shm_create_ex
00007ffb1fa3aaad (__TEXT,__text) external _apr_shm_destroy
00007ffb1fa3ac18 (__TEXT,__text) external _apr_shm_detach
00007ffb1fa3ac58 (__TEXT,__text) external _apr_shm_pool_get
00007ffb1fa3aa16 (__TEXT,__text) external _apr_shm_remove
00007ffb1fa3ac4e (__TEXT,__text) external _apr_shm_size_get
00007ffb1fa3bb02 (__TEXT,__text) external _apr_signal
00007ffb1fa3bc0c (__TEXT,__text) external _apr_signal_block
00007ffb1fa3bb7d (__TEXT,__text) external _apr_signal_description_get
00007ffb1fa3bb77 (__TEXT,__text) external _apr_signal_init
00007ffb1fa3bb9c (__TEXT,__text) external _apr_signal_thread
00007ffb1fa3bc4a (__TEXT,__text) external _apr_signal_unblock
00007ffb1fa2b940 (__TEXT,__text) external _apr_skiplist_add_index
00007ffb1fa2b679 (__TEXT,__text) external _apr_skiplist_alloc
00007ffb1fa2c257 (__TEXT,__text) external _apr_skiplist_destroy
00007ffb1fa2ba53 (__TEXT,__text) external _apr_skiplist_find
00007ffb1fa2baa5 (__TEXT,__text) external _apr_skiplist_find_compare
00007ffb1fa2b789 (__TEXT,__text) external _apr_skiplist_free
00007ffb1fa2ba6d (__TEXT,__text) external _apr_skiplist_getlist
00007ffb1fa2b7e6 (__TEXT,__text) external _apr_skiplist_init
00007ffb1fa2ba60 (__TEXT,__text) external _apr_skiplist_insert
00007ffb1fa2bbcc (__TEXT,__text) external _apr_skiplist_insert_compare
00007ffb1fa2c307 (__TEXT,__text) external _apr_skiplist_merge
00007ffb1fa2ba84 (__TEXT,__text) external _apr_skiplist_next
00007ffb1fa2c238 (__TEXT,__text) external _apr_skiplist_peek
00007ffb1fa2c207 (__TEXT,__text) external _apr_skiplist_pop
