                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationMakeExternalForm (from Security)
                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayContainsValue (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFArrayRemoveValueAtIndex (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionaryRemoveValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
00007ffc1a3a047c (__TEXT,__text) external _PFCheckNATRule
00007ffc1a39fcad (__TEXT,__text) non-external ___PFMaxStatesCheck
00007ffc1a39fc48 (__TEXT,__text) non-external ___PFNatPassCheck
00007ffc1a3a0830 (__TEXT,__text) non-external ___PFNegatedCheck
00007ffc1a3a075b (__TEXT,__text) non-external ___PFOperatorCheck
00007ffc1a3a088e (__TEXT,__text) non-external ___PFParseFlags
00007ffc1a3a0685 (__TEXT,__text) non-external ___PFPortCheck
00007ffc1a39e4e7 (__TEXT,__text) non-external ___PFProtocolCheck
00007ffc1a39cb89 (__TEXT,__text) non-external ___PFQueryGatewayAddrAndPortForDescriptor_block_invoke
00007ffc1a3a01bc (__TEXT,__text) non-external ___PFRDRConsistencyCheck
00007ffc1a39fbc3 (__TEXT,__text) non-external ___PFRTableCheck
00007ffc1a3a08f9 (__TEXT,__text) non-external ___PFRuleStrToNum
00007ffc1a39f864 (__TEXT,__text) non-external ___PFScrubOptionsCheck
00007ffc1a39fa08 (__TEXT,__text) non-external ___PFStateCheck
00007ffc1a39b738 (__TEXT,__text) non-external ___PFTableAddAddress_block_invoke
00007ffc1a39b56a (__TEXT,__text) non-external ___PFTableBegin_block_invoke
00007ffc423267a0 (__DATA_CONST,__const) non-external ___PFTableClass
00007ffc1a39bc29 (__TEXT,__text) non-external ___PFTableClear_block_invoke
00007ffc1a39b913 (__TEXT,__text) non-external ___PFTableCommit_block_invoke
00007ffc1a39bab0 (__TEXT,__text) non-external ___PFTableCommit_block_invoke_2
00007ffc1a39b3fc (__TEXT,__text) non-external ___PFTableCreate_block_invoke
00007ffc1a39bdda (__TEXT,__text) non-external ___PFTableDelete_block_invoke
00007ffc1a39bebd (__TEXT,__text) non-external ___PFTableDelete_block_invoke_2
00007ffc1a39d3a4 (__TEXT,__text) non-external ___PFTableRegister
00007ffc1a39d3bd (__TEXT,__text) non-external ___PFTableRelease
00007ffc1a39f6bc (__TEXT,__text) non-external ___PFTagCheck
00007ffc1a39a198 (__TEXT,__text) non-external ___PFUserAddRule_block_invoke
00007ffc1a399f07 (__TEXT,__text) non-external ___PFUserBeginRules_block_invoke
00007ffc1a39ef68 (__TEXT,__text) non-external ___PFUserCheck
00007ffc42326660 (__DATA_CONST,__const) non-external ___PFUserClass
00007ffc1a39a6ff (__TEXT,__text) non-external ___PFUserClearRules_block_invoke
00007ffc1a39c41d (__TEXT,__text) non-external ___PFUserClearStates_block_invoke
00007ffc1a39c532 (__TEXT,__text) non-external ___PFUserClearStates_block_invoke_2
00007ffc1a39a366 (__TEXT,__text) non-external ___PFUserCommitRules_block_invoke
00007ffc1a39a4c7 (__TEXT,__text) non-external ___PFUserCommitRules_block_invoke_2
00007ffc1a39c288 (__TEXT,__text) non-external ___PFUserCopyRules_S_block_invoke
00007ffc1a399d1f (__TEXT,__text) non-external ___PFUserCreate_block_invoke
00007ffc1a39b11c (__TEXT,__text) non-external ___PFUserDeleteRule_block_invoke
00007ffc1a39b233 (__TEXT,__text) non-external ___PFUserDeleteRule_block_invoke_2
00007ffc1a39a84e (__TEXT,__text) non-external ___PFUserDeleteRules_block_invoke
00007ffc1a39a963 (__TEXT,__text) non-external ___PFUserDeleteRules_block_invoke_2
00007ffc1a39c02c (__TEXT,__text) non-external ___PFUserGetRules_block_invoke
00007ffc1a39c103 (__TEXT,__text) non-external ___PFUserGetRules_block_invoke_2
00007ffc1a39a220 (__TEXT,__text) non-external ___PFUserGetTransArray
00007ffc1a39af80 (__TEXT,__text) non-external ___PFUserInsertRule_S_block_invoke
00007ffc1a39ac8e (__TEXT,__text) non-external ___PFUserInsertRule_block_invoke
00007ffc1a39ad6a (__TEXT,__text) non-external ___PFUserInsertRule_block_invoke_2
00007ffc1a39c9ca (__TEXT,__text) non-external ___PFUserNATLook_S_block_invoke
00007ffc1a39c6fc (__TEXT,__text) non-external ___PFUserNATLook_block_invoke
00007ffc1a39c7d5 (__TEXT,__text) non-external ___PFUserNATLook_block_invoke_2
00007ffc1a39d227 (__TEXT,__text) non-external ___PFUserRegister
00007ffc1a39d240 (__TEXT,__text) non-external ___PFUserRelease
00007ffc1a39aaaf (__TEXT,__text) non-external ___PFUserRelease_block_invoke
00007ffc1a39a567 (__TEXT,__text) non-external ___PFUserRemoveTransArray
00007ffc1a399d12 (__TEXT,__text) non-external ___PFUserRuleDictionaryRelease
00007ffc1a3a0e1d (__TEXT,__text) non-external ___PFXPCResponseHandler
00007ffc1a39d2ef (__TEXT,__text) non-external _____PFUserRelease_block_invoke
00007ffc1a39d46a (__TEXT,__text) non-external _____PFUserXPCClearStatesResponseHandler_block_invoke
00007ffc1a39d307 (__TEXT,__text) non-external _____PFUserXPCCommitRulesResponseHandler_block_invoke
00007ffc1a39d3e3 (__TEXT,__text) non-external _____PFUserXPCCommitTableResponseHandler_block_invoke
00007ffc1a39d38e (__TEXT,__text) non-external _____PFUserXPCDeleteRuleResponseHandler_block_invoke
00007ffc1a39d31d (__TEXT,__text) non-external _____PFUserXPCDeleteRulesResponseHandler_block_invoke
00007ffc1a39d3f9 (__TEXT,__text) non-external _____PFUserXPCDeleteTableResponseHandler_block_invoke
00007ffc1a39d40f (__TEXT,__text) non-external _____PFUserXPCGetRulesResponseHandler_block_invoke
00007ffc1a39d333 (__TEXT,__text) non-external _____PFUserXPCInsertRuleResponseHandler_block_invoke
00007ffc1a39d480 (__TEXT,__text) non-external _____PFUserXPCNatLookResponseHandler_block_invoke
00007ffc1a3a0dae (__TEXT,__text) non-external _____PFXPCCreate_block_invoke
00007ffc1a3a0f8a (__TEXT,__text) non-external _____PFXPCSendMessage_block_invoke
                 (undefined) external ___assert_rtn (from libSystem)
00007ffc42326010 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffc42326950 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffc42326740 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.100
00007ffc42326770 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.102
00007ffc42326800 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.105
00007ffc42326830 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.107
00007ffc42326860 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.109
00007ffc42326890 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.111
00007ffc423268c0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.113
00007ffc42326990 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.127
00007ffc42326040 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.15
00007ffc42326070 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.22
00007ffc423260a0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.25
00007ffc423260d0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.27
00007ffc42326100 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.28
00007ffc42326130 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.30
00007ffc42326160 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.31
00007ffc42326190 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.32
00007ffc423261c0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.35
00007ffc423261f0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.36
00007ffc42326220 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.37
00007ffc42326250 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.39
00007ffc42326280 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.40
00007ffc423262b0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.42
00007ffc423262e0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.45
00007ffc42326310 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.47
00007ffc42326340 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.49
00007ffc42326370 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.50
00007ffc423263a0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.51
00007ffc423263d0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.54
00007ffc42326400 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.55
00007ffc42326430 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.58
00007ffc42326460 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.59
00007ffc42326490 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.60
00007ffc423264c0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.62
00007ffc423264f0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.63
00007ffc42326520 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.67
00007ffc42326540 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.68
00007ffc42326570 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.69
00007ffc423265a0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.72
00007ffc423265d0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.74
00007ffc42326600 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.75
00007ffc42326630 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.76
00007ffc423266c0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.90
00007ffc423266e0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.96
00007ffc42326710 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.98
00007ffc42326970 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffc1a3a0f9e (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b
00007ffc1a39a5c5 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b40r
00007ffc1a399dbd (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r
00007ffc1a399fb9 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r
00007ffc1a39a554 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b
00007ffc1a39a5fd (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b40r
00007ffc1a399dd4 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r
00007ffc1a399ff1 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r
                 (undefined) external ___error (from libSystem)
00007ffc4433efa0 (__DATA,__bss) non-external ___pfDictIdentifier
00007ffc42e55480 (__DATA_DIRTY,__bss) non-external ___pfLog
00007ffc4433efb0 (__DATA,__bss) non-external ___pfLogError
00007ffc42e55440 (__DATA_DIRTY,__data) non-external ___pfLogInit
00007ffc42e55478 (__DATA_DIRTY,__bss) non-external ___pfManager
00007ffc42e55498 (__DATA_DIRTY,__bss) non-external ___pfManagerTypeID
00007ffc42e55460 (__DATA_DIRTY,__data) non-external ___pfManagerTypeInit
00007ffc42e55488 (__DATA_DIRTY,__bss) non-external ___pfQueue
00007ffc4433efb8 (__DATA,__bss) non-external ___pfQueueError
00007ffc42e55450 (__DATA_DIRTY,__data) non-external ___pfQueueInit
00007ffc4433efa8 (__DATA,__bss) non-external ___pfTableTypeID
00007ffc4433ebd0 (__DATA,__data) non-external ___pfTableTypeInit
00007ffc42e55470 (__DATA_DIRTY,__bss) non-external ___pfUserTypeID
00007ffc42e55430 (__DATA_DIRTY,__data) non-external ___pfUserTypeInit
00007ffc42e55490 (__DATA_DIRTY,__bss) non-external ___pfXpcQueue
00007ffc42e554a8 (__DATA_DIRTY,__bss) non-external ___pfconnection
00007ffc42e554a0 (__DATA_DIRTY,__bss) non-external ___pfresponse
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __xpc_error_key_description (from libSystem)
                 (undefined) external __xpc_type_array (from libSystem)
                 (undefined) external __xpc_type_bool (from libSystem)
                 (undefined) external __xpc_type_connection (from libSystem)
                 (undefined) external __xpc_type_dictionary (from libSystem)
                 (undefined) external __xpc_type_error (from libSystem)
                 (undefined) external __xpc_type_string (from libSystem)
                 (undefined) external __xpc_type_uint64 (from libSystem)
                 (undefined) external __xpc_type_uuid (from libSystem)
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_queue_create (from libSystem)
                 (undefined) external _dispatch_release (from libSystem)
                 (undefined) external _dispatch_retain (from libSystem)
                 (undefined) external _dispatch_sync (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _freeaddrinfo (from libSystem)
                 (undefined) external _freeifaddrs (from libSystem)
                 (undefined) external _getaddrinfo (from libSystem)
                 (undefined) external _getgrnam (from libSystem)
                 (undefined) external _getifaddrs (from libSystem)
                 (undefined) external _getprotobyname (from libSystem)
                 (undefined) external _getpwnam (from libSystem)
                 (undefined) external _getservbyname (from libSystem)
                 (undefined) external _if_nametoindex (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFTypeArrayCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
00007ffc4433ed88 (__DATA,__data) external _kPFAction
00007ffc4433ed70 (__DATA,__data) external _kPFAdaptiveFirewall
00007ffc4433ecf0 (__DATA,__data) external _kPFAirDrop
00007ffc4433ee28 (__DATA,__data) external _kPFAllowOpts
00007ffc4433ef90 (__DATA,__data) external _kPFAny
00007ffc4433ecf8 (__DATA,__data) external _kPFApplicationFirewall
00007ffc4433ed08 (__DATA,__data) external _kPFBase
00007ffc4433ed28 (__DATA,__data) external _kPFBase_nat64
00007ffc4433ed30 (__DATA,__data) external _kPFBase_nat66
00007ffc4433ed18 (__DATA,__data) external _kPFBase_v4
00007ffc4433ed20 (__DATA,__data) external _kPFBase_v6
00007ffc4433ee78 (__DATA,__data) external _kPFBytesIn
00007ffc4433ee80 (__DATA,__data) external _kPFBytesOut
00007ffc4433ed78 (__DATA,__data) external _kPFCustomFirewall
00007ffc4433ed68 (__DATA,__data) external _kPFDefaultFirewall
00007ffc4433ed98 (__DATA,__data) external _kPFDirection
00007ffc4433ee38 (__DATA,__data) external _kPFDummyNet
00007ffc4433ee40 (__DATA,__data) external _kPFExtFilter
00007ffc4433ee48 (__DATA,__data) external _kPFExtMap
00007ffc4433ece0 (__DATA,__data) external _kPFFTPProxy
00007ffc4433eda8 (__DATA,__data) external _kPFFamily
00007ffc4433edf0 (__DATA,__data) non-external (was a private external) _kPFFlagSet
00007ffc4433ede8 (__DATA,__data) external _kPFFlags
00007ffc4433edc0 (__DATA,__data) external _kPFFrom
00007ffc4433ee00 (__DATA,__data) external _kPFGroup
00007ffc4433ed48 (__DATA,__data) external _kPFHost_v4
00007ffc4433ed50 (__DATA,__data) external _kPFHost_v6
00007ffc4433ee10 (__DATA,__data) external _kPFICMP
00007ffc4433eda0 (__DATA,__data) external _kPFInterface
00007ffc4433ecc8 (__DATA,__data) external _kPFInternetSharing
00007ffc4433ee20 (__DATA,__data) external _kPFKeepState
00007ffc4433ee08 (__DATA,__data) external _kPFLog
00007ffc4433ed60 (__DATA,__data) external _kPFMDNS
00007ffc4433ee60 (__DATA,__data) external _kPFMaxStates
00007ffc4433edd0 (__DATA,__data) external _kPFNATDest
00007ffc4433ee58 (__DATA,__data) external _kPFNATPass
00007ffc4433ede0 (__DATA,__data) external _kPFNATRDRAddress
00007ffc4433edc8 (__DATA,__data) external _kPFNATSrc
00007ffc4433ecd0 (__DATA,__data) external _kPFNLC
00007ffc4433ed58 (__DATA,__data) external _kPFNetworkIsolation
00007ffc4433ee68 (__DATA,__data) external _kPFPacketsIn
00007ffc4433ee70 (__DATA,__data) external _kPFPacketsOut
00007ffc4433ed10 (__DATA,__data) external _kPFPortMapping
00007ffc4433edb0 (__DATA,__data) external _kPFProtocol
00007ffc4433edb8 (__DATA,__data) external _kPFQuick
00007ffc4433ee50 (__DATA,__data) external _kPFRTableID
00007ffc4433ed90 (__DATA,__data) external _kPFReturnOptions
00007ffc4433ee88 (__DATA,__data) external _kPFRuleID
00007ffc4433ee18 (__DATA,__data) external _kPFScrubOptions
00007ffc4433ece8 (__DATA,__data) external _kPFServerFirewall
00007ffc4433ed38 (__DATA,__data) external _kPFShared_v4
00007ffc4433ed40 (__DATA,__data) external _kPFShared_v6
00007ffc4433ee98 (__DATA,__data) external _kPFSubAddress
00007ffc4433ee90 (__DATA,__data) external _kPFSubAddressLabel
00007ffc4433ef80 (__DATA,__data) external _kPFSubDummyNetPipe
00007ffc4433ef88 (__DATA,__data) external _kPFSubDummyNetPipeType
00007ffc4433eea0 (__DATA,__data) external _kPFSubDynInterface
00007ffc4433eef0 (__DATA,__data) external _kPFSubGroupName
00007ffc4433ef08 (__DATA,__data) external _kPFSubGroupOperator
00007ffc4433ef00 (__DATA,__data) external _kPFSubHighGroupID
00007ffc4433eeb8 (__DATA,__data) external _kPFSubHighPort
00007ffc4433eee0 (__DATA,__data) external _kPFSubHighUserID
00007ffc4433ef28 (__DATA,__data) external _kPFSubICMPCode
00007ffc4433ef20 (__DATA,__data) external _kPFSubICMPType
00007ffc4433ef10 (__DATA,__data) external _kPFSubLogFlags
00007ffc4433ef18 (__DATA,__data) external _kPFSubLogTo
00007ffc4433eef8 (__DATA,__data) external _kPFSubLowGroupID
00007ffc4433eeb0 (__DATA,__data) external _kPFSubLowPort
00007ffc4433eed8 (__DATA,__data) external _kPFSubLowUserID
00007ffc4433eea8 (__DATA,__data) external _kPFSubNegated
00007ffc4433ef60 (__DATA,__data) external _kPFSubNotTagged
00007ffc4433eec0 (__DATA,__data) external _kPFSubPortOperator
00007ffc4433ef48 (__DATA,__data) external _kPFSubReturnICMP6Code
00007ffc4433ef40 (__DATA,__data) external _kPFSubReturnICMPCode
00007ffc4433ef38 (__DATA,__data) external _kPFSubReturnTTL
00007ffc4433ef30 (__DATA,__data) external _kPFSubReturnType
00007ffc4433ef68 (__DATA,__data) external _kPFSubScrubFlags
00007ffc4433ef78 (__DATA,__data) external _kPFSubScrubMaxMSS
00007ffc4433ef70 (__DATA,__data) external _kPFSubScrubMinTTL
00007ffc4433eec8 (__DATA,__data) external _kPFSubTable
00007ffc4433ef50 (__DATA,__data) external _kPFSubTag
00007ffc4433ef58 (__DATA,__data) external _kPFSubTagged
00007ffc4433eed0 (__DATA,__data) external _kPFSubUserName
00007ffc4433eee8 (__DATA,__data) external _kPFSubUserOperator
00007ffc4433ee30 (__DATA,__data) external _kPFTagDict
00007ffc4433ed00 (__DATA,__data) external _kPFThreadBR
00007ffc4433ed80 (__DATA,__data) external _kPFThreadBR_nat64
00007ffc4433edd8 (__DATA,__data) external _kPFTo
00007ffc4433ef98 (__DATA,__data) external _kPFUnknown
00007ffc4433edf8 (__DATA,__data) external _kPFUser
00007ffc4433ecd8 (__DATA,__data) external _kPFVPN
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _os_log_create (from libSystem)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_log_with_args (from libSystem)
00007ffc4433ebe0 (__DATA,__data) non-external (was a private external) _pfLogSubsystem
00007ffc4433ecb0 (__DATA,__data) non-external (was a private external) _pfXPCEXTLANAddress
00007ffc4433ecb8 (__DATA,__data) non-external (was a private external) _pfXPCEXTLANPort
00007ffc4433ecc0 (__DATA,__data) non-external (was a private external) _pfXPCIPProto
00007ffc4433ec00 (__DATA,__data) non-external (was a private external) _pfXPCKeyAppSubType
00007ffc4433ebf8 (__DATA,__data) non-external (was a private external) _pfXPCKeyAppType
00007ffc4433ec48 (__DATA,__data) non-external (was a private external) _pfXPCKeyAuthRef
00007ffc4433ec40 (__DATA,__data) non-external (was a private external) _pfXPCKeyGatewayQuery
00007ffc4433ec30 (__DATA,__data) non-external (was a private external) _pfXPCKeyInsertID
00007ffc4433ec28 (__DATA,__data) non-external (was a private external) _pfXPCKeyPriority
00007ffc4433ec10 (__DATA,__data) non-external (was a private external) _pfXPCKeyRule
00007ffc4433ec08 (__DATA,__data) non-external (was a private external) _pfXPCKeyRuleArray
00007ffc4433ec20 (__DATA,__data) non-external (was a private external) _pfXPCKeyTableAddressArray
00007ffc4433ec18 (__DATA,__data) non-external (was a private external) _pfXPCKeyTableName
