00007ff841ae9dd0 (__DATA,__data) external _NDR_record
00007ff8003feee0 (__TEXT,__text) external ___sigaltstack
00007ff800405a84 (__TEXT,__text) external ___sigreturn
00007ff800407390 (__TEXT,__text) external ___sigsuspend
00007ff8004021d8 (__TEXT,__text) external ___sigsuspend_nocancel
00007ff800405ab4 (__TEXT,__text) external ___sigwait
00007ff8003ff9c4 (__TEXT,__text) external ___socketpair
00007ff8004073a8 (__TEXT,__text) external ___stack_snapshot_with_config
00007ff800400a30 (__TEXT,__text) external ___stat64_extended
00007ff8004073c0 (__TEXT,__text) external ___stat_extended
00007ff8003fe01c (__TEXT,__text) external ___syscall
00007ff841ae9e60 (__DATA,__common) external ___syscall_logger
00007ff8003fd734 (__TEXT,__text) external ___sysctl
00007ff8003fd89c (__TEXT,__text) external ___sysctlbyname
00007ff8004073d8 (__TEXT,__text) external ___telemetry
00007ff800404b9c (__TEXT,__text) external ___terminate_with_payload
00007ff8003fdb64 (__TEXT,__text) external ___thread_selfid
00007ff8004073f0 (__TEXT,__text) external ___thread_selfusage
00007ff8003fdb7c (__TEXT,__text) external ___ulock_wait
00007ff800407408 (__TEXT,__text) external ___ulock_wait2
00007ff8003fdc00 (__TEXT,__text) external ___ulock_wake
00007ff800407420 (__TEXT,__text) external ___umask_extended
00007ff8003ff4e4 (__TEXT,__text) external ___unlink
00007ff800404248 (__TEXT,__text) external ___unlinkat
00007ff800407438 (__TEXT,__text) external ___vfork
00007ff800402148 (__TEXT,__text) external ___wait4
00007ff800406400 (__TEXT,__text) external ___wait4_nocancel
00007ff800407490 (__TEXT,__text) external ___waitid_nocancel
00007ff8004036a4 (__TEXT,__text) external ___work_interval_ctl
00007ff8003fdaec (__TEXT,__text) external ___workq_kernreturn
00007ff8003fdb04 (__TEXT,__text) external ___workq_open
00007ff8003ff470 (__TEXT,__text) external ___write_nocancel
00007ff8004074a8 (__TEXT,__text) external ___writev_nocancel
00007ff841ae9e50 (__DATA,__common) external __cpu_capabilities
00007ff841ae9e4c (__DATA,__common) external __cpu_has_altivec
00007ff8437ff7d0 (__DATA_DIRTY,__data) non-external (was a private external) __current_pid
00007ff8437ffe98 (__DATA_DIRTY,__bss) non-external __dlsym
00007ff8003fc478 (__TEXT,__text) external __exclaves_ctl_trap
00007ff800408db5 (__TEXT,__text) non-external __execve_with_filter
00007ff8004021f0 (__TEXT,__text) external __exit
00007ff800400e78 (__TEXT,__text) external __get_cpu_capabilities
00007ff841ae9e80 (__DATA,__bss) non-external __gethostuuid_callback
00007ff80040c6b1 (__TEXT,__text) external __getprivatesystemidentifier
00007ff8004171c6 (__TEXT,__text) external __host_page_size
00007ff800400e66 (__TEXT,__text) external __init_cpu_capabilities
00007ff800417f4e (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
00007ff800418fc3 (__TEXT,__text) external __kernelrpc_mach_port_allocate
00007ff800419a80 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
00007ff800418edb (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
00007ff800419943 (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
00007ff8003fc268 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
00007ff80041b12d (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
00007ff80041a4e3 (__TEXT,__text) external __kernelrpc_mach_port_construct
00007ff8003fc2bc (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
00007ff8004191c8 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
00007ff8003fc274 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
00007ff8004190e4 (__TEXT,__text) external __kernelrpc_mach_port_destroy
00007ff80041a61f (__TEXT,__text) external __kernelrpc_mach_port_destruct
00007ff8003fc2c8 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
00007ff800419f72 (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
00007ff80041a2c2 (__TEXT,__text) external __kernelrpc_mach_port_extract_member
00007ff8003fc2b0 (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
00007ff8004046a9 (__TEXT,__text) external __kernelrpc_mach_port_extract_right
00007ff800404ee8 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
00007ff8003fc370 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
00007ff800400732 (__TEXT,__text) external __kernelrpc_mach_port_get_context
00007ff8003fed14 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
00007ff80041afd0 (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
00007ff80040604f (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
00007ff800419cb6 (__TEXT,__text) external __kernelrpc_mach_port_get_srights
00007ff80041a70b (__TEXT,__text) external __kernelrpc_mach_port_guard
00007ff8003fc37c (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
00007ff80041ab14 (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
00007ff80041a1da (__TEXT,__text) external __kernelrpc_mach_port_insert_member
00007ff8003fc2a4 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
00007ff80041975d (__TEXT,__text) external __kernelrpc_mach_port_insert_right
00007ff8003fc298 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
00007ff80041aea9 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
00007ff80041a0a6 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
00007ff80041a3ad (__TEXT,__text) external __kernelrpc_mach_port_kobject
00007ff80041acec (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
00007ff8004192ad (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
00007ff8003fc280 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
00007ff800419672 (__TEXT,__text) external __kernelrpc_mach_port_move_member
00007ff8003fc28c (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
00007ff800418ca2 (__TEXT,__text) external __kernelrpc_mach_port_names
00007ff800419399 (__TEXT,__text) external __kernelrpc_mach_port_peek
00007ff800418df3 (__TEXT,__text) external __kernelrpc_mach_port_rename
00007ff8003ff512 (__TEXT,__text) external __kernelrpc_mach_port_request_notification
00007ff8003fc46c (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
00007ff8003fe4ca (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
00007ff800405f61 (__TEXT,__text) external __kernelrpc_mach_port_set_context
00007ff800419587 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
00007ff800419858 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
00007ff80041a8df (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
00007ff800419dd7 (__TEXT,__text) external __kernelrpc_mach_port_space_info
00007ff80041a9f3 (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
00007ff80041ac00 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
00007ff80040374a (__TEXT,__text) external __kernelrpc_mach_port_type
00007ff8003fc460 (__TEXT,__text) external __kernelrpc_mach_port_type_trap
00007ff80041a7f7 (__TEXT,__text) external __kernelrpc_mach_port_unguard
00007ff8003fc388 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
00007ff8004217be (__TEXT,__text) external __kernelrpc_mach_task_is_self
00007ff80041b262 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
00007ff8003fc220 (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
00007ff80041b390 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
00007ff8003fc238 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
00007ff8003fd46d (__TEXT,__text) external __kernelrpc_mach_vm_map
00007ff8003fc25c (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
00007ff80041b478 (__TEXT,__text) external __kernelrpc_mach_vm_protect
00007ff8003fc250 (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
00007ff80041c117 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
00007ff8003fc22c (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
00007ff80041b654 (__TEXT,__text) external __kernelrpc_mach_vm_read
00007ff80041bd19 (__TEXT,__text) external __kernelrpc_mach_vm_remap
00007ff80041c546 (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
00007ff8004251dd (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
00007ff800419bd2 (__TEXT,__text) external __kernelrpc_task_set_port_space
00007ff80040050c (__TEXT,__text) external __kernelrpc_thread_policy
00007ff80040126e (__TEXT,__text) external __kernelrpc_thread_policy_set
00007ff800423582 (__TEXT,__text) external __kernelrpc_thread_set_policy
00007ff80040623a (__TEXT,__text) external __kernelrpc_vm_map
00007ff8004247a8 (__TEXT,__text) external __kernelrpc_vm_purgable_control
00007ff800403e05 (__TEXT,__text) external __kernelrpc_vm_read
00007ff8003fe176 (__TEXT,__text) external __kernelrpc_vm_remap
00007ff8004248d3 (__TEXT,__text) external __kernelrpc_vm_remap_new
00007ff8004081f7 (__TEXT,__text) non-external __libkernel_bzero
00007ff8437ffe90 (__DATA_DIRTY,__bss) non-external __libkernel_functions
00007ff84002fa30 (__DATA_CONST,__const) non-external __libkernel_generic_string_functions
00007ff800408280 (__TEXT,__text) non-external __libkernel_memmove
00007ff800408201 (__TEXT,__text) non-external __libkernel_memset
00007ff8004081d6 (__TEXT,__text) non-external __libkernel_strchr
00007ff800400e88 (__TEXT,__text) non-external __libkernel_strcmp
00007ff800408616 (__TEXT,__text) non-external __libkernel_strcpy
00007ff8437ff7e0 (__DATA_DIRTY,__data) non-external __libkernel_string_functions
00007ff800408f07 (__TEXT,__text) non-external __libkernel_strlcpy
00007ff80040800b (__TEXT,__text) non-external __libkernel_strlen
00007ff8437ff7e8 (__DATA_DIRTY,__data) non-external __libkernel_voucher_functions
00007ff8004258d0 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
00007ff80040a287 (__TEXT,__text) non-external __mach_continuous_time
00007ff840031410 (__DATA_CONST,__const) external __mach_errors
00007ff80040a749 (__TEXT,__text) external __mach_fork_child
00007ff80040b2ee (__TEXT,__text) external __mach_snprintf
00007ff80040b16c (__TEXT,__text) external __mach_vsnprintf
00007ff8437ff840 (__DATA_DIRTY,__common) external __os_alloc_once_table
00007ff841ae9e20 (__DATA,__common) external __os_xbs_chrooted
00007ff8004017f2 (__TEXT,__text) non-external __posix_spawn_file_actions_grow
00007ff80040863e (__TEXT,__text) non-external __posix_spawn_with_filter
00007ff80040c6b6 (__TEXT,__text) external __register_gethostuuid_callback
00007ff8004083c9 (__TEXT,__text) non-external __system_version_compat_check_path_suffix
00007ff800408445 (__TEXT,__text) non-external __system_version_compat_open_shim
00007ff8437ffea8 (__DATA_DIRTY,__bss) non-external __task_reply_port
00007ff800407fe0 (__TEXT,__text) external __thread_set_tsd_base
00007ff80042573c (__TEXT,__text) non-external _abort
00007ff800425760 (__TEXT,__text) non-external _abort.561
00007ff800425784 (__TEXT,__text) non-external _abort.563
00007ff8004257a5 (__TEXT,__text) non-external _abort.586
00007ff800425857 (__TEXT,__text) external _abort_with_payload
00007ff8004257dc (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
00007ff8004257c9 (__TEXT,__text) external _abort_with_reason
00007ff8004031d0 (__TEXT,__text) external _accept
00007ff800406ac0 (__TEXT,__text) external _accept$NOCANCEL
00007ff8003fcb78 (__TEXT,__text) external _access
00007ff800406ad8 (__TEXT,__text) external _accessx_np
00007ff8004074c0 (__TEXT,__text) external _acct
00007ff8004223dc (__TEXT,__text) external _act_get_state
00007ff8004225b2 (__TEXT,__text) external _act_set_state
00007ff8004074d8 (__TEXT,__text) external _adjtime
00007ff8004074f0 (__TEXT,__text) external _aio_cancel
00007ff800407508 (__TEXT,__text) external _aio_error
00007ff800407520 (__TEXT,__text) external _aio_fsync
00007ff800407538 (__TEXT,__text) external _aio_read
00007ff800407550 (__TEXT,__text) external _aio_return
00007ff800407568 (__TEXT,__text) external _aio_suspend
00007ff800406af0 (__TEXT,__text) external _aio_suspend$NOCANCEL
00007ff800407580 (__TEXT,__text) external _aio_write
00007ff800407598 (__TEXT,__text) external _audit
00007ff800405a9c (__TEXT,__text) external _audit_session_join
00007ff800405934 (__TEXT,__text) external _audit_session_port
00007ff8003ff6d8 (__TEXT,__text) external _audit_session_self
00007ff8004075b0 (__TEXT,__text) external _auditctl
00007ff800403f74 (__TEXT,__text) external _auditon
00007ff8004026cc (__TEXT,__text) external _bind
00007ff8437ff7f4 (__DATA_DIRTY,__common) external _bootstrap_port
00007ff8003fd831 (__TEXT,__text) external _cerror
00007ff8003fcb20 (__TEXT,__text) external _cerror_nocancel
00007ff8003ff664 (__TEXT,__text) external _change_fdguard_np
00007ff8003fd910 (__TEXT,__text) external _chdir
00007ff800402c90 (__TEXT,__text) external _chflags
00007ff8003ff260 (__TEXT,__text) external _chmod
00007ff8004026b4 (__TEXT,__text) external _chown
00007ff8004075c8 (__TEXT,__text) external _chroot
00007ff80041478b (__TEXT,__text) external _clock_alarm
00007ff8004145a3 (__TEXT,__text) external _clock_alarm_reply
00007ff800414606 (__TEXT,__text) external _clock_get_attributes
00007ff8004008ba (__TEXT,__text) external _clock_get_time
00007ff80041447b (__TEXT,__text) external _clock_set_attributes
00007ff800414397 (__TEXT,__text) external _clock_set_time
00007ff8004061a3 (__TEXT,__text) external _clock_sleep
00007ff8003fc43c (__TEXT,__text) external _clock_sleep_trap
00007ff80040454b (__TEXT,__text) external _clonefile
00007ff80040029c (__TEXT,__text) external _clonefileat
00007ff8003fce0c (__TEXT,__text) external _close
00007ff8003fd804 (__TEXT,__text) external _close$NOCANCEL
00007ff800411269 (__TEXT,__text) external _coalition_create
00007ff8004112e6 (__TEXT,__text) external _coalition_info_debug_info
00007ff8004112ba (__TEXT,__text) external _coalition_info_resource_usage
00007ff80041133e (__TEXT,__text) external _coalition_info_set_efficiency
00007ff800411312 (__TEXT,__text) external _coalition_info_set_name
00007ff800411372 (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
