000000019f79f858 (__TEXT,__text) non-external +[Calculate _lock]
000000019f79bab0 (__TEXT,__text) non-external -[CalculateResult setTypeInfo:]
000000019f79bad8 (__TEXT,__text) non-external -[CalculateResult setUnitFormat:]
000000019f79bac4 (__TEXT,__text) non-external -[CalculateResult setUnitsInfo:]
000000019f79baa8 (__TEXT,__text) non-external -[CalculateResult singleUnitID]
000000019f79bb58 (__TEXT,__text) non-external -[CalculateResult synchronous]
000000019f79bb78 (__TEXT,__text) non-external -[CalculateResult terms]
000000019f79babc (__TEXT,__text) non-external -[CalculateResult typeInfo]
000000019f79bb80 (__TEXT,__text) non-external -[CalculateResult unitExponent]
000000019f79bae0 (__TEXT,__text) non-external -[CalculateResult unitFormat]
000000019f79bb88 (__TEXT,__text) non-external -[CalculateResult unitType]
000000019f79bad0 (__TEXT,__text) non-external -[CalculateResult unitsInfo]
000000019f799234 (__TEXT,__text) non-external -[CalculateTerm .cxx_destruct]
000000019f79af2c (__TEXT,__text) non-external -[CalculateTerm _setDecimalValue:]
000000019f799fa8 (__TEXT,__text) non-external -[CalculateTerm _valueWithoutIrrelevantDecimals]
000000019f799350 (__TEXT,__text) non-external -[CalculateTerm compare:]
000000019f799288 (__TEXT,__text) non-external -[CalculateTerm decimalValue]
000000019f7992dc (__TEXT,__text) non-external -[CalculateTerm description]
000000019f799f48 (__TEXT,__text) non-external -[CalculateTerm emptyNumeratorString]
000000019f799528 (__TEXT,__text) non-external -[CalculateTerm formattedResult]
000000019f79989c (__TEXT,__text) non-external -[CalculateTerm formattedUnitReplacingFirstNumerator:]
000000019f799ddc (__TEXT,__text) non-external -[CalculateTerm formattedUnit]
000000019f79a224 (__TEXT,__text) non-external -[CalculateTerm formattedValue]
000000019f79abbc (__TEXT,__text) non-external -[CalculateTerm getMaximumFractionDigits:minimumFractionDigits:]
000000019f79a824 (__TEXT,__text) non-external -[CalculateTerm getMaximumFractionDigits:minimumFractionDigits:forValue:]
000000019f79af80 (__TEXT,__text) non-external -[CalculateTerm init]
000000019f79ac14 (__TEXT,__text) non-external -[CalculateTerm isCurrency]
000000019f7992e0 (__TEXT,__text) non-external -[CalculateTerm isEqual:]
000000019f79acb0 (__TEXT,__text) non-external -[CalculateTerm locale]
000000019f79addc (__TEXT,__text) non-external -[CalculateTerm numberFormatter]
000000019f799de4 (__TEXT,__text) non-external -[CalculateTerm primaryUnit]
000000019f79ae8c (__TEXT,__text) non-external -[CalculateTerm resultContainingNumberFormatter]
000000019f7992a0 (__TEXT,__text) non-external -[CalculateTerm result]
000000019f799280 (__TEXT,__text) non-external -[CalculateTerm setDecimalValue:]
000000019f799294 (__TEXT,__text) non-external -[CalculateTerm setResult:]
000000019f7992cc (__TEXT,__text) non-external -[CalculateTerm units]
000000019f7992d4 (__TEXT,__text) non-external -[CalculateTerm value]
000000019f79fe34 (__TEXT,__text) non-external -[CalculateToken .cxx_destruct]
000000019f79ff3c (__TEXT,__text) non-external -[CalculateToken initWithType:range:text:ranks:]
000000019f79fe9c (__TEXT,__text) non-external -[CalculateToken isEqual:]
000000019f79fe90 (__TEXT,__text) non-external -[CalculateToken range]
000000019f79fe78 (__TEXT,__text) non-external -[CalculateToken ranks]
000000019f79fe80 (__TEXT,__text) non-external -[CalculateToken text]
000000019f79fe88 (__TEXT,__text) non-external -[CalculateToken tokenType]
000000019f7a00a4 (__TEXT,__text) non-external -[CalculateTokenizer .cxx_destruct]
000000019f7a0318 (__TEXT,__text) non-external -[CalculateTokenizer _findTokens]
000000019f7a2190 (__TEXT,__text) non-external -[CalculateTokenizer _loadIfNeeded]
000000019f7a01c8 (__TEXT,__text) non-external -[CalculateTokenizer index]
000000019f7a35dc (__TEXT,__text) non-external -[CalculateTokenizer initWithUnits:]
000000019f7a0154 (__TEXT,__text) non-external -[CalculateTokenizer lastToken]
000000019f7a01b8 (__TEXT,__text) non-external -[CalculateTokenizer locales]
000000019f7a0298 (__TEXT,__text) non-external -[CalculateTokenizer nextToken]
000000019f7a0178 (__TEXT,__text) non-external -[CalculateTokenizer peekIndex]
000000019f7a01d0 (__TEXT,__text) non-external -[CalculateTokenizer peekToken]
000000019f7a0168 (__TEXT,__text) non-external -[CalculateTokenizer peekTokens]
000000019f7a2114 (__TEXT,__text) non-external -[CalculateTokenizer reset]
000000019f7a0148 (__TEXT,__text) non-external -[CalculateTokenizer setLastToken:]
000000019f7a1af8 (__TEXT,__text) non-external -[CalculateTokenizer setLocales:]
000000019f7a0170 (__TEXT,__text) non-external -[CalculateTokenizer setPeekIndex:]
000000019f7a015c (__TEXT,__text) non-external -[CalculateTokenizer setPeekTokens:]
000000019f7a1b3c (__TEXT,__text) non-external -[CalculateTokenizer setString:]
000000019f7a0180 (__TEXT,__text) non-external -[CalculateTokenizer setStringLength:]
000000019f7a0190 (__TEXT,__text) non-external -[CalculateTokenizer setTrie:]
000000019f7a01a4 (__TEXT,__text) non-external -[CalculateTokenizer setUnitsInfo:]
000000019f7a0134 (__TEXT,__text) non-external -[CalculateTokenizer setWordBreakIndices:]
000000019f7a0124 (__TEXT,__text) non-external -[CalculateTokenizer setWordBreakIndicesIndex:]
000000019f7a0188 (__TEXT,__text) non-external -[CalculateTokenizer stringLength]
000000019f7a01c0 (__TEXT,__text) non-external -[CalculateTokenizer string]
000000019f7a019c (__TEXT,__text) non-external -[CalculateTokenizer trie]
000000019f7a01b0 (__TEXT,__text) non-external -[CalculateTokenizer unitsInfo]
000000019f7a012c (__TEXT,__text) non-external -[CalculateTokenizer wordBreakIndicesIndex]
000000019f7a0140 (__TEXT,__text) non-external -[CalculateTokenizer wordBreakIndices]
000000019f79dd28 (__TEXT,__text) non-external -[CalculateUnit .cxx_destruct]
000000019f79e490 (__TEXT,__text) non-external -[CalculateUnit compactNameForLocalization:]
000000019f79ded4 (__TEXT,__text) non-external -[CalculateUnit compare:]
000000019f79ddb0 (__TEXT,__text) non-external -[CalculateUnit description]
000000019f79dda0 (__TEXT,__text) non-external -[CalculateUnit exponent]
000000019f79e510 (__TEXT,__text) non-external -[CalculateUnit formatNextSmallest]
000000019f79e670 (__TEXT,__text) non-external -[CalculateUnit isDenominator]
000000019f79de64 (__TEXT,__text) non-external -[CalculateUnit isEqual:]
000000019f79e68c (__TEXT,__text) non-external -[CalculateUnit isNumerator]
000000019f79df58 (__TEXT,__text) non-external -[CalculateUnit localizedNameForValue:localization:retainingFormat:]
000000019f79dda8 (__TEXT,__text) non-external -[CalculateUnit name]
000000019f79e518 (__TEXT,__text) non-external -[CalculateUnit nextSmallest]
000000019f79dd8c (__TEXT,__text) non-external -[CalculateUnit setNextSmallest:]
000000019f79dd78 (__TEXT,__text) non-external -[CalculateUnit setUnitInfo:]
000000019f79dd84 (__TEXT,__text) non-external -[CalculateUnit unitInfo]
000000019f79dd98 (__TEXT,__text) non-external -[CalculateUnit unitType]
000000019f7a3790 (__TEXT,__text) non-external -[Converter .cxx_destruct]
000000019f7a649c (__TEXT,__text) non-external -[Converter _calculate:]
000000019f7a49d0 (__TEXT,__text) non-external -[Converter _doubleWithoutUnrelevantDecimalsForNumber:]
000000019f7a3938 (__TEXT,__text) non-external -[Converter _localizedPluralizedStringsforNumber:unit:]
000000019f7a5d08 (__TEXT,__text) non-external -[Converter _normalizedUnitNamesForName:]
000000019f7a4a5c (__TEXT,__text) non-external -[Converter _operateConversionForOutputUnit:]
000000019f7a6614 (__TEXT,__text) non-external -[Converter _parseInputQuery]
000000019f7a51a0 (__TEXT,__text) non-external -[Converter _performUnitPluralization]
000000019f7a657c (__TEXT,__text) non-external -[Converter _safe_subStringOf:withRange:]
000000019f7a59d0 (__TEXT,__text) non-external -[Converter _standardizeInputAndOutputUnits]
000000019f7a56c4 (__TEXT,__text) non-external -[Converter _unitInfoForNormalizedName:]
000000019f7a5e90 (__TEXT,__text) non-external -[Converter _updateInputValueFromMatch:]
000000019f7a3860 (__TEXT,__text) non-external -[Converter additionalResults]
000000019f7a384c (__TEXT,__text) non-external -[Converter conversionType]
000000019f7a3870 (__TEXT,__text) non-external -[Converter currencyUpdateTimeOut]
000000019f7a828c (__TEXT,__text) non-external -[Converter initWithInput:]
000000019f7a3930 (__TEXT,__text) non-external -[Converter inputString]
000000019f7a391c (__TEXT,__text) non-external -[Converter inputUnit]
000000019f7a3908 (__TEXT,__text) non-external -[Converter inputValue]
000000019f7a3878 (__TEXT,__text) non-external -[Converter isCurrency]
000000019f7a38cc (__TEXT,__text) non-external -[Converter localizedInputValueAndUnit]
000000019f7a3890 (__TEXT,__text) non-external -[Converter localizedOutputUnit]
000000019f7a38b8 (__TEXT,__text) non-external -[Converter localizedOutputValueAndUnit]
000000019f7a38a4 (__TEXT,__text) non-external -[Converter localizedOutputValue]
000000019f7a38f4 (__TEXT,__text) non-external -[Converter outputUnit]
000000019f7a38e0 (__TEXT,__text) non-external -[Converter outputValue]
000000019f7a6efc (__TEXT,__text) non-external -[Converter processConversionWithCompletion:]
000000019f7a3854 (__TEXT,__text) non-external -[Converter setAdditionalResults:]
000000019f7a3840 (__TEXT,__text) non-external -[Converter setConversionType:]
000000019f7a3868 (__TEXT,__text) non-external -[Converter setCurrencyUpdateTimeOut:]
000000019f7a3924 (__TEXT,__text) non-external -[Converter setInputString:]
000000019f7a3910 (__TEXT,__text) non-external -[Converter setInputUnit:]
000000019f7a38fc (__TEXT,__text) non-external -[Converter setInputValue:]
000000019f7a38c0 (__TEXT,__text) non-external -[Converter setLocalizedInputValueAndUnit:]
000000019f7a3884 (__TEXT,__text) non-external -[Converter setLocalizedOutputUnit:]
000000019f7a3898 (__TEXT,__text) non-external -[Converter setLocalizedOutputValue:]
000000019f7a38ac (__TEXT,__text) non-external -[Converter setLocalizedOutputValueAndUnit:]
000000019f7a38e8 (__TEXT,__text) non-external -[Converter setOutputUnit:]
000000019f7a38d4 (__TEXT,__text) non-external -[Converter setOutputValue:]
000000019f7a533c (__TEXT,__text) non-external -[Converter similarUnitsForNormalizedName:]
000000019f77bcb8 (__TEXT,__text) non-external -[CurrencyCache .cxx_destruct]
000000019f77cec8 (__TEXT,__text) non-external -[CurrencyCache _consumerKey]
000000019f77ced4 (__TEXT,__text) non-external -[CurrencyCache _consumerSecret]
000000019f77c308 (__TEXT,__text) non-external -[CurrencyCache _loadPersistedCurrencyCache]
000000019f77cff0 (__TEXT,__text) non-external -[CurrencyCache _needsRefresh]
000000019f77c55c (__TEXT,__text) non-external -[CurrencyCache _queue_persistCurrencyCache]
000000019f77c7e0 (__TEXT,__text) non-external -[CurrencyCache _queue_refresh:]
000000019f77c7a8 (__TEXT,__text) non-external -[CurrencyCache _queue_refresh]
000000019f77ce2c (__TEXT,__text) non-external -[CurrencyCache createCredential]
000000019f77cf60 (__TEXT,__text) non-external -[CurrencyCache currencyData]
000000019f77d450 (__TEXT,__text) non-external -[CurrencyCache init]
000000019f77d03c (__TEXT,__text) non-external -[CurrencyCache lastRefreshDate]
000000019f77bd60 (__TEXT,__text) non-external -[CurrencyCache lastRefreshTimeInternal]
000000019f77bd50 (__TEXT,__text) non-external -[CurrencyCache lock]
000000019f77cfb0 (__TEXT,__text) non-external -[CurrencyCache needsRefresh]
000000019f77d254 (__TEXT,__text) non-external -[CurrencyCache refreshIfNeeded]
000000019f77bd80 (__TEXT,__text) non-external -[CurrencyCache refreshInterval]
000000019f77d08c (__TEXT,__text) non-external -[CurrencyCache refreshWithTimeOut:]
000000019f77d2a0 (__TEXT,__text) non-external -[CurrencyCache refresh]
000000019f77bd94 (__TEXT,__text) non-external -[CurrencyCache serializer]
000000019f77bd9c (__TEXT,__text) non-external -[CurrencyCache setCurrencyData:]
000000019f77bd58 (__TEXT,__text) non-external -[CurrencyCache setLastRefreshTimeInternal:]
000000019f77bd44 (__TEXT,__text) non-external -[CurrencyCache setLock:]
000000019f77bd78 (__TEXT,__text) non-external -[CurrencyCache setRefreshInterval:]
000000019f77bd88 (__TEXT,__text) non-external -[CurrencyCache setSerializer:]
000000019f77bd68 (__TEXT,__text) non-external -[CurrencyCache setTimeout:]
000000019f77bd70 (__TEXT,__text) non-external -[CurrencyCache timeout]
000000019f77bdb0 (__TEXT,__text) non-external -[CurrencyCache updateCurrencyCacheWithData:]
000000019f77bda8 (__TEXT,__text) non-external -[CurrencyCache uuid]
000000019f78f754 (__TEXT,__text) non-external -[NSLocale(Whitespace) usesWhitespace]
000000019f792170 (__TEXT,__text) non-external -[Trie .cxx_destruct]
000000019f792230 (__TEXT,__text) non-external -[Trie characterCount]
000000019f792220 (__TEXT,__text) non-external -[Trie characterSize]
000000019f792240 (__TEXT,__text) non-external -[Trie characters]
000000019f7921bc (__TEXT,__text) non-external -[Trie compressed]
000000019f792350 (__TEXT,__text) non-external -[Trie dealloc]
000000019f7921cc (__TEXT,__text) non-external -[Trie firstByteCache]
000000019f7923b8 (__TEXT,__text) non-external -[Trie init]
000000019f792200 (__TEXT,__text) non-external -[Trie nodeCount]
000000019f7921f0 (__TEXT,__text) non-external -[Trie nodeSize]
000000019f792210 (__TEXT,__text) non-external -[Trie nodes]
000000019f7921e0 (__TEXT,__text) non-external -[Trie objects]
000000019f792228 (__TEXT,__text) non-external -[Trie setCharacterCount:]
000000019f792218 (__TEXT,__text) non-external -[Trie setCharacterSize:]
000000019f792238 (__TEXT,__text) non-external -[Trie setCharacters:]
000000019f7921b4 (__TEXT,__text) non-external -[Trie setCompressed:]
000000019f7921c4 (__TEXT,__text) non-external -[Trie setFirstByteCache:]
000000019f7921f8 (__TEXT,__text) non-external -[Trie setNodeCount:]
000000019f7921e8 (__TEXT,__text) non-external -[Trie setNodeSize:]
000000019f792208 (__TEXT,__text) non-external -[Trie setNodes:]
000000019f7921d4 (__TEXT,__text) non-external -[Trie setObjects:]
000000019f7922dc (__TEXT,__text) non-external -[Trie writeCharacter:]
000000019f792248 (__TEXT,__text) non-external -[Trie writeNode:]
000000019f792110 (__TEXT,__text) non-external -[TrieNode .cxx_destruct]
000000019f792130 (__TEXT,__text) non-external -[TrieNode node]
000000019f792558 (__TEXT,__text) non-external -[TrieNode objectForByte:leaf:create:]
000000019f792b3c (__TEXT,__text) non-external -[TrieNode objectForKey:create:]
000000019f792c60 (__TEXT,__text) non-external -[TrieNode objectForKeyedSubscript:]
000000019f792934 (__TEXT,__text) non-external -[TrieNode object]
000000019f792120 (__TEXT,__text) non-external -[TrieNode offset]
000000019f792128 (__TEXT,__text) non-external -[TrieNode setNode:]
000000019f792a18 (__TEXT,__text) non-external -[TrieNode setObject:]
000000019f792118 (__TEXT,__text) non-external -[TrieNode setOffset:]
000000019f792138 (__TEXT,__text) non-external -[TrieNode setTrie:]
000000019f792144 (__TEXT,__text) non-external -[TrieNode trie]
000000019f792604 (__TEXT,__text) non-external -[TrieNode updateForByte:leaf:create:]
000000019f7900dc (__TEXT,__text) non-external -[UnitInfo .cxx_destruct]
000000019f790170 (__TEXT,__text) non-external -[UnitInfo allSubunitIDs]
000000019f7902dc (__TEXT,__text) non-external -[UnitInfo baseDenominator]
000000019f7902f0 (__TEXT,__text) non-external -[UnitInfo baseNumerator]
000000019f790200 (__TEXT,__text) non-external -[UnitInfo bestEquivalent]
000000019f790330 (__TEXT,__text) non-external -[UnitInfo compactNameForLocalization:]
000000019f79064c (__TEXT,__text) non-external -[UnitInfo compare:]
000000019f7901dc (__TEXT,__text) non-external -[UnitInfo doNotSuggest]
000000019f790194 (__TEXT,__text) non-external -[UnitInfo formatNextSmallest]
000000019f790610 (__TEXT,__text) non-external -[UnitInfo hash]
000000019f79029c (__TEXT,__text) non-external -[UnitInfo impliesDivision]
000000019f79074c (__TEXT,__text) non-external -[UnitInfo init]
000000019f7902bc (__TEXT,__text) non-external -[UnitInfo isBaseUnit]
000000019f79027c (__TEXT,__text) non-external -[UnitInfo isCelsius]
000000019f7902ac (__TEXT,__text) non-external -[UnitInfo isDisplayName]
000000019f7906cc (__TEXT,__text) non-external -[UnitInfo isEqual:]
000000019f79028c (__TEXT,__text) non-external -[UnitInfo isFahrenheit]
000000019f7902cc (__TEXT,__text) non-external -[UnitInfo isInverted]
000000019f79026c (__TEXT,__text) non-external -[UnitInfo isKelvin]
000000019f79015c (__TEXT,__text) non-external -[UnitInfo localizationToCompactName]
000000019f7901ec (__TEXT,__text) non-external -[UnitInfo measurementSystem]
000000019f790308 (__TEXT,__text) non-external -[UnitInfo name]
000000019f7901a8 (__TEXT,__text) non-external -[UnitInfo nextSmallest]
000000019f790164 (__TEXT,__text) non-external -[UnitInfo setAllSubunitIDs:]
000000019f7902d4 (__TEXT,__text) non-external -[UnitInfo setBaseDenominator:]
000000019f7902e8 (__TEXT,__text) non-external -[UnitInfo setBaseNumerator:]
000000019f7901f4 (__TEXT,__text) non-external -[UnitInfo setBestEquivalent:]
000000019f7901d4 (__TEXT,__text) non-external -[UnitInfo setDoNotSuggest:]
000000019f79018c (__TEXT,__text) non-external -[UnitInfo setFormatNextSmallest:]
000000019f790294 (__TEXT,__text) non-external -[UnitInfo setImpliesDivision:]
000000019f7902b4 (__TEXT,__text) non-external -[UnitInfo setIsBaseUnit:]
000000019f790274 (__TEXT,__text) non-external -[UnitInfo setIsCelsius:]
000000019f7902a4 (__TEXT,__text) non-external -[UnitInfo setIsDisplayName:]
000000019f790284 (__TEXT,__text) non-external -[UnitInfo setIsFahrenheit:]
000000019f7902c4 (__TEXT,__text) non-external -[UnitInfo setIsInverted:]
000000019f790264 (__TEXT,__text) non-external -[UnitInfo setIsKelvin:]
000000019f790150 (__TEXT,__text) non-external -[UnitInfo setLocalizationToCompactName:]
000000019f7901e4 (__TEXT,__text) non-external -[UnitInfo setMeasurementSystem:]
000000019f7902fc (__TEXT,__text) non-external -[UnitInfo setName:]
000000019f79019c (__TEXT,__text) non-external -[UnitInfo setNextSmallest:]
000000019f790178 (__TEXT,__text) non-external -[UnitInfo setSubunitIDs:]
000000019f79022c (__TEXT,__text) non-external -[UnitInfo setTypeInfo:]
000000019f790320 (__TEXT,__text) non-external -[UnitInfo setUnitID:]
000000019f790310 (__TEXT,__text) non-external -[UnitInfo setUnitType:]
000000019f790184 (__TEXT,__text) non-external -[UnitInfo subunitIDs]
000000019f790238 (__TEXT,__text) non-external -[UnitInfo typeInfo]
000000019f790328 (__TEXT,__text) non-external -[UnitInfo unitID]
000000019f790318 (__TEXT,__text) non-external -[UnitInfo unitType]
000000019f78f8e0 (__TEXT,__text) non-external -[UnitRank .cxx_destruct]
000000019f78fa1c (__TEXT,__text) non-external -[UnitRank compare:]
000000019f78f930 (__TEXT,__text) non-external -[UnitRank context]
000000019f78f96c (__TEXT,__text) non-external -[UnitRank description]
000000019f78f9d0 (__TEXT,__text) non-external -[UnitRank hash]
000000019f78fbec (__TEXT,__text) non-external -[UnitRank initWithUnitID:rank:locale:]
000000019f78fb28 (__TEXT,__text) non-external -[UnitRank initWithUnitID:rank:locale:context:]
000000019f78fa9c (__TEXT,__text) non-external -[UnitRank isEqual:]
000000019f78f944 (__TEXT,__text) non-external -[UnitRank locale]
000000019f78f954 (__TEXT,__text) non-external -[UnitRank rank]
000000019f78f924 (__TEXT,__text) non-external -[UnitRank setContext:]
000000019f78f938 (__TEXT,__text) non-external -[UnitRank setLocale:]
000000019f78f94c (__TEXT,__text) non-external -[UnitRank setRank:]
000000019f78f95c (__TEXT,__text) non-external -[UnitRank setUnitID:]
000000019f78f964 (__TEXT,__text) non-external -[UnitRank unitID]
000000019f78fbf4 (__TEXT,__text) non-external -[UnitRanks .cxx_destruct]
000000019f78fcd0 (__TEXT,__text) non-external -[UnitRanks addUnitRank:]
000000019f78fc8c (__TEXT,__text) non-external -[UnitRanks containsCurrency]
000000019f78fcb0 (__TEXT,__text) non-external -[UnitRanks containsFrom]
000000019f78fca4 (__TEXT,__text) non-external -[UnitRanks containsTo]
000000019f78fc98 (__TEXT,__text) non-external -[UnitRanks containsUnit]
000000019f78ffbc (__TEXT,__text) non-external -[UnitRanks initWithUnitsInfo:]
000000019f78ff1c (__TEXT,__text) non-external -[UnitRanks init]
000000019f78fe80 (__TEXT,__text) non-external -[UnitRanks isAmbiguous]
