00007ffb1cb3835b (__TEXT,__text) external _AAAFSCGetMetadata
00007ffb1cafba8f (__TEXT,__text) external _AAAsyncByteStreamProcessAllRanges
00007ffb1cae0157 (__TEXT,__text) external _AAByteRangeAdd
00007ffb1cae0059 (__TEXT,__text) external _AAByteRangeClone
00007ffb1cadffbb (__TEXT,__text) external _AAByteRangeCreate
00007ffb1cae0033 (__TEXT,__text) external _AAByteRangeDestroy
00007ffb1cae0321 (__TEXT,__text) external _AAByteRangeFirst
00007ffb1cae042e (__TEXT,__text) external _AAByteRangeNext
00007ffb1cae02b6 (__TEXT,__text) external _AAByteRangeOffsetAtSize
00007ffb1cae0245 (__TEXT,__text) external _AAByteRangeSizeAtOffset
00007ffb1cae01d3 (__TEXT,__text) external _AAByteRangeSub
00007ffb1cb36799 (__TEXT,__text) external _AAByteStreamCancel
00007ffb1cb367ae (__TEXT,__text) external _AAByteStreamClose
00007ffb1cb367e5 (__TEXT,__text) external _AAByteStreamCloseWithState
00007ffb1cb3682e (__TEXT,__text) external _AAByteStreamFlush
00007ffb1cb36761 (__TEXT,__text) external _AAByteStreamPRead
00007ffb1cb36862 (__TEXT,__text) external _AAByteStreamPReadAsync
00007ffb1cb36729 (__TEXT,__text) external _AAByteStreamPWrite
00007ffb1cb0ff84 (__TEXT,__text) external _AAByteStreamProcess
00007ffb1cb36745 (__TEXT,__text) external _AAByteStreamRead
00007ffb1cb3677d (__TEXT,__text) external _AAByteStreamSeek
00007ffb1cb36848 (__TEXT,__text) external _AAByteStreamTruncate
00007ffb1cb3667e (__TEXT,__text) external _AAByteStreamWrite
00007ffb1caf9df8 (__TEXT,__text) external _AAChunkAsyncStreamOpen
00007ffb1caf94bd (__TEXT,__text) external _AAChunkInputStreamOpen
00007ffb1cb0d09b (__TEXT,__text) external _AAChunkOutputStreamOpen
00007ffb1cb3b27d (__TEXT,__text) external _AACompressionOutputStreamOpen
00007ffb1cb3bbe5 (__TEXT,__text) external _AACompressionOutputStreamOpenExisting
00007ffb1cb032c4 (__TEXT,__text) external _AAConvertArchiveOutputStreamOpen
00007ffb1caca2f4 (__TEXT,__text) external _AACustomArchiveStreamOpen
00007ffb1caca36f (__TEXT,__text) external _AACustomArchiveStreamSetCancelProc
00007ffb1caca365 (__TEXT,__text) external _AACustomArchiveStreamSetCloseProc
00007ffb1caca35c (__TEXT,__text) external _AACustomArchiveStreamSetData
00007ffb1caca397 (__TEXT,__text) external _AACustomArchiveStreamSetReadBlobProc
00007ffb1caca38d (__TEXT,__text) external _AACustomArchiveStreamSetReadHeaderProc
00007ffb1caca383 (__TEXT,__text) external _AACustomArchiveStreamSetWriteBlobProc
00007ffb1caca379 (__TEXT,__text) external _AACustomArchiveStreamSetWriteHeaderProc
00007ffb1cb37666 (__TEXT,__text) external _AACustomByteStreamOpen
00007ffb1cb37700 (__TEXT,__text) external _AACustomByteStreamSetCancelProc
00007ffb1cb376c4 (__TEXT,__text) external _AACustomByteStreamSetCloseProc
00007ffb1cb376bb (__TEXT,__text) external _AACustomByteStreamSetData
00007ffb1cb376d8 (__TEXT,__text) external _AACustomByteStreamSetPReadProc
00007ffb1cb376ec (__TEXT,__text) external _AACustomByteStreamSetPWriteProc
00007ffb1cb376ce (__TEXT,__text) external _AACustomByteStreamSetReadProc
00007ffb1cb376f6 (__TEXT,__text) external _AACustomByteStreamSetSeekProc
00007ffb1cb376e2 (__TEXT,__text) external _AACustomByteStreamSetWriteProc
00007ffb1cb35bb3 (__TEXT,__text) external _AADecodeArchiveInputStreamOpen
00007ffb1cb3701d (__TEXT,__text) external _AADecompressionInputStreamOpen
00007ffb1cb3e474 (__TEXT,__text) external _AADecompressionRandomAccessInputStreamOpen
00007ffb1cb33d5b (__TEXT,__text) external _AAEncodeArchiveOutputStreamOpen
00007ffb1cb2bd6c (__TEXT,__text) external _AAEntryACLBlobAppendEntry
00007ffb1cb2ca96 (__TEXT,__text) external _AAEntryACLBlobApplyToPath
00007ffb1cb2ca85 (__TEXT,__text) external _AAEntryACLBlobClear
00007ffb1cb2c930 (__TEXT,__text) external _AAEntryACLBlobCreate
00007ffb1cb2c9f2 (__TEXT,__text) external _AAEntryACLBlobCreateWithEncodedData
00007ffb1cb2ca39 (__TEXT,__text) external _AAEntryACLBlobCreateWithPath
00007ffb1cb2c998 (__TEXT,__text) external _AAEntryACLBlobDestroy
00007ffb1cb2d1aa (__TEXT,__text) external _AAEntryACLBlobGetEncodedData
00007ffb1cb2d1a0 (__TEXT,__text) external _AAEntryACLBlobGetEncodedSize
00007ffb1cb2cbe0 (__TEXT,__text) external _AAEntryACLBlobGetEntry
00007ffb1cb2cbd8 (__TEXT,__text) external _AAEntryACLBlobGetEntryCount
00007ffb1cb2d0d9 (__TEXT,__text) external _AAEntryACLBlobRemoveEntry
00007ffb1cb2cd83 (__TEXT,__text) external _AAEntryACLBlobSetEntry
00007ffb1cb28d54 (__TEXT,__text) external _AAEntryXATBlobAppendEntry
00007ffb1cb29558 (__TEXT,__text) external _AAEntryXATBlobApplyToPath
00007ffb1cb29547 (__TEXT,__text) external _AAEntryXATBlobClear
00007ffb1cb293f2 (__TEXT,__text) external _AAEntryXATBlobCreate
00007ffb1cb294b4 (__TEXT,__text) external _AAEntryXATBlobCreateWithEncodedData
00007ffb1cb294fb (__TEXT,__text) external _AAEntryXATBlobCreateWithPath
00007ffb1cb2945a (__TEXT,__text) external _AAEntryXATBlobDestroy
00007ffb1cb29b9c (__TEXT,__text) external _AAEntryXATBlobGetEncodedData
00007ffb1cb29b92 (__TEXT,__text) external _AAEntryXATBlobGetEncodedSize
00007ffb1cb296a2 (__TEXT,__text) external _AAEntryXATBlobGetEntry
00007ffb1cb2969a (__TEXT,__text) external _AAEntryXATBlobGetEntryCount
00007ffb1cb29acb (__TEXT,__text) external _AAEntryXATBlobRemoveEntry
00007ffb1cb297d3 (__TEXT,__text) external _AAEntryXATBlobSetEntry
00007ffb1cb33aaf (__TEXT,__text) external _AAEntryYECBlobApplyToPath
00007ffb1cb3396b (__TEXT,__text) external _AAEntryYECBlobCreate
00007ffb1cb33a0d (__TEXT,__text) external _AAEntryYECBlobCreateWithEncodedData
00007ffb1cb33a54 (__TEXT,__text) external _AAEntryYECBlobCreateWithPath
00007ffb1cb339d3 (__TEXT,__text) external _AAEntryYECBlobDestroy
00007ffb1cb33d51 (__TEXT,__text) external _AAEntryYECBlobGetEncodedData
00007ffb1cb33d48 (__TEXT,__text) external _AAEntryYECBlobGetEncodedSize
00007ffb1cb20140 (__TEXT,__text) external _AAExtractArchiveOutputStreamOpen
00007ffb1cb1d79d (__TEXT,__text) external _AAFieldKeySetClear
00007ffb1cb1d66e (__TEXT,__text) external _AAFieldKeySetClone
00007ffb1cb1d7ab (__TEXT,__text) external _AAFieldKeySetContainsKey
00007ffb1cb1d2a0 (__TEXT,__text) external _AAFieldKeySetCreate
00007ffb1cb1d308 (__TEXT,__text) external _AAFieldKeySetCreateWithString
00007ffb1cb1d648 (__TEXT,__text) external _AAFieldKeySetDestroy
00007ffb1cb1ddb2 (__TEXT,__text) external _AAFieldKeySetGetKey
00007ffb1cb1ddaa (__TEXT,__text) external _AAFieldKeySetGetKeyCount
00007ffb1cb1d848 (__TEXT,__text) external _AAFieldKeySetInsertKey
00007ffb1cb1dad2 (__TEXT,__text) external _AAFieldKeySetInsertKeySet
00007ffb1cb1da13 (__TEXT,__text) external _AAFieldKeySetRemoveKey
00007ffb1cb1dcb2 (__TEXT,__text) external _AAFieldKeySetRemoveKeySet
00007ffb1cb1dd46 (__TEXT,__text) external _AAFieldKeySetSelectKeySet
00007ffb1cb1ddc1 (__TEXT,__text) external _AAFieldKeySetSerialize
00007ffb1cb3687c (__TEXT,__text) external _AAFileStreamOpenWithFD
00007ffb1cb36bd1 (__TEXT,__text) external _AAFileStreamOpenWithPath
00007ffb1cb3fa05 (__TEXT,__text) non-external (was a private external) _AAGenericRandomAccessInputStreamOpen
00007ffb1cb26ea6 (__TEXT,__text) external _AAHeaderAssign
00007ffb1cb2746a (__TEXT,__text) external _AAHeaderClear
00007ffb1cb26dfa (__TEXT,__text) external _AAHeaderClone
00007ffb1cb26d0d (__TEXT,__text) external _AAHeaderCreate
00007ffb1cb27062 (__TEXT,__text) external _AAHeaderCreateWithEncodedData
00007ffb1cb270a9 (__TEXT,__text) external _AAHeaderCreateWithPath
00007ffb1cb26db4 (__TEXT,__text) external _AAHeaderDestroy
00007ffb1cb2856c (__TEXT,__text) external _AAHeaderGetEncodedData
00007ffb1cb28562 (__TEXT,__text) external _AAHeaderGetEncodedSize
00007ffb1cb26bfd (__TEXT,__text) external _AAHeaderGetFieldBlob
00007ffb1cb26b9e (__TEXT,__text) external _AAHeaderGetFieldCount
00007ffb1cb27654 (__TEXT,__text) external _AAHeaderGetFieldHash
00007ffb1cb26c8a (__TEXT,__text) external _AAHeaderGetFieldKey
00007ffb1cb27549 (__TEXT,__text) external _AAHeaderGetFieldString
00007ffb1cb2775d (__TEXT,__text) external _AAHeaderGetFieldTimespec
00007ffb1cb26ba6 (__TEXT,__text) external _AAHeaderGetFieldType
00007ffb1cb274c4 (__TEXT,__text) external _AAHeaderGetFieldUInt
00007ffb1cb2748f (__TEXT,__text) external _AAHeaderGetKeyIndex
00007ffb1cb28558 (__TEXT,__text) external _AAHeaderGetPayloadSize
00007ffb1cb270f5 (__TEXT,__text) external _AAHeaderRemoveField
00007ffb1cb2834e (__TEXT,__text) external _AAHeaderSetFieldBlob
00007ffb1cb27882 (__TEXT,__text) external _AAHeaderSetFieldFlag
00007ffb1cb27f0b (__TEXT,__text) external _AAHeaderSetFieldHash
00007ffb1cb27cd2 (__TEXT,__text) external _AAHeaderSetFieldString
00007ffb1cb2815a (__TEXT,__text) external _AAHeaderSetFieldTimespec
00007ffb1cb27ad0 (__TEXT,__text) external _AAHeaderSetFieldUInt
00007ffb1cb37029 (__TEXT,__text) external _AAMagicInputStreamOpen
00007ffb1caee5ac (__TEXT,__text) external _AAMemoryInputStreamOpen
00007ffb1caee95f (__TEXT,__text) external _AAMemoryOutputStreamCloseWithSize
00007ffb1caee79d (__TEXT,__text) external _AAMemoryOutputStreamOpen
00007ffb1cad317b (__TEXT,__text) external _AAPathFilterAddRule
00007ffb1cad366f (__TEXT,__text) external _AAPathFilterApply
00007ffb1cad301f (__TEXT,__text) external _AAPathFilterCreate
00007ffb1cad3100 (__TEXT,__text) external _AAPathFilterDestroy
00007ffb1cb1de40 (__TEXT,__text) external _AAPathListCreate
00007ffb1cb1dfd8 (__TEXT,__text) external _AAPathListCreateWithDirectoryContents
00007ffb1cb1f838 (__TEXT,__text) external _AAPathListCreateWithPath
00007ffb1cb1dfa9 (__TEXT,__text) external _AAPathListDestroy
00007ffb1cb1fd2d (__TEXT,__text) external _AAPathListGetNode
00007ffb1cb1fe5f (__TEXT,__text) external _AAPathListMerge
00007ffb1cb1ffac (__TEXT,__text) external _AAPathListNodeFirst
00007ffb1cb1fc05 (__TEXT,__text) external _AAPathListNodeGetPath
00007ffb1cb1ffc8 (__TEXT,__text) external _AAPathListNodeNext
00007ffb1cae496e (__TEXT,__text) external _AARandomAccessByteStreamProcess
00007ffb1cb18090 (__TEXT,__text) external _AARandomAccessDecodeAndExtract
00007ffb1caf67d7 (__TEXT,__text) external _AARangeInputStreamOpen
00007ffb1cae880f (__TEXT,__text) external _AARemoveArchiveOutputStreamOpen
00007ffb1cb36e9c (__TEXT,__text) external _AASharedBufferPipeOpen
00007ffb1cb372df (__TEXT,__text) external _AATeeOutputStreamOpen
00007ffb1cb36c4d (__TEXT,__text) external _AATempFileStreamOpen
00007ffb1cb36c59 (__TEXT,__text) external _AATempFileStreamOpenWithDirectory
00007ffb1cb065c8 (__TEXT,__text) external _AATempStreamOpen
00007ffb1cb065d4 (__TEXT,__text) external _AATempStreamOpenWithDirectory
00007ffb1cb16d1b (__TEXT,__text) external _AAThreadErrorContextEnter
00007ffb1cb16d25 (__TEXT,__text) external _AAThreadErrorContextLeave
00007ffb1cad6ce8 (__TEXT,__text) external _AAVerifyDirectoryArchiveOutputStreamOpen
00007ffb1cad26d8 (__TEXT,__text) external _AEAAuthDataAppendEntry
00007ffb1cad2d8d (__TEXT,__text) external _AEAAuthDataClear
00007ffb1cad200d (__TEXT,__text) external _AEAAuthDataCreate
00007ffb1cad20cf (__TEXT,__text) external _AEAAuthDataCreateWithContext
00007ffb1cad2075 (__TEXT,__text) external _AEAAuthDataDestroy
00007ffb1cad2e6f (__TEXT,__text) external _AEAAuthDataGetEncodedData
00007ffb1cad2e65 (__TEXT,__text) external _AEAAuthDataGetEncodedSize
00007ffb1cad25a7 (__TEXT,__text) external _AEAAuthDataGetEntry
00007ffb1cad259f (__TEXT,__text) external _AEAAuthDataGetEntryCount
00007ffb1cad2d9e (__TEXT,__text) external _AEAAuthDataRemoveEntry
00007ffb1cad2a95 (__TEXT,__text) external _AEAAuthDataSetEntry
00007ffb1cb0a487 (__TEXT,__text) external _AEAContextCreateWithEncryptedStream
00007ffb1cb0a3cc (__TEXT,__text) external _AEAContextCreateWithProfile
00007ffb1cae78e7 (__TEXT,__text) external _AEAContextDecryptAttributes
00007ffb1cb0a350 (__TEXT,__text) external _AEAContextDestroy
00007ffb1cb0afc9 (__TEXT,__text) external _AEAContextGenerateFieldBlob
00007ffb1cb0b157 (__TEXT,__text) external _AEAContextGetContainerSizeUpperBound
00007ffb1cb0a890 (__TEXT,__text) external _AEAContextGetFieldBlob
00007ffb1cb0a7d1 (__TEXT,__text) external _AEAContextGetFieldUInt
00007ffb1cb0aca4 (__TEXT,__text) external _AEAContextSetFieldBlob
00007ffb1cb0b0f7 (__TEXT,__text) external _AEAContextSetFieldCallback
00007ffb1cb0aac0 (__TEXT,__text) external _AEAContextSetFieldUInt
00007ffb1cad93e0 (__TEXT,__text) non-external _AEADDecrypt_AESCTR_MAC256_KEY640
00007ffb1cad8eb8 (__TEXT,__text) non-external _AEADDecrypt_None_MAC256_KEY256
00007ffb1cad8f31 (__TEXT,__text) non-external _AEADEncrypt_AESCTR_MAC256_KEY640
00007ffb1cad8e25 (__TEXT,__text) non-external _AEADEncrypt_None_MAC256_KEY256
00007ffb1cacfd9e (__TEXT,__text) external _AEADecryptAndExtract
00007ffb1cb120be (__TEXT,__text) external _AEADecryptAndExtractAsyncStreamOpen
00007ffb1cacf800 (__TEXT,__text) external _AEADecryptAndExtractChunk
00007ffb1cb13d0f (__TEXT,__text) external _AEADecryptAndExtractChunkAsyncStreamOpen
00007ffb1cac7a1c (__TEXT,__text) external _AEADecryptAsyncStreamOpen
00007ffb1cae3577 (__TEXT,__text) external _AEADecryptInPlace
00007ffb1cae9ea4 (__TEXT,__text) external _AEADecryptToFile
00007ffb1cb05822 (__TEXT,__text) external _AEADecryptToFileAsyncStreamOpen
00007ffb1cae9906 (__TEXT,__text) external _AEADecryptToFileChunk
00007ffb1cb0654a (__TEXT,__text) external _AEADecryptToFileChunkAsyncStreamOpen
00007ffb1cb42878 (__TEXT,__text) external _AEADecryptToStream
00007ffb1cb41ff1 (__TEXT,__text) external _AEADecryptToStreamChunk
00007ffb1cae525a (__TEXT,__text) external _AEADecryptionDirectRandomAccessInputStreamOpen
00007ffb1cadaa79 (__TEXT,__text) external _AEADecryptionInputStreamOpen
00007ffb1cacd6da (__TEXT,__text) external _AEADecryptionRandomAccessInputStreamOpen
00007ffb1cae3b35 (__TEXT,__text) external _AEAEncryptInPlace
00007ffb1cadea8a (__TEXT,__text) external _AEAEncryptionOutputStreamCloseAndUpdateContext
00007ffb1caddcb9 (__TEXT,__text) external _AEAEncryptionOutputStreamOpen
00007ffb1cade2ea (__TEXT,__text) external _AEAEncryptionOutputStreamOpenExisting
00007ffb1cae3cd2 (__TEXT,__text) external _AEAKeychainGenerateItem
00007ffb1cae45f5 (__TEXT,__text) external _AEAKeychainHasItem
00007ffb1cae443b (__TEXT,__text) external _AEAKeychainLoadItem
00007ffb1cae46f9 (__TEXT,__text) external _AEAKeychainRemoveItem
00007ffb1cae3f9a (__TEXT,__text) external _AEAKeychainStoreItem
00007ffb1cad6444 (__TEXT,__text) external _AEAStreamSign
00007ffb1cb08744 (__TEXT,__text) non-external (was a private external) _BXDiff5
00007ffb1cae19bb (__TEXT,__text) non-external (was a private external) _BXDiff5GetPatchInfo
00007ffb1cb08753 (__TEXT,__text) non-external (was a private external) _BXDiff5WithIndividualPatches
00007ffb1caf0be6 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesCreate
00007ffb1caf1e40 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesDestroy
00007ffb1caf1e6f (__TEXT,__text) non-external (was a private external) _BXDiffMatchesGetBestMatch
00007ffb1caf2126 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesIBuf
00007ffb1caf2130 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesISize
00007ffb1caf2139 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesOBuf
00007ffb1caf2143 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesOSize
00007ffb1cae2715 (__TEXT,__text) non-external (was a private external) _BXPatch5FileWithFlags
00007ffb1cae285a (__TEXT,__text) non-external (was a private external) _BXPatch5InPlace
00007ffb1cae1a05 (__TEXT,__text) non-external (was a private external) _BXPatch5StreamWithFlags
00007ffb1cae2830 (__TEXT,__text) non-external _BXPatch5WithFlagsFileStreamPRead
                 (undefined) external _BZ2_bzDecompress (from libbz2)
                 (undefined) external _BZ2_bzDecompressEnd (from libbz2)
                 (undefined) external _BZ2_bzDecompressInit (from libbz2)
00007ffb1caeeb3e (__TEXT,__text) non-external (was a private external) _BlobBufferFree
00007ffb1caeeaa2 (__TEXT,__text) non-external (was a private external) _BlobBufferIncreaseCapacity
00007ffb1caee9fd (__TEXT,__text) non-external (was a private external) _BlobBufferStore
00007ffb1cae5448 (__TEXT,__text) non-external _BlockDecryptionStreamCancel
00007ffb1cae5420 (__TEXT,__text) non-external _BlockDecryptionStreamClose
00007ffb1cae5465 (__TEXT,__text) non-external _BlockDecryptionStreamPRead
00007ffb1cae589f (__TEXT,__text) non-external _BlockDecryptionStreamRead
                 (undefined) external _CCCryptorCreateWithMode (from libSystem)
                 (undefined) external _CCCryptorFinal (from libSystem)
                 (undefined) external _CCCryptorGetOutputLength (from libSystem)
                 (undefined) external _CCCryptorRelease (from libSystem)
                 (undefined) external _CCCryptorUpdate (from libSystem)
                 (undefined) external _CCDeriveKey (from libSystem)
                 (undefined) external _CCHmacFinal (from libSystem)
                 (undefined) external _CCHmacInit (from libSystem)
                 (undefined) external _CCHmacUpdate (from libSystem)
                 (undefined) external _CCKDFParametersCreateHkdf (from libSystem)
                 (undefined) external _CCKDFParametersDestroy (from libSystem)
                 (undefined) external _CCRandomGenerateBytes (from libSystem)
00007ffb1caf9db2 (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Final
00007ffb1caf9d55 (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Init
00007ffb1caf9d6e (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Update
00007ffb1cafc0f1 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Final
00007ffb1cafc0dd (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Init
00007ffb1cafc0e7 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Update
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CC_SHA384_Final (from libSystem)
                 (undefined) external _CC_SHA384_Init (from libSystem)
                 (undefined) external _CC_SHA384_Update (from libSystem)
                 (undefined) external _CC_SHA512_Final (from libSystem)
                 (undefined) external _CC_SHA512_Init (from libSystem)
                 (undefined) external _CC_SHA512_Update (from libSystem)
                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDataGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFErrorCopyDescription (from CoreFoundation)
                 (undefined) external _CFErrorCreateWithUserInfoKeysAndValues (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
00007ffb1cb56010 (__TEXT,__const) non-external _CKSUMTable
00007ffb1cb3b748 (__TEXT,__text) non-external _CompressionConsumerProc
00007ffb1cb3b570 (__TEXT,__text) non-external _CompressionWorkerDataCreate
00007ffb1cb3c4cc (__TEXT,__text) non-external _CompressionWorkerDataDestroy
00007ffb1cb3b6be (__TEXT,__text) non-external _CompressionWorkerProc
00007ffb1cad9e0b (__TEXT,__text) non-external _DHERecipient_ECDHE_P256
00007ffb1cad9a50 (__TEXT,__text) non-external _DHESender_ECDHE_P256
00007ffb1cada350 (__TEXT,__text) non-external _DSASign_ECDSA_P256
00007ffb1cada598 (__TEXT,__text) non-external _DSAVerify_ECDSA_P256
00007ffb1cada166 (__TEXT,__text) non-external _DerivePublicFromPrivate_ECP256
00007ffb1cada2fa (__TEXT,__text) non-external _Digest_SHA256
00007ffb1cae5c3b (__TEXT,__text) non-external (was a private external) _ECC65537CheckAndFix
00007ffb1cae58b2 (__TEXT,__text) non-external (was a private external) _ECC65537GetParity
00007ffb1cb55ec0 (__TEXT,__const) non-external _ECC65537_G
00007ffb1caef2c5 (__TEXT,__text) non-external (was a private external) _ECCFixThreadProc
00007ffb1cb0c83b (__TEXT,__text) non-external (was a private external) _GetLargeFileControls
00007ffb1cb0bc70 (__TEXT,__text) non-external (was a private external) _GetLargeFileControlsWithStreams
00007ffb1cad8ca4 (__TEXT,__text) non-external _HKDFDerive
00007ffb1cada8e4 (__TEXT,__text) non-external _HMACDerive_SHA256
00007ffb1cada873 (__TEXT,__text) non-external _HMACFinal_SHA256
00007ffb1cada7e1 (__TEXT,__text) non-external _HMACInit_SHA256
00007ffb1cada85b (__TEXT,__text) non-external _HMACUpdate_SHA256
00007ffb1cada9c1 (__TEXT,__text) non-external _HMACVerify_SHA256
00007ffb1cae6c7e (__TEXT,__text) non-external (was a private external) _IDecoderStreamAbort
00007ffb1cae6a16 (__TEXT,__text) non-external (was a private external) _IDecoderStreamCreate
00007ffb1cae6b5f (__TEXT,__text) non-external (was a private external) _IDecoderStreamDestroy
00007ffb1cae6c63 (__TEXT,__text) non-external (was a private external) _IDecoderStreamRead
00007ffb1cae69dc (__TEXT,__text) non-external (was a private external) _IDecoderStreamThreadProc
00007ffb1caf3436 (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFD
00007ffb1caf30e8 (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFilename
00007ffb1caf33ff (__TEXT,__text) non-external (was a private external) _IFileStreamDestroy
00007ffb1caf355e (__TEXT,__text) non-external (was a private external) _IFileStreamRead
00007ffb1cae6c92 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamCreate
00007ffb1cae72c8 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamCreateWithBuffer
00007ffb1cae725f (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamDestroy
00007ffb1cae7347 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamRead
00007ffb1caf41a4 (__TEXT,__text) non-external (was a private external) _IMemStreamAbort
00007ffb1caf40d9 (__TEXT,__text) non-external (was a private external) _IMemStreamCreate
00007ffb1caf419a (__TEXT,__text) non-external (was a private external) _IMemStreamDestroy
00007ffb1caf414c (__TEXT,__text) non-external (was a private external) _IMemStreamRead
00007ffb1caf2f78 (__TEXT,__text) non-external (was a private external) _IZeroStreamRead
00007ffb1cb0bbaa (__TEXT,__text) non-external (was a private external) _LargeFileConsumer
00007ffb1cb0b2f0 (__TEXT,__text) non-external (was a private external) _LargeFileWorker
00007ffb1caf2d48 (__TEXT,__text) non-external (was a private external) _MappedBufferCreateWithFD
00007ffb1caf2d07 (__TEXT,__text) non-external (was a private external) _MappedBufferDestroy
00007ffb1caf2f64 (__TEXT,__text) non-external (was a private external) _MappedBufferGetDataPtr
00007ffb1caf2f6e (__TEXT,__text) non-external (was a private external) _MappedBufferGetDataSize
00007ffb1caf2760 (__TEXT,__text) non-external (was a private external) _MemBufferCreate
00007ffb1caf28e5 (__TEXT,__text) non-external (was a private external) _MemBufferDecreaseSize
00007ffb1caf2854 (__TEXT,__text) non-external (was a private external) _MemBufferDestroy
00007ffb1caf29b1 (__TEXT,__text) non-external (was a private external) _MemBufferFillFromBuffer
00007ffb1caf2a40 (__TEXT,__text) non-external (was a private external) _MemBufferFillFromIStream
00007ffb1caf2acc (__TEXT,__text) non-external (was a private external) _MemBufferFlushToOStream
00007ffb1caf2891 (__TEXT,__text) non-external (was a private external) _MemBufferGetDataPtr
00007ffb1caf287a (__TEXT,__text) non-external (was a private external) _MemBufferGetDataSize
00007ffb1caf289f (__TEXT,__text) non-external (was a private external) _MemBufferGetFreePtr
