00000001e3b1db74 (__TEXT,__text) non-external _DiToMD5
00000001e3b2f780 (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
00000001e3b0e23c (__TEXT,__text) external _OSCreateSerializationFromObject
00000001e3b0c3a0 (__TEXT,__text) external _OSDataAppendBytes
00000001e3b0c304 (__TEXT,__text) external _OSDataCreate
00000001e3b0c298 (__TEXT,__text) external _OSDataGetBytes
00000001e3b0c24c (__TEXT,__text) external _OSDataGetBytesPtr
00000001e3b0c288 (__TEXT,__text) external _OSDataGetLength
000000020fcfe1e0 (__AUTH_CONST,__const) external _OSData_Class
00000001e3b0c570 (__TEXT,__text) external _OSDictionaryApply
00000001e3b0c4f0 (__TEXT,__text) external _OSDictionaryCreate
00000001e3b0c558 (__TEXT,__text) external _OSDictionaryGetCount
00000001e3b0cd24 (__TEXT,__text) external _OSDictionaryGetStringValue
00000001e3b0ceac (__TEXT,__text) external _OSDictionaryGetUInt64Value
00000001e3b0cc80 (__TEXT,__text) external _OSDictionaryGetValue
00000001e3b0ce28 (__TEXT,__text) external _OSDictionarySetStringValue
00000001e3b0cf78 (__TEXT,__text) external _OSDictionarySetUInt64Value
00000001e3b0c8e4 (__TEXT,__text) external _OSDictionarySetValue
000000020fcfe2d8 (__AUTH_CONST,__const) external _OSDictionary_Class
000000020fcfe3d0 (__AUTH_CONST,__const) external _OSMappedFile_Class
00000001e3b0c47c (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00000001e3b0c454 (__TEXT,__text) external _OSNumberGetUInt64Value
000000020fcfe4c8 (__AUTH_CONST,__const) external _OSNumber_Class
00000001e3b0e97c (__TEXT,__text) external _OSObjectLog
00000001e3b0b314 (__TEXT,__text) external _OSObjectRelease
00000001e3b0b2f0 (__TEXT,__text) external _OSObjectRetain
000000020fcfe5c0 (__AUTH_CONST,__const) external _OSObject_Class
000000020fcfe770 (__AUTH_CONST,__const) external _OSOrderedSet_Class
00000001e3b001b8 (__TEXT,__text) external _OSReportWithBacktrace
00000001e3b0e4ac (__TEXT,__text) external _OSSerializationGetBytes
000000020fcfe868 (__AUTH_CONST,__const) external _OSSerialization_Class
000000020fcfe960 (__AUTH_CONST,__const) external _OSSet_Class
00000001e3b0bea8 (__TEXT,__text) external _OSStringCreate
00000001e3b2f2dc (__TEXT,__text) non-external _OSStringCreate.cold.1
00000001e3b0be54 (__TEXT,__text) external _OSStringGetLength
00000001e3b2f2b0 (__TEXT,__text) non-external _OSStringGetLength.cold.1
00000001e3b0be18 (__TEXT,__text) external _OSStringGetStringPtr
000000020fcfea58 (__AUTH_CONST,__const) external _OSString_Class
00000001e3affbb8 (__TEXT,__text) external _OSSynchronizeIO
000000020c555440 (__DATA,__bss) non-external _OSUniqueStrings
00000001e3b005e4 (__TEXT,__text) external _PE_i_can_has_debugger
00000001e3b1e0b8 (__TEXT,__text) external _SHA1Final
00000001e3b1de1c (__TEXT,__text) external _SHA1Init
00000001e3b1e044 (__TEXT,__text) non-external _SHA1ToDi
00000001e3b1df54 (__TEXT,__text) external _SHA1Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00000001e3b00cb8 (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
000000020fcfeb50 (__AUTH_CONST,__const) external __IOBlockStorageDevice_Class
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
00000001e3b00fcc (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00000001e3b2d7f4 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
00000001e3b2d820 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.2
00000001e3b02a18 (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00000001e3b2dee0 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00000001e3b2df0c (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00000001e3b2df38 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00000001e3b2df64 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00000001e3b2df90 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
00000001e3b01978 (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00000001e3b2dac8 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00000001e3b2daf4 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00000001e3b2db20 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00000001e3b2db4c (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
00000001e3b2db9c (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.5
00000001e3b0124c (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00000001e3b2d8d0 (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
00000001e3b0d760 (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
00000001e3b108d4 (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
00000001e3b00e64 (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00000001e3b2d770 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00000001e3b2d79c (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00000001e3b2d7c8 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00000001e3b0d8d4 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
00000001e3b0d984 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
00000001e3b0d900 (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
00000001e3b0102c (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
00000001e3b2d84c (__TEXT,__text) non-external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject.cold.1
00000001e3b2d878 (__TEXT,__text) non-external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject.cold.2
00000001e3b0ddb0 (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00000001e3b2f6a4 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00000001e3b2f6d0 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00000001e3b2f6fc (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
00000001e3b2f728 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
00000001e3b2f754 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
00000001e3aff76c (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
00000001e3aff8a8 (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
00000001e3b015f0 (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
00000001e3b03190 (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00000001e3b00dd0 (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00000001e3b00d1c (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00000001e3b0e4c8 (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00000001e3b2f7ac (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
00000001e3b01170 (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00000001e3b2d8a4 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00000001e3b0b3c8 (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00000001e3b2f1d4 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
00000001e3b0b338 (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00000001e3b2f17c (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
00000001e3afe0f8 (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
00000001e3b2d5b4 (__TEXT,__text) non-external __Z21OSUnserializeXMLparsePv.cold.1
00000001e3b0c1e4 (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
00000001e3b0da30 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00000001e3b2f43c (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00000001e3b2f468 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00000001e3b2f494 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00000001e3b2f4c0 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00000001e3b2f4ec (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
00000001e3b0c1ac (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00000001e3b0d0d4 (__TEXT,__text) non-external (was a private external) __Z27OSCollectionEntryArrayApplyP15OSSerialization17OSCollectionEntryU13block_pointerFbmS0_S1_E
00000001e3b2f38c (__TEXT,__text) non-external __Z27OSCollectionEntryArrayApplyP15OSSerialization17OSCollectionEntryU13block_pointerFbmS0_S1_E.cold.1
00000001e3b0d060 (__TEXT,__text) non-external (was a private external) __Z27OSCollectionEntryArrayCountP15OSSerialization17OSCollectionEntry
00000001e3b2f334 (__TEXT,__text) non-external __Z27OSCollectionEntryArrayCountP15OSSerialization17OSCollectionEntry.cold.1
00000001e3b2f360 (__TEXT,__text) non-external __Z27OSCollectionEntryArrayCountP15OSSerialization17OSCollectionEntry.cold.2
00000001e3b0c430 (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
00000001e3b0db74 (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00000001e3b2f518 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00000001e3b2f544 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00000001e3b2f570 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
00000001e3b02b0c (__TEXT,__text) non-external (was a private external) __Z6ServerPvP17mach_msg_header_tS1_
00000001e3b2dfbc (__TEXT,__text) non-external __Z6ServerPvP17mach_msg_header_tS1_.cold.1
00000001e3b2dfe8 (__TEXT,__text) non-external __Z6ServerPvP17mach_msg_header_tS1_.cold.2
00000001e3b03150 (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
00000001e3b023c4 (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00000001e3b2bfc4 (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00000001e3aff634 (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
00000001e3b0b110 (__TEXT,__text) non-external __ZL10uiomessagePv
00000001e3b2bd68 (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
00000001e3b0fa78 (__TEXT,__text) non-external __ZL11OSSetCreatev
00000001e3b30dc8 (__TEXT,__const) non-external __ZL11yytranslate
00000001e3b2d510 (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
00000001e3b2b700 (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00000001e3b2be88 (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
00000001e3b2c164 (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00000001e3b2c1e4 (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
00000001e3b0c128 (__TEXT,__text) non-external __ZL12OSStringFindjPKcm
00000001e3b2c9d0 (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
00000001e3b1f044 (__TEXT,__text) non-external __ZL13IOCommand_NewP11OSMetaClass
00000001e3b23adc (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
00000001e3b09d68 (__TEXT,__text) non-external __ZL13IOThreadStartPv
00000001e3b2ee90 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.1
00000001e3b2eebc (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.2
00000001e3b2eee8 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.3
00000001e3b2be08 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
00000001e3b2385c (__TEXT,__text) non-external __ZL14IOReporter_NewP11OSMetaClass
00000001e3b046fc (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
00000001e3b2e7dc (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
00000001e3b2e808 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
00000001e3b2e834 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
00000001e3b2e860 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.4
00000001e3b21aec (__TEXT,__text) non-external __ZL15IOEventLink_NewP11OSMetaClass
00000001e3b2351c (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
00000001e3b2b00c (__TEXT,__text) non-external __ZL15IOWorkGroup_NewP11OSMetaClass
00000001e3b2bf44 (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
00000001e3b02dd0 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00000001e3b2e014 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00000001e3b2e040 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00000001e3b2e06c (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00000001e3b2e098 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00000001e3b03cd4 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
00000001e3b2e560 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
00000001e3b2e58c (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
00000001e3b2e5b8 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
00000001e3b2e5e4 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
00000001e3b0ab04 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
00000001e3b2efc4 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
00000001e3b2eff0 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.2
00000001e3b2f01c (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.3
00000001e3b2f048 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.4
00000001e3b2f074 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.5
00000001e3b2f0a0 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.6
00000001e3b2f0cc (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.7
000000020c555428 (__DATA,__bss) non-external __ZL15gIOThreadTLSKey
00000001e3b1f164 (__TEXT,__text) non-external __ZL16IODMACommand_NewP11OSMetaClass
00000001e3b297f0 (__TEXT,__text) non-external __ZL16IOUserClient_NewP11OSMetaClass
00000001e3b2a7e4 (__TEXT,__text) non-external __ZL16IOUserServer_NewP11OSMetaClass
00000001e3b2bf08 (__TEXT,__text) non-external __ZL16OSCollection_NewP11OSMetaClass
00000001e3b02f88 (__TEXT,__text) non-external __ZL16OSConsumeObjectsP16IORPCMessageMachb
00000001e3b02ff0 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00000001e3b2e0c4 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00000001e3b2e0f0 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00000001e3b2e11c (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
