00000001d5486d78 (__DATA,__data) non-external _C
00000001802f31a4 (__TEXT,__text) external __Read_RuneMagi
00000001803390cc (__TEXT,__text) non-external (was a private external) __UTF2_init
0000000180339130 (__TEXT,__text) non-external __UTF2_mbrtowc
0000000180339328 (__TEXT,__text) non-external __UTF2_mbsinit
0000000180339344 (__TEXT,__text) non-external __UTF2_mbsnrtowcs
0000000180339280 (__TEXT,__text) non-external __UTF2_wcrtomb
00000001803394e8 (__TEXT,__text) non-external __UTF2_wcsnrtombs
00000001802f36e0 (__TEXT,__text) non-external (was a private external) __UTF8_init
00000001802f5154 (__TEXT,__text) non-external __UTF8_mbrtowc
00000001803278a8 (__TEXT,__text) non-external __UTF8_mbsinit
00000001802f53e8 (__TEXT,__text) non-external __UTF8_mbsnrtowcs
00000001802f5be0 (__TEXT,__text) non-external __UTF8_wcrtomb
00000001803278c4 (__TEXT,__text) non-external __UTF8_wcsnrtombs
00000001802e13f8 (__TEXT,__text) external ___Balloc_D2A
00000001802e1614 (__TEXT,__text) external ___Bfree_D2A
000000018030ea48 (__TEXT,__text) external ____mb_cur_max
000000018030ea74 (__TEXT,__text) external ____mb_cur_max_l
00000001802e6788 (__TEXT,__text) external ____runetype
00000001802e67ac (__TEXT,__text) external ____runetype_l
00000001803277bc (__TEXT,__text) external ____tolower
0000000180327718 (__TEXT,__text) external ____tolower_l
0000000180327884 (__TEXT,__text) external ____toupper
00000001803277e0 (__TEXT,__text) external ____toupper_l
0000000180348a4c (__TEXT,__text) non-external (was a private external) ___abort
0000000180319eb8 (__TEXT,__text) external ___add_ovflpage
0000000180319c34 (__TEXT,__text) external ___addel
00000001802e5654 (__TEXT,__text) external ___any_on_D2A
0000000180347c14 (__TEXT,__text) external ___assert_rtn
00000001d65f31a0 (__DATA_DIRTY,__bss) non-external ___atexit
00000001802f0230 (__TEXT,__text) non-external (was a private external) ___atexit_init
00000001d65f31a8 (__DATA_DIRTY,__bss) non-external ___atexit_new_registration
00000001802f6eac (__TEXT,__text) external ___b2d_D2A
00000001803183cc (__TEXT,__text) external ___big_delete
0000000180318118 (__TEXT,__text) external ___big_insert
0000000180318a74 (__TEXT,__text) external ___big_keydata
0000000180318704 (__TEXT,__text) external ___big_return
0000000180318bf4 (__TEXT,__text) external ___big_split
000000018034b200 (__TEXT,__const) external ___bigtens_D2A
0000000180312f54 (__TEXT,__text) external ___bt_close
0000000180316c70 (__TEXT,__text) external ___bt_cmp
0000000180316d38 (__TEXT,__text) external ___bt_defcmp
0000000180316d7c (__TEXT,__text) external ___bt_defpfx
00000001803133cc (__TEXT,__text) external ___bt_delete
0000000180313a3c (__TEXT,__text) external ___bt_dleaf
00000001803147f8 (__TEXT,__text) external ___bt_fd
000000018031585c (__TEXT,__text) non-external ___bt_first
0000000180314bfc (__TEXT,__text) external ___bt_free
00000001803140c8 (__TEXT,__text) external ___bt_get
0000000180314c24 (__TEXT,__text) external ___bt_new
00000001803141bc (__TEXT,__text) external ___bt_open
0000000180313e1c (__TEXT,__text) non-external ___bt_pdelete
00000001803130f0 (__TEXT,__text) external ___bt_pgin
0000000180313274 (__TEXT,__text) external ___bt_pgout
0000000180314ca0 (__TEXT,__text) external ___bt_put
0000000180314038 (__TEXT,__text) non-external ___bt_relink
0000000180316adc (__TEXT,__text) external ___bt_ret
00000001803151b0 (__TEXT,__text) external ___bt_search
0000000180315408 (__TEXT,__text) external ___bt_seq
0000000180315800 (__TEXT,__text) external ___bt_setcur
0000000180315a74 (__TEXT,__text) external ___bt_split
00000001803136cc (__TEXT,__text) non-external ___bt_stkacq
0000000180313014 (__TEXT,__text) external ___bt_sync
0000000180319164 (__TEXT,__text) external ___buf_free
0000000180319134 (__TEXT,__text) non-external (was a private external) ___buf_init
00000001d65f0c88 (__DATA_DIRTY,__data) non-external ___c_locale
00000001803431a0 (__TEXT,__text) non-external ___calc_left_pad
0000000180317c04 (__TEXT,__text) external ___call_hash
00000001d5487228 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
0000000180346e3c (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
0000000180346e58 (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
00000001802fde24 (__TEXT,__text) non-external (was a private external) ___chk_init
00000001802d7908 (__TEXT,__text) non-external (was a private external) ___chk_overlap
                 (undefined) external ___chkstk_darwin (from libcompiler_rt)
                 (undefined) external ___chmod_extended (from libsystem_kernel)
00000001d65f3228 (__DATA_DIRTY,__common) external ___cleanup
00000001802e2750 (__TEXT,__text) external ___cmp_D2A
0000000180325884 (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
0000000180325a40 (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
0000000180325bac (__TEXT,__text) external ___collate_equiv_match
00000001802eb824 (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
000000018032501c (__TEXT,__text) non-external (was a private external) ___collate_err
00000001d5486e88 (__DATA,__data) external ___collate_load_error
00000001802f2348 (__TEXT,__text) non-external (was a private external) ___collate_load_tables
00000001d5488810 (__DATA,__bss) non-external ___collate_load_tables.cache
0000000180325390 (__TEXT,__text) external ___collate_lookup
00000001803250d8 (__TEXT,__text) external ___collate_lookup_l
0000000180325560 (__TEXT,__text) non-external (was a private external) ___collate_lookup_which
000000018032546c (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
0000000180325ebc (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
00000001d5488818 (__DATA,__bss) non-external ___collate_range_cmp.s1
00000001d5488820 (__DATA,__bss) non-external ___collate_range_cmp.s2
0000000180324de0 (__TEXT,__text) non-external (was a private external) ___collate_substitute
0000000180324fc8 (__TEXT,__text) non-external (was a private external) ___collate_wcsdup
0000000180325640 (__TEXT,__text) non-external (was a private external) ___collate_xfrm
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
00000001802f0220 (__TEXT,__text) non-external (was a private external) ___confstr_init
00000001802e482c (__TEXT,__text) external ___copybits_D2A
0000000180307b68 (__TEXT,__text) non-external (was a private external) ___crypt_des_cipher
00000001803075c8 (__TEXT,__text) non-external (was a private external) ___crypt_des_setkey
00000001d5487ef0 (__DATA,__bss) non-external ___crypt_des_setkey.des_ready
00000001d5488d48 (__DATA,__common) non-external (was a private external) ___crypt_des_setkey_called
000000018033cbec (__TEXT,__text) non-external ___cvt
00000001d5488d08 (__DATA,__bss) non-external ___cvt.s
00000001802d8130 (__TEXT,__text) external ___cxa_atexit
00000001802f8d74 (__TEXT,__text) external ___cxa_finalize
00000001802f8dbc (__TEXT,__text) external ___cxa_finalize_ranges
000000018033979c (__TEXT,__text) external ___cxa_thread_atexit
00000001802e12dc (__TEXT,__text) external ___d2b_D2A
00000001d65f31e0 (__DATA_DIRTY,__common) non-external (was a private external) ___darwin_altzone
0000000180316eac (__TEXT,__text) non-external ___dberr
0000000180316e8c (__TEXT,__text) external ___dbpanic
00000001d6a8d3c0 (__AUTH,__data) external ___default_hash
00000001803414a4 (__TEXT,__text) external ___default_utx
00000001d54871d8 (__DATA,__data) non-external ___default_utx.once
00000001803414dc (__TEXT,__text) non-external ___default_utx_init
0000000180319374 (__TEXT,__text) external ___delpair
00000001802f22a0 (__TEXT,__text) non-external (was a private external) ___detect_path_locale
00000001802e25f4 (__TEXT,__text) external ___diff_D2A
00000001d65f1910 (__DATA_DIRTY,__bss) non-external ___dirhelper_func
00000001802e0498 (__TEXT,__text) external ___dtoa
0000000180341668 (__TEXT,__text) non-external (was a private external) ___endutxent
00000001d65f3238 (__DATA_DIRTY,__common) non-external (was a private external) ___env_owned
0000000180339800 (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
00000001d5488ca0 (__DATA,__bss) non-external ___environ_lock_obj
                 (undefined) external ___error (from libsystem_kernel)
00000001802fe404 (__TEXT,__text) non-external (was a private external) ___errstr
00000001802e5f0c (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
0000000180317aa0 (__TEXT,__text) external ___expand_table
00000001d5488aa8 (__DATA,__bss) non-external ___fallback_evp
                 (undefined) external ___fchmod_extended (from libsystem_kernel)
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
00000001802e3698 (__TEXT,__text) external ___fflush
000000018032c80c (__TEXT,__text) external ___fgetwc
000000018032e090 (__TEXT,__text) non-external (was a private external) ___find_arguments
0000000180318540 (__TEXT,__text) external ___find_bigpair
0000000180318668 (__TEXT,__text) external ___find_last_page
000000018032eebc (__TEXT,__text) non-external (was a private external) ___find_warguments
00000001802d341c (__TEXT,__text) non-external (was a private external) ___findenv_locked
00000001802f3e40 (__TEXT,__text) external ___fix_locale_grouping_str
0000000180326428 (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
000000018032cf30 (__TEXT,__text) non-external (was a private external) ___fputwc
00000001802dd9b8 (__TEXT,__text) external ___fread
000000018031a860 (__TEXT,__text) external ___free_ovflpage
00000001802e168c (__TEXT,__text) external ___freedtoa
                 (undefined) external ___fstat64_extended (from libsystem_kernel)
00000001d548722c (__DATA,__data) non-external (was a private external) ___ftell_conformance_fix
00000001802e2e5c (__TEXT,__text) non-external ___fts_open
000000018031cad4 (__TEXT,__text) external ___gdtoa
00000001d5488d58 (__DATA,__common) external ___gdtoa_locks
0000000180318d94 (__TEXT,__text) external ___get_buf
0000000180326a94 (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
00000001802d6d0c (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
00000001802d6d2c (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
00000001802f0a68 (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
00000001802fb038 (__TEXT,__text) non-external (was a private external) ___get_locale_env
000000018031a2d0 (__TEXT,__text) external ___get_page
00000001802f9698 (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
00000001d65f3178 (__DATA_DIRTY,__bss) non-external ___getevp.predicate
                 (undefined) external ___getlogin (from libsystem_kernel)
0000000180326ab4 (__TEXT,__text) external ___getonlyClocaleconv
                 (undefined) external ___gettimeofday (from libsystem_kernel)
0000000180341778 (__TEXT,__text) non-external (was a private external) ___getutxent
0000000180341bb0 (__TEXT,__text) non-external ___getutxid
00000001802fce94 (__TEXT,__text) non-external (was a private external) ___gl_compare
00000001802fc97c (__TEXT,__text) non-external (was a private external) ___gl_g_Ctoc
00000001802fcc80 (__TEXT,__text) non-external (was a private external) ___gl_globextend
00000001802fc1c0 (__TEXT,__text) non-external (was a private external) ___gl_globtilde
00000001802fca74 (__TEXT,__text) non-external (was a private external) ___gl_match
00000001802fbc7c (__TEXT,__text) non-external ___glob
00000001d65f06b8 (__DATA_DIRTY,__data) non-external (was a private external) ___global_locale
00000001802f0324 (__TEXT,__text) non-external (was a private external) ___guard_setup
0000000180316eb4 (__TEXT,__text) external ___hash_open
0000000180303004 (__TEXT,__text) external ___hdtoa
00000001802ded8c (__TEXT,__text) non-external (was a private external) ___heapsort_r
00000001802e4640 (__TEXT,__text) external ___hi0bits_D2A
000000018031cab8 (__TEXT,__text) external ___hldtoa
00000001802e2278 (__TEXT,__text) external ___i2b_D2A
000000018031a7a0 (__TEXT,__text) external ___ibitmap
000000018032b608 (__TEXT,__text) non-external ___inaddr_to_index
0000000180348500 (__TEXT,__text) non-external ___inaddr_to_index.cold.1
000000018033bf5c (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
000000018032735c (__TEXT,__text) external ___isctype
000000018032731c (__TEXT,__text) external ___istype
0000000180327430 (__TEXT,__text) external ___istype_l
00000001d65f1290 (__DATA_DIRTY,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
0000000180326a84 (__TEXT,__text) non-external (was a private external) ___ldpart_free_extra
000000018033d070 (__TEXT,__text) external ___ldtoa
0000000180311ae8 (__TEXT,__text) external ___libc_init
00000001802e1504 (__TEXT,__text) external ___lo0bits_D2A
00000001802e5f54 (__TEXT,__text) non-external ___loadevp
00000001d65f0c80 (__DATA_DIRTY,__data) non-external (was a private external) ___locale_key
0000000180319344 (__TEXT,__text) external ___log2
00000001d5488d78 (__DATA,__common) non-external (was a private external) ___logname
00000001d5486dc8 (__DATA,__data) non-external (was a private external) ___logname_mutex
000000018034bf10 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
00000001802e24f4 (__TEXT,__text) external ___lshift_D2A
                 (undefined) external ___lstat64_extended (from libsystem_kernel)
00000001802e6728 (__TEXT,__text) external ___maskrune
00000001803273c8 (__TEXT,__text) external ___maskrune_l
000000018031dc68 (__TEXT,__text) external ___match_D2A
00000001d5486ef4 (__DATA,__data) external ___mb_cur_max
00000001d5486ef8 (__DATA,__data) external ___mb_sb_limit
0000000180333838 (__TEXT,__text) non-external ___mbsconv
0000000180326c78 (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
0000000180346e74 (__TEXT,__text) external ___memccpy_chk
00000001802d7b20 (__TEXT,__text) external ___memcpy_chk
00000001802d856c (__TEXT,__text) external ___memmove_chk
00000001802dfad0 (__TEXT,__text) external ___memset_chk
00000001802f43c8 (__TEXT,__text) non-external (was a private external) ___messages_load_locale
00000001d5488828 (__DATA,__bss) non-external ___messages_load_locale.cache
                 (undefined) external ___mkdir_extended (from libsystem_kernel)
                 (undefined) external ___mkfifo_extended (from libsystem_kernel)
00000001802f3744 (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
00000001d5488838 (__DATA,__bss) non-external ___monetary_load_locale.cache
00000001802e23c0 (__TEXT,__text) external ___mult_D2A
00000001802e21c0 (__TEXT,__text) external ___multadd_D2A
000000018032c59c (__TEXT,__text) non-external ___nls_free_resources
000000018034b961 (__TEXT,__const) non-external ___nogrouping
00000001802e45e8 (__TEXT,__text) external ___nrv_alloc_D2A
000000018030e7f4 (__TEXT,__text) non-external (was a private external) ___numeric_ctype
00000001802f3f04 (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
00000001d5488848 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_extended (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
00000001802f29bc (__TEXT,__text) non-external (was a private external) ___open_path_locale
0000000180321290 (__TEXT,__text) external ___opendir2
00000001802d8594 (__TEXT,__text) non-external ___opendir_common
                 (undefined) external ___os_log_simple_offset (from libsystem_platform)
0000000180314b30 (__TEXT,__text) external ___ovfl_delete
0000000180314948 (__TEXT,__text) external ___ovfl_get
0000000180314a30 (__TEXT,__text) external ___ovfl_put
00000001802e44c0 (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
00000001d65f3188 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.bsiz
00000001d65f3180 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
00000001d65f1710 (__DATA_DIRTY,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
00000001802f3bf4 (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
00000001d5488d80 (__DATA,__common) non-external (was a private external) ___popen_pidlist
00000001d5486e08 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
00000001802e22a8 (__TEXT,__text) external ___pow5mult_D2A
000000018034b1f0 (__TEXT,__const) non-external ___pow5mult_D2A.p05
0000000180340698 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
0000000180348ee0 (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
000000018033f4d0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
0000000180348d04 (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
000000018033f610 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
0000000180348d30 (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
0000000180340064 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
0000000180348d88 (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
00000001803003dc (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
0000000180348db4 (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
0000000180340d58 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
0000000180348f64 (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
0000000180340d40 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
00000001803402e0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
0000000180348e5c (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
00000001803403ac (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
0000000180348e88 (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
000000018030039c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
0000000180348eb4 (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
0000000180340844 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
0000000180348f0c (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
0000000180340b40 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
0000000180348f38 (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
00000001802ffb94 (__TEXT,__text) non-external (was a private external) ___printf_comp
0000000180300474 (__TEXT,__text) non-external (was a private external) ___printf_exec
00000001803012e4 (__TEXT,__text) non-external (was a private external) ___printf_flush
000000018033035c (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
0000000180300b2c (__TEXT,__text) non-external (was a private external) ___printf_out
0000000180340c9c (__TEXT,__text) non-external (was a private external) ___printf_pad
000000018030083c (__TEXT,__text) non-external (was a private external) ___printf_puts
00000001803406e4 (__TEXT,__text) non-external (was a private external) ___printf_render_chr
000000018033f4f8 (__TEXT,__text) non-external (was a private external) ___printf_render_errno
000000018033f660 (__TEXT,__text) non-external (was a private external) ___printf_render_float
0000000180348d5c (__TEXT,__text) non-external ___printf_render_float.cold.1
0000000180340094 (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
0000000180300be0 (__TEXT,__text) non-external (was a private external) ___printf_render_int
0000000180348de0 (__TEXT,__text) non-external ___printf_render_int.cold.1
0000000180348e30 (__TEXT,__text) non-external ___printf_render_int.cold.2
0000000180340d80 (__TEXT,__text) non-external (was a private external) ___printf_render_n
0000000180340d48 (__TEXT,__text) non-external (was a private external) ___printf_render_pct
0000000180340318 (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
00000001803403d4 (__TEXT,__text) non-external (was a private external) ___printf_render_quote
00000001803008a8 (__TEXT,__text) non-external (was a private external) ___printf_render_str
000000018034086c (__TEXT,__text) non-external (was a private external) ___printf_render_time
0000000180340b68 (__TEXT,__text) non-external (was a private external) ___printf_render_vis
00000001802f91f4 (__TEXT,__text) non-external (was a private external) ___private_getcwd
00000001d65f1930 (__DATA_DIRTY,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
000000018031a4b0 (__TEXT,__text) external ___put_page
000000018034ba48 (__TEXT,__const) non-external (was a private external) ___puts_null__
0000000180341e7c (__TEXT,__text) non-external (was a private external) ___pututxline
00000001802e46b8 (__TEXT,__text) external ___quorem_D2A
00000001802f6e0c (__TEXT,__text) external ___ratio_D2A
000000018031b230 (__TEXT,__text) external ___rec_close
000000018031b520 (__TEXT,__text) external ___rec_delete
000000018031b66c (__TEXT,__text) external ___rec_dleaf
000000018031c050 (__TEXT,__text) external ___rec_fd
000000018031bae4 (__TEXT,__text) external ___rec_fmap
000000018031b8a4 (__TEXT,__text) external ___rec_fpipe
000000018031b79c (__TEXT,__text) external ___rec_get
000000018031c374 (__TEXT,__text) external ___rec_iput
000000018031bcd4 (__TEXT,__text) external ___rec_open
000000018031c0a8 (__TEXT,__text) external ___rec_put
000000018031c97c (__TEXT,__text) external ___rec_ret
000000018031c5b4 (__TEXT,__text) external ___rec_search
000000018031c788 (__TEXT,__text) external ___rec_seq
000000018031b2e8 (__TEXT,__text) external ___rec_sync
000000018031bbf8 (__TEXT,__text) external ___rec_vmap
000000018031b9bc (__TEXT,__text) external ___rec_vpipe
000000018031923c (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
00000001802e56b8 (__TEXT,__text) external ___rshift_D2A
000000018034b054 (__TEXT,__const) non-external (was a private external) ___rune_depreciated_msg
00000001802e15b8 (__TEXT,__text) external ___rv_alloc_D2A
00000001802e20d4 (__TEXT,__text) external ___s2b_D2A
00000001d65f1298 (__DATA_DIRTY,__data) external ___sF
00000001d65f1460 (__DATA_DIRTY,__data) non-external ___sFX
00000001802efe68 (__TEXT,__text) external ___sclose
00000001d65f1980 (__DATA_DIRTY,__bss) non-external ___scounted
00000001d65f31c8 (__DATA_DIRTY,__common) external ___sdidinit
                 (undefined) external ___semwait_signal (from libsystem_kernel)
                 (undefined) external ___semwait_signal_nocancel (from libsystem_kernel)
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sendto_nocancel (from libsystem_kernel)
00000001802d73ac (__TEXT,__text) non-external (was a private external) ___setenv_locked
                 (undefined) external ___setlogin (from libsystem_kernel)
0000000180326ac0 (__TEXT,__text) external ___setonlyClocaleconv
00000001802f2c34 (__TEXT,__text) non-external (was a private external) ___setrunelocale
00000001d5488a28 (__DATA,__bss) non-external ___setrunelocale.CachedRuneLocale
00000001d5488a30 (__DATA,__bss) non-external ___setrunelocale.cache_lock
                 (undefined) external ___settimeofday (from libsystem_kernel)
000000018034325c (__TEXT,__text) non-external ___setup_vars
0000000180341544 (__TEXT,__text) non-external (was a private external) ___setutxent
00000001802e1db0 (__TEXT,__text) external ___sflags
00000001802e17d4 (__TEXT,__text) external ___sflush
00000001802e1e78 (__TEXT,__text) external ___sfp
00000001802e205c (__TEXT,__text) non-external (was a private external) ___sfprelease
00000001802d6d4c (__TEXT,__text) external ___sfvwrite
00000001803123b4 (__TEXT,__text) non-external (was a private external) ___sgetrune
00000001d5487018 (__DATA,__data) external ___sglue
                 (undefined) external ___sigaltstack (from libsystem_kernel)
00000001802dd474 (__TEXT,__text) external ___sinit
00000001803044d4 (__TEXT,__text) external ___slbexpand
00000001802e5c18 (__TEXT,__text) external ___smakebuf
00000001802d70d8 (__TEXT,__text) external ___snprintf_chk
0000000180346ed8 (__TEXT,__text) external ___snprintf_object_size_chk
00000001803194f0 (__TEXT,__text) external ___split_page
0000000180333e9c (__TEXT,__text) non-external ___sprint
00000001802dddb8 (__TEXT,__text) external ___sprintf_chk
0000000180347000 (__TEXT,__text) external ___sprintf_object_size_chk
00000001803124b4 (__TEXT,__text) non-external (was a private external) ___sputrune
00000001802ff72c (__TEXT,__text) external ___sread
00000001802dd2dc (__TEXT,__text) external ___srefill
00000001802dd328 (__TEXT,__text) non-external (was a private external) ___srefill0
00000001802dd8d4 (__TEXT,__text) non-external (was a private external) ___srefill1
00000001802f6188 (__TEXT,__text) external ___srget
00000001802ff8c4 (__TEXT,__text) external ___sseek
