00000001ead85ae0 (__DATA,__data) external _NDR_record
000000018048db40 (__TEXT,__text) external ___gettimeofday
000000018048db14 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
0000000180496e80 (__TEXT,__text) external ___getwgroups
0000000180496eac (__TEXT,__text) external ___guarded_open_dprotected_np
000000018048d578 (__TEXT,__text) external ___guarded_open_np
0000000180496ed8 (__TEXT,__text) external ___identitysvc
000000018048d89c (__TEXT,__text) external ___inc_remove_counter
0000000180495c7c (__TEXT,__text) external ___initgroups
000000018048e318 (__TEXT,__text) external ___ioctl
000000018048e668 (__TEXT,__text) external ___iopolicysys
0000000180496f04 (__TEXT,__text) external ___kdebug_trace
000000018048c8f8 (__TEXT,__text) external ___kdebug_trace64
0000000180496f30 (__TEXT,__text) external ___kdebug_trace_string
000000018048f9ac (__TEXT,__text) external ___kdebug_typefilter
00000001804bde28 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00000001804bddf0 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
0000000180491fc4 (__TEXT,__text) external ___kill
00000001804903b4 (__TEXT,__text) external ___kqueue_workloop_ctl
000000018048f8e8 (__TEXT,__text) external ___lchown
000000018048f9d8 (__TEXT,__text) external ___libkernel_init
00000001804997bc (__TEXT,__text) external ___libkernel_init_after_boot_tasks
00000001804996bc (__TEXT,__text) external ___libkernel_init_late
000000018048fc7c (__TEXT,__text) external ___libkernel_platform_init
000000018048a158 (__TEXT,__text) external ___libkernel_voucher_init
0000000180492660 (__TEXT,__text) external ___listen
0000000180496f5c (__TEXT,__text) external ___log_data
000000018048b608 (__TEXT,__text) external ___lseek
00000001804985f8 (__TEXT,__text) external ___lstat
000000018048f754 (__TEXT,__text) external ___lstat64_extended
0000000180496f88 (__TEXT,__text) external ___lstat_extended
0000000180496fb4 (__TEXT,__text) external ___mac_execve
0000000180496fe0 (__TEXT,__text) external ___mac_get_fd
000000018049700c (__TEXT,__text) external ___mac_get_file
0000000180497038 (__TEXT,__text) external ___mac_get_link
0000000180497064 (__TEXT,__text) external ___mac_get_mount
0000000180497090 (__TEXT,__text) external ___mac_get_pid
00000001804970bc (__TEXT,__text) external ___mac_get_proc
00000001804970e8 (__TEXT,__text) external ___mac_getfsstat
0000000180497114 (__TEXT,__text) external ___mac_mount
0000000180497140 (__TEXT,__text) external ___mac_set_fd
000000018049716c (__TEXT,__text) external ___mac_set_file
0000000180497198 (__TEXT,__text) external ___mac_set_link
0000000180492600 (__TEXT,__text) external ___mac_set_proc
000000018048b714 (__TEXT,__text) external ___mac_syscall
00000001804971c4 (__TEXT,__text) external ___mach_bridge_remote_time
00000001804971f0 (__TEXT,__text) external ___mach_eventlink_signal
000000018049721c (__TEXT,__text) external ___mach_eventlink_signal_wait_until
0000000180497248 (__TEXT,__text) external ___mach_eventlink_wait_until
0000000180497274 (__TEXT,__text) external ___map_with_linking_np
00000001804972a0 (__TEXT,__text) external ___memorystatus_available_memory
00000001804972cc (__TEXT,__text) external ___microstackshot
00000001804972f8 (__TEXT,__text) external ___mkdir_extended
0000000180497324 (__TEXT,__text) external ___mkfifo_extended
000000018048a9fc (__TEXT,__text) external ___mmap
000000018048dae8 (__TEXT,__text) external ___mprotect
0000000180497350 (__TEXT,__text) external ___msgctl
000000018049737c (__TEXT,__text) external ___msgrcv_nocancel
00000001804973a8 (__TEXT,__text) external ___msgsnd_nocancel
00000001804973d4 (__TEXT,__text) external ___msgsys
0000000180490324 (__TEXT,__text) external ___msync
0000000180497400 (__TEXT,__text) external ___msync_nocancel
000000018048d70c (__TEXT,__text) external ___munmap
000000018049742c (__TEXT,__text) external ___nexus_create
0000000180497458 (__TEXT,__text) external ___nexus_deregister
0000000180497484 (__TEXT,__text) external ___nexus_destroy
00000001804974b0 (__TEXT,__text) external ___nexus_get_opt
00000001804974dc (__TEXT,__text) external ___nexus_open
0000000180497508 (__TEXT,__text) external ___nexus_register
0000000180497534 (__TEXT,__text) external ___nexus_set_opt
000000018048a67c (__TEXT,__text) external ___open
000000018048f7e0 (__TEXT,__text) external ___open_dprotected_np
00000001804962a8 (__TEXT,__text) external ___open_extended
000000018048a92c (__TEXT,__text) external ___open_nocancel
000000018048b594 (__TEXT,__text) external ___openat
0000000180497560 (__TEXT,__text) external ___openat_dprotected_np
000000018048f940 (__TEXT,__text) external ___openat_nocancel
00000001ece842f0 (__DATA_DIRTY,__bss) non-external ___os_ch_md_redzone_cookie
00000001804a5aa8 (__TEXT,__text) non-external ___os_nexus_config_flow
00000001804a5910 (__TEXT,__text) external ___os_nexus_flow_add
00000001804a5998 (__TEXT,__text) external ___os_nexus_flow_del
00000001804a5b24 (__TEXT,__text) external ___os_nexus_get_llink_info
00000001804a5730 (__TEXT,__text) external ___os_nexus_ifattach
00000001804a5850 (__TEXT,__text) external ___os_nexus_ifdetach
000000018049758c (__TEXT,__text) external ___oslog_coproc
00000001804975b8 (__TEXT,__text) external ___oslog_coproc_reg
000000018048dc38 (__TEXT,__text) external ___persona
0000000180490350 (__TEXT,__text) external ___pipe
00000001804975e4 (__TEXT,__text) external ___poll_nocancel
0000000180491064 (__TEXT,__text) external ___posix_spawn
0000000180497610 (__TEXT,__text) external ___pread_nocancel
000000018049763c (__TEXT,__text) external ___preadv_nocancel
000000018048b0f4 (__TEXT,__text) external ___proc_info
0000000180497668 (__TEXT,__text) external ___proc_info_extended_id
0000000180491a30 (__TEXT,__text) external ___process_policy
00000001804900b4 (__TEXT,__text) external ___pselect
0000000180497694 (__TEXT,__text) external ___pselect_nocancel
000000018048d51c (__TEXT,__text) external ___psynch_cvbroad
000000018048db9c (__TEXT,__text) external ___psynch_cvclrprepost
000000018048ea44 (__TEXT,__text) external ___psynch_cvsignal
000000018048d4f0 (__TEXT,__text) external ___psynch_cvwait
000000018048cb8c (__TEXT,__text) external ___psynch_mutexdrop
000000018048c9c0 (__TEXT,__text) external ___psynch_mutexwait
00000001804976c0 (__TEXT,__text) external ___psynch_rw_downgrade
00000001804976ec (__TEXT,__text) external ___psynch_rw_longrdlock
000000018048f260 (__TEXT,__text) external ___psynch_rw_rdlock
000000018048f234 (__TEXT,__text) external ___psynch_rw_unlock
0000000180497718 (__TEXT,__text) external ___psynch_rw_unlock2
0000000180497744 (__TEXT,__text) external ___psynch_rw_upgrade
000000018048f208 (__TEXT,__text) external ___psynch_rw_wrlock
0000000180497770 (__TEXT,__text) external ___psynch_rw_yieldwrlock
0000000180495f8c (__TEXT,__text) external ___pthread_canceled
0000000180490df4 (__TEXT,__text) external ___pthread_chdir
0000000180490dc8 (__TEXT,__text) external ___pthread_fchdir
00000001804925a8 (__TEXT,__text) external ___pthread_kill
000000018049779c (__TEXT,__text) external ___pthread_markcancel
00000001804914a0 (__TEXT,__text) external ___pthread_sigmask
0000000180492a34 (__TEXT,__text) external ___ptrace
00000001804977c8 (__TEXT,__text) external ___pwrite_nocancel
00000001804977f4 (__TEXT,__text) external ___pwritev_nocancel
000000018048bc90 (__TEXT,__text) external ___read_nocancel
0000000180497820 (__TEXT,__text) external ___readv_nocancel
000000018049784c (__TEXT,__text) external ___reboot
0000000180497878 (__TEXT,__text) external ___record_system_event
000000018048e39c (__TEXT,__text) external ___recvfrom
000000018048e264 (__TEXT,__text) external ___recvfrom_nocancel
000000018048e7ac (__TEXT,__text) external ___recvmsg
00000001804978a4 (__TEXT,__text) external ___recvmsg_nocancel
00000001ece842f8 (__DATA_DIRTY,__bss) non-external ___remove_counter
000000018048d870 (__TEXT,__text) external ___rename
00000001804978d0 (__TEXT,__text) external ___renameat
00000001804978fc (__TEXT,__text) external ___renameatx_np
000000018048d8dc (__TEXT,__text) external ___rmdir
0000000180496fb4 (__TEXT,__text) external ___sandbox_me
0000000180497114 (__TEXT,__text) external ___sandbox_mm
000000018048b714 (__TEXT,__text) external ___sandbox_ms
0000000180492600 (__TEXT,__text) external ___sandbox_msp
0000000180494e4c (__TEXT,__text) external ___select
000000018048e238 (__TEXT,__text) external ___select_nocancel
00000001804936f8 (__TEXT,__text) external ___sem_open
0000000180497928 (__TEXT,__text) external ___sem_wait_nocancel
0000000180497954 (__TEXT,__text) external ___semctl
0000000180497980 (__TEXT,__text) external ___semsys
000000018048d2ec (__TEXT,__text) external ___semwait_signal
00000001804914cc (__TEXT,__text) external ___semwait_signal_nocancel
000000018048f96c (__TEXT,__text) external ___sendmsg
000000018048e2bc (__TEXT,__text) external ___sendmsg_nocancel
000000018048e370 (__TEXT,__text) external ___sendto
000000018048e1d8 (__TEXT,__text) external ___sendto_nocancel
000000018048d46c (__TEXT,__text) external ___setattrlist
0000000180495c50 (__TEXT,__text) external ___setlogin
00000001804920d8 (__TEXT,__text) external ___setpriority
00000001804979ac (__TEXT,__text) external ___setregid
00000001804979d8 (__TEXT,__text) external ___setreuid
000000018048c9f4 (__TEXT,__text) external ___setrlimit
0000000180497a04 (__TEXT,__text) external ___setsgroups
0000000180493480 (__TEXT,__text) external ___settid
0000000180497a30 (__TEXT,__text) external ___settid_with_pid
0000000180497a5c (__TEXT,__text) external ___settimeofday
0000000180497a88 (__TEXT,__text) external ___setwgroups
0000000180493790 (__TEXT,__text) external ___sfi_ctl
0000000180497ab4 (__TEXT,__text) external ___sfi_pidctl
0000000180497ae0 (__TEXT,__text) external ___shared_region_check_np
0000000180497b0c (__TEXT,__text) external ___shared_region_map_and_slide_2_np
000000018048b53c (__TEXT,__text) external ___shm_open
0000000180497b38 (__TEXT,__text) external ___shmctl
0000000180497b64 (__TEXT,__text) external ___shmsys
00000001804903e0 (__TEXT,__text) external ___sigaction
000000018048d3e8 (__TEXT,__text) external ___sigaltstack
0000000180495784 (__TEXT,__text) external ___sigreturn
0000000180497b90 (__TEXT,__text) external ___sigsuspend
0000000180491504 (__TEXT,__text) external ___sigsuspend_nocancel
00000001804957dc (__TEXT,__text) external ___sigwait
000000018048e290 (__TEXT,__text) external ___socketpair
0000000180497bbc (__TEXT,__text) external ___stack_snapshot_with_config
0000000180499048 (__TEXT,__text) external ___stat
000000018048f6fc (__TEXT,__text) external ___stat64_extended
0000000180497be8 (__TEXT,__text) external ___stat_extended
0000000180499074 (__TEXT,__text) external ___statfs
000000018049ef48 (__TEXT,__text) non-external ___statfs_ext_impl
000000018048c104 (__TEXT,__text) external ___syscall
00000001ead85b20 (__DATA,__common) external ___syscall_logger
000000018048b444 (__TEXT,__text) external ___sysctl
000000018048b670 (__TEXT,__text) external ___sysctlbyname
0000000180497c14 (__TEXT,__text) external ___telemetry
00000001804945cc (__TEXT,__text) external ___terminate_with_payload
000000018048bab0 (__TEXT,__text) external ___thread_selfid
0000000180497c40 (__TEXT,__text) external ___thread_selfusage
000000018048badc (__TEXT,__text) external ___ulock_wait
0000000180497c6c (__TEXT,__text) external ___ulock_wait2
000000018048bbb0 (__TEXT,__text) external ___ulock_wake
0000000180497c98 (__TEXT,__text) external ___umask_extended
000000018048dc90 (__TEXT,__text) external ___unlink
0000000180493ac0 (__TEXT,__text) external ___unlinkat
0000000180497cc4 (__TEXT,__text) external ___vfork
0000000180491424 (__TEXT,__text) external ___wait4
000000018049627c (__TEXT,__text) external ___wait4_nocancel
0000000180497d34 (__TEXT,__text) external ___waitid_nocancel
0000000180492c1c (__TEXT,__text) external ___work_interval_ctl
000000018048b9d4 (__TEXT,__text) external ___workq_kernreturn
000000018048ba00 (__TEXT,__text) external ___workq_open
000000018048dbc8 (__TEXT,__text) external ___write_nocancel
0000000180497d60 (__TEXT,__text) external ___writev_nocancel
00000001ead85aec (__DATA,__common) external __cpu_capabilities
00000001ead85b18 (__DATA,__common) external __cpu_has_altivec
00000001ece842e0 (__DATA_DIRTY,__data) external __current_pid
00000001ece84318 (__DATA_DIRTY,__bss) non-external __dlsym
0000000180489cec (__TEXT,__text) external __exclaves_ctl_trap
000000018049a4d8 (__TEXT,__text) non-external __execve_with_filter
0000000180491530 (__TEXT,__text) external __exit
000000018048fc40 (__TEXT,__text) external __get_cpu_capabilities
00000001ead85b38 (__DATA,__bss) non-external __gethostuuid_callback
000000018049e390 (__TEXT,__text) external __getprivatesystemidentifier
00000001804ab1dc (__TEXT,__text) external __host_page_size
000000018048fc3c (__TEXT,__text) external __init_cpu_capabilities
00000001804ac380 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
00000001804ad710 (__TEXT,__text) external __kernelrpc_mach_port_allocate
00000001804ae3b8 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
00000001804ad5f4 (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
00000001804ae248 (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
0000000180489ad0 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
00000001804aff28 (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
00000001804af014 (__TEXT,__text) external __kernelrpc_mach_port_construct
0000000180489b24 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
00000001804ad980 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
0000000180489adc (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
00000001804ad864 (__TEXT,__text) external __kernelrpc_mach_port_destroy
00000001804af180 (__TEXT,__text) external __kernelrpc_mach_port_destruct
0000000180489b30 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
00000001804ae9a8 (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
00000001804aed8c (__TEXT,__text) external __kernelrpc_mach_port_extract_member
0000000180489b18 (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
0000000180493ff8 (__TEXT,__text) external __kernelrpc_mach_port_extract_right
0000000180494a14 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
0000000180489bd8 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
000000018048f2f8 (__TEXT,__text) external __kernelrpc_mach_port_get_context
000000018048d19c (__TEXT,__text) external __kernelrpc_mach_port_get_refs
00000001804afd50 (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
0000000180495df8 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
00000001804ae658 (__TEXT,__text) external __kernelrpc_mach_port_get_srights
00000001804af29c (__TEXT,__text) external __kernelrpc_mach_port_guard
0000000180489be4 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
00000001804af77c (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
00000001804aec70 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
0000000180489b0c (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
00000001804ae004 (__TEXT,__text) external __kernelrpc_mach_port_insert_right
0000000180489b00 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
00000001804afbfc (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
00000001804aeb0c (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
00000001804aeea8 (__TEXT,__text) external __kernelrpc_mach_port_kobject
00000001804af9bc (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
00000001804ada9c (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
0000000180489ae8 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
00000001804adee8 (__TEXT,__text) external __kernelrpc_mach_port_move_member
0000000180489af4 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
00000001804ad318 (__TEXT,__text) external __kernelrpc_mach_port_names
00000001804adbb8 (__TEXT,__text) external __kernelrpc_mach_port_peek
00000001804ad4d8 (__TEXT,__text) external __kernelrpc_mach_port_rename
000000018048dce8 (__TEXT,__text) external __kernelrpc_mach_port_request_notification
0000000180489ce0 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
000000018048c6e8 (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
0000000180495cd8 (__TEXT,__text) external __kernelrpc_mach_port_set_context
00000001804addcc (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
00000001804ae12c (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
00000001804af4d8 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
00000001804ae7ac (__TEXT,__text) external __kernelrpc_mach_port_space_info
00000001804af628 (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
00000001804af89c (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
0000000180492ce4 (__TEXT,__text) external __kernelrpc_mach_port_type
0000000180489cd4 (__TEXT,__text) external __kernelrpc_mach_port_type_trap
00000001804af3bc (__TEXT,__text) external __kernelrpc_mach_port_unguard
0000000180489bf0 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
00000001804b4680 (__TEXT,__text) external __kernelrpc_mach_ports_lookup3
00000001804b4554 (__TEXT,__text) external __kernelrpc_mach_ports_register3
00000001804b818c (__TEXT,__text) external __kernelrpc_mach_task_is_self
00000001804b0090 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
0000000180489a88 (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
00000001804b01e8 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
0000000180489aa0 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
000000018048b120 (__TEXT,__text) external __kernelrpc_mach_vm_map
0000000180489ac4 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
00000001804b0304 (__TEXT,__text) external __kernelrpc_mach_vm_protect
0000000180489ab8 (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
00000001804b11a8 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
0000000180489a94 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
00000001804b0544 (__TEXT,__text) external __kernelrpc_mach_vm_read
00000001804b0d1c (__TEXT,__text) external __kernelrpc_mach_vm_remap
00000001804b1640 (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
00000001804b1db0 (__TEXT,__text) external __kernelrpc_mach_vm_update_pointers_with_remote_tags
00000001804bcbdc (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
00000001804ae53c (__TEXT,__text) external __kernelrpc_task_set_port_space
000000018048f048 (__TEXT,__text) external __kernelrpc_thread_policy
00000001804901c8 (__TEXT,__text) external __kernelrpc_thread_policy_set
00000001804ba820 (__TEXT,__text) external __kernelrpc_thread_set_policy
000000018049605c (__TEXT,__text) external __kernelrpc_vm_map
00000001804bbe54 (__TEXT,__text) external __kernelrpc_vm_purgable_control
0000000180493570 (__TEXT,__text) external __kernelrpc_vm_read
000000018048c2f4 (__TEXT,__text) external __kernelrpc_vm_remap
00000001804bbfa8 (__TEXT,__text) external __kernelrpc_vm_remap_new
0000000180499834 (__TEXT,__text) non-external __libkernel_bzero
00000001ece84310 (__DATA_DIRTY,__bss) non-external __libkernel_functions
00000001ee4fcd00 (__AUTH_CONST,__const) non-external __libkernel_generic_string_functions
00000001804999a0 (__TEXT,__text) non-external __libkernel_memmove
0000000180499840 (__TEXT,__text) non-external __libkernel_memset
00000001804997fc (__TEXT,__text) non-external __libkernel_strchr
000000018048fc54 (__TEXT,__text) non-external __libkernel_strcmp
0000000180499d5c (__TEXT,__text) non-external __libkernel_strcpy
00000001ece842d8 (__DATA_DIRTY,__data) non-external __libkernel_string_functions
000000018049a61c (__TEXT,__text) non-external __libkernel_strlcpy
00000001804995b4 (__TEXT,__text) non-external __libkernel_strlen
00000001ece842e8 (__DATA_DIRTY,__data) non-external __libkernel_voucher_functions
00000001804bddc0 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
000000018049b4b4 (__TEXT,__text) non-external __mach_continuous_time
00000001e6b2c748 (__DATA_CONST,__const) external __mach_errors
000000018049ba08 (__TEXT,__text) external __mach_fork_child
000000018049c47c (__TEXT,__text) external __mach_snprintf
000000018049c318 (__TEXT,__text) external __mach_vsnprintf
00000001ece84368 (__DATA_DIRTY,__common) external __os_alloc_once_table
00000001ead85b10 (__DATA,__common) external __os_xbs_chrooted
0000000180490918 (__TEXT,__text) non-external __posix_spawn_file_actions_grow
0000000180499da4 (__TEXT,__text) non-external __posix_spawn_with_filter
000000018049e394 (__TEXT,__text) external __register_gethostuuid_callback
0000000180499ab8 (__TEXT,__text) non-external __system_version_compat_check_path_suffix
0000000180499b5c (__TEXT,__text) non-external __system_version_compat_open_shim
00000001ece8430c (__DATA_DIRTY,__bss) non-external __task_reply_port
00000001804994bc (__TEXT,__text) external __thread_set_tsd_base
00000001804bd2cc (__TEXT,__text) non-external _abort
00000001804bd2cc (__TEXT,__text) non-external _abort.572
00000001804bd2cc (__TEXT,__text) non-external _abort.574
00000001804bd2cc (__TEXT,__text) non-external _abort.591
00000001804bd39c (__TEXT,__text) external _abort_with_payload
00000001804bd310 (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
00000001804bd2f0 (__TEXT,__text) external _abort_with_reason
000000018049268c (__TEXT,__text) external _accept
0000000180496b10 (__TEXT,__text) external _accept$NOCANCEL
000000018048a650 (__TEXT,__text) external _access
0000000180496b3c (__TEXT,__text) external _accessx_np
0000000180497d8c (__TEXT,__text) external _acct
00000001804b91b0 (__TEXT,__text) external _act_get_state
00000001804b93f8 (__TEXT,__text) external _act_set_state
0000000180497db8 (__TEXT,__text) external _adjtime
0000000180497de4 (__TEXT,__text) external _aio_cancel
0000000180497e10 (__TEXT,__text) external _aio_error
0000000180497e3c (__TEXT,__text) external _aio_fsync
0000000180497e68 (__TEXT,__text) external _aio_read
0000000180497e94 (__TEXT,__text) external _aio_return
0000000180497ec0 (__TEXT,__text) external _aio_suspend
0000000180496b68 (__TEXT,__text) external _aio_suspend$NOCANCEL
0000000180497eec (__TEXT,__text) external _aio_write
0000000180497f18 (__TEXT,__text) external _audit
00000001804957b0 (__TEXT,__text) external _audit_session_join
000000018049559c (__TEXT,__text) external _audit_session_port
000000018048df58 (__TEXT,__text) external _audit_session_self
0000000180497f44 (__TEXT,__text) external _auditctl
0000000180493750 (__TEXT,__text) external _auditon
0000000180491af0 (__TEXT,__text) external _bind
00000001ece8435c (__DATA_DIRTY,__common) external _bootstrap_port
00000001804995a4 (__TEXT,__text) non-external _bzero
000000018048b5c0 (__TEXT,__text) external _cerror
000000018048a5e4 (__TEXT,__text) external _cerror_nocancel
000000018048de94 (__TEXT,__text) external _change_fdguard_np
000000018048b740 (__TEXT,__text) external _chdir
0000000180491ff0 (__TEXT,__text) external _chflags
000000018048d908 (__TEXT,__text) external _chmod
0000000180491ac4 (__TEXT,__text) external _chown
0000000180497f70 (__TEXT,__text) external _chroot
00000001804a7f04 (__TEXT,__text) external _clock_alarm
00000001804a7cd0 (__TEXT,__text) external _clock_alarm_reply
00000001804a7d38 (__TEXT,__text) external _clock_get_attributes
000000018048f500 (__TEXT,__text) external _clock_get_time
00000001804a7b80 (__TEXT,__text) external _clock_set_attributes
00000001804a7a68 (__TEXT,__text) external _clock_set_time
0000000180495fb8 (__TEXT,__text) external _clock_sleep
0000000180489ca4 (__TEXT,__text) external _clock_sleep_trap
0000000180493e9c (__TEXT,__text) external _clonefile
000000018048ecfc (__TEXT,__text) external _clonefileat
000000018048a8d4 (__TEXT,__text) external _close
000000018048b568 (__TEXT,__text) external _close$NOCANCEL
00000001804a3fb0 (__TEXT,__text) external _coalition_create
00000001804a4058 (__TEXT,__text) external _coalition_info_debug_info
00000001804a4020 (__TEXT,__text) external _coalition_info_resource_usage
00000001804a40c8 (__TEXT,__text) external _coalition_info_set_efficiency
00000001804a4090 (__TEXT,__text) external _coalition_info_set_name
00000001804a4104 (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
0000000180497f9c (__TEXT,__text) external _coalition_policy_get
0000000180497fc8 (__TEXT,__text) external _coalition_policy_set
00000001804a3ff0 (__TEXT,__text) external _coalition_reap
00000001804a3fc0 (__TEXT,__text) external _coalition_terminate
000000018048e344 (__TEXT,__text) external _connect
000000018048e1ac (__TEXT,__text) external _connect$NOCANCEL
000000018048e3c8 (__TEXT,__text) external _connectx
000000018048b8c0 (__TEXT,__text) external _csops
000000018048a5b8 (__TEXT,__text) external _csops_audittoken
000000018048a6a8 (__TEXT,__text) external _csr_check
