
/System/Cryptexes/OS/usr/lib/system/libsystem_kernel.dylib (for architecture x86_64):
000000000003f1c0 (__DATA,__data) external _NDR_record
0000000000007c78 (__TEXT,__text) external ___sandbox_msp
0000000000009dc8 (__TEXT,__text) external ___select
00000000000044d0 (__TEXT,__text) external ___select_nocancel
0000000000008a3c (__TEXT,__text) external ___sem_open
000000000000bcd0 (__TEXT,__text) external ___sem_wait_nocancel
000000000000bce8 (__TEXT,__text) external ___semctl
000000000000bd00 (__TEXT,__text) external ___semsys
000000000000396c (__TEXT,__text) external ___semwait_signal
0000000000006d18 (__TEXT,__text) external ___semwait_signal_nocancel
0000000000005758 (__TEXT,__text) external ___sendmsg
0000000000004518 (__TEXT,__text) external ___sendmsg_nocancel
0000000000004600 (__TEXT,__text) external ___sendto
0000000000004488 (__TEXT,__text) external ___sendto_nocancel
0000000000003a58 (__TEXT,__text) external ___setattrlist
000000000000a9a0 (__TEXT,__text) external ___setlogin
0000000000007804 (__TEXT,__text) external ___setpriority
000000000000bd18 (__TEXT,__text) external ___setregid
000000000000bd30 (__TEXT,__text) external ___setreuid
0000000000003248 (__TEXT,__text) external ___setrlimit
000000000000bd48 (__TEXT,__text) external ___setsgroups
000000000000886c (__TEXT,__text) external ___settid
000000000000bd60 (__TEXT,__text) external ___settid_with_pid
000000000000bd78 (__TEXT,__text) external ___settimeofday
000000000000bd90 (__TEXT,__text) external ___setwgroups
0000000000008a94 (__TEXT,__text) external ___sfi_ctl
000000000000bda8 (__TEXT,__text) external ___sfi_pidctl
000000000000bdc0 (__TEXT,__text) external ___shared_region_check_np
000000000000bdd8 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
0000000000002334 (__TEXT,__text) external ___shm_open
000000000000bdf0 (__TEXT,__text) external ___shmctl
000000000000be08 (__TEXT,__text) external ___shmsys
0000000000005f48 (__TEXT,__text) external ___sigaction
0000000000003a10 (__TEXT,__text) external ___sigaltstack
000000000000a58c (__TEXT,__text) external ___sigreturn
000000000000be20 (__TEXT,__text) external ___sigsuspend
0000000000006d40 (__TEXT,__text) external ___sigsuspend_nocancel
000000000000a5bc (__TEXT,__text) external ___sigwait
0000000000004500 (__TEXT,__text) external ___socketpair
000000000000be38 (__TEXT,__text) external ___stack_snapshot_with_config
0000000000005568 (__TEXT,__text) external ___stat64_extended
000000000000be50 (__TEXT,__text) external ___stat_extended
0000000000002b64 (__TEXT,__text) external ___syscall
000000000003f290 (__DATA,__common) external ___syscall_logger
0000000000002280 (__TEXT,__text) external ___sysctl
00000000000023ec (__TEXT,__text) external ___sysctlbyname
000000000000be68 (__TEXT,__text) external ___telemetry
00000000000096a0 (__TEXT,__text) external ___terminate_with_payload
00000000000026b0 (__TEXT,__text) external ___thread_selfid
000000000000be80 (__TEXT,__text) external ___thread_selfusage
00000000000026c8 (__TEXT,__text) external ___ulock_wait
000000000000be98 (__TEXT,__text) external ___ulock_wait2
000000000000274c (__TEXT,__text) external ___ulock_wake
000000000000beb0 (__TEXT,__text) external ___umask_extended
0000000000004018 (__TEXT,__text) external ___unlink
0000000000008d40 (__TEXT,__text) external ___unlinkat
000000000000bec8 (__TEXT,__text) external ___vfork
0000000000006cb4 (__TEXT,__text) external ___wait4
000000000000ae88 (__TEXT,__text) external ___wait4_nocancel
000000000000bf20 (__TEXT,__text) external ___waitid_nocancel
00000000000081a8 (__TEXT,__text) external ___work_interval_ctl
0000000000002638 (__TEXT,__text) external ___workq_kernreturn
0000000000002650 (__TEXT,__text) external ___workq_open
0000000000003fa0 (__TEXT,__text) external ___write_nocancel
000000000000bf38 (__TEXT,__text) external ___writev_nocancel
000000000003f288 (__DATA,__common) external __cpu_capabilities
000000000003f284 (__DATA,__common) external __cpu_has_altivec
0000000000040000 (__DATA_DIRTY,__data) non-external (was a private external) __current_pid
0000000000040028 (__DATA_DIRTY,__bss) non-external __dlsym
0000000000000fb8 (__TEXT,__text) external __exclaves_ctl_trap
000000000000d866 (__TEXT,__text) non-external __execve_with_filter
0000000000006d58 (__TEXT,__text) external __exit
00000000000059c8 (__TEXT,__text) external __get_cpu_capabilities
000000000003f220 (__DATA,__bss) non-external __gethostuuid_callback
00000000000111fa (__TEXT,__text) external __getprivatesystemidentifier
000000000001bf30 (__TEXT,__text) external __host_page_size
00000000000059b5 (__TEXT,__text) external __init_cpu_capabilities
000000000001cca8 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
000000000001dd12 (__TEXT,__text) external __kernelrpc_mach_port_allocate
000000000001e7bc (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
000000000001dc2b (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
000000000001e680 (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
0000000000000da8 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
000000000001fe45 (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
000000000001f21a (__TEXT,__text) external __kernelrpc_mach_port_construct
0000000000000dfc (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
000000000001df14 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
0000000000000db4 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
000000000001de31 (__TEXT,__text) external __kernelrpc_mach_port_destroy
000000000001f354 (__TEXT,__text) external __kernelrpc_mach_port_destruct
0000000000000e08 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
000000000001ecb1 (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
000000000001effe (__TEXT,__text) external __kernelrpc_mach_port_extract_member
0000000000000df0 (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
00000000000091a5 (__TEXT,__text) external __kernelrpc_mach_port_extract_right
00000000000099e6 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
0000000000000eb0 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
000000000000526d (__TEXT,__text) external __kernelrpc_mach_port_get_context
0000000000003847 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
000000000001fcea (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
000000000000aad8 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
000000000001e9fb (__TEXT,__text) external __kernelrpc_mach_port_get_srights
000000000001f43f (__TEXT,__text) external __kernelrpc_mach_port_guard
0000000000000ebc (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
000000000001f834 (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
000000000001ef17 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
0000000000000de4 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
000000000001e49b (__TEXT,__text) external __kernelrpc_mach_port_insert_right
0000000000000dd8 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
000000000001fbc5 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
000000000001ede4 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
000000000001f0e5 (__TEXT,__text) external __kernelrpc_mach_port_kobject
000000000001fa0a (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
000000000001dffa (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
0000000000000dc0 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
000000000001e3b3 (__TEXT,__text) external __kernelrpc_mach_port_move_member
0000000000000dcc (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
000000000001d9f2 (__TEXT,__text) external __kernelrpc_mach_port_names
000000000001e0e5 (__TEXT,__text) external __kernelrpc_mach_port_peek
000000000001db44 (__TEXT,__text) external __kernelrpc_mach_port_rename
0000000000004046 (__TEXT,__text) external __kernelrpc_mach_port_request_notification
0000000000000fac (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
0000000000003005 (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
000000000000a9ea (__TEXT,__text) external __kernelrpc_mach_port_set_context
000000000001e2c9 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
000000000001e597 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
000000000001f611 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
000000000001eb1a (__TEXT,__text) external __kernelrpc_mach_port_space_info
000000000001f715 (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
000000000001f91f (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
0000000000008249 (__TEXT,__text) external __kernelrpc_mach_port_type
0000000000000fa0 (__TEXT,__text) external __kernelrpc_mach_port_type_trap
000000000001f52a (__TEXT,__text) external __kernelrpc_mach_port_unguard
0000000000000ec8 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
00000000000236ca (__TEXT,__text) external __kernelrpc_mach_ports_lookup3
00000000000235d0 (__TEXT,__text) external __kernelrpc_mach_ports_register3
00000000000266b6 (__TEXT,__text) external __kernelrpc_mach_task_is_self
000000000001ff78 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
0000000000000d60 (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
00000000000200a4 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
0000000000000d78 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
0000000000001fb2 (__TEXT,__text) external __kernelrpc_mach_vm_map
0000000000000d9c (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
000000000002018b (__TEXT,__text) external __kernelrpc_mach_vm_protect
0000000000000d90 (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
0000000000020e2b (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
0000000000000d6c (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
0000000000020365 (__TEXT,__text) external __kernelrpc_mach_vm_read
0000000000020a26 (__TEXT,__text) external __kernelrpc_mach_vm_remap
000000000002125e (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
000000000002a296 (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
000000000001e918 (__TEXT,__text) external __kernelrpc_task_set_port_space
000000000000504a (__TEXT,__text) external __kernelrpc_thread_policy
0000000000005dbd (__TEXT,__text) external __kernelrpc_thread_policy_set
0000000000028566 (__TEXT,__text) external __kernelrpc_thread_set_policy
000000000000acc3 (__TEXT,__text) external __kernelrpc_vm_map
0000000000029878 (__TEXT,__text) external __kernelrpc_vm_purgable_control
00000000000088fe (__TEXT,__text) external __kernelrpc_vm_read
0000000000002cbf (__TEXT,__text) external __kernelrpc_vm_remap
00000000000299a1 (__TEXT,__text) external __kernelrpc_vm_remap_new
000000000000cca2 (__TEXT,__text) non-external __libkernel_bzero
0000000000040020 (__DATA_DIRTY,__bss) non-external __libkernel_functions
000000000003c000 (__DATA_CONST,__const) non-external __libkernel_generic_string_functions
000000000000cd2b (__TEXT,__text) non-external __libkernel_memmove
000000000000ccac (__TEXT,__text) non-external __libkernel_memset
000000000000cc81 (__TEXT,__text) non-external __libkernel_strchr
00000000000059d7 (__TEXT,__text) non-external __libkernel_strcmp
000000000000d0c1 (__TEXT,__text) non-external __libkernel_strcpy
0000000000040010 (__DATA_DIRTY,__data) non-external __libkernel_string_functions
000000000000d9b8 (__TEXT,__text) non-external __libkernel_strlcpy
000000000000cabb (__TEXT,__text) non-external __libkernel_strlen
0000000000040018 (__DATA_DIRTY,__data) non-external __libkernel_voucher_functions
000000000002a920 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
000000000000ed3a (__TEXT,__text) non-external __mach_continuous_time
000000000003d9e0 (__DATA_CONST,__const) external __mach_errors
000000000000f1f8 (__TEXT,__text) external __mach_fork_child
000000000000fc74 (__TEXT,__text) external __mach_snprintf
000000000000fae1 (__TEXT,__text) external __mach_vsnprintf
00000000000400b0 (__DATA_DIRTY,__common) external __os_alloc_once_table
000000000003f274 (__DATA,__common) external __os_xbs_chrooted
000000000000633c (__TEXT,__text) non-external __posix_spawn_file_actions_grow
000000000000d0e9 (__TEXT,__text) non-external __posix_spawn_with_filter
00000000000111ff (__TEXT,__text) external __register_gethostuuid_callback
000000000000ce74 (__TEXT,__text) non-external __system_version_compat_check_path_suffix
000000000000cef0 (__TEXT,__text) non-external __system_version_compat_open_shim
0000000000040038 (__DATA_DIRTY,__bss) non-external __task_reply_port
000000000000caa0 (__TEXT,__text) external __thread_set_tsd_base
000000000002a7f3 (__TEXT,__text) non-external _abort
000000000002a7f3 (__TEXT,__text) non-external _abort.561
000000000002a7f3 (__TEXT,__text) non-external _abort.563
000000000002a7f3 (__TEXT,__text) non-external _abort.586
000000000002a8a3 (__TEXT,__text) external _abort_with_payload
000000000002a828 (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
000000000002a815 (__TEXT,__text) external _abort_with_reason
0000000000007cdc (__TEXT,__text) external _accept
000000000000b550 (__TEXT,__text) external _accept$NOCANCEL
00000000000016bc (__TEXT,__text) external _access
000000000000b568 (__TEXT,__text) external _accessx_np
000000000000bf50 (__TEXT,__text) external _acct
00000000000273d0 (__TEXT,__text) external _act_get_state
00000000000275a6 (__TEXT,__text) external _act_set_state
000000000000bf68 (__TEXT,__text) external _adjtime
000000000000bf80 (__TEXT,__text) external _aio_cancel
000000000000bf98 (__TEXT,__text) external _aio_error
000000000000bfb0 (__TEXT,__text) external _aio_fsync
000000000000bfc8 (__TEXT,__text) external _aio_read
000000000000bfe0 (__TEXT,__text) external _aio_return
000000000000bff8 (__TEXT,__text) external _aio_suspend
000000000000b580 (__TEXT,__text) external _aio_suspend$NOCANCEL
000000000000c010 (__TEXT,__text) external _aio_write
000000000000c028 (__TEXT,__text) external _audit
000000000000a5a4 (__TEXT,__text) external _audit_session_join
000000000000a43c (__TEXT,__text) external _audit_session_port
000000000000420c (__TEXT,__text) external _audit_session_self
000000000000c040 (__TEXT,__text) external _auditctl
0000000000008a6c (__TEXT,__text) external _auditon
00000000000071d0 (__TEXT,__text) external _bind
000000000004006c (__DATA_DIRTY,__common) external _bootstrap_port
000000000000237b (__TEXT,__text) external _cerror
0000000000001662 (__TEXT,__text) external _cerror_nocancel
0000000000004194 (__TEXT,__text) external _change_fdguard_np
0000000000002460 (__TEXT,__text) external _chdir
0000000000007794 (__TEXT,__text) external _chflags
0000000000003d8a (__TEXT,__text) external _chmod
00000000000071b8 (__TEXT,__text) external _chown
000000000000c058 (__TEXT,__text) external _chroot
000000000001951d (__TEXT,__text) external _clock_alarm
0000000000019333 (__TEXT,__text) external _clock_alarm_reply
0000000000019399 (__TEXT,__text) external _clock_get_attributes
00000000000053f6 (__TEXT,__text) external _clock_get_time
000000000001920d (__TEXT,__text) external _clock_set_attributes
000000000001912a (__TEXT,__text) external _clock_set_time
000000000000ac2a (__TEXT,__text) external _clock_sleep
0000000000000f7c (__TEXT,__text) external _clock_sleep_trap
0000000000009046 (__TEXT,__text) external _clonefile
0000000000004ddc (__TEXT,__text) external _clonefileat
0000000000001958 (__TEXT,__text) external _close
000000000000234c (__TEXT,__text) external _close$NOCANCEL
0000000000015fac (__TEXT,__text) external _coalition_create
0000000000016029 (__TEXT,__text) external _coalition_info_debug_info
0000000000015ffd (__TEXT,__text) external _coalition_info_resource_usage
0000000000016081 (__TEXT,__text) external _coalition_info_set_efficiency
0000000000016055 (__TEXT,__text) external _coalition_info_set_name
00000000000160b5 (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
000000000000c070 (__TEXT,__text) external _coalition_policy_get
000000000000c088 (__TEXT,__text) external _coalition_policy_set
0000000000015fdc (__TEXT,__text) external _coalition_reap
0000000000015fbb (__TEXT,__text) external _coalition_terminate
00000000000045e8 (__TEXT,__text) external _connect
0000000000004470 (__TEXT,__text) external _connect$NOCANCEL
0000000000004630 (__TEXT,__text) external _connectx
000000000000255c (__TEXT,__text) external _csops
000000000000164c (__TEXT,__text) external _csops_audittoken
0000000000001703 (__TEXT,__text) external _csr_check
000000000000802f (__TEXT,__text) external _csr_get_active_config
0000000000001018 (__TEXT,__text) external _debug_control_port_for_pid
0000000000016261 (__TEXT,__text) external _debug_syscall_reject
0000000000016175 (__TEXT,__text) external _debug_syscall_reject_config
000000000003f1b8 (__DATA,__data) external _denap_boost_assertion_token
000000000000c0a0 (__TEXT,__text) external _disconnectx
00000000000061e7 (__TEXT,__text) non-external _do_compat
0000000000004690 (__TEXT,__text) external _dup
0000000000007d78 (__TEXT,__text) external _dup2
000000000003ce40 (__DATA_CONST,__const) non-external _err_codes_auth
000000000003ccd0 (__DATA_CONST,__const) non-external _err_codes_env_mgr
000000000003d040 (__DATA_CONST,__const) non-external _err_codes_exception
000000000003cd10 (__DATA_CONST,__const) non-external _err_codes_execd
