00007ffb1f6d42cf (__TEXT,__text) external _AAAFSCGetMetadata
00007ffb1f68a655 (__TEXT,__text) external _AAMemoryInputStreamOpen
00007ffb1f68aa08 (__TEXT,__text) external _AAMemoryOutputStreamCloseWithSize
00007ffb1f68a846 (__TEXT,__text) external _AAMemoryOutputStreamOpen
00007ffb1f66f381 (__TEXT,__text) external _AAPathFilterAddRule
00007ffb1f66f875 (__TEXT,__text) external _AAPathFilterApply
00007ffb1f66f225 (__TEXT,__text) external _AAPathFilterCreate
00007ffb1f66f306 (__TEXT,__text) external _AAPathFilterDestroy
00007ffb1f6b9f80 (__TEXT,__text) external _AAPathListCreate
00007ffb1f6ba118 (__TEXT,__text) external _AAPathListCreateWithDirectoryContents
00007ffb1f6bb9a8 (__TEXT,__text) external _AAPathListCreateWithPath
00007ffb1f6ba0e9 (__TEXT,__text) external _AAPathListDestroy
00007ffb1f6bbe9d (__TEXT,__text) external _AAPathListGetNode
00007ffb1f6bbfd9 (__TEXT,__text) external _AAPathListMerge
00007ffb1f6bc126 (__TEXT,__text) external _AAPathListNodeFirst
00007ffb1f6bbd75 (__TEXT,__text) external _AAPathListNodeGetPath
00007ffb1f6bc142 (__TEXT,__text) external _AAPathListNodeNext
00007ffb1f680a79 (__TEXT,__text) external _AARandomAccessByteStreamProcess
00007ffb1f6b4210 (__TEXT,__text) external _AARandomAccessDecodeAndExtract
00007ffb1f6928f5 (__TEXT,__text) external _AARangeInputStreamOpen
00007ffb1f684911 (__TEXT,__text) external _AARemoveArchiveOutputStreamOpen
00007ffb1f6d2df8 (__TEXT,__text) external _AASharedBufferPipeOpen
00007ffb1f6d323b (__TEXT,__text) external _AATeeOutputStreamOpen
00007ffb1f6d2ba9 (__TEXT,__text) external _AATempFileStreamOpen
00007ffb1f6d2bb5 (__TEXT,__text) external _AATempFileStreamOpenWithDirectory
00007ffb1f6a25e0 (__TEXT,__text) external _AATempStreamOpen
00007ffb1f6a25ec (__TEXT,__text) external _AATempStreamOpenWithDirectory
00007ffb1f6b2dba (__TEXT,__text) external _AAThreadErrorContextEnter
00007ffb1f6b2dc4 (__TEXT,__text) external _AAThreadErrorContextLeave
00007ffb1f672e00 (__TEXT,__text) external _AAVerifyDirectoryArchiveOutputStreamOpen
00007ffb1f66e8d9 (__TEXT,__text) external _AEAAuthDataAppendEntry
00007ffb1f66ef93 (__TEXT,__text) external _AEAAuthDataClear
00007ffb1f66e20e (__TEXT,__text) external _AEAAuthDataCreate
00007ffb1f66e2d0 (__TEXT,__text) external _AEAAuthDataCreateWithContext
00007ffb1f66e276 (__TEXT,__text) external _AEAAuthDataDestroy
00007ffb1f66f075 (__TEXT,__text) external _AEAAuthDataGetEncodedData
00007ffb1f66f06b (__TEXT,__text) external _AEAAuthDataGetEncodedSize
00007ffb1f66e7a8 (__TEXT,__text) external _AEAAuthDataGetEntry
00007ffb1f66e7a0 (__TEXT,__text) external _AEAAuthDataGetEntryCount
00007ffb1f66efa4 (__TEXT,__text) external _AEAAuthDataRemoveEntry
00007ffb1f66ec96 (__TEXT,__text) external _AEAAuthDataSetEntry
00007ffb1f6a64c7 (__TEXT,__text) external _AEAContextCreateWithEncryptedStream
00007ffb1f6a640c (__TEXT,__text) external _AEAContextCreateWithProfile
00007ffb1f6839e0 (__TEXT,__text) external _AEAContextDecryptAttributes
00007ffb1f6a6390 (__TEXT,__text) external _AEAContextDestroy
00007ffb1f6a7005 (__TEXT,__text) external _AEAContextGenerateFieldBlob
00007ffb1f6a7193 (__TEXT,__text) external _AEAContextGetContainerSizeUpperBound
00007ffb1f6a68d0 (__TEXT,__text) external _AEAContextGetFieldBlob
00007ffb1f6a6811 (__TEXT,__text) external _AEAContextGetFieldUInt
00007ffb1f6a6ce0 (__TEXT,__text) external _AEAContextSetFieldBlob
00007ffb1f6a7133 (__TEXT,__text) external _AEAContextSetFieldCallback
00007ffb1f6a6b00 (__TEXT,__text) external _AEAContextSetFieldUInt
00007ffb1f675501 (__TEXT,__text) non-external _AEADDecrypt_AESCTR_MAC256_KEY640
00007ffb1f674fd9 (__TEXT,__text) non-external _AEADDecrypt_None_MAC256_KEY256
00007ffb1f675052 (__TEXT,__text) non-external _AEADEncrypt_AESCTR_MAC256_KEY640
00007ffb1f674f46 (__TEXT,__text) non-external _AEADEncrypt_None_MAC256_KEY256
00007ffb1f66bfbb (__TEXT,__text) external _AEADecryptAndExtract
00007ffb1f6ae0fe (__TEXT,__text) external _AEADecryptAndExtractAsyncStreamOpen
00007ffb1f66ba18 (__TEXT,__text) external _AEADecryptAndExtractChunk
00007ffb1f6afbf8 (__TEXT,__text) external _AEADecryptAndExtractChunkAsyncStreamOpen
00007ffb1f663c14 (__TEXT,__text) external _AEADecryptAsyncStreamOpen
00007ffb1f67f677 (__TEXT,__text) external _AEADecryptInPlace
00007ffb1f685fad (__TEXT,__text) external _AEADecryptToFile
00007ffb1f6a1837 (__TEXT,__text) external _AEADecryptToFileAsyncStreamOpen
00007ffb1f685a0a (__TEXT,__text) external _AEADecryptToFileChunk
00007ffb1f6a2562 (__TEXT,__text) external _AEADecryptToFileChunkAsyncStreamOpen
00007ffb1f6de798 (__TEXT,__text) external _AEADecryptToStream
00007ffb1f6ddf06 (__TEXT,__text) external _AEADecryptToStreamChunk
00007ffb1f681365 (__TEXT,__text) external _AEADecryptionDirectRandomAccessInputStreamOpen
00007ffb1f676ba6 (__TEXT,__text) external _AEADecryptionInputStreamOpen
00007ffb1f6698da (__TEXT,__text) external _AEADecryptionRandomAccessInputStreamOpen
00007ffb1f67fc46 (__TEXT,__text) external _AEAEncryptInPlace
00007ffb1f67aba3 (__TEXT,__text) external _AEAEncryptionOutputStreamCloseAndUpdateContext
00007ffb1f679dd4 (__TEXT,__text) external _AEAEncryptionOutputStreamOpen
00007ffb1f67a405 (__TEXT,__text) external _AEAEncryptionOutputStreamOpenExisting
00007ffb1f67fde3 (__TEXT,__text) external _AEAKeychainGenerateItem
00007ffb1f680700 (__TEXT,__text) external _AEAKeychainHasItem
00007ffb1f68054c (__TEXT,__text) external _AEAKeychainLoadItem
00007ffb1f680804 (__TEXT,__text) external _AEAKeychainRemoveItem
00007ffb1f6800ab (__TEXT,__text) external _AEAKeychainStoreItem
00007ffb1f672550 (__TEXT,__text) external _AEAStreamSign
00007ffb1f6a477c (__TEXT,__text) non-external (was a private external) _BXDiff5
00007ffb1f67dac5 (__TEXT,__text) non-external (was a private external) _BXDiff5GetPatchInfo
00007ffb1f6a478b (__TEXT,__text) non-external (was a private external) _BXDiff5WithIndividualPatches
00007ffb1f68cc76 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesCreate
00007ffb1f68df58 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesDestroy
00007ffb1f68df87 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesGetBestMatch
00007ffb1f68e23e (__TEXT,__text) non-external (was a private external) _BXDiffMatchesIBuf
00007ffb1f68e248 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesISize
00007ffb1f68e251 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesOBuf
00007ffb1f68e25b (__TEXT,__text) non-external (was a private external) _BXDiffMatchesOSize
00007ffb1f67e6f1 (__TEXT,__text) non-external (was a private external) _BXPatch5FileWithFlags
00007ffb1f67e953 (__TEXT,__text) non-external (was a private external) _BXPatch5InPlace
00007ffb1f67db0f (__TEXT,__text) non-external (was a private external) _BXPatch5StreamWithFlags
00007ffb1f67e80c (__TEXT,__text) non-external _BXPatch5WithFlagsFileStreamPRead
                 (undefined) external _BZ2_bzDecompress (from libbz2)
                 (undefined) external _BZ2_bzDecompressEnd (from libbz2)
                 (undefined) external _BZ2_bzDecompressInit (from libbz2)
00007ffb1f68abe7 (__TEXT,__text) non-external (was a private external) _BlobBufferFree
00007ffb1f68ab4b (__TEXT,__text) non-external (was a private external) _BlobBufferIncreaseCapacity
00007ffb1f68aaa6 (__TEXT,__text) non-external (was a private external) _BlobBufferStore
00007ffb1f681553 (__TEXT,__text) non-external _BlockDecryptionStreamCancel
00007ffb1f68152b (__TEXT,__text) non-external _BlockDecryptionStreamClose
00007ffb1f681570 (__TEXT,__text) non-external _BlockDecryptionStreamPRead
00007ffb1f681993 (__TEXT,__text) non-external _BlockDecryptionStreamRead
                 (undefined) external _CCCryptorCreateWithMode (from libSystem)
                 (undefined) external _CCCryptorFinal (from libSystem)
                 (undefined) external _CCCryptorGetOutputLength (from libSystem)
                 (undefined) external _CCCryptorRelease (from libSystem)
                 (undefined) external _CCCryptorUpdate (from libSystem)
                 (undefined) external _CCDeriveKey (from libSystem)
                 (undefined) external _CCHmacFinal (from libSystem)
                 (undefined) external _CCHmacInit (from libSystem)
                 (undefined) external _CCHmacUpdate (from libSystem)
                 (undefined) external _CCKDFParametersCreateHkdf (from libSystem)
                 (undefined) external _CCKDFParametersDestroy (from libSystem)
                 (undefined) external _CCRandomGenerateBytes (from libSystem)
00007ffb1f695edf (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Final
00007ffb1f695e82 (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Init
00007ffb1f695e9b (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Update
00007ffb1f698191 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Final
00007ffb1f69817d (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Init
00007ffb1f698187 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Update
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CC_SHA384_Final (from libSystem)
                 (undefined) external _CC_SHA384_Init (from libSystem)
                 (undefined) external _CC_SHA384_Update (from libSystem)
                 (undefined) external _CC_SHA512_Final (from libSystem)
                 (undefined) external _CC_SHA512_Init (from libSystem)
                 (undefined) external _CC_SHA512_Update (from libSystem)
                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDataGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFErrorCopyDescription (from CoreFoundation)
                 (undefined) external _CFErrorCreateWithUserInfoKeysAndValues (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
00007ffb1f6f1fa0 (__TEXT,__const) non-external _CKSUMTable
00007ffb1f6d7668 (__TEXT,__text) non-external _CompressionConsumerProc
00007ffb1f6d7490 (__TEXT,__text) non-external _CompressionWorkerDataCreate
00007ffb1f6d83ee (__TEXT,__text) non-external _CompressionWorkerDataDestroy
00007ffb1f6d75de (__TEXT,__text) non-external _CompressionWorkerProc
00007ffb1f675f38 (__TEXT,__text) non-external _DHERecipient_ECDHE_P256
00007ffb1f675b7d (__TEXT,__text) non-external _DHESender_ECDHE_P256
00007ffb1f67647d (__TEXT,__text) non-external _DSASign_ECDSA_P256
00007ffb1f6766c5 (__TEXT,__text) non-external _DSAVerify_ECDSA_P256
00007ffb1f676293 (__TEXT,__text) non-external _DerivePublicFromPrivate_ECP256
00007ffb1f676427 (__TEXT,__text) non-external _Digest_SHA256
00007ffb1f681d26 (__TEXT,__text) non-external (was a private external) _ECC65537CheckAndFix
00007ffb1f6819a6 (__TEXT,__text) non-external (was a private external) _ECC65537GetParity
00007ffb1f6f1e40 (__TEXT,__const) non-external _ECC65537_G
00007ffb1f68b36e (__TEXT,__text) non-external (was a private external) _ECCFixThreadProc
00007ffb1f6a8735 (__TEXT,__text) non-external (was a private external) _GetLargeFileControls
00007ffb1f6a7b5d (__TEXT,__text) non-external (was a private external) _GetLargeFileControlsWithStreams
00007ffb1f674dc4 (__TEXT,__text) non-external _HKDFDerive
00007ffb1f676a11 (__TEXT,__text) non-external _HMACDerive_SHA256
00007ffb1f6769a0 (__TEXT,__text) non-external _HMACFinal_SHA256
00007ffb1f67690e (__TEXT,__text) non-external _HMACInit_SHA256
00007ffb1f676988 (__TEXT,__text) non-external _HMACUpdate_SHA256
00007ffb1f676aee (__TEXT,__text) non-external _HMACVerify_SHA256
00007ffb1f682d84 (__TEXT,__text) non-external (was a private external) _IDecoderStreamAbort
00007ffb1f682b16 (__TEXT,__text) non-external (was a private external) _IDecoderStreamCreate
00007ffb1f682c65 (__TEXT,__text) non-external (was a private external) _IDecoderStreamDestroy
00007ffb1f682d69 (__TEXT,__text) non-external (was a private external) _IDecoderStreamRead
00007ffb1f682adc (__TEXT,__text) non-external (was a private external) _IDecoderStreamThreadProc
00007ffb1f68f559 (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFD
00007ffb1f68f20b (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFilename
00007ffb1f68f522 (__TEXT,__text) non-external (was a private external) _IFileStreamDestroy
00007ffb1f68f681 (__TEXT,__text) non-external (was a private external) _IFileStreamRead
00007ffb1f682d98 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamCreate
00007ffb1f6833b0 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamCreateWithBuffer
00007ffb1f683347 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamDestroy
00007ffb1f68342f (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamRead
00007ffb1f6902c0 (__TEXT,__text) non-external (was a private external) _IMemStreamAbort
00007ffb1f6901f5 (__TEXT,__text) non-external (was a private external) _IMemStreamCreate
00007ffb1f6902b6 (__TEXT,__text) non-external (was a private external) _IMemStreamDestroy
00007ffb1f690268 (__TEXT,__text) non-external (was a private external) _IMemStreamRead
00007ffb1f68f09b (__TEXT,__text) non-external (was a private external) _IZeroStreamRead
00007ffb1f6a7a7c (__TEXT,__text) non-external (was a private external) _LargeFileConsumer
00007ffb1f6a7330 (__TEXT,__text) non-external (was a private external) _LargeFileWorker
00007ffb1f68ee6b (__TEXT,__text) non-external (was a private external) _MappedBufferCreateWithFD
00007ffb1f68ee2a (__TEXT,__text) non-external (was a private external) _MappedBufferDestroy
00007ffb1f68f087 (__TEXT,__text) non-external (was a private external) _MappedBufferGetDataPtr
00007ffb1f68f091 (__TEXT,__text) non-external (was a private external) _MappedBufferGetDataSize
00007ffb1f68e880 (__TEXT,__text) non-external (was a private external) _MemBufferCreate
00007ffb1f68ea05 (__TEXT,__text) non-external (was a private external) _MemBufferDecreaseSize
00007ffb1f68e974 (__TEXT,__text) non-external (was a private external) _MemBufferDestroy
00007ffb1f68ead1 (__TEXT,__text) non-external (was a private external) _MemBufferFillFromBuffer
00007ffb1f68eb60 (__TEXT,__text) non-external (was a private external) _MemBufferFillFromIStream
00007ffb1f68ebec (__TEXT,__text) non-external (was a private external) _MemBufferFlushToOStream
00007ffb1f68e9b1 (__TEXT,__text) non-external (was a private external) _MemBufferGetDataPtr
00007ffb1f68e99a (__TEXT,__text) non-external (was a private external) _MemBufferGetDataSize
