000000018c311990 (__TEXT,__const) non-external _SHA256_K
000000018c30d2a0 (__TEXT,__text) non-external _ia64_code
000000018c313bc8 (__TEXT,__const) non-external _ia64_code.BRANCH_TABLE
000000018c3029e8 (__TEXT,__text) non-external _index_cat_helper
000000018c305578 (__TEXT,__text) non-external _index_decode
000000018c305860 (__TEXT,__text) non-external _index_decoder_end
000000018c305330 (__TEXT,__text) non-external _index_decoder_init
000000018c3058a4 (__TEXT,__text) non-external _index_decoder_memconfig
000000018c301894 (__TEXT,__text) non-external _index_encode
000000018c302174 (__TEXT,__text) non-external _index_encoder_end
000000018c30173c (__TEXT,__text) non-external _index_file_size
000000018c3021f8 (__TEXT,__text) non-external _index_stream_end
000000018c2fbcbc (__TEXT,__text) non-external _index_tree_append
000000018c302178 (__TEXT,__text) non-external _index_tree_node_end
000000018c2fcd14 (__TEXT,__text) non-external _is_options_valid
000000018c301cb4 (__TEXT,__text) non-external _iter_set_info
000000018c30132c (__TEXT,__text) non-external _length
000000018c2fcd6c (__TEXT,__text) non-external _length_encoder_reset
000000018c2fce30 (__TEXT,__text) non-external _length_update_prices
000000018c308330 (__TEXT,__text) non-external _lz_decode
000000018c3084ec (__TEXT,__text) non-external _lz_decoder_end
000000018c2fdf80 (__TEXT,__text) non-external _lz_encode
000000018c3020b0 (__TEXT,__text) non-external _lz_encoder_end
000000018c2fcfec (__TEXT,__text) non-external _lz_encoder_prepare
000000018c30771c (__TEXT,__text) non-external _lz_encoder_update
000000018c30c23c (__TEXT,__text) non-external _lzma2_decode
000000018c30c540 (__TEXT,__text) non-external _lzma2_decoder_end
000000018c30c0b4 (__TEXT,__text) non-external _lzma2_decoder_init
000000018c2fe184 (__TEXT,__text) non-external _lzma2_encode
000000018c302130 (__TEXT,__text) non-external _lzma2_encoder_end
000000018c2fc8c8 (__TEXT,__text) non-external _lzma2_encoder_init
000000018c30c004 (__TEXT,__text) non-external _lzma2_encoder_options_update
000000018c30d828 (__TEXT,__const) non-external (was a private external) _lzma_5VersionNumber
000000018c30d800 (__TEXT,__const) non-external (was a private external) _lzma_5VersionString
000000018c2fbb7c (__TEXT,__text) non-external (was a private external) _lzma_alloc
000000018c304310 (__TEXT,__text) external _lzma_alone_decoder
000000018c303edc (__TEXT,__text) non-external (was a private external) _lzma_alone_decoder_init
000000018c302e50 (__TEXT,__text) external _lzma_alone_encoder
000000018c304380 (__TEXT,__text) external _lzma_auto_decoder
000000018c3031a4 (__TEXT,__text) external _lzma_block_buffer_bound
000000018c304714 (__TEXT,__text) external _lzma_block_buffer_decode
000000018c3031f0 (__TEXT,__text) external _lzma_block_buffer_encode
000000018c302448 (__TEXT,__text) external _lzma_block_compressed_size
000000018c304c28 (__TEXT,__text) external _lzma_block_decoder
000000018c304858 (__TEXT,__text) non-external (was a private external) _lzma_block_decoder_init
000000018c303670 (__TEXT,__text) external _lzma_block_encoder
000000018c2fc24c (__TEXT,__text) non-external (was a private external) _lzma_block_encoder_init
000000018c304c94 (__TEXT,__text) external _lzma_block_header_decode
000000018c2fd928 (__TEXT,__text) external _lzma_block_header_encode
000000018c2fc058 (__TEXT,__text) external _lzma_block_header_size
000000018c3024bc (__TEXT,__text) external _lzma_block_total_size
000000018c2fda8c (__TEXT,__text) external _lzma_block_unpadded_size
000000018c2fd8b4 (__TEXT,__text) non-external (was a private external) _lzma_bufcpy
000000018c3069e0 (__TEXT,__text) non-external (was a private external) _lzma_check_finish
000000018c2fc3c0 (__TEXT,__text) non-external (was a private external) _lzma_check_init
000000018c2fc3a0 (__TEXT,__text) external _lzma_check_is_supported
000000018c30d950 (__TEXT,__const) non-external _lzma_check_is_supported.available_checks
000000018c30152c (__TEXT,__text) external _lzma_check_size
000000018c30d960 (__TEXT,__const) non-external _lzma_check_size.check_sizes
000000018c2feb18 (__TEXT,__text) non-external (was a private external) _lzma_check_update
000000018c2fd404 (__TEXT,__text) external _lzma_code
000000018c2fbde0 (__TEXT,__text) external _lzma_crc32
000000018c30d970 (__TEXT,__const) non-external (was a private external) _lzma_crc32_table
000000018c306a14 (__TEXT,__text) external _lzma_crc64
000000018c30f970 (__TEXT,__const) non-external (was a private external) _lzma_crc64_table
000000018c308c14 (__TEXT,__text) non-external _lzma_decode
000000018c313ae8 (__TEXT,__const) non-external _lzma_decode.next_state
000000018c30bd90 (__TEXT,__text) non-external _lzma_decoder_init
000000018c30bb18 (__TEXT,__text) non-external _lzma_decoder_reset
000000018c30bd74 (__TEXT,__text) non-external _lzma_decoder_uncompressed
000000018c30c584 (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_init
000000018c30c6bc (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_memusage
000000018c30c88c (__TEXT,__text) non-external (was a private external) _lzma_delta_decoder_init
000000018c30c6e8 (__TEXT,__text) non-external (was a private external) _lzma_delta_encoder_init
000000018c30c93c (__TEXT,__text) non-external (was a private external) _lzma_delta_props_decode
000000018c30c844 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_encode
000000018c3036dc (__TEXT,__text) external _lzma_easy_buffer_encode
000000018c304ec4 (__TEXT,__text) external _lzma_easy_decoder_memusage
000000018c2fb670 (__TEXT,__text) external _lzma_easy_encoder
000000018c30378c (__TEXT,__text) external _lzma_easy_encoder_memusage
000000018c2fb6dc (__TEXT,__text) non-external (was a private external) _lzma_easy_preset
000000018c3087d4 (__TEXT,__text) non-external _lzma_encode
000000018c3086c8 (__TEXT,__text) non-external _lzma_encoder_init
000000018c301f88 (__TEXT,__text) external _lzma_end
000000018c311ae8 (__TEXT,__const) non-external (was a private external) _lzma_fastpos
000000018c3050a4 (__TEXT,__text) external _lzma_filter_decoder_is_supported
000000018c3038fc (__TEXT,__text) external _lzma_filter_encoder_is_supported
000000018c3051fc (__TEXT,__text) external _lzma_filter_flags_decode
000000018c2fdb1c (__TEXT,__text) external _lzma_filter_flags_encode
000000018c2fc14c (__TEXT,__text) external _lzma_filter_flags_size
000000018c2fd288 (__TEXT,__text) external _lzma_filters_copy
000000018c303930 (__TEXT,__text) external _lzma_filters_update
000000018c30d926 (__TEXT,__const) non-external (was a private external) _lzma_footer_magic
000000018c2fd264 (__TEXT,__text) non-external (was a private external) _lzma_free
000000018c30230c (__TEXT,__text) external _lzma_get_check
000000018c30d920 (__TEXT,__const) non-external (was a private external) _lzma_header_magic
000000018c30154c (__TEXT,__text) external _lzma_index_append
000000018c301ad0 (__TEXT,__text) external _lzma_index_block_count
000000018c30544c (__TEXT,__text) external _lzma_index_buffer_decode
000000018c303b48 (__TEXT,__text) external _lzma_index_buffer_encode
000000018c3027e8 (__TEXT,__text) external _lzma_index_cat
000000018c3026ec (__TEXT,__text) external _lzma_index_checks
000000018c3052bc (__TEXT,__text) external _lzma_index_decoder
000000018c302a68 (__TEXT,__text) external _lzma_index_dup
000000018c303adc (__TEXT,__text) external _lzma_index_encoder
000000018c3017a0 (__TEXT,__text) non-external (was a private external) _lzma_index_encoder_init
000000018c2fbba4 (__TEXT,__text) external _lzma_index_end
000000018c3026b4 (__TEXT,__text) external _lzma_index_file_size
000000018c3059c4 (__TEXT,__text) external _lzma_index_hash_append
000000018c305b18 (__TEXT,__text) external _lzma_index_hash_decode
000000018c305988 (__TEXT,__text) external _lzma_index_hash_end
000000018c305918 (__TEXT,__text) external _lzma_index_hash_init
000000018c30598c (__TEXT,__text) external _lzma_index_hash_size
000000018c2fbc08 (__TEXT,__text) external _lzma_index_init
000000018c301878 (__TEXT,__text) external _lzma_index_iter_init
000000018c302cc0 (__TEXT,__text) external _lzma_index_iter_locate
000000018c301ad8 (__TEXT,__text) external _lzma_index_iter_next
000000018c302ca8 (__TEXT,__text) external _lzma_index_iter_rewind
000000018c302594 (__TEXT,__text) external _lzma_index_memusage
000000018c302600 (__TEXT,__text) external _lzma_index_memused
000000018c301e6c (__TEXT,__text) non-external (was a private external) _lzma_index_padding_size
000000018c30257c (__TEXT,__text) non-external (was a private external) _lzma_index_prealloc
000000018c301ea8 (__TEXT,__text) external _lzma_index_size
000000018c302660 (__TEXT,__text) external _lzma_index_stream_count
000000018c302718 (__TEXT,__text) external _lzma_index_stream_flags
000000018c302778 (__TEXT,__text) external _lzma_index_stream_padding
000000018c302670 (__TEXT,__text) external _lzma_index_stream_size
000000018c302668 (__TEXT,__text) external _lzma_index_total_size
000000018c3026e4 (__TEXT,__text) external _lzma_index_uncompressed_size
000000018c308198 (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_init
000000018c308560 (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_memusage
000000018c30856c (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_uncompressed
000000018c2fc6f4 (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_init
000000018c3076b8 (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_memusage
000000018c30c0a0 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_init
000000018c30c18c (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_memusage
000000018c2fc6e0 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_init
000000018c30bfc4 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_memusage
000000018c30c1a8 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_decode
000000018c2fdce0 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_encode
000000018c308b7c (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_create
000000018c30bd7c (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_init
000000018c30be98 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage
000000018c30be74 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage_nocheck
000000018c2fe4d8 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encode
000000018c2fc9e4 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_create
000000018c3086b4 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_init
000000018c3086dc (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_memusage
000000018c2fcb20 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_reset
000000018c30be10 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_decode
000000018c3014dc (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_encode
000000018c3087f0 (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_fast
000000018c2ff020 (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_normal
000000018c2fb724 (__TEXT,__text) external _lzma_lzma_preset
000000018c30bef0 (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_decode
000000018c308768 (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_encode
000000018c302384 (__TEXT,__text) external _lzma_memlimit_get
000000018c3023e0 (__TEXT,__text) external _lzma_memlimit_set
000000018c302328 (__TEXT,__text) external _lzma_memusage
000000018c307db8 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_find
000000018c307e7c (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_skip
000000018c307f24 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_find
000000018c3080b8 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_skip
000000018c300c90 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_find
000000018c2febac (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_skip
000000018c300bb8 (__TEXT,__text) non-external (was a private external) _lzma_mf_find
000000018c3077c0 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_find
000000018c307a00 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_skip
000000018c307ac0 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_find
000000018c307cd8 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_skip
000000018c307794 (__TEXT,__text) external _lzma_mf_is_supported
000000018c3087c4 (__TEXT,__text) external _lzma_mode_is_supported
000000018c2fbb00 (__TEXT,__text) non-external (was a private external) _lzma_next_end
000000018c2fc654 (__TEXT,__text) non-external (was a private external) _lzma_next_filter_init
000000018c3022a0 (__TEXT,__text) non-external (was a private external) _lzma_next_filter_update
000000018c302578 (__TEXT,__text) external _lzma_physmem
000000018c3051bc (__TEXT,__text) external _lzma_properties_decode
000000018c2fdca0 (__TEXT,__text) external _lzma_properties_encode
000000018c2fc1c0 (__TEXT,__text) external _lzma_properties_size
000000018c304f1c (__TEXT,__text) external _lzma_raw_buffer_decode
000000018c3037e4 (__TEXT,__text) external _lzma_raw_buffer_encode
000000018c2fc404 (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_init
000000018c3024e4 (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_memusage
000000018c305124 (__TEXT,__text) external _lzma_raw_decoder
000000018c30510c (__TEXT,__text) non-external (was a private external) _lzma_raw_decoder_init
000000018c3051a4 (__TEXT,__text) external _lzma_raw_decoder_memusage
000000018c303a3c (__TEXT,__text) external _lzma_raw_encoder
000000018c2fc3ec (__TEXT,__text) non-external (was a private external) _lzma_raw_encoder_init
000000018c303a24 (__TEXT,__text) external _lzma_raw_encoder_memusage
000000018c313b20 (__TEXT,__const) non-external (was a private external) _lzma_rc_prices
000000018c3075d8 (__TEXT,__text) non-external (was a private external) _lzma_sha256_finish
000000018c306b00 (__TEXT,__text) non-external (was a private external) _lzma_sha256_init
000000018c311970 (__TEXT,__const) non-external _lzma_sha256_init.s
000000018c306b18 (__TEXT,__text) non-external (was a private external) _lzma_sha256_update
000000018c30d498 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_decoder_init
000000018c30d474 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_encoder_init
000000018c30d570 (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_decoder_init
000000018c30d54c (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_encoder_init
000000018c30c99c (__TEXT,__text) non-external (was a private external) _lzma_simple_coder_init
000000018c30d27c (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_decoder_init
000000018c30d258 (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_encoder_init
000000018c30d180 (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_decoder_init
000000018c30d15c (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_encoder_init
000000018c30cec8 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_decode
000000018c30ceb0 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_encode
000000018c30ce88 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_size
000000018c30d674 (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_decoder_init
000000018c30d650 (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_encoder_init
000000018c30cfb0 (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_decoder_init
000000018c30cf4c (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_encoder_init
000000018c303c58 (__TEXT,__text) external _lzma_stream_buffer_bound
000000018c305e78 (__TEXT,__text) external _lzma_stream_buffer_decode
000000018c303c88 (__TEXT,__text) external _lzma_stream_buffer_encode
000000018c3066bc (__TEXT,__text) external _lzma_stream_decoder
000000018c306004 (__TEXT,__text) non-external (was a private external) _lzma_stream_decoder_init
000000018c2fb874 (__TEXT,__text) external _lzma_stream_encoder
000000018c2fb984 (__TEXT,__text) non-external (was a private external) _lzma_stream_encoder_init
000000018c302da8 (__TEXT,__text) external _lzma_stream_flags_compare
000000018c3067ec (__TEXT,__text) external _lzma_stream_footer_decode
000000018c301ee0 (__TEXT,__text) external _lzma_stream_footer_encode
000000018c306730 (__TEXT,__text) external _lzma_stream_header_decode
000000018c2fbd58 (__TEXT,__text) external _lzma_stream_header_encode
000000018c2fb8e4 (__TEXT,__text) non-external (was a private external) _lzma_strm_init
000000018c302288 (__TEXT,__text) external _lzma_version_number
000000018c302294 (__TEXT,__text) external _lzma_version_string
000000018c306894 (__TEXT,__text) external _lzma_vli_decode
000000018c2fdbec (__TEXT,__text) external _lzma_vli_encode
000000018c2fc228 (__TEXT,__text) external _lzma_vli_size
                 (undefined) external _malloc (from libSystem)
000000018c3010b4 (__TEXT,__text) non-external _match
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
000000018c2fed78 (__TEXT,__text) non-external _move_pos
000000018c30d1a4 (__TEXT,__text) non-external _powerpc_code
000000018c306ba4 (__TEXT,__text) non-external _process
000000018c2fede4 (__TEXT,__text) non-external _rc_encode
000000018c30caf0 (__TEXT,__text) non-external _simple_code
000000018c30cd78 (__TEXT,__text) non-external _simple_coder_end
000000018c30cdc4 (__TEXT,__text) non-external _simple_coder_update
000000018c30d698 (__TEXT,__text) non-external _sparc_code
000000018c306170 (__TEXT,__text) non-external _stream_decode
000000018c306624 (__TEXT,__text) non-external _stream_decoder_end
000000018c306674 (__TEXT,__text) non-external _stream_decoder_get_check
000000018c30667c (__TEXT,__text) non-external _stream_decoder_memconfig
000000018c2fd63c (__TEXT,__text) non-external _stream_encode
000000018c30d940 (__TEXT,__const) non-external _stream_encode.convert
000000018c301fe4 (__TEXT,__text) non-external _stream_encoder_end
000000018c2fbf08 (__TEXT,__text) non-external _stream_encoder_update
                 (undefined) external _sysctl (from libSystem)
000000018c30220c (__TEXT,__text) non-external (was a private external) _tuklib_physmem
000000018c2fc564 (__TEXT,__text) non-external _validate_chain
000000018c30cfb8 (__TEXT,__text) non-external _x86_code
000000018c313ba8 (__TEXT,__const) non-external _x86_code.MASK_TO_BIT_NUMBER
000000018c30cf54 (__TEXT,__text) non-external _x86_coder_init
