00000002247e9ad4 (__TEXT,__text) external _CGLGetCurrentContext
00000002247e05a4 (__TEXT,__text) external _glClearStencil
00000002247e2e74 (__TEXT,__text) external _glClientActiveTexture
00000002247e7360 (__TEXT,__text) external _glClientActiveTextureARB
00000002247e54cc (__TEXT,__text) external _glClientWaitSync
00000002247e05bc (__TEXT,__text) external _glClipPlane
00000002247e05d8 (__TEXT,__text) external _glColor3b
00000002247e05f8 (__TEXT,__text) external _glColor3bv
00000002247e0610 (__TEXT,__text) external _glColor3d
00000002247e0624 (__TEXT,__text) external _glColor3dv
00000002247e063c (__TEXT,__text) external _glColor3f
00000002247e0650 (__TEXT,__text) external _glColor3fv
00000002247e0668 (__TEXT,__text) external _glColor3i
00000002247e0688 (__TEXT,__text) external _glColor3iv
00000002247e06a0 (__TEXT,__text) external _glColor3s
00000002247e06c0 (__TEXT,__text) external _glColor3sv
00000002247e06d8 (__TEXT,__text) external _glColor3ub
00000002247e06f8 (__TEXT,__text) external _glColor3ubv
00000002247e0710 (__TEXT,__text) external _glColor3ui
00000002247e0730 (__TEXT,__text) external _glColor3uiv
00000002247e0748 (__TEXT,__text) external _glColor3us
00000002247e0768 (__TEXT,__text) external _glColor3usv
00000002247e0780 (__TEXT,__text) external _glColor4b
00000002247e07a4 (__TEXT,__text) external _glColor4bv
00000002247e07bc (__TEXT,__text) external _glColor4d
00000002247e07d0 (__TEXT,__text) external _glColor4dv
00000002247e07e8 (__TEXT,__text) external _glColor4f
00000002247e07fc (__TEXT,__text) external _glColor4fv
00000002247e0814 (__TEXT,__text) external _glColor4i
00000002247e0838 (__TEXT,__text) external _glColor4iv
00000002247e0850 (__TEXT,__text) external _glColor4s
00000002247e0874 (__TEXT,__text) external _glColor4sv
00000002247e088c (__TEXT,__text) external _glColor4ub
00000002247e08b0 (__TEXT,__text) external _glColor4ubv
00000002247e08c8 (__TEXT,__text) external _glColor4ui
00000002247e08ec (__TEXT,__text) external _glColor4uiv
00000002247e0904 (__TEXT,__text) external _glColor4us
00000002247e0928 (__TEXT,__text) external _glColor4usv
00000002247e0940 (__TEXT,__text) external _glColorMask
00000002247e930c (__TEXT,__text) external _glColorMaskIndexedEXT
00000002247e4af8 (__TEXT,__text) external _glColorMaski
00000002247e0964 (__TEXT,__text) external _glColorMaterial
00000002247e0980 (__TEXT,__text) external _glColorPointer
00000002247e2acc (__TEXT,__text) external _glColorSubTable
00000002247e85b4 (__TEXT,__text) external _glColorSubTableEXT
00000002247e29d4 (__TEXT,__text) external _glColorTable
00000002247e8588 (__TEXT,__text) external _glColorTableEXT
00000002247e2a00 (__TEXT,__text) external _glColorTableParameterfv
00000002247e2a20 (__TEXT,__text) external _glColorTableParameteriv
00000002247e9a80 (__TEXT,__text) external _glCombinerInputNV
00000002247e9a84 (__TEXT,__text) external _glCombinerOutputNV
00000002247e9a74 (__TEXT,__text) external _glCombinerParameterfNV
00000002247e9a70 (__TEXT,__text) external _glCombinerParameterfvNV
00000002247e9a7c (__TEXT,__text) external _glCombinerParameteriNV
00000002247e9a78 (__TEXT,__text) external _glCombinerParameterivNV
00000002247e9aa4 (__TEXT,__text) external _glCombinerStageParameterfvNV
00000002247e40f4 (__TEXT,__text) external _glCompileShader
00000002247e7dfc (__TEXT,__text) external _glCompileShaderARB
00000002247e8400 (__TEXT,__text) external _glCompileShaderIncludeARB
00000002247e3344 (__TEXT,__text) external _glCompressedTexImage1D
00000002247e7830 (__TEXT,__text) external _glCompressedTexImage1DARB
00000002247e32f0 (__TEXT,__text) external _glCompressedTexImage2D
00000002247e77dc (__TEXT,__text) external _glCompressedTexImage2DARB
00000002247e3294 (__TEXT,__text) external _glCompressedTexImage3D
00000002247e7780 (__TEXT,__text) external _glCompressedTexImage3DARB
00000002247e3434 (__TEXT,__text) external _glCompressedTexSubImage1D
00000002247e7920 (__TEXT,__text) external _glCompressedTexSubImage1DARB
00000002247e33d8 (__TEXT,__text) external _glCompressedTexSubImage2D
00000002247e78c4 (__TEXT,__text) external _glCompressedTexSubImage2DARB
00000002247e3374 (__TEXT,__text) external _glCompressedTexSubImage3D
00000002247e7860 (__TEXT,__text) external _glCompressedTexSubImage3DARB
00000002247e2b20 (__TEXT,__text) external _glConvolutionFilter1D
00000002247e2b4c (__TEXT,__text) external _glConvolutionFilter2D
00000002247e2b7c (__TEXT,__text) external _glConvolutionParameterf
00000002247e2b98 (__TEXT,__text) external _glConvolutionParameterfv
00000002247e2bb8 (__TEXT,__text) external _glConvolutionParameteri
00000002247e2bd8 (__TEXT,__text) external _glConvolutionParameteriv
00000002247e5210 (__TEXT,__text) external _glCopyBufferSubData
00000002247e2af8 (__TEXT,__text) external _glCopyColorSubTable
00000002247e2a40 (__TEXT,__text) external _glCopyColorTable
00000002247e2bf8 (__TEXT,__text) external _glCopyConvolutionFilter1D
00000002247e2c20 (__TEXT,__text) external _glCopyConvolutionFilter2D
00000002247e09a4 (__TEXT,__text) external _glCopyPixels
00000002247e09cc (__TEXT,__text) external _glCopyTexImage1D
00000002247e09fc (__TEXT,__text) external _glCopyTexImage2D
00000002247e0a50 (__TEXT,__text) external _glCopyTexSubImage1D
00000002247e0a7c (__TEXT,__text) external _glCopyTexSubImage2D
00000002247e297c (__TEXT,__text) external _glCopyTexSubImage3D
00000002247e4110 (__TEXT,__text) external _glCreateProgram
00000002247e7e14 (__TEXT,__text) external _glCreateProgramObjectARB
00000002247e40a0 (__TEXT,__text) external _glCreateShader
00000002247e7dc0 (__TEXT,__text) external _glCreateShaderObjectARB
00000002247e60a0 (__TEXT,__text) external _glCreateShaderProgramv
00000002247e0ad0 (__TEXT,__text) external _glCullFace
00000002247e3a44 (__TEXT,__text) external _glDeleteBuffers
00000002247e7c44 (__TEXT,__text) external _glDeleteBuffersARB
00000002247e95d8 (__TEXT,__text) external _glDeleteFencesAPPLE
00000002247e4874 (__TEXT,__text) external _glDeleteFramebuffers
00000002247e8a50 (__TEXT,__text) external _glDeleteFramebuffersEXT
00000002247e0ae8 (__TEXT,__text) external _glDeleteLists
00000002247e83e4 (__TEXT,__text) external _glDeleteNamedStringARB
00000002247e7d74 (__TEXT,__text) external _glDeleteObjectARB
00000002247e4194 (__TEXT,__text) external _glDeleteProgram
00000002247e60d8 (__TEXT,__text) external _glDeleteProgramPipelines
00000002247e6b08 (__TEXT,__text) external _glDeleteProgramsARB
00000002247e3960 (__TEXT,__text) external _glDeleteQueries
00000002247e7b60 (__TEXT,__text) external _glDeleteQueriesARB
00000002247e47c4 (__TEXT,__text) external _glDeleteRenderbuffers
00000002247e89a0 (__TEXT,__text) external _glDeleteRenderbuffersEXT
00000002247e56a8 (__TEXT,__text) external _glDeleteSamplers
00000002247e4060 (__TEXT,__text) external _glDeleteShader
00000002247e54b4 (__TEXT,__text) external _glDeleteSync
00000002247e0b04 (__TEXT,__text) external _glDeleteTextures
00000002247e5dc4 (__TEXT,__text) external _glDeleteTransformFeedbacks
00000002247e4aa8 (__TEXT,__text) external _glDeleteVertexArrays
00000002247e96f8 (__TEXT,__text) external _glDeleteVertexArraysAPPLE
00000002247e8574 (__TEXT,__text) external _glDepthBoundsEXT
00000002247e0b20 (__TEXT,__text) external _glDepthFunc
00000002247e0b38 (__TEXT,__text) external _glDepthMask
00000002247e0b50 (__TEXT,__text) external _glDepthRange
00000002247e6a74 (__TEXT,__text) external _glDepthRangeArrayv
00000002247e6a94 (__TEXT,__text) external _glDepthRangeIndexed
00000002247e5fd0 (__TEXT,__text) external _glDepthRangef
00000002247e7da4 (__TEXT,__text) external _glDetachObjectARB
00000002247e407c (__TEXT,__text) external _glDetachShader
00000002247e0b64 (__TEXT,__text) external _glDisable
00000002247e0b7c (__TEXT,__text) external _glDisableClientState
00000002247e9350 (__TEXT,__text) external _glDisableIndexedEXT
00000002247e9494 (__TEXT,__text) external _glDisableVertexAttribAPPLE
00000002247e3fc8 (__TEXT,__text) external _glDisableVertexAttribArray
00000002247e6f90 (__TEXT,__text) external _glDisableVertexAttribArrayARB
00000002247e4b7c (__TEXT,__text) external _glDisablei
00000002247e0b94 (__TEXT,__text) external _glDrawArrays
00000002247e59cc (__TEXT,__text) external _glDrawArraysIndirect
00000002247e5334 (__TEXT,__text) external _glDrawArraysInstanced
00000002247e82d8 (__TEXT,__text) external _glDrawArraysInstancedARB
00000002247e0bb4 (__TEXT,__text) external _glDrawBuffer
00000002247e3b74 (__TEXT,__text) external _glDrawBuffers
00000002247e8284 (__TEXT,__text) external _glDrawBuffersARB
00000002247e9764 (__TEXT,__text) external _glDrawElementArrayAPPLE
00000002247e0bcc (__TEXT,__text) external _glDrawElements
00000002247e53b8 (__TEXT,__text) external _glDrawElementsBaseVertex
00000002247e59e8 (__TEXT,__text) external _glDrawElementsIndirect
00000002247e5358 (__TEXT,__text) external _glDrawElementsInstanced
00000002247e82fc (__TEXT,__text) external _glDrawElementsInstancedARB
00000002247e5410 (__TEXT,__text) external _glDrawElementsInstancedBaseVertex
00000002247e0bf0 (__TEXT,__text) external _glDrawPixels
00000002247e9784 (__TEXT,__text) external _glDrawRangeElementArrayAPPLE
00000002247e28a8 (__TEXT,__text) external _glDrawRangeElements
00000002247e53e0 (__TEXT,__text) external _glDrawRangeElementsBaseVertex
00000002247e8888 (__TEXT,__text) external _glDrawRangeElementsEXT
00000002247e5e3c (__TEXT,__text) external _glDrawTransformFeedback
00000002247e5e58 (__TEXT,__text) external _glDrawTransformFeedbackStream
00000002247e0c18 (__TEXT,__text) external _glEdgeFlag
00000002247e0c30 (__TEXT,__text) external _glEdgeFlagPointer
00000002247e0c4c (__TEXT,__text) external _glEdgeFlagv
00000002247e9748 (__TEXT,__text) external _glElementPointerAPPLE
00000002247e0c64 (__TEXT,__text) external _glEnable
00000002247e0c7c (__TEXT,__text) external _glEnableClientState
00000002247e9334 (__TEXT,__text) external _glEnableIndexedEXT
00000002247e9478 (__TEXT,__text) external _glEnableVertexAttribAPPLE
00000002247e3fb0 (__TEXT,__text) external _glEnableVertexAttribArray
00000002247e6f78 (__TEXT,__text) external _glEnableVertexAttribArrayARB
00000002247e4b60 (__TEXT,__text) external _glEnablei
00000002247e0c94 (__TEXT,__text) external _glEnd
00000002247e4cb4 (__TEXT,__text) external _glEndConditionalRender
00000002247e9a10 (__TEXT,__text) external _glEndConditionalRenderNV
00000002247e0ca8 (__TEXT,__text) external _glEndList
00000002247e39b0 (__TEXT,__text) external _glEndQuery
00000002247e7bb0 (__TEXT,__text) external _glEndQueryARB
00000002247e5e98 (__TEXT,__text) external _glEndQueryIndexed
00000002247e4bcc (__TEXT,__text) external _glEndTransformFeedback
00000002247e8d18 (__TEXT,__text) external _glEndTransformFeedbackEXT
00000002247e0cbc (__TEXT,__text) external _glEvalCoord1d
00000002247e0cd0 (__TEXT,__text) external _glEvalCoord1dv
00000002247e0ce8 (__TEXT,__text) external _glEvalCoord1f
00000002247e0cfc (__TEXT,__text) external _glEvalCoord1fv
00000002247e0d14 (__TEXT,__text) external _glEvalCoord2d
00000002247e0d28 (__TEXT,__text) external _glEvalCoord2dv
00000002247e0d40 (__TEXT,__text) external _glEvalCoord2f
00000002247e0d54 (__TEXT,__text) external _glEvalCoord2fv
00000002247e0d6c (__TEXT,__text) external _glEvalMesh1
00000002247e0d8c (__TEXT,__text) external _glEvalMesh2
00000002247e0db4 (__TEXT,__text) external _glEvalPoint1
00000002247e0dcc (__TEXT,__text) external _glEvalPoint2
00000002247e0de8 (__TEXT,__text) external _glFeedbackBuffer
00000002247e5480 (__TEXT,__text) external _glFenceSync
00000002247e9a88 (__TEXT,__text) external _glFinalCombinerInputNV
00000002247e0e08 (__TEXT,__text) external _glFinish
00000002247e963c (__TEXT,__text) external _glFinishFenceAPPLE
00000002247e9670 (__TEXT,__text) external _glFinishObjectAPPLE
00000002247e9810 (__TEXT,__text) external _glFinishRenderAPPLE
00000002247e0e1c (__TEXT,__text) external _glFlush
00000002247e4a70 (__TEXT,__text) external _glFlushMappedBufferRange
00000002247e9858 (__TEXT,__text) external _glFlushMappedBufferRangeAPPLE
00000002247e97fc (__TEXT,__text) external _glFlushRenderAPPLE
00000002247e96a8 (__TEXT,__text) external _glFlushVertexArrayRangeAPPLE
00000002247e34f4 (__TEXT,__text) external _glFogCoordPointer
00000002247e8868 (__TEXT,__text) external _glFogCoordPointerEXT
00000002247e34c8 (__TEXT,__text) external _glFogCoordd
00000002247e883c (__TEXT,__text) external _glFogCoorddEXT
00000002247e34dc (__TEXT,__text) external _glFogCoorddv
00000002247e8850 (__TEXT,__text) external _glFogCoorddvEXT
00000002247e349c (__TEXT,__text) external _glFogCoordf
00000002247e8810 (__TEXT,__text) external _glFogCoordfEXT
00000002247e34b0 (__TEXT,__text) external _glFogCoordfv
00000002247e8824 (__TEXT,__text) external _glFogCoordfvEXT
00000002247e0e30 (__TEXT,__text) external _glFogf
00000002247e0e48 (__TEXT,__text) external _glFogfv
00000002247e0e64 (__TEXT,__text) external _glFogi
00000002247e0e80 (__TEXT,__text) external _glFogiv
00000002247e4940 (__TEXT,__text) external _glFramebufferRenderbuffer
00000002247e8b1c (__TEXT,__text) external _glFramebufferRenderbufferEXT
00000002247e5628 (__TEXT,__text) external _glFramebufferTexture
00000002247e48c4 (__TEXT,__text) external _glFramebufferTexture1D
00000002247e8aa0 (__TEXT,__text) external _glFramebufferTexture1DEXT
00000002247e48ec (__TEXT,__text) external _glFramebufferTexture2D
00000002247e8ac8 (__TEXT,__text) external _glFramebufferTexture2DEXT
00000002247e4914 (__TEXT,__text) external _glFramebufferTexture3D
00000002247e8af0 (__TEXT,__text) external _glFramebufferTexture3DEXT
00000002247e8c20 (__TEXT,__text) external _glFramebufferTextureEXT
00000002247e8c6c (__TEXT,__text) external _glFramebufferTextureFaceEXT
00000002247e4a24 (__TEXT,__text) external _glFramebufferTextureLayer
00000002247e8c44 (__TEXT,__text) external _glFramebufferTextureLayerEXT
00000002247e0e9c (__TEXT,__text) external _glFrontFace
00000002247e0eb4 (__TEXT,__text) external _glFrustum
00000002247e3a60 (__TEXT,__text) external _glGenBuffers
00000002247e7c60 (__TEXT,__text) external _glGenBuffersARB
00000002247e95bc (__TEXT,__text) external _glGenFencesAPPLE
00000002247e4890 (__TEXT,__text) external _glGenFramebuffers
00000002247e8a6c (__TEXT,__text) external _glGenFramebuffersEXT
00000002247e0ec8 (__TEXT,__text) external _glGenLists
00000002247e60f4 (__TEXT,__text) external _glGenProgramPipelines
00000002247e6b24 (__TEXT,__text) external _glGenProgramsARB
00000002247e3944 (__TEXT,__text) external _glGenQueries
00000002247e7b44 (__TEXT,__text) external _glGenQueriesARB
00000002247e47e0 (__TEXT,__text) external _glGenRenderbuffers
00000002247e89bc (__TEXT,__text) external _glGenRenderbuffersEXT
00000002247e568c (__TEXT,__text) external _glGenSamplers
00000002247e0ee0 (__TEXT,__text) external _glGenTextures
00000002247e5de0 (__TEXT,__text) external _glGenTransformFeedbacks
00000002247e4ac4 (__TEXT,__text) external _glGenVertexArrays
00000002247e9714 (__TEXT,__text) external _glGenVertexArraysAPPLE
00000002247e4988 (__TEXT,__text) external _glGenerateMipmap
00000002247e8b64 (__TEXT,__text) external _glGenerateMipmapEXT
00000002247e45e4 (__TEXT,__text) external _glGetActiveAttrib
00000002247e8238 (__TEXT,__text) external _glGetActiveAttribARB
00000002247e5ce0 (__TEXT,__text) external _glGetActiveSubroutineName
00000002247e5cb4 (__TEXT,__text) external _glGetActiveSubroutineUniformName
00000002247e5c8c (__TEXT,__text) external _glGetActiveSubroutineUniformiv
00000002247e451c (__TEXT,__text) external _glGetActiveUniform
00000002247e8184 (__TEXT,__text) external _glGetActiveUniformARB
00000002247e52ec (__TEXT,__text) external _glGetActiveUniformBlockName
00000002247e52c8 (__TEXT,__text) external _glGetActiveUniformBlockiv
00000002247e5284 (__TEXT,__text) external _glGetActiveUniformName
00000002247e525c (__TEXT,__text) external _glGetActiveUniformsiv
00000002247e8144 (__TEXT,__text) external _glGetAttachedObjectsARB
00000002247e4490 (__TEXT,__text) external _glGetAttachedShaders
00000002247e4618 (__TEXT,__text) external _glGetAttribLocation
00000002247e8268 (__TEXT,__text) external _glGetAttribLocationARB
00000002247e8da0 (__TEXT,__text) external _glGetBooleanIndexedvEXT
00000002247e4b20 (__TEXT,__text) external _glGetBooleani_v
00000002247e0efc (__TEXT,__text) external _glGetBooleanv
00000002247e5608 (__TEXT,__text) external _glGetBufferParameteri64v
00000002247e3b34 (__TEXT,__text) external _glGetBufferParameteriv
00000002247e7d34 (__TEXT,__text) external _glGetBufferParameterivARB
00000002247e3b54 (__TEXT,__text) external _glGetBufferPointerv
00000002247e7d54 (__TEXT,__text) external _glGetBufferPointervARB
00000002247e3adc (__TEXT,__text) external _glGetBufferSubData
00000002247e7cdc (__TEXT,__text) external _glGetBufferSubDataARB
00000002247e0f18 (__TEXT,__text) external _glGetClipPlane
00000002247e2a68 (__TEXT,__text) external _glGetColorTable
00000002247e85e0 (__TEXT,__text) external _glGetColorTableEXT
00000002247e2a8c (__TEXT,__text) external _glGetColorTableParameterfv
00000002247e8604 (__TEXT,__text) external _glGetColorTableParameterfvEXT
00000002247e2aac (__TEXT,__text) external _glGetColorTableParameteriv
00000002247e8624 (__TEXT,__text) external _glGetColorTableParameterivEXT
00000002247e9a8c (__TEXT,__text) external _glGetCombinerInputParameterfvNV
00000002247e9a90 (__TEXT,__text) external _glGetCombinerInputParameterivNV
00000002247e9a94 (__TEXT,__text) external _glGetCombinerOutputParameterfvNV
00000002247e9a98 (__TEXT,__text) external _glGetCombinerOutputParameterivNV
00000002247e9aa8 (__TEXT,__text) external _glGetCombinerStageParameterfvNV
00000002247e3464 (__TEXT,__text) external _glGetCompressedTexImage
00000002247e7950 (__TEXT,__text) external _glGetCompressedTexImageARB
00000002247e2c4c (__TEXT,__text) external _glGetConvolutionFilter
00000002247e2c70 (__TEXT,__text) external _glGetConvolutionParameterfv
00000002247e2c90 (__TEXT,__text) external _glGetConvolutionParameteriv
00000002247e6acc (__TEXT,__text) external _glGetDoublei_v
00000002247e0f34 (__TEXT,__text) external _glGetDoublev
00000002247e0f50 (__TEXT,__text) external _glGetError
00000002247e9a9c (__TEXT,__text) external _glGetFinalCombinerInputParameterfvNV
00000002247e9aa0 (__TEXT,__text) external _glGetFinalCombinerInputParameterivNV
00000002247e6aac (__TEXT,__text) external _glGetFloati_v
00000002247e0f64 (__TEXT,__text) external _glGetFloatv
00000002247e5670 (__TEXT,__text) external _glGetFragDataIndex
00000002247e4fd0 (__TEXT,__text) external _glGetFragDataLocation
00000002247e9228 (__TEXT,__text) external _glGetFragDataLocationEXT
00000002247e4964 (__TEXT,__text) external _glGetFramebufferAttachmentParameteriv
00000002247e8b40 (__TEXT,__text) external _glGetFramebufferAttachmentParameterivEXT
00000002247e7d8c (__TEXT,__text) external _glGetHandleARB
00000002247e2d30 (__TEXT,__text) external _glGetHistogram
00000002247e2d58 (__TEXT,__text) external _glGetHistogramParameterfv
00000002247e2d78 (__TEXT,__text) external _glGetHistogramParameteriv
00000002247e8120 (__TEXT,__text) external _glGetInfoLogARB
00000002247e55e8 (__TEXT,__text) external _glGetInteger64i_v
00000002247e550c (__TEXT,__text) external _glGetInteger64v
00000002247e8d80 (__TEXT,__text) external _glGetIntegerIndexedvEXT
00000002247e4b40 (__TEXT,__text) external _glGetIntegeri_v
00000002247e0f80 (__TEXT,__text) external _glGetIntegerv
00000002247e848c (__TEXT,__text) external _glGetInternalformativ
00000002247e0f9c (__TEXT,__text) external _glGetLightfv
00000002247e0fbc (__TEXT,__text) external _glGetLightiv
00000002247e0fdc (__TEXT,__text) external _glGetMapdv
00000002247e0ffc (__TEXT,__text) external _glGetMapfv
00000002247e101c (__TEXT,__text) external _glGetMapiv
00000002247e103c (__TEXT,__text) external _glGetMaterialfv
00000002247e105c (__TEXT,__text) external _glGetMaterialiv
00000002247e2d98 (__TEXT,__text) external _glGetMinmax
00000002247e2dc0 (__TEXT,__text) external _glGetMinmaxParameterfv
00000002247e2de0 (__TEXT,__text) external _glGetMinmaxParameteriv
00000002247e55ac (__TEXT,__text) external _glGetMultisamplefv
00000002247e8440 (__TEXT,__text) external _glGetNamedStringARB
00000002247e8468 (__TEXT,__text) external _glGetNamedStringivARB
00000002247e9404 (__TEXT,__text) external _glGetObjectLabelEXT
00000002247e80e0 (__TEXT,__text) external _glGetObjectParameterfvARB
00000002247e98b8 (__TEXT,__text) external _glGetObjectParameterivAPPLE
00000002247e8100 (__TEXT,__text) external _glGetObjectParameterivARB
00000002247e107c (__TEXT,__text) external _glGetPixelMapfv
00000002247e1098 (__TEXT,__text) external _glGetPixelMapuiv
00000002247e10b4 (__TEXT,__text) external _glGetPixelMapusv
00000002247e10d0 (__TEXT,__text) external _glGetPointerv
00000002247e10ec (__TEXT,__text) external _glGetPolygonStipple
00000002247e5ff8 (__TEXT,__text) external _glGetProgramBinary
00000002247e7160 (__TEXT,__text) external _glGetProgramEnvParameterdvARB
00000002247e7180 (__TEXT,__text) external _glGetProgramEnvParameterfvARB
00000002247e44d8 (__TEXT,__text) external _glGetProgramInfoLog
00000002247e71a0 (__TEXT,__text) external _glGetProgramLocalParameterdvARB
00000002247e71c0 (__TEXT,__text) external _glGetProgramLocalParameterfvARB
00000002247e6160 (__TEXT,__text) external _glGetProgramPipelineInfoLog
00000002247e6128 (__TEXT,__text) external _glGetProgramPipelineiv
00000002247e5d4c (__TEXT,__text) external _glGetProgramStageiv
00000002247e7204 (__TEXT,__text) external _glGetProgramStringARB
00000002247e4470 (__TEXT,__text) external _glGetProgramiv
00000002247e7224 (__TEXT,__text) external _glGetProgramivARB
00000002247e5eb4 (__TEXT,__text) external _glGetQueryIndexediv
00000002247e5850 (__TEXT,__text) external _glGetQueryObjecti64v
00000002247e93a0 (__TEXT,__text) external _glGetQueryObjecti64vEXT
00000002247e39e8 (__TEXT,__text) external _glGetQueryObjectiv
00000002247e7be8 (__TEXT,__text) external _glGetQueryObjectivARB
00000002247e5870 (__TEXT,__text) external _glGetQueryObjectui64v
00000002247e93c0 (__TEXT,__text) external _glGetQueryObjectui64vEXT
00000002247e3a08 (__TEXT,__text) external _glGetQueryObjectuiv
00000002247e7c08 (__TEXT,__text) external _glGetQueryObjectuivARB
00000002247e39c8 (__TEXT,__text) external _glGetQueryiv
00000002247e7bc8 (__TEXT,__text) external _glGetQueryivARB
00000002247e4820 (__TEXT,__text) external _glGetRenderbufferParameteriv
