00007ff80c7f23b2 (__TEXT,__text) non-external _Annihilate
00007ff8426c55f0 (__DATA,__const) non-external _configuration_table
00007ff80c81494a (__TEXT,__text) external _cosmix_codec_decode
00007ff80c813fb5 (__TEXT,__text) external _cosmix_codec_encode
00007ff80c814863 (__TEXT,__text) external _cosmix_codec_get_decoded_size
00007ff80c815436 (__TEXT,__text) external _cosmix_codec_get_id
00007ff80c8152aa (__TEXT,__text) external _cosmix_codec_map
00007ff80c8153ee (__TEXT,__text) external _cosmix_codec_unmap
00007ff80c814ed2 (__TEXT,__text) external _cosmix_model_create
00007ff80c81500c (__TEXT,__text) external _cosmix_model_destroy
00007ff80c815035 (__TEXT,__text) external _cosmix_model_save_codec
00007ff80c8138f0 (__TEXT,__text) external _cosmix_model_update
00007ff80c8312f0 (__TEXT,__text) non-external (was a private external) _crc32
00007ff80c88f350 (__TEXT,__const) non-external _crc_table
00007ff80c7f8018 (__TEXT,__text) non-external (was a private external) _create_thread
00007ff80c7da677 (__TEXT,__text) non-external (was a private external) _deflate
00007ff80c83928e (__TEXT,__text) non-external (was a private external) _deflateBound
00007ff80c839396 (__TEXT,__text) non-external (was a private external) _deflateCopy
00007ff80c7dd9f5 (__TEXT,__text) non-external (was a private external) _deflateEnd
00007ff80c7d9748 (__TEXT,__text) non-external (was a private external) _deflateInit2_
00007ff80c838fb4 (__TEXT,__text) non-external (was a private external) _deflateInit_
00007ff80c839167 (__TEXT,__text) non-external (was a private external) _deflateParams
00007ff80c839132 (__TEXT,__text) non-external (was a private external) _deflatePrime
00007ff80c7d9a04 (__TEXT,__text) non-external (was a private external) _deflateReset
00007ff80c838fde (__TEXT,__text) non-external (was a private external) _deflateSetDictionary
00007ff80c83910d (__TEXT,__text) non-external (was a private external) _deflateSetHeader
00007ff80c83925a (__TEXT,__text) non-external (was a private external) _deflateTune
00007ff80c897ce0 (__TEXT,__const) non-external (was a private external) _deflate_copyright
00007ff80c839744 (__TEXT,__text) non-external _deflate_fast
00007ff80c7db5a6 (__TEXT,__text) non-external _deflate_slow
00007ff80c839586 (__TEXT,__text) non-external _deflate_stored
                 (undefined) external _dispatch_apply (from libSystem)
00007ff80c80e549 (__TEXT,__text) non-external _emitMatch
00007ff80c896d40 (__TEXT,__const) non-external _extra_blbits
00007ff80c896cc0 (__TEXT,__const) non-external _extra_dbits
00007ff80c896c40 (__TEXT,__const) non-external _extra_lbits
                 (undefined) external _fclose (from libSystem)
00007ff80c7dba8c (__TEXT,__text) non-external _fill_window
00007ff80c7dd996 (__TEXT,__text) non-external _flush_pending
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ff80c897990 (__TEXT,__const) non-external _getDSymbolFromValue.sym
00007ff80c896f10 (__TEXT,__const) non-external _getLSymbolFromValue.sym
00007ff80c897050 (__TEXT,__const) non-external _getMSymbolFromValue.sym
00007ff80c8312e3 (__TEXT,__text) non-external (was a private external) _get_crc_table
00007ff80c807eaf (__TEXT,__text) non-external (was a private external) _get_default_nthreads
00007ff80c7feec0 (__TEXT,__text) non-external (was a private external) _get_max_payload_size
00007ff80c7feed7 (__TEXT,__text) non-external (was a private external) _get_plane_max_rice_size
00007ff80c7feeeb (__TEXT,__text) non-external (was a private external) _get_pool_size
00007ff80c807e7b (__TEXT,__text) non-external (was a private external) _get_real_time
                 (undefined) external _gettimeofday (from libSystem)
00007ff80c8048a0 (__TEXT,__text) non-external _header_fetch_from_payload
00007ff80c832f3e (__TEXT,__text) non-external _init_quantization_lut
00007ff80c7f80b2 (__TEXT,__text) non-external (was a private external) _join_thread
00007ff80c8588a0 (__TEXT,__const) non-external (was a private external) _kBrotliBitMask
00007ff80c839fc0 (__TEXT,__const) non-external (was a private external) _kBrotliCopyBase
00007ff80c83a020 (__TEXT,__const) non-external (was a private external) _kBrotliCopyExtra
00007ff8426c4bb0 (__DATA,__const) non-external _kBrotliDictionary
00007ff80c83a8a0 (__TEXT,__const) non-external _kBrotliDictionaryData
00007ff80c839f00 (__TEXT,__const) non-external (was a private external) _kBrotliInsBase
00007ff80c839f60 (__TEXT,__const) non-external (was a private external) _kBrotliInsExtra
00007ff80c897d30 (__TEXT,__const) non-external (was a private external) _kBrotliLog2Table
00007ff80c85a360 (__TEXT,__const) non-external (was a private external) _kBrotliShellGaps
00007ff8426c55a0 (__DATA,__const) non-external _kBrotliTransforms
00007ff80c83a680 (__TEXT,__const) non-external _kCmdHistoSeed
00007ff80c8589b0 (__TEXT,__const) non-external _kCmdLut
00007ff80c88bb10 (__TEXT,__const) non-external _kCodeLengthBits
00007ff80c858970 (__TEXT,__const) non-external _kCodeLengthCodeOrder
00007ff80c88baf0 (__TEXT,__const) non-external _kCodeLengthDepth
00007ff80c858990 (__TEXT,__const) non-external _kCodeLengthPrefixLength
00007ff80c8589a0 (__TEXT,__const) non-external _kCodeLengthPrefixValue
00007ff80c85a220 (__TEXT,__const) non-external (was a private external) _kDSymbolVBase
00007ff80c85a1e0 (__TEXT,__const) non-external (was a private external) _kDSymbolVBits
00007ff80c85a6d0 (__TEXT,__const) non-external _kDistanceCacheIndex
00007ff80c85a710 (__TEXT,__const) non-external _kDistanceCacheOffset
00007ff80c85a120 (__TEXT,__const) non-external (was a private external) _kLSymbolVBase
00007ff80c85a100 (__TEXT,__const) non-external (was a private external) _kLSymbolVBits
00007ff80c85a190 (__TEXT,__const) non-external (was a private external) _kMSymbolVBase
00007ff80c85a170 (__TEXT,__const) non-external (was a private external) _kMSymbolVBits
00007ff80c88c660 (__TEXT,__const) non-external _kNonZeroRepsBits
00007ff80c88bb60 (__TEXT,__const) non-external _kNonZeroRepsDepth
00007ff80c889720 (__TEXT,__const) non-external _kPrefixSuffix
00007ff80c889800 (__TEXT,__const) non-external _kPrefixSuffixMap
00007ff80c839e00 (__TEXT,__const) non-external _kReverseBits
00007ff80c88df20 (__TEXT,__const) non-external _kStaticCommandCodeBits
00007ff80c88dc60 (__TEXT,__const) non-external _kStaticCommandCodeDepth
00007ff80c85a7b0 (__TEXT,__const) non-external _kStaticDictionaryBuckets
00007ff80c8a8540 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashLengths
00007ff80c898540 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashWords
00007ff80c86a7b0 (__TEXT,__const) non-external _kStaticDictionaryWords
00007ff80c88e4e0 (__TEXT,__const) non-external _kStaticDistanceCodeBits
00007ff80c88e4a0 (__TEXT,__const) non-external _kStaticDistanceCodeDepth
00007ff80c889870 (__TEXT,__const) non-external _kTransformsData
00007ff80c88a4f0 (__TEXT,__const) non-external _kZeroRepsBits
00007ff80c8899f0 (__TEXT,__const) non-external _kZeroRepsDepth
                 (undefined) external _log2 (from libSystem)
00007ff80c7dbcae (__TEXT,__text) non-external _longest_match
00007ff8426c5fc4 (__DATA,__common) non-external (was a private external) _lut_ok
00007ff8426c70d0 (__DATA,__common) non-external (was a private external) _lut_quantize
00007ff80c8933d0 (__TEXT,__const) non-external (was a private external) _lut_rle
00007ff80c8024fb (__TEXT,__text) non-external (was a private external) _lz24_decode_buffer
00007ff80c801d0c (__TEXT,__text) non-external (was a private external) _lz24_encode_buffer
00007ff80c801d01 (__TEXT,__text) non-external (was a private external) _lz24_encode_scratch_buffer_size
00007ff80c7e2190 (__TEXT,__text) non-external (was a private external) _lz4_decode
00007ff80c7e1d00 (__TEXT,__text) non-external (was a private external) _lz4_decode_asm
00007ff80c7e1b55 (__TEXT,__text) non-external (was a private external) _lz4_decode_buffer
