00007ffb1c372626 (__TEXT,__text) non-external +[CBOR cborFalse]
00007ffb1c372802 (__TEXT,__text) non-external -[CBOR valueSize]
00007ffb1c3727d0 (__TEXT,__text) non-external -[CBOR value]
00007ffb1c36d918 (__TEXT,__text) non-external -[CBOR(Decoder) asJSON]
00007ffb1c374300 (__TEXT,__text) non-external -[COSE .cxx_destruct]
00007ffb1c3732ff (__TEXT,__text) non-external -[COSE _parseCommonHeaderParameters:]
00007ffb1c373d1c (__TEXT,__text) non-external -[COSE _searchForHeaderLabel:]
00007ffb1c3742c4 (__TEXT,__text) non-external -[COSE algorithmIdentifier]
00007ffb1c3742d8 (__TEXT,__text) non-external -[COSE contentType]
00007ffb1c37322f (__TEXT,__text) non-external -[COSE content]
00007ffb1c3742ce (__TEXT,__text) non-external -[COSE criticalHeaderParameters]
00007ffb1c372a50 (__TEXT,__text) non-external -[COSE initWithCBOR:]
00007ffb1c372890 (__TEXT,__text) non-external -[COSE initWithData:]
00007ffb1c3728ea (__TEXT,__text) non-external -[COSE initWithData:type:]
00007ffb1c372e5d (__TEXT,__text) non-external -[COSE initWithProtectedHeaders:unprotectedHeaders:payload:type:additionalCBORs:]
00007ffb1c3742ec (__TEXT,__text) non-external -[COSE initializationVector]
00007ffb1c3742e2 (__TEXT,__text) non-external -[COSE keyIdentifier]
00007ffb1c3742f6 (__TEXT,__text) non-external -[COSE partialInitializationVector]
00007ffb1c37312c (__TEXT,__text) non-external -[COSE protectedHeaderParameters]
00007ffb1c3742ba (__TEXT,__text) non-external -[COSE protectedHeadererDictionary]
00007ffb1c37435f (__TEXT,__text) non-external -[COSE setType:]
00007ffb1c374400 (__TEXT,__text) non-external -[COSE sourceObject]
00007ffb1c3732cd (__TEXT,__text) non-external -[COSE tag]
00007ffb1c3742b0 (__TEXT,__text) non-external -[COSE type]
00007ffb1c3731ac (__TEXT,__text) non-external -[COSE unprotectedHeaderParameters]
00007ffb1c37774f (__TEXT,__text) non-external -[COSEKey .cxx_destruct]
00007ffb1c376844 (__TEXT,__text) non-external -[COSEKey _initCBORWithMemberParams]
00007ffb1c37771d (__TEXT,__text) non-external -[COSEKey algorithm]
00007ffb1c37773b (__TEXT,__text) non-external -[COSEKey baseInitializationVector]
00007ffb1c377663 (__TEXT,__text) non-external -[COSEKey ecCurveD]
00007ffb1c3775df (__TEXT,__text) non-external -[COSEKey ecCurveIdentifier]
00007ffb1c37760b (__TEXT,__text) non-external -[COSEKey ecCurveX]
00007ffb1c377637 (__TEXT,__text) non-external -[COSEKey ecCurveY]
00007ffb1c374400 (__TEXT,__text) non-external -[COSEKey getSource]
00007ffb1c377727 (__TEXT,__text) non-external -[COSEKey identifier]
00007ffb1c377110 (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:signBit:d:keyOperations:keyIdentifier:]
00007ffb1c3772d4 (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:y:d:keyOperations:keyIdentifier:]
00007ffb1c377471 (__TEXT,__text) non-external -[COSEKey initOKPWithAlgorithm:curveIdentifier:x:d:keyOperations:keyIdentifier:]
00007ffb1c3758e2 (__TEXT,__text) non-external -[COSEKey initWithCBOR:]
00007ffb1c375888 (__TEXT,__text) non-external -[COSEKey initWithData:]
00007ffb1c3776e7 (__TEXT,__text) non-external -[COSEKey okpCurveD]
00007ffb1c37768f (__TEXT,__text) non-external -[COSEKey okpCurveIdentifier]
00007ffb1c3776bb (__TEXT,__text) non-external -[COSEKey okpCurveX]
00007ffb1c377731 (__TEXT,__text) non-external -[COSEKey operations]
00007ffb1c377745 (__TEXT,__text) non-external -[COSEKey symmetricKey]
00007ffb1c377713 (__TEXT,__text) non-external -[COSEKey type]
00007ffb1c375821 (__TEXT,__text) non-external -[COSE_Mac0 .cxx_destruct]
00007ffb1c375781 (__TEXT,__text) non-external -[COSE_Mac0 description]
00007ffb1c375576 (__TEXT,__text) non-external -[COSE_Mac0 generateMessageForMACWithApplicationProtectedAttributes:]
00007ffb1c3751e6 (__TEXT,__text) non-external -[COSE_Mac0 initWithCBOR:]
00007ffb1c37546d (__TEXT,__text) non-external -[COSE_Mac0 initWithProtectedHeaders:unprotectedHeaders:payload:tag:]
00007ffb1c375817 (__TEXT,__text) non-external -[COSE_Mac0 mac]
00007ffb1c3750fe (__TEXT,__text) non-external -[COSE_Sign1 description]
00007ffb1c374551 (__TEXT,__text) non-external -[COSE_Sign1 initWithCBOR:]
00007ffb1c374437 (__TEXT,__text) non-external -[COSE_Sign1 initWithProtectedHeaders:unprotectedHeaders:payload:signature:includeCBORTag:]
00007ffb1c375042 (__TEXT,__text) non-external -[COSE_Sign1 signature]
00007ffb1c3747ad (__TEXT,__text) non-external -[COSE_Sign1 x509bag]
00007ffb1c374a37 (__TEXT,__text) non-external -[COSE_Sign1 x509chain]
00007ffb1c374d6a (__TEXT,__text) non-external -[COSE_Sign1 x509hashAlgorithmIdentifier]
00007ffb1c374efe (__TEXT,__text) non-external -[COSE_Sign1 x509hashValue]
00007ffb1c374cdb (__TEXT,__text) non-external -[COSE_Sign1 x509uri]
00007ffb1c37be7c (__TEXT,__gcc_except_tab) non-external GCC_except_table9
00007ffb1c379e10 (__TEXT,__const) external _CBORLibraryVersionNumber
00007ffb1c379de0 (__TEXT,__const) external _CBORLibraryVersionString
00007ffb1c379e48 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ONE
00007ffb1c379e49 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ZERO
00007ffb44d6a910 (__DATA,__data) external _COSEHeaderX509Bag
00007ffb44d6a918 (__DATA,__data) external _COSEHeaderX509Chain
00007ffb44d6a928 (__DATA,__data) external _COSEHeaderX509Hash
00007ffb44d6a930 (__DATA,__data) external _COSEHeaderX509HashSender
00007ffb44d6a938 (__DATA,__data) external _COSEHeaderX509Uri
00007ffb44d6a940 (__DATA,__data) external _COSEHeaderX509UriSender
00007ffb44d6a920 (__DATA,__data) external _COSEHeaderx509ChainSender
00007ffb43421b38 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_CBOR
00007ffb43421b88 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_COSE
00007ffb43421c78 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_COSEKey
00007ffb43421c28 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_COSE_Mac0
00007ffb43421bd8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_COSE_Sign1
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$__TtCs12_SwiftObject (from libswiftCore)
00007ffb44d6a540 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._cachedHash
00007ffb44d6a548 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._orderedKeys
00007ffb44d6a528 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._tag
00007ffb44d6a520 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._type
00007ffb44d6a530 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._value
00007ffb44d6a538 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._valueSize
00007ffb44d6a568 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._algorithmIdentifier
00007ffb44d6a550 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._cborObj
00007ffb44d6a578 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._contentType
00007ffb44d6a570 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._criticalHeaderParameters
00007ffb44d6a588 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._initializationVector
00007ffb44d6a580 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._keyIdentifier
00007ffb44d6a590 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._partialInitializationVector
00007ffb44d6a560 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._protectedHeadererDictionary
00007ffb44d6a558 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._type
00007ffb44d6a5d0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._algorithm
00007ffb44d6a5e8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._baseInitializationVector
00007ffb44d6a5a0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._cborObj
00007ffb44d6a5a8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._curveID
00007ffb44d6a5d8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._identifier
00007ffb44d6a5e0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._operations
00007ffb44d6a5c0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramD
00007ffb44d6a5b0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramX
00007ffb44d6a5b8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramY
00007ffb44d6a5f0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._symmetricKey
00007ffb44d6a5c8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._type
00007ffb44d6a598 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE_Mac0._mac
00007ffb43421b60 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_CBOR
00007ffb43421bb0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_COSE
00007ffb43421ca0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_COSEKey
00007ffb43421c50 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_COSE_Mac0
00007ffb43421c00 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_COSE_Sign1
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00007ffb43421ff0 (__DATA_DIRTY,__data) non-external (was a private external) _OBJC_METACLASS_$__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
                 (undefined) external _OBJC_METACLASS_$__TtCs12_SwiftObject (from libswiftCore)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
00007ffb42b76158 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBORDecoder
00007ffb42b763f8 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBOREncoder
00007ffb42b764f0 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
00007ffb43421a10 (__DATA_DIRTY,__objc_data) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb42b765c8 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
00007ffb42b76250 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
00007ffb1c377e80 (__TEXT,__objc_methlist) non-external __INSTANCE_METHODS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb42b76130 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBORDecoder
00007ffb42b76390 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBOREncoder
00007ffb42b76488 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
00007ffb42b762e0 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb42b76580 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
00007ffb42b761e8 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
00007ffb42b760e8 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBORDecoder
00007ffb42b76348 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBOREncoder
00007ffb42b76440 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
00007ffb42b76298 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb42b76538 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
00007ffb42b761a0 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ffb42b76610 (__DATA_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSData_$_CBOR
00007ffb1c377ea0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CBOR(Decoder|Decoder_Private|COSE|COSEKey)
00007ffb1c378008 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSData(CBOR|COSE|COSEKey)
00007ffb1c378040 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CBOR(Decoder|Decoder_Private|COSE|COSEKey)
00007ffb1c3781f0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE
00007ffb1c3782b8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSEKey
00007ffb1c3783a8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Mac0
00007ffb1c3783f8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Sign1
00007ffb42b767a0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CBOR
00007ffb42b76a50 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE
00007ffb42b76e98 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSEKey
00007ffb42b76dc8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE_Mac0
00007ffb42b76868 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CBOR
00007ffb42b76b78 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE
00007ffb42b77000 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSEKey
00007ffb42b76df0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Mac0
00007ffb42b76cd0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Sign1
00007ffb42b76650 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00007ffb1c378470 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00007ffb1c378488 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00007ffb1c378578 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00007ffb42b76738 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00007ffb42b76698 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00007ffb42b76740 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CBOR
00007ffb42b769c0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CBOR
00007ffb42b76c40 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE
00007ffb42b770d8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSEKey
00007ffb42b76e08 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Mac0
00007ffb42b76d38 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Sign1
00007ffb42b760d8 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCopying
00007ffb42b760d0 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
00007ffb42b76758 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CBOR
00007ffb42b76a08 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE
00007ffb42b76e50 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSEKey
00007ffb42b76d80 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Mac0
00007ffb42b76c88 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Sign1
00007ffb44d6a8b0 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCopying
00007ffb44d6a850 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
00007ffb42b77730 (__DATA_CONST,__objc_protorefs) non-external (was a private external) __OBJC_PROTOCOL_REFERENCE_$_NSObject
                 (undefined) external __Unwind_Resume (from libSystem)
00007ffb1c373fd1 (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke
00007ffb1c37417c (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke.101
00007ffb1c36bd31 (__TEXT,__text) non-external ___51+[CBOR(Encoder) encodeMajorType5:encodingKeyOrder:]_block_invoke
00007ffb1c373fac (__TEXT,__text) non-external ___Block_byref_object_copy_
00007ffb1c373fc2 (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
00007ffb42b757e0 (__DATA_CONST,__const) non-external ___block_descriptor_40_e23_q24?0"CBOR"8"CBOR"16l
00007ffb42b75800 (__DATA_CONST,__const) non-external ___block_descriptor_56_e8_32s40r48r_e26_v32?0"CBOR"8"CBOR"16*24l
                 (undefined) external ___bzero (from libSystem)
00007ffb1c35a3c0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffb1c35a3e0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ffb1c374105 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40r48r
00007ffb1c374147 (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40r48r
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
00007ffb1c359050 (__TEXT,__text) non-external ___swift_allocate_boxed_opaque_existential_1Tm
00007ffb1c359420 (__TEXT,__text) non-external (was a private external) ___swift_allocate_value_buffer
00007ffb1c358fe0 (__TEXT,__text) non-external (was a private external) ___swift_deallocate_boxed_opaque_existential_1
00007ffb1c3591c0 (__TEXT,__text) non-external (was a private external) ___swift_destroy_boxed_opaque_existential_1
00007ffb1c3591c0 (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_1Tm
00007ffb1c3590e0 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledNameAbstractV2
00007ffb1c357c10 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledNameV2
00007ffb1c35a350 (__TEXT,__text) non-external (was a private external) ___swift_instantiateGenericMetadata
00007ffb1c36b890 (__TEXT,__text) non-external (was a private external) ___swift_memcpy16_8
00007ffb1c369a80 (__TEXT,__text) non-external (was a private external) ___swift_memcpy17_8
00007ffb1c3619c0 (__TEXT,__text) non-external (was a private external) ___swift_memcpy1_1
00007ffb1c359520 (__TEXT,__text) non-external (was a private external) ___swift_memcpy24_8
00007ffb1c362050 (__TEXT,__text) non-external (was a private external) ___swift_memcpy25_8
00007ffb1c3595c0 (__TEXT,__text) non-external (was a private external) ___swift_memcpy32_8
