                 (undefined) external _DNSServiceCreateConnection (from libsystem_dnssd)
                 (undefined) external _DNSServiceProcessResult (from libsystem_dnssd)
                 (undefined) external _DNSServiceQueryRecordWithAttribute (from libsystem_dnssd)
                 (undefined) external _DNSServiceRefDeallocate (from libsystem_dnssd)
                 (undefined) external _DNSServiceRefSockFD (from libsystem_dnssd)
                 (undefined) external _DarwinDirectoryGetGeneration (from libsystem_darwindirectory)
                 (undefined) external _DarwinDirectoryRecordStoreApply (from libsystem_darwindirectory)
                 (undefined) external _DarwinDirectoryRecordStoreApplyWithFilter (from libsystem_darwindirectory)
00000001804b51e8 (__TEXT,__text) non-external _LI_get_thread_info
00000001804d2444 (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
00000001804d2464 (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
00000001804d2470 (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __DefaultRuneLocale (from libsystem_c)
00000001804b6f14 (__TEXT,__text) non-external __LI_data_free
00000001804b5380 (__TEXT,__text) non-external __LI_data_init
                 (undefined) external __NSConcreteGlobalBlock (from libsystem_blocks)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
00000001804c9310 (__TEXT,__text) non-external ____check_groups_block_invoke
00000001804c93c0 (__TEXT,__text) non-external ____check_groups_block_invoke_2
00000001804cc2e0 (__TEXT,__text) non-external ____dd_foreach_record_with_id_block_invoke
00000001804d3614 (__TEXT,__text) non-external ____dd_foreach_record_with_id_block_invoke
00000001804cc3b4 (__TEXT,__text) non-external ____dd_foreach_record_with_name_block_invoke
00000001804d3594 (__TEXT,__text) non-external ____dd_foreach_record_with_name_block_invoke
00000001804cc3f4 (__TEXT,__text) non-external ____dd_foreach_record_with_uuid_block_invoke
00000001804d3694 (__TEXT,__text) non-external ____dd_foreach_record_with_uuid_block_invoke
00000001804cc468 (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke
00000001804cc4c4 (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke.52
00000001804cc520 (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke.56
00000001804cc57c (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke.60
00000001804cc62c (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke.62
00000001804cc6dc (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke.66
00000001804cbf40 (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke
00000001804cc130 (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke.14
00000001804cc188 (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke.19
00000001804cc1dc (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke.23
00000001804cc234 (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke.27
00000001804cc288 (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke.31
00000001804bfbcc (__TEXT,__text) non-external ____ds_list_block_invoke
00000001804c40b8 (__TEXT,__text) non-external ____extract_alias_dict_block_invoke
00000001804bfef8 (__TEXT,__text) non-external ____extract_fstab_dict_block_invoke
00000001804b5c14 (__TEXT,__text) non-external ____extract_group_dict_block_invoke
00000001804c3c74 (__TEXT,__text) non-external ____extract_netgroup_dict_block_invoke
00000001804c4438 (__TEXT,__text) non-external ____extract_network_dict_block_invoke
00000001804c4b9c (__TEXT,__text) non-external ____extract_protocol_dict_block_invoke
00000001804c4f58 (__TEXT,__text) non-external ____extract_rpc_dict_block_invoke
00000001804c47cc (__TEXT,__text) non-external ____extract_service_dict_block_invoke
00000001804b5e48 (__TEXT,__text) non-external ____extract_string_list_from_xpc_array_block_invoke
00000001804c39cc (__TEXT,__text) non-external ____extract_string_list_from_xpc_array_index_block_invoke
00000001804b422c (__TEXT,__text) non-external ____extract_user_dict_block_invoke
00000001804c0484 (__TEXT,__text) non-external ____fsi_fs_root_block_invoke
00000001804b2b54 (__TEXT,__text) non-external ____mbr_xpc_pipe_block_invoke
00000001804b3cac (__TEXT,__text) non-external ____od_xpc_pipe_block_invoke
                 (undefined) external ___assert_rtn (from libsystem_c)
00000001e817b328 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e817b348 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e817b3c8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e817b460 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e817b4a0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e817b4c0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e817b580 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e817b7e8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001ef61ec18 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
00000001ef61ef88 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.10
00000001ef61e6c0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.105
00000001ef61e6f0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.116
00000001e817b368 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.12
00000001ef61e720 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.126
00000001ef61efb8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.13
00000001ef61e750 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.140
00000001ef61efe8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.16
00000001ef61ec48 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.17
00000001ef61f018 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.17
00000001ef61f048 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.20
00000001ef61ec78 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.22
00000001ef61f078 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.23
00000001e817b480 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.25
00000001ef61eca8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.26
00000001ef61f0a8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.27
00000001ef61ef28 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.3
00000001ef61ecd8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.30
00000001ef61f0d8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.30
00000001ef61f108 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.33
00000001ef61ed08 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.34
00000001ef61f138 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.34
00000001ef61e5a0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.36
00000001ef61ed38 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.36
00000001e817b3e8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.38
00000001ef61f168 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.38
00000001ef61ef58 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.4
00000001ef61ed68 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.41
00000001ef61ed98 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.42
00000001e817b5a0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.44
00000001ef61e5d0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.44
00000001e817b388 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.47
00000001ef61ede8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.51
00000001ef61e600 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.54
00000001e817b3a8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.55
00000001ef61ee18 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.55
00000001ef61ee48 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.59
00000001ef61ee78 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.61
00000001ef61eea8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.65
00000001ef61eed8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.69
00000001ef61e630 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.71
00000001ef61e660 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.80
00000001ef61e690 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.89
00000001ef61e560 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001ef61e8e8 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001ef61ea70 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001ef61ebf8 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001ef61edc8 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001ef61ef08 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001ef61e580 (__AUTH_CONST,__const) non-external ___block_literal_global.14
00000001ebf89490 (__DATA,__data) non-external (was a private external) ___check_rhosts_file
                 (undefined) external ___chkstk_darwin (from libcompiler_rt)
00000001804cc404 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b
00000001804cc320 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b40r
00000001804c38cc (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r
00000001804cc09c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r
00000001804c381c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r48r
00000001804c3d48 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r48r56r64r
                 (undefined) external ___darwin_check_fd_set_overflow (from libsystem_kernel)
00000001804d3848 (__TEXT,__text) non-external ___darwin_directory_group_all_block_invoke
00000001804d37c8 (__TEXT,__text) non-external ___darwin_directory_group_bygid_block_invoke
00000001804d3714 (__TEXT,__text) non-external ___darwin_directory_group_byname_block_invoke
00000001804d3808 (__TEXT,__text) non-external ___darwin_directory_group_byuuid_block_invoke
00000001804d38b8 (__TEXT,__text) non-external ___darwin_directory_grouplist_block_invoke
00000001804d38e0 (__TEXT,__text) non-external ___darwin_directory_grouplist_block_invoke.36
00000001804db56c (__TEXT,__text) non-external ___darwin_directory_grouplist_block_invoke.36.cold.1
00000001804d36a4 (__TEXT,__text) non-external ___darwin_directory_user_all_block_invoke
00000001804d34c8 (__TEXT,__text) non-external ___darwin_directory_user_byname_block_invoke
00000001804d35d4 (__TEXT,__text) non-external ___darwin_directory_user_byuid_block_invoke
00000001804d3654 (__TEXT,__text) non-external ___darwin_directory_user_byuuid_block_invoke
00000001804cc414 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b
00000001804cc370 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b40r
00000001804c38dc (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r
00000001804cc0ec (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r
00000001804c387c (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r48r
00000001804c3dc8 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r48r56r64r
00000001804c0f18 (__TEXT,__text) external ___dn_skipname
                 (undefined) external ___error (from libsystem_kernel)
00000001804d96d0 (__TEXT,__text) non-external ___icheckhost
00000001804dc438 (__TEXT,__const) non-external (was a private external) ___infoVersionNumber
00000001804dc410 (__TEXT,__const) non-external (was a private external) ___infoVersionString
                 (undefined) external ___initgroups (from libsystem_kernel)
00000001804d9218 (__TEXT,__text) non-external (was a private external) ___ivaliduser_sa
                 (undefined) external ___maskrune (from libsystem_c)
00000001ee595b48 (__DATA_DIRTY,__bss) non-external ___mbr_pipe
                 (undefined) external ___memcpy_chk (from libsystem_c)
                 (undefined) external ___memmove_chk (from libsystem_c)
                 (undefined) external ___memset_chk (from libsystem_c)
00000001ee595ae8 (__DATA_DIRTY,__bss) non-external ___od_pipe
00000001ebf89890 (__DATA,__common) non-external (was a private external) ___rcmd_errstr
00000001804ba81c (__TEXT,__text) non-external ___si_async_call_block_invoke
00000001804c21a8 (__TEXT,__text) non-external ___si_module_cache_byname_block_invoke
00000001804d34a0 (__TEXT,__text) non-external ___si_module_static_darwin_directory_block_invoke
00000001804b35a0 (__TEXT,__text) non-external ___si_module_static_ds_block_invoke
00000001804b3760 (__TEXT,__text) non-external ___si_module_static_file_block_invoke
00000001804b36a8 (__TEXT,__text) non-external ___si_module_static_mdns_block_invoke
00000001804b30f0 (__TEXT,__text) non-external ___si_module_static_search_block_invoke
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
                 (undefined) external ___stderrp (from libsystem_c)
                 (undefined) external ___stdoutp (from libsystem_c)
                 (undefined) external ___strcat_chk (from libsystem_c)
                 (undefined) external ___strcpy_chk (from libsystem_c)
                 (undefined) external ___strlcat_chk (from libsystem_c)
                 (undefined) external ___strlcpy_chk (from libsystem_c)
                 (undefined) external ___tolower (from libsystem_c)
00000001804d796c (__TEXT,__text) non-external (was a private external) ___xdrrec_getrec
00000001804d57c8 (__TEXT,__text) external __authenticate
00000001804c7928 (__TEXT,__text) non-external __check_groups
00000001ebf89908 (__DATA,__bss) non-external __check_groups.once
00000001804d3754 (__TEXT,__text) non-external __dd_extract_group
00000001804cbf94 (__TEXT,__text) non-external __dd_extract_result
00000001804da41c (__TEXT,__text) non-external __dd_extract_result.cold.1
00000001804da434 (__TEXT,__text) non-external __dd_extract_result.cold.2
00000001804d3508 (__TEXT,__text) non-external __dd_extract_user
00000001804cb208 (__TEXT,__text) non-external __dd_mbr_check_membership_ext
00000001804c23ac (__TEXT,__text) non-external __ds_child
00000001804b3e7c (__TEXT,__text) non-external __ds_get_validation
00000001804b53e8 (__TEXT,__text) non-external __ds_is_valid
00000001804b3db0 (__TEXT,__text) non-external __ds_item
00000001804bfa7c (__TEXT,__text) non-external __ds_list
00000001ebf896c4 (__DATA,__common) non-external (was a private external) __ds_port
00000001804c22d0 (__TEXT,__text) external __ds_running
00000001804c3738 (__TEXT,__text) non-external __ds_serv_cache_free
00000001ee595ae0 (__DATA_DIRTY,__bss) non-external __ds_serv_cache_key
00000001804c3e30 (__TEXT,__text) non-external __extract_alias
00000001804bfc30 (__TEXT,__text) non-external __extract_fstab
00000001804b5990 (__TEXT,__text) non-external __extract_group
00000001804c5060 (__TEXT,__text) non-external __extract_mac_mac
00000001804c51d4 (__TEXT,__text) non-external __extract_mac_name
00000001804c3a04 (__TEXT,__text) non-external __extract_netgroup
00000001804c41c0 (__TEXT,__text) non-external __extract_network
00000001804c4938 (__TEXT,__text) non-external __extract_protocol
00000001804c4cf4 (__TEXT,__text) non-external __extract_rpc
00000001804c4540 (__TEXT,__text) non-external __extract_service
00000001804c37a0 (__TEXT,__text) non-external __extract_string_from_xpc_array_index
00000001804c5174 (__TEXT,__text) non-external __extract_string_from_xpc_dict
00000001804b4434 (__TEXT,__text) non-external __extract_string_from_xpc_object
00000001804b5d48 (__TEXT,__text) non-external __extract_string_list_from_xpc_array
00000001804c38e8 (__TEXT,__text) non-external __extract_string_list_from_xpc_array_index
00000001804b44cc (__TEXT,__text) non-external __extract_uint32_from_xpc_object
00000001804b3f38 (__TEXT,__text) non-external __extract_user
00000001804c5d0c (__TEXT,__text) non-external __fsi_append_char_to_line
00000001804b8ef4 (__TEXT,__text) non-external __fsi_append_string
00000001804c56c4 (__TEXT,__text) non-external __fsi_check_netgroup_cache
00000001804c59f0 (__TEXT,__text) non-external __fsi_find_netgroup
00000001804c5b94 (__TEXT,__text) non-external __fsi_flatten_netgroup
00000001804c52c4 (__TEXT,__text) non-external (was a private external) __fsi_free_file_netgroup
00000001804c5db4 (__TEXT,__text) non-external __fsi_get_alias
00000001804c6248 (__TEXT,__text) non-external __fsi_get_ether
00000001804c0080 (__TEXT,__text) non-external __fsi_get_fs
00000001804c0acc (__TEXT,__text) non-external __fsi_get_group
00000001804bee20 (__TEXT,__text) non-external __fsi_get_host
00000001804b8bfc (__TEXT,__text) non-external (was a private external) __fsi_get_line
00000001804c5f94 (__TEXT,__text) non-external __fsi_get_name_number_aliases
00000001804b8820 (__TEXT,__text) non-external __fsi_get_service
00000001804b9784 (__TEXT,__text) non-external __fsi_get_user
00000001804b8ab4 (__TEXT,__text) non-external __fsi_get_validation
00000001804c63cc (__TEXT,__text) non-external __fsi_parse_ether
00000001804c5a90 (__TEXT,__text) non-external __fsi_read_netgroup_line
00000001804b8cec (__TEXT,__text) non-external (was a private external) __fsi_tokenize
00000001804b8ff8 (__TEXT,__text) non-external __fsi_validate
00000001804c56a0 (__TEXT,__text) non-external __fsi_validation_path
00000001804bde70 (__TEXT,__text) non-external (was a private external) __gai_addr_sort
00000001ebf89370 (__DATA,__data) non-external __gai_load_libnetwork.load_once
00000001804ca5b4 (__TEXT,__text) non-external __gai_load_libnetwork_once
00000001804da25c (__TEXT,__text) non-external __gai_load_libnetwork_once.cold.1
00000001804da29c (__TEXT,__text) non-external __gai_load_libnetwork_once.cold.2
00000001804da2d0 (__TEXT,__text) non-external __gai_load_libnetwork_once.cold.3
00000001804da304 (__TEXT,__text) non-external __gai_load_libnetwork_once.cold.4
00000001804da338 (__TEXT,__text) non-external __gai_load_libnetwork_once.cold.5
00000001ebf89950 (__DATA,__bss) non-external __gai_load_libnetwork_once.handle
00000001ebf89368 (__DATA,__data) non-external __gai_log
00000001804c9fe8 (__TEXT,__text) external __gai_nat64_can_v4_address_be_synthesized
00000001804da228 (__TEXT,__text) non-external __gai_nat64_can_v4_address_be_synthesized.cold.1
00000001804ca0b0 (__TEXT,__text) non-external __gai_nat64_second_pass
00000001804b69fc (__TEXT,__text) non-external __gai_nat64_synthesis
00000001804b6cf0 (__TEXT,__text) non-external __gai_numerichost
00000001804b697c (__TEXT,__text) non-external __gai_numericserv
00000001804bdc60 (__TEXT,__text) external __gai_serv_to_port
00000001804c088c (__TEXT,__text) external __gai_simple
00000001804b76ec (__TEXT,__text) non-external __gai_sort_list
00000001804c89ec (__TEXT,__text) external __getaddrinfo_interface_async_call
00000001804c7a3c (__TEXT,__text) non-external __getgrouplist_2_internal
00000001804c0f8c (__TEXT,__text) external __getlong
00000001804bf1e8 (__TEXT,__text) external __getnameinfo_interface_async_call
00000001804c0f7c (__TEXT,__text) external __getshort
00000001804dc678 (__TEXT,__const) non-external __group_compat_prefix
                 (undefined) external __inet_aton_check (from libsystem_c)
00000001ee595b38 (__DATA_DIRTY,__bss) non-external __info_key
00000001ee595a50 (__DATA_DIRTY,__data) non-external __info_key_initialized
00000001ee595b30 (__DATA_DIRTY,__bss) non-external __info_key_ok
00000001804c965c (__TEXT,__text) non-external __is_v4addr_ifaddr
00000001804c96f0 (__TEXT,__text) non-external __is_v6addr_ifaddr
00000001804cc420 (__TEXT,__text) non-external __mbr_fork_child
00000001804ba1ec (__TEXT,__text) non-external __mbr_fork_parent
00000001804ba1b0 (__TEXT,__text) non-external __mbr_fork_prepare
00000001804b2a48 (__TEXT,__text) non-external __mbr_od_available
00000001804b2a84 (__TEXT,__text) non-external __mbr_xpc_pipe
00000001804da408 (__TEXT,__text) non-external __mbr_xpc_pipe.cold.1
00000001ee595b40 (__DATA_DIRTY,__bss) non-external __mbr_xpc_pipe.once
00000001804c9798 (__TEXT,__text) non-external __mdns_atfork_child
00000001804ba1d4 (__TEXT,__text) non-external __mdns_atfork_parent
00000001804ba1c8 (__TEXT,__text) non-external __mdns_atfork_prepare
00000001804bd5b8 (__TEXT,__text) non-external __mdns_canonicalize
00000001804bba7c (__TEXT,__text) non-external __mdns_deadline
00000001ebf89910 (__DATA,__bss) non-external __mdns_debug
00000001804bacfc (__TEXT,__text) non-external __mdns_debug_message
00000001ebf89928 (__DATA,__bss) non-external __mdns_generation
00000001804bd614 (__TEXT,__text) non-external __mdns_hostent_append_addr
00000001804bd4ac (__TEXT,__text) non-external __mdns_hostent_append_alias
00000001804bc7b0 (__TEXT,__text) non-external __mdns_hostent_clear
00000001ebf892d0 (__DATA,__data) non-external __mdns_mutex
00000001ebf89920 (__DATA,__bss) non-external __mdns_old_sdref
00000001804bbe80 (__TEXT,__text) non-external __mdns_pack_domain_name
00000001804bec80 (__TEXT,__text) non-external __mdns_parse_domain_name
00000001804c0fbc (__TEXT,__text) non-external __mdns_query
00000001804bbf9c (__TEXT,__text) non-external __mdns_query_callback
00000001804bc6d0 (__TEXT,__text) non-external __mdns_query_clear
00000001804bc540 (__TEXT,__text) non-external __mdns_query_is_complete
00000001804bbb14 (__TEXT,__text) non-external __mdns_query_start
00000001804bc854 (__TEXT,__text) non-external __mdns_reply_clear
00000001ebf89918 (__DATA,__bss) non-external __mdns_sdref
00000001804bad7c (__TEXT,__text) non-external __mdns_search
00000001804bae28 (__TEXT,__text) non-external __mdns_search_ex
00000001ebf897e8 (__DATA,__common) external __null_auth
00000001804c3744 (__TEXT,__text) non-external __od_fork_child
00000001804ba1e0 (__TEXT,__text) non-external __od_fork_parent
00000001804ba1bc (__TEXT,__text) non-external __od_fork_prepare
00000001804b2bdc (__TEXT,__text) non-external (was a private external) __od_rpc_call
00000001804b3b88 (__TEXT,__text) non-external __od_running
00000001804b3bd4 (__TEXT,__text) non-external __od_xpc_pipe
00000001804da08c (__TEXT,__text) non-external __od_xpc_pipe.cold.1
00000001ee595af0 (__DATA_DIRTY,__bss) non-external __od_xpc_pipe.once
                 (undefined) external __os_activity_create (from libsystem_trace)
                 (undefined) external __os_activity_current (from libsystem_trace)
                 (undefined) external __os_feature_enabled_simple_impl (from libsystem_featureflags)
                 (undefined) external __os_log_debug_impl (from libsystem_trace)
                 (undefined) external __os_log_default (from libsystem_trace)
                 (undefined) external __os_log_error_impl (from libsystem_trace)
                 (undefined) external __os_log_fault_impl (from libsystem_trace)
                 (undefined) external __os_log_impl (from libsystem_trace)
00000001ebf8949c (__DATA,__common) external __res
00000001804d4e14 (__TEXT,__text) external __seterr_reply
00000001804c22b4 (__TEXT,__text) external __si_disable_opendirectory
00000001ebf896c8 (__DATA,__common) non-external (was a private external) __si_opendirectory_disabled
00000001804d5814 (__TEXT,__text) non-external (was a private external) __svcauth_null
00000001804d59a8 (__TEXT,__text) non-external (was a private external) __svcauth_short
00000001804d581c (__TEXT,__text) non-external (was a private external) __svcauth_unix
00000001804dc668 (__TEXT,__const) non-external __user_compat_prefix
00000001804b3d58 (__TEXT,__text) non-external __xpc_query_key_id
00000001804c4ca4 (__TEXT,__text) non-external __xpc_query_key_int
00000001804b9b3c (__TEXT,__text) non-external __xpc_query_key_string
00000001804ba458 (__TEXT,__text) non-external __xpc_query_key_uuid
                 (undefined) external __xpc_type_array (from libxpc)
                 (undefined) external __xpc_type_bool (from libxpc)
                 (undefined) external __xpc_type_dictionary (from libxpc)
                 (undefined) external __xpc_type_int64 (from libxpc)
                 (undefined) external __xpc_type_string (from libxpc)
00000001804cd148 (__TEXT,__text) external __yp_dobind
00000001ebf893c4 (__DATA,__data) non-external __yp_dobind.pid
00000001ebf896e8 (__DATA,__common) non-external (was a private external) __yp_domain
00000001804cd620 (__TEXT,__text) non-external (was a private external) __yp_unbind
00000001ebf896e0 (__DATA,__common) non-external (was a private external) __ypbindlist
00000001ebf893c0 (__DATA,__data) non-external (was a private external) __yplib_timeout
                 (undefined) external _abort (from libsystem_c)
                 (undefined) external _abort_with_reason (from libsystem_kernel)
                 (undefined) external _accept$NOCANCEL (from libsystem_kernel)
00000001804c7c84 (__TEXT,__text) external _alias_endent
00000001804c7ba8 (__TEXT,__text) external _alias_getbyname
00000001804c7c14 (__TEXT,__text) external _alias_getent
00000001804c7c08 (__TEXT,__text) external _alias_setent
00000001804dc560 (__TEXT,__const) non-external _align_64
00000001804bd764 (__TEXT,__text) non-external _append_addr
                 (undefined) external _arc4random (from libsystem_c)
                 (undefined) external _asl_free (from libsystem_asl)
                 (undefined) external _asl_log (from libsystem_asl)
                 (undefined) external _asl_new (from libsystem_asl)
                 (undefined) external _asl_set (from libsystem_asl)
                 (undefined) external _asprintf (from libsystem_c)
                 (undefined) external _atoi (from libsystem_c)
00000001e817b768 (__DATA_CONST,__const) non-external _auth_errlist
00000001eea2c520 (__AUTH,__data) non-external _auth_unix_ops
00000001804ce404 (__TEXT,__text) external _authnone_create
00000001804ce534 (__TEXT,__text) non-external _authnone_destroy
00000001804ce4f4 (__TEXT,__text) non-external _authnone_marshal
00000001ebf899d8 (__DATA,__bss) non-external _authnone_private
00000001804ce52c (__TEXT,__text) non-external _authnone_refresh
00000001804ce524 (__TEXT,__text) non-external _authnone_validate
00000001804ce520 (__TEXT,__text) non-external _authnone_verf
00000001804ce538 (__TEXT,__text) external _authunix_create
00000001804ce754 (__TEXT,__text) external _authunix_create_default
00000001804cea18 (__TEXT,__text) non-external _authunix_destroy
00000001804ce810 (__TEXT,__text) non-external _authunix_marshal
00000001804ce80c (__TEXT,__text) non-external _authunix_nextverf
00000001804ce8f8 (__TEXT,__text) non-external _authunix_refresh
00000001804ce830 (__TEXT,__text) non-external _authunix_validate
                 (undefined) external _bind (from libsystem_kernel)
00000001804cedb4 (__TEXT,__text) external _bindresvport
00000001804cebb4 (__TEXT,__text) external _bindresvport_sa
00000001804c930c (__TEXT,__text) external _bootparams_endent
00000001804c92f8 (__TEXT,__text) external _bootparams_getbyname
00000001804c9300 (__TEXT,__text) external _bootparams_getent
00000001804c9308 (__TEXT,__text) external _bootparams_setent
                 (undefined) external _bootstrap_look_up (from libxpc)
                 (undefined) external _bootstrap_look_up2 (from libxpc)
                 (undefined) external _bootstrap_port (from libsystem_kernel)
00000001ebf899e0 (__DATA,__bss) non-external _buf
