00000001e88d1ea0 (__TEXT,__text) external _AddFileExtent
00000001e88e2d54 (__TEXT,__text) external _GetNodeFreeSize
00000001e88e31e8 (__TEXT,__text) external _GetOffsetAddress
00000001e88e3120 (__TEXT,__text) external _GetRecordByIndex
00000001e88e31c8 (__TEXT,__text) external _GetRecordSize
0000000206440840 (__AUTH,__data) external _HFS_fsOps
00000001e88d2dd0 (__TEXT,__text) external _HeadTruncateFile
00000001e88e2dc4 (__TEXT,__text) external _InsertKeyRecord
00000001e88e1494 (__TEXT,__text) non-external _InsertLevel
00000001e88edd9c (__TEXT,__text) non-external _InsertLevel.cold.1
00000001e88ede74 (__TEXT,__text) non-external _InsertLevel.cold.2
00000001e88edf4c (__TEXT,__text) non-external _InsertLevel.cold.3
00000001e88e1ddc (__TEXT,__text) non-external _InsertNode
00000001e88ee1d4 (__TEXT,__text) non-external _InsertNode.cold.1
00000001e88ee2ac (__TEXT,__text) non-external _InsertNode.cold.2
00000001e88ee398 (__TEXT,__text) non-external _InsertNode.cold.3
00000001e88ee498 (__TEXT,__text) non-external _InsertNode.cold.4
00000001e88ee580 (__TEXT,__text) non-external _InsertNode.cold.5
00000001e88ee650 (__TEXT,__text) non-external _InsertNode.cold.6
00000001e88ee728 (__TEXT,__text) non-external _InsertNode.cold.7
00000001e88e2d80 (__TEXT,__text) external _InsertOffset
00000001e88e2c44 (__TEXT,__text) external _InsertRecord
00000001e88e1414 (__TEXT,__text) external _InsertTree
00000001e88b7140 (__TEXT,__text) external _IsEntryAJnlFile
00000001e88bcca0 (__TEXT,__text) external _IsItAHint
00000001e88e9f44 (__TEXT,__text) external _LFHFS_Check
00000001e88d95a0 (__TEXT,__text) external _LFHFS_Create
00000001e88e8e10 (__TEXT,__text) external _LFHFS_Fini
00000001e88d994c (__TEXT,__text) external _LFHFS_GetAttr
00000001e88e960c (__TEXT,__text) external _LFHFS_GetFSAttr
00000001e88dac0c (__TEXT,__text) external _LFHFS_GetXAttr
00000001e88e8d68 (__TEXT,__text) external _LFHFS_Init
00000001e88da7b4 (__TEXT,__text) external _LFHFS_Link
00000001e88db024 (__TEXT,__text) external _LFHFS_ListXAttr
00000001e88db870 (__TEXT,__text) external _LFHFS_LoggerInit
00000001e88d4a2c (__TEXT,__text) external _LFHFS_Lookup
00000001e88d43bc (__TEXT,__text) external _LFHFS_MkDir
00000001e88e8e9c (__TEXT,__text) external _LFHFS_Mount
00000001e88d8c6c (__TEXT,__text) external _LFHFS_Read
00000001e88d4c18 (__TEXT,__text) external _LFHFS_ReadDir
00000001e88d4f24 (__TEXT,__text) external _LFHFS_ReadDirAttr
00000001e88d9d44 (__TEXT,__text) external _LFHFS_ReadLink
00000001e88d9818 (__TEXT,__text) external _LFHFS_Reclaim
00000001e88d4848 (__TEXT,__text) external _LFHFS_Remove
00000001e88da1d8 (__TEXT,__text) external _LFHFS_Rename
00000001e88d45e8 (__TEXT,__text) external _LFHFS_RmDir
00000001e88d522c (__TEXT,__text) external _LFHFS_ScanDir
00000001e88d54d4 (__TEXT,__text) external _LFHFS_ScanIDs
00000001e88e8c98 (__TEXT,__text) external _LFHFS_ScanVols
00000001e88d9b4c (__TEXT,__text) external _LFHFS_SetAttr
00000001e88e93cc (__TEXT,__text) external _LFHFS_SetFSAttr
00000001e88dae10 (__TEXT,__text) external _LFHFS_SetXAttr
00000001e88db220 (__TEXT,__text) external _LFHFS_StreamLookup
00000001e88db570 (__TEXT,__text) external _LFHFS_StreamRead
00000001e88db43c (__TEXT,__text) external _LFHFS_StreamReclaim
00000001e88d9f58 (__TEXT,__text) external _LFHFS_SymLink
00000001e88e9cc0 (__TEXT,__text) external _LFHFS_Sync
00000001e88e8858 (__TEXT,__text) external _LFHFS_Taste
00000001e88e9154 (__TEXT,__text) external _LFHFS_Unmount
00000001e88d8f6c (__TEXT,__text) external _LFHFS_Write
00000001e88de6d4 (__TEXT,__text) external _MacToVFSError
00000001e88d1a20 (__TEXT,__text) external _MapFileBlockC
00000001e88d6ef0 (__TEXT,__text) external _MetaZoneFreeBlocks
00000001e88b38c0 (__TEXT,__text) external _ModifyBlockStart
00000001e88ea098 (__TEXT,__text) non-external _ModifyBlockStart.cold.1
00000001e88d3528 (__TEXT,__text) external _NodesAreContiguous
00000001e88b48cc (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001e88b6d8c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001e88bbcb4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001e88bcedc (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001e88bdcf4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001e88c1870 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001e88c1c98 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001e88c31a0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001e88c4f54 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001e88c64a8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001e88c8c64 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001e88d198c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001e88d8bd0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001e88dfddc (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001e88e0f70 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001e88e2770 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001e88e3234 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001e88e70a0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001e88e8828 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001e88b48e4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001e88bbccc (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001e88bcef4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001e88bdd0c (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001e88c1890 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001e88c31c0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001e88c4f74 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001e88c8c7c (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001e88d19a4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001e88d8bf0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001e88dfdfc (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001e88e2788 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001e88e324c (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001e88b4904 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001e88bcf14 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001e88bdd2c (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001e88c4f90 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001e88c8c9c (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001e88d19c4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001e88d8c0c (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001e88dfe18 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001e88e27a8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001e88e326c (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001e88b4918 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001e88bcf34 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001e88bdd40 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001e88c4fa4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001e88c8cbc (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001e88d19e4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001e88d8c20 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001e88dfe30 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001e88e27c8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001e88e328c (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001e88b4938 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
00000001e88d19f8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
00000001e88d8c34 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
00000001e88dfe40 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
00000001e88e27dc (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
00000001e88b494c (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
00000001e88d1a04 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
00000001e88d8c4c (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
00000001e88dfe54 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
00000001e88e27f4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
00000001e88b496c (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
00000001e88dfe74 (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
00000001e88e2814 (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
00000001e88b4988 (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
00000001e88dfe94 (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
00000001e88b4998 (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
00000001e88dfeb0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
00000001e88dfebc (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
00000001e88d70d0 (__TEXT,__text) non-external _ReadBitmapBlock
00000001e88b39e4 (__TEXT,__text) external _ReleaseBTreeBlock
00000001e88ea254 (__TEXT,__text) non-external _ReleaseBTreeBlock.cold.1
00000001e88ea330 (__TEXT,__text) non-external _ReleaseBTreeBlock.cold.2
00000001e88d6fdc (__TEXT,__text) non-external _ReleaseBitmapBlock
00000001e88ed310 (__TEXT,__text) non-external _ReleaseBitmapBlock.cold.1
00000001e88ed3f8 (__TEXT,__text) non-external _ReleaseBitmapBlock.cold.2
00000001e88d36d8 (__TEXT,__text) non-external _ReleaseExtents
00000001e88deca0 (__TEXT,__text) non-external _ReleaseMetaFileVNode
00000001e88e2ad4 (__TEXT,__text) external _ReleaseNode
00000001e88ee800 (__TEXT,__text) non-external _ReleaseNode.cold.1
00000001e88ded28 (__TEXT,__text) external _RequireFileLock
00000001e88ed92c (__TEXT,__text) non-external _RequireFileLock.cold.1
00000001e88ed9bc (__TEXT,__text) non-external _RequireFileLock.cold.2
00000001e88eda4c (__TEXT,__text) non-external _RequireFileLock.cold.3
00000001e88edadc (__TEXT,__text) non-external _RequireFileLock.cold.4
00000001e88edb6c (__TEXT,__text) non-external _RequireFileLock.cold.5
00000001e88e23b4 (__TEXT,__text) non-external _RotateLeft
00000001e88d598c (__TEXT,__text) external _ScanUnmapBlocks
00000001e88d1bf8 (__TEXT,__text) external _SearchExtentFile
00000001e88e306c (__TEXT,__text) external _SearchNode
00000001e88e0f88 (__TEXT,__text) external _SearchTree
00000001e88b2840 (__TEXT,__text) non-external _SetAttrIntoStruct
00000001e88b36ec (__TEXT,__text) external _SetBTreeBlockSize
00000001e88e9f60 (__TEXT,__text) non-external _SetBTreeBlockSize.cold.1
00000001e88e9ffc (__TEXT,__text) non-external _SetBTreeBlockSize.cold.2
00000001e88e2b60 (__TEXT,__text) external _TrashNode
00000001e88ee8dc (__TEXT,__text) non-external _TrashNode.cold.1
00000001e88bc7a4 (__TEXT,__text) external _TreeIsDirty
00000001e88d2c98 (__TEXT,__text) non-external _TruncateExtents
00000001e88d298c (__TEXT,__text) external _TruncateFileC
00000001e88bcd48 (__TEXT,__text) external _TrySimpleReplace
00000001e88eaa90 (__TEXT,__text) non-external _TrySimpleReplace.cold.1
00000001e88d3e60 (__TEXT,__text) external _UnicodeBinaryCompare
00000001e88d2124 (__TEXT,__text) non-external _UpdateExtentRecord
00000001e88bc7b0 (__TEXT,__text) external _UpdateHeader
00000001e88e2bec (__TEXT,__text) external _UpdateNode
0000000204be0628 (__DATA,__data) external _VTtoUVFS_tab
00000001e88bc6c8 (__TEXT,__text) external _VerifyHeader
00000001e88f16d0 (__TEXT,__const) non-external ___CFUniCharBMPPrecompDestinationTable
00000001e88ef3c0 (__TEXT,__const) non-external ___CFUniCharCombiningBitmap
00000001e88f2524 (__TEXT,__const) non-external ___CFUniCharCombiningPropertyBitmap
00000001e88ef080 (__TEXT,__const) non-external ___CFUniCharDecomposableBitmap
00000001e88ef740 (__TEXT,__const) non-external ___CFUniCharDecompositionTable
00000001e88f0668 (__TEXT,__const) non-external ___CFUniCharMultipleDecompositionTable
00000001e88f1528 (__TEXT,__const) non-external ___CFUniCharPrecompSourceTable
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __os_log_impl (from libSystem)
00000001e88cbecc (__TEXT,__text) non-external _abort_transaction
00000001e88d58a0 (__TEXT,__text) non-external _add_free_extent_cache
00000001e88d88b0 (__TEXT,__text) non-external _add_free_extent_list
                 (undefined) external _bcmp (from libSystem)
00000001e88dbaa8 (__TEXT,__text) external _blk_to_bytes
00000001e88b393c (__TEXT,__text) external _btree_swap_node
00000001e88ea174 (__TEXT,__text) non-external _btree_swap_node.cold.1
0000000204be2048 (__DATA,__common) external _buf_cache_list
0000000204be2008 (__DATA,__common) external _buf_cache_mutex
0000000204be1fe0 (__DATA,__common) external _buf_cache_state
00000001e88b7008 (__TEXT,__text) non-external _builddesc
00000001e88b75f4 (__TEXT,__text) non-external _buildkey
00000001e88ba4e8 (__TEXT,__text) non-external _buildrecord
                 (undefined) external _bzero (from libSystem)
00000001e88b9318 (__TEXT,__text) external _cat_acquire_cnid
00000001e88b6e30 (__TEXT,__text) external _cat_binarykeycompare
00000001e88b92dc (__TEXT,__text) external _cat_check_idhash
00000001e88ba7a4 (__TEXT,__text) external _cat_check_link_ancestry
00000001e88bb17c (__TEXT,__text) external _cat_convertattr
00000001e88ba210 (__TEXT,__text) external _cat_create
00000001e88bb22c (__TEXT,__text) external _cat_createlink
00000001e88b9e8c (__TEXT,__text) external _cat_delete
00000001e88bad14 (__TEXT,__text) external _cat_deletelink
00000001e88b6ec0 (__TEXT,__text) external _cat_findname
00000001e88b76a0 (__TEXT,__text) non-external _cat_findposition
00000001e88b7188 (__TEXT,__text) external _cat_getdirentries
00000001e88b8984 (__TEXT,__text) external _cat_getentriesattr
00000001e88b7e38 (__TEXT,__text) external _cat_idlookup
00000001e88b86ec (__TEXT,__text) external _cat_lookup
00000001e88ba9d4 (__TEXT,__text) external _cat_lookup_lastlink
00000001e88b8054 (__TEXT,__text) non-external _cat_lookupbykey
00000001e88babb0 (__TEXT,__text) external _cat_lookuplink
00000001e88b8808 (__TEXT,__text) external _cat_lookupmangled
00000001e88b9560 (__TEXT,__text) external _cat_postflight
00000001e88b94d0 (__TEXT,__text) external _cat_preflight
00000001e88b6e70 (__TEXT,__text) external _cat_releasedesc
00000001e88b95f8 (__TEXT,__text) external _cat_rename
00000001e88ea7c8 (__TEXT,__text) non-external _cat_rename.cold.1
00000001e88b8ed0 (__TEXT,__text) external _cat_resolvelink
00000001e88ba628 (__TEXT,__text) external _cat_set_childlinkbit
00000001e88b9dbc (__TEXT,__text) external _cat_update
00000001e88baea0 (__TEXT,__text) external _cat_update_siblinglinks
00000001e88bb800 (__TEXT,__text) non-external _catrec_update
00000001e88ea8bc (__TEXT,__text) non-external _catrec_update.cold.1
                 (undefined) external _clock_gettime (from libSystem)
00000001e88e870c (__TEXT,__text) non-external _createindirectlink
0000000204be2070 (__DATA,__common) external _def_tbuffer_size
00000001e88e082c (__TEXT,__text) non-external _do_hfs_truncate
00000001e88edc94 (__TEXT,__text) non-external _do_hfs_truncate.cold.1
00000001e88cf604 (__TEXT,__text) non-external _do_journal_io
0000000204be1f60 (__DATA,__bss) non-external _emptyfinfo
00000001e88cc9dc (__TEXT,__text) non-external _end_transaction
                 (undefined) external _environ (from libSystem)
00000001e88c8408 (__TEXT,__text) external _file_attribute_exist
                 (undefined) external _free (from libSystem)
00000001e88c7fd0 (__TEXT,__text) non-external _free_attr_blks
00000001e88cbfe4 (__TEXT,__text) non-external _free_old_stuff
00000001e88cf9b4 (__TEXT,__text) non-external _free_space
0000000204be1ee0 (__DATA,__data) external _freebitcount
00000001e88bdfb0 (__TEXT,__text) external _fsck_hfs
00000001e88bdd60 (__TEXT,__text) external _fsck_mount_and_replay
0000000204be1fe8 (__DATA,__common) external _gCacheStat
0000000204be1ce0 (__DATA,__data) external _gCompareTable
0000000204be06e0 (__DATA,__data) external _gLatinCaseFold
0000000204be08e0 (__DATA,__data) external _gLowerCaseTable
0000000204be2078 (__DATA,__common) external _gbIsLoggerInit
00000001e88b3694 (__TEXT,__text) external _get_btree_nodesize
00000001e88cb168 (__TEXT,__text) non-external _get_io_info
00000001e88b90c4 (__TEXT,__text) non-external _getbsdattr
00000001e88b9cdc (__TEXT,__text) non-external _getcnid
00000001e88b77c8 (__TEXT,__text) non-external _getdirentries_callback
00000001e88b8c94 (__TEXT,__text) non-external _getentriesattr_callback
00000001e88e76e8 (__TEXT,__text) non-external _getfirstlink
00000001e88ba0e8 (__TEXT,__text) non-external _getkey
00000001e88f3da0 (__TEXT,__const) external _gpeHFSToOsLevel
0000000204be2080 (__DATA,__common) external _gpsHFSLog
0000000204be1f58 (__DATA,__bss) non-external _gpvZeroBuf
00000001e88db940 (__TEXT,__text) external _hashDeinit
00000001e88db8b8 (__TEXT,__text) external _hashinit
00000001e88ef070 (__TEXT,__const) external _hexdigits
00000001e88dd88c (__TEXT,__text) external _hfsUnmount
00000001e88dbd6c (__TEXT,__text) external _hfs_CollectBtreeStats
00000001e88c1468 (__TEXT,__text) external _hfs_GetInfoByID
00000001e88beb7c (__TEXT,__text) non-external _hfs_InitialMount
00000001e88dd924 (__TEXT,__text) external _hfs_MountHFSPlusVolume
00000001e88be8dc (__TEXT,__text) external _hfs_ScanVolGetVolName
00000001e88dbab0 (__TEXT,__text) external _hfs_ValidateHFSPlusVolumeHeader
00000001e88df5ac (__TEXT,__text) external _hfs_apendixcmp
00000001e88f3d18 (__TEXT,__const) external _hfs_attrdatafilename
00000001e88c8bcc (__TEXT,__text) external _hfs_attrkeycompare
0000000204be1f1c (__DATA,__data) external _hfs_attrname
00000001e88d6920 (__TEXT,__text) external _hfs_block_alloc
00000001e88d5f5c (__TEXT,__text) non-external _hfs_block_alloc_int
00000001e88ecee8 (__TEXT,__text) non-external _hfs_block_alloc_int.cold.1
00000001e88ecf80 (__TEXT,__text) non-external _hfs_block_alloc_int.cold.2
00000001e88ed018 (__TEXT,__text) non-external _hfs_block_alloc_int.cold.3
00000001e88ed0b0 (__TEXT,__text) non-external _hfs_block_alloc_int.cold.4
00000001e88ed148 (__TEXT,__text) non-external _hfs_block_alloc_int.cold.5
00000001e88ed1e0 (__TEXT,__text) non-external _hfs_block_alloc_int.cold.6
00000001e88ed278 (__TEXT,__text) non-external _hfs_block_alloc_int.cold.7
00000001e88c6cc4 (__TEXT,__text) external _hfs_buildattrkey
0000000204be1ef0 (__DATA,__data) external _hfs_catname
00000001e88bd3b4 (__TEXT,__text) external _hfs_chash_abort
00000001e88bd5d4 (__TEXT,__text) external _hfs_chash_getcnode
00000001e88eb088 (__TEXT,__text) non-external _hfs_chash_getcnode.cold.1
00000001e88bd920 (__TEXT,__text) external _hfs_chash_getvnode
00000001e88bd330 (__TEXT,__text) external _hfs_chash_lock
00000001e88bd338 (__TEXT,__text) external _hfs_chash_lock_spin
00000001e88bd2d0 (__TEXT,__text) external _hfs_chash_lower_OpenLookupCounter
00000001e88eafac (__TEXT,__text) non-external _hfs_chash_lower_OpenLookupCounter.cold.1
00000001e88bdca8 (__TEXT,__text) external _hfs_chash_mark_in_transit
00000001e88bd26c (__TEXT,__text) external _hfs_chash_raise_OpenLookupCounter
00000001e88eaeb0 (__TEXT,__text) non-external _hfs_chash_raise_OpenLookupCounter.cold.1
00000001e88bdb7c (__TEXT,__text) external _hfs_chash_set_childlinkbit
00000001e88bdabc (__TEXT,__text) external _hfs_chash_snoop
00000001e88bd340 (__TEXT,__text) external _hfs_chash_unlock
00000001e88bd32c (__TEXT,__text) external _hfs_chashinit
00000001e88bd438 (__TEXT,__text) external _hfs_chashinit_finish
00000001e88bdc20 (__TEXT,__text) external _hfs_chashremove
00000001e88bd348 (__TEXT,__text) external _hfs_chashwakeup
00000001e88d0d9c (__TEXT,__text) external _hfs_clear_might_be_dirty_flag
00000001e88d74cc (__TEXT,__text) external _hfs_count_allocated
00000001e88b4214 (__TEXT,__text) external _hfs_create_attr_btree
00000001e88ea514 (__TEXT,__text) non-external _hfs_create_attr_btree.cold.1
00000001e88e7db4 (__TEXT,__text) external _hfs_currentparent
00000001e88bd470 (__TEXT,__text) external _hfs_delete_chash
00000001e88f3af8 (__TEXT,__const) non-external _hfs_dirlink_alias_rsrc
00000001e88df870 (__TEXT,__text) external _hfs_early_journal_init
00000001e88dea4c (__TEXT,__text) external _hfs_end_transaction
00000001e88ed7fc (__TEXT,__text) non-external _hfs_end_transaction.cold.1
00000001e88ed894 (__TEXT,__text) non-external _hfs_end_transaction.cold.2
00000001e88dd6a8 (__TEXT,__text) external _hfs_erase_unused_nodes
0000000204be1eff (__DATA,__data) external _hfs_extname
00000001e88d86d4 (__TEXT,__text) non-external _hfs_find_summary_free
00000001e88deaf4 (__TEXT,__text) external _hfs_flush
00000001e88bf908 (__TEXT,__text) external _hfs_flushvolumeheader
00000001e88eb164 (__TEXT,__text) non-external _hfs_flushvolumeheader.cold.1
00000001e88d0f80 (__TEXT,__text) external _hfs_fork_release
00000001e88dcd50 (__TEXT,__text) external _hfs_free
00000001e88d5efc (__TEXT,__text) external _hfs_free_locked
00000001e88d5ec4 (__TEXT,__text) non-external _hfs_free_locked_internal
00000001e88d5ebc (__TEXT,__text) external _hfs_free_tentative
00000001e88df210 (__TEXT,__text) external _hfs_freeblks
00000001e88e3db4 (__TEXT,__text) external _hfs_fsync
00000001e88d0f4c (__TEXT,__text) external _hfs_get_dateadded
00000001e88df240 (__TEXT,__text) external _hfs_getdirhint
00000001e88cfa50 (__TEXT,__text) external _hfs_getnewvnode
00000001e88ec858 (__TEXT,__text) non-external _hfs_getnewvnode.cold.1
