0000000297ffc1f0 (__DATA,__bss) non-external _A
0000000283c9fb58 (__TEXT,__text) external _cmark_node_next
0000000283c9fb94 (__TEXT,__text) external _cmark_node_nth_child
0000000283c913e0 (__TEXT,__text) external _cmark_node_own
0000000283c9fb70 (__TEXT,__text) external _cmark_node_parent
0000000283c9fbc4 (__TEXT,__text) external _cmark_node_parent_footnote_def
0000000283ca0c78 (__TEXT,__text) external _cmark_node_prepend_child
0000000283c9fb64 (__TEXT,__text) external _cmark_node_previous
0000000283ca0c3c (__TEXT,__text) external _cmark_node_replace
0000000283ca0710 (__TEXT,__text) external _cmark_node_set_attributes
0000000283ca0238 (__TEXT,__text) external _cmark_node_set_fence_info
0000000283ca0340 (__TEXT,__text) external _cmark_node_set_fenced
0000000283c9fee8 (__TEXT,__text) external _cmark_node_set_heading_level
0000000283ca0164 (__TEXT,__text) external _cmark_node_set_item_index
0000000283ca0058 (__TEXT,__text) external _cmark_node_set_list_delim
0000000283c9ffd4 (__TEXT,__text) external _cmark_node_set_list_marker
0000000283ca00b8 (__TEXT,__text) external _cmark_node_set_list_start
0000000283ca0110 (__TEXT,__text) external _cmark_node_set_list_tight
0000000283c9ff48 (__TEXT,__text) external _cmark_node_set_list_type
0000000283c9fd48 (__TEXT,__text) external _cmark_node_set_literal
0000000283ca0884 (__TEXT,__text) external _cmark_node_set_on_enter
0000000283ca0a00 (__TEXT,__text) external _cmark_node_set_on_exit
0000000283c9fea8 (__TEXT,__text) external _cmark_node_set_string_content
0000000283ca0ae0 (__TEXT,__text) external _cmark_node_set_syntax_extension
0000000283ca059c (__TEXT,__text) external _cmark_node_set_title
0000000283c9f7f0 (__TEXT,__text) external _cmark_node_set_type
0000000283ca0420 (__TEXT,__text) external _cmark_node_set_url
0000000283c9fbdc (__TEXT,__text) external _cmark_node_set_user_data
0000000283c9fbec (__TEXT,__text) external _cmark_node_set_user_data_free_func
0000000283ca0b20 (__TEXT,__text) external _cmark_node_unlink
0000000283ca4760 (__TEXT,__text) external _cmark_node_unput
0000000283c9d974 (__TEXT,__text) external _cmark_parse_document
0000000283c9d230 (__TEXT,__text) external _cmark_parse_file
0000000283ca1180 (__TEXT,__text) non-external (was a private external) _cmark_parse_inlines
0000000283ca8a60 (__TEXT,__text) non-external _cmark_parse_inlines.cold.1
0000000283ca8a60 (__TEXT,__text) non-external _cmark_parse_inlines.cold.10
0000000283ca8a60 (__TEXT,__text) non-external _cmark_parse_inlines.cold.11
0000000283ca8a60 (__TEXT,__text) non-external _cmark_parse_inlines.cold.12
0000000283ca8a60 (__TEXT,__text) non-external _cmark_parse_inlines.cold.13
0000000283ca8a60 (__TEXT,__text) non-external _cmark_parse_inlines.cold.14
0000000283ca8a60 (__TEXT,__text) non-external _cmark_parse_inlines.cold.15
0000000283ca8a60 (__TEXT,__text) non-external _cmark_parse_inlines.cold.16
0000000283ca8a60 (__TEXT,__text) non-external _cmark_parse_inlines.cold.17
0000000283ca8a60 (__TEXT,__text) non-external _cmark_parse_inlines.cold.18
0000000283ca8a60 (__TEXT,__text) non-external _cmark_parse_inlines.cold.19
0000000283ca8a60 (__TEXT,__text) non-external _cmark_parse_inlines.cold.2
0000000283ca8a60 (__TEXT,__text) non-external _cmark_parse_inlines.cold.3
0000000283ca8a60 (__TEXT,__text) non-external _cmark_parse_inlines.cold.4
0000000283ca8a60 (__TEXT,__text) non-external _cmark_parse_inlines.cold.5
0000000283ca8a60 (__TEXT,__text) non-external _cmark_parse_inlines.cold.6
0000000283ca8a60 (__TEXT,__text) non-external _cmark_parse_inlines.cold.7
0000000283ca8a60 (__TEXT,__text) non-external _cmark_parse_inlines.cold.8
0000000283ca8a60 (__TEXT,__text) non-external _cmark_parse_inlines.cold.9
0000000283ca40d8 (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_attributes_inline
0000000283ca8a60 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.1
0000000283ca8a60 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.2
0000000283ca8a60 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.3
0000000283ca8a60 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.4
0000000283ca8a60 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.5
0000000283ca3918 (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_inline
0000000283ca8a60 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.1
0000000283ca8a60 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.2
0000000283ca8a60 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.3
0000000283ca8a60 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.4
0000000283ca8a60 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.5
0000000283ca8a60 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.6
0000000283ca8a60 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.7
0000000283c9eb9c (__TEXT,__text) external _cmark_parser_add_child
0000000283c9ec7c (__TEXT,__text) external _cmark_parser_advance_offset
0000000283c9cea8 (__TEXT,__text) external _cmark_parser_attach_syntax_extension
0000000283c9d168 (__TEXT,__text) non-external _cmark_parser_dispose
0000000283c9d9dc (__TEXT,__text) external _cmark_parser_feed
0000000283c9d9e4 (__TEXT,__text) external _cmark_parser_feed_reentrant
0000000283c9d4cc (__TEXT,__text) external _cmark_parser_finish
0000000283c9d0dc (__TEXT,__text) external _cmark_parser_free
0000000283c9eb64 (__TEXT,__text) external _cmark_parser_get_column
0000000283c9eb6c (__TEXT,__text) external _cmark_parser_get_first_nonspace
0000000283c9eb74 (__TEXT,__text) external _cmark_parser_get_first_nonspace_column
0000000283c9eb7c (__TEXT,__text) external _cmark_parser_get_indent
0000000283c9eb94 (__TEXT,__text) external _cmark_parser_get_last_line_length
0000000283c9eb54 (__TEXT,__text) external _cmark_parser_get_line_number
0000000283c9eb5c (__TEXT,__text) external _cmark_parser_get_offset
0000000283c9ed8c (__TEXT,__text) external _cmark_parser_get_syntax_extensions
0000000283c9eb8c (__TEXT,__text) external _cmark_parser_has_partially_consumed_tab
0000000283c9eb84 (__TEXT,__text) external _cmark_parser_is_blank
0000000283c9d0d0 (__TEXT,__text) external _cmark_parser_new
0000000283c9cf68 (__TEXT,__text) external _cmark_parser_new_with_mem
0000000283c9cfd4 (__TEXT,__text) non-external _cmark_parser_reset
0000000283c9ed84 (__TEXT,__text) external _cmark_parser_set_backslash_ispunct_func
0000000283c90bac (__TEXT,__text) external _cmark_plugin_free
0000000283c90b7c (__TEXT,__text) external _cmark_plugin_new
0000000283c90b40 (__TEXT,__text) external _cmark_plugin_register_syntax_extension
0000000283c90c08 (__TEXT,__text) external _cmark_plugin_steal_syntax_extensions
0000000283c9cc88 (__TEXT,__text) non-external (was a private external) _cmark_reference_create
0000000283ca8854 (__TEXT,__text) non-external _cmark_reference_create.cold.1
0000000283c9cd4c (__TEXT,__text) non-external (was a private external) _cmark_reference_create_attributes
0000000283ca8880 (__TEXT,__text) non-external _cmark_reference_create_attributes.cold.1
0000000283c9cdfc (__TEXT,__text) non-external (was a private external) _cmark_reference_map_new
0000000283c9f4c4 (__TEXT,__text) external _cmark_register_node_flag
0000000283ca89f0 (__TEXT,__text) non-external _cmark_register_node_flag.cold.1
0000000283ca8a20 (__TEXT,__text) non-external _cmark_register_node_flag.cold.2
00000002994bf7e0 (__DATA_DIRTY,__data) non-external _cmark_register_node_flag.nextflag
0000000283c8fa78 (__TEXT,__text) external _cmark_register_plugin
0000000283c8fb1c (__TEXT,__text) external _cmark_release_plugins
0000000283c8fc90 (__TEXT,__text) non-external (was a private external) _cmark_render
0000000283c8fc10 (__TEXT,__text) non-external (was a private external) _cmark_render_ascii
0000000283c8fc54 (__TEXT,__text) non-external (was a private external) _cmark_render_code_point
0000000283c8bb10 (__TEXT,__text) external _cmark_render_commonmark
0000000283c8bb4c (__TEXT,__text) external _cmark_render_commonmark_with_mem
0000000283c8cd38 (__TEXT,__text) external _cmark_render_html
0000000283c8cd40 (__TEXT,__text) external _cmark_render_html_with_mem
0000000283ca863c (__TEXT,__text) non-external _cmark_render_html_with_mem.cold.1
0000000283c915d4 (__TEXT,__text) external _cmark_render_latex
0000000283c91608 (__TEXT,__text) external _cmark_render_latex_with_mem
0000000283c8e420 (__TEXT,__text) external _cmark_render_man
0000000283c8e454 (__TEXT,__text) external _cmark_render_man_with_mem
0000000283ca5554 (__TEXT,__text) external _cmark_render_plaintext
0000000283ca5590 (__TEXT,__text) external _cmark_render_plaintext_with_mem
0000000283ca4bcc (__TEXT,__text) external _cmark_render_xml
0000000283ca4bd4 (__TEXT,__text) external _cmark_render_xml_with_mem
0000000283ca0ee0 (__TEXT,__text) non-external (was a private external) _cmark_set_default_skip_chars
0000000297ffc0e9 (__DATA,__bss) non-external _cmark_set_default_skip_chars.default_skip_chars
0000000283ca10e8 (__TEXT,__text) non-external (was a private external) _cmark_set_default_special_chars
0000000297ffbfe0 (__DATA,__data) non-external _cmark_set_default_special_chars.default_special_chars
0000000297ffc0e0 (__DATA,__common) external _cmark_strbuf__initbuf
0000000283c9c5f8 (__TEXT,__text) external _cmark_strbuf_clear
0000000283c9c8e0 (__TEXT,__text) external _cmark_strbuf_cmp
0000000283c9c818 (__TEXT,__text) external _cmark_strbuf_copy_cstr
0000000283ca8828 (__TEXT,__text) non-external _cmark_strbuf_copy_cstr.cold.1
0000000283c9c8ac (__TEXT,__text) external _cmark_strbuf_detach
0000000283c9c9f4 (__TEXT,__text) external _cmark_strbuf_drop
0000000283c9c5ac (__TEXT,__text) external _cmark_strbuf_free
0000000283c9c52c (__TEXT,__text) external _cmark_strbuf_grow
0000000283ca87c8 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.1
0000000283ca87fc (__TEXT,__text) non-external _cmark_strbuf_grow.cold.2
0000000283c9c504 (__TEXT,__text) external _cmark_strbuf_init
0000000283c9c5a4 (__TEXT,__text) external _cmark_strbuf_len
0000000283c9cb38 (__TEXT,__text) external _cmark_strbuf_normalize_whitespace
0000000283c9c75c (__TEXT,__text) external _cmark_strbuf_put
0000000283c9c70c (__TEXT,__text) external _cmark_strbuf_putc
0000000283c9c7d0 (__TEXT,__text) external _cmark_strbuf_puts
0000000283c9ca58 (__TEXT,__text) external _cmark_strbuf_rtrim
0000000283c9c614 (__TEXT,__text) external _cmark_strbuf_set
0000000283c9c6b8 (__TEXT,__text) external _cmark_strbuf_sets
0000000283c9c934 (__TEXT,__text) external _cmark_strbuf_strchr
0000000283c9c98c (__TEXT,__text) external _cmark_strbuf_strrchr
0000000283c9c880 (__TEXT,__text) external _cmark_strbuf_swap
0000000283c9cab8 (__TEXT,__text) external _cmark_strbuf_trim
