
/System/Library/PrivateFrameworks/CoreFP.framework/Versions/A/CoreFP (for architecture x86_64):
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSProcessInfo (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
                 (undefined) external _SecCertificateCopyProperties (from Security)
                 (undefined) external _SecCertificateCopySubjectPublicKeyInfoSHA256Digest (from Security)
                 (undefined) external _SecCertificateCreateWithData (from Security)
                 (undefined) external _SecCmsContentInfoGetContent (from Security)
                 (undefined) external _SecCmsContentInfoGetContentTypeTag (from Security)
                 (undefined) external _SecCmsDecoderCreate (from Security)
                 (undefined) external _SecCmsDecoderDestroy (from Security)
                 (undefined) external _SecCmsDecoderFinish (from Security)
                 (undefined) external _SecCmsDecoderUpdate (from Security)
                 (undefined) external _SecCmsMessageContentLevel (from Security)
                 (undefined) external _SecCmsMessageContentLevelCount (from Security)
                 (undefined) external _SecCmsMessageDestroy (from Security)
                 (undefined) external _SecCmsMessageGetContent (from Security)
                 (undefined) external _SecCmsSignedDataGetCertificateList (from Security)
                 (undefined) external _SecPolicyCreateWithProperties (from Security)
                 (undefined) external _SecTrustCreateWithCertificates (from Security)
                 (undefined) external _SecTrustEvaluate (from Security)
                 (undefined) external _SecTrustSetAnchorCertificates (from Security)
                 (undefined) external _SecTrustSetAnchorCertificatesOnly (from Security)
                 (undefined) external _SecTrustSetPolicies (from Security)
                 (undefined) external _SecTrustSetVerifyDate (from Security)
                 (undefined) external _UTTypePlainText (from UniformTypeIdentifiers)
00000000002f3610 (__TEXT,__text) external _WIn9UJ86JKdV4dM
0000000001441b20 (__TEXT,__text) external _X46O5IeS
000000000038b010 (__TEXT,__text) external _YlCJ3lg
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___memset_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___strcpy_chk (from libSystem)
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_impl (from libSystem)
                 (undefined) external __xpc_error_connection_interrupted (from libSystem)
                 (undefined) external __xpc_type_error (from libSystem)
                 (undefined) external _arc4random (from libSystem)
                 (undefined) external _basename (from libSystem)
                 (undefined) external _bootstrap_look_up (from libSystem)
                 (undefined) external _bootstrap_port (from libSystem)
                 (undefined) external _close (from libSystem)
                 (undefined) external _closedir (from libSystem)
                 (undefined) external _confstr (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_queue_create (from libSystem)
00000000013219f0 (__TEXT,__text) external _dku592fbFAj
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fcntl (from libSystem)
0000000000302d60 (__TEXT,__text) external _fdjkDSAFjklaf2s
                 (undefined) external _feof (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _fstat$INODE64 (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFBooleanTrue (from CoreFoundation)
                 (undefined) external _kCFErrorDomainOSStatus (from CoreFoundation)
                 (undefined) external _kCFTypeArrayCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryValueCallBacks (from CoreFoundation)
                 (undefined) external _kCFURLFileSecurityKey (from CoreFoundation)
                 (undefined) external _kCFURLIsHiddenKey (from CoreFoundation)
                 (undefined) external _kCFURLTypeIdentifierKey (from CoreFoundation)
                 (undefined) external _kIOMainPortDefault (from IOKit)
                 (undefined) external _kSecPolicyAppleRevocation (from Security)
                 (undefined) external _kSecPolicyAppleX509Basic (from Security)
                 (undefined) external _kSecPolicyMacAppStoreReceipt (from Security)
                 (undefined) external _kSecPolicyRevocationFlags (from Security)
                 (undefined) external _kSecPropertyKeyLabel (from Security)
                 (undefined) external _kSecPropertyKeyValue (from Security)
                 (undefined) external _lockf (from libSystem)
                 (undefined) external _lstat$INODE64 (from libSystem)
0000000000262a40 (__TEXT,__text) external _lxpgvVMLd0S7uRl
                 (undefined) external _mach_msg (from libSystem)
                 (undefined) external _mach_msg_destroy (from libSystem)
                 (undefined) external _mach_task_self_ (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _mig_dealloc_reply_port (from libSystem)
                 (undefined) external _mig_get_reply_port (from libSystem)
                 (undefined) external _mig_put_reply_port (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_autorelease (from libobjc)
                 (undefined) external _objc_autoreleasePoolPop (from libobjc)
                 (undefined) external _objc_autoreleasePoolPush (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _open (from libSystem)
                 (undefined) external _opendir$INODE64 (from libSystem)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _proc_pidpath (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_once (from libSystem)
                 (undefined) external _pthread_rwlock_destroy (from libSystem)
                 (undefined) external _pthread_rwlock_init (from libSystem)
                 (undefined) external _pthread_rwlock_rdlock (from libSystem)
                 (undefined) external _pthread_rwlock_unlock (from libSystem)
                 (undefined) external _pthread_rwlock_wrlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _readdir$INODE64 (from libSystem)
                 (undefined) external _sched_yield (from libSystem)
                 (undefined) external _sleep (from libSystem)
                 (undefined) external _sscanf (from libSystem)
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _statfs$INODE64 (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _sysconf (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
                 (undefined) external _umask (from libSystem)
000000000023c9f0 (__TEXT,__text) external _uvbOOqb28APZ
                 (undefined) external _vm_allocate (from libSystem)
                 (undefined) external _vm_deallocate (from libSystem)
                 (undefined) weak external _voucher_mach_msg_set (from libSystem)
00000000013c4930 (__TEXT,__text) external _wnnzAiOPdQe2
                 (undefined) external _xpc_connection_activate (from libSystem)
                 (undefined) external _xpc_connection_create_mach_service (from libSystem)
                 (undefined) external _xpc_connection_send_message_with_reply_sync (from libSystem)
                 (undefined) external _xpc_connection_set_event_handler (from libSystem)
                 (undefined) external _xpc_copy_description (from libSystem)
                 (undefined) external _xpc_dictionary_create_empty (from libSystem)
                 (undefined) external _xpc_dictionary_get_data (from libSystem)
                 (undefined) external _xpc_dictionary_set_data (from libSystem)
                 (undefined) external _xpc_get_type (from libSystem)
                 (undefined) external _xpc_release (from libSystem)
                 (undefined) external dyld_stub_binder (from libSystem)

/System/Library/PrivateFrameworks/CoreFP.framework/Versions/A/CoreFP (for architecture arm64e):
                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetBytes (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFEqual (from CoreFoundation)
                 (undefined) external _CFErrorGetCode (from CoreFoundation)
                 (undefined) external _CFErrorGetDomain (from CoreFoundation)
                 (undefined) external _CFFileSecuritySetMode (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFGregorianDateGetAbsoluteTime (from CoreFoundation)
                 (undefined) external _CFPreferencesCopyAppValue (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamClose (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetCStringPtr (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
                 (undefined) external _CFStringGetMaximumSizeForEncoding (from CoreFoundation)
                 (undefined) external _CFURLCopyResourcePropertyForKey (from CoreFoundation)
                 (undefined) external _CFURLCreateFromFileSystemRepresentation (from CoreFoundation)
                 (undefined) external _CFURLSetResourcePropertyForKey (from CoreFoundation)
                 (undefined) external _IOIteratorNext (from IOKit)
                 (undefined) external _IOObjectRelease (from IOKit)
                 (undefined) external _IORegistryEntryCreateCFProperty (from IOKit)
                 (undefined) external _IORegistryEntryGetParentEntry (from IOKit)
                 (undefined) external _IOServiceGetMatchingService (from IOKit)
                 (undefined) external _IOServiceGetMatchingServices (from IOKit)
                 (undefined) external _IOServiceMatching (from IOKit)
                 (undefined) external _NDR_record (from libSystem)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSProcessInfo (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
                 (undefined) external _SecCertificateCopyProperties (from Security)
                 (undefined) external _SecCertificateCopySubjectPublicKeyInfoSHA256Digest (from Security)
                 (undefined) external _SecCertificateCreateWithData (from Security)
                 (undefined) external _SecCmsContentInfoGetContent (from Security)
                 (undefined) external _SecCmsContentInfoGetContentTypeTag (from Security)
                 (undefined) external _SecCmsDecoderCreate (from Security)
                 (undefined) external _SecCmsDecoderDestroy (from Security)
                 (undefined) external _SecCmsDecoderFinish (from Security)
                 (undefined) external _SecCmsDecoderUpdate (from Security)
                 (undefined) external _SecCmsMessageContentLevel (from Security)
                 (undefined) external _SecCmsMessageContentLevelCount (from Security)
                 (undefined) external _SecCmsMessageDestroy (from Security)
                 (undefined) external _SecCmsMessageGetContent (from Security)
                 (undefined) external _SecCmsSignedDataGetCertificateList (from Security)
                 (undefined) external _SecPolicyCreateWithProperties (from Security)
                 (undefined) external _SecTrustCreateWithCertificates (from Security)
                 (undefined) external _SecTrustEvaluate (from Security)
                 (undefined) external _SecTrustSetAnchorCertificates (from Security)
                 (undefined) external _SecTrustSetAnchorCertificatesOnly (from Security)
                 (undefined) external _SecTrustSetPolicies (from Security)
                 (undefined) external _SecTrustSetVerifyDate (from Security)
                 (undefined) external _UTTypePlainText (from UniformTypeIdentifiers)
000000000000f8a8 (__TEXT,__text) external _WIn9UJ86JKdV4dM
000000000000ea9c (__TEXT,__text) external _X46O5IeS
000000000000f5b4 (__TEXT,__text) external _YlCJ3lg
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___memset_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___strcpy_chk (from libSystem)
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_impl (from libSystem)
                 (undefined) external __xpc_error_connection_interrupted (from libSystem)
                 (undefined) external __xpc_type_error (from libSystem)
                 (undefined) external _arc4random (from libSystem)
                 (undefined) external _atexit (from libSystem)
                 (undefined) external _basename (from libSystem)
                 (undefined) external _bootstrap_look_up (from libSystem)
                 (undefined) external _bootstrap_port (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _close (from libSystem)
                 (undefined) external _closedir (from libSystem)
                 (undefined) external _confstr (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_queue_create (from libSystem)
0000000000010500 (__TEXT,__text) external _dku592fbFAj
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
                 (undefined) external _fcntl (from libSystem)
000000000000ed10 (__TEXT,__text) external _fdjkDSAFjklaf2s
                 (undefined) external _free (from libSystem)
                 (undefined) external _fstat (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFBooleanTrue (from CoreFoundation)
                 (undefined) external _kCFErrorDomainOSStatus (from CoreFoundation)
                 (undefined) external _kCFTypeArrayCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryValueCallBacks (from CoreFoundation)
                 (undefined) external _kCFURLFileSecurityKey (from CoreFoundation)
                 (undefined) external _kCFURLIsHiddenKey (from CoreFoundation)
                 (undefined) external _kCFURLTypeIdentifierKey (from CoreFoundation)
                 (undefined) external _kIOMainPortDefault (from IOKit)
                 (undefined) external _kSecPolicyAppleRevocation (from Security)
                 (undefined) external _kSecPolicyAppleX509Basic (from Security)
                 (undefined) external _kSecPolicyMacAppStoreReceipt (from Security)
                 (undefined) external _kSecPolicyRevocationFlags (from Security)
                 (undefined) external _kSecPropertyKeyLabel (from Security)
                 (undefined) external _kSecPropertyKeyValue (from Security)
                 (undefined) external _lockf (from libSystem)
                 (undefined) external _lstat (from libSystem)
000000000001008c (__TEXT,__text) external _lxpgvVMLd0S7uRl
                 (undefined) external _mach_msg (from libSystem)
                 (undefined) external _mach_msg_destroy (from libSystem)
                 (undefined) external _mach_port_deallocate (from libSystem)
                 (undefined) external _mach_task_self_ (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _mig_dealloc_reply_port (from libSystem)
                 (undefined) external _mig_get_reply_port (from libSystem)
                 (undefined) external _mig_put_reply_port (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _notify_cancel (from libSystem)
                 (undefined) external _notify_check (from libSystem)
                 (undefined) external _notify_register_check (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_autorelease (from libobjc)
                 (undefined) external _objc_autoreleasePoolPop (from libobjc)
                 (undefined) external _objc_autoreleasePoolPush (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _open (from libSystem)
                 (undefined) external _opendir (from libSystem)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _proc_pidpath (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_once (from libSystem)
                 (undefined) external _pthread_rwlock_destroy (from libSystem)
                 (undefined) external _pthread_rwlock_init (from libSystem)
                 (undefined) external _pthread_rwlock_rdlock (from libSystem)
                 (undefined) external _pthread_rwlock_unlock (from libSystem)
                 (undefined) external _pthread_rwlock_wrlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _readdir (from libSystem)
                 (undefined) external _sched_yield (from libSystem)
                 (undefined) external _sleep (from libSystem)
                 (undefined) external _sscanf (from libSystem)
                 (undefined) external _stat (from libSystem)
                 (undefined) external _statfs (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _sysconf (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
                 (undefined) external _umask (from libSystem)
000000000001028c (__TEXT,__text) external _uvbOOqb28APZ
                 (undefined) external _vm_allocate (from libSystem)
                 (undefined) external _vm_deallocate (from libSystem)
                 (undefined) weak external _voucher_mach_msg_set (from libSystem)
000000000000e7fc (__TEXT,__text) external _wnnzAiOPdQe2
                 (undefined) external _xpc_connection_activate (from libSystem)
                 (undefined) external _xpc_connection_create_mach_service (from libSystem)
                 (undefined) external _xpc_connection_send_message_with_reply_sync (from libSystem)
                 (undefined) external _xpc_connection_set_event_handler (from libSystem)
                 (undefined) external _xpc_copy_description (from libSystem)
                 (undefined) external _xpc_dictionary_create_empty (from libSystem)
                 (undefined) external _xpc_dictionary_get_data (from libSystem)
                 (undefined) external _xpc_dictionary_set_data (from libSystem)
                 (undefined) external _xpc_get_type (from libSystem)
                 (undefined) external _xpc_release (from libSystem)
