00007ff909e77405 (__TEXT,__text) non-external +[AMFI isAvailable]
00007ff909e759b9 (__TEXT,__text) non-external -[PolicyScanTarget fsTypeName]
00007ff909e754f5 (__TEXT,__text) non-external -[PolicyScanTarget hasPowerfulEntitlements]
00007ff909e75495 (__TEXT,__text) non-external -[PolicyScanTarget hasResourceDirectorySlot]
00007ff909e749fb (__TEXT,__text) non-external -[PolicyScanTarget infoPlist]
00007ff909e73f1f (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:]
00007ff909e7a08f (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.1
00007ff909e7a118 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.2
00007ff909e7a193 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.3
00007ff909e7a1c6 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.4
00007ff909e7a1f9 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.5
00007ff909e7a274 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.6
00007ff909e73ea8 (__TEXT,__text) non-external -[PolicyScanTarget init]
00007ff909e759ea (__TEXT,__text) non-external -[PolicyScanTarget isAppWrapper]
00007ff909e75893 (__TEXT,__text) non-external -[PolicyScanTarget isBackingDMGNotarized]
00007ff909e759f7 (__TEXT,__text) non-external -[PolicyScanTarget isBadAppWrapper]
00007ff909e75a4f (__TEXT,__text) non-external -[PolicyScanTarget isBundled]
00007ff909e75abb (__TEXT,__text) non-external -[PolicyScanTarget isMovedToTrash]
00007ff909e7506b (__TEXT,__text) non-external -[PolicyScanTarget isNotarized]
00007ff909e75a29 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantinedMount]
00007ff909e74f82 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantined]
00007ff909e75a36 (__TEXT,__text) non-external -[PolicyScanTarget isScript]
00007ff909e7502d (__TEXT,__text) non-external -[PolicyScanTarget isUserApproved]
00007ff909e747d1 (__TEXT,__text) non-external -[PolicyScanTarget mainExecutableURL]
00007ff909e759cd (__TEXT,__text) non-external -[PolicyScanTarget modTime]
00007ff909e75ab1 (__TEXT,__text) non-external -[PolicyScanTarget mountTime]
00007ff909e759af (__TEXT,__text) non-external -[PolicyScanTarget objectID]
00007ff909e75987 (__TEXT,__text) non-external -[PolicyScanTarget originalURL]
00007ff909e7599b (__TEXT,__text) non-external -[PolicyScanTarget pathOnVolume]
00007ff909e75a8d (__TEXT,__text) non-external -[PolicyScanTarget pid]
00007ff909e7513f (__TEXT,__text) non-external -[PolicyScanTarget redactedDescription]
00007ff909e752e7 (__TEXT,__text) non-external -[PolicyScanTarget reloadSigningInfo]
00007ff909e75a80 (__TEXT,__text) non-external -[PolicyScanTarget setBackingStore:]
00007ff909e759e1 (__TEXT,__text) non-external -[PolicyScanTarget setCheckValidity:]
00007ff909e75aa5 (__TEXT,__text) non-external -[PolicyScanTarget setCsflags:]
00007ff909e75a74 (__TEXT,__text) non-external -[PolicyScanTarget setHasPowerfulEntitlements:]
00007ff909e75a68 (__TEXT,__text) non-external -[PolicyScanTarget setHasResourceDirectorySlot:]
00007ff909e75a04 (__TEXT,__text) non-external -[PolicyScanTarget setIsBadAppWrapper:]
00007ff909e75a5c (__TEXT,__text) non-external -[PolicyScanTarget setIsBundled:]
00007ff909e75ac8 (__TEXT,__text) non-external -[PolicyScanTarget setIsMovedToTrash:]
00007ff909e75a43 (__TEXT,__text) non-external -[PolicyScanTarget setIsScript:]
00007ff909e75a99 (__TEXT,__text) non-external -[PolicyScanTarget setPid:]
00007ff909e75ae1 (__TEXT,__text) non-external -[PolicyScanTarget setTrashedURL:]
00007ff909e75a1d (__TEXT,__text) non-external -[PolicyScanTarget setTriggeredByLibraryLoad:]
00007ff909e75b02 (__TEXT,__text) non-external -[PolicyScanTarget setValidationCategory:]
00007ff909e74ecd (__TEXT,__text) non-external -[PolicyScanTarget signingID]
00007ff909e74b00 (__TEXT,__text) non-external -[PolicyScanTarget signingInfo]
00007ff909e74a28 (__TEXT,__text) non-external -[PolicyScanTarget staticCodeRef]
00007ff909e74e18 (__TEXT,__text) non-external -[PolicyScanTarget teamID]
00007ff909e75323 (__TEXT,__text) non-external -[PolicyScanTarget trashedMainExe]
00007ff909e75ad4 (__TEXT,__text) non-external -[PolicyScanTarget trashedURL]
00007ff909e75a10 (__TEXT,__text) non-external -[PolicyScanTarget triggeredByLibraryLoad]
00007ff909e7597d (__TEXT,__text) non-external -[PolicyScanTarget url]
00007ff909e75af5 (__TEXT,__text) non-external -[PolicyScanTarget validationCategory]
00007ff909e759c3 (__TEXT,__text) non-external -[PolicyScanTarget volumePath]
00007ff909e75991 (__TEXT,__text) non-external -[PolicyScanTarget volumeUUID]
00007ff909e61670 (__TEXT,__text) non-external -[ProvenanceEntry .cxx_destruct]
00007ff909e611a1 (__TEXT,__text) non-external -[ProvenanceEntry attributes]
00007ff909e61655 (__TEXT,__text) non-external -[ProvenanceEntry bundleID]
00007ff909e6163a (__TEXT,__text) non-external -[ProvenanceEntry cdhash]
00007ff909e61412 (__TEXT,__text) non-external -[ProvenanceEntry createMetadata]
00007ff909e61333 (__TEXT,__text) non-external -[ProvenanceEntry description]
00007ff909e615b3 (__TEXT,__text) non-external -[ProvenanceEntry flags]
00007ff909e6122a (__TEXT,__text) non-external -[ProvenanceEntry redactedDescription]
00007ff909e615ce (__TEXT,__text) non-external -[ProvenanceEntry rootID]
00007ff909e6165f (__TEXT,__text) non-external -[ProvenanceEntry setBundleID:]
00007ff909e61644 (__TEXT,__text) non-external -[ProvenanceEntry setCdhash:]
00007ff909e615bd (__TEXT,__text) non-external -[ProvenanceEntry setFlags:]
00007ff909e615d8 (__TEXT,__text) non-external -[ProvenanceEntry setRootID:]
00007ff909e61629 (__TEXT,__text) non-external -[ProvenanceEntry setSigningID:]
00007ff909e6160e (__TEXT,__text) non-external -[ProvenanceEntry setTeamID:]
00007ff909e615a2 (__TEXT,__text) non-external -[ProvenanceEntry setUniqueID:]
00007ff909e615f3 (__TEXT,__text) non-external -[ProvenanceEntry setUrl:]
00007ff909e6161f (__TEXT,__text) non-external -[ProvenanceEntry signingID]
00007ff909e61604 (__TEXT,__text) non-external -[ProvenanceEntry teamID]
00007ff909e61598 (__TEXT,__text) non-external -[ProvenanceEntry uniqueID]
00007ff909e615e9 (__TEXT,__text) non-external -[ProvenanceEntry url]
00007ff909e777b9 (__TEXT,__text) non-external -[SPBundleProtection .cxx_destruct]
00007ff909e776a7 (__TEXT,__text) non-external -[SPBundleProtection dealloc]
00007ff909e775d6 (__TEXT,__text) non-external -[SPBundleProtection init]
00007ff909e776e9 (__TEXT,__text) non-external -[SPBundleProtection sendMetricFromTCCWithURL:withPID:withError:]
00007ff909e77e6a (__TEXT,__text) non-external -[SPDeveloperPolicy .cxx_destruct]
00007ff909e77dfc (__TEXT,__text) non-external -[SPDeveloperPolicy createLocalDevelopmentCertificateForUser:error:]
00007ff909e77cd2 (__TEXT,__text) non-external -[SPDeveloperPolicy dealloc]
00007ff909e77c01 (__TEXT,__text) non-external -[SPDeveloperPolicy init]
00007ff909e77d14 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperModeEnabled]
00007ff909e77dd2 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperToolEnvironmentWithError:]
00007ff909e77e57 (__TEXT,__text) non-external -[SPDeveloperPolicy registerDevelopmentTeamWithIdentifier:error:]
00007ff909e77e4c (__TEXT,__text) non-external -[SPDeveloperPolicy removeLocalDevelopmentCertificateForUser:error:]
00007ff909e77d40 (__TEXT,__text) non-external -[SPDeveloperPolicy setDeveloperModeEnabled:error:]
00007ff909e77e5f (__TEXT,__text) non-external -[SPDeveloperPolicy unregisterDevelopmentTeamWithIdentifier:error:]
00007ff909e6ad8f (__TEXT,__text) non-external -[SPExecutionHistoryItem .cxx_destruct]
00007ff909e6ad67 (__TEXT,__text) non-external -[SPExecutionHistoryItem cdHash]
00007ff909e6ad7b (__TEXT,__text) non-external -[SPExecutionHistoryItem developerName]
00007ff909e6ab57 (__TEXT,__text) non-external -[SPExecutionHistoryItem encodeWithCoder:]
00007ff909e6ad3f (__TEXT,__text) non-external -[SPExecutionHistoryItem execPath]
00007ff909e6a94d (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithCoder:]
00007ff909e6a676 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00007ff909e6a668 (__TEXT,__text) non-external -[SPExecutionHistoryItem init]
00007ff909e6ad85 (__TEXT,__text) non-external -[SPExecutionHistoryItem lastSeen]
00007ff909e6ad49 (__TEXT,__text) non-external -[SPExecutionHistoryItem mmapPath]
00007ff909e6ad71 (__TEXT,__text) non-external -[SPExecutionHistoryItem responsiblePath]
00007ff909e6ad53 (__TEXT,__text) non-external -[SPExecutionHistoryItem signingID]
00007ff909e6ad5d (__TEXT,__text) non-external -[SPExecutionHistoryItem teamID]
00007ff909e6ddec (__TEXT,__text) non-external -[SPExecutionPolicy .cxx_destruct]
00007ff909e6d28d (__TEXT,__text) non-external -[SPExecutionPolicy addBlockedSoftwareOverride:error:]
00007ff909e6d1a4 (__TEXT,__text) non-external -[SPExecutionPolicy addGatekeeperUserIntent:error:]
00007ff909e6dd31 (__TEXT,__text) non-external -[SPExecutionPolicy allowGatekeeperPolicy:error:]
00007ff909e6d13f (__TEXT,__text) non-external -[SPExecutionPolicy blockedExecutionPolicyItems]
00007ff909e6ce8f (__TEXT,__text) non-external -[SPExecutionPolicy connection]
00007ff909e6cc15 (__TEXT,__text) non-external -[SPExecutionPolicy dealloc]
00007ff909e6cd9f (__TEXT,__text) non-external -[SPExecutionPolicy doGatekeeperProgressUpdate:withTotal:]
00007ff909e6d46a (__TEXT,__text) non-external -[SPExecutionPolicy getBlockedSoftwareOverride:error:]
00007ff909e6d902 (__TEXT,__text) non-external -[SPExecutionPolicy getGatekeeperInsightEnabled:]
00007ff909e6dbeb (__TEXT,__text) non-external -[SPExecutionPolicy getGatekeeperPolicyWithError:]
00007ff909e6d6fe (__TEXT,__text) non-external -[SPExecutionPolicy getStrictGatekeeperEnabledForDomain:error:]
00007ff909e6cb9a (__TEXT,__text) non-external -[SPExecutionPolicy init]
00007ff909e6d553 (__TEXT,__text) non-external -[SPExecutionPolicy isBlockedSoftware:error:]
00007ff909e6d9ed (__TEXT,__text) non-external -[SPExecutionPolicy isFastGatekeeperOverrideModeEnabled]
00007ff909e6dc76 (__TEXT,__text) non-external -[SPExecutionPolicy isGatekeeperPolicyAllowed:error:]
00007ff909e6d132 (__TEXT,__text) non-external -[SPExecutionPolicy legacyExecutionHistory]
00007ff909e6da47 (__TEXT,__text) non-external -[SPExecutionPolicy logGatekeeperOverrideForURL:withError:]
00007ff909e6cc5f (__TEXT,__text) non-external -[SPExecutionPolicy myProgressHandler]
00007ff909e6cc57 (__TEXT,__text) non-external -[SPExecutionPolicy progressBlock]
00007ff909e6d376 (__TEXT,__text) non-external -[SPExecutionPolicy setBlockedSoftwareOverride:isEnabled:error:]
00007ff909e6d9d3 (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperInsightDefault:]
00007ff909e6d7b9 (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperInsightEnabled:error:]
00007ff909e6db30 (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperPolicy:error:]
00007ff909e6cc75 (__TEXT,__text) non-external -[SPExecutionPolicy setProgressHandler:]
00007ff909e6d63c (__TEXT,__text) non-external -[SPExecutionPolicy setStrictGatekeeperEnabled:forDomain:error:]
00007ff909e69fe3 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) notifyInstalledContent:withInstallationType:error:]
00007ff909e695ec (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:]
00007ff909e79170 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.1
00007ff909e791f7 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.2
00007ff909e7927e (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.3
00007ff909e79317 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.4
00007ff909e793b0 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.5
00007ff909e7940a (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.6
00007ff909e7943e (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.7
00007ff909e6a0d7 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperScan:withScanOptions:withProgressHandler:error:]
00007ff909e695a3 (__TEXT,__text) non-external -[SPExecutionPolicyItem .cxx_destruct]
00007ff909e69599 (__TEXT,__text) non-external -[SPExecutionPolicyItem blockedReasonDescription]
00007ff909e69571 (__TEXT,__text) non-external -[SPExecutionPolicyItem cdHash]
00007ff909e69318 (__TEXT,__text) non-external -[SPExecutionPolicyItem encodeWithCoder:]
00007ff909e690c9 (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithCoder:]
00007ff909e68f9f (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithItemPath:signingID:teamID:cdHash:needsApproval:needsOverride:knownMalware:blockedReasonDescription:]
00007ff909e68f91 (__TEXT,__text) non-external -[SPExecutionPolicyItem init]
00007ff909e69553 (__TEXT,__text) non-external -[SPExecutionPolicyItem itemPath]
00007ff909e6958f (__TEXT,__text) non-external -[SPExecutionPolicyItem knownMalware]
00007ff909e6957b (__TEXT,__text) non-external -[SPExecutionPolicyItem needsApproval]
00007ff909e69585 (__TEXT,__text) non-external -[SPExecutionPolicyItem needsOverride]
00007ff909e6955d (__TEXT,__text) non-external -[SPExecutionPolicyItem signingID]
00007ff909e69567 (__TEXT,__text) non-external -[SPExecutionPolicyItem teamID]
00007ff909e73e80 (__TEXT,__text) non-external -[SPInstallationPolicy .cxx_destruct]
00007ff909e73b9a (__TEXT,__text) non-external -[SPInstallationPolicy canInstallPackage:withUserConsent:withHash:evaluateOnly:synchronousPrompt:error:]
00007ff909e73b58 (__TEXT,__text) non-external -[SPInstallationPolicy dealloc]
00007ff909e73a6d (__TEXT,__text) non-external -[SPInstallationPolicy init]
00007ff909e73cfc (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withHashMap:withUserConsent:error:]
00007ff909e73ccd (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withUserConsent:error:]
00007ff909e6afbe (__TEXT,__text) non-external -[SPKernelExtensionHistory .cxx_destruct]
00007ff909e6af50 (__TEXT,__text) non-external -[SPKernelExtensionHistory dealloc]
00007ff909e6adf9 (__TEXT,__text) non-external -[SPKernelExtensionHistory init]
00007ff909e6af92 (__TEXT,__text) non-external -[SPKernelExtensionHistory kernelExtensionHistory]
00007ff909e70200 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem .cxx_destruct]
00007ff909e701b0 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem bundleID]
00007ff909e701c4 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem cdHash]
