0000000182bba330 (__DATA,__data) non-external _C
0000000180a7c914 (__TEXT,__text) non-external __UTF2_mbrtowc
0000000180a7cb0c (__TEXT,__text) non-external __UTF2_mbsinit
0000000180a7cb28 (__TEXT,__text) non-external __UTF2_mbsnrtowcs
0000000180a7ca64 (__TEXT,__text) non-external __UTF2_wcrtomb
0000000180a7cccc (__TEXT,__text) non-external __UTF2_wcsnrtombs
0000000180a5bfdc (__TEXT,__text) non-external (was a private external) __UTF8_init
0000000180a5c054 (__TEXT,__text) non-external __UTF8_mbrtowc
0000000180a5c30c (__TEXT,__text) non-external __UTF8_mbsinit
0000000180a5c328 (__TEXT,__text) non-external __UTF8_mbsnrtowcs
0000000180a5c244 (__TEXT,__text) non-external __UTF8_wcrtomb
0000000180a5c4cc (__TEXT,__text) non-external __UTF8_wcsnrtombs
0000000180a4b314 (__TEXT,__text) external ___Balloc_D2A
0000000180a4b4b0 (__TEXT,__text) external ___Bfree_D2A
0000000180a3be3c (__TEXT,__text) external ____mb_cur_max
0000000180a3be68 (__TEXT,__text) external ____mb_cur_max_l
0000000180a5aff0 (__TEXT,__text) external ____runetype
0000000180a5af48 (__TEXT,__text) external ____runetype_l
0000000180a5bef0 (__TEXT,__text) external ____tolower
0000000180a5be4c (__TEXT,__text) external ____tolower_l
0000000180a5bfb8 (__TEXT,__text) external ____toupper
0000000180a5bf14 (__TEXT,__text) external ____toupper_l
0000000180a99b70 (__TEXT,__text) non-external (was a private external) ___abort
0000000180a4604c (__TEXT,__text) external ___add_ovflpage
0000000180a45dc4 (__TEXT,__text) external ___addel
0000000180a4c0a0 (__TEXT,__text) external ___any_on_D2A
0000000180a98f48 (__TEXT,__text) external ___assert_rtn
0000000182bc6ce8 (__DATA,__bss) non-external ___atexit
0000000180a7d0e8 (__TEXT,__text) non-external (was a private external) ___atexit_init
0000000182bc6cf0 (__DATA,__bss) non-external ___atexit_new_registration
0000000180a4bc30 (__TEXT,__text) external ___b2d_D2A
0000000180a4453c (__TEXT,__text) external ___big_delete
0000000180a44288 (__TEXT,__text) external ___big_insert
0000000180a44be8 (__TEXT,__text) external ___big_keydata
0000000180a44870 (__TEXT,__text) external ___big_return
0000000180a44d70 (__TEXT,__text) external ___big_split
0000000180a9b480 (__TEXT,__const) external ___bigtens_D2A
0000000180a3efd0 (__TEXT,__text) external ___bt_close
0000000180a42d50 (__TEXT,__text) external ___bt_cmp
0000000180a42e1c (__TEXT,__text) external ___bt_defcmp
0000000180a42e60 (__TEXT,__text) external ___bt_defpfx
0000000180a3f448 (__TEXT,__text) external ___bt_delete
0000000180a3fab8 (__TEXT,__text) external ___bt_dleaf
0000000180a408c8 (__TEXT,__text) external ___bt_fd
0000000180a41924 (__TEXT,__text) non-external ___bt_first
0000000180a40ccc (__TEXT,__text) external ___bt_free
0000000180a40144 (__TEXT,__text) external ___bt_get
0000000180a40cf4 (__TEXT,__text) external ___bt_new
0000000180a40238 (__TEXT,__text) external ___bt_open
0000000180a3fe98 (__TEXT,__text) non-external ___bt_pdelete
0000000180a3f16c (__TEXT,__text) external ___bt_pgin
0000000180a3f2ec (__TEXT,__text) external ___bt_pgout
0000000180a40d70 (__TEXT,__text) external ___bt_put
0000000180a400b4 (__TEXT,__text) non-external ___bt_relink
0000000180a42bac (__TEXT,__text) external ___bt_ret
0000000180a41280 (__TEXT,__text) external ___bt_search
0000000180a414d0 (__TEXT,__text) external ___bt_seq
0000000180a418c8 (__TEXT,__text) external ___bt_setcur
0000000180a41b3c (__TEXT,__text) external ___bt_split
0000000180a3f748 (__TEXT,__text) non-external ___bt_stkacq
0000000180a3f090 (__TEXT,__text) external ___bt_sync
0000000180a452f4 (__TEXT,__text) external ___buf_free
0000000180a452c4 (__TEXT,__text) non-external (was a private external) ___buf_init
0000000182bba338 (__DATA,__data) non-external ___c_locale
0000000180a8ba70 (__TEXT,__text) non-external ___calc_left_pad
0000000180a43d88 (__TEXT,__text) external ___call_hash
0000000182bbb1f8 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
0000000180a97fd8 (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
0000000180a97ff4 (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
0000000180a4c444 (__TEXT,__text) non-external (was a private external) ___chk_init
0000000180a98010 (__TEXT,__text) non-external (was a private external) ___chk_overlap
0000000182bc6e58 (__DATA,__common) external ___cleanup
0000000180a4ba84 (__TEXT,__text) external ___cmp_D2A
0000000180a5782c (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
0000000180a579fc (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
0000000180a57b78 (__TEXT,__text) external ___collate_equiv_match
0000000180a57ea0 (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
0000000180a56ea0 (__TEXT,__text) non-external (was a private external) ___collate_err
0000000182bba9f0 (__DATA,__data) external ___collate_load_error
0000000180a56180 (__TEXT,__text) non-external (was a private external) ___collate_load_tables
0000000182bbc180 (__DATA,__bss) non-external ___collate_load_tables.cache
0000000180a56600 (__TEXT,__text) non-external ___collate_load_tables_legacy
0000000180a572e8 (__TEXT,__text) external ___collate_lookup
0000000180a56f5c (__TEXT,__text) external ___collate_lookup_l
0000000180a574cc (__TEXT,__text) non-external (was a private external) ___collate_lookup_which
0000000180a573c8 (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
0000000180a57fe0 (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
0000000182bbc188 (__DATA,__bss) non-external ___collate_range_cmp.s1
0000000182bbc190 (__DATA,__bss) non-external ___collate_range_cmp.s2
0000000180a56c30 (__TEXT,__text) non-external (was a private external) ___collate_substitute
0000000180a56e3c (__TEXT,__text) non-external (was a private external) ___collate_wcsdup
0000000180a575d8 (__TEXT,__text) non-external (was a private external) ___collate_xfrm
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
0000000180a3472c (__TEXT,__text) non-external (was a private external) ___confstr_init
0000000180a3ebd0 (__TEXT,__text) non-external (was a private external) ___copy_assignment_8_8_t0w8_pa0_28660_8_pa0_36689_16_pa0_31171_24_pa0_29245_32
0000000180a4c024 (__TEXT,__text) external ___copybits_D2A
0000000180a85010 (__TEXT,__text) non-external ___cvt
0000000182bc6d60 (__DATA,__bss) non-external ___cvt.s
0000000180a7d2bc (__TEXT,__text) external ___cxa_atexit
0000000180a7d5c8 (__TEXT,__text) external ___cxa_finalize
0000000180a7d2f0 (__TEXT,__text) external ___cxa_finalize_ranges
0000000180a4bd30 (__TEXT,__text) external ___d2b_D2A
0000000182bc6e10 (__DATA,__common) non-external (was a private external) ___darwin_altzone
0000000180a42fc8 (__TEXT,__text) non-external ___dberr
0000000180a42f70 (__TEXT,__text) external ___dbpanic
0000000182be13e0 (__AUTH,__data) external ___default_hash
0000000180a45504 (__TEXT,__text) external ___delpair
0000000180a5b6d0 (__TEXT,__text) non-external (was a private external) ___detect_path_locale
0000000180a4bad8 (__TEXT,__text) external ___diff_D2A
0000000182bbbed8 (__DATA,__bss) non-external ___dirhelper_func
0000000180a4927c (__TEXT,__text) external ___dtoa
0000000182bc6e78 (__DATA,__common) non-external (was a private external) ___env_owned
0000000180a7d978 (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
0000000182bc6cf4 (__DATA,__bss) non-external ___environ_lock_obj
                 (undefined) external ___error (from libsystem_kernel)
0000000180a79dc0 (__TEXT,__text) non-external (was a private external) ___errstr
0000000180a63c08 (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
0000000180a43c1c (__TEXT,__text) external ___expand_table
0000000182bbdc10 (__DATA,__bss) non-external ___fallback_evp
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
0000000180a601b8 (__TEXT,__text) external ___fflush
0000000180a60700 (__TEXT,__text) external ___fgetwc
0000000180a6467c (__TEXT,__text) non-external (was a private external) ___find_arguments
0000000180a446ac (__TEXT,__text) external ___find_bigpair
0000000180a447d4 (__TEXT,__text) external ___find_last_page
0000000180a655b4 (__TEXT,__text) non-external (was a private external) ___find_warguments
0000000180a7d8a4 (__TEXT,__text) non-external (was a private external) ___findenv_locked
0000000180a5862c (__TEXT,__text) external ___fix_locale_grouping_str
0000000180a586f0 (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
0000000180a61610 (__TEXT,__text) non-external (was a private external) ___fputwc
0000000180a61bfc (__TEXT,__text) external ___fread
0000000180a469f4 (__TEXT,__text) external ___free_ovflpage
0000000180a4912c (__TEXT,__text) external ___freedtoa
0000000182bbb1fc (__DATA,__data) non-external (was a private external) ___ftell_conformance_fix
0000000180a35468 (__TEXT,__text) non-external ___fts_open
0000000180a4a0ac (__TEXT,__text) external ___gdtoa
0000000182bc6dc0 (__DATA,__common) external ___gdtoa_locks
0000000180a44f10 (__TEXT,__text) external ___get_buf
0000000180a5922c (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
0000000180a596b8 (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
0000000180a59928 (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
0000000180a794e8 (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
0000000180a5b4bc (__TEXT,__text) non-external (was a private external) ___get_locale_env
0000000180a4645c (__TEXT,__text) external ___get_page
0000000180a50250 (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
0000000182bbdbd8 (__DATA,__bss) non-external ___getevp.predicate
                 (undefined) external ___gettimeofday (from libsystem_kernel)
0000000182bb9d68 (__DATA,__data) non-external (was a private external) ___global_locale
0000000180a7ce48 (__TEXT,__text) non-external (was a private external) ___guard_setup
0000000180a42fd0 (__TEXT,__text) external ___hash_open
0000000180a48d04 (__TEXT,__text) external ___hdtoa
0000000180a857f8 (__TEXT,__text) non-external (was a private external) ___heapsort_r
0000000180a4b694 (__TEXT,__text) external ___hi0bits_D2A
0000000180a49074 (__TEXT,__text) external ___hldtoa
0000000180a4b70c (__TEXT,__text) external ___i2b_D2A
0000000180a4692c (__TEXT,__text) external ___ibitmap
0000000180a829f8 (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
0000000180a5aad4 (__TEXT,__text) external ___isctype
0000000180a5aa94 (__TEXT,__text) external ___istype
0000000180a5ac2c (__TEXT,__text) external ___istype_l
0000000182bba969 (__DATA,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
0000000180a85ab4 (__TEXT,__text) external ___ldtoa
0000000180a3e1b4 (__TEXT,__text) external ___libc_init
0000000180a4b528 (__TEXT,__text) external ___lo0bits_D2A
0000000180a63cc4 (__TEXT,__text) non-external ___loadevp
0000000182bba328 (__DATA,__data) non-external (was a private external) ___locale_key
0000000180a454d4 (__TEXT,__text) external ___log2
0000000180a9c0c8 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
0000000180a4b984 (__TEXT,__text) external ___lshift_D2A
0000000180a5aa30 (__TEXT,__text) external ___maskrune
0000000180a5abc0 (__TEXT,__text) external ___maskrune_l
0000000180a4bfe0 (__TEXT,__text) external ___match_D2A
0000000182bbaac4 (__DATA,__data) external ___mb_cur_max
0000000182bbaac8 (__DATA,__data) external ___mb_sb_limit
0000000180a700c0 (__TEXT,__text) non-external ___mbsconv
0000000180a59e5c (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
0000000180a98280 (__TEXT,__text) external ___memccpy_chk
0000000180a985b0 (__TEXT,__text) external ___memcpy_chk
0000000180a981ec (__TEXT,__text) external ___memmove_chk
0000000180a98054 (__TEXT,__text) external ___memset_chk
0000000180a59018 (__TEXT,__text) non-external (was a private external) ___messages_load_locale
0000000182bbc198 (__DATA,__bss) non-external ___messages_load_locale.cache
0000000180a5924c (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
0000000182bbc1a8 (__DATA,__bss) non-external ___monetary_load_locale.cache
0000000180a4b73c (__TEXT,__text) external ___mult_D2A
0000000180a4b5dc (__TEXT,__text) external ___multadd_D2A
0000000180a5f938 (__TEXT,__text) non-external ___nls_free_resources
0000000180a9bbd1 (__TEXT,__const) non-external ___nogrouping
0000000180a490d4 (__TEXT,__text) external ___nrv_alloc_D2A
0000000180a3bbb4 (__TEXT,__text) non-external (was a private external) ___numeric_ctype
0000000180a596d8 (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
0000000182bbc1b8 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
0000000180a5b778 (__TEXT,__text) non-external (was a private external) ___open_path_locale
0000000180a50ba0 (__TEXT,__text) external ___opendir2
0000000180a50ccc (__TEXT,__text) non-external ___opendir_common
0000000180a40c00 (__TEXT,__text) external ___ovfl_delete
0000000180a40a18 (__TEXT,__text) external ___ovfl_get
0000000180a40b00 (__TEXT,__text) external ___ovfl_put
0000000180a6d4c8 (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
0000000182bbdc38 (__DATA,__bss) non-external ___parsefloat_buf.bsiz
0000000182bbdc30 (__DATA,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
0000000182bbaec8 (__DATA,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
0000000180a58d68 (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
0000000182bc6de0 (__DATA,__common) non-external (was a private external) ___popen_pidlist
0000000182bba970 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
0000000180a4b86c (__TEXT,__text) external ___pow5mult_D2A
0000000180a9b470 (__TEXT,__const) non-external ___pow5mult_D2A.p05
0000000180a88c3c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
0000000180a99edc (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
0000000180a87068 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
0000000180a99d00 (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
0000000180a871a8 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
0000000180a99d2c (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
0000000180a87be8 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
0000000180a99d84 (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
0000000180a87e38 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
0000000180a99db0 (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
0000000180a8943c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
0000000180a99f60 (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
0000000180a89424 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
0000000180a885d0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
0000000180a99e58 (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
0000000180a8869c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
0000000180a99e84 (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
0000000180a88980 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
0000000180a99eb0 (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
0000000180a88dd4 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
0000000180a99f08 (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
0000000180a890c0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
0000000180a99f34 (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
0000000180a89640 (__TEXT,__text) non-external (was a private external) ___printf_comp
0000000180a89ddc (__TEXT,__text) non-external (was a private external) ___printf_exec
0000000180a89224 (__TEXT,__text) non-external (was a private external) ___printf_flush
0000000180a68034 (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
0000000180a89370 (__TEXT,__text) non-external (was a private external) ___printf_out
0000000180a892c8 (__TEXT,__text) non-external (was a private external) ___printf_pad
0000000180a8925c (__TEXT,__text) non-external (was a private external) ___printf_puts
0000000180a88c88 (__TEXT,__text) non-external (was a private external) ___printf_render_chr
0000000180a87090 (__TEXT,__text) non-external (was a private external) ___printf_render_errno
0000000180a871f8 (__TEXT,__text) non-external (was a private external) ___printf_render_float
0000000180a99d58 (__TEXT,__text) non-external ___printf_render_float.cold.1
0000000180a87c18 (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
0000000180a87ed0 (__TEXT,__text) non-external (was a private external) ___printf_render_int
0000000180a99ddc (__TEXT,__text) non-external ___printf_render_int.cold.1
0000000180a99e2c (__TEXT,__text) non-external ___printf_render_int.cold.2
0000000180a89464 (__TEXT,__text) non-external (was a private external) ___printf_render_n
0000000180a8942c (__TEXT,__text) non-external (was a private external) ___printf_render_pct
0000000180a88608 (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
0000000180a886c4 (__TEXT,__text) non-external (was a private external) ___printf_render_quote
0000000180a889c0 (__TEXT,__text) non-external (was a private external) ___printf_render_str
0000000180a88dfc (__TEXT,__text) non-external (was a private external) ___printf_render_time
0000000180a890e8 (__TEXT,__text) non-external (was a private external) ___printf_render_vis
0000000180a4fda4 (__TEXT,__text) non-external (was a private external) ___private_getcwd
0000000182bbc060 (__DATA,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
0000000180a4663c (__TEXT,__text) external ___put_page
0000000180a9bc5c (__TEXT,__const) non-external (was a private external) ___puts_null__
0000000180a49140 (__TEXT,__text) external ___quorem_D2A
0000000180a4bf40 (__TEXT,__text) external ___ratio_D2A
0000000180a47408 (__TEXT,__text) external ___rec_close
0000000180a47704 (__TEXT,__text) external ___rec_delete
0000000180a47848 (__TEXT,__text) external ___rec_dleaf
0000000180a48254 (__TEXT,__text) external ___rec_fd
0000000180a47cc4 (__TEXT,__text) external ___rec_fmap
0000000180a47a84 (__TEXT,__text) external ___rec_fpipe
0000000180a47978 (__TEXT,__text) external ___rec_get
0000000180a4857c (__TEXT,__text) external ___rec_iput
0000000180a47eb4 (__TEXT,__text) external ___rec_open
0000000180a482ac (__TEXT,__text) external ___rec_put
0000000180a48b8c (__TEXT,__text) external ___rec_ret
0000000180a487bc (__TEXT,__text) external ___rec_search
0000000180a48998 (__TEXT,__text) external ___rec_seq
0000000180a474c0 (__TEXT,__text) external ___rec_sync
0000000180a47dd8 (__TEXT,__text) external ___rec_vmap
0000000180a47b9c (__TEXT,__text) external ___rec_vpipe
0000000180a453cc (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
0000000180a4b1cc (__TEXT,__text) external ___rshift_D2A
0000000180a49078 (__TEXT,__text) external ___rv_alloc_D2A
0000000180a4be58 (__TEXT,__text) external ___s2b_D2A
0000000182be13e8 (__AUTH,__data) external ___sF
0000000182bbabb8 (__DATA,__data) non-external ___sFX
0000000180a66ed4 (__TEXT,__text) external ___sclose
0000000182bbc3e0 (__DATA,__bss) non-external ___scounted
0000000182bc6df8 (__DATA,__common) external ___sdidinit
                 (undefined) external ___semwait_signal (from libsystem_kernel)
                 (undefined) external ___semwait_signal_nocancel (from libsystem_kernel)
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sendto_nocancel (from libsystem_kernel)
0000000180a82a70 (__TEXT,__text) non-external (was a private external) ___setenv_locked
0000000180a5b898 (__TEXT,__text) non-external (was a private external) ___setrunelocale
0000000182bbc390 (__DATA,__bss) non-external ___setrunelocale.CachedRuneLocale
0000000182bbc398 (__DATA,__bss) non-external ___setrunelocale.cache_lock
                 (undefined) external ___settimeofday (from libsystem_kernel)
0000000180a8bb2c (__TEXT,__text) non-external ___setup_vars
0000000180a610ac (__TEXT,__text) external ___sflags
0000000180a60048 (__TEXT,__text) external ___sflush
0000000180a60bd4 (__TEXT,__text) external ___sfp
0000000180a60f90 (__TEXT,__text) non-external (was a private external) ___sfprelease
0000000180a62ba0 (__TEXT,__text) external ___sfvwrite
0000000182bbae58 (__DATA,__data) external ___sglue
                 (undefined) external ___sigaltstack (from libsystem_kernel)
0000000180a60dcc (__TEXT,__text) external ___sinit
0000000180a60250 (__TEXT,__text) external ___slbexpand
0000000180a6385c (__TEXT,__text) external ___smakebuf
0000000180a982e4 (__TEXT,__text) external ___snprintf_chk
0000000180a98320 (__TEXT,__text) external ___snprintf_object_size_chk
0000000180a45680 (__TEXT,__text) external ___split_page
0000000180a7073c (__TEXT,__text) non-external ___sprint
0000000180a984d4 (__TEXT,__text) external ___sprintf_chk
0000000180a98544 (__TEXT,__text) external ___sprintf_object_size_chk
0000000180a66e8c (__TEXT,__text) external ___sread
0000000180a667ac (__TEXT,__text) external ___srefill
0000000180a66594 (__TEXT,__text) non-external (was a private external) ___srefill0
0000000180a6673c (__TEXT,__text) non-external (was a private external) ___srefill1
0000000180a668fc (__TEXT,__text) external ___srget
0000000180a66ecc (__TEXT,__text) external ___sseek
0000000180a7cfb0 (__TEXT,__text) external ___stack_chk_fail
0000000182bc6e18 (__DATA,__common) external ___stack_chk_guard
0000000182bbdc00 (__DATA,__bss) non-external ___stderr_evp
0000000182bbae38 (__DATA,__data) external ___stderrp
0000000182bbdbe0 (__DATA,__bss) non-external ___stdin_evp
0000000182bbae28 (__DATA,__data) external ___stdinp
0000000180a4c444 (__TEXT,__text) non-external (was a private external) ___stdio_init
0000000182bbdbf0 (__DATA,__bss) non-external ___stdout_evp
0000000182bbae30 (__DATA,__data) external ___stdoutp
0000000180a98464 (__TEXT,__text) external ___stpcpy_chk
0000000180a985d8 (__TEXT,__text) external ___stpncpy_chk
0000000180a98364 (__TEXT,__text) external ___strcat_chk
0000000180a4be38 (__TEXT,__text) external ___strcp_D2A
0000000180a98214 (__TEXT,__text) external ___strcpy_chk
0000000182bc6cc8 (__DATA,__bss) non-external ___strerror_ebuf
0000000180a97f00 (__TEXT,__text) external ___strlcat_chk
0000000180a9807c (__TEXT,__text) external ___strlcpy_chk
0000000180a980dc (__TEXT,__text) external ___strncat_chk
0000000180a9817c (__TEXT,__text) external ___strncpy_chk
0000000180a4c104 (__TEXT,__text) external ___sum_D2A
0000000180a6d49c (__TEXT,__text) external ___svfscanf
0000000180a6b610 (__TEXT,__text) non-external (was a private external) ___svfscanf_l
0000000180a9bca4 (__TEXT,__const) non-external ___svfscanf_l.basefix
0000000180a72d80 (__TEXT,__text) external ___swbuf
0000000180a63b2c (__TEXT,__text) external ___swhatbuf
0000000180a66eac (__TEXT,__text) external ___swrite
0000000180a72fb0 (__TEXT,__text) external ___swsetup
                 (undefined) external ___sysctl (from libsystem_kernel)
0000000182bbb158 (__DATA,__data) non-external ___systemfn_mutex
0000000182bbb1b8 (__DATA,__data) non-external ___systemfn_mutex
