00000001901ec92c (__TEXT,__text) non-external _Annihilate
0000000190220420 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl12
0000000190220c60 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl13
00000001902214a0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl14
0000000190221ce0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl15
0000000190222520 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl16
0000000190222e68 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl17
000000019021e320 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl8
000000019021eb60 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl9
00000001901fba48 (__TEXT,__text) non-external (was a private external) _BrotliConvertBitDepthsToSymbols
00000001902104a0 (__TEXT,__text) non-external (was a private external) _BrotliCreateBackwardReferences
00000001902049d0 (__TEXT,__text) non-external (was a private external) _BrotliCreateHqZopfliBackwardReferences
00000001901fb000 (__TEXT,__text) non-external (was a private external) _BrotliCreateHuffmanTree
0000000190204870 (__TEXT,__text) non-external (was a private external) _BrotliCreateZopfliBackwardReferences
00000001901f1ff0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderCreateInstance
00000001901f2110 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompress
00000001901f2230 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompressStream
00000001901f20b0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDestroyInstance
00000001901f6018 (__TEXT,__text) non-external (was a private external) _BrotliDecoderErrorString
00000001901f6010 (__TEXT,__text) non-external (was a private external) _BrotliDecoderGetErrorCode
00000001901f5ec0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHasMoreOutput
00000001901f7bf0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHuffmanTreeGroupInit
00000001901f5fc4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsFinished
00000001901f5fa4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsUsed
00000001901f1f9c (__TEXT,__text) non-external (was a private external) _BrotliDecoderSetParameter
00000001901f7bac (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanup
00000001901f7b2c (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanupAfterMetablock
00000001901f79fc (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateInit
00000001901f7ae0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateMetablockBegin
00000001901f5ef8 (__TEXT,__text) non-external (was a private external) _BrotliDecoderTakeOutput
00000001901e540c (__TEXT,__text) non-external (was a private external) _BrotliDecoderVersion
00000001901f1d28 (__TEXT,__text) non-external (was a private external) _BrotliDefaultAllocFunc
00000001901f1d30 (__TEXT,__text) non-external (was a private external) _BrotliDefaultFreeFunc
00000001901eda88 (__TEXT,__text) non-external (was a private external) _BrotliDestroyBlockSplit
00000001901e122c (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompress
00000001901e2a44 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompressStream
00000001901e1014 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCreateInstance
00000001901e1128 (__TEXT,__text) non-external (was a private external) _BrotliEncoderDestroyInstance
00000001901e5398 (__TEXT,__text) non-external (was a private external) _BrotliEncoderHasMoreOutput
00000001901e37c4 (__TEXT,__text) non-external (was a private external) _BrotliEncoderIsFinished
00000001901e1208 (__TEXT,__text) non-external (was a private external) _BrotliEncoderMaxCompressedSize
00000001901e0f20 (__TEXT,__text) non-external (was a private external) _BrotliEncoderSetParameter
00000001901e53a8 (__TEXT,__text) non-external (was a private external) _BrotliEncoderTakeOutput
00000001901e540c (__TEXT,__text) non-external (was a private external) _BrotliEncoderVersion
00000001901f4930 (__TEXT,__text) non-external _BrotliEnsureRingBuffer
00000001901fa1c8 (__TEXT,__text) non-external (was a private external) _BrotliEstimateBitCostsForLiterals
000000019021be48 (__TEXT,__text) non-external (was a private external) _BrotliFindAllStaticDictionaryMatches
0000000190230684 (__TEXT,__text) non-external _BrotliFindAllStaticDictionaryMatches.cold.1
0000000190230684 (__TEXT,__text) non-external _BrotliFindAllStaticDictionaryMatches.cold.2
00000001901ec7ec (__TEXT,__text) non-external (was a private external) _BrotliFree
00000001901ec9f4 (__TEXT,__text) non-external (was a private external) _BrotliGetDictionary
0000000190207d00 (__TEXT,__text) non-external (was a private external) _BrotliGetTransforms
0000000190201528 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceCommand
0000000190202124 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceDistance
000000019020092c (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceLiteral
000000019020124c (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineCommand
0000000190201e48 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineDistance
0000000190200650 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineLiteral
0000000190201738 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexCommand
0000000190202334 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexDistance
0000000190200b3c (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexLiteral
00000001902015c0 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapCommand
00000001902021bc (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapDistance
00000001902009c4 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapLiteral
00000001901f1e00 (__TEXT,__text) non-external (was a private external) _BrotliInitBitReader
00000001901eda78 (__TEXT,__text) non-external (was a private external) _BrotliInitBlockSplit
0000000190226bd8 (__TEXT,__text) non-external (was a private external) _BrotliInitDistanceParams
0000000190207c8c (__TEXT,__text) non-external (was a private external) _BrotliInitEncoderDictionary
00000001901ec674 (__TEXT,__text) non-external (was a private external) _BrotliInitMemoryManager
0000000190202fc0 (__TEXT,__text) non-external (was a private external) _BrotliInitZopfliNodes
000000019021da10 (__TEXT,__text) non-external (was a private external) _BrotliIsMostlyUTF8
0000000190227bf0 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHistograms
00000001901fb2bc (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHuffmanCountsForRle
000000019020d368 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostCommand
000000019020d758 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostDistance
000000019020cf90 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostLiteral
0000000190251068 (__TEXT,__const) non-external _BrotliReverseBits.kLut
00000001901f1e60 (__TEXT,__text) non-external (was a private external) _BrotliSafeReadBits32Slow
00000001901faf40 (__TEXT,__text) non-external (was a private external) _BrotliSetDepth
00000001901eca00 (__TEXT,__text) non-external (was a private external) _BrotliSetDictionaryData
00000001901edac8 (__TEXT,__text) non-external (was a private external) _BrotliSplitBlock
0000000190208f98 (__TEXT,__text) non-external (was a private external) _BrotliStoreHuffmanTree
0000000190285478 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeBitLengths
0000000190285472 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeSymbols
0000000190285460 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kStorageOrder
000000019020995c (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlock
000000019020bd34 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockFast
00000001901ec054 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
000000019020b3c0 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockTrivial
000000019020c0f8 (__TEXT,__text) non-external (was a private external) _BrotliStoreUncompressedMetaBlock
0000000190207d0c (__TEXT,__text) non-external (was a private external) _BrotliTransformDictionaryWord
00000001901f1e10 (__TEXT,__text) non-external (was a private external) _BrotliWarmupBitReader
00000001901ec848 (__TEXT,__text) non-external (was a private external) _BrotliWipeOutMemoryManager
00000001901fb644 (__TEXT,__text) non-external (was a private external) _BrotliWriteHuffmanTree
00000001902032f4 (__TEXT,__text) non-external (was a private external) _BrotliZopfliComputeShortestPath
0000000190202ff0 (__TEXT,__text) non-external (was a private external) _BrotliZopfliCreateCommands
000000019020a41c (__TEXT,__text) non-external _BuildAndStoreBlockSwitchEntropyCodes
00000001901ec4c0 (__TEXT,__text) non-external _BuildAndStoreCommandPrefixCode
000000019020afbc (__TEXT,__text) non-external _BuildAndStoreEntropyCodesDistance
000000019020b6c4 (__TEXT,__text) non-external _BuildAndStoreHuffmanTree
00000001901ec0fc (__TEXT,__text) non-external _BuildAndStoreLiteralPrefixCode
000000019020b620 (__TEXT,__text) non-external _BuildHistograms
0000000190230ed0 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapContinuation
0000000190230fd0 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapSimpleUTF8
00000001901e5418 (__TEXT,__text) non-external _ChooseDistanceParams
00000001901ec720 (__TEXT,__text) non-external _CollectGarbagePointers
0000000190227408 (__TEXT,__text) non-external _ComputeDistanceCost
00000001902047f8 (__TEXT,__text) non-external _ComputeShortestPathFromNodes
0000000190228898 (__TEXT,__text) non-external _ContextBlockSplitterFinishBlock
00000001901f4360 (__TEXT,__text) non-external _CopyUncompressedBlockToOutput
000000019021064c (__TEXT,__text) non-external _CreateBackwardReferencesNH2
00000001902112dc (__TEXT,__text) non-external _CreateBackwardReferencesNH3
0000000190218dfc (__TEXT,__text) non-external _CreateBackwardReferencesNH35
0000000190211d80 (__TEXT,__text) non-external _CreateBackwardReferencesNH4
0000000190214ee4 (__TEXT,__text) non-external _CreateBackwardReferencesNH40
000000019021602c (__TEXT,__text) non-external _CreateBackwardReferencesNH41
0000000190217170 (__TEXT,__text) non-external _CreateBackwardReferencesNH42
0000000190212bc4 (__TEXT,__text) non-external _CreateBackwardReferencesNH5
0000000190218344 (__TEXT,__text) non-external _CreateBackwardReferencesNH54
0000000190219b80 (__TEXT,__text) non-external _CreateBackwardReferencesNH55
0000000190213d08 (__TEXT,__text) non-external _CreateBackwardReferencesNH6
000000019021a994 (__TEXT,__text) non-external _CreateBackwardReferencesNH65
00000001901e64e4 (__TEXT,__text) non-external _DecideOverLiteralContextModeling
0000000190230dc0 (__TEXT,__const) non-external _DecideOverLiteralContextModeling.lut
00000001901f654c (__TEXT,__text) non-external _DecodeCommandBlockSwitch
00000001901f450c (__TEXT,__text) non-external _DecodeContextMap
00000001901f6f78 (__TEXT,__text) non-external _DecodeDistanceBlockSwitch
00000001901f6a5c (__TEXT,__text) non-external _DecodeLiteralBlockSwitch
00000001901f3340 (__TEXT,__text) non-external _DecodeMetaBlockLength
00000001901f3874 (__TEXT,__text) non-external _DecodeVarLenUint8
00000001901ebfb8 (__TEXT,__text) non-external _EmitUncompressedMetaBlock
000000019020a8bc (__TEXT,__text) non-external _EncodeContextMap
00000001901e3920 (__TEXT,__text) non-external _EncodeData
0000000190204654 (__TEXT,__text) non-external _EvaluateNode
00000001901e5e48 (__TEXT,__text) non-external _ExtendLastCommand
0000000190251108 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
000000019028e878 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00000001901e5ca8 (__TEXT,__text) non-external _GetBrotliStorage
00000001901e5d18 (__TEXT,__text) non-external _GetHashTable
0000000190227ea8 (__TEXT,__text) non-external _InitBlockSplitterCommand
0000000190228050 (__TEXT,__text) non-external _InitBlockSplitterDistance
0000000190227d04 (__TEXT,__text) non-external _InitBlockSplitterLiteral
0000000190230cc0 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandBits
00000001902a743c (__TEXT,__cstring) non-external _InitCommandPrefixCodes.kDefaultCommandCode
0000000190230c40 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandDepths
0000000190203d88 (__TEXT,__text) non-external _InitZopfliCostModel
00000001901e565c (__TEXT,__text) non-external _InitializeH5
00000001901e569c (__TEXT,__text) non-external _InitializeH6
00000001901e37e8 (__TEXT,__text) non-external _InjectFlushOrPushOutput
00000001901f60e0 (__TEXT,__text) non-external _InverseMoveToFrontTransform
00000001901fcc44 (__TEXT,__text) non-external _LZFSEIBootBufferCopy
00000001901fcbf4 (__TEXT,__text) non-external _LZFSEIBootBufferPush
00000001901fcb0c (__TEXT,__text) non-external _LZFSEIBootBufferPushN
0000000190229c78 (__TEXT,__text) non-external _MapStaticContexts
00000001901e59b4 (__TEXT,__text) non-external _PrepareH35
00000001901e56f4 (__TEXT,__text) non-external _PrepareH4
00000001901e5804 (__TEXT,__text) non-external _PrepareH40
00000001901e5804 (__TEXT,__text) non-external _PrepareH41
00000001901e58a0 (__TEXT,__text) non-external _PrepareH42
00000001901e5754 (__TEXT,__text) non-external _PrepareH5
00000001901e5950 (__TEXT,__text) non-external _PrepareH54
00000001901e5ac8 (__TEXT,__text) non-external _PrepareH55
00000001901e57a4 (__TEXT,__text) non-external _PrepareH6
00000001901e5b84 (__TEXT,__text) non-external _PrepareH65
00000001901f49e8 (__TEXT,__text) non-external _ProcessCommands
00000001901f3a24 (__TEXT,__text) non-external _ReadHuffmanCode
00000001901f6234 (__TEXT,__text) non-external _SafeDecodeCommandBlockSwitch
00000001901f6c4c (__TEXT,__text) non-external _SafeDecodeDistanceBlockSwitch
00000001901f66fc (__TEXT,__text) non-external _SafeDecodeLiteralBlockSwitch
00000001901f6040 (__TEXT,__text) non-external _SafeDecodeSymbol
00000001901f5384 (__TEXT,__text) non-external _SafeProcessCommands
00000001901f31e4 (__TEXT,__text) non-external _SaveErrorCode
00000001902059d0 (__TEXT,__text) non-external _SetCost
0000000190207f8c (__TEXT,__text) non-external _Shift
00000001901e5470 (__TEXT,__text) non-external _ShouldCompress
00000001902237b0 (__TEXT,__text) non-external _ShouldCompress
00000001901ec308 (__TEXT,__text) non-external _ShouldMergeBlock
0000000190230dd0 (__TEXT,__const) non-external _ShouldUseComplexStaticContextMap.kStaticContextMapComplexUTF8
00000001901ec8a4 (__TEXT,__text) non-external _SortPointers
0000000190231368 (__TEXT,__const) non-external _SortPointers.gaps
000000019022395c (__TEXT,__text) non-external _StoreCommands
00000001902861a0 (__TEXT,__const) non-external _StoreCommands.kInsertOffset
0000000190285fa0 (__TEXT,__const) non-external _StoreCommands.kNumExtraBits
000000019020a2e4 (__TEXT,__text) non-external _StoreCompressedMetaBlockHeader
000000019020baa8 (__TEXT,__text) non-external _StoreDataWithHuffmanCodes
000000019020b0a0 (__TEXT,__text) non-external _StoreSymbol
000000019020b22c (__TEXT,__text) non-external _StoreSymbolWithContext
000000019020a6a0 (__TEXT,__text) non-external _StoreTrivialContextMap
000000019020c288 (__TEXT,__text) non-external _StoreVarLenUint8
00000001901ec460 (__TEXT,__text) non-external _UpdateBits
00000001901e5e00 (__TEXT,__text) non-external _UpdateLastProcessedPos
0000000190203f20 (__TEXT,__text) non-external _UpdateNodes
00000001901f5e78 (__TEXT,__text) non-external _WrapRingBuffer
00000001901e608c (__TEXT,__text) non-external _WriteMetaBlockInternal
00000001901f31f8 (__TEXT,__text) non-external _WriteRingBuffer
0000000190203e04 (__TEXT,__text) non-external _ZopfliCostModelSetFromLiteralCosts
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00000001902a7380 (__TEXT,__const) non-external __ZL21counter_get_quantizerPK12cosl_counter.lut
0000000190251560 (__TEXT,__const) non-external __ZL22lzma_copy_with_patternPhjj.repeat_off
0000000190251470 (__TEXT,__const) non-external __ZL22lzma_copy_with_patternPhjj.repeat_perm
00000001e65960b8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00000001901f9084 (__TEXT,__text) non-external ___yzip_jobs_process_block_invoke
000000019028d268 (__TEXT,__const) non-external (was a private external) __dist_code
0000000190285790 (__TEXT,__const) non-external (was a private external) __kBrotliContextLookupTable
0000000190231100 (__TEXT,__const) non-external (was a private external) __kBrotliPrefixCodeRanges
000000019028d468 (__TEXT,__const) non-external (was a private external) __length_code
00000001902268c4 (__TEXT,__text) non-external (was a private external) __tr_align
00000001901d97f0 (__TEXT,__text) non-external (was a private external) __tr_flush_block
00000001901d7f38 (__TEXT,__text) non-external (was a private external) __tr_init
000000019022677c (__TEXT,__text) non-external (was a private external) __tr_stored_block
0000000190226b38 (__TEXT,__text) non-external (was a private external) __tr_tally
00000001901d7dfc (__TEXT,__text) non-external (was a private external) _adler32
00000001901e0170 (__TEXT,__text) non-external (was a private external) _adler32_vec
000000019028dc20 (__TEXT,__const) non-external _base_dist
000000019028dbac (__TEXT,__const) non-external _base_length
0000000190226aa8 (__TEXT,__text) non-external _bi_flush
00000001901dac0c (__TEXT,__text) non-external _bi_windup
000000019028db98 (__TEXT,__const) non-external _bl_order
0000000190285518 (__TEXT,__const) non-external _breverse.brev8
0000000190224a84 (__TEXT,__text) non-external (was a private external) _brotli_decode_buffer
0000000190224acc (__TEXT,__text) non-external (was a private external) _brotli_encode_buffer
0000000190224ca8 (__TEXT,__text) non-external (was a private external) _brotli_stream_end
0000000190224bd8 (__TEXT,__text) non-external (was a private external) _brotli_stream_init
0000000190224b18 (__TEXT,__text) non-external (was a private external) _brotli_stream_process
00000001901d9d40 (__TEXT,__text) non-external _build_tree
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00000001902249e4 (__TEXT,__text) non-external (was a private external) _codecGetFooterID
0000000190224060 (__TEXT,__text) non-external (was a private external) _codecReadHeader
0000000190224948 (__TEXT,__text) non-external (was a private external) _codecResetModel
00000001902244f4 (__TEXT,__text) non-external (was a private external) _codecWriteHeader
00000001901da854 (__TEXT,__text) non-external _compress_block
00000001901dc420 (__TEXT,__text) external _compression_decode_buffer
00000001901dc32c (__TEXT,__text) external _compression_decode_scratch_buffer_size
000000019021dcd0 (__TEXT,__text) external _compression_encode_buffer
000000019021db88 (__TEXT,__text) external _compression_encode_scratch_buffer_size
00000001901dae10 (__TEXT,__text) external _compression_stream_destroy
00000001901fa0b0 (__TEXT,__text) external _compression_stream_get_decode_state_size
00000001901fa060 (__TEXT,__text) external _compression_stream_get_encode_state_size
00000001901fa010 (__TEXT,__text) external _compression_stream_get_state_size
00000001901f9f7c (__TEXT,__text) external _compression_stream_identify_algorithm
00000001901d77c0 (__TEXT,__text) external _compression_stream_init
00000001901f9f3c (__TEXT,__text) external _compression_stream_init_with_state_buffer
00000001901fa100 (__TEXT,__text) external _compression_stream_is_state_valid
00000001901d7f88 (__TEXT,__text) external _compression_stream_process
00000001901dcd80 (__TEXT,__text) external _compression_stream_reinit
00000001eec531c0 (__AUTH_CONST,__const) non-external _configuration_table
00000001902000c8 (__TEXT,__text) non-external _convert_row_16to8
0000000190200050 (__TEXT,__text) non-external _convert_row_8to16
00000001901ffef0 (__TEXT,__text) non-external _convert_row_GUVAtoRGBA8888
00000001901ffbec (__TEXT,__text) non-external _convert_row_GUVtoRGB888
0000000190200378 (__TEXT,__text) non-external _convert_row_PlanarRGtoRG
0000000190200148 (__TEXT,__text) non-external _convert_row_RG88toRG
00000001901ffa7c (__TEXT,__text) non-external _convert_row_RGB888toGUV
00000001901ffd84 (__TEXT,__text) non-external _convert_row_RGBA8888toGUVA
00000001902002c8 (__TEXT,__text) non-external _convert_row_RGtoPlanarRG
0000000190200208 (__TEXT,__text) non-external _convert_row_RGtoRG88
0000000190200140 (__TEXT,__text) non-external _convert_row_copy16
00000001901ff040 (__TEXT,__text) non-external (was a private external) _convert_row_to_lsb
00000001901fefe0 (__TEXT,__text) non-external (was a private external) _convert_row_to_msb
00000001901ff8a0 (__TEXT,__text) non-external _convert_rows_from_bayer16
00000001901ff688 (__TEXT,__text) non-external _convert_rows_from_bayer8
00000001901ff218 (__TEXT,__text) non-external _convert_rows_from_quadra8
00000001901ff990 (__TEXT,__text) non-external _convert_rows_to_bayer16
00000001901ff794 (__TEXT,__text) non-external _convert_rows_to_bayer8
00000001901ff458 (__TEXT,__text) non-external _convert_rows_to_quadra8
000000019022dd84 (__TEXT,__text) external _cosl_codec_decode
000000019022d458 (__TEXT,__text) external _cosl_codec_encode
000000019022dc7c (__TEXT,__text) external _cosl_codec_get_decoded_size
000000019022e94c (__TEXT,__text) external _cosl_codec_get_id
000000019022e6ec (__TEXT,__text) external _cosl_codec_map
000000019022e8e8 (__TEXT,__text) external _cosl_codec_unmap
000000019022e270 (__TEXT,__text) external _cosl_model_create
000000019022e3a4 (__TEXT,__text) external _cosl_model_destroy
000000019022e3ec (__TEXT,__text) external _cosl_model_save_codec
000000019022d07c (__TEXT,__text) external _cosl_model_update
000000019020e9dc (__TEXT,__text) external _cosmix_codec_decode
000000019020e0e8 (__TEXT,__text) external _cosmix_codec_encode
000000019020e8ec (__TEXT,__text) external _cosmix_codec_get_decoded_size
000000019020f44c (__TEXT,__text) external _cosmix_codec_get_id
000000019020f298 (__TEXT,__text) external _cosmix_codec_map
000000019020f3ec (__TEXT,__text) external _cosmix_codec_unmap
000000019020eeb0 (__TEXT,__text) external _cosmix_model_create
000000019020efec (__TEXT,__text) external _cosmix_model_destroy
000000019020f034 (__TEXT,__text) external _cosmix_model_save_codec
000000019020db48 (__TEXT,__text) external _cosmix_model_update
0000000190223d84 (__TEXT,__text) non-external (was a private external) _crc32
000000019028eb14 (__TEXT,__const) non-external _crc32_lut4
0000000190286200 (__TEXT,__const) non-external _crc_table
00000001901fd814 (__TEXT,__text) non-external _create_rectangle_within_image
00000001901f1d38 (__TEXT,__text) non-external (was a private external) _create_thread
00000001901d8404 (__TEXT,__text) non-external (was a private external) _deflate
000000019022b6f8 (__TEXT,__text) non-external (was a private external) _deflateBound
000000019022bcac (__TEXT,__text) non-external (was a private external) _deflateCopy
00000001901dad14 (__TEXT,__text) non-external (was a private external) _deflateEnd
00000001901d7984 (__TEXT,__text) non-external (was a private external) _deflateInit2_
000000019022b444 (__TEXT,__text) non-external (was a private external) _deflateInit_
000000019022b5ec (__TEXT,__text) non-external (was a private external) _deflateParams
000000019022b5bc (__TEXT,__text) non-external (was a private external) _deflatePrime
00000001901d7cc0 (__TEXT,__text) non-external (was a private external) _deflateReset
000000019022b460 (__TEXT,__text) non-external (was a private external) _deflateSetDictionary
000000019022b590 (__TEXT,__text) non-external (was a private external) _deflateSetHeader
000000019022b6d4 (__TEXT,__text) non-external (was a private external) _deflateTune
000000019028eac8 (__TEXT,__const) non-external (was a private external) _deflate_copyright
000000019022c0c4 (__TEXT,__text) non-external _deflate_fast
000000019022b7ec (__TEXT,__text) non-external _deflate_huff
000000019022b958 (__TEXT,__text) non-external _deflate_rle
00000001901d8f30 (__TEXT,__text) non-external _deflate_slow
000000019022bf18 (__TEXT,__text) non-external _deflate_stored
                 (undefined) external _dispatch_apply (from libSystem)
00000001902088c0 (__TEXT,__text) non-external _emitMatch
000000019028db4c (__TEXT,__const) non-external _extra_blbits
000000019028dad4 (__TEXT,__const) non-external _extra_dbits
000000019028da60 (__TEXT,__const) non-external _extra_lbits
                 (undefined) external _fclose (from libSystem)
00000001901d9384 (__TEXT,__text) non-external _fill_window
00000001901dac80 (__TEXT,__text) non-external _flush_pending
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _free (from libSystem)
000000019022b3e4 (__TEXT,__text) non-external _fse_adjust_freqs
                 (undefined) external _fstat (from libSystem)
                 (undefined) external _fwrite (from libSystem)
000000019028e774 (__TEXT,__const) non-external _getDSymbolFromValue.sym
000000019020f5cc (__TEXT,__text) non-external _getDecoderTable
000000019028dd00 (__TEXT,__const) non-external _getLSymbolFromValue.sym
000000019028de3c (__TEXT,__const) non-external _getMSymbolFromValue.sym
00000001901ff0a4 (__TEXT,__text) non-external (was a private external) _get_conversion_set
0000000190223d78 (__TEXT,__text) non-external (was a private external) _get_crc_table
0000000190202f28 (__TEXT,__text) non-external (was a private external) _get_default_nthreads
00000001901fcf10 (__TEXT,__text) non-external _get_format_bits
00000001901fcd34 (__TEXT,__text) non-external (was a private external) _get_format_bytes_per_pixel
00000001901fcd68 (__TEXT,__text) non-external (was a private external) _get_format_components
00000001901fcdcc (__TEXT,__text) non-external (was a private external) _get_format_convert_at_once
00000001901fd0b4 (__TEXT,__text) non-external _get_format_plane_count
00000001901fcde8 (__TEXT,__text) non-external (was a private external) _get_format_process_at_once
00000001901f81e0 (__TEXT,__text) non-external (was a private external) _get_max_payload_size
00000001901f8224 (__TEXT,__text) non-external (was a private external) _get_plane_max_rice_size
0000000190202ee0 (__TEXT,__text) non-external (was a private external) _get_real_time
00000001901f8254 (__TEXT,__text) non-external (was a private external) _get_slice_height
00000001901f8238 (__TEXT,__text) non-external (was a private external) _get_slice_width
                 (undefined) external _gettimeofday (from libSystem)
00000001901fd11c (__TEXT,__text) non-external _header_fetch_from_payload
000000019022642c (__TEXT,__text) non-external _init_block
00000001901fcdfc (__TEXT,__text) non-external (was a private external) _is_format_invalid
00000001901fcd10 (__TEXT,__text) non-external (was a private external) _is_format_msb_layout
