00007ffb00f71e62 (__TEXT,__text) non-external _DiToMD5
00007ffb00f82be6 (__TEXT,__text) non-external _IOUserServerMain.cold.8
00007ffb00f82c09 (__TEXT,__text) non-external _IOUserServerMain.cold.9
00007ffb401dc920 (__DATA_CONST,__const) external _IOUserServer_Class
00007ffb427bc000 (__DATA_DIRTY,__common) external _IOVMPageSize
00007ffb401dcad0 (__DATA_CONST,__const) external _IOWorkGroup_Class
00007ffb00f71fcb (__TEXT,__text) external _MD5Final
00007ffb00f71de0 (__TEXT,__text) external _MD5Init
00007ffb00f71f5f (__TEXT,__text) non-external _MD5ToDi
00007ffb00f71ebb (__TEXT,__text) external _MD5Update
                 (undefined) external _NDR_record (from libSystem)
00007ffb401dcc80 (__DATA_CONST,__const) external _OSAction_Class
00007ffb401dc640 (__DATA_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
00007ffb401ddd80 (__DATA_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
00007ffb00f63eeb (__TEXT,__text) external _OSArrayAppendValue
00007ffb00f63b56 (__TEXT,__text) external _OSArrayApply
00007ffb00f63b05 (__TEXT,__text) external _OSArrayCreate
00007ffb00f631bf (__TEXT,__text) external _OSArrayGetCount
00007ffb00f63f79 (__TEXT,__text) external _OSArrayGetStringValue
00007ffb00f63fe9 (__TEXT,__text) external _OSArrayGetUInt64Value
00007ffb00f63f1f (__TEXT,__text) external _OSArrayGetValue
00007ffb00f63edc (__TEXT,__text) external _OSArrayReplaceValue
00007ffb00f63fa4 (__TEXT,__text) external _OSArraySetStringValue
00007ffb00f640af (__TEXT,__text) external _OSArraySetUInt64Value
00007ffb00f63d37 (__TEXT,__text) external _OSArraySetValue
00007ffb401dce30 (__DATA_CONST,__const) external _OSArray_Class
00007ffb401dcf28 (__DATA_CONST,__const) external _OSBoolean_Class
00007ffb401dd020 (__DATA_CONST,__const) external _OSBundle_Class
00007ffb00f61e67 (__TEXT,__text) external _OSCollectionTypeID
00007ffb00f837a4 (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
00007ffb00f61de4 (__TEXT,__text) external _OSCollectionTypeName
00007ffb00f83760 (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
00007ffb401dd118 (__DATA_CONST,__const) external _OSCollection_Class
00007ffb00f6675c (__TEXT,__text) external _OSCollectionsInitialize
00007ffb401dd210 (__DATA_CONST,__const) external _OSContainer_Class
00007ffb00f61ecb (__TEXT,__text) external _OSCreateObjectFromSerialization
00007ffb00f837ea (__TEXT,__text) non-external _OSCreateObjectFromSerialization.cold.1
00007ffb00f649f3 (__TEXT,__text) external _OSCreateSerializationFromBytes
00007ffb00f83d18 (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
00007ffb00f648f8 (__TEXT,__text) external _OSCreateSerializationFromObject
00007ffb00f63044 (__TEXT,__text) external _OSDataAppendBytes
00007ffb00f62fa9 (__TEXT,__text) external _OSDataCreate
00007ffb00f8398a (__TEXT,__text) non-external _OSDataCreate.cold.1
00007ffb00f62f55 (__TEXT,__text) external _OSDataGetBytes
00007ffb00f62f0c (__TEXT,__text) external _OSDataGetBytesPtr
00007ffb00f62f44 (__TEXT,__text) external _OSDataGetLength
00007ffb401dd370 (__DATA_CONST,__const) external _OSData_Class
00007ffb00f631cc (__TEXT,__text) external _OSDictionaryApply
00007ffb00f63161 (__TEXT,__text) external _OSDictionaryCreate
00007ffb00f631b2 (__TEXT,__text) external _OSDictionaryGetCount
00007ffb00f63884 (__TEXT,__text) external _OSDictionaryGetStringValue
00007ffb00f63a2b (__TEXT,__text) external _OSDictionaryGetUInt64Value
00007ffb00f637ff (__TEXT,__text) external _OSDictionaryGetValue
00007ffb00f639e6 (__TEXT,__text) external _OSDictionarySetStringValue
00007ffb00f63ac7 (__TEXT,__text) external _OSDictionarySetUInt64Value
00007ffb00f6348c (__TEXT,__text) external _OSDictionarySetValue
00007ffb401dd468 (__DATA_CONST,__const) external _OSDictionary_Class
00007ffb401dd560 (__DATA_CONST,__const) external _OSMappedFile_Class
00007ffb00f63106 (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00007ffb00f630e5 (__TEXT,__text) external _OSNumberGetUInt64Value
00007ffb401dd658 (__DATA_CONST,__const) external _OSNumber_Class
00007ffb00f64f82 (__TEXT,__text) external _OSObjectLog
00007ffb00f61e1f (__TEXT,__text) external _OSObjectRelease
00007ffb00f61e14 (__TEXT,__text) external _OSObjectRetain
00007ffb401dd750 (__DATA_CONST,__const) external _OSObject_Class
00007ffb401dd900 (__DATA_CONST,__const) external _OSOrderedSet_Class
00007ffb00f57db7 (__TEXT,__text) external _OSReportWithBacktrace
00007ffb00f64b22 (__TEXT,__text) external _OSSerializationGetBytes
00007ffb401dd9f8 (__DATA_CONST,__const) external _OSSerialization_Class
00007ffb401ddaf0 (__DATA_CONST,__const) external _OSSet_Class
00007ffb00f62996 (__TEXT,__text) external _OSStringCreate
00007ffb00f83899 (__TEXT,__text) non-external _OSStringCreate.cold.1
00007ffb00f838bc (__TEXT,__text) non-external _OSStringCreate.cold.2
00007ffb00f838dd (__TEXT,__text) non-external _OSStringCreate.cold.3
00007ffb00f6294b (__TEXT,__text) external _OSStringGetLength
00007ffb00f62912 (__TEXT,__text) external _OSStringGetStringPtr
00007ffb401ddbe8 (__DATA_CONST,__const) external _OSString_Class
00007ffb00f578ab (__TEXT,__text) external _OSSynchronizeIO
00007ffb428a6290 (__DATA,__bss) non-external _OSUniqueStrings
00007ffb00f580e0 (__TEXT,__text) external _PE_i_can_has_debugger
00007ffb00f7224b (__TEXT,__text) external _SHA1Final
00007ffb00f72060 (__TEXT,__text) external _SHA1Init
00007ffb00f721e8 (__TEXT,__text) non-external _SHA1ToDi
00007ffb00f72143 (__TEXT,__text) external _SHA1Update
00007ffb00f72a4e (__TEXT,__text) external _SHA256_Final
00007ffb00f729db (__TEXT,__text) external _SHA256_Init
00007ffb00f84490 (__TEXT,__text) non-external _SHA256_Init.cold.1
00007ffb00f72a1b (__TEXT,__text) external _SHA256_Update
00007ffb00f72aec (__TEXT,__text) external _SHA384_Final
00007ffb00f72a73 (__TEXT,__text) external _SHA384_Init
00007ffb00f844a9 (__TEXT,__text) non-external _SHA384_Init.cold.1
00007ffb00f72ab9 (__TEXT,__text) external _SHA384_Update
00007ffb00f72b8a (__TEXT,__text) external _SHA512_Final
00007ffb00f72b11 (__TEXT,__text) external _SHA512_Init
00007ffb00f844c2 (__TEXT,__text) non-external _SHA512_Init.cold.1
00007ffb00f72b57 (__TEXT,__text) external _SHA512_Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00007ffb00f58c9a (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
00007ffb00f72baf (__TEXT,__text) non-external __GLOBAL__sub_I_ObjectIntrospection.mm
00007ffb401ddce0 (__DATA_CONST,__const) external __IOBlockStorageDevice_Class
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
00007ffb00f59019 (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00007ffb00f8221b (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
00007ffb00f8223e (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.2
00007ffb00f5a971 (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00007ffb00f8286a (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00007ffb00f8288d (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00007ffb00f828b0 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00007ffb00f828d3 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00007ffb00f828f6 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
00007ffb00f59a3b (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00007ffb00f82545 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00007ffb00f82568 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00007ffb00f8258b (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00007ffb00f825ae (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
00007ffb00f592d4 (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00007ffb00f822ca (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
00007ffb00f63f01 (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
00007ffb00f66702 (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
00007ffb00f58e4d (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00007ffb00f821b2 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00007ffb00f821d5 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00007ffb00f821f8 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00007ffb00f64014 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
00007ffb00f64084 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
00007ffb00f6403f (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
00007ffb00f5906e (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
00007ffb00f6440c (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00007ffb00f83c00 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ffb00f83c23 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ffb00f83c46 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ffb00f83c69 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
00007ffb00f83c8c (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
00007ffb00f83caf (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.6
00007ffb00f573be (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
00007ffb00f574c0 (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
00007ffb00f59592 (__TEXT,__text) external __Z17OSObjectTryRetainP8OSObject
00007ffb00f8230e (__TEXT,__text) non-external __Z17OSObjectTryRetainP8OSObject.cold.1
00007ffb00f59688 (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
00007ffb00f5ad9b (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00007ffb00f58dc0 (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00007ffb00f58d23 (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00007ffb00f64b40 (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00007ffb00f83d3b (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
00007ffb00f591d8 (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00007ffb00f82284 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00007ffb00f822a7 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.2
00007ffb00f61e94 (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00007ffb00f837c7 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
00007ffb00f61e2a (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00007ffb00f83781 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
00007ffb00f56230 (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
00007ffb00f62ebc (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
00007ffb00f640ed (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00007ffb00f83a16 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00007ffb00f83a39 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00007ffb00f83a5c (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00007ffb00f83a7f (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00007ffb00f83aa2 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
00007ffb00f62e88 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00007ffb00f630c9 (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
00007ffb00f64224 (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00007ffb00f83ac5 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ffb00f83ae8 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ffb00f83b0b (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ffb00f5ad6e (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
00007ffb00f5a446 (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00007ffb00f80ee2 (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00007ffb00f572ce (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
00007ffb00f58535 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj
00007ffb00f82123 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj.cold.1
00007ffb00f6198e (__TEXT,__text) non-external __ZL10uiomessagePv
00007ffb00f80df6 (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
00007ffb00f65bfa (__TEXT,__text) non-external __ZL11OSSetCreatev
00007ffb00f84990 (__TEXT,__const) non-external __ZL11yytranslate
00007ffb00f81eee (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
00007ffb00f8081e (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00007ffb00f80e64 (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
00007ffb00f80f80 (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00007ffb00f80fb0 (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
00007ffb00f62c72 (__TEXT,__text) non-external __ZL12OSStringFindjU13block_pointerFbP8OSStringE
00007ffb00f62c30 (__TEXT,__text) non-external __ZL12OSStringHashPKcm
00007ffb00f83900 (__TEXT,__text) non-external __ZL12OSStringHashPKcm.cold.1
00007ffb00f815de (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
00007ffb00f73054 (__TEXT,__text) non-external __ZL13IOCommand_NewP11OSMetaClass
00007ffb00f78246 (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
00007ffb00f60783 (__TEXT,__text) non-external __ZL13IOThreadStartPv
00007ffb00f83509 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.1
00007ffb00f8352c (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.2
00007ffb00f8354f (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.3
00007ffb00f80e34 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
00007ffb00f78156 (__TEXT,__text) non-external __ZL14IOReporter_NewP11OSMetaClass
00007ffb00f5c1fa (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
00007ffb00f82f95 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
00007ffb00f82fb8 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
00007ffb00f82fdb (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
00007ffb00f82ffe (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.4
00007ffb00f7571a (__TEXT,__text) non-external __ZL15IOEventLink_NewP11OSMetaClass
00007ffb00f77ede (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
00007ffb00f801d4 (__TEXT,__text) non-external __ZL15IOWorkGroup_NewP11OSMetaClass
00007ffb00f80eb2 (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
00007ffb00f5abd2 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00007ffb00f82a0e (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00007ffb00f82a31 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00007ffb00f82a54 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00007ffb00f82a77 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00007ffb00f5b91a (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
00007ffb00f82d9a (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
00007ffb00f82dbd (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
00007ffb00f82de0 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
00007ffb00f82e03 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
00007ffb00f61395 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
00007ffb00f835fe (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
00007ffb00f83621 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.2
00007ffb00f83644 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.3
00007ffb00f83667 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.4
00007ffb00f8368a (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.5
00007ffb00f836ad (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.6
00007ffb00f836d0 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.7
