000000018276dda8 (__DATA,__data) external _NDR_record
000000018065dbdc (__TEXT,__text) external ___mac_syscall
000000018065dc08 (__TEXT,__text) external ___mach_bridge_remote_time
000000018065dc34 (__TEXT,__text) external ___mach_eventlink_signal
000000018065dc60 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
000000018065dc8c (__TEXT,__text) external ___mach_eventlink_wait_until
000000018065dcb8 (__TEXT,__text) external ___map_with_linking_np
000000018065dce4 (__TEXT,__text) external ___memorystatus_available_memory
000000018065dd10 (__TEXT,__text) external ___microstackshot
000000018065dd3c (__TEXT,__text) external ___mkdir_extended
000000018065dd68 (__TEXT,__text) external ___mkfifo_extended
000000018065dd94 (__TEXT,__text) external ___mmap
000000018065ddc0 (__TEXT,__text) external ___mprotect
000000018065ddec (__TEXT,__text) external ___msgctl
000000018065de18 (__TEXT,__text) external ___msgrcv_nocancel
000000018065de44 (__TEXT,__text) external ___msgsnd_nocancel
000000018065de70 (__TEXT,__text) external ___msgsys
000000018065de9c (__TEXT,__text) external ___msync
000000018065dec8 (__TEXT,__text) external ___msync_nocancel
000000018065def4 (__TEXT,__text) external ___munmap
000000018065df20 (__TEXT,__text) external ___nexus_create
000000018065df4c (__TEXT,__text) external ___nexus_deregister
000000018065df78 (__TEXT,__text) external ___nexus_destroy
000000018065dfa4 (__TEXT,__text) external ___nexus_get_opt
000000018065dfd0 (__TEXT,__text) external ___nexus_open
000000018065dffc (__TEXT,__text) external ___nexus_register
000000018065e028 (__TEXT,__text) external ___nexus_set_opt
000000018065e054 (__TEXT,__text) external ___open
000000018065e080 (__TEXT,__text) external ___open_dprotected_np
000000018065e0ac (__TEXT,__text) external ___open_extended
000000018065e0d8 (__TEXT,__text) external ___open_nocancel
000000018065e104 (__TEXT,__text) external ___openat
000000018065e130 (__TEXT,__text) external ___openat_dprotected_np
000000018065e15c (__TEXT,__text) external ___openat_nocancel
000000018276e4c8 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
000000018067068c (__TEXT,__text) external ___os_nexus_flow_add
0000000180670718 (__TEXT,__text) external ___os_nexus_flow_del
0000000180670880 (__TEXT,__text) external ___os_nexus_get_llink_info
0000000180670498 (__TEXT,__text) external ___os_nexus_ifattach
00000001806705c4 (__TEXT,__text) external ___os_nexus_ifdetach
000000018065e188 (__TEXT,__text) external ___persona
000000018065e1b4 (__TEXT,__text) external ___pipe
000000018065e1ec (__TEXT,__text) external ___poll_nocancel
000000018065e218 (__TEXT,__text) external ___posix_spawn
000000018065e244 (__TEXT,__text) external ___pread_nocancel
000000018065e270 (__TEXT,__text) external ___preadv_nocancel
000000018065e29c (__TEXT,__text) external ___proc_info
000000018065e2c8 (__TEXT,__text) external ___proc_info_extended_id
000000018065e2f4 (__TEXT,__text) external ___process_policy
000000018065e320 (__TEXT,__text) external ___pselect
000000018065e34c (__TEXT,__text) external ___pselect_nocancel
000000018065e378 (__TEXT,__text) external ___psynch_cvbroad
000000018065e3a4 (__TEXT,__text) external ___psynch_cvclrprepost
000000018065e3d0 (__TEXT,__text) external ___psynch_cvsignal
000000018065e3fc (__TEXT,__text) external ___psynch_cvwait
000000018065e428 (__TEXT,__text) external ___psynch_mutexdrop
000000018065e454 (__TEXT,__text) external ___psynch_mutexwait
000000018065e480 (__TEXT,__text) external ___psynch_rw_downgrade
000000018065e4ac (__TEXT,__text) external ___psynch_rw_longrdlock
000000018065e4d8 (__TEXT,__text) external ___psynch_rw_rdlock
000000018065e504 (__TEXT,__text) external ___psynch_rw_unlock
000000018065e530 (__TEXT,__text) external ___psynch_rw_unlock2
000000018065e55c (__TEXT,__text) external ___psynch_rw_upgrade
000000018065e588 (__TEXT,__text) external ___psynch_rw_wrlock
000000018065e5b4 (__TEXT,__text) external ___psynch_rw_yieldwrlock
000000018065e5e0 (__TEXT,__text) external ___pthread_canceled
000000018065e60c (__TEXT,__text) external ___pthread_chdir
000000018065e638 (__TEXT,__text) external ___pthread_fchdir
000000018065e664 (__TEXT,__text) external ___pthread_kill
000000018065e690 (__TEXT,__text) external ___pthread_markcancel
000000018065e6bc (__TEXT,__text) external ___pthread_sigmask
000000018065e6e8 (__TEXT,__text) external ___ptrace
000000018065e720 (__TEXT,__text) external ___pwrite_nocancel
000000018065e74c (__TEXT,__text) external ___pwritev_nocancel
000000018065e778 (__TEXT,__text) external ___read_nocancel
000000018065e7a4 (__TEXT,__text) external ___readv_nocancel
000000018065e7d0 (__TEXT,__text) external ___reboot
000000018065e7fc (__TEXT,__text) external ___record_system_event
000000018065e828 (__TEXT,__text) external ___recvfrom
000000018065e854 (__TEXT,__text) external ___recvfrom_nocancel
000000018065e880 (__TEXT,__text) external ___recvmsg
000000018065e8ac (__TEXT,__text) external ___recvmsg_nocancel
000000018276e4e8 (__DATA,__bss) non-external ___remove_counter
000000018065e8d8 (__TEXT,__text) external ___rename
000000018065e904 (__TEXT,__text) external ___renameat
000000018065e930 (__TEXT,__text) external ___renameatx_np
000000018065e95c (__TEXT,__text) external ___rmdir
000000018065d9a0 (__TEXT,__text) external ___sandbox_me
000000018065db00 (__TEXT,__text) external ___sandbox_mm
000000018065dbdc (__TEXT,__text) external ___sandbox_ms
000000018065dbb0 (__TEXT,__text) external ___sandbox_msp
000000018065e988 (__TEXT,__text) external ___select
000000018065e9b4 (__TEXT,__text) external ___select_nocancel
000000018065e9e0 (__TEXT,__text) external ___sem_open
000000018065ea0c (__TEXT,__text) external ___sem_wait_nocancel
000000018065ea38 (__TEXT,__text) external ___semctl
000000018065ea64 (__TEXT,__text) external ___semsys
000000018065ea90 (__TEXT,__text) external ___semwait_signal
000000018065eabc (__TEXT,__text) external ___semwait_signal_nocancel
000000018065eae8 (__TEXT,__text) external ___sendmsg
000000018065eb14 (__TEXT,__text) external ___sendmsg_nocancel
000000018065eb40 (__TEXT,__text) external ___sendto
000000018065eb6c (__TEXT,__text) external ___sendto_nocancel
000000018065eb98 (__TEXT,__text) external ___setattrlist
000000018065ebc4 (__TEXT,__text) external ___setlogin
000000018065ebf0 (__TEXT,__text) external ___setpriority
000000018065ec1c (__TEXT,__text) external ___setregid
000000018065ec48 (__TEXT,__text) external ___setreuid
000000018065ec74 (__TEXT,__text) external ___setrlimit
000000018065eca0 (__TEXT,__text) external ___setsgroups
000000018065eccc (__TEXT,__text) external ___settid
000000018065ecf8 (__TEXT,__text) external ___settid_with_pid
000000018065ed24 (__TEXT,__text) external ___settimeofday
000000018065ed50 (__TEXT,__text) external ___setwgroups
000000018065ed7c (__TEXT,__text) external ___sfi_ctl
000000018065eda8 (__TEXT,__text) external ___sfi_pidctl
000000018065edd4 (__TEXT,__text) external ___shared_region_check_np
000000018065ee00 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
000000018065ee2c (__TEXT,__text) external ___shm_open
000000018065ee58 (__TEXT,__text) external ___shmctl
000000018065ee84 (__TEXT,__text) external ___shmsys
000000018065eeb0 (__TEXT,__text) external ___sigaction
000000018065eedc (__TEXT,__text) external ___sigaltstack
000000018065ef08 (__TEXT,__text) external ___sigreturn
000000018065ef34 (__TEXT,__text) external ___sigsuspend
000000018065ef60 (__TEXT,__text) external ___sigsuspend_nocancel
000000018065ef8c (__TEXT,__text) external ___sigwait
000000018065efb8 (__TEXT,__text) external ___socketpair
000000018065efe4 (__TEXT,__text) external ___stack_snapshot_with_config
000000018065f010 (__TEXT,__text) external ___stat64_extended
000000018065f03c (__TEXT,__text) external ___stat_extended
000000018065f068 (__TEXT,__text) external ___syscall
000000018276e488 (__DATA,__common) external ___syscall_logger
000000018065f0a4 (__TEXT,__text) external ___sysctl
000000018065f0d0 (__TEXT,__text) external ___sysctlbyname
000000018065f0fc (__TEXT,__text) external ___telemetry
000000018065f128 (__TEXT,__text) external ___terminate_with_payload
000000018065f154 (__TEXT,__text) external ___thread_selfid
000000018065f180 (__TEXT,__text) external ___thread_selfusage
000000018065f1ac (__TEXT,__text) external ___ulock_wait
000000018065f1d8 (__TEXT,__text) external ___ulock_wait2
000000018065f204 (__TEXT,__text) external ___ulock_wake
000000018065f230 (__TEXT,__text) external ___umask_extended
000000018065f25c (__TEXT,__text) external ___unlink
000000018065f288 (__TEXT,__text) external ___unlinkat
000000018065f2b4 (__TEXT,__text) external ___vfork
000000018065f324 (__TEXT,__text) external ___wait4
000000018065f350 (__TEXT,__text) external ___wait4_nocancel
000000018065f37c (__TEXT,__text) external ___waitid_nocancel
000000018065f3a8 (__TEXT,__text) external ___work_interval_ctl
000000018065f3d4 (__TEXT,__text) external ___workq_kernreturn
000000018065f400 (__TEXT,__text) external ___workq_open
000000018065f42c (__TEXT,__text) external ___write_nocancel
000000018065f458 (__TEXT,__text) external ___writev_nocancel
000000018276de40 (__DATA,__common) external __cpu_capabilities
000000018276de44 (__DATA,__common) external __cpu_has_altivec
000000018276dbd8 (__DATA,__data) external __current_pid
000000018276e4a0 (__DATA,__bss) non-external __dlsym
000000018065c934 (__TEXT,__text) external __exclaves_ctl_trap
000000018065d24c (__TEXT,__text) external __exit
000000018065cbf0 (__TEXT,__text) external __get_cpu_capabilities
000000018276e4c0 (__DATA,__bss) non-external __gethostuuid_callback
00000001806677e4 (__TEXT,__text) external __getprivatesystemidentifier
00000001806776c0 (__TEXT,__text) external __host_page_size
00000001806713c8 (__TEXT,__text) external __init_cpu_capabilities
0000000180678fa0 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
000000018067a4d0 (__TEXT,__text) external __kernelrpc_mach_port_allocate
000000018067baf0 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
000000018067a3b0 (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
000000018067b97c (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
000000018065c724 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
000000018067d92c (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
000000018067c9ec (__TEXT,__text) external __kernelrpc_mach_port_construct
000000018065c778 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
000000018067a748 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
000000018065c730 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
000000018067a628 (__TEXT,__text) external __kernelrpc_mach_port_destroy
000000018067cb60 (__TEXT,__text) external __kernelrpc_mach_port_destruct
000000018065c784 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
000000018067c0f4 (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
000000018067c4e4 (__TEXT,__text) external __kernelrpc_mach_port_extract_member
000000018065c76c (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
000000018067b384 (__TEXT,__text) external __kernelrpc_mach_port_extract_right
000000018067b620 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
000000018065c82c (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
000000018067c604 (__TEXT,__text) external __kernelrpc_mach_port_get_context
000000018067a868 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
000000018067d750 (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
000000018067ae14 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
000000018067bd9c (__TEXT,__text) external __kernelrpc_mach_port_get_srights
000000018067cc80 (__TEXT,__text) external __kernelrpc_mach_port_guard
000000018065c838 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
000000018067d170 (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
000000018067c3c4 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
000000018065c760 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
000000018067b254 (__TEXT,__text) external __kernelrpc_mach_port_insert_right
000000018065c754 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
000000018067d5f8 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
000000018067c25c (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
000000018067c87c (__TEXT,__text) external __kernelrpc_mach_port_kobject
000000018067d3b8 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
000000018067a9bc (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
000000018065c73c (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
000000018067afac (__TEXT,__text) external __kernelrpc_mach_port_move_member
000000018065c748 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
0000000180679f74 (__TEXT,__text) external __kernelrpc_mach_port_names
000000018067aadc (__TEXT,__text) external __kernelrpc_mach_port_peek
000000018067a290 (__TEXT,__text) external __kernelrpc_mach_port_rename
000000018067b0cc (__TEXT,__text) external __kernelrpc_mach_port_request_notification
000000018065c928 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
000000018067b810 (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
000000018067c75c (__TEXT,__text) external __kernelrpc_mach_port_set_context
000000018067acf4 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
000000018067b500 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
000000018067cec4 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
000000018067bef4 (__TEXT,__text) external __kernelrpc_mach_port_space_info
000000018067d018 (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
000000018067d294 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
000000018067a138 (__TEXT,__text) external __kernelrpc_mach_port_type
000000018065c91c (__TEXT,__text) external __kernelrpc_mach_port_type_trap
000000018067cda4 (__TEXT,__text) external __kernelrpc_mach_port_unguard
000000018065c844 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
00000001806870c8 (__TEXT,__text) external __kernelrpc_mach_task_is_self
000000018067da98 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
000000018065c6dc (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
000000018067dbf4 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
000000018065c6f4 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
000000018067e868 (__TEXT,__text) external __kernelrpc_mach_vm_map
000000018065c718 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
000000018067dd14 (__TEXT,__text) external __kernelrpc_mach_vm_protect
000000018065c70c (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
000000018067f444 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
000000018065c6e8 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
000000018067df5c (__TEXT,__text) external __kernelrpc_mach_vm_read
000000018067eb58 (__TEXT,__text) external __kernelrpc_mach_vm_remap
000000018067f8e4 (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
000000018068d67c (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
000000018067bc7c (__TEXT,__text) external __kernelrpc_task_set_port_space
0000000180689948 (__TEXT,__text) external __kernelrpc_thread_policy
0000000180689abc (__TEXT,__text) external __kernelrpc_thread_policy_set
000000018068a404 (__TEXT,__text) external __kernelrpc_thread_set_policy
000000018068b93c (__TEXT,__text) external __kernelrpc_vm_map
000000018068c518 (__TEXT,__text) external __kernelrpc_vm_purgable_control
000000018068b030 (__TEXT,__text) external __kernelrpc_vm_read
000000018068bc2c (__TEXT,__text) external __kernelrpc_vm_remap
000000018068c670 (__TEXT,__text) external __kernelrpc_vm_remap_new
0000000180661e5c (__TEXT,__text) non-external __libkernel_bzero
000000018276e498 (__DATA,__bss) non-external __libkernel_functions
00000001827ce190 (__AUTH_CONST,__const) non-external __libkernel_generic_string_functions
0000000180661ef0 (__TEXT,__text) non-external __libkernel_memmove
0000000180661e68 (__TEXT,__text) non-external __libkernel_memset
0000000180661dfc (__TEXT,__text) non-external __libkernel_strchr
0000000180661e34 (__TEXT,__text) non-external __libkernel_strcmp
0000000180662008 (__TEXT,__text) non-external __libkernel_strcpy
000000018276dbe0 (__DATA,__data) non-external __libkernel_string_functions
0000000180662050 (__TEXT,__text) non-external __libkernel_strlcpy
0000000180661c2c (__TEXT,__text) non-external __libkernel_strlen
000000018276dbe8 (__DATA,__data) non-external __libkernel_voucher_functions
000000018068eb00 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
0000000180663740 (__TEXT,__text) non-external __mach_continuous_time
0000000180745180 (__DATA_CONST,__const) external __mach_errors
000000018066426c (__TEXT,__text) external __mach_fork_child
000000018066576c (__TEXT,__text) external __mach_snprintf
00000001806655f8 (__TEXT,__text) external __mach_vsnprintf
000000018276de48 (__DATA,__common) external __os_alloc_once_table
0000000180669150 (__TEXT,__text) non-external __posix_spawn_file_actions_grow
00000001806677e8 (__TEXT,__text) external __register_gethostuuid_callback
000000018276e4ac (__DATA,__bss) non-external __task_reply_port
0000000180661a28 (__TEXT,__text) external __thread_set_tsd_base
000000018068dfdc (__TEXT,__text) non-external _abort
000000018068e000 (__TEXT,__text) non-external _abort.380
000000018068e024 (__TEXT,__text) non-external _abort.382
000000018068e048 (__TEXT,__text) non-external _abort.393
000000018068e118 (__TEXT,__text) external _abort_with_payload
000000018068e08c (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
000000018068e06c (__TEXT,__text) external _abort_with_reason
000000018065cd24 (__TEXT,__text) external _accept
000000018065cd50 (__TEXT,__text) external _accept$NOCANCEL
000000018065f484 (__TEXT,__text) external _access
000000018065cd7c (__TEXT,__text) external _accessx_np
000000018065f4b0 (__TEXT,__text) external _acct
0000000180688004 (__TEXT,__text) external _act_get_state
0000000180688250 (__TEXT,__text) external _act_set_state
000000018065f4dc (__TEXT,__text) external _adjtime
000000018065f508 (__TEXT,__text) external _aio_cancel
000000018065f534 (__TEXT,__text) external _aio_error
000000018065f560 (__TEXT,__text) external _aio_fsync
000000018065f58c (__TEXT,__text) external _aio_read
000000018065f5b8 (__TEXT,__text) external _aio_return
000000018065f5e4 (__TEXT,__text) external _aio_suspend
000000018065cda8 (__TEXT,__text) external _aio_suspend$NOCANCEL
000000018065f610 (__TEXT,__text) external _aio_write
000000018065f63c (__TEXT,__text) external _audit
000000018065f668 (__TEXT,__text) external _audit_session_join
000000018065f694 (__TEXT,__text) external _audit_session_port
000000018065f6c0 (__TEXT,__text) external _audit_session_self
000000018065f6ec (__TEXT,__text) external _auditctl
000000018065f718 (__TEXT,__text) external _auditon
000000018065cdd4 (__TEXT,__text) external _bind
000000018276ddfc (__DATA,__common) external _bootstrap_port
0000000180661b7c (__TEXT,__text) non-external _bzero
0000000180665a38 (__TEXT,__text) external _cerror
0000000180665a14 (__TEXT,__text) external _cerror_nocancel
000000018065f744 (__TEXT,__text) external _change_fdguard_np
000000018065f770 (__TEXT,__text) external _chdir
000000018065f79c (__TEXT,__text) external _chflags
00000001806680f8 (__TEXT,__text) external _chmod
000000018065f7c8 (__TEXT,__text) external _chown
000000018065f7f4 (__TEXT,__text) external _chroot
0000000180673f94 (__TEXT,__text) external _clock_alarm
0000000180673c14 (__TEXT,__text) external _clock_alarm_reply
0000000180673dc8 (__TEXT,__text) external _clock_get_attributes
0000000180673c7c (__TEXT,__text) external _clock_get_time
0000000180673abc (__TEXT,__text) external _clock_set_attributes
00000001806739a0 (__TEXT,__text) external _clock_set_time
00000001806638c8 (__TEXT,__text) external _clock_sleep
000000018065c8f8 (__TEXT,__text) external _clock_sleep_trap
000000018066371c (__TEXT,__text) external _clonefile
000000018065f820 (__TEXT,__text) external _clonefileat
000000018065f84c (__TEXT,__text) external _close
000000018065cfe4 (__TEXT,__text) external _close$NOCANCEL
000000018066e8f8 (__TEXT,__text) external _coalition_create
000000018066e9a0 (__TEXT,__text) external _coalition_info_debug_info
000000018066e968 (__TEXT,__text) external _coalition_info_resource_usage
000000018066ea10 (__TEXT,__text) external _coalition_info_set_efficiency
000000018066e9d8 (__TEXT,__text) external _coalition_info_set_name
000000018066ea4c (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
000000018066e938 (__TEXT,__text) external _coalition_reap
000000018066e908 (__TEXT,__text) external _coalition_terminate
000000018065d094 (__TEXT,__text) external _connect
000000018065d0c0 (__TEXT,__text) external _connect$NOCANCEL
000000018065f878 (__TEXT,__text) external _connectx
000000018065f8a4 (__TEXT,__text) external _csops
000000018065f8d0 (__TEXT,__text) external _csops_audittoken
000000018066eb30 (__TEXT,__text) external _csr_check
000000018066eb60 (__TEXT,__text) external _csr_get_active_config
000000018065c994 (__TEXT,__text) external _debug_control_port_for_pid
000000018066ed58 (__TEXT,__text) external _debug_syscall_reject
000000018066ec48 (__TEXT,__text) external _debug_syscall_reject_config
000000018276dda0 (__DATA,__data) external _denap_boost_assertion_token
000000018065f8fc (__TEXT,__text) external _disconnectx
0000000180663e9c (__TEXT,__text) non-external _do_compat
000000018065f928 (__TEXT,__text) external _dup
000000018065f954 (__TEXT,__text) external _dup2
0000000180744b80 (__DATA_CONST,__const) non-external _err_codes_auth
0000000180744a10 (__DATA_CONST,__const) non-external _err_codes_env_mgr
0000000180744d78 (__DATA_CONST,__const) non-external _err_codes_exception
0000000180744a50 (__DATA_CONST,__const) non-external _err_codes_execd
0000000180744b50 (__DATA_CONST,__const) non-external _err_codes_io
00000001807445f8 (__DATA_CONST,__const) non-external _err_codes_kern
0000000180744d48 (__DATA_CONST,__const) non-external _err_codes_loader
0000000180745130 (__DATA_CONST,__const) non-external _err_codes_mach_mig
00000001807450a8 (__DATA_CONST,__const) non-external _err_codes_mach_rcv
0000000180744ff0 (__DATA_CONST,__const) non-external _err_codes_mach_send
0000000180744d18 (__DATA_CONST,__const) non-external _err_codes_machobj
0000000180744fb0 (__DATA_CONST,__const) non-external _err_codes_mig
0000000180744a70 (__DATA_CONST,__const) non-external _err_codes_netmemory
00000001807449f0 (__DATA_CONST,__const) non-external _err_codes_netname
0000000180744ac0 (__DATA_CONST,__const) non-external _err_codes_ns
0000000180744f68 (__DATA_CONST,__const) non-external _err_codes_rcv
