00000001e4299b74 (__TEXT,__text) non-external _DiToMD5
00000001e4288f78 (__TEXT,__text) external _OSDictionarySetUInt64Value
00000001e42888e4 (__TEXT,__text) external _OSDictionarySetValue
00000002104ec168 (__AUTH_CONST,__const) external _OSDictionary_Class
00000002104ec260 (__AUTH_CONST,__const) external _OSMappedFile_Class
00000001e428847c (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00000001e4288454 (__TEXT,__text) external _OSNumberGetUInt64Value
00000002104ec358 (__AUTH_CONST,__const) external _OSNumber_Class
00000001e428a97c (__TEXT,__text) external _OSObjectLog
00000001e4287314 (__TEXT,__text) external _OSObjectRelease
00000001e42872f0 (__TEXT,__text) external _OSObjectRetain
00000002104ec450 (__AUTH_CONST,__const) external _OSObject_Class
00000002104ec600 (__AUTH_CONST,__const) external _OSOrderedSet_Class
00000001e427c1b8 (__TEXT,__text) external _OSReportWithBacktrace
00000001e428a4ac (__TEXT,__text) external _OSSerializationGetBytes
00000002104ec6f8 (__AUTH_CONST,__const) external _OSSerialization_Class
00000002104ec7f0 (__AUTH_CONST,__const) external _OSSet_Class
00000001e4287ea8 (__TEXT,__text) external _OSStringCreate
00000001e42ab2dc (__TEXT,__text) non-external _OSStringCreate.cold.1
00000001e4287e54 (__TEXT,__text) external _OSStringGetLength
00000001e42ab2b0 (__TEXT,__text) non-external _OSStringGetLength.cold.1
00000001e4287e18 (__TEXT,__text) external _OSStringGetStringPtr
00000002104ec8e8 (__AUTH_CONST,__const) external _OSString_Class
00000001e427bbb8 (__TEXT,__text) external _OSSynchronizeIO
000000020cd32b60 (__DATA,__bss) non-external _OSUniqueStrings
00000001e427c5e4 (__TEXT,__text) external _PE_i_can_has_debugger
00000001e429a0b8 (__TEXT,__text) external _SHA1Final
00000001e4299e1c (__TEXT,__text) external _SHA1Init
00000001e429a044 (__TEXT,__text) non-external _SHA1ToDi
00000001e4299f54 (__TEXT,__text) external _SHA1Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00000001e427ccb8 (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
00000002104ec9e0 (__AUTH_CONST,__const) external __IOBlockStorageDevice_Class
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
00000001e427cfcc (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00000001e42a97f4 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
00000001e42a9820 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.2
00000001e427ea18 (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00000001e42a9ee0 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00000001e42a9f0c (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00000001e42a9f38 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00000001e42a9f64 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00000001e42a9f90 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
00000001e427d978 (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00000001e42a9ac8 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00000001e42a9af4 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00000001e42a9b20 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00000001e42a9b4c (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
00000001e42a9b9c (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.5
00000001e427d24c (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00000001e42a98d0 (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
00000001e4289760 (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
00000001e428c8d4 (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
00000001e427ce64 (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00000001e42a9770 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00000001e42a979c (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00000001e42a97c8 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00000001e42898d4 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
00000001e4289984 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
00000001e4289900 (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
00000001e427d02c (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
00000001e42a984c (__TEXT,__text) non-external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject.cold.1
00000001e42a9878 (__TEXT,__text) non-external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject.cold.2
00000001e4289db0 (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00000001e42ab6a4 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00000001e42ab6d0 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00000001e42ab6fc (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
00000001e42ab728 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
00000001e42ab754 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
00000001e427b76c (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
00000001e427b8a8 (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
00000001e427d5f0 (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
00000001e427f190 (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00000001e427cdd0 (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00000001e427cd1c (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00000001e428a4c8 (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00000001e42ab7ac (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
00000001e427d170 (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00000001e42a98a4 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00000001e42873c8 (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00000001e42ab1d4 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
00000001e4287338 (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00000001e42ab17c (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
00000001e427a0f8 (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
00000001e42a95b4 (__TEXT,__text) non-external __Z21OSUnserializeXMLparsePv.cold.1
00000001e42881e4 (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
00000001e4289a30 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00000001e42ab43c (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00000001e42ab468 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00000001e42ab494 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00000001e42ab4c0 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00000001e42ab4ec (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
00000001e42881ac (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00000001e42890d4 (__TEXT,__text) non-external (was a private external) __Z27OSCollectionEntryArrayApplyP15OSSerialization17OSCollectionEntryU13block_pointerFbmS0_S1_E
00000001e42ab38c (__TEXT,__text) non-external __Z27OSCollectionEntryArrayApplyP15OSSerialization17OSCollectionEntryU13block_pointerFbmS0_S1_E.cold.1
00000001e4289060 (__TEXT,__text) non-external (was a private external) __Z27OSCollectionEntryArrayCountP15OSSerialization17OSCollectionEntry
00000001e42ab334 (__TEXT,__text) non-external __Z27OSCollectionEntryArrayCountP15OSSerialization17OSCollectionEntry.cold.1
00000001e42ab360 (__TEXT,__text) non-external __Z27OSCollectionEntryArrayCountP15OSSerialization17OSCollectionEntry.cold.2
00000001e4288430 (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
00000001e4289b74 (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00000001e42ab518 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00000001e42ab544 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00000001e42ab570 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
00000001e427eb0c (__TEXT,__text) non-external (was a private external) __Z6ServerPvP17mach_msg_header_tS1_
00000001e42a9fbc (__TEXT,__text) non-external __Z6ServerPvP17mach_msg_header_tS1_.cold.1
00000001e42a9fe8 (__TEXT,__text) non-external __Z6ServerPvP17mach_msg_header_tS1_.cold.2
00000001e427f150 (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
00000001e427e3c4 (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00000001e42a7fc4 (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00000001e427b634 (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
00000001e4287110 (__TEXT,__text) non-external __ZL10uiomessagePv
00000001e42a7d68 (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
00000001e428ba78 (__TEXT,__text) non-external __ZL11OSSetCreatev
00000001e42acdc8 (__TEXT,__const) non-external __ZL11yytranslate
00000001e42a9510 (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
00000001e42a7700 (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00000001e42a7e88 (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
00000001e42a8164 (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00000001e42a81e4 (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
00000001e4288128 (__TEXT,__text) non-external __ZL12OSStringFindjPKcm
00000001e42a89d0 (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
00000001e429b044 (__TEXT,__text) non-external __ZL13IOCommand_NewP11OSMetaClass
00000001e429fadc (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
00000001e4285d68 (__TEXT,__text) non-external __ZL13IOThreadStartPv
00000001e42aae90 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.1
00000001e42aaebc (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.2
00000001e42aaee8 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.3
00000001e42a7e08 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
00000001e429f85c (__TEXT,__text) non-external __ZL14IOReporter_NewP11OSMetaClass
00000001e42806fc (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
00000001e42aa7dc (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
00000001e42aa808 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
00000001e42aa834 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
00000001e42aa860 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.4
00000001e429daec (__TEXT,__text) non-external __ZL15IOEventLink_NewP11OSMetaClass
00000001e429f51c (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
00000001e42a700c (__TEXT,__text) non-external __ZL15IOWorkGroup_NewP11OSMetaClass
00000001e42a7f44 (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
00000001e427edd0 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00000001e42aa014 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00000001e42aa040 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00000001e42aa06c (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00000001e42aa098 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00000001e427fcd4 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
00000001e42aa560 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
00000001e42aa58c (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
00000001e42aa5b8 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
00000001e42aa5e4 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
00000001e4286b04 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
00000001e42aafc4 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
00000001e42aaff0 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.2
00000001e42ab01c (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.3
00000001e42ab048 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.4
00000001e42ab074 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.5
00000001e42ab0a0 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.6
00000001e42ab0cc (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.7
000000020cd32b48 (__DATA,__bss) non-external __ZL15gIOThreadTLSKey
00000001e429b164 (__TEXT,__text) non-external __ZL16IODMACommand_NewP11OSMetaClass
00000001e42a57f0 (__TEXT,__text) non-external __ZL16IOUserClient_NewP11OSMetaClass
00000001e42a67e4 (__TEXT,__text) non-external __ZL16IOUserServer_NewP11OSMetaClass
00000001e42a7f08 (__TEXT,__text) non-external __ZL16OSCollection_NewP11OSMetaClass
00000001e427ef88 (__TEXT,__text) non-external __ZL16OSConsumeObjectsP16IORPCMessageMachb
00000001e427eff0 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00000001e42aa0c4 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00000001e42aa0f0 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00000001e42aa11c (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00000001e42aa148 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00000001e42aa174 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.5
00000001e42aa1a0 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.6
00000001e42a8044 (__TEXT,__text) non-external __ZL16OSDictionary_NewP11OSMetaClass
00000001e42a80e4 (__TEXT,__text) non-external __ZL16OSMappedFile_NewP11OSMetaClass
