00000001803435dc (__TEXT,__text) external _OSAtomicAdd32
0000000180345ad8 (__TEXT,__text) non-external __OSAtomicEnqueue_misalign
000000018034371c (__TEXT,__text) external __OSSpinLockLockSlow
0000000180345868 (__TEXT,__text) non-external __OSSpinLockLockYield
0000000180342da0 (__TEXT,__text) external ___bzero
                 (undefined) external ___error (from libsystem_kernel)
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00000001d91f6440 (__DATA_DIRTY,__common) non-external (was a private external) ___in_sigtramp
                 (undefined) external ___libkernel_platform_init (from libsystem_kernel)
0000000180342bb4 (__TEXT,__text) external ___libplatform_init
00000001803449d4 (__TEXT,__text) external ___os_log_simple_offset
0000000180345a98 (__TEXT,__text) external ___os_once_reset
0000000180342c04 (__TEXT,__text) non-external (was a private external) ___pfz_setup
0000000180346640 (__TEXT,__const) non-external (was a private external) ___platformVersionNumber
0000000180346608 (__TEXT,__const) non-external (was a private external) ___platformVersionString
000000018034272c (__TEXT,__text) external ___platform_sigaction
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sigaction (from libsystem_kernel)
                 (undefined) external ___sigaltstack (from libsystem_kernel)
                 (undefined) external ___sigreturn (from libsystem_kernel)
0000000180343974 (__TEXT,__text) non-external ___simple_bprintf
                 (undefined) external ___sysctl (from libsystem_kernel)
                 (undefined) external ___ulock_wait (from libsystem_kernel)
                 (undefined) external ___ulock_wake (from libsystem_kernel)
0000000180345c38 (__TEXT,__text) external __ctx_done
0000000180345f2c (__TEXT,__text) non-external (was a private external) __ctx_start
00000001803451f8 (__TEXT,__text) non-external __enlarge
000000018034600c (__TEXT,__text) non-external __enlarge.cold.1
                 (undefined) external __exit (from libsystem_kernel)
000000018034514c (__TEXT,__text) non-external __flush
00000001803450c4 (__TEXT,__text) non-external __flush_reset
000000018034677e (__TEXT,__cstring) non-external __h
00000001803414b4 (__TEXT,__text) external __longjmp
0000000180340a80 (__TEXT,__text) non-external __os_alloc
0000000180346218 (__TEXT,__text) non-external __os_alloc.cold.1
00000001d91f6438 (__DATA_DIRTY,__common) non-external (was a private external) __os_alloc_heap
0000000180340a34 (__TEXT,__text) external __os_alloc_once
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
0000000180342f7c (__TEXT,__text) non-external __os_alloc_slow
0000000180346034 (__TEXT,__text) non-external (was a private external) __os_lock_corruption_abort
00000001803434c8 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_lock
0000000180343504 (__TEXT,__text) non-external __os_lock_handoff_lock_slow
0000000180343828 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_trylock
00000001803434f8 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_unlock
0000000180345a34 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_lock
0000000180345a58 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_trylock
0000000180345a78 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_unlock
0000000180346180 (__TEXT,__text) non-external __os_lock_recursive_abort
0000000180343610 (__TEXT,__text) non-external (was a private external) __os_lock_spin_lock
000000018034594c (__TEXT,__text) non-external (was a private external) __os_lock_spin_trylock
0000000180343630 (__TEXT,__text) non-external (was a private external) __os_lock_spin_unlock
0000000180346670 (__TEXT,__const) non-external __os_lock_type_base
00000001da3b8050 (__AUTH_CONST,__const) external __os_lock_type_eliding
00000001da3b8070 (__AUTH_CONST,__const) external __os_lock_type_handoff
00000001da3b80b0 (__AUTH_CONST,__const) external __os_lock_type_nospin
00000001da3b8050 (__AUTH_CONST,__const) external __os_lock_type_spin
00000001da3b8050 (__AUTH_CONST,__const) external __os_lock_type_transactional
00000001da3b8090 (__AUTH_CONST,__const) external __os_lock_type_unfair
00000001803435e8 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_lock
00000001803459f4 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_trylock
0000000180345a14 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_unlock
0000000180344c68 (__TEXT,__text) external __os_log_simple
0000000180344e64 (__TEXT,__text) external __os_log_simple_parse
0000000180344e34 (__TEXT,__text) external __os_log_simple_parse_identifiers
0000000180344dc8 (__TEXT,__text) external __os_log_simple_parse_message
0000000180344d8c (__TEXT,__text) external __os_log_simple_parse_subsystem
0000000180344df8 (__TEXT,__text) external __os_log_simple_parse_timestamp
0000000180344d50 (__TEXT,__text) external __os_log_simple_parse_type
0000000180344af0 (__TEXT,__text) external __os_log_simple_send
0000000180344d28 (__TEXT,__text) external __os_log_simple_shim
000000018034137c (__TEXT,__text) external __os_nospin_lock_lock
00000001803429e0 (__TEXT,__text) non-external __os_nospin_lock_lock_slow
00000001803413b8 (__TEXT,__text) external __os_nospin_lock_trylock
000000018034139c (__TEXT,__text) external __os_nospin_lock_unlock
0000000180342ae0 (__TEXT,__text) non-external __os_nospin_lock_unlock_slow
00000001803408c0 (__TEXT,__text) external __os_once
0000000180340920 (__TEXT,__text) non-external __os_once_callout
0000000180342930 (__TEXT,__text) non-external __os_once_gate_broadcast
0000000180346158 (__TEXT,__text) non-external (was a private external) __os_once_gate_corruption_abort
0000000180346108 (__TEXT,__text) non-external (was a private external) __os_once_gate_recursive_abort
0000000180346130 (__TEXT,__text) non-external (was a private external) __os_once_gate_unowned_abort
000000018034279c (__TEXT,__text) non-external __os_once_gate_wait
00000001803426ac (__TEXT,__text) external __os_semaphore_create
0000000180346240 (__TEXT,__text) non-external __os_semaphore_create.cold.1
0000000180346268 (__TEXT,__text) non-external __os_semaphore_create.cold.2
00000001803426fc (__TEXT,__text) external __os_semaphore_dispose
0000000180346290 (__TEXT,__text) non-external __os_semaphore_dispose.cold.1
00000001803436a4 (__TEXT,__text) external __os_semaphore_signal
00000001803462b8 (__TEXT,__text) non-external __os_semaphore_signal.cold.1
00000001803436c4 (__TEXT,__text) external __os_semaphore_wait
00000001803462e0 (__TEXT,__text) non-external __os_semaphore_wait.cold.1
00000001803460ac (__TEXT,__text) non-external (was a private external) __os_unfair_lock_corruption_abort
000000018034103c (__TEXT,__text) non-external __os_unfair_lock_lock_slow
000000018034605c (__TEXT,__text) non-external (was a private external) __os_unfair_lock_recursive_abort
00000001803411ac (__TEXT,__text) non-external __os_unfair_lock_unlock_slow
0000000180346084 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_unowned_abort
                 (undefined) external __os_xbs_chrooted (from libsystem_kernel)
0000000180342da0 (__TEXT,__text) external __platform_bzero
0000000180345b28 (__TEXT,__text) external __platform_memccpy
0000000180340ba0 (__TEXT,__text) external __platform_memchr
0000000180340cb0 (__TEXT,__text) external __platform_memcmp
00000001803430d0 (__TEXT,__text) external __platform_memmove
0000000180342e00 (__TEXT,__text) external __platform_memset
0000000180340e40 (__TEXT,__text) external __platform_memset_pattern16
0000000180340e00 (__TEXT,__text) external __platform_memset_pattern4
0000000180340e20 (__TEXT,__text) external __platform_memset_pattern8
00000001803433c0 (__TEXT,__text) external __platform_strchr
0000000180340530 (__TEXT,__text) external __platform_strcmp
0000000180340b38 (__TEXT,__text) external __platform_strcpy
00000001da3b7fc8 (__AUTH_CONST,__const) non-external __platform_string_functions
00000001803415a0 (__TEXT,__text) external __platform_strlcat
0000000180340d80 (__TEXT,__text) external __platform_strlcpy
0000000180340860 (__TEXT,__text) external __platform_strlen
0000000180340690 (__TEXT,__text) external __platform_strncmp
00000001803412e0 (__TEXT,__text) external __platform_strncpy
00000001803407c0 (__TEXT,__text) external __platform_strnlen
000000018034125c (__TEXT,__text) external __platform_strstr
00000001803443b4 (__TEXT,__text) non-external __platform_task_deallocate
000000018034493c (__TEXT,__text) non-external __platform_thread_deallocate
0000000180345e98 (__TEXT,__text) non-external (was a private external) __setcontext
0000000180341454 (__TEXT,__text) external __setjmp
000000018034346c (__TEXT,__text) non-external (was a private external) __sigtramp
0000000180343920 (__TEXT,__text) non-external (was a private external) __sigunaltstack
0000000180342394 (__TEXT,__text) non-external __simple_asl_connect_once
000000018034205c (__TEXT,__text) non-external __simple_asl_escape_key
00000001803420d0 (__TEXT,__text) non-external __simple_asl_escape_val
0000000180344fd0 (__TEXT,__text) external __simple_asl_get_fd
0000000180342ed4 (__TEXT,__text) non-external (was a private external) __simple_asl_init
00000001803430b8 (__TEXT,__text) non-external __simple_asl_init_context
0000000180341de0 (__TEXT,__text) external __simple_asl_log
0000000180341e64 (__TEXT,__text) external __simple_asl_log_prog
0000000180341ea4 (__TEXT,__text) external __simple_asl_msg_new
0000000180341ef0 (__TEXT,__text) external __simple_asl_msg_set
00000001803421cc (__TEXT,__text) external __simple_asl_send
00000001803451cc (__TEXT,__text) external __simple_dprintf
00000001803440f4 (__TEXT,__text) external __simple_esappend
000000018034202c (__TEXT,__text) external __simple_esprintf
0000000180342cec (__TEXT,__text) external __simple_getenv
0000000180344fa0 (__TEXT,__text) external __simple_memcmp
0000000180345338 (__TEXT,__text) external __simple_put
0000000180345340 (__TEXT,__text) external __simple_putline
000000018034163c (__TEXT,__text) external __simple_salloc
0000000180342130 (__TEXT,__text) external __simple_sappend
0000000180341a5c (__TEXT,__text) external __simple_sfree
00000001803416e8 (__TEXT,__text) external __simple_sprintf
0000000180342198 (__TEXT,__text) external __simple_sresize
0000000180341a4c (__TEXT,__text) external __simple_string
0000000180345068 (__TEXT,__text) external __simple_vdprintf
0000000180343958 (__TEXT,__text) external __simple_vesprintf
00000001803416c0 (__TEXT,__text) external __simple_vsprintf
0000000180343438 (__TEXT,__text) external __spin_lock
0000000180345934 (__TEXT,__text) external __spin_lock_try
0000000180343454 (__TEXT,__text) external __spin_unlock
                 (undefined) external _close (from libsystem_kernel)
00000001d91f6430 (__DATA_DIRTY,__common) non-external (was a private external) _commpage_pfz_base
                 (undefined) external _connect (from libsystem_kernel)
0000000180341af0 (__TEXT,__text) non-external _dec
                 (undefined) external _fcntl (from libsystem_kernel)
00000001803409e4 (__TEXT,__text) external _ffs
00000001803409fc (__TEXT,__text) external _ffsl
00000001803409fc (__TEXT,__text) external _ffsll
0000000180340a14 (__TEXT,__text) external _fls
0000000180340a24 (__TEXT,__text) external _flsl
0000000180340a24 (__TEXT,__text) external _flsll
00000001d64bc050 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
0000000180345f5c (__TEXT,__text) external _getcontext
                 (undefined) external _getgid (from libsystem_kernel)
                 (undefined) external _getpid (from libsystem_kernel)
                 (undefined) external _getrlimit (from libsystem_kernel)
                 (undefined) external _getuid (from libsystem_kernel)
0000000180341720 (__TEXT,__text) non-external _hex
0000000180341564 (__TEXT,__text) external _longjmp
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_continuous_time (from libsystem_kernel)
                 (undefined) external _mach_port_deallocate (from libsystem_kernel)
                 (undefined) external _mach_port_mod_refs (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _mach_vm_allocate (from libsystem_kernel)
                 (undefined) external _mach_vm_deallocate (from libsystem_kernel)
                 (undefined) external _mach_vm_map (from libsystem_kernel)
                 (undefined) external _mach_vm_read (from libsystem_kernel)
                 (undefined) external _mach_vm_remap (from libsystem_kernel)
0000000180345c60 (__TEXT,__text) external _makecontext
0000000180345b24 (__TEXT,__text) non-external (was a private external) _memset
0000000180345388 (__TEXT,__text) non-external _oct
00000001803434bc (__TEXT,__text) external _os_lock_lock
000000018034381c (__TEXT,__text) external _os_lock_trylock
00000001803434ec (__TEXT,__text) external _os_lock_unlock
00000001803449b0 (__TEXT,__text) external _os_log_simple_now
00000001803449b4 (__TEXT,__text) external _os_log_simple_type_from_asl
0000000180346650 (__TEXT,__const) non-external _os_log_simple_type_from_asl._level2ostype
0000000180340fc0 (__TEXT,__text) external _os_unfair_lock_assert_not_owner
00000001803461d0 (__TEXT,__text) non-external _os_unfair_lock_assert_not_owner.cold.1
00000001803409b4 (__TEXT,__text) external _os_unfair_lock_assert_owner
00000001803461a8 (__TEXT,__text) non-external _os_unfair_lock_assert_owner.cold.1
0000000180340990 (__TEXT,__text) external _os_unfair_lock_lock
0000000180345968 (__TEXT,__text) external _os_unfair_lock_lock_no_tsd
00000001803404a0 (__TEXT,__text) external _os_unfair_lock_lock_with_options
0000000180341360 (__TEXT,__text) external _os_unfair_lock_trylock
00000001803404c0 (__TEXT,__text) external _os_unfair_lock_unlock
0000000180345980 (__TEXT,__text) external _os_unfair_lock_unlock_no_tsd
00000001803404dc (__TEXT,__text) external _os_unfair_recursive_lock_lock_with_options
0000000180345994 (__TEXT,__text) external _os_unfair_recursive_lock_owned
0000000180342668 (__TEXT,__text) external _os_unfair_recursive_lock_trylock
00000001803413d4 (__TEXT,__text) external _os_unfair_recursive_lock_tryunlock4objc
0000000180340608 (__TEXT,__text) external _os_unfair_recursive_lock_unlock
00000001803459b0 (__TEXT,__text) external _os_unfair_recursive_lock_unlock_forked_child
00000001803461f8 (__TEXT,__text) non-external _os_unfair_recursive_lock_unlock_forked_child.cold.1
                 (undefined) external _pid_for_task (from libsystem_kernel)
000000018034425c (__TEXT,__text) external _platform_task_attach
00000001803447a8 (__TEXT,__text) external _platform_task_copy_next_thread
000000018034448c (__TEXT,__text) external _platform_task_detach
0000000180344490 (__TEXT,__text) external _platform_task_is_64_bit
00000001803444ac (__TEXT,__text) external _platform_task_perform
00000001803444a4 (__TEXT,__text) external _platform_task_resume_threads
000000018034449c (__TEXT,__text) external _platform_task_suspend_threads
00000001803444b4 (__TEXT,__text) external _platform_task_update_threads
0000000180344870 (__TEXT,__text) external _platform_thread_abort_safely
0000000180344934 (__TEXT,__text) external _platform_thread_get_pthread
00000001803448d4 (__TEXT,__text) external _platform_thread_get_state
0000000180344848 (__TEXT,__text) external _platform_thread_get_unique_id
0000000180344888 (__TEXT,__text) external _platform_thread_info
000000018034492c (__TEXT,__text) external _platform_thread_perform
0000000180344850 (__TEXT,__text) external _platform_thread_release
0000000180345fe4 (__TEXT,__text) non-external _platform_thread_release.cold.1
0000000180344880 (__TEXT,__text) external _platform_thread_resume
0000000180344920 (__TEXT,__text) external _platform_thread_set_state
0000000180344878 (__TEXT,__text) external _platform_thread_suspend
0000000180345d94 (__TEXT,__text) non-external (was a private external) _populate_signal_stack_context
                 (undefined) external _proc_pidinfo (from libsystem_kernel)
                 (undefined) external _semaphore_create (from libsystem_kernel)
                 (undefined) external _semaphore_destroy (from libsystem_kernel)
                 (undefined) external _semaphore_signal (from libsystem_kernel)
                 (undefined) external _semaphore_wait (from libsystem_kernel)
0000000180345e30 (__TEXT,__text) external _setcontext
0000000180341524 (__TEXT,__text) external _setjmp
0000000180341558 (__TEXT,__text) external _siglongjmp
                 (undefined) external _sigprocmask (from libsystem_kernel)
0000000180341518 (__TEXT,__text) external _sigsetjmp
                 (undefined) external _socket (from libsystem_kernel)
0000000180343438 (__TEXT,__text) external _spin_lock
0000000180345934 (__TEXT,__text) external _spin_lock_try
0000000180343454 (__TEXT,__text) external _spin_unlock
0000000180345ba4 (__TEXT,__text) external _swapcontext
00000001803457c0 (__TEXT,__text) external _sys_cache_control
0000000180345860 (__TEXT,__text) external _sys_dcache_flush
000000018034580c (__TEXT,__text) external _sys_icache_invalidate
                 (undefined) external _task_info (from libsystem_kernel)
                 (undefined) external _task_threads (from libsystem_kernel)
                 (undefined) external _thread_abort_safely (from libsystem_kernel)
                 (undefined) external _thread_get_state (from libsystem_kernel)
                 (undefined) external _thread_info (from libsystem_kernel)
                 (undefined) external _thread_resume (from libsystem_kernel)
                 (undefined) external _thread_set_state (from libsystem_kernel)
                 (undefined) external _thread_suspend (from libsystem_kernel)
                 (undefined) external _thread_switch (from libsystem_kernel)
0000000180342488 (__TEXT,__text) non-external _udec
                 (undefined) external _vm_allocate (from libsystem_kernel)
                 (undefined) external _vm_deallocate (from libsystem_kernel)
                 (undefined) external _vm_page_size (from libsystem_kernel)
                 (undefined) external _write (from libsystem_kernel)
0000000180345544 (__TEXT,__text) non-external _ydec
