00007ff81bf7b2a3 (__TEXT,__text) non-external +[CalAlarm alarm]
00007ff81bf84a5d (__TEXT,__text) non-external -[CalCalendarItem isEqual:]
00007ff81bf845de (__TEXT,__text) non-external -[CalCalendarItem nextAlarmDate]
00007ff81bf7bc8f (__TEXT,__text) non-external -[CalCalendarItem notes]
00007ff81bf84712 (__TEXT,__text) non-external -[CalCalendarItem removeAlarm:]
00007ff81bf84762 (__TEXT,__text) non-external -[CalCalendarItem removeAlarms:]
00007ff81bf8488e (__TEXT,__text) non-external -[CalCalendarItem setAlarms:]
00007ff81bf7b495 (__TEXT,__text) non-external -[CalCalendarItem setCalendar:]
00007ff81bf8553f (__TEXT,__text) non-external -[CalCalendarItem setEkCalendarItem:]
00007ff81bf7aa35 (__TEXT,__text) non-external -[CalCalendarItem setNotes:]
00007ff81bf7a94d (__TEXT,__text) non-external -[CalCalendarItem setTitle:]
00007ff81bf85571 (__TEXT,__text) non-external -[CalCalendarItem setUnsavedRelateToDictionary:]
00007ff81bf7aa4b (__TEXT,__text) non-external -[CalCalendarItem setUrl:]
00007ff81bf851c4 (__TEXT,__text) non-external -[CalCalendarItem sortedAlarms]
00007ff81bf7bc79 (__TEXT,__text) non-external -[CalCalendarItem title]
00007ff81bf7bc4d (__TEXT,__text) non-external -[CalCalendarItem uid]
00007ff81bf85567 (__TEXT,__text) non-external -[CalCalendarItem unsavedRelateToDictionary]
00007ff81bf7bca5 (__TEXT,__text) non-external -[CalCalendarItem url]
00007ff81bf80ab2 (__TEXT,__text) non-external -[CalCalendarStore .cxx_destruct]
00007ff81bf7ed7e (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:]
00007ff81bf7ed92 (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:forCalendar:]
00007ff81bf7d292 (__TEXT,__text) non-external -[CalCalendarStore calendarWithUID:]
00007ff81bf79fd2 (__TEXT,__text) non-external -[CalCalendarStore calendars]
00007ff81bf7d279 (__TEXT,__text) non-external -[CalCalendarStore copyWithZone:]
00007ff81bf7dc30 (__TEXT,__text) non-external -[CalCalendarStore ekSpanFromCalSpan:]
00007ff81bf80a80 (__TEXT,__text) non-external -[CalCalendarStore eventStore]
00007ff81bf7d371 (__TEXT,__text) non-external -[CalCalendarStore eventWithUID:occurrence:]
00007ff81bf7a6b3 (__TEXT,__text) non-external -[CalCalendarStore eventsWithPredicate:]
00007ff81bf7efbc (__TEXT,__text) non-external -[CalCalendarStore generateUntitledTitle]
00007ff81bf7d76e (__TEXT,__text) non-external -[CalCalendarStore handleUnsavedRelateToDictionaryWithCalendarItem:]
00007ff81bf7d032 (__TEXT,__text) non-external -[CalCalendarStore initWithEventStore:]
00007ff81bf7cff7 (__TEXT,__text) non-external -[CalCalendarStore init]
00007ff81bf7f793 (__TEXT,__text) non-external -[CalCalendarStore removeCalendar:error:]
00007ff81bf7e223 (__TEXT,__text) non-external -[CalCalendarStore removeEvent:span:error:]
00007ff81bf7eada (__TEXT,__text) non-external -[CalCalendarStore removeTask:error:]
00007ff81bf7f0cd (__TEXT,__text) non-external -[CalCalendarStore saveCalendar:error:]
00007ff81bf7dc4c (__TEXT,__text) non-external -[CalCalendarStore saveEvent:span:error:]
00007ff81bf7e605 (__TEXT,__text) non-external -[CalCalendarStore saveTask:error:]
00007ff81bf80a8a (__TEXT,__text) non-external -[CalCalendarStore setEventStore:]
00007ff81bf7d68f (__TEXT,__text) non-external -[CalCalendarStore taskWithUID:]
00007ff81bf7d46b (__TEXT,__text) non-external -[CalCalendarStore tasksWithPredicate:]
00007ff81bf82616 (__TEXT,__text) non-external -[CalEvent .cxx_destruct]
00007ff81bf7c690 (__TEXT,__text) non-external -[CalEvent attendees]
00007ff81bf7b8bb (__TEXT,__text) non-external -[CalEvent compareStartDate:]
00007ff81bf7b94c (__TEXT,__text) non-external -[CalEvent description]
00007ff81bf81bd3 (__TEXT,__text) non-external -[CalEvent ekEvent]
00007ff81bf7c54f (__TEXT,__text) non-external -[CalEvent endDate]
00007ff81bf81b2a (__TEXT,__text) non-external -[CalEvent init]
00007ff81bf7c59f (__TEXT,__text) non-external -[CalEvent isAllDay]
00007ff81bf823cc (__TEXT,__text) non-external -[CalEvent isDetached]
00007ff81bf81bf7 (__TEXT,__text) non-external -[CalEvent isEqual:]
00007ff81bf7c4ff (__TEXT,__text) non-external -[CalEvent location]
00007ff81bf82411 (__TEXT,__text) non-external -[CalEvent nextAlarmDate]
00007ff81bf7c446 (__TEXT,__text) non-external -[CalEvent occurrence]
00007ff81bf7c5e4 (__TEXT,__text) non-external -[CalEvent recurrenceRule]
00007ff81bf81be5 (__TEXT,__text) non-external -[CalEvent setEKEvent:]
00007ff81bf825de (__TEXT,__text) non-external -[CalEvent setEkEvent:]
00007ff81bf7a9cc (__TEXT,__text) non-external -[CalEvent setEndDate:]
00007ff81bf7aaca (__TEXT,__text) non-external -[CalEvent setIsAllDay:]
00007ff81bf7aa61 (__TEXT,__text) non-external -[CalEvent setLocation:]
00007ff81bf7ac26 (__TEXT,__text) non-external -[CalEvent setRecurrenceRule:]
00007ff81bf7a963 (__TEXT,__text) non-external -[CalEvent setStartDate:]
00007ff81bf82218 (__TEXT,__text) non-external -[CalEvent sortedAttendees]
00007ff81bf7ab14 (__TEXT,__text) non-external -[CalEvent startDate]
00007ff81bf83e86 (__TEXT,__text) non-external -[CalNthWeekDay .cxx_destruct]
00007ff81bf83d60 (__TEXT,__text) non-external -[CalNthWeekDay copyWithZone:]
00007ff81bf83e28 (__TEXT,__text) non-external -[CalNthWeekDay dayOfTheWeek]
00007ff81bf83bd0 (__TEXT,__text) non-external -[CalNthWeekDay description]
00007ff81bf83e54 (__TEXT,__text) non-external -[CalNthWeekDay ekRecurrenceDayOfWeek]
00007ff81bf83c8b (__TEXT,__text) non-external -[CalNthWeekDay hash]
00007ff81bf83b3c (__TEXT,__text) non-external -[CalNthWeekDay initWithEKRecurrenceDayOfWeek:]
00007ff81bf83ca1 (__TEXT,__text) non-external -[CalNthWeekDay isEqual:]
00007ff81bf83e5e (__TEXT,__text) non-external -[CalNthWeekDay setEkRecurrenceDayOfWeek:]
00007ff81bf83e3e (__TEXT,__text) non-external -[CalNthWeekDay weekNumber]
00007ff81bf7cb7e (__TEXT,__text) non-external -[CalPredicate .cxx_destruct]
00007ff81bf7caba (__TEXT,__text) non-external -[CalPredicate copyWithZone:]
00007ff81bf7a5e8 (__TEXT,__text) non-external -[CalPredicate initWithPredicate:]
00007ff81bf7cb10 (__TEXT,__text) non-external -[CalPredicate predicate]
00007ff81bf7ca8b (__TEXT,__text) non-external -[CalPredicate setSubpredicate:]
00007ff81bf7ca63 (__TEXT,__text) non-external -[CalPredicate subpredicate]
00007ff81bf84474 (__TEXT,__text) non-external -[CalRecurrenceEnd .cxx_destruct]
00007ff81bf841d9 (__TEXT,__text) non-external -[CalRecurrenceEnd copyWithZone:]
00007ff81bf83f52 (__TEXT,__text) non-external -[CalRecurrenceEnd description]
00007ff81bf84442 (__TEXT,__text) non-external -[CalRecurrenceEnd ekRecurrenceEnd]
00007ff81bf84416 (__TEXT,__text) non-external -[CalRecurrenceEnd endDate]
00007ff81bf84073 (__TEXT,__text) non-external -[CalRecurrenceEnd hash]
00007ff81bf84382 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEKRecurrenceEnd:]
00007ff81bf84238 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEndDate:]
00007ff81bf842e6 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithOccurrenceCount:]
00007ff81bf84089 (__TEXT,__text) non-external -[CalRecurrenceEnd isEqual:]
00007ff81bf8442c (__TEXT,__text) non-external -[CalRecurrenceEnd occurrenceCount]
00007ff81bf8444c (__TEXT,__text) non-external -[CalRecurrenceEnd setEkRecurrenceEnd:]
00007ff81bf83f19 (__TEXT,__text) non-external -[CalRecurrenceEnd usesEndDate]
00007ff81bf83b2c (__TEXT,__text) non-external -[CalRecurrenceRule .cxx_destruct]
00007ff81bf7ad2e (__TEXT,__text) non-external -[CalRecurrenceRule copyWithZone:]
00007ff81bf7aff3 (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheMonth]
00007ff81bf7add6 (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheWeek]
00007ff81bf7c9d7 (__TEXT,__text) non-external -[CalRecurrenceRule description]
00007ff81bf83afa (__TEXT,__text) non-external -[CalRecurrenceRule ekRecurrenceRule]
00007ff81bf83af2 (__TEXT,__text) non-external -[CalRecurrenceRule firstDayOfTheWeek]
00007ff81bf82cc8 (__TEXT,__text) non-external -[CalRecurrenceRule hash]
00007ff81bf7ab64 (__TEXT,__text) non-external -[CalRecurrenceRule initDailyRecurrenceWithInterval:end:]
00007ff81bf826bd (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:end:]
00007ff81bf82874 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:end:]
00007ff81bf82782 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDaysOfTheMonth:end:]
00007ff81bf7b4e5 (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:end:]
00007ff81bf7b602 (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:forDaysOfTheWeek:end:]
00007ff81bf82629 (__TEXT,__text) non-external -[CalRecurrenceRule initWithEKRecurrenceRule:]
00007ff81bf829ad (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:end:]
00007ff81bf82b6d (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:forMonthsOfTheYear:end:]
00007ff81bf82a72 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forMonthsOfTheYear:end:]
00007ff81bf82cde (__TEXT,__text) non-external -[CalRecurrenceRule isEqual:]
00007ff81bf7b223 (__TEXT,__text) non-external -[CalRecurrenceRule monthsOfTheYear]
00007ff81bf7b009 (__TEXT,__text) non-external -[CalRecurrenceRule nthWeekDaysOfTheMonth]
00007ff81bf7b239 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceEnd]
00007ff81bf7adc0 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceInterval]
00007ff81bf7ad98 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceType]
00007ff81bf83b04 (__TEXT,__text) non-external -[CalRecurrenceRule setEkRecurrenceRule:]
00007ff81bf832d9 (__TEXT,__text) non-external -[CalRecurrenceRule stringValueAsDateOnly:isFloating:]
00007ff81bf85e5d (__TEXT,__text) non-external -[CalTask .cxx_destruct]
00007ff81bf85736 (__TEXT,__text) non-external -[CalTask completedDate]
00007ff81bf85ad7 (__TEXT,__text) non-external -[CalTask description]
00007ff81bf857ef (__TEXT,__text) non-external -[CalTask dueDate]
00007ff81bf85683 (__TEXT,__text) non-external -[CalTask ekReminder]
00007ff81bf855da (__TEXT,__text) non-external -[CalTask init]
00007ff81bf856a7 (__TEXT,__text) non-external -[CalTask isCompleted]
00007ff81bf85bd8 (__TEXT,__text) non-external -[CalTask isEqual:]
00007ff81bf85938 (__TEXT,__text) non-external -[CalTask nextAlarmDate]
00007ff81bf858a8 (__TEXT,__text) non-external -[CalTask priority]
00007ff81bf85786 (__TEXT,__text) non-external -[CalTask setCompletedDate:]
00007ff81bf8583f (__TEXT,__text) non-external -[CalTask setDueDate:]
00007ff81bf85695 (__TEXT,__text) non-external -[CalTask setEKReminder:]
00007ff81bf85e25 (__TEXT,__text) non-external -[CalTask setEkReminder:]
00007ff81bf856ec (__TEXT,__text) non-external -[CalTask setIsCompleted:]
00007ff81bf858ec (__TEXT,__text) non-external -[CalTask setPriority:]
00007ff81bf87358 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00007ff81bf8736c (__TEXT,__gcc_except_tab) non-external GCC_except_table4
00007ff81bf87380 (__TEXT,__gcc_except_tab) non-external GCC_except_table8
00007ff84294a578 (__DATA_CONST,__const) external _CalAlarmActionDisplay
00007ff84294a580 (__DATA_CONST,__const) external _CalAlarmActionEmail
00007ff84294a588 (__DATA_CONST,__const) external _CalAlarmActionProcedure
00007ff84294a590 (__DATA_CONST,__const) external _CalAlarmActionSound
00007ff84294a408 (__DATA_CONST,__const) external _CalAttendeeStatusAccepted
00007ff84294a428 (__DATA_CONST,__const) external _CalAttendeeStatusCompleted
00007ff84294a410 (__DATA_CONST,__const) external _CalAttendeeStatusDeclined
00007ff84294a420 (__DATA_CONST,__const) external _CalAttendeeStatusDelegated
00007ff84294a430 (__DATA_CONST,__const) external _CalAttendeeStatusInProcess
00007ff84294a400 (__DATA_CONST,__const) external _CalAttendeeStatusNeedsAction
00007ff84294a418 (__DATA_CONST,__const) external _CalAttendeeStatusTentative
00007ff84294a4d0 (__DATA_CONST,__const) external _CalCalendarStoreErrorDomain
00007ff84294a508 (__DATA_CONST,__const) external _CalCalendarTypeBirthday
00007ff84294a510 (__DATA_CONST,__const) external _CalCalendarTypeCalDAV
00007ff84294a530 (__DATA_CONST,__const) external _CalCalendarTypeExchange
00007ff84294a518 (__DATA_CONST,__const) external _CalCalendarTypeIMAP
00007ff84294a520 (__DATA_CONST,__const) external _CalCalendarTypeLocal
00007ff84294a528 (__DATA_CONST,__const) external _CalCalendarTypeSubscription
00007ff84294a538 (__DATA_CONST,__const) external _CalCalendarTypeSuggestions
00007ff84294a540 (__DATA_CONST,__const) external _CalCalendarTypeUnknown
00007ff84294a490 (__DATA_CONST,__const) external _CalCalendarsChangedExternallyNotification
00007ff84294a478 (__DATA_CONST,__const) external _CalCalendarsChangedNotification
00007ff81bf87570 (__TEXT,__const) external _CalDefaultRecurrenceInterval
00007ff84294a4b8 (__DATA_CONST,__const) external _CalDeletedRecordsKey
00007ff84294a498 (__DATA_CONST,__const) external _CalEventsChangedExternallyNotification
00007ff84294a480 (__DATA_CONST,__const) external _CalEventsChangedNotification
00007ff84294a4a8 (__DATA_CONST,__const) external _CalInsertedRecordsKey
00007ff84294a4c0 (__DATA_CONST,__const) external _CalSenderProcessIDKey
00007ff84294a5d0 (__DATA_CONST,__const) external _CalStoreAPI_NS_Log
00007ff84294a4a0 (__DATA_CONST,__const) external _CalTasksChangedExternallyNotification
00007ff84294a488 (__DATA_CONST,__const) external _CalTasksChangedNotification
00007ff84294a4b0 (__DATA_CONST,__const) external _CalUpdatedRecordsKey
00007ff84294a4c8 (__DATA_CONST,__const) external _CalUserUIDKey
                 (undefined) external _EKErrorDomain (from EventKit)
                 (undefined) external _NSInvalidArgumentException (from CoreFoundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSLocalizedRecoverySuggestionErrorKey (from Foundation)
00007ff843f39830 (__DATA,__objc_data) external _OBJC_CLASS_$_CalAlarm
00007ff843f39740 (__DATA,__objc_data) external _OBJC_CLASS_$_CalAttendee
00007ff843f397e0 (__DATA,__objc_data) external _OBJC_CLASS_$_CalCalendar
00007ff843f399c0 (__DATA,__objc_data) external _OBJC_CLASS_$_CalCalendarItem
00007ff843f39790 (__DATA,__objc_data) external _OBJC_CLASS_$_CalCalendarStore
00007ff843f39880 (__DATA,__objc_data) external _OBJC_CLASS_$_CalEvent
00007ff843f39920 (__DATA,__objc_data) external _OBJC_CLASS_$_CalNthWeekDay
00007ff843f396f0 (__DATA,__objc_data) external _OBJC_CLASS_$_CalPredicate
                 (undefined) external _OBJC_CLASS_$_CalRecurrenceDayOfWeek (from CalendarFoundation)
00007ff843f39970 (__DATA,__objc_data) external _OBJC_CLASS_$_CalRecurrenceEnd
00007ff843f398d0 (__DATA,__objc_data) external _OBJC_CLASS_$_CalRecurrenceRule
00007ff843f39a10 (__DATA,__objc_data) external _OBJC_CLASS_$_CalTask
                 (undefined) external _OBJC_CLASS_$_EKAlarm (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKCalendar (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEvent (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEventStore (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKPredicate (from CalendarDaemon)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceDayOfWeek (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceEnd (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceRule (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKReminder (from EventKit)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCalendarDate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSortDescriptor (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
00007ff843f396a0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._ekAlarm
00007ff843f396a8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._relatedToString
00007ff843f396b0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._unsavedRelateToDictionary
00007ff843f39688 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAttendee._ekParticipant
00007ff843f39698 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendar._ekCalendar
00007ff843f396d8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._ekCalendarItem
00007ff843f396e0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._unsavedRelateToDictionary
00007ff843f39690 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarStore._eventStore
00007ff843f396b8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalEvent._ekEvent
00007ff843f396c8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalNthWeekDay._ekRecurrenceDayOfWeek
00007ff843f39680 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalPredicate._subpredicate
00007ff843f396d0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceEnd._ekRecurrenceEnd
