00000001e4c8843c (__TEXT,__text) non-external _DiToMD5
00000001e4c691cc (__TEXT,__text) external _IOSleep
00000002198a27b0 (__AUTH_CONST,__const) external _IOStateReporter_Class
00000001e4c6c420 (__TEXT,__text) external _IOThreadLocalStorageGet
00000001e4c6c370 (__TEXT,__text) external _IOThreadLocalStorageKeyCreate
00000001e4c6c3c4 (__TEXT,__text) external _IOThreadLocalStorageKeyDelete
00000001e4c6c3ec (__TEXT,__text) external _IOThreadLocalStorageSet
00000002198a4ed0 (__AUTH_CONST,__const) external _IOThread_Class
00000002198a3280 (__AUTH_CONST,__const) external _IOTimerDispatchSource_Class
00000002198a3430 (__AUTH_CONST,__const) external _IOUserClient_Class
00000001e4c6ce30 (__TEXT,__text) external _IOUserServerMain
00000001e4c9a8f0 (__TEXT,__text) non-external _IOUserServerMain.cold.1
00000001e4c9aa7c (__TEXT,__text) non-external _IOUserServerMain.cold.10
00000001e4c9a91c (__TEXT,__text) non-external _IOUserServerMain.cold.2
00000001e4c9a948 (__TEXT,__text) non-external _IOUserServerMain.cold.3
00000001e4c9a974 (__TEXT,__text) non-external _IOUserServerMain.cold.4
00000001e4c9a9a0 (__TEXT,__text) non-external _IOUserServerMain.cold.5
00000001e4c9a9cc (__TEXT,__text) non-external _IOUserServerMain.cold.6
00000001e4c9a9f8 (__TEXT,__text) non-external _IOUserServerMain.cold.7
00000001e4c9aa24 (__TEXT,__text) non-external _IOUserServerMain.cold.8
00000001e4c9aa50 (__TEXT,__text) non-external _IOUserServerMain.cold.9
00000002198a37b0 (__AUTH_CONST,__const) external _IOUserServer_Class
0000000218125668 (__DATA_DIRTY,__common) external _IOVMPageSize
00000002198a3960 (__AUTH_CONST,__const) external _IOWorkGroup_Class
00000001e4c88608 (__TEXT,__text) external _MD5Final
00000001e4c88374 (__TEXT,__text) external _MD5Init
00000001e4c88594 (__TEXT,__text) non-external _MD5ToDi
00000001e4c884a4 (__TEXT,__text) external _MD5Update
                 (undefined) external _NDR_record (from libSystem)
00000002198a3b10 (__AUTH_CONST,__const) external _OSAction_Class
00000002198a34d0 (__AUTH_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
00000002198a4c10 (__AUTH_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
00000001e4c77668 (__TEXT,__text) external _OSArrayAppendValue
00000001e4c771e8 (__TEXT,__text) external _OSArrayApply
00000001e4c77180 (__TEXT,__text) external _OSArrayCreate
00000001e4c76660 (__TEXT,__text) external _OSArrayGetCount
00000001e4c77710 (__TEXT,__text) external _OSArrayGetStringValue
00000001e4c777c0 (__TEXT,__text) external _OSArrayGetUInt64Value
00000001e4c7769c (__TEXT,__text) external _OSArrayGetValue
00000001e4c77660 (__TEXT,__text) external _OSArrayReplaceValue
00000001e4c7773c (__TEXT,__text) external _OSArraySetStringValue
00000001e4c778c8 (__TEXT,__text) external _OSArraySetUInt64Value
00000001e4c77488 (__TEXT,__text) external _OSArraySetValue
00000002198a3cc0 (__AUTH_CONST,__const) external _OSArray_Class
00000002198a3db8 (__AUTH_CONST,__const) external _OSBoolean_Class
00000002198a3eb0 (__AUTH_CONST,__const) external _OSBundle_Class
00000001e4c751bc (__TEXT,__text) external _OSCollectionTypeID
00000001e4c9b88c (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
00000001e4c750ec (__TEXT,__text) external _OSCollectionTypeName
00000001e4c9b834 (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
00000002198a3fa8 (__AUTH_CONST,__const) external _OSCollection_Class
00000001e4c7a8e0 (__TEXT,__text) external _OSCollectionsInitialize
00000002198a40a0 (__AUTH_CONST,__const) external _OSContainer_Class
00000001e4c75244 (__TEXT,__text) external _OSCreateObjectFromSerialization
00000001e4c9b8e4 (__TEXT,__text) non-external _OSCreateObjectFromSerialization.cold.1
00000001e4c78374 (__TEXT,__text) external _OSCreateSerializationFromBytes
00000001e4c9bf6c (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
00000001e4c78248 (__TEXT,__text) external _OSCreateSerializationFromObject
00000001e4c7649c (__TEXT,__text) external _OSDataAppendBytes
00000001e4c763ec (__TEXT,__text) external _OSDataCreate
00000001e4c9baf4 (__TEXT,__text) non-external _OSDataCreate.cold.1
00000001e4c76380 (__TEXT,__text) external _OSDataGetBytes
00000001e4c76334 (__TEXT,__text) external _OSDataGetBytesPtr
00000001e4c76370 (__TEXT,__text) external _OSDataGetLength
00000002198a4200 (__AUTH_CONST,__const) external _OSData_Class
00000001e4c7666c (__TEXT,__text) external _OSDictionaryApply
00000001e4c765ec (__TEXT,__text) external _OSDictionaryCreate
00000001e4c76654 (__TEXT,__text) external _OSDictionaryGetCount
00000001e4c76e28 (__TEXT,__text) external _OSDictionaryGetStringValue
00000001e4c77034 (__TEXT,__text) external _OSDictionaryGetUInt64Value
00000001e4c76d84 (__TEXT,__text) external _OSDictionaryGetValue
00000001e4c76fb0 (__TEXT,__text) external _OSDictionarySetStringValue
00000001e4c77100 (__TEXT,__text) external _OSDictionarySetUInt64Value
00000001e4c769b8 (__TEXT,__text) external _OSDictionarySetValue
00000002198a42f8 (__AUTH_CONST,__const) external _OSDictionary_Class
00000002198a43f0 (__AUTH_CONST,__const) external _OSMappedFile_Class
00000001e4c76578 (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00000001e4c76550 (__TEXT,__text) external _OSNumberGetUInt64Value
00000002198a44e8 (__AUTH_CONST,__const) external _OSNumber_Class
00000001e4c78988 (__TEXT,__text) external _OSObjectLog
00000001e4c7514c (__TEXT,__text) external _OSObjectRelease
00000001e4c75128 (__TEXT,__text) external _OSObjectRetain
00000002198a45e0 (__AUTH_CONST,__const) external _OSObject_Class
00000002198a4790 (__AUTH_CONST,__const) external _OSOrderedSet_Class
00000001e4c69798 (__TEXT,__text) external _OSReportWithBacktrace
00000001e4c784b8 (__TEXT,__text) external _OSSerializationGetBytes
00000002198a4888 (__AUTH_CONST,__const) external _OSSerialization_Class
00000002198a4980 (__AUTH_CONST,__const) external _OSSet_Class
00000001e4c75d04 (__TEXT,__text) external _OSStringCreate
00000001e4c9b9c0 (__TEXT,__text) non-external _OSStringCreate.cold.1
00000001e4c9b9ec (__TEXT,__text) non-external _OSStringCreate.cold.2
00000001e4c9ba18 (__TEXT,__text) non-external _OSStringCreate.cold.3
00000001e4c75cac (__TEXT,__text) external _OSStringGetLength
00000001e4c75c70 (__TEXT,__text) external _OSStringGetStringPtr
00000002198a4a78 (__AUTH_CONST,__const) external _OSString_Class
00000001e4c691dc (__TEXT,__text) external _OSSynchronizeIO
0000000215e79248 (__DATA,__bss) non-external _OSUniqueStrings
00000001e4c69bf0 (__TEXT,__text) external _PE_i_can_has_debugger
00000001e4c88974 (__TEXT,__text) external _SHA1Final
00000001e4c886dc (__TEXT,__text) external _SHA1Init
00000001e4c88904 (__TEXT,__text) non-external _SHA1ToDi
00000001e4c88814 (__TEXT,__text) external _SHA1Update
00000001e4c894bc (__TEXT,__text) external _SHA256_Final
00000001e4c8941c (__TEXT,__text) external _SHA256_Init
00000001e4c9ca50 (__TEXT,__text) non-external _SHA256_Init.cold.1
00000001e4c8946c (__TEXT,__text) external _SHA256_Update
00000001e4c895a0 (__TEXT,__text) external _SHA384_Final
00000001e4c89500 (__TEXT,__text) external _SHA384_Init
00000001e4c9ca78 (__TEXT,__text) non-external _SHA384_Init.cold.1
00000001e4c89550 (__TEXT,__text) external _SHA384_Update
00000001e4c89684 (__TEXT,__text) external _SHA512_Final
00000001e4c895e4 (__TEXT,__text) external _SHA512_Init
00000001e4c9caa0 (__TEXT,__text) non-external _SHA512_Init.cold.1
00000001e4c89634 (__TEXT,__text) external _SHA512_Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00000001e4c6a31c (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
00000001e4c896c8 (__TEXT,__text) non-external __GLOBAL__sub_I_ObjectIntrospection.mm
00000002198a4b70 (__AUTH_CONST,__const) external __IOBlockStorageDevice_Class
0000000215e79218 (__DATA,__bss) non-external __MergedGlobals
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
00000001e4c6a680 (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00000001e4c99d28 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
00000001e4c99d54 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.2
00000001e4c6c424 (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00000001e4c9a56c (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00000001e4c9a598 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00000001e4c9a5c4 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00000001e4c9a5f0 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00000001e4c9a61c (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
00000001e4c6b268 (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00000001e4c9a128 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00000001e4c9a154 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00000001e4c9a180 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00000001e4c9a1ac (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
00000001e4c9a1fc (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.5
00000001e4c6a98c (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00000001e4c99e04 (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
00000001e4c77678 (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
00000001e4c7a874 (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
00000001e4c6a4dc (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00000001e4c99ca4 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00000001e4c99cd0 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00000001e4c99cfc (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00000001e4c777ec (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
00000001e4c7789c (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
00000001e4c77818 (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
00000001e4c6a6e0 (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
00000001e4c77cc8 (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00000001e4c9be0c (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00000001e4c9be38 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00000001e4c9be64 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
00000001e4c9be90 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
00000001e4c9bebc (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
00000001e4c9bee8 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.6
00000001e4c68d20 (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
00000001e4c68e64 (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
00000001e4c6acbc (__TEXT,__text) external __Z17OSObjectTryRetainP8OSObject
00000001e4c99e5c (__TEXT,__text) non-external __Z17OSObjectTryRetainP8OSObject.cold.1
00000001e4c6ae2c (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
00000001e4c6cba4 (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00000001e4c6a448 (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00000001e4c6a394 (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00000001e4c784d4 (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00000001e4c9bf98 (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
00000001e4c6a880 (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00000001e4c99dac (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00000001e4c99dd8 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.2
00000001e4c75200 (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00000001e4c9b8b8 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
00000001e4c75170 (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00000001e4c9b860 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
00000001e4c67674 (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
00000001e4c99aec (__TEXT,__text) non-external __Z21OSUnserializeXMLparsePv.cold.1
00000001e4c762cc (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
00000001e4c77948 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00000001e4c9bba4 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00000001e4c9bbd0 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00000001e4c9bbfc (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00000001e4c9bc28 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00000001e4c9bc54 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
00000001e4c76294 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00000001e4c7652c (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
00000001e4c77a8c (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00000001e4c9bc80 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00000001e4c9bcac (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00000001e4c9bcd8 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
00000001e4c6c518 (__TEXT,__text) non-external (was a private external) __Z6ServerPvP17mach_msg_header_tS1_
00000001e4c9a648 (__TEXT,__text) non-external __Z6ServerPvP17mach_msg_header_tS1_.cold.1
00000001e4c9a674 (__TEXT,__text) non-external __Z6ServerPvP17mach_msg_header_tS1_.cold.2
00000001e4c6cb64 (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
00000001e4c6bd1c (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00000001e4c9831c (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00000001e4c68be8 (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
00000001e4c74f48 (__TEXT,__text) non-external __ZL10uiomessagePv
00000001e4c980c0 (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
00000001e4c79a84 (__TEXT,__text) non-external __ZL11OSSetCreatev
00000001e4c9d6c0 (__TEXT,__const) non-external __ZL11yytranslate
00000001e4c99954 (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
00000001e4c97998 (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00000001e4c981e0 (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
00000001e4c984bc (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00000001e4c9853c (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
00000001e4c76040 (__TEXT,__text) non-external __ZL12OSStringFindjU13block_pointerFbP8OSStringE
00000001e4c75ff0 (__TEXT,__text) non-external __ZL12OSStringHashPKcm
00000001e4c9ba44 (__TEXT,__text) non-external __ZL12OSStringHashPKcm.cold.1
00000001e4c98d74 (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
00000001e4c89cc0 (__TEXT,__text) non-external __ZL13IOCommand_NewP11OSMetaClass
00000001e4c8edf8 (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
00000001e4c73b9c (__TEXT,__text) non-external __ZL13IOThreadStartPv
00000001e4c9b5a0 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.1
00000001e4c9b5cc (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.2
00000001e4c9b5f8 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.3
00000001e4c98160 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
00000001e4c8eb78 (__TEXT,__text) non-external __ZL14IOReporter_NewP11OSMetaClass
00000001e4c6e118 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
00000001e4c9ae94 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
00000001e4c9aec0 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
00000001e4c9aeec (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
00000001e4c9af18 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.4
00000001e4c8ca34 (__TEXT,__text) non-external __ZL15IOEventLink_NewP11OSMetaClass
00000001e4c8e810 (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
00000001e4c97238 (__TEXT,__text) non-external __ZL15IOWorkGroup_NewP11OSMetaClass
00000001e4c9829c (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
00000001e4c6c7d8 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00000001e4c9a6a0 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00000001e4c9a6cc (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00000001e4c9a6f8 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00000001e4c9a724 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00000001e4c6d6e8 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
00000001e4c9ac18 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
00000001e4c9ac44 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
00000001e4c9ac70 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
00000001e4c9ac9c (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
00000001e4c74938 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
00000001e4c9b6d4 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
00000001e4c9b700 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.2
00000001e4c9b72c (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.3
00000001e4c9b758 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.4
00000001e4c9b784 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.5
00000001e4c9b7b0 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.6
00000001e4c9b7dc (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.7
0000000215e79230 (__DATA,__bss) non-external __ZL15gIOThreadTLSKey
00000001e4c89de0 (__TEXT,__text) non-external __ZL16IODMACommand_NewP11OSMetaClass
00000001e4c958a0 (__TEXT,__text) non-external __ZL16IOUserClient_NewP11OSMetaClass
