00000001804e387c (__TEXT,__text) external _OSAtomicAdd32
00000001804e7a8e (__TEXT,__cstring) non-external __H
00000001804e69b8 (__TEXT,__text) non-external __OSAtomicDequeue_misalign
00000001804e6990 (__TEXT,__text) non-external __OSAtomicEnqueue_misalign
00000001804e39c0 (__TEXT,__text) external __OSSpinLockLockSlow
00000001804e60d0 (__TEXT,__text) non-external __OSSpinLockLockYield
00000001804e3030 (__TEXT,__text) external ___bzero
                 (undefined) external ___error (from libsystem_kernel)
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00000001ecec4040 (__DATA_DIRTY,__common) non-external (was a private external) ___in_sigtramp
                 (undefined) external ___libkernel_platform_init (from libsystem_kernel)
00000001804e2e44 (__TEXT,__text) external ___libplatform_init
00000001804e4e1c (__TEXT,__text) external ___os_log_simple_offset
00000001804e6440 (__TEXT,__text) external ___os_once_reset
00000001804e5e8c (__TEXT,__text) non-external (was a private external) ___os_security_config_init
00000001804e71d4 (__TEXT,__text) non-external ___os_security_config_init.cold.1
00000001804e2ea8 (__TEXT,__text) non-external (was a private external) ___pfz_setup
00000001804e7948 (__TEXT,__const) non-external (was a private external) ___platformVersionNumber
00000001804e7910 (__TEXT,__const) non-external (was a private external) ___platformVersionString
00000001804e29cc (__TEXT,__text) external ___platform_sigaction
00000001ecec4038 (__DATA_DIRTY,__data) non-external (was a private external) ___security_config
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sigaction (from libsystem_kernel)
                 (undefined) external ___sigaltstack (from libsystem_kernel)
                 (undefined) external ___sigreturn (from libsystem_kernel)
00000001804e3c10 (__TEXT,__text) non-external ___simple_bprintf
00000001804e6a68 (__TEXT,__text) external ___sme_memchr
00000001804e6b30 (__TEXT,__text) external ___sme_memcpy
00000001804e6c04 (__TEXT,__text) external ___sme_memmove
00000001804e6d04 (__TEXT,__text) external ___sme_memset
                 (undefined) external ___ulock_wait (from libsystem_kernel)
                 (undefined) external ___ulock_wait2 (from libsystem_kernel)
                 (undefined) external ___ulock_wake (from libsystem_kernel)
00000001804e6e5c (__TEXT,__text) external __ctx_done
00000001804e4d40 (__TEXT,__text) non-external (was a private external) __ctx_start
00000001804e56cc (__TEXT,__text) non-external __enlarge
00000001804e715c (__TEXT,__text) non-external __enlarge.cold.1
                 (undefined) external __exit (from libsystem_kernel)
00000001804e5624 (__TEXT,__text) non-external __flush
00000001804e55f4 (__TEXT,__text) non-external __flush_reset
00000001804e7a9f (__TEXT,__cstring) non-external __h
00000001804e1788 (__TEXT,__text) external __longjmp
00000001804e0c98 (__TEXT,__text) non-external __os_alloc
00000001804e7410 (__TEXT,__text) non-external __os_alloc.cold.1
00000001ecec4048 (__DATA_DIRTY,__common) non-external (was a private external) __os_alloc_heap
00000001804e0c4c (__TEXT,__text) external __os_alloc_once
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
00000001804e320c (__TEXT,__text) non-external __os_alloc_slow
00000001804e71f4 (__TEXT,__text) non-external (was a private external) __os_lock_corruption_abort
00000001804e3768 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_lock
00000001804e37a4 (__TEXT,__text) non-external __os_lock_handoff_lock_slow
00000001804e3ac8 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_trylock
00000001804e3798 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_unlock
00000001804e63dc (__TEXT,__text) non-external (was a private external) __os_lock_nospin_lock
00000001804e6400 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_trylock
00000001804e6420 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_unlock
00000001804e7340 (__TEXT,__text) non-external __os_lock_recursive_abort
00000001804e38b4 (__TEXT,__text) non-external (was a private external) __os_lock_spin_lock
00000001804e61b4 (__TEXT,__text) non-external (was a private external) __os_lock_spin_trylock
00000001804e38d4 (__TEXT,__text) non-external (was a private external) __os_lock_spin_unlock
00000001804e7968 (__TEXT,__const) non-external __os_lock_type_base
00000001ee4f0720 (__AUTH_CONST,__const) external __os_lock_type_eliding
00000001ee4f0740 (__AUTH_CONST,__const) external __os_lock_type_handoff
00000001ee4f0780 (__AUTH_CONST,__const) external __os_lock_type_nospin
00000001ee4f0720 (__AUTH_CONST,__const) external __os_lock_type_spin
00000001ee4f0720 (__AUTH_CONST,__const) external __os_lock_type_transactional
00000001ee4f0760 (__AUTH_CONST,__const) external __os_lock_type_unfair
00000001804e3888 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_lock
00000001804e639c (__TEXT,__text) non-external (was a private external) __os_lock_unfair_trylock
00000001804e63bc (__TEXT,__text) non-external (was a private external) __os_lock_unfair_unlock
00000001804e50b0 (__TEXT,__text) external __os_log_simple
00000001804e52a8 (__TEXT,__text) external __os_log_simple_parse
00000001804e5278 (__TEXT,__text) external __os_log_simple_parse_identifiers
00000001804e520c (__TEXT,__text) external __os_log_simple_parse_message
00000001804e51d0 (__TEXT,__text) external __os_log_simple_parse_subsystem
00000001804e523c (__TEXT,__text) external __os_log_simple_parse_timestamp
00000001804e5198 (__TEXT,__text) external __os_log_simple_parse_type
00000001804e53e4 (__TEXT,__text) external __os_log_simple_reinit_4launchd
00000001804e70d0 (__TEXT,__text) non-external __os_log_simple_reinit_4launchd.cold.1
00000001804e4f38 (__TEXT,__text) external __os_log_simple_send
00000001804e5170 (__TEXT,__text) external __os_log_simple_shim
00000001804e1660 (__TEXT,__text) external __os_nospin_lock_lock
00000001804e2c78 (__TEXT,__text) non-external __os_nospin_lock_lock_slow
00000001804e169c (__TEXT,__text) external __os_nospin_lock_trylock
00000001804e1680 (__TEXT,__text) external __os_nospin_lock_unlock
00000001804e2d74 (__TEXT,__text) non-external __os_nospin_lock_unlock_slow
00000001804e0ae0 (__TEXT,__text) external __os_once
00000001804e73ec (__TEXT,__text) non-external __os_once.cold.1
00000001804e0b38 (__TEXT,__text) non-external __os_once_callout
00000001804e2bcc (__TEXT,__text) non-external __os_once_gate_broadcast
00000001804e7318 (__TEXT,__text) non-external (was a private external) __os_once_gate_corruption_abort
00000001804e72c8 (__TEXT,__text) non-external (was a private external) __os_once_gate_recursive_abort
00000001804e72f0 (__TEXT,__text) non-external (was a private external) __os_once_gate_unowned_abort
00000001804e2a3c (__TEXT,__text) non-external __os_once_gate_wait
00000001804e294c (__TEXT,__text) external __os_semaphore_create
00000001804e7438 (__TEXT,__text) non-external __os_semaphore_create.cold.1
00000001804e7460 (__TEXT,__text) non-external __os_semaphore_create.cold.2
00000001804e299c (__TEXT,__text) external __os_semaphore_dispose
00000001804e7488 (__TEXT,__text) non-external __os_semaphore_dispose.cold.1
00000001804e3948 (__TEXT,__text) external __os_semaphore_signal
00000001804e74b0 (__TEXT,__text) non-external __os_semaphore_signal.cold.1
00000001804e3968 (__TEXT,__text) external __os_semaphore_wait
00000001804e74d8 (__TEXT,__text) non-external __os_semaphore_wait.cold.1
00000001804e726c (__TEXT,__text) non-external (was a private external) __os_unfair_lock_corruption_abort
00000001804e1314 (__TEXT,__text) non-external __os_unfair_lock_lock_slow
00000001804e721c (__TEXT,__text) non-external (was a private external) __os_unfair_lock_recursive_abort
00000001804e61f4 (__TEXT,__text) non-external __os_unfair_lock_trylock_with_options_slow
00000001804e1488 (__TEXT,__text) non-external __os_unfair_lock_unlock_slow
00000001804e7244 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_unowned_abort
                 (undefined) external __os_xbs_chrooted (from libsystem_kernel)
00000001804e3030 (__TEXT,__text) external __platform_bzero
00000001804e69e0 (__TEXT,__text) external __platform_memccpy
00000001804e0dc0 (__TEXT,__text) external __platform_memchr
00000001804e0ed0 (__TEXT,__text) external __platform_memcmp
00000001804e4ae0 (__TEXT,__text) external __platform_memcmp_zero_aligned8
00000001804e3360 (__TEXT,__text) external __platform_memmove
00000001804e3090 (__TEXT,__text) external __platform_memset
00000001804e1120 (__TEXT,__text) external __platform_memset_pattern16
00000001804e10e0 (__TEXT,__text) external __platform_memset_pattern4
00000001804e1100 (__TEXT,__text) external __platform_memset_pattern8
00000001804e3660 (__TEXT,__text) external __platform_strchr
00000001804e08e0 (__TEXT,__text) external __platform_strcmp
00000001804e4750 (__TEXT,__text) non-external (was a private external) __platform_strcmp$VARIANT$Base
00000001804e4bb0 (__TEXT,__text) non-external (was a private external) __platform_strcmp$VARIANT$MTE
00000001804e0d50 (__TEXT,__text) external __platform_strcpy
00000001ee4f0698 (__AUTH_CONST,__const) non-external __platform_string_functions
00000001804e1874 (__TEXT,__text) external __platform_strlcat
00000001804e104c (__TEXT,__text) external __platform_strlcpy
00000001804e0a80 (__TEXT,__text) external __platform_strlen
00000001804e0974 (__TEXT,__text) external __platform_strncmp
00000001804e49d0 (__TEXT,__text) non-external (was a private external) __platform_strncmp$VARIANT$Base
00000001804e4850 (__TEXT,__text) non-external (was a private external) __platform_strncmp$VARIANT$MTE
00000001804e15bc (__TEXT,__text) external __platform_strncpy
00000001804e09e0 (__TEXT,__text) external __platform_strnlen
00000001804e1534 (__TEXT,__text) external __platform_strstr
00000001804e4cac (__TEXT,__text) non-external (was a private external) __setcontext
00000001804e1728 (__TEXT,__text) external __setjmp
00000001804e370c (__TEXT,__text) non-external (was a private external) __sigtramp
00000001804e3bbc (__TEXT,__text) non-external (was a private external) __sigunaltstack
00000001804e5460 (__TEXT,__text) non-external __simple_asl_connect
00000001804e26ac (__TEXT,__text) non-external __simple_asl_connect_once
00000001804e2370 (__TEXT,__text) non-external __simple_asl_escape_key
00000001804e23e4 (__TEXT,__text) non-external __simple_asl_escape_val
00000001804e5510 (__TEXT,__text) external __simple_asl_get_fd
00000001804e70f8 (__TEXT,__text) non-external __simple_asl_get_fd.cold.1
00000001804e3164 (__TEXT,__text) non-external (was a private external) __simple_asl_init
00000001804e3344 (__TEXT,__text) non-external __simple_asl_init_context
00000001804e2104 (__TEXT,__text) external __simple_asl_log
00000001804e7124 (__TEXT,__text) non-external __simple_asl_log.cold.1
00000001804e2170 (__TEXT,__text) external __simple_asl_log_prog
00000001804e21b0 (__TEXT,__text) external __simple_asl_msg_new
00000001804e21fc (__TEXT,__text) external __simple_asl_msg_set
00000001804e24e4 (__TEXT,__text) external __simple_asl_send
00000001804e56a0 (__TEXT,__text) external __simple_dprintf
00000001804e4508 (__TEXT,__text) external __simple_esappend
00000001804e2340 (__TEXT,__text) external __simple_esprintf
00000001804e2f80 (__TEXT,__text) external __simple_getenv
00000001804e5810 (__TEXT,__text) external __simple_put
00000001804e5818 (__TEXT,__text) external __simple_putline
00000001804e1910 (__TEXT,__text) external __simple_salloc
00000001804e2444 (__TEXT,__text) external __simple_sappend
00000001804e1d50 (__TEXT,__text) external __simple_sfree
00000001804e5930 (__TEXT,__text) external __simple_snprintf
00000001804e19bc (__TEXT,__text) external __simple_sprintf
00000001804e24b0 (__TEXT,__text) external __simple_sresize
00000001804e1d40 (__TEXT,__text) external __simple_string
00000001804e5598 (__TEXT,__text) external __simple_vdprintf
00000001804e3bf4 (__TEXT,__text) external __simple_vesprintf
00000001804e5860 (__TEXT,__text) external __simple_vsnprintf
00000001804e7184 (__TEXT,__text) non-external __simple_vsnprintf.cold.1
00000001804e1994 (__TEXT,__text) external __simple_vsprintf
00000001804e5910 (__TEXT,__text) non-external __snprintf_out_of_space
00000001804e36d8 (__TEXT,__text) external __spin_lock
00000001804e619c (__TEXT,__text) external __spin_lock_try
00000001804e36f4 (__TEXT,__text) external __spin_unlock
                 (undefined) external _close (from libsystem_kernel)
00000001ecec4050 (__DATA_DIRTY,__common) non-external (was a private external) _commpage_pfz_base
                 (undefined) external _connect (from libsystem_kernel)
00000001804e4704 (__TEXT,__text) non-external _cpus_that_need_dsb_for_ic_ivau
00000001804e1de4 (__TEXT,__text) non-external _dec
                 (undefined) external _fcntl (from libsystem_kernel)
00000001804e0bfc (__TEXT,__text) external _ffs
00000001804e0c14 (__TEXT,__text) external _ffsl
00000001804e0c14 (__TEXT,__text) external _ffsll
00000001804e0c2c (__TEXT,__text) external _fls
00000001804e0c3c (__TEXT,__text) external _flsl
00000001804e0c3c (__TEXT,__text) external _flsll
00000001eadbc048 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
00000001804e4d70 (__TEXT,__text) external _getcontext
                 (undefined) external _getgid (from libsystem_kernel)
                 (undefined) external _getpid (from libsystem_kernel)
                 (undefined) external _getrlimit (from libsystem_kernel)
                 (undefined) external _getuid (from libsystem_kernel)
00000001804e19f4 (__TEXT,__text) non-external _hex
00000001804e1838 (__TEXT,__text) external _longjmp
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_continuous_time (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _mach_vm_deallocate (from libsystem_kernel)
                 (undefined) external _mach_vm_map (from libsystem_kernel)
00000001804e6e84 (__TEXT,__text) external _makecontext
00000001804e69dc (__TEXT,__text) non-external (was a private external) _memset
00000001804e595c (__TEXT,__text) non-external _oct
00000001804e6798 (__TEXT,__text) external _os_apt_msg_async_task_running_4swift
00000001804e6850 (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_dev
00000001804e67f8 (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_dev_prodel0
00000001804e6878 (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_nop
00000001804e6828 (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_prodel0
00000001804e687c (__TEXT,__text) external _os_apt_msg_async_task_waiting_on_4swift
00000001804e693c (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_dev
00000001804e68dc (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_dev_prodel0
00000001804e6968 (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_nop
00000001804e6910 (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_prodel0
00000001804e375c (__TEXT,__text) external _os_lock_lock
00000001804e3abc (__TEXT,__text) external _os_lock_trylock
00000001804e378c (__TEXT,__text) external _os_lock_unlock
00000001804e4df8 (__TEXT,__text) external _os_log_simple_now
00000001804e4dfc (__TEXT,__text) external _os_log_simple_type_from_asl
00000001804e7950 (__TEXT,__const) non-external _os_log_simple_type_from_asl._level2ostype
00000001804e6004 (__TEXT,__text) external _os_security_config_get
00000001804e6010 (__TEXT,__text) external _os_security_config_get_for_proc
00000001804e6078 (__TEXT,__text) external _os_security_config_get_for_task
00000001804e65f8 (__TEXT,__text) external _os_sync_wait_on_address
00000001804e645c (__TEXT,__text) external _os_sync_wait_on_address_with_deadline
00000001804e6558 (__TEXT,__text) external _os_sync_wait_on_address_with_timeout
00000001804e6710 (__TEXT,__text) external _os_sync_wake_by_address_all
00000001804e6688 (__TEXT,__text) external _os_sync_wake_by_address_any
00000001804e12a0 (__TEXT,__text) external _os_unfair_lock_assert_not_owner
00000001804e7390 (__TEXT,__text) non-external _os_unfair_lock_assert_not_owner.cold.1
00000001804e0bd0 (__TEXT,__text) external _os_unfair_lock_assert_owner
00000001804e7368 (__TEXT,__text) non-external _os_unfair_lock_assert_owner.cold.1
00000001804e0ba8 (__TEXT,__text) external _os_unfair_lock_lock
00000001804e62e8 (__TEXT,__text) external _os_unfair_lock_lock_no_tsd
00000001804e631c (__TEXT,__text) external _os_unfair_lock_lock_with_flags
00000001804e0860 (__TEXT,__text) external _os_unfair_lock_lock_with_options
00000001804e1644 (__TEXT,__text) external _os_unfair_lock_trylock
00000001804e61d0 (__TEXT,__text) external _os_unfair_lock_trylock_with_options
00000001804e0884 (__TEXT,__text) external _os_unfair_lock_unlock
00000001804e6308 (__TEXT,__text) external _os_unfair_lock_unlock_no_tsd
00000001804e08a0 (__TEXT,__text) external _os_unfair_recursive_lock_lock_with_options
00000001804e6340 (__TEXT,__text) external _os_unfair_recursive_lock_owned
00000001804e2908 (__TEXT,__text) external _os_unfair_recursive_lock_trylock
00000001804e16b8 (__TEXT,__text) external _os_unfair_recursive_lock_tryunlock4objc
00000001804e73b8 (__TEXT,__text) non-external _os_unfair_recursive_lock_tryunlock4objc.cold.1
00000001804e0914 (__TEXT,__text) external _os_unfair_recursive_lock_unlock
00000001804e635c (__TEXT,__text) external _os_unfair_recursive_lock_unlock_forked_child
00000001804e73cc (__TEXT,__text) non-external _os_unfair_recursive_lock_unlock_forked_child.cold.1
00000001804e6fac (__TEXT,__text) non-external (was a private external) _populate_signal_stack_context
                 (undefined) external _proc_pidinfo (from libsystem_kernel)
                 (undefined) external _semaphore_create (from libsystem_kernel)
                 (undefined) external _semaphore_destroy (from libsystem_kernel)
                 (undefined) external _semaphore_signal (from libsystem_kernel)
                 (undefined) external _semaphore_wait (from libsystem_kernel)
00000001804e7048 (__TEXT,__text) external _setcontext
00000001804e17f8 (__TEXT,__text) external _setjmp
00000001804e182c (__TEXT,__text) external _siglongjmp
                 (undefined) external _sigprocmask (from libsystem_kernel)
00000001804e17ec (__TEXT,__text) external _sigsetjmp
                 (undefined) external _socket (from libsystem_kernel)
00000001804e36d8 (__TEXT,__text) external _spin_lock
00000001804e619c (__TEXT,__text) external _spin_lock_try
00000001804e36f4 (__TEXT,__text) external _spin_unlock
00000001804e6dcc (__TEXT,__text) external _swapcontext
00000001804e5e40 (__TEXT,__text) external _sys_cache_control
00000001804e4724 (__TEXT,__text) external _sys_dcache_flush
00000001804e4670 (__TEXT,__text) external _sys_icache_invalidate
                 (undefined) external _task_info (from libsystem_kernel)
                 (undefined) external _thread_switch (from libsystem_kernel)
00000001804e70b0 (__TEXT,__text) external _timingsafe_enable_if_supported
00000001804e70c4 (__TEXT,__text) external _timingsafe_restore_if_supported
00000001804e2718 (__TEXT,__text) non-external _udec
                 (undefined) external _vm_allocate (from libsystem_kernel)
                 (undefined) external _vm_deallocate (from libsystem_kernel)
                 (undefined) external _vm_page_size (from libsystem_kernel)
                 (undefined) external _write (from libsystem_kernel)
00000001804e5b28 (__TEXT,__text) non-external _ydec
