00007ff80df2ad02 (__TEXT,__text) non-external _Annihilate
00007ff80df35b1c (__TEXT,__text) non-external (was a private external) _BrotliDecoderVersion
00007ff80df314ea (__TEXT,__text) non-external (was a private external) _BrotliDefaultAllocFunc
00007ff80df314f7 (__TEXT,__text) non-external (was a private external) _BrotliDefaultFreeFunc
00007ff80df2bfbe (__TEXT,__text) non-external (was a private external) _BrotliDestroyBlockSplit
00007ff80df1d1a3 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompress
00007ff80df1ee70 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompressStream
00007ff80df1cf28 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCreateInstance
00007ff80df1d075 (__TEXT,__text) non-external (was a private external) _BrotliEncoderDestroyInstance
00007ff80df22064 (__TEXT,__text) non-external (was a private external) _BrotliEncoderHasMoreOutput
00007ff80df1fe3d (__TEXT,__text) non-external (was a private external) _BrotliEncoderIsFinished
00007ff80df1d179 (__TEXT,__text) non-external (was a private external) _BrotliEncoderMaxCompressedSize
00007ff80df1ce80 (__TEXT,__text) non-external (was a private external) _BrotliEncoderSetParameter
00007ff80df22077 (__TEXT,__text) non-external (was a private external) _BrotliEncoderTakeOutput
00007ff80df220ed (__TEXT,__text) non-external (was a private external) _BrotliEncoderVersion
00007ff80df3433c (__TEXT,__text) non-external _BrotliEnsureRingBuffer
00007ff80df3b1ba (__TEXT,__text) non-external (was a private external) _BrotliEstimateBitCostsForLiterals
00007ff80df63eac (__TEXT,__text) non-external (was a private external) _BrotliFindAllStaticDictionaryMatches
00007ff80df2ac0e (__TEXT,__text) non-external (was a private external) _BrotliFree
00007ff80df2adcc (__TEXT,__text) non-external (was a private external) _BrotliGetDictionary
00007ff80df4cb50 (__TEXT,__text) non-external (was a private external) _BrotliGetTransforms
00007ff80df42f0c (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceCommand
00007ff80df43c0e (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceDistance
00007ff80df4220a (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceLiteral
00007ff80df42c46 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineCommand
00007ff80df43948 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineDistance
00007ff80df41f44 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineLiteral
00007ff80df43122 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexCommand
00007ff80df43e24 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexDistance
00007ff80df42420 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexLiteral
00007ff80df42f9b (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapCommand
00007ff80df43c9d (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapDistance
00007ff80df42299 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapLiteral
00007ff80df315bc (__TEXT,__text) non-external (was a private external) _BrotliInitBitReader
00007ff80df2bfaa (__TEXT,__text) non-external (was a private external) _BrotliInitBlockSplit
00007ff80df6f1d0 (__TEXT,__text) non-external (was a private external) _BrotliInitDistanceParams
00007ff80df4caec (__TEXT,__text) non-external (was a private external) _BrotliInitEncoderDictionary
00007ff80df2aab9 (__TEXT,__text) non-external (was a private external) _BrotliInitMemoryManager
00007ff80df47113 (__TEXT,__text) non-external (was a private external) _BrotliInitZopfliNodes
00007ff80df65b80 (__TEXT,__text) non-external (was a private external) _BrotliIsMostlyUTF8
00007ff80df70306 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHistograms
00007ff80df3c4cb (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHuffmanCountsForRle
00007ff80df52924 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostCommand
00007ff80df52e74 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostDistance
00007ff80df523e8 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostLiteral
00007ff80df96ea0 (__TEXT,__const) non-external _BrotliReverseBits.kLut
00007ff80df31620 (__TEXT,__text) non-external (was a private external) _BrotliSafeReadBits32Slow
00007ff80df3c19f (__TEXT,__text) non-external (was a private external) _BrotliSetDepth
00007ff80df2add9 (__TEXT,__text) non-external (was a private external) _BrotliSetDictionaryData
00007ff80df2bff9 (__TEXT,__text) non-external (was a private external) _BrotliSplitBlock
00007ff80df4df4a (__TEXT,__text) non-external (was a private external) _BrotliStoreHuffmanTree
00007ff80dfcb3f8 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeBitLengths
00007ff80dfcb3f2 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeSymbols
00007ff80dfcb3e0 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kStorageOrder
00007ff80df4e969 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlock
00007ff80df51005 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockFast
00007ff80df2a378 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
00007ff80df6bd55 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
00007ff80df5065a (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockTrivial
00007ff80df5140f (__TEXT,__text) non-external (was a private external) _BrotliStoreUncompressedMetaBlock
00007ff80df4cb5d (__TEXT,__text) non-external (was a private external) _BrotliTransformDictionaryWord
00007ff80df315d0 (__TEXT,__text) non-external (was a private external) _BrotliWarmupBitReader
00007ff80df2ac53 (__TEXT,__text) non-external (was a private external) _BrotliWipeOutMemoryManager
00007ff80df3c8bb (__TEXT,__text) non-external (was a private external) _BrotliWriteHuffmanTree
00007ff80df47468 (__TEXT,__text) non-external (was a private external) _BrotliZopfliComputeShortestPath
00007ff80df47136 (__TEXT,__text) non-external (was a private external) _BrotliZopfliCreateCommands
00007ff80df4f5c4 (__TEXT,__text) non-external _BuildAndStoreBlockSwitchEntropyCodes
00007ff80df2a887 (__TEXT,__text) non-external _BuildAndStoreCommandPrefixCode
00007ff80df50996 (__TEXT,__text) non-external _BuildAndStoreHuffmanTree
00007ff80df2a42e (__TEXT,__text) non-external _BuildAndStoreLiteralPrefixCode
00007ff80df508ce (__TEXT,__text) non-external _BuildHistograms
00007ff80df76dd0 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapContinuation
00007ff80df76ed0 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapSimpleUTF8
00007ff80df220f8 (__TEXT,__text) non-external _ChooseDistanceParams
00007ff80df2ab4a (__TEXT,__text) non-external _CollectGarbagePointers
00007ff80df6fab9 (__TEXT,__text) non-external _ComputeDistanceCost
00007ff80df48f94 (__TEXT,__text) non-external _ComputeShortestPathFromNodes
00007ff80df7124b (__TEXT,__text) non-external _ContextBlockSplitterFinishBlock
00007ff80df33d48 (__TEXT,__text) non-external _CopyUncompressedBlockToOutput
00007ff80df5614c (__TEXT,__text) non-external _CreateBackwardReferencesNH2
00007ff80df570a6 (__TEXT,__text) non-external _CreateBackwardReferencesNH3
00007ff80df60564 (__TEXT,__text) non-external _CreateBackwardReferencesNH35
00007ff80df57d7e (__TEXT,__text) non-external _CreateBackwardReferencesNH4
00007ff80df5b953 (__TEXT,__text) non-external _CreateBackwardReferencesNH40
00007ff80df5cde1 (__TEXT,__text) non-external _CreateBackwardReferencesNH41
00007ff80df5e2b6 (__TEXT,__text) non-external _CreateBackwardReferencesNH42
00007ff80df58eab (__TEXT,__text) non-external _CreateBackwardReferencesNH5
00007ff80df5f816 (__TEXT,__text) non-external _CreateBackwardReferencesNH54
00007ff80df6151c (__TEXT,__text) non-external _CreateBackwardReferencesNH55
00007ff80df5a3b0 (__TEXT,__text) non-external _CreateBackwardReferencesNH6
00007ff80df62568 (__TEXT,__text) non-external _CreateBackwardReferencesNH65
00007ff80df23364 (__TEXT,__text) non-external _DecideOverLiteralContextModeling
00007ff80df76cc0 (__TEXT,__const) non-external _DecideOverLiteralContextModeling.lut
00007ff80df36120 (__TEXT,__text) non-external _DecodeCommandBlockSwitch
00007ff80df33ec2 (__TEXT,__text) non-external _DecodeContextMap
00007ff80df36c7f (__TEXT,__text) non-external _DecodeDistanceBlockSwitch
00007ff80df366d9 (__TEXT,__text) non-external _DecodeLiteralBlockSwitch
00007ff80df32b61 (__TEXT,__text) non-external _DecodeMetaBlockLength
00007ff80df3312e (__TEXT,__text) non-external _DecodeVarLenUint8
00007ff80df2a2f8 (__TEXT,__text) non-external _EmitUncompressedMetaBlock
00007ff80df4faf3 (__TEXT,__text) non-external _EncodeContextMap
00007ff80df1ff6e (__TEXT,__text) non-external _EncodeData
00007ff80df48db9 (__TEXT,__text) non-external _EvaluateNode
00007ff80df22c1a (__TEXT,__text) non-external _ExtendLastCommand
00007ff80df96f70 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff80dfd48d0 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff80dfed3e0 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff80df22a5f (__TEXT,__text) non-external _GetBrotliStorage
00007ff80df22ad3 (__TEXT,__text) non-external _GetHashTable
00007ff80df705d4 (__TEXT,__text) non-external _InitBlockSplitterCommand
00007ff80df7078f (__TEXT,__text) non-external _InitBlockSplitterDistance
00007ff80df70419 (__TEXT,__text) non-external _InitBlockSplitterLiteral
00007ff80df76bc0 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandBits
00007ff80dfed880 (__TEXT,__cstring) non-external _InitCommandPrefixCodes.kDefaultCommandCode
00007ff80df76b40 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandDepths
00007ff80df48353 (__TEXT,__text) non-external _InitZopfliCostModel
00007ff80df223b7 (__TEXT,__text) non-external _InitializeH6
00007ff80df1fe5b (__TEXT,__text) non-external _InjectFlushOrPushOutput
00007ff80df35bcb (__TEXT,__text) non-external _InverseMoveToFrontTransform
00007ff80df3dfa4 (__TEXT,__text) non-external _LZFSEIBootBufferCopy
00007ff80df3df56 (__TEXT,__text) non-external _LZFSEIBootBufferPush
00007ff80df3de7b (__TEXT,__text) non-external _LZFSEIBootBufferPushN
00007ff80df72e9d (__TEXT,__text) non-external _MapStaticContexts
00007ff80df22775 (__TEXT,__text) non-external _PrepareH35
00007ff80df2241e (__TEXT,__text) non-external _PrepareH4
00007ff80df22542 (__TEXT,__text) non-external _PrepareH40
00007ff80df225d8 (__TEXT,__text) non-external _PrepareH41
00007ff80df2266e (__TEXT,__text) non-external _PrepareH42
00007ff80df22485 (__TEXT,__text) non-external _PrepareH5
00007ff80df2270e (__TEXT,__text) non-external _PrepareH54
00007ff80df22877 (__TEXT,__text) non-external _PrepareH55
00007ff80df224d9 (__TEXT,__text) non-external _PrepareH6
00007ff80df22929 (__TEXT,__text) non-external _PrepareH65
00007ff80df343e1 (__TEXT,__text) non-external _ProcessCommands
00007ff80df332e9 (__TEXT,__text) non-external _ReadHuffmanCode
00007ff80df35dbc (__TEXT,__text) non-external _SafeDecodeCommandBlockSwitch
00007ff80df3690c (__TEXT,__text) non-external _SafeDecodeDistanceBlockSwitch
00007ff80df36308 (__TEXT,__text) non-external _SafeDecodeLiteralBlockSwitch
00007ff80df35b27 (__TEXT,__text) non-external _SafeDecodeSymbol
00007ff80df34e78 (__TEXT,__text) non-external _SafeProcessCommands
00007ff80df32a18 (__TEXT,__text) non-external _SaveErrorCode
00007ff80df4a5bb (__TEXT,__text) non-external _SetCost
00007ff80df4cd7e (__TEXT,__text) non-external _Shift
00007ff80df2213e (__TEXT,__text) non-external _ShouldCompress
00007ff80df6bb04 (__TEXT,__text) non-external _ShouldCompress
00007ff80df2a66c (__TEXT,__text) non-external _ShouldMergeBlock
00007ff80df76cd0 (__TEXT,__const) non-external _ShouldUseComplexStaticContextMap.kStaticContextMapComplexUTF8
00007ff80df2ac8e (__TEXT,__text) non-external _SortPointers
00007ff80df772a0 (__TEXT,__const) non-external _SortPointers.gaps
00007ff80df6be0b (__TEXT,__text) non-external _StoreCommands
00007ff80dfcc160 (__TEXT,__const) non-external _StoreCommands.kInsertOffset
00007ff80dfcbf60 (__TEXT,__const) non-external _StoreCommands.kNumExtraBits
00007ff80df4f47d (__TEXT,__text) non-external _StoreCompressedMetaBlockHeader
00007ff80df50d2d (__TEXT,__text) non-external _StoreDataWithHuffmanCodes
00007ff80df502d7 (__TEXT,__text) non-external _StoreSymbol
00007ff80df5048f (__TEXT,__text) non-external _StoreSymbolWithContext
00007ff80df4f8a8 (__TEXT,__text) non-external _StoreTrivialContextMap
00007ff80df5158e (__TEXT,__text) non-external _StoreVarLenUint8
00007ff80df2a804 (__TEXT,__text) non-external _UpdateBits
00007ff80df22baa (__TEXT,__text) non-external _UpdateLastProcessedPos
00007ff80df4850f (__TEXT,__text) non-external _UpdateNodes
00007ff80df35998 (__TEXT,__text) non-external _WrapRingBuffer
00007ff80df22e94 (__TEXT,__text) non-external _WriteMetaBlockInternal
00007ff80df32a2c (__TEXT,__text) non-external _WriteRingBuffer
00007ff80df483c5 (__TEXT,__text) non-external _ZopfliCostModelSetFromLiteralCosts
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ff80df974e0 (__TEXT,__const) non-external __ZL22lzma_copy_with_patternPhjj.repeat_off
00007ff80df973f0 (__TEXT,__const) non-external __ZL22lzma_copy_with_patternPhjj.repeat_perm
00007ff842401560 (__DATA,__const) non-external ___block_descriptor_tmp
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff80df39a8f (__TEXT,__text) non-external ___yzip_jobs_process_block_invoke
00007ff80dfd32b0 (__TEXT,__const) non-external (was a private external) __dist_code
00007ff80dfcb740 (__TEXT,__const) non-external (was a private external) __kBrotliContextLookupTable
00007ff80df76fe0 (__TEXT,__const) non-external (was a private external) __kBrotliPrefixCodeRanges
00007ff80dfd34b0 (__TEXT,__const) non-external (was a private external) __length_code
00007ff80df6ef05 (__TEXT,__text) non-external (was a private external) __tr_align
00007ff80df15883 (__TEXT,__text) non-external (was a private external) __tr_flush_block
00007ff80df13c43 (__TEXT,__text) non-external (was a private external) __tr_init
00007ff80df6eddc (__TEXT,__text) non-external (was a private external) __tr_stored_block
00007ff80df6f135 (__TEXT,__text) non-external (was a private external) __tr_tally
00007ff80df13b04 (__TEXT,__text) non-external (was a private external) _adler32
00007ff80df1c970 (__TEXT,__text) non-external (was a private external) _adler32_vec
00007ff80dfd3ca0 (__TEXT,__const) non-external _base_dist
00007ff80dfd3c20 (__TEXT,__const) non-external _base_length
00007ff80df6f0b3 (__TEXT,__text) non-external _bi_flush
00007ff80df171c0 (__TEXT,__text) non-external _bi_windup
00007ff80dfd3c00 (__TEXT,__const) non-external _bl_order
00007ff80dfcb4c0 (__TEXT,__const) non-external _breverse.brev8
00007ff80df6d021 (__TEXT,__text) non-external (was a private external) _brotli_decode_buffer
00007ff80df6d056 (__TEXT,__text) non-external (was a private external) _brotli_encode_buffer
00007ff80df6d20d (__TEXT,__text) non-external (was a private external) _brotli_stream_end
00007ff80df6d137 (__TEXT,__text) non-external (was a private external) _brotli_stream_init
00007ff80df6d092 (__TEXT,__text) non-external (was a private external) _brotli_stream_process
00007ff80df16227 (__TEXT,__text) non-external _build_tree
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00007ff80df6cfaa (__TEXT,__text) non-external (was a private external) _codecGetFooterID
00007ff80df6c5c6 (__TEXT,__text) non-external (was a private external) _codecReadHeader
00007ff80df6cf32 (__TEXT,__text) non-external (was a private external) _codecResetModel
00007ff80df6ca98 (__TEXT,__text) non-external (was a private external) _codecWriteHeader
00007ff80df16db2 (__TEXT,__text) non-external _compress_block
00007ff80df19049 (__TEXT,__text) external _compression_decode_buffer
00007ff80df18f45 (__TEXT,__text) external _compression_decode_scratch_buffer_size
00007ff80df65ee5 (__TEXT,__text) external _compression_encode_buffer
00007ff80df65d93 (__TEXT,__text) external _compression_encode_scratch_buffer_size
00007ff80df17380 (__TEXT,__text) external _compression_stream_destroy
00007ff80df3b0c8 (__TEXT,__text) external _compression_stream_get_decode_state_size
00007ff80df3b072 (__TEXT,__text) external _compression_stream_get_encode_state_size
00007ff80df3b02a (__TEXT,__text) external _compression_stream_get_state_size
00007ff80df3afa8 (__TEXT,__text) external _compression_stream_identify_algorithm
00007ff80df13540 (__TEXT,__text) external _compression_stream_init
00007ff80df3af5b (__TEXT,__text) external _compression_stream_init_with_state_buffer
00007ff80df3b11e (__TEXT,__text) external _compression_stream_is_state_valid
00007ff80df14177 (__TEXT,__text) external _compression_stream_process
00007ff80df1978f (__TEXT,__text) external _compression_stream_reinit
00007ff842401dd0 (__DATA,__const) non-external _configuration_table
00007ff80df41951 (__TEXT,__text) non-external _convert_row_16to8
00007ff80df418ec (__TEXT,__text) non-external _convert_row_8to16
00007ff80df4167f (__TEXT,__text) non-external _convert_row_GUVAtoRGBA8888
00007ff80df4118c (__TEXT,__text) non-external _convert_row_GUVtoRGB888
00007ff80df41c13 (__TEXT,__text) non-external _convert_row_PlanarRGtoRG
00007ff80df419c7 (__TEXT,__text) non-external _convert_row_RG88toRG
00007ff80df40f6d (__TEXT,__text) non-external _convert_row_RGB888toGUV
00007ff80df413c5 (__TEXT,__text) non-external _convert_row_RGBA8888toGUVA
00007ff80df41b25 (__TEXT,__text) non-external _convert_row_RGtoPlanarRG
00007ff80df41a75 (__TEXT,__text) non-external _convert_row_RGtoRG88
00007ff80df419ba (__TEXT,__text) non-external _convert_row_copy16
00007ff80df4038a (__TEXT,__text) non-external (was a private external) _convert_row_to_lsb
00007ff80df40330 (__TEXT,__text) non-external (was a private external) _convert_row_to_msb
00007ff80df40ce0 (__TEXT,__text) non-external _convert_rows_from_bayer16
00007ff80df40aac (__TEXT,__text) non-external _convert_rows_from_bayer8
00007ff80df404ec (__TEXT,__text) non-external _convert_rows_from_quadra8
00007ff80df40e46 (__TEXT,__text) non-external _convert_rows_to_bayer16
00007ff80df40bc9 (__TEXT,__text) non-external _convert_rows_to_bayer8
00007ff80df407dd (__TEXT,__text) non-external _convert_rows_to_quadra8
00007ff80df5439d (__TEXT,__text) external _cosmix_codec_decode
00007ff80df53a37 (__TEXT,__text) external _cosmix_codec_encode
00007ff80df542b9 (__TEXT,__text) external _cosmix_codec_get_decoded_size
00007ff80df54e44 (__TEXT,__text) external _cosmix_codec_get_id
00007ff80df54cb8 (__TEXT,__text) external _cosmix_codec_map
00007ff80df54dfc (__TEXT,__text) external _cosmix_codec_unmap
00007ff80df548e4 (__TEXT,__text) external _cosmix_model_create
00007ff80df54a03 (__TEXT,__text) external _cosmix_model_destroy
00007ff80df54a2c (__TEXT,__text) external _cosmix_model_save_codec
00007ff80df533c4 (__TEXT,__text) external _cosmix_model_update
00007ff80df6c29a (__TEXT,__text) non-external (was a private external) _crc32
00007ff80dfd4b80 (__TEXT,__const) non-external _crc32_lut4
00007ff80dfcc1c0 (__TEXT,__const) non-external _crc_table
00007ff80df3eac3 (__TEXT,__text) non-external _create_rectangle_within_image
00007ff80df31504 (__TEXT,__text) non-external (was a private external) _create_thread
00007ff80df1458f (__TEXT,__text) non-external (was a private external) _deflate
00007ff80df74b21 (__TEXT,__text) non-external (was a private external) _deflateBound
00007ff80df750f1 (__TEXT,__text) non-external (was a private external) _deflateCopy
00007ff80df17295 (__TEXT,__text) non-external (was a private external) _deflateEnd
00007ff80df13706 (__TEXT,__text) non-external (was a private external) _deflateInit2_
00007ff80df74842 (__TEXT,__text) non-external (was a private external) _deflateInit_
00007ff80df74a04 (__TEXT,__text) non-external (was a private external) _deflateParams
00007ff80df749cf (__TEXT,__text) non-external (was a private external) _deflatePrime
00007ff80df139bd (__TEXT,__text) non-external (was a private external) _deflateReset
00007ff80df7486c (__TEXT,__text) non-external (was a private external) _deflateSetDictionary
00007ff80df749aa (__TEXT,__text) non-external (was a private external) _deflateSetHeader
00007ff80df74aed (__TEXT,__text) non-external (was a private external) _deflateTune
00007ff80dfd4b20 (__TEXT,__const) non-external (was a private external) _deflate_copyright
00007ff80df754ac (__TEXT,__text) non-external _deflate_fast
00007ff80df74c2e (__TEXT,__text) non-external _deflate_huff
00007ff80df74da8 (__TEXT,__text) non-external _deflate_rle
00007ff80df14f77 (__TEXT,__text) non-external _deflate_slow
00007ff80df752e6 (__TEXT,__text) non-external _deflate_stored
                 (undefined) external _dispatch_apply (from libSystem)
00007ff80df4d891 (__TEXT,__text) non-external _emitMatch
00007ff80dfd3bb0 (__TEXT,__const) non-external _extra_blbits
00007ff80dfd3b30 (__TEXT,__const) non-external _extra_dbits
00007ff80dfd3ab0 (__TEXT,__const) non-external _extra_lbits
                 (undefined) external _fclose (from libSystem)
00007ff80df15455 (__TEXT,__text) non-external _fill_window
00007ff80df17231 (__TEXT,__text) non-external _flush_pending
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _free (from libSystem)
00007ff80df747f6 (__TEXT,__text) non-external _fse_adjust_freqs
                 (undefined) external _fwrite (from libSystem)
00007ff80dfd47d0 (__TEXT,__const) non-external _getDSymbolFromValue.sym
00007ff80dfd3d50 (__TEXT,__const) non-external _getLSymbolFromValue.sym
00007ff80dfd3e90 (__TEXT,__const) non-external _getMSymbolFromValue.sym
00007ff80df403e4 (__TEXT,__text) non-external (was a private external) _get_conversion_set
00007ff80df6c28d (__TEXT,__text) non-external (was a private external) _get_crc_table
00007ff80df44d7e (__TEXT,__text) non-external (was a private external) _get_default_nthreads
00007ff80df3e207 (__TEXT,__text) non-external _get_format_bits
00007ff80df3e061 (__TEXT,__text) non-external (was a private external) _get_format_bytes_per_pixel
00007ff80df3e082 (__TEXT,__text) non-external (was a private external) _get_format_components
00007ff80df3e0fc (__TEXT,__text) non-external (was a private external) _get_format_convert_at_once
00007ff80df3e3b1 (__TEXT,__text) non-external _get_format_plane_count
00007ff80df3e11d (__TEXT,__text) non-external (was a private external) _get_format_process_at_once
00007ff80df38930 (__TEXT,__text) non-external (was a private external) _get_max_payload_size
00007ff80df3896b (__TEXT,__text) non-external (was a private external) _get_plane_max_rice_size
00007ff80df389ac (__TEXT,__text) non-external (was a private external) _get_pool_size
00007ff80df44d4a (__TEXT,__text) non-external (was a private external) _get_real_time
