                 (undefined) external ___assert_rtn (from libSystem)
000000018ccdb920 (__TEXT,__text) external ___cmph_dump
000000018cce1518 (__TEXT,__const) non-external _bitmask
000000018cce15b0 (__TEXT,__const) non-external _bitmask
000000018cce13e8 (__TEXT,__const) non-external _bitmask32
000000018cce1490 (__TEXT,__const) non-external _bitmask32
000000018cce1520 (__TEXT,__const) non-external _bitmask32
000000018ccd4f68 (__TEXT,__text) external _bmz8_config_destroy
000000018ccd4f3c (__TEXT,__text) external _bmz8_config_new
000000018ccd4f70 (__TEXT,__text) external _bmz8_config_set_hashfuncs
000000018ccd5f90 (__TEXT,__text) external _bmz8_destroy
000000018ccd5cac (__TEXT,__text) external _bmz8_dump
000000018ccd5dc8 (__TEXT,__text) external _bmz8_load
000000018ccd4f98 (__TEXT,__text) external _bmz8_new
000000018ccdfd60 (__TEXT,__text) non-external _bmz8_new.cold.1
000000018ccd5ff8 (__TEXT,__text) external _bmz8_pack
000000018ccd60a4 (__TEXT,__text) external _bmz8_packed_size
000000018ccd5f00 (__TEXT,__text) external _bmz8_search
000000018ccd6110 (__TEXT,__text) external _bmz8_search_packed
000000018ccd61d0 (__TEXT,__text) non-external _bmz8_traverse
000000018ccdfd8c (__TEXT,__text) non-external _bmz8_traverse.cold.1
000000018ccd3c30 (__TEXT,__text) external _bmz_config_destroy
000000018ccd3c04 (__TEXT,__text) external _bmz_config_new
000000018ccd3c38 (__TEXT,__text) external _bmz_config_set_hashfuncs
000000018ccd4bd0 (__TEXT,__text) external _bmz_destroy
000000018ccd48f8 (__TEXT,__text) external _bmz_dump
000000018ccd4a14 (__TEXT,__text) external _bmz_load
000000018ccd3c60 (__TEXT,__text) external _bmz_new
000000018ccdfd08 (__TEXT,__text) non-external _bmz_new.cold.1
000000018ccd4c38 (__TEXT,__text) external _bmz_pack
000000018ccd4ce8 (__TEXT,__text) external _bmz_packed_size
000000018ccd4b50 (__TEXT,__text) external _bmz_search
000000018ccd4d54 (__TEXT,__text) external _bmz_search_packed
000000018ccd4e04 (__TEXT,__text) non-external _bmz_traverse
000000018ccdfd34 (__TEXT,__text) non-external _bmz_traverse.cold.1
000000018ccd638c (__TEXT,__text) external _brz_config_destroy
000000018ccd6308 (__TEXT,__text) external _brz_config_new
000000018ccd6504 (__TEXT,__text) external _brz_config_set_algo
000000018ccd64e8 (__TEXT,__text) external _brz_config_set_b
000000018ccd63c8 (__TEXT,__text) external _brz_config_set_hashfuncs
000000018ccd63fc (__TEXT,__text) external _brz_config_set_memory_availability
000000018ccd64c4 (__TEXT,__text) external _brz_config_set_mphf_fd
000000018ccdfdb8 (__TEXT,__text) non-external _brz_config_set_mphf_fd.cold.1
000000018ccd6410 (__TEXT,__text) external _brz_config_set_tmp_dir
000000018ccd7810 (__TEXT,__text) external _brz_destroy
000000018ccd72d4 (__TEXT,__text) external _brz_dump
000000018ccd7378 (__TEXT,__text) external _brz_load
000000018ccdfe94 (__TEXT,__text) non-external _brz_load.cold.1
000000018ccd6520 (__TEXT,__text) external _brz_new
000000018ccdfde4 (__TEXT,__text) non-external _brz_new.cold.1
000000018ccdfe10 (__TEXT,__text) non-external _brz_new.cold.2
000000018ccdfe3c (__TEXT,__text) non-external _brz_new.cold.3
000000018ccdfe68 (__TEXT,__text) non-external _brz_new.cold.4
000000018ccd78d0 (__TEXT,__text) external _brz_pack
000000018ccdfeec (__TEXT,__text) non-external _brz_pack.cold.1
000000018ccd7a6c (__TEXT,__text) external _brz_packed_size
000000018ccdff18 (__TEXT,__text) non-external _brz_packed_size.cold.1
000000018ccd7614 (__TEXT,__text) external _brz_search
000000018ccdfec0 (__TEXT,__text) non-external _brz_search.cold.1
000000018ccd7b5c (__TEXT,__text) external _brz_search_packed
000000018ccdff44 (__TEXT,__text) non-external _brz_search_packed.cold.1
000000018ccd7ff4 (__TEXT,__text) external _buffer_entry_destroy
000000018ccd7e54 (__TEXT,__text) external _buffer_entry_get_capacity
000000018ccd7f90 (__TEXT,__text) non-external _buffer_entry_load
000000018ccd7dd8 (__TEXT,__text) external _buffer_entry_new
000000018ccd7e14 (__TEXT,__text) external _buffer_entry_open
000000018ccd7e5c (__TEXT,__text) external _buffer_entry_read_key
000000018ccd7e4c (__TEXT,__text) external _buffer_entry_set_capacity
000000018ccd819c (__TEXT,__text) external _buffer_manager_destroy
000000018ccd803c (__TEXT,__text) external _buffer_manager_new
000000018ccd80dc (__TEXT,__text) external _buffer_manager_open
000000018ccd80ec (__TEXT,__text) external _buffer_manager_read_key
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
000000018ccd8250 (__TEXT,__text) external _chd_config_destroy
000000018ccd8208 (__TEXT,__text) external _chd_config_new
000000018ccd829c (__TEXT,__text) external _chd_config_set_b
000000018ccd8290 (__TEXT,__text) external _chd_config_set_hashfuncs
000000018ccd82a8 (__TEXT,__text) external _chd_config_set_keys_per_bin
000000018ccd85f0 (__TEXT,__text) external _chd_destroy
000000018ccd8574 (__TEXT,__text) external _chd_dump
000000018ccd84c4 (__TEXT,__text) external _chd_load
000000018ccd82b4 (__TEXT,__text) external _chd_new
000000018ccd8680 (__TEXT,__text) external _chd_pack
000000018ccd86e4 (__TEXT,__text) external _chd_packed_size
000000018ccd8784 (__TEXT,__text) external _chd_ph_config_destroy
000000018ccd8740 (__TEXT,__text) external _chd_ph_config_new
000000018ccd87dc (__TEXT,__text) external _chd_ph_config_set_b
000000018ccdff70 (__TEXT,__text) non-external _chd_ph_config_set_b.cold.1
000000018ccd87c4 (__TEXT,__text) external _chd_ph_config_set_hashfuncs
000000018ccd8810 (__TEXT,__text) external _chd_ph_config_set_keys_per_bin
000000018ccdff9c (__TEXT,__text) non-external _chd_ph_config_set_keys_per_bin.cold.1
000000018ccd94f0 (__TEXT,__text) external _chd_ph_destroy
000000018ccd940c (__TEXT,__text) external _chd_ph_dump
000000018ccd92ec (__TEXT,__text) external _chd_ph_load
000000018ccd8840 (__TEXT,__text) external _chd_ph_new
000000018ccdffc8 (__TEXT,__text) non-external _chd_ph_new.cold.1
000000018ccd9600 (__TEXT,__text) external _chd_ph_pack
000000018ccd967c (__TEXT,__text) external _chd_ph_packed_size
000000018ccd9548 (__TEXT,__text) external _chd_ph_search
000000018ccd96bc (__TEXT,__text) external _chd_ph_search_packed
000000018ccd8640 (__TEXT,__text) external _chd_search
000000018ccd86fc (__TEXT,__text) external _chd_search_packed
000000018ccdf104 (__TEXT,__text) external _check_primality
000000018ccd9970 (__TEXT,__text) external _chm_config_destroy
000000018ccd9944 (__TEXT,__text) external _chm_config_new
000000018ccd9978 (__TEXT,__text) external _chm_config_set_hashfuncs
000000018ccda14c (__TEXT,__text) external _chm_destroy
000000018ccd9e60 (__TEXT,__text) external _chm_dump
000000018ccd9f7c (__TEXT,__text) external _chm_load
000000018ccd99a0 (__TEXT,__text) external _chm_new
000000018ccdfff4 (__TEXT,__text) non-external _chm_new.cold.1
000000018ccda1b4 (__TEXT,__text) external _chm_pack
000000018ccda270 (__TEXT,__text) external _chm_packed_size
000000018ccda0b8 (__TEXT,__text) external _chm_search
000000018ccda2dc (__TEXT,__text) external _chm_search_packed
000000018ccd9d6c (__TEXT,__text) non-external _chm_traverse
000000018ccdacf4 (__TEXT,__text) external _cmph_config_destroy
000000018cce01ac (__TEXT,__text) non-external _cmph_config_destroy.cold.1
000000018ccdaa70 (__TEXT,__text) external _cmph_config_new
000000018cce0128 (__TEXT,__text) non-external _cmph_config_new.cold.1
000000018ccdaab0 (__TEXT,__text) external _cmph_config_set_algo
000000018cce0154 (__TEXT,__text) non-external _cmph_config_set_algo.cold.1
000000018cce0180 (__TEXT,__text) non-external _cmph_config_set_algo.cold.2
000000018ccdac64 (__TEXT,__text) external _cmph_config_set_b
000000018ccdae74 (__TEXT,__text) external _cmph_config_set_graphsize
000000018ccdadfc (__TEXT,__text) external _cmph_config_set_hashfuncs
000000018ccdacc0 (__TEXT,__text) external _cmph_config_set_keys_per_bin
000000018ccdace0 (__TEXT,__text) external _cmph_config_set_memory_availability
000000018ccdac50 (__TEXT,__text) external _cmph_config_set_mphf_fd
000000018ccdac3c (__TEXT,__text) external _cmph_config_set_tmp_dir
000000018ccdadf4 (__TEXT,__text) external _cmph_config_set_verbosity
000000018ccdb3e8 (__TEXT,__text) external _cmph_destroy
000000018cce0288 (__TEXT,__text) non-external _cmph_destroy.cold.1
000000018ccdb06c (__TEXT,__text) external _cmph_dump
000000018cce0204 (__TEXT,__text) non-external _cmph_dump.cold.1
00000001d5640768 (__DATA,__data) external _cmph_hash_names
000000018ccda6a8 (__TEXT,__text) external _cmph_io_byte_vector_adapter
000000018ccda7dc (__TEXT,__text) external _cmph_io_byte_vector_adapter_destroy
000000018ccda3ac (__TEXT,__text) external _cmph_io_nlfile_adapter
000000018cce0020 (__TEXT,__text) non-external _cmph_io_nlfile_adapter.cold.1
000000018ccda634 (__TEXT,__text) external _cmph_io_nlfile_adapter_destroy
000000018ccda638 (__TEXT,__text) external _cmph_io_nlnkfile_adapter
000000018cce004c (__TEXT,__text) non-external _cmph_io_nlnkfile_adapter.cold.1
000000018ccda6a4 (__TEXT,__text) external _cmph_io_nlnkfile_adapter_destroy
000000018ccda818 (__TEXT,__text) external _cmph_io_struct_vector_adapter
000000018cce00d0 (__TEXT,__text) non-external _cmph_io_struct_vector_adapter.cold.1
000000018cce00fc (__TEXT,__text) non-external _cmph_io_struct_vector_adapter.cold.2
000000018ccda944 (__TEXT,__text) external _cmph_io_struct_vector_adapter_destroy
000000018ccda980 (__TEXT,__text) external _cmph_io_vector_adapter
000000018ccdaa34 (__TEXT,__text) external _cmph_io_vector_adapter_destroy
000000018ccda6f0 (__TEXT,__text) non-external _cmph_io_vector_new
000000018cce0078 (__TEXT,__text) non-external _cmph_io_vector_new.cold.1
000000018cce00a4 (__TEXT,__text) non-external _cmph_io_vector_new.cold.2
000000018ccdb1a4 (__TEXT,__text) external _cmph_load
000000018cce0230 (__TEXT,__text) non-external _cmph_load.cold.1
00000001d5640718 (__DATA,__data) external _cmph_names
000000018ccdae7c (__TEXT,__text) external _cmph_new
000000018cce01d8 (__TEXT,__text) non-external _cmph_new.cold.1
000000018ccdb520 (__TEXT,__text) external _cmph_pack
000000018cce02b4 (__TEXT,__text) non-external _cmph_pack.cold.1
000000018ccdb65c (__TEXT,__text) external _cmph_packed_size
000000018cce02e0 (__TEXT,__text) non-external _cmph_packed_size.cold.1
000000018ccdb2b4 (__TEXT,__text) external _cmph_search
000000018cce025c (__TEXT,__text) non-external _cmph_search.cold.1
000000018ccdb794 (__TEXT,__text) external _cmph_search_packed
000000018cce030c (__TEXT,__text) non-external _cmph_search_packed.cold.1
000000018ccdb3e0 (__TEXT,__text) external _cmph_size
000000018ccdbad8 (__TEXT,__text) external _compressed_rank_destroy
000000018ccdbe08 (__TEXT,__text) external _compressed_rank_dump
000000018ccdbb18 (__TEXT,__text) external _compressed_rank_generate
000000018ccdbdc8 (__TEXT,__text) external _compressed_rank_get_space_usage
000000018ccdbaa4 (__TEXT,__text) external _compressed_rank_init
000000018ccdbf0c (__TEXT,__text) external _compressed_rank_load
000000018ccdbfac (__TEXT,__text) external _compressed_rank_pack
000000018ccdc00c (__TEXT,__text) external _compressed_rank_packed_size
000000018ccdbcb8 (__TEXT,__text) external _compressed_rank_query
000000018ccdc050 (__TEXT,__text) external _compressed_rank_query_packed
000000018ccdc19c (__TEXT,__text) external _compressed_seq_destroy
000000018ccdc658 (__TEXT,__text) external _compressed_seq_dump
000000018ccdc1e8 (__TEXT,__text) external _compressed_seq_generate
000000018ccdc48c (__TEXT,__text) external _compressed_seq_get_space_usage
000000018ccdc168 (__TEXT,__text) external _compressed_seq_init
000000018ccdc788 (__TEXT,__text) external _compressed_seq_load
000000018ccdc86c (__TEXT,__text) external _compressed_seq_pack
000000018ccdc8cc (__TEXT,__text) external _compressed_seq_packed_size
000000018ccdc4dc (__TEXT,__text) external _compressed_seq_query
000000018cce0338 (__TEXT,__text) non-external _compressed_seq_query.cold.1
000000018ccdc924 (__TEXT,__text) external _compressed_seq_query_packed
000000018ccde388 (__TEXT,__text) non-external _cyclic_del_edge
000000018ccde1dc (__TEXT,__text) non-external _del_edge_point
000000018cce07dc (__TEXT,__text) non-external _del_edge_point.cold.1
                 (undefined) external _exit (from libSystem)
000000018ccddd64 (__TEXT,__text) external _fch_buckets_destroy
000000018cce06a8 (__TEXT,__text) non-external _fch_buckets_destroy.cold.1
000000018ccddb68 (__TEXT,__text) external _fch_buckets_get_indexes_sorted_by_size
000000018cce0624 (__TEXT,__text) non-external _fch_buckets_get_indexes_sorted_by_size.cold.1
000000018cce0650 (__TEXT,__text) non-external _fch_buckets_get_indexes_sorted_by_size.cold.2
000000018ccddaa8 (__TEXT,__text) external _fch_buckets_get_key
000000018cce051c (__TEXT,__text) non-external _fch_buckets_get_key.cold.1
000000018cce0548 (__TEXT,__text) non-external _fch_buckets_get_key.cold.2
000000018cce0574 (__TEXT,__text) non-external _fch_buckets_get_key.cold.3
000000018ccddb00 (__TEXT,__text) external _fch_buckets_get_keylength
000000018cce05a0 (__TEXT,__text) non-external _fch_buckets_get_keylength.cold.1
000000018cce05cc (__TEXT,__text) non-external _fch_buckets_get_keylength.cold.2
000000018cce05f8 (__TEXT,__text) non-external _fch_buckets_get_keylength.cold.3
000000018ccddb58 (__TEXT,__text) external _fch_buckets_get_max_size
000000018ccddb60 (__TEXT,__text) external _fch_buckets_get_nbuckets
000000018ccdda70 (__TEXT,__text) external _fch_buckets_get_size
000000018cce04c4 (__TEXT,__text) non-external _fch_buckets_get_size.cold.1
000000018cce04f0 (__TEXT,__text) non-external _fch_buckets_get_size.cold.2
000000018ccdd970 (__TEXT,__text) external _fch_buckets_insert
000000018cce0414 (__TEXT,__text) non-external _fch_buckets_insert.cold.1
000000018cce0440 (__TEXT,__text) non-external _fch_buckets_insert.cold.2
000000018cce046c (__TEXT,__text) non-external _fch_buckets_insert.cold.3
000000018cce0498 (__TEXT,__text) non-external _fch_buckets_insert.cold.4
000000018ccdd930 (__TEXT,__text) external _fch_buckets_is_empty
000000018cce03bc (__TEXT,__text) non-external _fch_buckets_is_empty.cold.1
000000018cce03e8 (__TEXT,__text) non-external _fch_buckets_is_empty.cold.2
000000018ccdd8bc (__TEXT,__text) external _fch_buckets_new
000000018cce0364 (__TEXT,__text) non-external _fch_buckets_new.cold.1
000000018cce0390 (__TEXT,__text) non-external _fch_buckets_new.cold.2
000000018ccddc88 (__TEXT,__text) external _fch_buckets_print
000000018cce067c (__TEXT,__text) non-external _fch_buckets_print.cold.1
000000018ccdcb30 (__TEXT,__text) external _fch_calc_b
000000018ccdcb78 (__TEXT,__text) external _fch_calc_p1
000000018ccdcb90 (__TEXT,__text) external _fch_calc_p2
000000018ccdcac8 (__TEXT,__text) external _fch_config_destroy
000000018ccdca98 (__TEXT,__text) external _fch_config_new
000000018ccdcad0 (__TEXT,__text) external _fch_config_set_hashfuncs
000000018ccdd644 (__TEXT,__text) external _fch_destroy
000000018ccdd2d4 (__TEXT,__text) external _fch_dump
000000018ccdd40c (__TEXT,__text) external _fch_load
000000018ccdcba8 (__TEXT,__text) external _fch_new
000000018ccdd69c (__TEXT,__text) external _fch_pack
000000018ccdd758 (__TEXT,__text) external _fch_packed_size
000000018ccdd594 (__TEXT,__text) external _fch_search
000000018ccdd7bc (__TEXT,__text) external _fch_search_packed
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _feof (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fgets (from libSystem)
000000018ccde73c (__TEXT,__text) non-external _find_degree1_edge
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fwrite (from libSystem)
000000018ccde020 (__TEXT,__text) external _graph_add_edge
000000018cce06d4 (__TEXT,__text) non-external _graph_add_edge.cold.1
000000018cce0700 (__TEXT,__text) non-external _graph_add_edge.cold.2
000000018cce072c (__TEXT,__text) non-external _graph_add_edge.cold.3
000000018cce0758 (__TEXT,__text) non-external _graph_add_edge.cold.4
000000018ccdde94 (__TEXT,__text) external _graph_clear_edges
000000018ccde60c (__TEXT,__text) external _graph_contains_edge
000000018ccde184 (__TEXT,__text) external _graph_del_edge
000000018ccddefc (__TEXT,__text) external _graph_destroy
000000018ccde0bc (__TEXT,__text) external _graph_edge_id
000000018cce0784 (__TEXT,__text) non-external _graph_edge_id.cold.1
000000018cce07b0 (__TEXT,__text) non-external _graph_edge_id.cold.2
000000018ccde2b8 (__TEXT,__text) external _graph_is_cyclic
000000018ccde6d8 (__TEXT,__text) external _graph_ncritical_nodes
000000018ccde6e0 (__TEXT,__text) external _graph_neighbors_it
000000018ccdde18 (__TEXT,__text) external _graph_new
000000018ccde6f4 (__TEXT,__text) external _graph_next_neighbor
000000018ccde448 (__TEXT,__text) external _graph_node_is_critical
000000018ccde474 (__TEXT,__text) external _graph_obtain_critical_nodes
000000018ccddf50 (__TEXT,__text) external _graph_print
000000018ccde6c4 (__TEXT,__text) external _graph_vertex_id
000000018ccde810 (__TEXT,__text) external _hash
000000018cce0834 (__TEXT,__text) non-external _hash.cold.1
000000018ccdeaf0 (__TEXT,__text) external _hash_get_type
000000018ccdea94 (__TEXT,__text) external _hash_packed
000000018cce0968 (__TEXT,__text) non-external _hash_packed.cold.1
000000018ccde960 (__TEXT,__text) external _hash_state_copy
000000018cce08b8 (__TEXT,__text) non-external _hash_state_copy.cold.1
000000018ccdea10 (__TEXT,__text) external _hash_state_destroy
000000018cce08e4 (__TEXT,__text) non-external _hash_state_destroy.cold.1
000000018ccde870 (__TEXT,__text) external _hash_state_dump
000000018cce088c (__TEXT,__text) non-external _hash_state_dump.cold.1
000000018ccde998 (__TEXT,__text) external _hash_state_load
000000018ccde7e8 (__TEXT,__text) external _hash_state_new
000000018cce0808 (__TEXT,__text) non-external _hash_state_new.cold.1
000000018ccdea40 (__TEXT,__text) external _hash_state_pack
000000018cce0910 (__TEXT,__text) non-external _hash_state_pack.cold.1
000000018ccdea70 (__TEXT,__text) external _hash_state_packed_size
000000018cce093c (__TEXT,__text) non-external _hash_state_packed_size.cold.1
000000018ccde840 (__TEXT,__text) external _hash_vector
000000018cce0860 (__TEXT,__text) non-external _hash_vector.cold.1
000000018ccdeac0 (__TEXT,__text) external _hash_vector_packed
000000018cce0994 (__TEXT,__text) non-external _hash_vector_packed.cold.1
000000018ccdeb40 (__TEXT,__text) external _jenkins_hash
000000018ccdeee4 (__TEXT,__text) external _jenkins_hash_packed
000000018ccdee04 (__TEXT,__text) external _jenkins_hash_vector_
000000018ccdef3c (__TEXT,__text) external _jenkins_hash_vector_packed
000000018ccdee68 (__TEXT,__text) external _jenkins_state_copy
000000018ccdeb3c (__TEXT,__text) external _jenkins_state_destroy
000000018ccdee0c (__TEXT,__text) external _jenkins_state_dump
000000018ccdee98 (__TEXT,__text) external _jenkins_state_load
000000018ccdeaf8 (__TEXT,__text) external _jenkins_state_new
000000018ccdeec8 (__TEXT,__text) external _jenkins_state_pack
000000018ccdeedc (__TEXT,__text) external _jenkins_state_packed_size
000000018ccda754 (__TEXT,__text) non-external _key_byte_vector_read
000000018ccda628 (__TEXT,__text) non-external _key_nlfile_dispose
000000018ccda4f4 (__TEXT,__text) non-external _key_nlfile_read
000000018ccda630 (__TEXT,__text) non-external _key_nlfile_rewind
000000018ccda8c4 (__TEXT,__text) non-external _key_struct_vector_read
000000018ccda93c (__TEXT,__text) non-external _key_struct_vector_rewind
000000018ccda7cc (__TEXT,__text) non-external _key_vector_dispose
000000018ccda9c8 (__TEXT,__text) non-external _key_vector_read
000000018ccda7d4 (__TEXT,__text) non-external _key_vector_rewind
                 (undefined) external _log (from libSystem)
000000018cce0ea1 (__TEXT,__const) non-external _lookup_table
000000018ccdef84 (__TEXT,__text) external _lsmap_append
000000018ccdf0b0 (__TEXT,__text) external _lsmap_destroy
000000018ccdf030 (__TEXT,__text) external _lsmap_foreach_key
000000018ccdf070 (__TEXT,__text) external _lsmap_foreach_value
000000018ccdef44 (__TEXT,__text) external _lsmap_new
000000018ccdefdc (__TEXT,__text) external _lsmap_search
000000018ccdef74 (__TEXT,__text) external _lsmap_size
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset (from libSystem)
000000018ccdcaf8 (__TEXT,__text) external _mixh10h11h12
                 (undefined) external _perror (from libSystem)
000000018ccd97a8 (__TEXT,__text) non-external _place_bucket_probe
000000018cce0e9c (__TEXT,__const) non-external _pow3_table
                 (undefined) external _printf (from libSystem)
                 (undefined) external _rand (from libSystem)
000000018cce15d0 (__TEXT,__const) non-external _rank_lookup_table
                 (undefined) external _realloc (from libSystem)
                 (undefined) external _rewind (from libSystem)
000000018ccdf340 (__TEXT,__text) external _select_destroy
000000018ccdf64c (__TEXT,__text) external _select_dump
000000018ccdf374 (__TEXT,__text) external _select_generate
000000018ccdf31c (__TEXT,__text) external _select_get_space_usage
000000018ccdf310 (__TEXT,__text) external _select_init
000000018ccdf724 (__TEXT,__text) external _select_load
000000018cce16d0 (__TEXT,__const) non-external _select_lookup_table
000000018ccdf5d0 (__TEXT,__text) external _select_next_query
000000018ccdf904 (__TEXT,__text) external _select_next_query_packed
000000018ccdf7e4 (__TEXT,__text) external _select_pack
000000018ccdf844 (__TEXT,__text) external _select_packed_size
000000018ccdf54c (__TEXT,__text) external _select_query
000000018ccdf86c (__TEXT,__text) external _select_query_packed
                 (undefined) external _sprintf (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
000000018cce0e90 (__TEXT,__const) non-external _valuemask
000000018ccdfae4 (__TEXT,__text) external _vqueue_destroy
000000018ccdf9dc (__TEXT,__text) external _vqueue_insert
000000018cce09c0 (__TEXT,__text) non-external _vqueue_insert.cold.1
000000018ccdf9cc (__TEXT,__text) external _vqueue_is_empty
000000018ccdf980 (__TEXT,__text) external _vqueue_new
000000018ccdfa5c (__TEXT,__text) external _vqueue_print
000000018ccdfa1c (__TEXT,__text) external _vqueue_remove
000000018cce09ec (__TEXT,__text) non-external _vqueue_remove.cold.1
000000018ccdfb50 (__TEXT,__text) external _vstack_destroy
000000018cce0a44 (__TEXT,__text) non-external _vstack_destroy.cold.1
000000018ccdfcac (__TEXT,__text) external _vstack_empty
000000018cce0ba4 (__TEXT,__text) non-external _vstack_empty.cold.1
000000018ccdfb20 (__TEXT,__text) external _vstack_new
000000018cce0a18 (__TEXT,__text) non-external _vstack_new.cold.1
000000018ccdfc48 (__TEXT,__text) external _vstack_pop
000000018cce0af4 (__TEXT,__text) non-external _vstack_pop.cold.1
000000018cce0b20 (__TEXT,__text) non-external _vstack_pop.cold.2
000000018ccdfb94 (__TEXT,__text) external _vstack_push
000000018cce0a70 (__TEXT,__text) non-external _vstack_push.cold.1
000000018ccdfbe4 (__TEXT,__text) external _vstack_reserve
000000018cce0a9c (__TEXT,__text) non-external _vstack_reserve.cold.1
000000018cce0ac8 (__TEXT,__text) non-external _vstack_reserve.cold.2
000000018ccdfcd4 (__TEXT,__text) external _vstack_size
000000018ccdfc78 (__TEXT,__text) external _vstack_top
000000018cce0b4c (__TEXT,__text) non-external _vstack_top.cold.1
000000018cce0b78 (__TEXT,__text) non-external _vstack_top.cold.2
