0000000247b98a98 (__TEXT,__text) non-external _Done_iODBC
0000000247b9cf60 (__TEXT,__text) external _SQLDataSources
0000000247b9d0a8 (__TEXT,__text) external _SQLDataSourcesA
0000000247b9d1f0 (__TEXT,__text) external _SQLDataSourcesW
0000000247b9cb00 (__TEXT,__text) non-external _SQLDataSources_Internal
00000002587ca4c0 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
00000002587ca4e0 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
00000002587ca4e8 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
0000000247ba1644 (__TEXT,__text) external _SQLDescribeCol
0000000247ba1838 (__TEXT,__text) external _SQLDescribeColA
0000000247ba1a2c (__TEXT,__text) external _SQLDescribeColW
0000000247ba1394 (__TEXT,__text) non-external _SQLDescribeCol_Internal
0000000247b95dc8 (__TEXT,__text) external _SQLDescribeParam
0000000247b940b8 (__TEXT,__text) external _SQLDisconnect
0000000247b93334 (__TEXT,__text) external _SQLDriverConnect
0000000247b934b0 (__TEXT,__text) external _SQLDriverConnectA
0000000247b9362c (__TEXT,__text) external _SQLDriverConnectW
0000000247b91b48 (__TEXT,__text) non-external _SQLDriverConnect_Internal
0000000247bb7548 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
0000000247bb7574 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
0000000247b9d7f8 (__TEXT,__text) external _SQLDrivers
0000000247b9d940 (__TEXT,__text) external _SQLDriversA
0000000247b9da88 (__TEXT,__text) external _SQLDriversW
0000000247b9d410 (__TEXT,__text) non-external _SQLDrivers_Internal
00000002587ca4c4 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
00000002587ca4f0 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
00000002587ca4f8 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
0000000247ba7fe0 (__TEXT,__text) external _SQLEndTran
0000000247b99214 (__TEXT,__text) external _SQLError
0000000247b9933c (__TEXT,__text) external _SQLErrorA
0000000247b99464 (__TEXT,__text) external _SQLErrorW
0000000247b952d0 (__TEXT,__text) external _SQLExecDirect
0000000247b95420 (__TEXT,__text) external _SQLExecDirectA
0000000247b95570 (__TEXT,__text) external _SQLExecDirectW
0000000247b95078 (__TEXT,__text) non-external _SQLExecDirect_Internal
0000000247b94db0 (__TEXT,__text) external _SQLExecute
0000000247b964b4 (__TEXT,__text) external _SQLExtendedFetch
0000000247b961fc (__TEXT,__text) external _SQLFetch
0000000247ba8290 (__TEXT,__text) external _SQLFetchScroll
0000000247b96044 (__TEXT,__text) non-external _SQLFetch_Internal
0000000247b8dd60 (__TEXT,__text) external _SQLForeignKeys
0000000247b8e01c (__TEXT,__text) external _SQLForeignKeysA
0000000247b8e2d8 (__TEXT,__text) external _SQLForeignKeysW
0000000247b8da10 (__TEXT,__text) non-external _SQLForeignKeys_Internal
0000000247b97170 (__TEXT,__text) external _SQLFreeConnect
0000000247b970c8 (__TEXT,__text) non-external _SQLFreeConnect_Internal
0000000247b989ec (__TEXT,__text) external _SQLFreeEnv
0000000247b98960 (__TEXT,__text) non-external _SQLFreeEnv_Internal
0000000247ba2a84 (__TEXT,__text) external _SQLFreeHandle
0000000247b9b96c (__TEXT,__text) external _SQLFreeStmt
0000000247b9b764 (__TEXT,__text) non-external _SQLFreeStmt_Internal
0000000247bb40d0 (__TEXT,__text) non-external _SQLGetConfigMode
0000000247ba53c0 (__TEXT,__text) external _SQLGetConnectAttr
0000000247ba5870 (__TEXT,__text) external _SQLGetConnectAttrA
0000000247ba59c4 (__TEXT,__text) external _SQLGetConnectAttrW
0000000247ba5514 (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
0000000247b97f9c (__TEXT,__text) external _SQLGetConnectOption
0000000247b980c8 (__TEXT,__text) external _SQLGetConnectOptionA
0000000247b981f4 (__TEXT,__text) external _SQLGetConnectOptionW
0000000247ba0a64 (__TEXT,__text) external _SQLGetCursorName
0000000247ba0bcc (__TEXT,__text) external _SQLGetCursorNameA
0000000247ba0d34 (__TEXT,__text) external _SQLGetCursorNameW
0000000247ba0844 (__TEXT,__text) non-external _SQLGetCursorName_Internal
0000000247b96638 (__TEXT,__text) external _SQLGetData
0000000247ba5d84 (__TEXT,__text) external _SQLGetDescField
0000000247ba5ef8 (__TEXT,__text) external _SQLGetDescFieldA
0000000247ba606c (__TEXT,__text) external _SQLGetDescFieldW
0000000247ba5b18 (__TEXT,__text) non-external _SQLGetDescField_Internal
0000000247ba69b8 (__TEXT,__text) external _SQLGetDescRec
0000000247ba6bec (__TEXT,__text) external _SQLGetDescRecA
0000000247ba6e20 (__TEXT,__text) external _SQLGetDescRecW
0000000247ba6790 (__TEXT,__text) non-external _SQLGetDescRec_Internal
0000000247b9ad58 (__TEXT,__text) external _SQLGetDiagField
0000000247b9ae64 (__TEXT,__text) external _SQLGetDiagFieldA
0000000247b9af70 (__TEXT,__text) external _SQLGetDiagFieldW
0000000247b99f18 (__TEXT,__text) non-external _SQLGetDiagField_Internal
0000000247b99bb8 (__TEXT,__text) external _SQLGetDiagRec
0000000247b99cd8 (__TEXT,__text) external _SQLGetDiagRecA
0000000247b99df8 (__TEXT,__text) external _SQLGetDiagRecW
0000000247b9958c (__TEXT,__text) non-external _SQLGetDiagRec_Internal
0000000247ba31c0 (__TEXT,__text) external _SQLGetEnvAttr
0000000247b9e698 (__TEXT,__text) external _SQLGetFunctions
0000000247b9e29c (__TEXT,__text) external _SQLGetInfo
0000000247b9e3f0 (__TEXT,__text) external _SQLGetInfoA
0000000247b9e544 (__TEXT,__text) external _SQLGetInfoW
0000000247b9dca8 (__TEXT,__text) non-external _SQLGetInfo_Internal
0000000247bb6f64 (__TEXT,__text) non-external _SQLGetKeywordValue
0000000247bb6fb0 (__TEXT,__text) non-external _SQLGetKeywordValueW
0000000247bb6a88 (__TEXT,__text) non-external _SQLGetPrivateProfileString
0000000247bb6c88 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
0000000247ba3a44 (__TEXT,__text) external _SQLGetStmtAttr
0000000247ba3bbc (__TEXT,__text) external _SQLGetStmtAttrA
0000000247ba3d34 (__TEXT,__text) external _SQLGetStmtAttrW
0000000247ba33a4 (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
0000000247b9c1b4 (__TEXT,__text) external _SQLGetStmtOption
0000000247b9c300 (__TEXT,__text) external _SQLGetStmtOptionA
0000000247b9bfd4 (__TEXT,__text) non-external _SQLGetStmtOption_Internal
0000000247b8ac38 (__TEXT,__text) external _SQLGetTypeInfo
0000000247b8ad78 (__TEXT,__text) external _SQLGetTypeInfoA
0000000247b8aeb8 (__TEXT,__text) external _SQLGetTypeInfoW
0000000247b8aa78 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
0000000247b969b0 (__TEXT,__text) external _SQLMoreResults
0000000247b944a8 (__TEXT,__text) external _SQLNativeSql
0000000247b94614 (__TEXT,__text) external _SQLNativeSqlA
0000000247b94780 (__TEXT,__text) external _SQLNativeSqlW
0000000247b94240 (__TEXT,__text) non-external _SQLNativeSql_Internal
0000000247b95bc0 (__TEXT,__text) external _SQLNumParams
0000000247ba1180 (__TEXT,__text) external _SQLNumResultCols
0000000247b95938 (__TEXT,__text) external _SQLParamData
0000000247b9fd9c (__TEXT,__text) external _SQLParamOptions
0000000247b9f010 (__TEXT,__text) external _SQLPrepare
0000000247b9f160 (__TEXT,__text) external _SQLPrepareA
0000000247b9f2b0 (__TEXT,__text) external _SQLPrepareW
0000000247b9ee00 (__TEXT,__text) non-external _SQLPrepare_Internal
0000000247b8e7c0 (__TEXT,__text) external _SQLPrimaryKeys
0000000247b8e968 (__TEXT,__text) external _SQLPrimaryKeysA
0000000247b8eb10 (__TEXT,__text) external _SQLPrimaryKeysW
0000000247b8e594 (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
0000000247b8ef48 (__TEXT,__text) external _SQLProcedureColumns
0000000247b8f12c (__TEXT,__text) external _SQLProcedureColumnsA
0000000247b8f310 (__TEXT,__text) external _SQLProcedureColumnsW
0000000247b8ecb8 (__TEXT,__text) non-external _SQLProcedureColumns_Internal
0000000247b8f720 (__TEXT,__text) external _SQLProcedures
0000000247b8f8c8 (__TEXT,__text) external _SQLProceduresA
0000000247b8fa70 (__TEXT,__text) external _SQLProceduresW
0000000247b8f4f4 (__TEXT,__text) non-external _SQLProcedures_Internal
0000000247b956c0 (__TEXT,__text) external _SQLPutData
0000000247bb3770 (__TEXT,__text) non-external _SQLReadFileDSN
0000000247bb3900 (__TEXT,__text) non-external _SQLReadFileDSNW
0000000247ba0e9c (__TEXT,__text) external _SQLRowCount
0000000247bb6ffc (__TEXT,__text) non-external _SQLSetConfigMode
0000000247ba4dcc (__TEXT,__text) external _SQLSetConnectAttr
0000000247ba5138 (__TEXT,__text) external _SQLSetConnectAttrA
0000000247ba527c (__TEXT,__text) external _SQLSetConnectAttrW
0000000247ba4f10 (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
0000000247b97810 (__TEXT,__text) external _SQLSetConnectOption
0000000247b9793c (__TEXT,__text) external _SQLSetConnectOptionA
0000000247b97a68 (__TEXT,__text) external _SQLSetConnectOptionW
0000000247b9f5ac (__TEXT,__text) external _SQLSetCursorName
0000000247b9f6fc (__TEXT,__text) external _SQLSetCursorNameA
0000000247b9f84c (__TEXT,__text) external _SQLSetCursorNameW
0000000247b9f400 (__TEXT,__text) non-external _SQLSetCursorName_Internal
0000000247ba637c (__TEXT,__text) external _SQLSetDescField
0000000247ba64d8 (__TEXT,__text) external _SQLSetDescFieldA
0000000247ba6634 (__TEXT,__text) external _SQLSetDescFieldW
0000000247ba61e0 (__TEXT,__text) non-external _SQLSetDescField_Internal
0000000247ba7054 (__TEXT,__text) external _SQLSetDescRec
0000000247ba2fac (__TEXT,__text) external _SQLSetEnvAttr
0000000247ba30cc (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
0000000247bb74d8 (__TEXT,__text) non-external _SQLSetKeywordValue
0000000247bb74e4 (__TEXT,__text) non-external _SQLSetKeywordValueW
0000000247ba04b0 (__TEXT,__text) external _SQLSetParam
0000000247b96db0 (__TEXT,__text) external _SQLSetPos
0000000247ba004c (__TEXT,__text) external _SQLSetScrollOptions
0000000247ba4994 (__TEXT,__text) external _SQLSetStmtAttr
0000000247ba4afc (__TEXT,__text) external _SQLSetStmtAttrA
0000000247ba4c64 (__TEXT,__text) external _SQLSetStmtAttrW
0000000247ba3eac (__TEXT,__text) non-external _SQLSetStmtAttr_Internal
0000000247b9bab8 (__TEXT,__text) external _SQLSetStmtOption
0000000247b9be88 (__TEXT,__text) external _SQLSetStmtOptionA
0000000247b9bc04 (__TEXT,__text) non-external _SQLSetStmtOption_Internal
0000000247b8b284 (__TEXT,__text) external _SQLSpecialColumns
0000000247b8b4c4 (__TEXT,__text) external _SQLSpecialColumnsA
0000000247b8b704 (__TEXT,__text) external _SQLSpecialColumnsW
0000000247b8aff8 (__TEXT,__text) non-external _SQLSpecialColumns_Internal
0000000247b8bbb0 (__TEXT,__text) external _SQLStatistics
0000000247b8bd94 (__TEXT,__text) external _SQLStatisticsA
0000000247b8bf78 (__TEXT,__text) external _SQLStatisticsW
0000000247b8b944 (__TEXT,__text) non-external _SQLStatistics_Internal
0000000247b8fe44 (__TEXT,__text) external _SQLTablePrivileges
0000000247b8ffec (__TEXT,__text) external _SQLTablePrivilegesA
0000000247b90194 (__TEXT,__text) external _SQLTablePrivilegesW
0000000247b8fc18 (__TEXT,__text) non-external _SQLTablePrivileges_Internal
0000000247b8c3ec (__TEXT,__text) external _SQLTables
0000000247b8c5d0 (__TEXT,__text) external _SQLTablesA
0000000247b8c7b4 (__TEXT,__text) external _SQLTablesW
0000000247b8c15c (__TEXT,__text) non-external _SQLTables_Internal
0000000247b9862c (__TEXT,__text) external _SQLTransact
0000000247b98320 (__TEXT,__text) non-external _SQLTransact_Internal
0000000247bb41dc (__TEXT,__text) non-external _SQLValidDSN
0000000247bb4264 (__TEXT,__text) non-external _SQLValidDSNW
0000000247bb3508 (__TEXT,__text) non-external _SQLWriteFileDSN
0000000247bb35c4 (__TEXT,__text) non-external _SQLWriteFileDSNW
0000000247bb7194 (__TEXT,__text) non-external _SQLWritePrivateProfileString
0000000247bb732c (__TEXT,__text) non-external _SQLWritePrivateProfileStringW
0000000247b9cef4 (__TEXT,__text) non-external _SectSorter
0000000247bb4124 (__TEXT,__text) non-external _ValidDSN
0000000247bb4184 (__TEXT,__text) non-external _ValidDSNW
0000000247bb705c (__TEXT,__text) non-external _WritePrivateProfileString
                 (undefined) external __DefaultRuneLocale (from libSystem)
0000000247ba2e70 (__TEXT,__text) non-external __SQLFreeHandle_DESC
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
0000000247bb53ac (__TEXT,__text) non-external ___iodbcdm_cfg_poolalloc
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___toupper (from libSystem)
00000002587ca530 (__DATA,__common) non-external __iodbc_env_counter
0000000247bb3ae4 (__TEXT,__text) non-external __iodbcadm_getinifile
0000000247b9c8e0 (__TEXT,__text) non-external __iodbcdm_BindColumn
0000000247b9c9e4 (__TEXT,__text) non-external __iodbcdm_ConvBindData
0000000247b96330 (__TEXT,__text) non-external __iodbcdm_ExtendedFetch
0000000247b9b710 (__TEXT,__text) non-external __iodbcdm_FreeStmtParams
0000000247b97b94 (__TEXT,__text) non-external __iodbcdm_GetConnectOption
0000000247ba1058 (__TEXT,__text) non-external __iodbcdm_NumResultCols
0000000247b9b930 (__TEXT,__text) non-external __iodbcdm_RemoveBind
0000000247b97258 (__TEXT,__text) non-external __iodbcdm_SetConnectOption
0000000247b90588 (__TEXT,__text) non-external __iodbcdm_SetConnectOption_init
0000000247b96c4c (__TEXT,__text) non-external __iodbcdm_SetPos
0000000247b9c97c (__TEXT,__text) non-external __iodbcdm_UnBindColumn
0000000247b9c65c (__TEXT,__text) non-external __iodbcdm_alloc_param
00000002587ca538 (__DATA,__common) non-external __iodbcdm_attr_connection_pooling
0000000247b9ca98 (__TEXT,__text) non-external __iodbcdm_bindConv_A2W
0000000247b8ab60 (__TEXT,__text) non-external __iodbcdm_cata_state_ok
0000000247b8abd4 (__TEXT,__text) non-external __iodbcdm_cata_state_tr
0000000247bb5a7c (__TEXT,__text) non-external __iodbcdm_cfg_commit
0000000247bb4d00 (__TEXT,__text) non-external __iodbcdm_cfg_done
0000000247bb5550 (__TEXT,__text) non-external __iodbcdm_cfg_find
0000000247bb51dc (__TEXT,__text) non-external __iodbcdm_cfg_freeimage
0000000247bb4c54 (__TEXT,__text) non-external __iodbcdm_cfg_init
0000000247b9ebbc (__TEXT,__text) non-external __iodbcdm_cfg_init_str
0000000247bb5cfc (__TEXT,__text) non-external __iodbcdm_cfg_next_section
0000000247bb5484 (__TEXT,__text) non-external __iodbcdm_cfg_nextentry
0000000247b9ec40 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str
0000000247b9ea8c (__TEXT,__text) non-external __iodbcdm_cfg_parse_str_Internal
0000000247bb4d44 (__TEXT,__text) non-external __iodbcdm_cfg_refresh
0000000247bb5458 (__TEXT,__text) non-external __iodbcdm_cfg_rewind
0000000247b92fe4 (__TEXT,__text) non-external __iodbcdm_cfg_savefile
0000000247bb5d44 (__TEXT,__text) non-external __iodbcdm_cfg_search_init
0000000247bb52bc (__TEXT,__text) non-external __iodbcdm_cfg_storeentry
0000000247b9ecb8 (__TEXT,__text) non-external __iodbcdm_cfg_to_string
0000000247bb5644 (__TEXT,__text) non-external __iodbcdm_cfg_write
0000000247bb3d58 (__TEXT,__text) non-external __iodbcdm_check_for_string
0000000247b92d84 (__TEXT,__text) non-external __iodbcdm_con_settracing
0000000247b9c700 (__TEXT,__text) non-external __iodbcdm_conv_param_A2W
0000000247b9c7f0 (__TEXT,__text) non-external __iodbcdm_conv_param_W2A
0000000247b92ea8 (__TEXT,__text) non-external __iodbcdm_dbcdelayset
0000000247b94c98 (__TEXT,__text) non-external __iodbcdm_dllclose
0000000247b94d08 (__TEXT,__text) non-external __iodbcdm_dllerror
0000000247b94be0 (__TEXT,__text) non-external __iodbcdm_dllopen
0000000247b94bdc (__TEXT,__text) non-external __iodbcdm_dllproc
0000000247b94d3c (__TEXT,__text) non-external __iodbcdm_do_cursoropen
0000000247b907f4 (__TEXT,__text) non-external __iodbcdm_driverload
0000000247b90e4c (__TEXT,__text) non-external __iodbcdm_driverunload
0000000247b9b618 (__TEXT,__text) non-external __iodbcdm_dropstmt
0000000247b97794 (__TEXT,__text) non-external __iodbcdm_drvopt_store
0000000247b903a8 (__TEXT,__text) non-external __iodbcdm_finish_disconnect
0000000247b98a9c (__TEXT,__text) non-external __iodbcdm_freesqlerrlist
0000000247b94a90 (__TEXT,__text) non-external __iodbcdm_getInfo_init
0000000247bb3e30 (__TEXT,__text) non-external __iodbcdm_getdsnfile
0000000247b94b7c (__TEXT,__text) non-external __iodbcdm_getproc
00000002587ca4d8 (__DATA,__bss) non-external __iodbcdm_initialized
0000000247bb5f5c (__TEXT,__text) non-external __iodbcdm_list_entries
0000000247bb5e90 (__TEXT,__text) non-external __iodbcdm_list_sections
0000000247ba1328 (__TEXT,__text) non-external __iodbcdm_map_c_type
0000000247ba12bc (__TEXT,__text) non-external __iodbcdm_map_sql_type
0000000247b948ec (__TEXT,__text) non-external __iodbcdm_pool_conn_dead
0000000247b9033c (__TEXT,__text) non-external __iodbcdm_pool_drop_conn
0000000247bb74f0 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn.cold.1
0000000247b92b48 (__TEXT,__text) non-external __iodbcdm_pool_get_conn
0000000247b93224 (__TEXT,__text) non-external __iodbcdm_pool_put_conn
0000000247b90474 (__TEXT,__text) non-external __iodbcdm_pool_reset_conn_attrs
0000000247b93168 (__TEXT,__text) non-external __iodbcdm_pool_set_retry_wait
0000000247b98acc (__TEXT,__text) non-external __iodbcdm_pushsqlerr
0000000247bb3dbc (__TEXT,__text) non-external __iodbcdm_remove_quotes
0000000247b94d0c (__TEXT,__text) non-external __iodbcdm_safe_unload
0000000247b98b44 (__TEXT,__text) non-external __iodbcdm_sqlerror
0000000247bb4034 (__TEXT,__text) non-external __iodbcdm_strlcat
0000000247bb3fd8 (__TEXT,__text) non-external __iodbcdm_strlcpy
0000000247b98420 (__TEXT,__text) non-external __iodbcdm_transact
00000002556e2e98 (__DATA_CONST,__const) non-external __mask_CONVERT
00000002556e3a70 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES1
00000002556e3b18 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES2
00000002556e2f58 (__DATA_CONST,__const) non-external __mask_CURSOR_BEHAVIOR
00000002556e2fe8 (__DATA_CONST,__const) non-external __mask_IDENTIFIER_CASE
00000002556e3620 (__DATA_CONST,__const) non-external __mask_SQL_AGGREGATE_FUNCTIONS
00000002556e3658 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_DOMAIN
00000002556e3358 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_TABLE
00000002556e36a8 (__DATA_CONST,__const) non-external __mask_SQL_ASYNC_MODE
00000002556e36c0 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_ROW_COUNT
00000002556e36e0 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_SUPPORT
00000002556e3400 (__DATA_CONST,__const) non-external __mask_SQL_BOOKMARK_PERSISTENCE
00000002556e3708 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_LOCATION
00000002556e3720 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_USAGE
00000002556e2e70 (__DATA_CONST,__const) non-external __mask_SQL_CONCAT_NULL_BEHAVIOR
00000002556e2e80 (__DATA_CONST,__const) non-external __mask_SQL_CONVERT_FUNCTIONS
00000002556e3330 (__DATA_CONST,__const) non-external __mask_SQL_CORRELATION_NAME
00000002556e3750 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_ASSERTION
00000002556e3798 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_CHARACTER_SET
00000002556e37b8 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_COLLATION
00000002556e37c8 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_DOMAIN
00000002556e3818 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_SCHEMA
00000002556e3838 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TABLE
00000002556e38b0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TRANSLATION
00000002556e38c0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_VIEW
00000002556e38e8 (__DATA_CONST,__const) non-external __mask_SQL_CURSOR_SENSITIVITY
00000002556e3900 (__DATA_CONST,__const) non-external __mask_SQL_DATETIME_LITERALS
00000002556e3980 (__DATA_CONST,__const) non-external __mask_SQL_DDL_INDEX
00000002556e39b0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_ASSERTION
00000002556e39c0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_CHARACTER_SET
00000002556e39d0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_COLLATION
00000002556e39e0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_DOMAIN
00000002556e3a00 (__DATA_CONST,__const) non-external __mask_SQL_DROP_SCHEMA
00000002556e3a20 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TABLE
00000002556e3a40 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TRANSLATION
00000002556e3a50 (__DATA_CONST,__const) non-external __mask_SQL_DROP_VIEW
00000002556e3998 (__DATA_CONST,__const) non-external __mask_SQL_DTC_TRANSITION_COST
00000002556e2fa0 (__DATA_CONST,__const) non-external __mask_SQL_FETCH_DIRECTION
00000002556e3488 (__DATA_CONST,__const) non-external __mask_SQL_FILE_USAGE
00000002556e3440 (__DATA_CONST,__const) non-external __mask_SQL_GETDATA_EXTENSIONS
00000002556e3468 (__DATA_CONST,__const) non-external __mask_SQL_GROUP_BY
00000002556e3ba8 (__DATA_CONST,__const) non-external __mask_SQL_INDEX_KEYWORDS
00000002556e3bc0 (__DATA_CONST,__const) non-external __mask_SQL_INFO_SCHEMA_VIEWS
00000002556e3c80 (__DATA_CONST,__const) non-external __mask_SQL_INSERT_STATEMENT
00000002556e34a0 (__DATA_CONST,__const) non-external __mask_SQL_LOCK_TYPES
00000002556e3348 (__DATA_CONST,__const) non-external __mask_SQL_NON_NULLABLE_COLUMNS
00000002556e34c0 (__DATA_CONST,__const) non-external __mask_SQL_NULL_COLLATION
00000002556e3010 (__DATA_CONST,__const) non-external __mask_SQL_NUMERIC_FUNCTIONS
00000002556e30d8 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_API_CONFORMANCE
00000002556e3ca0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_INTERFACE_CONFORMANCE
00000002556e30f0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SAG_CLI_CONFORMANCE
00000002556e3100 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SQL_CONFORMANCE
00000002556e34d8 (__DATA_CONST,__const) non-external __mask_SQL_OJ_CAPABILITIES
00000002556e3cc0 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_ROW_COUNTS
00000002556e3cd8 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_SELECTS
00000002556e3548 (__DATA_CONST,__const) non-external __mask_SQL_POSITIONED_STATEMENTS
00000002556e3518 (__DATA_CONST,__const) non-external __mask_SQL_POS_OPERATIONS
00000002556e3cf8 (__DATA_CONST,__const) non-external __mask_SQL_SCHEMA_USAGE
00000002556e3118 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_CONCURRENCY
00000002556e3140 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_OPTIONS
00000002556e3d50 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_DATETIME_FUNCTIONS
00000002556e3d70 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_DELETE_RULE
00000002556e3d98 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_UPDATE_RULE
00000002556e3dc0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_GRANT
00000002556e3e30 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
00000002556e3e68 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
