000000022ffb86d4 (__TEXT,__text) external _LLVMExtraCreateBinary
000000022ffb4c08 (__TEXT,__text) external _MTLGPUCompilerSetRaytracingEmulationMaxAccelerationStructureTraversalDepth
000000022ffb3da8 (__TEXT,__text) external _MTLGPUCompilerSetStitcherScript
000000022ffb0e34 (__TEXT,__text) external _MTLGPUCompilerSetTargetArch
000000022ffb0dbc (__TEXT,__text) external _MTLGPUCompilerSetTargetTriple
000000022ffb2f28 (__TEXT,__text) external _MTLGPUCompilerSpecializeDynamicLibrary
000000022ffb30e0 (__TEXT,__text) external _MTLGPUCompilerSpecializeDynamicLibraryToBuffer
000000022ffb3294 (__TEXT,__text) external _MTLGPUCompilerSpecializeDynamicLibraryToFD
000000022ffb29e8 (__TEXT,__text) external _MTLGPUCompilerSpecializeFunction
000000022ffb2ba8 (__TEXT,__text) external _MTLGPUCompilerSpecializeFunctionToBuffer
000000022ffb2d5c (__TEXT,__text) external _MTLGPUCompilerSpecializeFunctionToFD
000000022ffb3e28 (__TEXT,__text) external _MTLGPUCompilerStitchFunctions
000000022ffb40a0 (__TEXT,__text) external _MTLGPUCompilerStitchFunctionsToBuffer
000000022ffb4314 (__TEXT,__text) external _MTLGPUCompilerStitchFunctionsToFD
000000022ffbadf4 (__TEXT,__text) external _MTLMakeSharedMetalModule
000000022ffbbfb4 (__TEXT,__text) external _MTLMetalDynamicLibraryGetInstallName
000000022ffbb1bc (__TEXT,__text) external _MTLMetalFunctionCreate
000000022ffbaf48 (__TEXT,__text) external _MTLMetalFunctionCreateWithModule
000000022ffbb418 (__TEXT,__text) external _MTLMetalFunctionDestroy
000000022ffbb734 (__TEXT,__text) external _MTLMetalFunctionGetAIRVersion
000000022ffbb824 (__TEXT,__text) external _MTLMetalFunctionGetAlias
000000022ffbb4f4 (__TEXT,__text) external _MTLMetalFunctionGetKind
000000022ffbb624 (__TEXT,__text) external _MTLMetalFunctionGetLLVMModule
000000022ffbb5c8 (__TEXT,__text) external _MTLMetalFunctionGetMetalModule
000000022ffbb7ac (__TEXT,__text) external _MTLMetalFunctionGetMetalVersion
000000022ffbb6dc (__TEXT,__text) external _MTLMetalFunctionGetModule
000000022ffbb4a4 (__TEXT,__text) external _MTLMetalFunctionGetName
000000022ffbbf64 (__TEXT,__text) external _MTLMetalImportedSymbolGetName
000000022ffb9a00 (__TEXT,__text) external _MTLMetalLibCreateCoreImage
000000022ffb9948 (__TEXT,__text) external _MTLMetalLibCreateCoreImageWithTriple
000000022ffb9b30 (__TEXT,__text) external _MTLMetalLibCreateDynamicLibrary
000000022ffb9a58 (__TEXT,__text) external _MTLMetalLibCreateDynamicLibraryWithTriple
000000022ffb98f0 (__TEXT,__text) external _MTLMetalLibCreateExecutable
000000022ffb9838 (__TEXT,__text) external _MTLMetalLibCreateExecutableWithTriple
000000022ffb9b90 (__TEXT,__text) external _MTLMetalLibDestroy
000000022ffbd3d8 (__TEXT,__text) external _MTLMetalLibGetAsObject
000000022ffba92c (__TEXT,__text) external _MTLMetalLibGetDynamicLibrariesCount
000000022ffba984 (__TEXT,__text) external _MTLMetalLibGetDynamicLibraryNo
000000022ffb9c50 (__TEXT,__text) external _MTLMetalLibGetFunctionNo
000000022ffb9bf8 (__TEXT,__text) external _MTLMetalLibGetFunctionsCount
000000022ffba878 (__TEXT,__text) external _MTLMetalLibGetImportedSymbolNo
000000022ffba820 (__TEXT,__text) external _MTLMetalLibGetImportedSymbolsCount
000000022ffba8d0 (__TEXT,__text) external _MTLMetalLibGetInstallName
000000022ffbaa8c (__TEXT,__text) external _MTLMetalLibGetLLVMModuleNo
000000022ffbaa34 (__TEXT,__text) external _MTLMetalLibGetMetalModuleNo
000000022ffbab34 (__TEXT,__text) external _MTLMetalLibGetModuleNo
000000022ffba9dc (__TEXT,__text) external _MTLMetalLibGetModulesCount
000000022ffbabec (__TEXT,__text) external _MTLMetalLibGetSourceNo
000000022ffbab94 (__TEXT,__text) external _MTLMetalLibGetSourcesCount
000000022ffba38c (__TEXT,__text) external _MTLMetalLibGetVariableNo
000000022ffba334 (__TEXT,__text) external _MTLMetalLibGetVariablesCount
000000022ffb9ca8 (__TEXT,__text) external _MTLMetalLibInsertFunction
000000022ffba3e4 (__TEXT,__text) external _MTLMetalLibInsertVariable
000000022ffbac48 (__TEXT,__text) external _MTLMetalModuleCreatePersistentWithModule
000000022ffbad8c (__TEXT,__text) external _MTLMetalModuleDestroy
000000022ffbc284 (__TEXT,__text) external _MTLMetalSourceExtractToSubDirectory
000000022ffbc1cc (__TEXT,__text) external _MTLMetalSourceGetCommandLine
000000022ffbc170 (__TEXT,__text) external _MTLMetalSourceGetObjectFileName
000000022ffbc228 (__TEXT,__text) external _MTLMetalSourceGetWorkingDir
000000022ffbb9a8 (__TEXT,__text) external _MTLMetalVariableCreate
000000022ffbb874 (__TEXT,__text) external _MTLMetalVariableCreateWithModule
000000022ffbbc00 (__TEXT,__text) external _MTLMetalVariableDestroy
000000022ffbbe24 (__TEXT,__text) external _MTLMetalVariableGetAIRVersion
000000022ffbbf14 (__TEXT,__text) external _MTLMetalVariableGetAlias
000000022ffbbd14 (__TEXT,__text) external _MTLMetalVariableGetLLVMModule
000000022ffbbcb8 (__TEXT,__text) external _MTLMetalVariableGetMetalModule
000000022ffbbe9c (__TEXT,__text) external _MTLMetalVariableGetMetalVersion
000000022ffbbdcc (__TEXT,__text) external _MTLMetalVariableGetModule
000000022ffbbc68 (__TEXT,__text) external _MTLMetalVariableGetName
000000022ffbd330 (__TEXT,__text) external _MTLModuleGetAsObject
000000022ffbd008 (__TEXT,__text) external _MTLObjectCreate
000000022ffbd228 (__TEXT,__text) external _MTLObjectDestroy
000000022ffbd488 (__TEXT,__text) external _MTLObjectGetAsArchive
000000022ffbd4fc (__TEXT,__text) external _MTLObjectGetAsMetalLib
000000022ffbd42c (__TEXT,__text) external _MTLObjectGetAsModule
000000022ffaf40c (__TEXT,__text) external _MTLUpgradeAIRModule
000000022ffaf974 (__TEXT,__text) external _MTLVerifyAIRModule
000000022ffafa84 (__TEXT,__text) external _MTLWriteAIRBitcodeToMemoryBuffer
000000022ffafcec (__TEXT,__text) external _MTLWriteAIRReflectionToMemoryBuffer
000000022ffbc004 (__TEXT,__text) external _MTLWriteMetalLibToMemoryBuffer
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibrary25findInExplicitLoadedImageEPKc (from libGPUCompilerImpl)
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibrary26findInImplicitLoadedImagesEPKc (from libGPUCompilerImpl)
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibraryC1EPKvPKc (from libGPUCompilerImpl)
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibraryD1Ev (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm10TimerGroupD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm11Instruction12setHasNoInfsEb (from libLLVM)
                 (undefined) external __ZN4llvm11Instruction12setHasNoNaNsEb (from libLLVM)
                 (undefined) external __ZN4llvm11NamedMDNode10setOperandEjPNS_6MDNodeE (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostream16SetBufferAndModeEPcmNS0_10BufferKindE (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostream5writeEPKcm (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostream5writeEh (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostreamD2Ev (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostreamlsEPKv (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostreamlsEm (from libLLVM)
                 (undefined) external __ZN4llvm12MemoryBuffer16getMemBufferCopyENS_9StringRefERKNS_5TwineE (from libLLVM)
                 (undefined) external __ZN4llvm13ErrorInfoBase2IDE (from libLLVM)
                 (undefined) external __ZN4llvm13StringMapImpl11RehashTableEj (from libLLVM)
                 (undefined) external __ZN4llvm13StringMapImpl15LookupBucketForENS_9StringRefE (from libLLVM)
                 (undefined) external __ZN4llvm14raw_fd_ostreamC1EibbNS_11raw_ostream11OStreamKindE (from libLLVM)
                 (undefined) external __ZN4llvm14raw_fd_ostreamD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm15MemoryBufferRefC1ERKNS_12MemoryBufferE (from libLLVM)
                 (undefined) external __ZN4llvm15SmallVectorBaseIjE13mallocForGrowEmmRm (from libLLVM)
                 (undefined) external __ZN4llvm15SmallVectorBaseIyE8grow_podEPvmm (from libLLVM)
                 (undefined) external __ZN4llvm15allocate_bufferEmm (from libLLVM)
                 (undefined) external __ZN4llvm15setBugReportMsgEPKc (from libLLVM)
                 (undefined) external __ZN4llvm16IRChangedPrinterD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm17TimePassesHandler5printEv (from libLLVM)
                 (undefined) external __ZN4llvm17deallocate_bufferEPvmm (from libLLVM)
                 (undefined) external __ZN4llvm18report_fatal_errorERKNS_5TwineEb (from libLLVM)
                 (undefined) external __ZN4llvm19InLineChangePrinterD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm20DotCfgChangeReporterD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm22EnablePrettyStackTraceEv (from libLLVM)
                 (undefined) external __ZN4llvm22PrintIRInstrumentationD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm3air10APITrackerC2EPKcSt16initializer_listINSt3__18functionIFvRNS_11raw_ostreamEEEEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air10APITrackerD2Ev (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air10Reflection6createERKNS_6ModuleE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air10ScriptFile6createENS_15MemoryBufferRefE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air11MetalModule11materializeENSt3__110shared_ptrINS_6ModuleEEENS1_19MaterializationKindE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air11MetalModule9serializeENSt3__110shared_ptrINS_6ModuleEEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air15verifyAIRModuleERKNS_6ModuleENS0_17VerificationLevelE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air16MetalDefinedSymbC2ENSt3__110shared_ptrINS0_11MetalModuleEEENS_9StringRefES6_NS1_10SymbolFlagENS3_INS0_11MetalSourceEEENS_8ArrayRefIS9_EENSA_IhEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air16upgradeAIRModuleERNS_6ModuleENS_12VersionTupleE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air18downgradeAIRModuleERNS_6ModuleENS_12VersionTupleE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air20MetalLibObjectWriter5writeEv (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air20MetalLibObjectWriterC1ENSt3__110unique_ptrINS0_8MetalLibENS2_14default_deleteIS4_EEEERNS_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air21WriteAIRBitcodeToFileEPKNS_6ModuleERNS_11raw_ostreamENS0_14BitcodeVersionEb (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air28NormalizeModuleForAIRBitcodeEPNS_6ModuleENS0_14BitcodeVersionE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air7Archive9addMemberENS_9StringRefENSt3__110unique_ptrINS_6ModuleENS3_14default_deleteIS5_EEEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3sys2fs16createUniqueFileERKNS_5TwineERiRNS_15SmallVectorImplIcEENS1_9OpenFlagsEj (from libLLVM)
                 (undefined) external __ZN4llvm3sys2fs18create_directoriesERKNS_5TwineEbNS1_5permsE (from libLLVM)
                 (undefined) external __ZN4llvm3sys4path14home_directoryERNS_15SmallVectorImplIcEE (from libLLVM)
                 (undefined) external __ZN4llvm3sys4path6appendERNS_15SmallVectorImplIcEERKNS_5TwineES7_S7_S7_ (from libLLVM)
                 (undefined) external __ZN4llvm5MachO19getArchitectureNameENS0_12ArchitectureE (from libLLVM)
                 (undefined) external __ZN4llvm5MachO26getArchitectureFromCpuTypeEjj (from libLLVM)
                 (undefined) external __ZN4llvm5TimerD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6ModuleD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6SHA256D1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6TripleC1ERKNS_5TwineE (from libLLVM)
                 (undefined) external __ZN4llvm6legacy11PassManagerD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6object12createBinaryENS_15MemoryBufferRefEPNS_11LLVMContextEb (from libLLVM)
                 (undefined) external __ZN4llvm7MDTuple7getImplERNS_11LLVMContextENS_8ArrayRefIPNS_8MetadataEEENS4_11StorageTypeEb (from libLLVM)
                 (undefined) external __ZN4llvm7airdyld6Loader17setFunctionGroupsENS_15MutableArrayRefINSt3__110unique_ptrINS_3air13FunctionGroupENS3_14default_deleteIS6_EEEEEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm8Function9addFnAttrENS_9StringRefES1_ (from libLLVM)
                 (undefined) external __ZN4llvm8MDString3getERNS_11LLVMContextENS_9StringRefE (from libLLVM)
                 (undefined) external __ZN4llvm9ErrorList2IDE (from libLLVM)
                 (undefined) external __ZN4llvmlsERNS_11raw_ostreamERKNS_12VersionTupleE (from libLLVM)
                 (undefined) external __ZN7metalfe11GPUArchiver10dumpToFileERN4llvm11raw_ostreamES3_ (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver11addPipelineEjN4llvm8ArrayRefINS_16GPUArchiverIndexEEERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver11buildToFileERN4llvm11raw_ostreamERNS1_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver11setUnitHashENS_16GPUArchiverIndexEN4llvm8ArrayRefIjEENS3_IA32_hEERNS2_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver12createWriterENS_22GPUArchiverProductKindEN4llvm9StringRefERNS2_11raw_ostreamEmb (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver12deleteWithIdEN4llvm9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver12dumpToBufferERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver13addDescriptorEN4llvm5MachO12ArchitectureEPKNS1_12MemoryBufferERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver13buildToBufferERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver14setInstallNameEN4llvm9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver16addLinkedModulesENS_16GPUArchiverIndexEN4llvm8ArrayRefIPNS2_12MemoryBufferEEERNS2_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver17setActivePlatformENS_25GPUArchiverActivePlatformERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver17setUnitReflectionENS_16GPUArchiverIndexEPKN4llvm12MemoryBufferES5_RNS2_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver18createWriterWithIdENS_22GPUArchiverProductKindEN4llvm9StringRefERNS2_11raw_ostreamEmb (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver18keepPackingSymbolsERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver20addUnitWithReferenceEN4llvm5MachO12ArchitectureEPKNS_18GPUArchiverUnitRefES6_S6_RNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver30addLinkedModulesWithReferencesENS_16GPUArchiverIndexEN4llvm8ArrayRefIPKNS_18GPUArchiverUnitRefEEERNS2_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver30setUnitReflectionWithReferenceENS_16GPUArchiverIndexEPKNS_18GPUArchiverUnitRefES4_RN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver5flushERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver6createEN4llvm9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver7addToolEN4llvm5MachO12ArchitectureEjRKNS1_12VersionTupleERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver7addUnitEN4llvm5MachO12ArchitectureEPKNS1_12MemoryBufferES6_S6_RNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver9packUnitsERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver9setTargetEN4llvm5MachO12PlatformTypeERKNS1_12VersionTupleERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiverD1Ev (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler10handleSPIsEN4llvm9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler10loadToFileERN4llvm11LLVMContextENS1_15MutableArrayRefINSt3__110unique_ptrINS1_6ModuleENS5_14default_deleteIS7_EEEEEENS1_8ArrayRefIPKcEENS4_INS1_3air15UniqueObjectPtrEEESF_SI_SF_RNS1_11raw_ostreamERNS1_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler12loadToBufferERN4llvm11LLVMContextENS1_15MutableArrayRefINSt3__110unique_ptrINS1_6ModuleENS5_14default_deleteIS7_EEEEEENS1_8ArrayRefIPKcEENS4_INS1_3air15UniqueObjectPtrEEESF_SI_SF_RNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler12stitchToFileERN4llvm11LLVMContextENS1_15MutableArrayRefINSt3__110unique_ptrINS1_6ModuleENS5_14default_deleteIS7_EEEEEENS1_8ArrayRefINSC_IhEEEERNS1_11raw_ostreamERNS1_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler13lowerToBufferERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler13setTargetArchEN4llvm9StringRefE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler14stitchToBufferERN4llvm11LLVMContextENS1_15MutableArrayRefINSt3__110unique_ptrINS1_6ModuleENS5_14default_deleteIS7_EEEEEENS1_8ArrayRefINSC_IhEEEERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler15setTargetTripleEN4llvm9StringRefE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler17setStitcherScriptENSt3__110unique_ptrIN4llvm3air10ScriptFileENS1_14default_deleteIS5_EEEE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler18specializeFunctionERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEENS1_8ArrayRefINS1_3air4BindEEENS1_9StringRefENSA_IhEEbRNS1_11raw_ostreamE (from libGPUCompilerImpl)
