00000001a0175840 (__TEXT,__text) non-external +[Calculate _lock]
00000001a0171ae0 (__TEXT,__text) non-external -[CalculateResult setResultTree:]
00000001a0171a88 (__TEXT,__text) non-external -[CalculateResult setSingleUnitID:]
00000001a0171b38 (__TEXT,__text) non-external -[CalculateResult setSynchronous:]
00000001a0171a98 (__TEXT,__text) non-external -[CalculateResult setTypeInfo:]
00000001a0171ac0 (__TEXT,__text) non-external -[CalculateResult setUnitFormat:]
00000001a0171aac (__TEXT,__text) non-external -[CalculateResult setUnitsInfo:]
00000001a0171a90 (__TEXT,__text) non-external -[CalculateResult singleUnitID]
00000001a0171b40 (__TEXT,__text) non-external -[CalculateResult synchronous]
00000001a0171b60 (__TEXT,__text) non-external -[CalculateResult terms]
00000001a0171aa4 (__TEXT,__text) non-external -[CalculateResult typeInfo]
00000001a0171b68 (__TEXT,__text) non-external -[CalculateResult unitExponent]
00000001a0171ac8 (__TEXT,__text) non-external -[CalculateResult unitFormat]
00000001a0171b70 (__TEXT,__text) non-external -[CalculateResult unitType]
00000001a0171ab8 (__TEXT,__text) non-external -[CalculateResult unitsInfo]
00000001a016f21c (__TEXT,__text) non-external -[CalculateTerm .cxx_destruct]
00000001a0170f14 (__TEXT,__text) non-external -[CalculateTerm _setDecimalValue:]
00000001a016ff90 (__TEXT,__text) non-external -[CalculateTerm _valueWithoutIrrelevantDecimals]
00000001a016f338 (__TEXT,__text) non-external -[CalculateTerm compare:]
00000001a016f270 (__TEXT,__text) non-external -[CalculateTerm decimalValue]
00000001a016f2c4 (__TEXT,__text) non-external -[CalculateTerm description]
00000001a016ff30 (__TEXT,__text) non-external -[CalculateTerm emptyNumeratorString]
00000001a016f510 (__TEXT,__text) non-external -[CalculateTerm formattedResult]
00000001a016f884 (__TEXT,__text) non-external -[CalculateTerm formattedUnitReplacingFirstNumerator:]
00000001a016fdc4 (__TEXT,__text) non-external -[CalculateTerm formattedUnit]
00000001a017020c (__TEXT,__text) non-external -[CalculateTerm formattedValue]
00000001a0170ba4 (__TEXT,__text) non-external -[CalculateTerm getMaximumFractionDigits:minimumFractionDigits:]
00000001a017080c (__TEXT,__text) non-external -[CalculateTerm getMaximumFractionDigits:minimumFractionDigits:forValue:]
00000001a0170f68 (__TEXT,__text) non-external -[CalculateTerm init]
00000001a0170bfc (__TEXT,__text) non-external -[CalculateTerm isCurrency]
00000001a016f2c8 (__TEXT,__text) non-external -[CalculateTerm isEqual:]
00000001a0170c98 (__TEXT,__text) non-external -[CalculateTerm locale]
00000001a0170dc4 (__TEXT,__text) non-external -[CalculateTerm numberFormatter]
00000001a016fdcc (__TEXT,__text) non-external -[CalculateTerm primaryUnit]
00000001a0170e74 (__TEXT,__text) non-external -[CalculateTerm resultContainingNumberFormatter]
00000001a016f288 (__TEXT,__text) non-external -[CalculateTerm result]
00000001a016f268 (__TEXT,__text) non-external -[CalculateTerm setDecimalValue:]
00000001a016f27c (__TEXT,__text) non-external -[CalculateTerm setResult:]
00000001a016f2b4 (__TEXT,__text) non-external -[CalculateTerm units]
00000001a016f2bc (__TEXT,__text) non-external -[CalculateTerm value]
00000001a0175e1c (__TEXT,__text) non-external -[CalculateToken .cxx_destruct]
00000001a0175f24 (__TEXT,__text) non-external -[CalculateToken initWithType:range:text:ranks:]
00000001a0175e84 (__TEXT,__text) non-external -[CalculateToken isEqual:]
00000001a0175e78 (__TEXT,__text) non-external -[CalculateToken range]
00000001a0175e60 (__TEXT,__text) non-external -[CalculateToken ranks]
00000001a0175e68 (__TEXT,__text) non-external -[CalculateToken text]
00000001a0175e70 (__TEXT,__text) non-external -[CalculateToken tokenType]
00000001a017608c (__TEXT,__text) non-external -[CalculateTokenizer .cxx_destruct]
00000001a0176300 (__TEXT,__text) non-external -[CalculateTokenizer _findTokens]
00000001a0178178 (__TEXT,__text) non-external -[CalculateTokenizer _loadIfNeeded]
00000001a01761b0 (__TEXT,__text) non-external -[CalculateTokenizer index]
00000001a01795c4 (__TEXT,__text) non-external -[CalculateTokenizer initWithUnits:]
00000001a017613c (__TEXT,__text) non-external -[CalculateTokenizer lastToken]
00000001a01761a0 (__TEXT,__text) non-external -[CalculateTokenizer locales]
00000001a0176280 (__TEXT,__text) non-external -[CalculateTokenizer nextToken]
00000001a0176160 (__TEXT,__text) non-external -[CalculateTokenizer peekIndex]
00000001a01761b8 (__TEXT,__text) non-external -[CalculateTokenizer peekToken]
00000001a0176150 (__TEXT,__text) non-external -[CalculateTokenizer peekTokens]
00000001a01780fc (__TEXT,__text) non-external -[CalculateTokenizer reset]
00000001a0176130 (__TEXT,__text) non-external -[CalculateTokenizer setLastToken:]
00000001a0177ae0 (__TEXT,__text) non-external -[CalculateTokenizer setLocales:]
00000001a0176158 (__TEXT,__text) non-external -[CalculateTokenizer setPeekIndex:]
00000001a0176144 (__TEXT,__text) non-external -[CalculateTokenizer setPeekTokens:]
00000001a0177b24 (__TEXT,__text) non-external -[CalculateTokenizer setString:]
00000001a0176168 (__TEXT,__text) non-external -[CalculateTokenizer setStringLength:]
00000001a0176178 (__TEXT,__text) non-external -[CalculateTokenizer setTrie:]
00000001a017618c (__TEXT,__text) non-external -[CalculateTokenizer setUnitsInfo:]
00000001a017611c (__TEXT,__text) non-external -[CalculateTokenizer setWordBreakIndices:]
00000001a017610c (__TEXT,__text) non-external -[CalculateTokenizer setWordBreakIndicesIndex:]
00000001a0176170 (__TEXT,__text) non-external -[CalculateTokenizer stringLength]
00000001a01761a8 (__TEXT,__text) non-external -[CalculateTokenizer string]
00000001a0176184 (__TEXT,__text) non-external -[CalculateTokenizer trie]
00000001a0176198 (__TEXT,__text) non-external -[CalculateTokenizer unitsInfo]
00000001a0176114 (__TEXT,__text) non-external -[CalculateTokenizer wordBreakIndicesIndex]
00000001a0176128 (__TEXT,__text) non-external -[CalculateTokenizer wordBreakIndices]
00000001a0173d10 (__TEXT,__text) non-external -[CalculateUnit .cxx_destruct]
00000001a0174478 (__TEXT,__text) non-external -[CalculateUnit compactNameForLocalization:]
00000001a0173ebc (__TEXT,__text) non-external -[CalculateUnit compare:]
00000001a0173d98 (__TEXT,__text) non-external -[CalculateUnit description]
00000001a0173d88 (__TEXT,__text) non-external -[CalculateUnit exponent]
00000001a01744f8 (__TEXT,__text) non-external -[CalculateUnit formatNextSmallest]
00000001a0174658 (__TEXT,__text) non-external -[CalculateUnit isDenominator]
00000001a0173e4c (__TEXT,__text) non-external -[CalculateUnit isEqual:]
00000001a0174674 (__TEXT,__text) non-external -[CalculateUnit isNumerator]
00000001a0173f40 (__TEXT,__text) non-external -[CalculateUnit localizedNameForValue:localization:retainingFormat:]
00000001a0173d90 (__TEXT,__text) non-external -[CalculateUnit name]
00000001a0174500 (__TEXT,__text) non-external -[CalculateUnit nextSmallest]
00000001a0173d74 (__TEXT,__text) non-external -[CalculateUnit setNextSmallest:]
00000001a0173d60 (__TEXT,__text) non-external -[CalculateUnit setUnitInfo:]
00000001a0173d6c (__TEXT,__text) non-external -[CalculateUnit unitInfo]
00000001a0173d80 (__TEXT,__text) non-external -[CalculateUnit unitType]
00000001a0179778 (__TEXT,__text) non-external -[Converter .cxx_destruct]
00000001a017c484 (__TEXT,__text) non-external -[Converter _calculate:]
00000001a017a9b8 (__TEXT,__text) non-external -[Converter _doubleWithoutUnrelevantDecimalsForNumber:]
00000001a0179920 (__TEXT,__text) non-external -[Converter _localizedPluralizedStringsforNumber:unit:]
00000001a017bcf0 (__TEXT,__text) non-external -[Converter _normalizedUnitNamesForName:]
00000001a017aa44 (__TEXT,__text) non-external -[Converter _operateConversionForOutputUnit:]
00000001a017c5fc (__TEXT,__text) non-external -[Converter _parseInputQuery]
00000001a017b188 (__TEXT,__text) non-external -[Converter _performUnitPluralization]
00000001a017c564 (__TEXT,__text) non-external -[Converter _safe_subStringOf:withRange:]
00000001a017b9b8 (__TEXT,__text) non-external -[Converter _standardizeInputAndOutputUnits]
00000001a017b6ac (__TEXT,__text) non-external -[Converter _unitInfoForNormalizedName:]
00000001a017be78 (__TEXT,__text) non-external -[Converter _updateInputValueFromMatch:]
00000001a0179848 (__TEXT,__text) non-external -[Converter additionalResults]
00000001a0179834 (__TEXT,__text) non-external -[Converter conversionType]
00000001a0179858 (__TEXT,__text) non-external -[Converter currencyUpdateTimeOut]
00000001a017e274 (__TEXT,__text) non-external -[Converter initWithInput:]
00000001a0179918 (__TEXT,__text) non-external -[Converter inputString]
00000001a0179904 (__TEXT,__text) non-external -[Converter inputUnit]
00000001a01798f0 (__TEXT,__text) non-external -[Converter inputValue]
00000001a0179860 (__TEXT,__text) non-external -[Converter isCurrency]
00000001a01798b4 (__TEXT,__text) non-external -[Converter localizedInputValueAndUnit]
00000001a0179878 (__TEXT,__text) non-external -[Converter localizedOutputUnit]
00000001a01798a0 (__TEXT,__text) non-external -[Converter localizedOutputValueAndUnit]
00000001a017988c (__TEXT,__text) non-external -[Converter localizedOutputValue]
00000001a01798dc (__TEXT,__text) non-external -[Converter outputUnit]
00000001a01798c8 (__TEXT,__text) non-external -[Converter outputValue]
00000001a017cee4 (__TEXT,__text) non-external -[Converter processConversionWithCompletion:]
00000001a017983c (__TEXT,__text) non-external -[Converter setAdditionalResults:]
00000001a0179828 (__TEXT,__text) non-external -[Converter setConversionType:]
00000001a0179850 (__TEXT,__text) non-external -[Converter setCurrencyUpdateTimeOut:]
00000001a017990c (__TEXT,__text) non-external -[Converter setInputString:]
00000001a01798f8 (__TEXT,__text) non-external -[Converter setInputUnit:]
00000001a01798e4 (__TEXT,__text) non-external -[Converter setInputValue:]
00000001a01798a8 (__TEXT,__text) non-external -[Converter setLocalizedInputValueAndUnit:]
00000001a017986c (__TEXT,__text) non-external -[Converter setLocalizedOutputUnit:]
00000001a0179880 (__TEXT,__text) non-external -[Converter setLocalizedOutputValue:]
00000001a0179894 (__TEXT,__text) non-external -[Converter setLocalizedOutputValueAndUnit:]
00000001a01798d0 (__TEXT,__text) non-external -[Converter setOutputUnit:]
00000001a01798bc (__TEXT,__text) non-external -[Converter setOutputValue:]
00000001a017b324 (__TEXT,__text) non-external -[Converter similarUnitsForNormalizedName:]
00000001a0151c9c (__TEXT,__text) non-external -[CurrencyCache .cxx_destruct]
00000001a0152eac (__TEXT,__text) non-external -[CurrencyCache _consumerKey]
00000001a0152eb8 (__TEXT,__text) non-external -[CurrencyCache _consumerSecret]
00000001a01522ec (__TEXT,__text) non-external -[CurrencyCache _loadPersistedCurrencyCache]
00000001a0152fd4 (__TEXT,__text) non-external -[CurrencyCache _needsRefresh]
00000001a0152540 (__TEXT,__text) non-external -[CurrencyCache _queue_persistCurrencyCache]
00000001a01527c4 (__TEXT,__text) non-external -[CurrencyCache _queue_refresh:]
00000001a015278c (__TEXT,__text) non-external -[CurrencyCache _queue_refresh]
00000001a0152e10 (__TEXT,__text) non-external -[CurrencyCache createCredential]
00000001a0152f44 (__TEXT,__text) non-external -[CurrencyCache currencyData]
00000001a0153434 (__TEXT,__text) non-external -[CurrencyCache init]
00000001a0153020 (__TEXT,__text) non-external -[CurrencyCache lastRefreshDate]
00000001a0151d44 (__TEXT,__text) non-external -[CurrencyCache lastRefreshTimeInternal]
00000001a0151d34 (__TEXT,__text) non-external -[CurrencyCache lock]
00000001a0152f94 (__TEXT,__text) non-external -[CurrencyCache needsRefresh]
00000001a0153238 (__TEXT,__text) non-external -[CurrencyCache refreshIfNeeded]
00000001a0151d64 (__TEXT,__text) non-external -[CurrencyCache refreshInterval]
00000001a0153070 (__TEXT,__text) non-external -[CurrencyCache refreshWithTimeOut:]
00000001a0153284 (__TEXT,__text) non-external -[CurrencyCache refresh]
00000001a0151d78 (__TEXT,__text) non-external -[CurrencyCache serializer]
00000001a0151d80 (__TEXT,__text) non-external -[CurrencyCache setCurrencyData:]
00000001a0151d3c (__TEXT,__text) non-external -[CurrencyCache setLastRefreshTimeInternal:]
00000001a0151d28 (__TEXT,__text) non-external -[CurrencyCache setLock:]
00000001a0151d5c (__TEXT,__text) non-external -[CurrencyCache setRefreshInterval:]
00000001a0151d6c (__TEXT,__text) non-external -[CurrencyCache setSerializer:]
00000001a0151d4c (__TEXT,__text) non-external -[CurrencyCache setTimeout:]
00000001a0151d54 (__TEXT,__text) non-external -[CurrencyCache timeout]
00000001a0151d94 (__TEXT,__text) non-external -[CurrencyCache updateCurrencyCacheWithData:]
00000001a0151d8c (__TEXT,__text) non-external -[CurrencyCache uuid]
00000001a016573c (__TEXT,__text) non-external -[NSLocale(Whitespace) usesWhitespace]
00000001a0168158 (__TEXT,__text) non-external -[Trie .cxx_destruct]
00000001a0168218 (__TEXT,__text) non-external -[Trie characterCount]
00000001a0168208 (__TEXT,__text) non-external -[Trie characterSize]
00000001a0168228 (__TEXT,__text) non-external -[Trie characters]
00000001a01681a4 (__TEXT,__text) non-external -[Trie compressed]
00000001a0168338 (__TEXT,__text) non-external -[Trie dealloc]
00000001a01681b4 (__TEXT,__text) non-external -[Trie firstByteCache]
00000001a01683a0 (__TEXT,__text) non-external -[Trie init]
00000001a01681e8 (__TEXT,__text) non-external -[Trie nodeCount]
00000001a01681d8 (__TEXT,__text) non-external -[Trie nodeSize]
00000001a01681f8 (__TEXT,__text) non-external -[Trie nodes]
00000001a01681c8 (__TEXT,__text) non-external -[Trie objects]
00000001a0168210 (__TEXT,__text) non-external -[Trie setCharacterCount:]
00000001a0168200 (__TEXT,__text) non-external -[Trie setCharacterSize:]
00000001a0168220 (__TEXT,__text) non-external -[Trie setCharacters:]
00000001a016819c (__TEXT,__text) non-external -[Trie setCompressed:]
00000001a01681ac (__TEXT,__text) non-external -[Trie setFirstByteCache:]
00000001a01681e0 (__TEXT,__text) non-external -[Trie setNodeCount:]
00000001a01681d0 (__TEXT,__text) non-external -[Trie setNodeSize:]
00000001a01681f0 (__TEXT,__text) non-external -[Trie setNodes:]
00000001a01681bc (__TEXT,__text) non-external -[Trie setObjects:]
00000001a01682c4 (__TEXT,__text) non-external -[Trie writeCharacter:]
00000001a0168230 (__TEXT,__text) non-external -[Trie writeNode:]
00000001a01680f8 (__TEXT,__text) non-external -[TrieNode .cxx_destruct]
00000001a0168118 (__TEXT,__text) non-external -[TrieNode node]
00000001a0168540 (__TEXT,__text) non-external -[TrieNode objectForByte:leaf:create:]
00000001a0168b24 (__TEXT,__text) non-external -[TrieNode objectForKey:create:]
00000001a0168c48 (__TEXT,__text) non-external -[TrieNode objectForKeyedSubscript:]
00000001a016891c (__TEXT,__text) non-external -[TrieNode object]
00000001a0168108 (__TEXT,__text) non-external -[TrieNode offset]
00000001a0168110 (__TEXT,__text) non-external -[TrieNode setNode:]
00000001a0168a00 (__TEXT,__text) non-external -[TrieNode setObject:]
00000001a0168100 (__TEXT,__text) non-external -[TrieNode setOffset:]
00000001a0168120 (__TEXT,__text) non-external -[TrieNode setTrie:]
00000001a016812c (__TEXT,__text) non-external -[TrieNode trie]
00000001a01685ec (__TEXT,__text) non-external -[TrieNode updateForByte:leaf:create:]
00000001a01660c4 (__TEXT,__text) non-external -[UnitInfo .cxx_destruct]
00000001a0166158 (__TEXT,__text) non-external -[UnitInfo allSubunitIDs]
00000001a01662c4 (__TEXT,__text) non-external -[UnitInfo baseDenominator]
00000001a01662d8 (__TEXT,__text) non-external -[UnitInfo baseNumerator]
00000001a01661e8 (__TEXT,__text) non-external -[UnitInfo bestEquivalent]
00000001a0166318 (__TEXT,__text) non-external -[UnitInfo compactNameForLocalization:]
00000001a0166634 (__TEXT,__text) non-external -[UnitInfo compare:]
00000001a01661c4 (__TEXT,__text) non-external -[UnitInfo doNotSuggest]
00000001a016617c (__TEXT,__text) non-external -[UnitInfo formatNextSmallest]
00000001a01665f8 (__TEXT,__text) non-external -[UnitInfo hash]
00000001a0166284 (__TEXT,__text) non-external -[UnitInfo impliesDivision]
00000001a0166734 (__TEXT,__text) non-external -[UnitInfo init]
00000001a01662a4 (__TEXT,__text) non-external -[UnitInfo isBaseUnit]
00000001a0166264 (__TEXT,__text) non-external -[UnitInfo isCelsius]
00000001a0166294 (__TEXT,__text) non-external -[UnitInfo isDisplayName]
00000001a01666b4 (__TEXT,__text) non-external -[UnitInfo isEqual:]
00000001a0166274 (__TEXT,__text) non-external -[UnitInfo isFahrenheit]
00000001a01662b4 (__TEXT,__text) non-external -[UnitInfo isInverted]
00000001a0166254 (__TEXT,__text) non-external -[UnitInfo isKelvin]
00000001a0166144 (__TEXT,__text) non-external -[UnitInfo localizationToCompactName]
00000001a01661d4 (__TEXT,__text) non-external -[UnitInfo measurementSystem]
00000001a01662f0 (__TEXT,__text) non-external -[UnitInfo name]
00000001a0166190 (__TEXT,__text) non-external -[UnitInfo nextSmallest]
00000001a016614c (__TEXT,__text) non-external -[UnitInfo setAllSubunitIDs:]
00000001a01662bc (__TEXT,__text) non-external -[UnitInfo setBaseDenominator:]
00000001a01662d0 (__TEXT,__text) non-external -[UnitInfo setBaseNumerator:]
00000001a01661dc (__TEXT,__text) non-external -[UnitInfo setBestEquivalent:]
00000001a01661bc (__TEXT,__text) non-external -[UnitInfo setDoNotSuggest:]
00000001a0166174 (__TEXT,__text) non-external -[UnitInfo setFormatNextSmallest:]
00000001a016627c (__TEXT,__text) non-external -[UnitInfo setImpliesDivision:]
00000001a016629c (__TEXT,__text) non-external -[UnitInfo setIsBaseUnit:]
00000001a016625c (__TEXT,__text) non-external -[UnitInfo setIsCelsius:]
00000001a016628c (__TEXT,__text) non-external -[UnitInfo setIsDisplayName:]
00000001a016626c (__TEXT,__text) non-external -[UnitInfo setIsFahrenheit:]
00000001a01662ac (__TEXT,__text) non-external -[UnitInfo setIsInverted:]
00000001a016624c (__TEXT,__text) non-external -[UnitInfo setIsKelvin:]
00000001a0166138 (__TEXT,__text) non-external -[UnitInfo setLocalizationToCompactName:]
00000001a01661cc (__TEXT,__text) non-external -[UnitInfo setMeasurementSystem:]
00000001a01662e4 (__TEXT,__text) non-external -[UnitInfo setName:]
00000001a0166184 (__TEXT,__text) non-external -[UnitInfo setNextSmallest:]
00000001a0166160 (__TEXT,__text) non-external -[UnitInfo setSubunitIDs:]
00000001a0166214 (__TEXT,__text) non-external -[UnitInfo setTypeInfo:]
00000001a0166308 (__TEXT,__text) non-external -[UnitInfo setUnitID:]
00000001a01662f8 (__TEXT,__text) non-external -[UnitInfo setUnitType:]
00000001a016616c (__TEXT,__text) non-external -[UnitInfo subunitIDs]
00000001a0166220 (__TEXT,__text) non-external -[UnitInfo typeInfo]
00000001a0166310 (__TEXT,__text) non-external -[UnitInfo unitID]
00000001a0166300 (__TEXT,__text) non-external -[UnitInfo unitType]
00000001a01658c8 (__TEXT,__text) non-external -[UnitRank .cxx_destruct]
00000001a0165a04 (__TEXT,__text) non-external -[UnitRank compare:]
00000001a0165918 (__TEXT,__text) non-external -[UnitRank context]
00000001a0165954 (__TEXT,__text) non-external -[UnitRank description]
00000001a01659b8 (__TEXT,__text) non-external -[UnitRank hash]
00000001a0165bd4 (__TEXT,__text) non-external -[UnitRank initWithUnitID:rank:locale:]
00000001a0165b10 (__TEXT,__text) non-external -[UnitRank initWithUnitID:rank:locale:context:]
00000001a0165a84 (__TEXT,__text) non-external -[UnitRank isEqual:]
00000001a016592c (__TEXT,__text) non-external -[UnitRank locale]
00000001a016593c (__TEXT,__text) non-external -[UnitRank rank]
00000001a016590c (__TEXT,__text) non-external -[UnitRank setContext:]
00000001a0165920 (__TEXT,__text) non-external -[UnitRank setLocale:]
00000001a0165934 (__TEXT,__text) non-external -[UnitRank setRank:]
00000001a0165944 (__TEXT,__text) non-external -[UnitRank setUnitID:]
00000001a016594c (__TEXT,__text) non-external -[UnitRank unitID]
00000001a0165bdc (__TEXT,__text) non-external -[UnitRanks .cxx_destruct]
00000001a0165cb8 (__TEXT,__text) non-external -[UnitRanks addUnitRank:]
00000001a0165c74 (__TEXT,__text) non-external -[UnitRanks containsCurrency]
00000001a0165c98 (__TEXT,__text) non-external -[UnitRanks containsFrom]
00000001a0165c8c (__TEXT,__text) non-external -[UnitRanks containsTo]
00000001a0165c80 (__TEXT,__text) non-external -[UnitRanks containsUnit]
00000001a0165fa4 (__TEXT,__text) non-external -[UnitRanks initWithUnitsInfo:]
00000001a0165f04 (__TEXT,__text) non-external -[UnitRanks init]
