0000000180fabdf8 (__TEXT,__text) external _OSAtomicAdd32
0000000180fac140 (__TEXT,__text) non-external __OSAtomicEnqueue_misalign
0000000180faa794 (__TEXT,__text) external __OSSpinLockLockSlow
0000000180faa80c (__TEXT,__text) non-external __OSSpinLockLockYield
0000000180fad4c0 (__TEXT,__text) external ___bzero
                 (undefined) external ___error (from libsystem_kernel)
000000018301c060 (__DATA_DIRTY,__common) non-external (was a private external) ___in_sigtramp
                 (undefined) external ___libkernel_platform_init (from libsystem_kernel)
0000000180fa8000 (__TEXT,__text) external ___libplatform_init
0000000180fab300 (__TEXT,__text) external ___os_once_reset
0000000180faa4dc (__TEXT,__text) non-external (was a private external) ___os_security_config_init
0000000180fae0bc (__TEXT,__text) non-external ___os_security_config_init.cold.1
0000000180faa224 (__TEXT,__text) non-external (was a private external) ___pfz_setup
0000000180fae7e8 (__TEXT,__const) non-external (was a private external) ___platformVersionNumber
0000000180fae7b0 (__TEXT,__const) non-external (was a private external) ___platformVersionString
0000000180fac304 (__TEXT,__text) external ___platform_sigaction
000000018301c048 (__DATA_DIRTY,__data) non-external (was a private external) ___security_config
                 (undefined) external ___sigaction (from libsystem_kernel)
                 (undefined) external ___sigaltstack (from libsystem_kernel)
                 (undefined) external ___sigreturn (from libsystem_kernel)
0000000180fa8520 (__TEXT,__text) non-external ___simple_bprintf
0000000180fac7bc (__TEXT,__text) external ___sme_memchr
0000000180facb58 (__TEXT,__text) external ___sme_memcpy
0000000180facc2c (__TEXT,__text) external ___sme_memmove
0000000180fad98c (__TEXT,__text) external ___sme_memset
                 (undefined) external ___ulock_wait (from libsystem_kernel)
                 (undefined) external ___ulock_wait2 (from libsystem_kernel)
                 (undefined) external ___ulock_wake (from libsystem_kernel)
0000000180fadbe8 (__TEXT,__text) external __ctx_done
0000000180fadf10 (__TEXT,__text) non-external (was a private external) __ctx_start
0000000180fa8fb8 (__TEXT,__text) non-external __enlarge
0000000180fae044 (__TEXT,__text) non-external __enlarge.cold.1
                 (undefined) external __exit (from libsystem_kernel)
0000000180fa8e84 (__TEXT,__text) non-external __flush
0000000180fa84f0 (__TEXT,__text) non-external __flush_reset
0000000180fae89b (__TEXT,__cstring) non-external __h
0000000180fac3e0 (__TEXT,__text) external __longjmp
0000000180fab954 (__TEXT,__text) non-external __os_alloc
0000000180fae33c (__TEXT,__text) non-external __os_alloc.cold.1
000000018301c058 (__DATA_DIRTY,__common) non-external (was a private external) __os_alloc_heap
0000000180fab904 (__TEXT,__text) external __os_alloc_once
0000000180faba10 (__TEXT,__text) non-external __os_alloc_slow
0000000180fae0dc (__TEXT,__text) non-external (was a private external) __os_lock_corruption_abort
0000000180faa978 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_lock
0000000180faa9c8 (__TEXT,__text) non-external __os_lock_handoff_lock_slow
0000000180faa99c (__TEXT,__text) non-external (was a private external) __os_lock_handoff_trylock
0000000180faa9bc (__TEXT,__text) non-external (was a private external) __os_lock_handoff_unlock
0000000180fab29c (__TEXT,__text) non-external (was a private external) __os_lock_nospin_lock
0000000180fab2c0 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_trylock
0000000180fab2e0 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_unlock
0000000180fae26c (__TEXT,__text) non-external __os_lock_recursive_abort
0000000180faa930 (__TEXT,__text) non-external (was a private external) __os_lock_spin_lock
0000000180faa950 (__TEXT,__text) non-external (was a private external) __os_lock_spin_trylock
0000000180faa96c (__TEXT,__text) non-external (was a private external) __os_lock_spin_unlock
0000000180fae7f0 (__TEXT,__const) non-external __os_lock_type_base
00000001830d2d00 (__AUTH_CONST,__const) external __os_lock_type_eliding
00000001830d2d20 (__AUTH_CONST,__const) external __os_lock_type_handoff
00000001830d2d60 (__AUTH_CONST,__const) external __os_lock_type_nospin
00000001830d2d00 (__AUTH_CONST,__const) external __os_lock_type_spin
00000001830d2d00 (__AUTH_CONST,__const) external __os_lock_type_transactional
00000001830d2d40 (__AUTH_CONST,__const) external __os_lock_type_unfair
0000000180fab02c (__TEXT,__text) non-external (was a private external) __os_lock_unfair_lock
0000000180fab058 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_trylock
0000000180fab078 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_unlock
0000000180fab098 (__TEXT,__text) external __os_nospin_lock_lock
0000000180fab0b8 (__TEXT,__text) non-external __os_nospin_lock_lock_slow
0000000180fab1b4 (__TEXT,__text) external __os_nospin_lock_trylock
0000000180fab1d0 (__TEXT,__text) external __os_nospin_lock_unlock
0000000180fab1ec (__TEXT,__text) non-external __os_nospin_lock_unlock_slow
0000000180fab3c8 (__TEXT,__text) external __os_once
0000000180fae318 (__TEXT,__text) non-external __os_once.cold.1
0000000180fab420 (__TEXT,__text) non-external __os_once_callout
0000000180fab31c (__TEXT,__text) non-external __os_once_gate_broadcast
0000000180fae244 (__TEXT,__text) non-external (was a private external) __os_once_gate_corruption_abort
0000000180fae1f4 (__TEXT,__text) non-external (was a private external) __os_once_gate_recursive_abort
0000000180fae21c (__TEXT,__text) non-external (was a private external) __os_once_gate_unowned_abort
0000000180fab494 (__TEXT,__text) non-external __os_once_gate_wait
0000000180fabd1c (__TEXT,__text) external __os_semaphore_create
0000000180fae364 (__TEXT,__text) non-external __os_semaphore_create.cold.1
0000000180fae38c (__TEXT,__text) non-external __os_semaphore_create.cold.2
0000000180fabd70 (__TEXT,__text) external __os_semaphore_dispose
0000000180fae3b4 (__TEXT,__text) non-external __os_semaphore_dispose.cold.1
0000000180fabda0 (__TEXT,__text) external __os_semaphore_signal
0000000180fae3dc (__TEXT,__text) non-external __os_semaphore_signal.cold.1
0000000180fabdc0 (__TEXT,__text) external __os_semaphore_wait
0000000180fae404 (__TEXT,__text) non-external __os_semaphore_wait.cold.1
0000000180fae154 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_corruption_abort
0000000180faaab4 (__TEXT,__text) non-external __os_unfair_lock_lock_slow
0000000180fae104 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_recursive_abort
0000000180faac8c (__TEXT,__text) non-external __os_unfair_lock_trylock_with_options_slow
0000000180faad64 (__TEXT,__text) non-external __os_unfair_lock_unlock_slow
0000000180fae12c (__TEXT,__text) non-external (was a private external) __os_unfair_lock_unowned_abort
0000000180fad4c0 (__TEXT,__text) external __platform_bzero
0000000180fac610 (__TEXT,__text) external __platform_memccpy
0000000180fad040 (__TEXT,__text) external __platform_memchr
0000000180fad150 (__TEXT,__text) external __platform_memcmp
0000000180fad600 (__TEXT,__text) external __platform_memcmp_zero_aligned8
0000000180fac890 (__TEXT,__text) external __platform_memmove
0000000180fad520 (__TEXT,__text) external __platform_memset
0000000180fad700 (__TEXT,__text) external __platform_memset_pattern16
0000000180fad6c0 (__TEXT,__text) external __platform_memset_pattern4
0000000180fad6e0 (__TEXT,__text) external __platform_memset_pattern8
0000000180fadae0 (__TEXT,__text) external __platform_strchr
0000000180fada54 (__TEXT,__text) external __platform_strcmp
0000000180facd50 (__TEXT,__text) non-external (was a private external) __platform_strcmp$VARIANT$Base
0000000180fad890 (__TEXT,__text) non-external (was a private external) __platform_strcmp$VARIANT$MTE
0000000180fac554 (__TEXT,__text) external __platform_strcpy
00000001830d2c78 (__AUTH_CONST,__const) non-external __platform_string_functions
0000000180fac720 (__TEXT,__text) external __platform_strlcat
0000000180fac594 (__TEXT,__text) external __platform_strlcpy
0000000180fad340 (__TEXT,__text) external __platform_strlen
0000000180fada88 (__TEXT,__text) external __platform_strncmp
0000000180fad3b0 (__TEXT,__text) non-external (was a private external) __platform_strncmp$VARIANT$Base
0000000180face50 (__TEXT,__text) non-external (was a private external) __platform_strncmp$VARIANT$MTE
0000000180fac698 (__TEXT,__text) external __platform_strncpy
0000000180fad2a0 (__TEXT,__text) external __platform_strnlen
0000000180fac4cc (__TEXT,__text) external __platform_strstr
0000000180fade7c (__TEXT,__text) non-external (was a private external) __setcontext
0000000180fac380 (__TEXT,__text) external __setjmp
0000000180fac2b0 (__TEXT,__text) non-external (was a private external) __sigtramp
0000000180fac294 (__TEXT,__text) non-external (was a private external) __sigunaltstack
0000000180fa828c (__TEXT,__text) non-external __simple_asl_escape_key
0000000180fa8300 (__TEXT,__text) non-external __simple_asl_escape_val
0000000180fa8488 (__TEXT,__text) external __simple_asl_log
0000000180fa83a8 (__TEXT,__text) external __simple_asl_log_prog
0000000180fa80f4 (__TEXT,__text) external __simple_asl_msg_new
0000000180fa8140 (__TEXT,__text) external __simple_asl_msg_set
0000000180fa8360 (__TEXT,__text) external __simple_asl_send
0000000180fa8f00 (__TEXT,__text) external __simple_dprintf
0000000180fa925c (__TEXT,__text) external __simple_esappend
0000000180fa9178 (__TEXT,__text) external __simple_esprintf
0000000180fa8048 (__TEXT,__text) external __simple_getenv
0000000180fa9334 (__TEXT,__text) external __simple_put
0000000180fa933c (__TEXT,__text) external __simple_putline
0000000180fa8f2c (__TEXT,__text) external __simple_salloc
0000000180fa91ec (__TEXT,__text) external __simple_sappend
0000000180fa9384 (__TEXT,__text) external __simple_sfree
0000000180fa94e8 (__TEXT,__text) external __simple_snprintf
0000000180fa9140 (__TEXT,__text) external __simple_sprintf
0000000180fa91b8 (__TEXT,__text) external __simple_sresize
0000000180fa91a8 (__TEXT,__text) external __simple_string
0000000180fa8490 (__TEXT,__text) external __simple_vdprintf
0000000180fa9124 (__TEXT,__text) external __simple_vesprintf
0000000180fa9418 (__TEXT,__text) external __simple_vsnprintf
0000000180fae06c (__TEXT,__text) non-external __simple_vsnprintf.cold.1
0000000180fa90fc (__TEXT,__text) external __simple_vsprintf
0000000180fa94c8 (__TEXT,__text) non-external __snprintf_out_of_space
0000000180faa8dc (__TEXT,__text) external __spin_lock
0000000180faa910 (__TEXT,__text) external __spin_lock_try
0000000180faa928 (__TEXT,__text) external __spin_unlock
000000018301c050 (__DATA_DIRTY,__common) non-external (was a private external) _commpage_pfz_base
0000000180faa4b4 (__TEXT,__text) non-external _cpus_that_need_dsb_for_ic_ivau
0000000180fa9514 (__TEXT,__text) non-external _dec
0000000180facfb8 (__TEXT,__text) external _ffs
0000000180facfd0 (__TEXT,__text) external _ffsl
0000000180facfd0 (__TEXT,__text) external _ffsll
0000000180facfe8 (__TEXT,__text) external _fls
0000000180facff8 (__TEXT,__text) external _flsl
0000000180facff8 (__TEXT,__text) external _flsll
0000000183017508 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
0000000180fadf40 (__TEXT,__text) external _getcontext
                 (undefined) external _getrlimit (from libsystem_kernel)
0000000180fa9a48 (__TEXT,__text) non-external _hex
                 (undefined) external _log_data_as_kernel (from libsystem_kernel)
0000000180fac490 (__TEXT,__text) external _longjmp
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _mach_vm_deallocate (from libsystem_kernel)
                 (undefined) external _mach_vm_map (from libsystem_kernel)
0000000180fadc10 (__TEXT,__text) external _makecontext
0000000180fac60c (__TEXT,__text) non-external (was a private external) _memset
0000000180fa9864 (__TEXT,__text) non-external _oct
0000000180fabb48 (__TEXT,__text) external _os_apt_msg_async_task_running_4swift
0000000180fabc00 (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_dev
0000000180fabba8 (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_dev_prodel0
0000000180fabc28 (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_nop
0000000180fabbd8 (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_prodel0
0000000180fabc2c (__TEXT,__text) external _os_apt_msg_async_task_waiting_on_4swift
0000000180fabcec (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_dev
0000000180fabc8c (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_dev_prodel0
0000000180fabd18 (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_nop
0000000180fabcc0 (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_prodel0
0000000180faa764 (__TEXT,__text) external _os_lock_lock
0000000180faa774 (__TEXT,__text) external _os_lock_trylock
0000000180faa784 (__TEXT,__text) external _os_lock_unlock
0000000180faa670 (__TEXT,__text) external _os_security_config_get
0000000180faa67c (__TEXT,__text) external _os_security_config_get_for_proc
0000000180faa708 (__TEXT,__text) external _os_security_config_get_for_task
0000000180fab764 (__TEXT,__text) external _os_sync_wait_on_address
0000000180fab624 (__TEXT,__text) external _os_sync_wait_on_address_with_deadline
0000000180fab6c4 (__TEXT,__text) external _os_sync_wait_on_address_with_timeout
0000000180fab87c (__TEXT,__text) external _os_sync_wake_by_address_all
0000000180fab7f4 (__TEXT,__text) external _os_sync_wake_by_address_any
0000000180faae94 (__TEXT,__text) external _os_unfair_lock_assert_not_owner
0000000180fae2bc (__TEXT,__text) non-external _os_unfair_lock_assert_not_owner.cold.1
0000000180faae68 (__TEXT,__text) external _os_unfair_lock_assert_owner
0000000180fae294 (__TEXT,__text) non-external _os_unfair_lock_assert_owner.cold.1
0000000180faaa8c (__TEXT,__text) external _os_unfair_lock_lock
0000000180faae10 (__TEXT,__text) external _os_unfair_lock_lock_no_tsd
0000000180faae44 (__TEXT,__text) external _os_unfair_lock_lock_with_flags
0000000180faac28 (__TEXT,__text) external _os_unfair_lock_lock_with_options
0000000180faac4c (__TEXT,__text) external _os_unfair_lock_trylock
0000000180faac68 (__TEXT,__text) external _os_unfair_lock_trylock_with_options
0000000180faad48 (__TEXT,__text) external _os_unfair_lock_unlock
0000000180faae30 (__TEXT,__text) external _os_unfair_lock_unlock_no_tsd
0000000180faaedc (__TEXT,__text) external _os_unfair_recursive_lock_lock_with_options
0000000180faaec0 (__TEXT,__text) external _os_unfair_recursive_lock_owned
0000000180fae1b0 (__TEXT,__text) external _os_unfair_recursive_lock_trylock
0000000180faaf7c (__TEXT,__text) external _os_unfair_recursive_lock_tryunlock4objc
0000000180fae2e4 (__TEXT,__text) non-external _os_unfair_recursive_lock_tryunlock4objc.cold.1
0000000180faaf1c (__TEXT,__text) external _os_unfair_recursive_lock_unlock
0000000180faafec (__TEXT,__text) external _os_unfair_recursive_lock_unlock_forked_child
0000000180fae2f8 (__TEXT,__text) non-external _os_unfair_recursive_lock_unlock_forked_child.cold.1
0000000180fadd6c (__TEXT,__text) non-external (was a private external) _populate_signal_stack_context
                 (undefined) external _proc_pidinfo (from libsystem_kernel)
0000000180fae03c (__TEXT,__text) non-external _sb
                 (undefined) external _semaphore_create (from libsystem_kernel)
                 (undefined) external _semaphore_destroy (from libsystem_kernel)
                 (undefined) external _semaphore_signal (from libsystem_kernel)
                 (undefined) external _semaphore_wait (from libsystem_kernel)
0000000180fade14 (__TEXT,__text) external _setcontext
0000000180fac450 (__TEXT,__text) external _setjmp
0000000180fac484 (__TEXT,__text) external _siglongjmp
                 (undefined) external _sigprocmask (from libsystem_kernel)
0000000180fac444 (__TEXT,__text) external _sigsetjmp
0000000180faa8dc (__TEXT,__text) external _spin_lock
0000000180faa910 (__TEXT,__text) external _spin_lock_try
0000000180faa928 (__TEXT,__text) external _spin_unlock
0000000180fadb58 (__TEXT,__text) external _swapcontext
0000000180faa3d4 (__TEXT,__text) external _sys_cache_control
0000000180faa4d4 (__TEXT,__text) external _sys_dcache_flush
0000000180faa420 (__TEXT,__text) external _sys_icache_invalidate
                 (undefined) external _task_info (from libsystem_kernel)
                 (undefined) external _thread_switch (from libsystem_kernel)
0000000180fadfc8 (__TEXT,__text) external _timingsafe_enable_if_supported
0000000180fae020 (__TEXT,__text) external _timingsafe_restore_if_supported
0000000180fa9dc4 (__TEXT,__text) non-external _udec
                 (undefined) external _vm_allocate (from libsystem_kernel)
                 (undefined) external _vm_deallocate (from libsystem_kernel)
                 (undefined) external _vm_page_size (from libsystem_kernel)
                 (undefined) external _write (from libsystem_kernel)
0000000180fa9fb8 (__TEXT,__text) non-external _ydec
