00000001d0f8e100 (__TEXT,__text) non-external +[NFPromise new]
00000001d0f8d56c (__TEXT,__text) non-external -[NFStateMachine owner]
00000001d0f8d5c0 (__TEXT,__text) non-external -[NFStateMachine setEvents:]
00000001d0f8d5d4 (__TEXT,__text) non-external -[NFStateMachine setLock:]
00000001d0f8d598 (__TEXT,__text) non-external -[NFStateMachine setOwner:]
00000001d0f8d560 (__TEXT,__text) non-external -[NFStateMachine setState:]
00000001d0f8d5ac (__TEXT,__text) non-external -[NFStateMachine setStates:]
00000001d0f8d550 (__TEXT,__text) non-external -[NFStateMachine setStatus:]
00000001d0f8d5e8 (__TEXT,__text) non-external -[NFStateMachine setStatusToken:]
00000001d0f8d558 (__TEXT,__text) non-external -[NFStateMachine state]
00000001d0f8d5a4 (__TEXT,__text) non-external -[NFStateMachine states]
00000001d0f8d5e0 (__TEXT,__text) non-external -[NFStateMachine statusToken]
00000001d0f8d548 (__TEXT,__text) non-external -[NFStateMachine status]
00000001d0f9161c (__TEXT,__text) non-external -[NFStateMachineEvent .cxx_destruct]
00000001d0f91408 (__TEXT,__text) non-external -[NFStateMachineEvent description]
00000001d0f915f8 (__TEXT,__text) non-external -[NFStateMachineEvent destinationState]
00000001d0f9160c (__TEXT,__text) non-external -[NFStateMachineEvent fireBlock]
00000001d0f914f8 (__TEXT,__text) non-external -[NFStateMachineEvent fired:withOwner:]
00000001d0f912f0 (__TEXT,__text) non-external -[NFStateMachineEvent hash]
00000001d0f9121c (__TEXT,__text) non-external -[NFStateMachineEvent initWithName:transitionFromStates:toState:]
00000001d0f91330 (__TEXT,__text) non-external -[NFStateMachineEvent isEqual:]
00000001d0f915d4 (__TEXT,__text) non-external -[NFStateMachineEvent name]
00000001d0f914d0 (__TEXT,__text) non-external -[NFStateMachineEvent onFire:]
00000001d0f91600 (__TEXT,__text) non-external -[NFStateMachineEvent setDestinationState:]
00000001d0f91614 (__TEXT,__text) non-external -[NFStateMachineEvent setFireBlock:]
00000001d0f915dc (__TEXT,__text) non-external -[NFStateMachineEvent setName:]
00000001d0f915ec (__TEXT,__text) non-external -[NFStateMachineEvent setStates:]
00000001d0f915e4 (__TEXT,__text) non-external -[NFStateMachineEvent states]
00000001d0f9237c (__TEXT,__text) non-external -[NFStateMachineState .cxx_destruct]
00000001d0f9232c (__TEXT,__text) non-external -[NFStateMachineState canTryBlock]
00000001d0f921d0 (__TEXT,__text) non-external -[NFStateMachineState description]
00000001d0f9236c (__TEXT,__text) non-external -[NFStateMachineState didEnterBlock]
00000001d0f9235c (__TEXT,__text) non-external -[NFStateMachineState didExitBlock]
00000001d0f920b8 (__TEXT,__text) non-external -[NFStateMachineState hash]
00000001d0f9203c (__TEXT,__text) non-external -[NFStateMachineState initWithName:]
00000001d0f920f8 (__TEXT,__text) non-external -[NFStateMachineState isEqual:]
00000001d0f9231c (__TEXT,__text) non-external -[NFStateMachineState name]
00000001d0f92254 (__TEXT,__text) non-external -[NFStateMachineState onCanTry:]
00000001d0f922f4 (__TEXT,__text) non-external -[NFStateMachineState onDidEnter:]
00000001d0f922a4 (__TEXT,__text) non-external -[NFStateMachineState onDidExit:]
00000001d0f922cc (__TEXT,__text) non-external -[NFStateMachineState onWillEnter:]
00000001d0f9227c (__TEXT,__text) non-external -[NFStateMachineState onWillExit:]
00000001d0f92334 (__TEXT,__text) non-external -[NFStateMachineState setCanTryBlock:]
00000001d0f92374 (__TEXT,__text) non-external -[NFStateMachineState setDidEnterBlock:]
00000001d0f92364 (__TEXT,__text) non-external -[NFStateMachineState setDidExitBlock:]
00000001d0f92324 (__TEXT,__text) non-external -[NFStateMachineState setName:]
00000001d0f92354 (__TEXT,__text) non-external -[NFStateMachineState setWillEnterBlock:]
00000001d0f92344 (__TEXT,__text) non-external -[NFStateMachineState setWillExitBlock:]
00000001d0f9234c (__TEXT,__text) non-external -[NFStateMachineState willEnterBlock]
00000001d0f9233c (__TEXT,__text) non-external -[NFStateMachineState willExitBlock]
00000001d0f923f0 (__TEXT,__text) non-external -[NFStateMachineState(Private) canTry:withOwner:]
00000001d0f926d4 (__TEXT,__text) non-external -[NFStateMachineState(Private) didEnter:withOwner:]
00000001d0f925f8 (__TEXT,__text) non-external -[NFStateMachineState(Private) didExit:withOwner:]
00000001d0f9254c (__TEXT,__text) non-external -[NFStateMachineState(Private) willEnter:withOwner:]
00000001d0f924a0 (__TEXT,__text) non-external -[NFStateMachineState(Private) willExit:withOwner:]
00000001d0f8aff4 (__TEXT,__text) non-external -[NFStateMachineTransition .cxx_destruct]
00000001d0f8afe0 (__TEXT,__text) non-external -[NFStateMachineTransition context]
00000001d0f8aea8 (__TEXT,__text) non-external -[NFStateMachineTransition description]
00000001d0f8afa4 (__TEXT,__text) non-external -[NFStateMachineTransition event]
00000001d0f8afb8 (__TEXT,__text) non-external -[NFStateMachineTransition fromState]
00000001d0f8ad84 (__TEXT,__text) non-external -[NFStateMachineTransition initWithStateMachine:event:fromState:toState:context:]
00000001d0f8afe8 (__TEXT,__text) non-external -[NFStateMachineTransition setContext:]
00000001d0f8afac (__TEXT,__text) non-external -[NFStateMachineTransition setEvent:]
00000001d0f8afc0 (__TEXT,__text) non-external -[NFStateMachineTransition setFromState:]
00000001d0f8af98 (__TEXT,__text) non-external -[NFStateMachineTransition setStateMachine:]
00000001d0f8afd4 (__TEXT,__text) non-external -[NFStateMachineTransition setToState:]
00000001d0f8af90 (__TEXT,__text) non-external -[NFStateMachineTransition stateMachine]
00000001d0f8afcc (__TEXT,__text) non-external -[NFStateMachineTransition toState]
00000001d0f8ad74 (__TEXT,__text) non-external -[NFUnfairLock assertLocked]
00000001d0f8ad7c (__TEXT,__text) non-external -[NFUnfairLock assertNotLocked]
00000001d0f8ac98 (__TEXT,__text) non-external -[NFUnfairLock initWithOptions:]
00000001d0f8acf4 (__TEXT,__text) non-external -[NFUnfairLock init]
00000001d0f8ad5c (__TEXT,__text) non-external -[NFUnfairLock lock]
00000001d0f8acfc (__TEXT,__text) non-external -[NFUnfairLock performWithLockSync:]
00000001d0f8ad6c (__TEXT,__text) non-external -[NFUnfairLock unlock]
00000001d0f8f644 (__TEXT,__text) non-external -[NFVoid copyWithZone:]
00000001d0f8c4c8 (__TEXT,__text) non-external -[NSError(NFStateMachine) fc_isStateMachineError:]
00000001d0f8da3c (__TEXT,__text) non-external -[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:]
00000001d0f8fccc (__TEXT,__text) non-external -[NSString(NFAdditions) nf_sha1]
00000001d0f8fdcc (__TEXT,__text) non-external -[NSString(NFAdditions) nf_stringByReversingString]
00000001d0f8d654 (__TEXT,__text) non-external -[NSUserDefaults(NFAdditions) nf_migrateObjectForKey:toKey:]
00000001d0f93248 (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGPointValue]
00000001d0f93190 (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGRectValue]
00000001d0f95bac (__TEXT,__gcc_except_tab) non-external GCC_except_table19
00000001d0f95c08 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
00000001d0f95c24 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
                 (undefined) external _BOMCopierCopyWithOptions (from Bom)
                 (undefined) external _BOMCopierFree (from Bom)
                 (undefined) external _BOMCopierNew (from Bom)
                 (undefined) external _BOMCopierSetCopyFileFinishedHandler (from Bom)
                 (undefined) external _BOMCopierSetUserData (from Bom)
                 (undefined) external _BOMCopierUserData (from Bom)
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
00000001d0f8c23c (__TEXT,__text) non-external _NFArchiverCopyFileFinishedHandler
00000001d0f93464 (__TEXT,__text) external _NFDeviceHasExtendedColorDisplay
00000001e90a3e90 (__DATA,__bss) non-external _NFDeviceHasExtendedColorDisplay.hasExtendedColorDisplay
00000001e90a3e98 (__DATA,__bss) non-external _NFDeviceHasExtendedColorDisplay.onceToken
00000001d0f93278 (__TEXT,__text) external _NFDeviceIsA7
00000001d0f93280 (__TEXT,__text) external _NFDeviceIsA8
00000001d0f933c0 (__TEXT,__text) external _NFDeviceModelString
00000001d0f9338c (__TEXT,__text) external _NFDeviceOSVersion
00000001d0f93288 (__TEXT,__text) external _NFDevicePlatform
00000001ea11c010 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.onceToken
00000001ea11c008 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.s_platformString
00000001d0f93380 (__TEXT,__text) external _NFGeneralDeviceString
00000001d0f8ab90 (__TEXT,__text) external _NFInternalBuild
00000001e90a3e88 (__DATA,__bss) non-external _NFInternalBuild.internalBuild
00000001ea11bfc8 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.onceToken
00000001d0f90a80 (__TEXT,__text) external _NFLockSync
00000001d0f8fea0 (__TEXT,__text) external _NFPromiseInvokeOnQueue
00000001d0f8abfc (__TEXT,__text) external _NFSeedBuild
00000001e54fe278 (__DATA_CONST,__const) external _NFStateMachineErrorDomain
00000001d0f8ac04 (__TEXT,__text) external _NFStoreDemoMode
00000001ea11bfd0 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.onceToken
00000001e90a3e89 (__DATA,__bss) non-external _NFStoreDemoMode.storeDemoMode
00000001d0f933f4 (__TEXT,__text) external _NFSystemName
                 (undefined) external _NSGetSizeAndAlignment (from CoreFoundation)
                 (undefined) external _NSInternalInconsistencyException (from CoreFoundation)
                 (undefined) external _NSKeyedArchiveRootObjectKey (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
00000001d0f94ef8 (__TEXT,__const) external _NewsFoundationVersionNumber
00000001d0f94eb8 (__TEXT,__const) external _NewsFoundationVersionString
00000001ea992e10 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFArchiver
00000001ea11bcf8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventManager
00000001ea11bd20 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventTrigger
00000001ea11bd98 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFLazy
00000001ea11bf78 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMultiDelegate
00000001ea11bf28 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMutexLock
00000001ea992d98 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFPendingPromise
00000001ea11bde8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromise
00000001ea11be88 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromiseSeal
00000001ea11bed8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFReachability
00000001ea992e38 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFStateMachine
00000001ea992e88 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFStateMachineEvent
00000001ea992ed8 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFStateMachineState
00000001ea992d48 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFStateMachineTransition
00000001ea11bca8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFUnfairLock
00000001ea11be60 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFVoid
                 (undefined) external _OBJC_CLASS_$_NSBlock (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSHashTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSValue (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
00000001e90a3be8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._events
00000001e90a3bec (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._triggers
00000001e90a3c00 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._block
00000001e90a3bfc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._events
00000001e90a3bf4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnAny
00000001e90a3bf0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnce
00000001e90a3bf8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._key
00000001e90a3c24 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._constructor
00000001e90a3c28 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._lock
00000001e90a3c20 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._value
00000001e90a3c80 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._children
00000001e90a3c84 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._delegateProtocol
