                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationMakeExternalForm (from Security)
                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayContainsValue (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFArrayRemoveValueAtIndex (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionaryRemoveValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
00007ffc0cee6538 (__TEXT,__text) external _PFCheckNATRule
00007ffc0cee13ca (__TEXT,__text) non-external ___PFUserCommitRules_block_invoke_2
00007ffc0cee24ec (__TEXT,__text) non-external ___PFUserCopyRules_S_block_invoke
00007ffc0cee0c22 (__TEXT,__text) non-external ___PFUserCreate_block_invoke
00007ffc0cee201f (__TEXT,__text) non-external ___PFUserDeleteRule_block_invoke
00007ffc0cee2136 (__TEXT,__text) non-external ___PFUserDeleteRule_block_invoke_2
00007ffc0cee1751 (__TEXT,__text) non-external ___PFUserDeleteRules_block_invoke
00007ffc0cee1866 (__TEXT,__text) non-external ___PFUserDeleteRules_block_invoke_2
00007ffc0cee2290 (__TEXT,__text) non-external ___PFUserGetRules_block_invoke
00007ffc0cee2367 (__TEXT,__text) non-external ___PFUserGetRules_block_invoke_2
00007ffc0cee1123 (__TEXT,__text) non-external ___PFUserGetTransArray
00007ffc0cee1e83 (__TEXT,__text) non-external ___PFUserInsertRule_S_block_invoke
00007ffc0cee1b91 (__TEXT,__text) non-external ___PFUserInsertRule_block_invoke
00007ffc0cee1c6d (__TEXT,__text) non-external ___PFUserInsertRule_block_invoke_2
00007ffc0cee2c2e (__TEXT,__text) non-external ___PFUserNATLook_S_block_invoke
00007ffc0cee2960 (__TEXT,__text) non-external ___PFUserNATLook_block_invoke
00007ffc0cee2a39 (__TEXT,__text) non-external ___PFUserNATLook_block_invoke_2
00007ffc0cee348b (__TEXT,__text) non-external ___PFUserRegister
00007ffc0cee34a4 (__TEXT,__text) non-external ___PFUserRelease
00007ffc0cee19b2 (__TEXT,__text) non-external ___PFUserRelease_block_invoke
00007ffc0cee146a (__TEXT,__text) non-external ___PFUserRemoveTransArray
00007ffc0cee0c15 (__TEXT,__text) non-external ___PFUserRuleDictionaryRelease
00007ffc0cee6e7d (__TEXT,__text) non-external ___PFXPCResponseHandler
00007ffc0cee3553 (__TEXT,__text) non-external _____PFUserRelease_block_invoke
00007ffc0cee3663 (__TEXT,__text) non-external _____PFUserXPCClearStatesResponseHandler_block_invoke
00007ffc0cee356b (__TEXT,__text) non-external _____PFUserXPCCommitRulesResponseHandler_block_invoke
00007ffc0cee35f2 (__TEXT,__text) non-external _____PFUserXPCDeleteRuleResponseHandler_block_invoke
00007ffc0cee3581 (__TEXT,__text) non-external _____PFUserXPCDeleteRulesResponseHandler_block_invoke
00007ffc0cee3608 (__TEXT,__text) non-external _____PFUserXPCGetRulesResponseHandler_block_invoke
00007ffc0cee3597 (__TEXT,__text) non-external _____PFUserXPCInsertRuleResponseHandler_block_invoke
00007ffc0cee3679 (__TEXT,__text) non-external _____PFUserXPCNatLookResponseHandler_block_invoke
00007ffc0cee6e0e (__TEXT,__text) non-external _____PFXPCCreate_block_invoke
00007ffc0cee6fea (__TEXT,__text) non-external _____PFXPCSendMessage_block_invoke
                 (undefined) external ___assert_rtn (from libSystem)
00007ffc40cafc08 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffc40cb0308 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffc40cb0348 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.123
00007ffc40cafc38 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.15
00007ffc40cafc68 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.22
00007ffc40cafc98 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.25
00007ffc40cafcc8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.27
00007ffc40cafcf8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.28
00007ffc40cafd28 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.30
00007ffc40cafd58 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.31
00007ffc40cafd88 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.32
00007ffc40cafdb8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.35
00007ffc40cafde8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.36
00007ffc40cafe18 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.37
00007ffc40cafe48 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.39
00007ffc40cafe78 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.40
00007ffc40cafea8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.43
00007ffc40cafed8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.44
00007ffc40caff08 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.45
00007ffc40caff38 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.47
00007ffc40caff68 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.48
00007ffc40caff98 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.52
00007ffc40caffb8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.53
00007ffc40caffe8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.54
00007ffc40cb0018 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.57
00007ffc40cb0048 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.59
00007ffc40cb0078 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.60
00007ffc40cb00a8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.61
00007ffc40cb0138 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.75
00007ffc40cb0158 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.81
00007ffc40cb0188 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.83
00007ffc40cb01b8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.85
00007ffc40cb01e8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.87
00007ffc40cb0218 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.89
00007ffc40cb0248 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.91
00007ffc40cb0278 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.93
00007ffc40cb0328 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffc0cee6ffe (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b
00007ffc0cee14c8 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b40r
00007ffc0cee0cc0 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r
00007ffc0cee0ebc (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r
00007ffc0cee1457 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b
00007ffc0cee1500 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b40r
00007ffc0cee0cd7 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r
00007ffc0cee0ef4 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r
                 (undefined) external ___error (from libSystem)
00007ffc42c70ed0 (__DATA,__bss) non-external ___pfDictIdentifier
00007ffc42c70ee8 (__DATA,__bss) non-external ___pfLog
00007ffc42c70ef0 (__DATA,__bss) non-external ___pfLogError
00007ffc42c70b00 (__DATA,__data) non-external ___pfLogInit
00007ffc42c70ee0 (__DATA,__bss) non-external ___pfManager
00007ffc42c70f10 (__DATA,__bss) non-external ___pfManagerTypeID
00007ffc42c70b20 (__DATA,__data) non-external ___pfManagerTypeInit
00007ffc42c70ef8 (__DATA,__bss) non-external ___pfQueue
00007ffc42c70f00 (__DATA,__bss) non-external ___pfQueueError
00007ffc42c70b10 (__DATA,__data) non-external ___pfQueueInit
00007ffc42c70ed8 (__DATA,__bss) non-external ___pfUserTypeID
00007ffc42c70af0 (__DATA,__data) non-external ___pfUserTypeInit
00007ffc42c70f08 (__DATA,__bss) non-external ___pfXpcQueue
00007ffc42c70f20 (__DATA,__bss) non-external ___pfconnection
00007ffc42c70f18 (__DATA,__bss) non-external ___pfresponse
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __xpc_error_key_description (from libSystem)
                 (undefined) external __xpc_type_array (from libSystem)
                 (undefined) external __xpc_type_bool (from libSystem)
                 (undefined) external __xpc_type_connection (from libSystem)
                 (undefined) external __xpc_type_dictionary (from libSystem)
                 (undefined) external __xpc_type_error (from libSystem)
                 (undefined) external __xpc_type_string (from libSystem)
                 (undefined) external __xpc_type_uint64 (from libSystem)
                 (undefined) external __xpc_type_uuid (from libSystem)
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_queue_create (from libSystem)
                 (undefined) external _dispatch_release (from libSystem)
                 (undefined) external _dispatch_retain (from libSystem)
                 (undefined) external _dispatch_sync (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _freeaddrinfo (from libSystem)
                 (undefined) external _freeifaddrs (from libSystem)
                 (undefined) external _getaddrinfo (from libSystem)
                 (undefined) external _getgrnam (from libSystem)
                 (undefined) external _getifaddrs (from libSystem)
                 (undefined) external _getprotobyname (from libSystem)
                 (undefined) external _getpwnam (from libSystem)
                 (undefined) external _getservbyname (from libSystem)
                 (undefined) external _if_nametoindex (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFTypeArrayCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
00007ffc42c70cc0 (__DATA,__data) external _kPFAction
00007ffc42c70ca8 (__DATA,__data) external _kPFAdaptiveFirewall
00007ffc42c70c30 (__DATA,__data) external _kPFAirDrop
00007ffc42c70d60 (__DATA,__data) external _kPFAllowOpts
00007ffc42c70ec0 (__DATA,__data) external _kPFAny
00007ffc42c70c38 (__DATA,__data) external _kPFApplicationFirewall
00007ffc42c70c48 (__DATA,__data) external _kPFBase
00007ffc42c70c68 (__DATA,__data) external _kPFBase_nat64
00007ffc42c70c70 (__DATA,__data) external _kPFBase_nat66
00007ffc42c70c58 (__DATA,__data) external _kPFBase_v4
00007ffc42c70c60 (__DATA,__data) external _kPFBase_v6
00007ffc42c70db0 (__DATA,__data) external _kPFBytesIn
00007ffc42c70db8 (__DATA,__data) external _kPFBytesOut
00007ffc42c70cb0 (__DATA,__data) external _kPFCustomFirewall
00007ffc42c70ca0 (__DATA,__data) external _kPFDefaultFirewall
00007ffc42c70cd0 (__DATA,__data) external _kPFDirection
00007ffc42c70d70 (__DATA,__data) external _kPFDummyNet
00007ffc42c70d78 (__DATA,__data) external _kPFExtFilter
00007ffc42c70d80 (__DATA,__data) external _kPFExtMap
00007ffc42c70c20 (__DATA,__data) external _kPFFTPProxy
00007ffc42c70ce0 (__DATA,__data) external _kPFFamily
00007ffc42c70d28 (__DATA,__data) non-external (was a private external) _kPFFlagSet
00007ffc42c70d20 (__DATA,__data) external _kPFFlags
00007ffc42c70cf8 (__DATA,__data) external _kPFFrom
00007ffc42c70d38 (__DATA,__data) external _kPFGroup
00007ffc42c70c88 (__DATA,__data) external _kPFHost_v4
00007ffc42c70c90 (__DATA,__data) external _kPFHost_v6
00007ffc42c70d48 (__DATA,__data) external _kPFICMP
00007ffc42c70cd8 (__DATA,__data) external _kPFInterface
00007ffc42c70c08 (__DATA,__data) external _kPFInternetSharing
00007ffc42c70d58 (__DATA,__data) external _kPFKeepState
00007ffc42c70d40 (__DATA,__data) external _kPFLog
00007ffc42c70c98 (__DATA,__data) external _kPFMDNS
00007ffc42c70d98 (__DATA,__data) external _kPFMaxStates
00007ffc42c70d08 (__DATA,__data) external _kPFNATDest
00007ffc42c70d90 (__DATA,__data) external _kPFNATPass
00007ffc42c70d18 (__DATA,__data) external _kPFNATRDRAddress
00007ffc42c70d00 (__DATA,__data) external _kPFNATSrc
00007ffc42c70c10 (__DATA,__data) external _kPFNLC
00007ffc42c70da0 (__DATA,__data) external _kPFPacketsIn
00007ffc42c70da8 (__DATA,__data) external _kPFPacketsOut
00007ffc42c70c50 (__DATA,__data) external _kPFPortMapping
00007ffc42c70ce8 (__DATA,__data) external _kPFProtocol
00007ffc42c70cf0 (__DATA,__data) external _kPFQuick
00007ffc42c70d88 (__DATA,__data) external _kPFRTableID
00007ffc42c70cc8 (__DATA,__data) external _kPFReturnOptions
00007ffc42c70dc0 (__DATA,__data) external _kPFRuleID
00007ffc42c70d50 (__DATA,__data) external _kPFScrubOptions
00007ffc42c70c28 (__DATA,__data) external _kPFServerFirewall
00007ffc42c70c78 (__DATA,__data) external _kPFShared_v4
00007ffc42c70c80 (__DATA,__data) external _kPFShared_v6
00007ffc42c70dd0 (__DATA,__data) external _kPFSubAddress
00007ffc42c70dc8 (__DATA,__data) external _kPFSubAddressLabel
00007ffc42c70eb0 (__DATA,__data) external _kPFSubDummyNetPipe
00007ffc42c70eb8 (__DATA,__data) external _kPFSubDummyNetPipeType
00007ffc42c70dd8 (__DATA,__data) external _kPFSubDynInterface
00007ffc42c70e20 (__DATA,__data) external _kPFSubGroupName
00007ffc42c70e38 (__DATA,__data) external _kPFSubGroupOperator
00007ffc42c70e30 (__DATA,__data) external _kPFSubHighGroupID
00007ffc42c70df0 (__DATA,__data) external _kPFSubHighPort
00007ffc42c70e10 (__DATA,__data) external _kPFSubHighUserID
00007ffc42c70e58 (__DATA,__data) external _kPFSubICMPCode
00007ffc42c70e50 (__DATA,__data) external _kPFSubICMPType
00007ffc42c70e40 (__DATA,__data) external _kPFSubLogFlags
00007ffc42c70e48 (__DATA,__data) external _kPFSubLogTo
00007ffc42c70e28 (__DATA,__data) external _kPFSubLowGroupID
00007ffc42c70de8 (__DATA,__data) external _kPFSubLowPort
00007ffc42c70e08 (__DATA,__data) external _kPFSubLowUserID
00007ffc42c70de0 (__DATA,__data) external _kPFSubNegated
00007ffc42c70e90 (__DATA,__data) external _kPFSubNotTagged
00007ffc42c70df8 (__DATA,__data) external _kPFSubPortOperator
00007ffc42c70e78 (__DATA,__data) external _kPFSubReturnICMP6Code
00007ffc42c70e70 (__DATA,__data) external _kPFSubReturnICMPCode
00007ffc42c70e68 (__DATA,__data) external _kPFSubReturnTTL
00007ffc42c70e60 (__DATA,__data) external _kPFSubReturnType
00007ffc42c70e98 (__DATA,__data) external _kPFSubScrubFlags
00007ffc42c70ea8 (__DATA,__data) external _kPFSubScrubMaxMSS
00007ffc42c70ea0 (__DATA,__data) external _kPFSubScrubMinTTL
00007ffc42c70e80 (__DATA,__data) external _kPFSubTag
00007ffc42c70e88 (__DATA,__data) external _kPFSubTagged
00007ffc42c70e00 (__DATA,__data) external _kPFSubUserName
00007ffc42c70e18 (__DATA,__data) external _kPFSubUserOperator
00007ffc42c70d68 (__DATA,__data) external _kPFTagDict
00007ffc42c70c40 (__DATA,__data) external _kPFThreadBR
00007ffc42c70cb8 (__DATA,__data) external _kPFThreadBR_nat64
00007ffc42c70d10 (__DATA,__data) external _kPFTo
00007ffc42c70ec8 (__DATA,__data) external _kPFUnknown
00007ffc42c70d30 (__DATA,__data) external _kPFUser
00007ffc42c70c18 (__DATA,__data) external _kPFVPN
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _os_log_create (from libSystem)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_log_with_args (from libSystem)
00007ffc42c70b30 (__DATA,__data) non-external (was a private external) _pfLogSubsystem
00007ffc42c70bf0 (__DATA,__data) non-external (was a private external) _pfXPCEXTLANAddress
00007ffc42c70bf8 (__DATA,__data) non-external (was a private external) _pfXPCEXTLANPort
00007ffc42c70c00 (__DATA,__data) non-external (was a private external) _pfXPCIPProto
00007ffc42c70b50 (__DATA,__data) non-external (was a private external) _pfXPCKeyAppSubType
00007ffc42c70b48 (__DATA,__data) non-external (was a private external) _pfXPCKeyAppType
00007ffc42c70b88 (__DATA,__data) non-external (was a private external) _pfXPCKeyAuthRef
00007ffc42c70b80 (__DATA,__data) non-external (was a private external) _pfXPCKeyGatewayQuery
00007ffc42c70b70 (__DATA,__data) non-external (was a private external) _pfXPCKeyInsertID
00007ffc42c70b68 (__DATA,__data) non-external (was a private external) _pfXPCKeyPriority
00007ffc42c70b60 (__DATA,__data) non-external (was a private external) _pfXPCKeyRule
00007ffc42c70b58 (__DATA,__data) non-external (was a private external) _pfXPCKeyRuleArray
00007ffc42c70b78 (__DATA,__data) non-external (was a private external) _pfXPCKeyTrafficDescriptors
00007ffc42c70b40 (__DATA,__data) non-external (was a private external) _pfXPCKeyType
00007ffc42c70be0 (__DATA,__data) non-external (was a private external) _pfXPCLANAddress
00007ffc42c70be8 (__DATA,__data) non-external (was a private external) _pfXPCLANPort
00007ffc42c70ba8 (__DATA,__data) non-external (was a private external) _pfXPCResponseArray
00007ffc42c70bb0 (__DATA,__data) non-external (was a private external) _pfXPCResponseDescriptorId
00007ffc42c70bd8 (__DATA,__data) non-external (was a private external) _pfXPCResponseGatewayPort
00007ffc42c70bc0 (__DATA,__data) non-external (was a private external) _pfXPCResponsePacketCountIn
00007ffc42c70bc8 (__DATA,__data) non-external (was a private external) _pfXPCResponsePacketCountOut
00007ffc42c70bb8 (__DATA,__data) non-external (was a private external) _pfXPCResponseStatesFound
00007ffc42c70bd0 (__DATA,__data) non-external (was a private external) _pfXPCResponseV4GatewayAddress
00007ffc42c70b38 (__DATA,__data) non-external (was a private external) _pfXPCService
00007ffc42c70b98 (__DATA,__data) non-external (was a private external) _pfXPCTrafficDescriptor
00007ffc42c70ba0 (__DATA,__data) non-external (was a private external) _pfXPCTrafficDescriptorId
00007ffc42c70b90 (__DATA,__data) non-external (was a private external) _pfXPCTrafficDescriptors
                 (undefined) external _pthread_once (from libSystem)
                 (undefined) external _sleep (from libSystem)
                 (undefined) external _snprintf (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strndup (from libSystem)
                 (undefined) external _strnlen (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strtol (from libSystem)
                 (undefined) external _strtoll (from libSystem)
                 (undefined) external _uuid_copy (from libSystem)
                 (undefined) external _xpc_array_append_value (from libSystem)
                 (undefined) external _xpc_array_create (from libSystem)
                 (undefined) external _xpc_array_create_empty (from libSystem)
                 (undefined) external _xpc_bool_get_value (from libSystem)
                 (undefined) external _xpc_connection_cancel (from libSystem)
                 (undefined) external _xpc_connection_create_mach_service (from libSystem)
                 (undefined) external _xpc_connection_resume (from libSystem)
                 (undefined) external _xpc_connection_send_message_with_reply (from libSystem)
                 (undefined) external _xpc_connection_send_message_with_reply_sync (from libSystem)
                 (undefined) external _xpc_connection_set_event_handler (from libSystem)
                 (undefined) external _xpc_copy (from libSystem)
                 (undefined) external _xpc_dictionary_create (from libSystem)
                 (undefined) external _xpc_dictionary_get_bool (from libSystem)
                 (undefined) external _xpc_dictionary_get_data (from libSystem)
                 (undefined) external _xpc_dictionary_get_string (from libSystem)
                 (undefined) external _xpc_dictionary_get_uint64 (from libSystem)
