00007ff8400b8df0 (__DATA,__data) external _NDR_record
00007ff800be1b10 (__TEXT,__text) external ___exit
00007ff800be1b28 (__TEXT,__text) external ___fchmod
00007ff800be1b40 (__TEXT,__text) external ___fchmod_extended
00007ff800be1b58 (__TEXT,__text) external ___fcntl
00007ff800be1b70 (__TEXT,__text) external ___fcntl_nocancel
00007ff800be1b88 (__TEXT,__text) external ___fork
00007ff800be1bc0 (__TEXT,__text) external ___fs_snapshot
00007ff800be1bd8 (__TEXT,__text) external ___fstat64_extended
00007ff800be1bf0 (__TEXT,__text) external ___fstat_extended
00007ff800be1c08 (__TEXT,__text) external ___fsync_nocancel
00007ff800bf1f35 (__TEXT,__text) external ___get_remove_counter
00007ff800be1c20 (__TEXT,__text) external ___getattrlist
00007ff800be1c38 (__TEXT,__text) external ___getdirentries64
00007ff800be1c50 (__TEXT,__text) external ___gethostuuid
00007ff800be1c68 (__TEXT,__text) external ___getlogin
00007ff800be1c80 (__TEXT,__text) external ___getpeername
00007ff800be1c98 (__TEXT,__text) external ___getpid
00007ff800be1ccc (__TEXT,__text) external ___getrlimit
00007ff800be1ce4 (__TEXT,__text) external ___getsgroups
00007ff800be1cfc (__TEXT,__text) external ___getsockname
00007ff800be1d14 (__TEXT,__text) external ___gettid
00007ff800be1d41 (__TEXT,__text) external ___gettimeofday
00007ff800be1d2c (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
00007ff800be1d6c (__TEXT,__text) external ___getwgroups
00007ff800be1d84 (__TEXT,__text) external ___guarded_open_dprotected_np
00007ff800be1d9c (__TEXT,__text) external ___guarded_open_np
00007ff800be1db4 (__TEXT,__text) external ___identitysvc
00007ff800bf1f40 (__TEXT,__text) external ___inc_remove_counter
00007ff800be1dcc (__TEXT,__text) external ___initgroups
00007ff800be1de4 (__TEXT,__text) external ___ioctl
00007ff800be1dfc (__TEXT,__text) external ___iopolicysys
00007ff800be1e14 (__TEXT,__text) external ___kdebug_trace
00007ff800be1e2c (__TEXT,__text) external ___kdebug_trace64
00007ff800be1e44 (__TEXT,__text) external ___kdebug_trace_string
00007ff800be1e5c (__TEXT,__text) external ___kdebug_typefilter
00007ff800c0b8d8 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00007ff800c0b8a0 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
00007ff800be1e74 (__TEXT,__text) external ___kill
00007ff800be1e8c (__TEXT,__text) external ___kqueue_workloop_ctl
00007ff800be1ea4 (__TEXT,__text) external ___lchown
00007ff800be4486 (__TEXT,__text) external ___libkernel_init
00007ff800be44b9 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
00007ff800be44b8 (__TEXT,__text) external ___libkernel_init_late
00007ff800be4313 (__TEXT,__text) external ___libkernel_platform_init
00007ff800be433a (__TEXT,__text) external ___libkernel_voucher_init
00007ff800be1ebc (__TEXT,__text) external ___listen
00007ff800be1ed4 (__TEXT,__text) external ___log_data
00007ff800be1eec (__TEXT,__text) external ___lseek
00007ff800be1f04 (__TEXT,__text) external ___lstat64_extended
00007ff800be1f1c (__TEXT,__text) external ___lstat_extended
00007ff800be1f34 (__TEXT,__text) external ___mac_execve
00007ff800be1f4c (__TEXT,__text) external ___mac_get_fd
00007ff800be1f64 (__TEXT,__text) external ___mac_get_file
00007ff800be1f7c (__TEXT,__text) external ___mac_get_link
00007ff800be1f94 (__TEXT,__text) external ___mac_get_mount
00007ff800be1fac (__TEXT,__text) external ___mac_get_pid
00007ff800be1fc4 (__TEXT,__text) external ___mac_get_proc
00007ff800be1fdc (__TEXT,__text) external ___mac_getfsstat
00007ff800be1ff4 (__TEXT,__text) external ___mac_mount
00007ff800be200c (__TEXT,__text) external ___mac_set_fd
00007ff800be2024 (__TEXT,__text) external ___mac_set_file
00007ff800be203c (__TEXT,__text) external ___mac_set_link
00007ff800be2054 (__TEXT,__text) external ___mac_set_proc
00007ff800be206c (__TEXT,__text) external ___mac_syscall
00007ff800be2084 (__TEXT,__text) external ___mach_bridge_remote_time
00007ff800be209c (__TEXT,__text) external ___mach_eventlink_signal
00007ff800be20b4 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
00007ff800be20cc (__TEXT,__text) external ___mach_eventlink_wait_until
00007ff800be20e4 (__TEXT,__text) external ___map_with_linking_np
00007ff800be20fc (__TEXT,__text) external ___memorystatus_available_memory
00007ff800be2114 (__TEXT,__text) external ___microstackshot
00007ff800be212c (__TEXT,__text) external ___mkdir_extended
00007ff800be2144 (__TEXT,__text) external ___mkfifo_extended
00007ff800be215c (__TEXT,__text) external ___mmap
00007ff800be2174 (__TEXT,__text) external ___mprotect
00007ff800be218c (__TEXT,__text) external ___msgctl
00007ff800be21a4 (__TEXT,__text) external ___msgrcv_nocancel
00007ff800be21bc (__TEXT,__text) external ___msgsnd_nocancel
00007ff800be21d4 (__TEXT,__text) external ___msgsys
00007ff800be21ec (__TEXT,__text) external ___msync
00007ff800be2204 (__TEXT,__text) external ___msync_nocancel
00007ff800be221c (__TEXT,__text) external ___munmap
00007ff800be2234 (__TEXT,__text) external ___nexus_create
00007ff800be224c (__TEXT,__text) external ___nexus_deregister
00007ff800be2264 (__TEXT,__text) external ___nexus_destroy
00007ff800be227c (__TEXT,__text) external ___nexus_get_opt
00007ff800be2294 (__TEXT,__text) external ___nexus_open
00007ff800be22ac (__TEXT,__text) external ___nexus_register
00007ff800be22c4 (__TEXT,__text) external ___nexus_set_opt
00007ff800be22dc (__TEXT,__text) external ___open
00007ff800be22f4 (__TEXT,__text) external ___open_dprotected_np
00007ff800be230c (__TEXT,__text) external ___open_extended
00007ff800be2324 (__TEXT,__text) external ___open_nocancel
00007ff800be233c (__TEXT,__text) external ___openat
00007ff800be2354 (__TEXT,__text) external ___openat_dprotected_np
00007ff800be236c (__TEXT,__text) external ___openat_nocancel
00007ff8400b8e68 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
00007ff800bf1533 (__TEXT,__text) external ___os_nexus_flow_add
00007ff800bf15a6 (__TEXT,__text) external ___os_nexus_flow_del
00007ff800bf16de (__TEXT,__text) external ___os_nexus_get_llink_info
00007ff800bf1359 (__TEXT,__text) external ___os_nexus_ifattach
00007ff800bf146a (__TEXT,__text) external ___os_nexus_ifdetach
00007ff800be2384 (__TEXT,__text) external ___oslog_coproc
00007ff800be239c (__TEXT,__text) external ___oslog_coproc_reg
00007ff800be23b4 (__TEXT,__text) external ___persona
00007ff800be23cc (__TEXT,__text) external ___pipe
00007ff800be23e8 (__TEXT,__text) external ___poll_nocancel
00007ff800be2400 (__TEXT,__text) external ___posix_spawn
00007ff800be2418 (__TEXT,__text) external ___pread_nocancel
00007ff800be2430 (__TEXT,__text) external ___preadv_nocancel
00007ff800be2448 (__TEXT,__text) external ___proc_info
00007ff800be2460 (__TEXT,__text) external ___proc_info_extended_id
00007ff800be2478 (__TEXT,__text) external ___process_policy
00007ff800be2490 (__TEXT,__text) external ___pselect
00007ff800be24a8 (__TEXT,__text) external ___pselect_nocancel
00007ff800be24c0 (__TEXT,__text) external ___psynch_cvbroad
00007ff800be24d8 (__TEXT,__text) external ___psynch_cvclrprepost
00007ff800be24f0 (__TEXT,__text) external ___psynch_cvsignal
00007ff800be2508 (__TEXT,__text) external ___psynch_cvwait
00007ff800be2520 (__TEXT,__text) external ___psynch_mutexdrop
00007ff800be2538 (__TEXT,__text) external ___psynch_mutexwait
00007ff800be2550 (__TEXT,__text) external ___psynch_rw_downgrade
00007ff800be2568 (__TEXT,__text) external ___psynch_rw_longrdlock
00007ff800be2580 (__TEXT,__text) external ___psynch_rw_rdlock
00007ff800be2598 (__TEXT,__text) external ___psynch_rw_unlock
00007ff800be25b0 (__TEXT,__text) external ___psynch_rw_unlock2
00007ff800be25c8 (__TEXT,__text) external ___psynch_rw_upgrade
00007ff800be25e0 (__TEXT,__text) external ___psynch_rw_wrlock
00007ff800be25f8 (__TEXT,__text) external ___psynch_rw_yieldwrlock
00007ff800be2610 (__TEXT,__text) external ___pthread_canceled
00007ff800be2628 (__TEXT,__text) external ___pthread_chdir
00007ff800be2640 (__TEXT,__text) external ___pthread_fchdir
00007ff800be2658 (__TEXT,__text) external ___pthread_kill
00007ff800be2670 (__TEXT,__text) external ___pthread_markcancel
00007ff800be2688 (__TEXT,__text) external ___pthread_sigmask
00007ff800be26a0 (__TEXT,__text) external ___ptrace
00007ff800be26c4 (__TEXT,__text) external ___pwrite_nocancel
00007ff800be26dc (__TEXT,__text) external ___pwritev_nocancel
00007ff800be26f4 (__TEXT,__text) external ___read_nocancel
00007ff800be270c (__TEXT,__text) external ___readv_nocancel
00007ff800be2724 (__TEXT,__text) external ___reboot
00007ff800be273c (__TEXT,__text) external ___record_system_event
00007ff800be2754 (__TEXT,__text) external ___recvfrom
00007ff800be276c (__TEXT,__text) external ___recvfrom_nocancel
00007ff800be2784 (__TEXT,__text) external ___recvmsg
00007ff800be279c (__TEXT,__text) external ___recvmsg_nocancel
00007ff8400b8e88 (__DATA,__bss) non-external ___remove_counter
00007ff800be27b4 (__TEXT,__text) external ___rename
00007ff800be27cc (__TEXT,__text) external ___renameat
00007ff800be27e4 (__TEXT,__text) external ___renameatx_np
00007ff800be27fc (__TEXT,__text) external ___rmdir
00007ff800be1f34 (__TEXT,__text) external ___sandbox_me
00007ff800be1ff4 (__TEXT,__text) external ___sandbox_mm
00007ff800be206c (__TEXT,__text) external ___sandbox_ms
00007ff800be2054 (__TEXT,__text) external ___sandbox_msp
00007ff800be2814 (__TEXT,__text) external ___select
00007ff800be282c (__TEXT,__text) external ___select_nocancel
00007ff800be2844 (__TEXT,__text) external ___sem_open
00007ff800be285c (__TEXT,__text) external ___sem_wait_nocancel
00007ff800be2874 (__TEXT,__text) external ___semctl
00007ff800be288c (__TEXT,__text) external ___semsys
00007ff800be28a4 (__TEXT,__text) external ___semwait_signal
00007ff800be28bc (__TEXT,__text) external ___semwait_signal_nocancel
00007ff800be28d4 (__TEXT,__text) external ___sendmsg
00007ff800be28ec (__TEXT,__text) external ___sendmsg_nocancel
00007ff800be2904 (__TEXT,__text) external ___sendto
00007ff800be291c (__TEXT,__text) external ___sendto_nocancel
00007ff800be2934 (__TEXT,__text) external ___setattrlist
00007ff800be294c (__TEXT,__text) external ___setlogin
00007ff800be2964 (__TEXT,__text) external ___setpriority
00007ff800be297c (__TEXT,__text) external ___setregid
00007ff800be2994 (__TEXT,__text) external ___setreuid
00007ff800be29ac (__TEXT,__text) external ___setrlimit
00007ff800be29c4 (__TEXT,__text) external ___setsgroups
00007ff800be29dc (__TEXT,__text) external ___settid
00007ff800be29f4 (__TEXT,__text) external ___settid_with_pid
00007ff800be2a0c (__TEXT,__text) external ___settimeofday
00007ff800be2a24 (__TEXT,__text) external ___setwgroups
00007ff800be2a3c (__TEXT,__text) external ___sfi_ctl
00007ff800be2a54 (__TEXT,__text) external ___sfi_pidctl
00007ff800be2a6c (__TEXT,__text) external ___shared_region_check_np
00007ff800be2a84 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
00007ff800be2a9c (__TEXT,__text) external ___shm_open
00007ff800be2ab4 (__TEXT,__text) external ___shmctl
00007ff800be2acc (__TEXT,__text) external ___shmsys
00007ff800be2ae4 (__TEXT,__text) external ___sigaction
00007ff800be2afc (__TEXT,__text) external ___sigaltstack
00007ff800be2b14 (__TEXT,__text) external ___sigreturn
00007ff800be2b2c (__TEXT,__text) external ___sigsuspend
00007ff800be2b44 (__TEXT,__text) external ___sigsuspend_nocancel
00007ff800be2b5c (__TEXT,__text) external ___sigwait
00007ff800be2b74 (__TEXT,__text) external ___socketpair
00007ff800be2b8c (__TEXT,__text) external ___stack_snapshot_with_config
00007ff800be2ba4 (__TEXT,__text) external ___stat64_extended
00007ff800be2bbc (__TEXT,__text) external ___stat_extended
00007ff800bea5af (__TEXT,__text) non-external ___statfs_ext_impl
00007ff800be2bd4 (__TEXT,__text) external ___syscall
00007ff8400b9520 (__DATA,__common) external ___syscall_logger
00007ff800be2bec (__TEXT,__text) external ___sysctl
00007ff800be2c04 (__TEXT,__text) external ___sysctlbyname
00007ff800be2c1c (__TEXT,__text) external ___telemetry
00007ff800be2c34 (__TEXT,__text) external ___terminate_with_payload
00007ff800be2c4c (__TEXT,__text) external ___thread_selfid
00007ff800be2c64 (__TEXT,__text) external ___thread_selfusage
00007ff800be2c7c (__TEXT,__text) external ___ulock_wait
00007ff800be2c94 (__TEXT,__text) external ___ulock_wait2
00007ff800be2cac (__TEXT,__text) external ___ulock_wake
00007ff800be2cc4 (__TEXT,__text) external ___umask_extended
00007ff800be2cdc (__TEXT,__text) external ___unlink
00007ff800be2cf4 (__TEXT,__text) external ___unlinkat
00007ff800be2d0c (__TEXT,__text) external ___vfork
00007ff800be2d64 (__TEXT,__text) external ___wait4
00007ff800be2d7c (__TEXT,__text) external ___wait4_nocancel
00007ff800be2d94 (__TEXT,__text) external ___waitid_nocancel
00007ff800be2dac (__TEXT,__text) external ___work_interval_ctl
00007ff800be2dc4 (__TEXT,__text) external ___workq_kernreturn
00007ff800be2ddc (__TEXT,__text) external ___workq_open
00007ff800be2df4 (__TEXT,__text) external ___write_nocancel
00007ff800be2e0c (__TEXT,__text) external ___writev_nocancel
00007ff8400b8edc (__DATA,__common) external __cpu_capabilities
00007ff8400b8ed8 (__DATA,__common) external __cpu_has_altivec
00007ff8400b8c10 (__DATA,__data) non-external (was a private external) __current_pid
00007ff8400b8e40 (__DATA,__bss) non-external __dlsym
00007ff800be12a4 (__TEXT,__text) external __exclaves_ctl_trap
00007ff800be1b10 (__TEXT,__text) external __exit
00007ff800be1800 (__TEXT,__text) external __get_cpu_capabilities
00007ff8400b8e60 (__DATA,__bss) non-external __gethostuuid_callback
00007ff800be9b74 (__TEXT,__text) external __getprivatesystemidentifier
00007ff800bf77e5 (__TEXT,__text) external __host_page_size
00007ff800bf2080 (__TEXT,__text) external __init_cpu_capabilities
00007ff800bf8ca1 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
00007ff800bf9f7a (__TEXT,__text) external __kernelrpc_mach_port_allocate
00007ff800bfb2cc (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
00007ff800bf9e8b (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
00007ff800bfb17b (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
00007ff800be1094 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
00007ff800bfcc93 (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
00007ff800bfbfdb (__TEXT,__text) external __kernelrpc_mach_port_construct
00007ff800be10e8 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
00007ff800bfa19a (__TEXT,__text) external __kernelrpc_mach_port_deallocate
00007ff800be10a0 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
00007ff800bfa0ac (__TEXT,__text) external __kernelrpc_mach_port_destroy
00007ff800bfc115 (__TEXT,__text) external __kernelrpc_mach_port_destruct
00007ff800be10f4 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
00007ff800bfb82e (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
00007ff800bfbb95 (__TEXT,__text) external __kernelrpc_mach_port_extract_member
00007ff800be10dc (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
00007ff800bfac1c (__TEXT,__text) external __kernelrpc_mach_port_extract_right
00007ff800bfae5a (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
00007ff800be119c (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
00007ff800bfbc84 (__TEXT,__text) external __kernelrpc_mach_port_get_context
00007ff800bfa288 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
00007ff800bfcb21 (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
00007ff800bfa7aa (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
00007ff800bfb51c (__TEXT,__text) external __kernelrpc_mach_port_get_srights
00007ff800bfc200 (__TEXT,__text) external __kernelrpc_mach_port_guard
00007ff800be11a8 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
00007ff800bfc630 (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
00007ff800bfbaa6 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
00007ff800be10d0 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
00007ff800bfab1f (__TEXT,__text) external __kernelrpc_mach_port_insert_right
00007ff800be10c4 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
00007ff800bfc9e9 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
00007ff800bfb96a (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
00007ff800bfbe94 (__TEXT,__text) external __kernelrpc_mach_port_kobject
00007ff800bfc806 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
00007ff800bfa3b6 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
00007ff800be10ac (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
00007ff800bfa8f4 (__TEXT,__text) external __kernelrpc_mach_port_move_member
00007ff800be10b8 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
00007ff800bf9af2 (__TEXT,__text) external __kernelrpc_mach_port_names
00007ff800bfa4a1 (__TEXT,__text) external __kernelrpc_mach_port_peek
00007ff800bf9d9c (__TEXT,__text) external __kernelrpc_mach_port_rename
00007ff800bfa9e3 (__TEXT,__text) external __kernelrpc_mach_port_request_notification
00007ff800be1298 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
00007ff800bfb02f (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
00007ff800bfbdad (__TEXT,__text) external __kernelrpc_mach_port_set_context
00007ff800bfa6bb (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
00007ff800bfad6b (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
00007ff800bfc3d2 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
00007ff800bfb64e (__TEXT,__text) external __kernelrpc_mach_port_space_info
00007ff800bfc4fe (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
00007ff800bfc71b (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
00007ff800bf9c6a (__TEXT,__text) external __kernelrpc_mach_port_type
00007ff800be128c (__TEXT,__text) external __kernelrpc_mach_port_type_trap
00007ff800bfc2eb (__TEXT,__text) external __kernelrpc_mach_port_unguard
00007ff800be11b4 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
00007ff800c014a9 (__TEXT,__text) external __kernelrpc_mach_ports_lookup3
00007ff800c013a2 (__TEXT,__text) external __kernelrpc_mach_ports_register3
00007ff800c05436 (__TEXT,__text) external __kernelrpc_mach_task_is_self
00007ff800bfcddf (__TEXT,__text) external __kernelrpc_mach_vm_allocate
00007ff800be104c (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
00007ff800bfcf0b (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
00007ff800be1064 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
00007ff800bfd97a (__TEXT,__text) external __kernelrpc_mach_vm_map
00007ff800be1088 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
00007ff800bfcff2 (__TEXT,__text) external __kernelrpc_mach_vm_protect
00007ff800be107c (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
00007ff800bfe47e (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
00007ff800be1058 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
00007ff800bfd1cc (__TEXT,__text) external __kernelrpc_mach_vm_read
00007ff800bfdc25 (__TEXT,__text) external __kernelrpc_mach_vm_remap
00007ff800bfe8dc (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
00007ff800bfefe1 (__TEXT,__text) external __kernelrpc_mach_vm_update_pointers_with_remote_tags
00007ff800c0ae1e (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
00007ff800bfb42e (__TEXT,__text) external __kernelrpc_task_set_port_space
00007ff800c07796 (__TEXT,__text) external __kernelrpc_thread_policy
00007ff800c078e0 (__TEXT,__text) external __kernelrpc_thread_policy_set
00007ff800c08111 (__TEXT,__text) external __kernelrpc_thread_set_policy
00007ff800c0946f (__TEXT,__text) external __kernelrpc_vm_map
00007ff800c09f73 (__TEXT,__text) external __kernelrpc_vm_purgable_control
00007ff800c08cc1 (__TEXT,__text) external __kernelrpc_vm_read
00007ff800c0971a (__TEXT,__text) external __kernelrpc_vm_remap
00007ff800c0a09c (__TEXT,__text) external __kernelrpc_vm_remap_new
00007ff800be44f3 (__TEXT,__text) non-external __libkernel_bzero
00007ff8400b8e38 (__DATA,__bss) non-external __libkernel_functions
00007ff840078e20 (__DATA_CONST,__const) non-external __libkernel_generic_string_functions
00007ff800be48bd (__TEXT,__text) non-external __libkernel_memmove
00007ff800be44fd (__TEXT,__text) non-external __libkernel_memset
00007ff800be44ba (__TEXT,__text) non-external __libkernel_strchr
00007ff800be44d8 (__TEXT,__text) non-external __libkernel_strcmp
00007ff800be4a0a (__TEXT,__text) non-external __libkernel_strcpy
00007ff8400b8c20 (__DATA,__data) non-external __libkernel_string_functions
00007ff800be4a32 (__TEXT,__text) non-external __libkernel_strlcpy
00007ff800be439a (__TEXT,__text) non-external __libkernel_strlen
00007ff8400b8c28 (__DATA,__data) non-external __libkernel_voucher_functions
00007ff800c0b870 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
00007ff800be5e07 (__TEXT,__text) non-external __mach_continuous_time
00007ff84007a0c0 (__DATA_CONST,__const) external __mach_errors
00007ff800be65de (__TEXT,__text) external __mach_fork_child
00007ff800be7c93 (__TEXT,__text) external __mach_snprintf
00007ff800be7b0e (__TEXT,__text) external __mach_vsnprintf
00007ff8400b8ee0 (__DATA,__common) external __os_alloc_once_table
00007ff800beb4af (__TEXT,__text) non-external __posix_spawn_file_actions_grow
00007ff800bebfa4 (__TEXT,__text) non-external __posix_spawnattr_get_posix_creds_info
00007ff800be9b79 (__TEXT,__text) external __register_gethostuuid_callback
00007ff8400b8e4c (__DATA,__bss) non-external __task_reply_port
00007ff800be4304 (__TEXT,__text) external __thread_set_tsd_base
00007ff800c0b632 (__TEXT,__text) non-external _abort
00007ff800c0b632 (__TEXT,__text) non-external _abort.391
00007ff800c0b632 (__TEXT,__text) non-external _abort.393
00007ff800c0b632 (__TEXT,__text) non-external _abort.404
00007ff800c0b6e4 (__TEXT,__text) external _abort_with_payload
00007ff800c0b669 (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
00007ff800c0b656 (__TEXT,__text) external _abort_with_reason
00007ff800be1840 (__TEXT,__text) external _accept
00007ff800be1858 (__TEXT,__text) external _accept$NOCANCEL
00007ff800be2e24 (__TEXT,__text) external _access
00007ff800be1870 (__TEXT,__text) external _accessx_np
00007ff800be2e3c (__TEXT,__text) external _acct
00007ff800c06230 (__TEXT,__text) external _act_get_state
00007ff800c06419 (__TEXT,__text) external _act_set_state
00007ff800be2e54 (__TEXT,__text) external _adjtime
00007ff800be2e6c (__TEXT,__text) external _aio_cancel
00007ff800be2e84 (__TEXT,__text) external _aio_error
00007ff800be2e9c (__TEXT,__text) external _aio_fsync
00007ff800be2eb4 (__TEXT,__text) external _aio_read
00007ff800be2ecc (__TEXT,__text) external _aio_return
00007ff800be2ee4 (__TEXT,__text) external _aio_suspend
00007ff800be1888 (__TEXT,__text) external _aio_suspend$NOCANCEL
00007ff800be2efc (__TEXT,__text) external _aio_write
00007ff800be2f14 (__TEXT,__text) external _audit
00007ff800be2f2c (__TEXT,__text) external _audit_session_join
00007ff800be2f44 (__TEXT,__text) external _audit_session_port
00007ff800be2f5c (__TEXT,__text) external _audit_session_self
00007ff800be2f74 (__TEXT,__text) external _auditctl
00007ff800be2f8c (__TEXT,__text) external _auditon
00007ff800be18a0 (__TEXT,__text) external _bind
00007ff8400b8e9c (__DATA,__common) external _bootstrap_port
00007ff800be7f31 (__TEXT,__text) external _cerror
00007ff800be7f0c (__TEXT,__text) external _cerror_nocancel
00007ff800be2fa4 (__TEXT,__text) external _change_fdguard_np
00007ff800be2fbc (__TEXT,__text) external _chdir
00007ff800be2fd4 (__TEXT,__text) external _chflags
00007ff800bea83c (__TEXT,__text) external _chmod
00007ff800be2fec (__TEXT,__text) external _chown
00007ff800be3004 (__TEXT,__text) external _chroot
00007ff800bf48be (__TEXT,__text) external _clock_alarm
00007ff800bf45b5 (__TEXT,__text) external _clock_alarm_reply
00007ff800bf472d (__TEXT,__text) external _clock_get_attributes
00007ff800bf461c (__TEXT,__text) external _clock_get_time
00007ff800bf4489 (__TEXT,__text) external _clock_set_attributes
00007ff800bf439e (__TEXT,__text) external _clock_set_time
00007ff800be5eec (__TEXT,__text) external _clock_sleep
00007ff800be1268 (__TEXT,__text) external _clock_sleep_trap
00007ff800be5de3 (__TEXT,__text) external _clonefile
00007ff800be301c (__TEXT,__text) external _clonefileat
00007ff800be3034 (__TEXT,__text) external _close
00007ff800be19c0 (__TEXT,__text) external _close$NOCANCEL
00007ff800befd0a (__TEXT,__text) external _coalition_create
00007ff800befd87 (__TEXT,__text) external _coalition_info_debug_info
