00007ffa1e8ede3b (__TEXT,__text) non-external _DiToMD5
00007ffa1e8fc335 (__TEXT,__text) non-external _IORWLockWrite.cold.1
00007ffa1e8d752b (__TEXT,__text) external _IORecursiveConditionLockAlloc
00007ffa1e8d7557 (__TEXT,__text) external _IORecursiveConditionLockFree
00007ffa1e8d7613 (__TEXT,__text) external _IORecursiveConditionLockHaveLock
00007ffa1e8fc286 (__TEXT,__text) non-external _IORecursiveConditionLockHaveLock.cold.1
00007ffa1e8d756d (__TEXT,__text) external _IORecursiveConditionLockLock
00007ffa1e8fc1fa (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.1
00007ffa1e8fc21d (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.2
00007ffa1e8d7643 (__TEXT,__text) external _IORecursiveConditionLockTryLock
00007ffa1e8fc2a9 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.1
00007ffa1e8fc2cc (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.2
00007ffa1e8d75c1 (__TEXT,__text) external _IORecursiveConditionLockUnlock
00007ffa1e8fc240 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.1
00007ffa1e8fc263 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.2
00007ffa1e8d74cf (__TEXT,__text) external _IORecursiveLockAlloc
00007ffa1e8d74eb (__TEXT,__text) external _IORecursiveLockFree
00007ffa1e8d7517 (__TEXT,__text) external _IORecursiveLockHaveLock
00007ffa1e8d7501 (__TEXT,__text) external _IORecursiveLockLock
00007ffa1e8d7521 (__TEXT,__text) external _IORecursiveLockTryLock
00007ffa1e8d750d (__TEXT,__text) external _IORecursiveLockUnlock
00007ffa4193ff80 (__DATA_CONST,__const) external _IOReportLegend_Class
00007ffa4193fd00 (__DATA_CONST,__const) external _IOReporter_Class
00007ffa41940388 (__DATA_CONST,__const) external _IOServiceNotificationDispatchSource_Class
00007ffa419404e8 (__DATA_CONST,__const) external _IOServiceStateNotificationDispatchSource_Class
00007ffa419401d8 (__DATA_CONST,__const) external _IOService_Class
00007ffa4193fda0 (__DATA_CONST,__const) external _IOSimpleReporter_Class
00007ffa1e8d4f13 (__TEXT,__text) external _IOSleep
00007ffa4193fe40 (__DATA_CONST,__const) external _IOStateReporter_Class
00007ffa41942158 (__DATA_CONST,__const) external _IOThread_Class
00007ffa41940648 (__DATA_CONST,__const) external _IOTimerDispatchSource_Class
00007ffa419407f8 (__DATA_CONST,__const) external _IOUserClient_Class
00007ffa1e8d8086 (__TEXT,__text) external _IOUserServerMain
00007ffa1e8fc625 (__TEXT,__text) non-external _IOUserServerMain.cold.1
00007ffa1e8fc760 (__TEXT,__text) non-external _IOUserServerMain.cold.10
00007ffa1e8fc648 (__TEXT,__text) non-external _IOUserServerMain.cold.2
00007ffa1e8fc66b (__TEXT,__text) non-external _IOUserServerMain.cold.3
00007ffa1e8fc68e (__TEXT,__text) non-external _IOUserServerMain.cold.4
00007ffa1e8fc6b1 (__TEXT,__text) non-external _IOUserServerMain.cold.5
00007ffa1e8fc6d4 (__TEXT,__text) non-external _IOUserServerMain.cold.6
00007ffa1e8fc6f7 (__TEXT,__text) non-external _IOUserServerMain.cold.7
00007ffa1e8fc71a (__TEXT,__text) non-external _IOUserServerMain.cold.8
00007ffa1e8fc73d (__TEXT,__text) non-external _IOUserServerMain.cold.9
00007ffa41940ad8 (__DATA_CONST,__const) external _IOUserServer_Class
00007ffa419f19c8 (__DATA_DIRTY,__common) external _IOVMPageSize
00007ffa41940c88 (__DATA_CONST,__const) external _IOWorkGroup_Class
00007ffa1e8edfd2 (__TEXT,__text) external _MD5Final
00007ffa1e8edda0 (__TEXT,__text) external _MD5Init
00007ffa1e8edf5e (__TEXT,__text) non-external _MD5ToDi
00007ffa1e8edea1 (__TEXT,__text) external _MD5Update
                 (undefined) external _NDR_record (from libSystem)
00007ffa41940de8 (__DATA_CONST,__const) external _OSAction_Class
00007ffa41940898 (__DATA_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
00007ffa41941ee8 (__DATA_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
00007ffa1e8e024c (__TEXT,__text) external _OSArrayAppendValue
00007ffa1e8dff8b (__TEXT,__text) external _OSArrayApply
00007ffa1e8dfca3 (__TEXT,__text) external _OSArrayCreate
00007ffa1e8df456 (__TEXT,__text) external _OSArrayGetCount
00007ffa1e8e02da (__TEXT,__text) external _OSArrayGetStringValue
00007ffa1e8e034a (__TEXT,__text) external _OSArrayGetUInt64Value
00007ffa1e8e0280 (__TEXT,__text) external _OSArrayGetValue
00007ffa1e8e023d (__TEXT,__text) external _OSArrayReplaceValue
00007ffa1e8e0305 (__TEXT,__text) external _OSArraySetStringValue
00007ffa1e8e0410 (__TEXT,__text) external _OSArraySetUInt64Value
00007ffa1e8e00b6 (__TEXT,__text) external _OSArraySetValue
00007ffa41940f98 (__DATA_CONST,__const) external _OSArray_Class
00007ffa41941090 (__DATA_CONST,__const) external _OSBoolean_Class
00007ffa41941188 (__DATA_CONST,__const) external _OSBundle_Class
00007ffa1e8de426 (__TEXT,__text) external _OSCollectionTypeID
00007ffa1e8fd236 (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
00007ffa1e8de3ac (__TEXT,__text) external _OSCollectionTypeName
00007ffa1e8fd1f2 (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
00007ffa41941280 (__DATA_CONST,__const) external _OSCollection_Class
00007ffa1e8e2a42 (__TEXT,__text) external _OSCollectionsInitialize
00007ffa41941378 (__DATA_CONST,__const) external _OSContainer_Class
00007ffa1e8de482 (__TEXT,__text) external _OSCreateObjectFromSerialization
00007ffa1e8fd27c (__TEXT,__text) non-external _OSCreateObjectFromSerialization.cold.1
00007ffa1e8e0c21 (__TEXT,__text) external _OSCreateSerializationFromBytes
00007ffa1e8fd6dc (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
00007ffa1e8e0b23 (__TEXT,__text) external _OSCreateSerializationFromObject
00007ffa1e8df2db (__TEXT,__text) external _OSDataAppendBytes
00007ffa1e8df259 (__TEXT,__text) external _OSDataCreate
00007ffa1e8df208 (__TEXT,__text) external _OSDataGetBytes
00007ffa1e8df1bf (__TEXT,__text) external _OSDataGetBytesPtr
00007ffa1e8df1f7 (__TEXT,__text) external _OSDataGetLength
00007ffa419414d8 (__DATA_CONST,__const) external _OSData_Class
00007ffa1e8df463 (__TEXT,__text) external _OSDictionaryApply
00007ffa1e8df3f5 (__TEXT,__text) external _OSDictionaryCreate
00007ffa1e8df449 (__TEXT,__text) external _OSDictionaryGetCount
00007ffa1e8dfab4 (__TEXT,__text) external _OSDictionaryGetStringValue
00007ffa1e8dfbc6 (__TEXT,__text) external _OSDictionaryGetUInt64Value
00007ffa1e8dfa17 (__TEXT,__text) external _OSDictionaryGetValue
00007ffa1e8dfb81 (__TEXT,__text) external _OSDictionarySetStringValue
00007ffa1e8dfc65 (__TEXT,__text) external _OSDictionarySetUInt64Value
00007ffa1e8df71e (__TEXT,__text) external _OSDictionarySetValue
00007ffa419415d0 (__DATA_CONST,__const) external _OSDictionary_Class
00007ffa419416c8 (__DATA_CONST,__const) external _OSMappedFile_Class
00007ffa1e8df393 (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00007ffa1e8df372 (__TEXT,__text) external _OSNumberGetUInt64Value
00007ffa419417c0 (__DATA_CONST,__const) external _OSNumber_Class
00007ffa1e8e126c (__TEXT,__text) external _OSObjectLog
00007ffa1e8de3e2 (__TEXT,__text) external _OSObjectRelease
00007ffa1e8de3d7 (__TEXT,__text) external _OSObjectRetain
00007ffa419418b8 (__DATA_CONST,__const) external _OSObject_Class
00007ffa41941a68 (__DATA_CONST,__const) external _OSOrderedSet_Class
00007ffa1e8d5474 (__TEXT,__text) external _OSReportWithBacktrace
00007ffa1e8e0d4a (__TEXT,__text) external _OSSerializationGetBytes
00007ffa41941b60 (__DATA_CONST,__const) external _OSSerialization_Class
00007ffa41941c58 (__DATA_CONST,__const) external _OSSet_Class
00007ffa1e8deeef (__TEXT,__text) external _OSStringCreate
00007ffa1e8fd32b (__TEXT,__text) non-external _OSStringCreate.cold.1
00007ffa1e8deeae (__TEXT,__text) external _OSStringGetLength
00007ffa1e8fd308 (__TEXT,__text) non-external _OSStringGetLength.cold.1
00007ffa1e8dee76 (__TEXT,__text) external _OSStringGetStringPtr
00007ffa41941d50 (__DATA_CONST,__const) external _OSString_Class
00007ffa1e8d4f2d (__TEXT,__text) external _OSSynchronizeIO
00007ffa43ab94b0 (__DATA,__bss) non-external _OSUniqueStrings
00007ffa1e8d5833 (__TEXT,__text) external _PE_i_can_has_debugger
00007ffa1e8ee2a9 (__TEXT,__text) external _SHA1Final
00007ffa1e8ee080 (__TEXT,__text) external _SHA1Init
00007ffa1e8ee23e (__TEXT,__text) non-external _SHA1ToDi
00007ffa1e8ee181 (__TEXT,__text) external _SHA1Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00007ffa1e8d5e3a (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
00007ffa41941e48 (__DATA_CONST,__const) external __IOBlockStorageDevice_Class
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
00007ffa1e8d6162 (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00007ffa1e8fbdf5 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
00007ffa1e8fbe18 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.2
00007ffa1e8d7739 (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00007ffa1e8fc37b (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00007ffa1e8fc39e (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00007ffa1e8fc3c1 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00007ffa1e8fc3e4 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00007ffa1e8fc407 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
00007ffa1e8d698b (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00007ffa1e8fc037 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00007ffa1e8fc05a (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00007ffa1e8fc07d (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00007ffa1e8fc0a0 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
00007ffa1e8fc0e2 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.5
00007ffa1e8d6390 (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00007ffa1e8fbea4 (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
00007ffa1e8e0262 (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
00007ffa1e8e29e0 (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
00007ffa1e8d5fd6 (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00007ffa1e8fbd8c (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00007ffa1e8fbdaf (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00007ffa1e8fbdd2 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00007ffa1e8e0375 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
00007ffa1e8e03e5 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
00007ffa1e8e03a0 (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
00007ffa1e8d61ba (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
00007ffa1e8fbe3b (__TEXT,__text) non-external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject.cold.1
00007ffa1e8fbe5e (__TEXT,__text) non-external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject.cold.2
00007ffa1e8e0750 (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00007ffa1e8fd62d (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ffa1e8fd650 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ffa1e8fd673 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ffa1e8fd696 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
00007ffa1e8fd6b9 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
00007ffa1e8d4a8c (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
00007ffa1e8d4b78 (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
00007ffa1e8d667b (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
00007ffa1e8d7e6a (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00007ffa1e8d5f48 (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00007ffa1e8d5eaf (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00007ffa1e8e0d68 (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00007ffa1e8fd6ff (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
00007ffa1e8d62d8 (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00007ffa1e8fbe81 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00007ffa1e8de44f (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00007ffa1e8fd259 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
00007ffa1e8de3ed (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00007ffa1e8fd213 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
00007ffa1e8d3290 (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
00007ffa1e8fbc3c (__TEXT,__text) non-external __Z21OSUnserializeXMLparsePv.cold.1
00007ffa1e8df173 (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
00007ffa1e8e044e (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00007ffa1e8fd443 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00007ffa1e8fd466 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00007ffa1e8fd489 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00007ffa1e8fd4ac (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00007ffa1e8fd4cf (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
00007ffa1e8df13f (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00007ffa1e8dfd5d (__TEXT,__text) non-external (was a private external) __Z27OSCollectionEntryArrayApplyP15OSSerialization17OSCollectionEntryU13block_pointerFbmS0_S1_E
00007ffa1e8fd3b7 (__TEXT,__text) non-external __Z27OSCollectionEntryArrayApplyP15OSSerialization17OSCollectionEntryU13block_pointerFbmS0_S1_E.cold.1
00007ffa1e8dfcf7 (__TEXT,__text) non-external (was a private external) __Z27OSCollectionEntryArrayCountP15OSSerialization17OSCollectionEntry
00007ffa1e8fd371 (__TEXT,__text) non-external __Z27OSCollectionEntryArrayCountP15OSSerialization17OSCollectionEntry.cold.1
00007ffa1e8fd394 (__TEXT,__text) non-external __Z27OSCollectionEntryArrayCountP15OSSerialization17OSCollectionEntry.cold.2
00007ffa1e8df356 (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
00007ffa1e8e057b (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00007ffa1e8fd4f2 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ffa1e8fd515 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ffa1e8fd538 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ffa1e8d783a (__TEXT,__text) non-external (was a private external) __Z6ServerPvP17mach_msg_header_tS1_
00007ffa1e8fc42a (__TEXT,__text) non-external __Z6ServerPvP17mach_msg_header_tS1_.cold.1
00007ffa1e8fc44d (__TEXT,__text) non-external __Z6ServerPvP17mach_msg_header_tS1_.cold.2
00007ffa1e8d7e42 (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
00007ffa1e8d72d2 (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00007ffa1e8faaf2 (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00007ffa1e8d4990 (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
00007ffa1e8de228 (__TEXT,__text) non-external __ZL10uiomessagePv
00007ffa1e8fa99c (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
00007ffa1e8e1eb6 (__TEXT,__text) non-external __ZL11OSSetCreatev
00007ffa1e8fe330 (__TEXT,__const) non-external __ZL11yytranslate
00007ffa1e8fbb62 (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
00007ffa1e8fa470 (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00007ffa1e8faa38 (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
00007ffa1e8fabd6 (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00007ffa1e8fac1e (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
00007ffa1e8df0cf (__TEXT,__text) non-external __ZL12OSStringFindjPKcm
00007ffa1e8fb24c (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
00007ffa1e8eee72 (__TEXT,__text) non-external __ZL13IOCommand_NewP11OSMetaClass
00007ffa1e8f2ee6 (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
00007ffa1e8dd2aa (__TEXT,__text) non-external __ZL13IOThreadStartPv
00007ffa1e8fcfb1 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.1
00007ffa1e8fcfd4 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.2
00007ffa1e8fcff7 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.3
00007ffa1e8fa9f0 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
00007ffa1e8f2d86 (__TEXT,__text) non-external __ZL14IOReporter_NewP11OSMetaClass
00007ffa1e8d914c (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
00007ffa1e8fcaa6 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
00007ffa1e8fcac9 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
00007ffa1e8fcaec (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
00007ffa1e8fcb0f (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.4
00007ffa1e8f14cc (__TEXT,__text) non-external __ZL15IOEventLink_NewP11OSMetaClass
00007ffa1e8f2ae8 (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
00007ffa1e8f9e84 (__TEXT,__text) non-external __ZL15IOWorkGroup_NewP11OSMetaClass
00007ffa1e8faaaa (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
00007ffa1e8d7b2e (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00007ffa1e8fc470 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00007ffa1e8fc493 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00007ffa1e8fc4b6 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00007ffa1e8fc4d9 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00007ffa1e8d891f (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
00007ffa1e8fc8ab (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
00007ffa1e8fc8ce (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
00007ffa1e8fc8f1 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
00007ffa1e8fc914 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
00007ffa1e8ddc87 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
00007ffa1e8fd0a6 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
00007ffa1e8fd0c9 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.2
00007ffa1e8fd0ec (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.3
00007ffa1e8fd10f (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.4
00007ffa1e8fd132 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.5
00007ffa1e8fd155 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.6
00007ffa1e8fd178 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.7
00007ffa43ab9488 (__DATA,__bss) non-external __ZL15gIOThreadTLSKey
