                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
000000018ca6790c (__TEXT,__text) external __cg_jcopy_block_row
000000018ca8582e (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_dc_chrominance
000000018ca85811 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_dc_luminance
00000001d20741b8 (__DATA_CONST,__const) external __cg_jpeg_std_message_table
000000018ca83d54 (__TEXT,__text) external __cg_jpeg_stdio_dest
000000018ca63f54 (__TEXT,__text) external __cg_jpeg_stdio_src
000000018ca7a9cc (__TEXT,__text) external __cg_jpeg_suppress_tables
000000018ca7e344 (__TEXT,__text) external __cg_jpeg_write_coefficients
000000018ca7acb0 (__TEXT,__text) external __cg_jpeg_write_m_byte
000000018ca7ac24 (__TEXT,__text) external __cg_jpeg_write_m_header
000000018ca7ab80 (__TEXT,__text) external __cg_jpeg_write_marker
000000018ca6f998 (__TEXT,__text) external __cg_jpeg_write_raw_data
000000018ca6f890 (__TEXT,__text) external __cg_jpeg_write_scanlines
000000018ca7acbc (__TEXT,__text) external __cg_jpeg_write_tables
000000018ca678a0 (__TEXT,__text) external __cg_jround_up
000000018ca66ddc (__TEXT,__text) external __cg_switch_color_deconverter
000000018ca84c14 (__TEXT,__text) non-external _access_virt_barray
000000018ca84a34 (__TEXT,__text) non-external _access_virt_sarray
000000018ca84600 (__TEXT,__text) non-external _alloc_barray
000000018ca83634 (__TEXT,__text) non-external _alloc_fs_workspace
000000018ca843f8 (__TEXT,__text) non-external _alloc_large
000000018ca84508 (__TEXT,__text) non-external _alloc_sarray
000000018ca84244 (__TEXT,__text) non-external _alloc_small
000000018ca652cc (__TEXT,__text) non-external _arith_decode
000000018ca63a8c (__TEXT,__text) non-external _arith_encode
000000018ca8664c (__TEXT,__const) non-external _base_dither_matrix
000000018ca8660c (__TEXT,__const) non-external _bmask
000000018ca66aac (__TEXT,__text) non-external _build_ycc_rgb_table
                 (undefined) external _bzero (from libSystem)
000000018ca63f3c (__TEXT,__text) non-external _close_backing_store
000000018ca5e3dc (__TEXT,__text) non-external _cmyk_ycck_convert
000000018ca83720 (__TEXT,__text) non-external _color_quantize
000000018ca836ac (__TEXT,__text) non-external _color_quantize3
000000018ca67064 (__TEXT,__text) non-external _compress_data
000000018ca6734c (__TEXT,__text) non-external _compress_first_pass
000000018ca67680 (__TEXT,__text) non-external _compress_output
000000018ca7e81c (__TEXT,__text) non-external _compress_output
000000018ca709b0 (__TEXT,__text) non-external _consume_data
000000018ca68cbc (__TEXT,__text) non-external _consume_markers
000000018ca834f4 (__TEXT,__text) non-external _create_colorindex
000000018ca64e04 (__TEXT,__text) non-external _decode_mcu
000000018ca7d9d4 (__TEXT,__text) non-external _decode_mcu
000000018ca64950 (__TEXT,__text) non-external _decode_mcu_AC_first
000000018ca7cac4 (__TEXT,__text) non-external _decode_mcu_AC_first
000000018ca64c2c (__TEXT,__text) non-external _decode_mcu_AC_refine
000000018ca7ce18 (__TEXT,__text) non-external _decode_mcu_AC_refine
000000018ca64724 (__TEXT,__text) non-external _decode_mcu_DC_first
000000018ca7c8ac (__TEXT,__text) non-external _decode_mcu_DC_first
000000018ca64b7c (__TEXT,__text) non-external _decode_mcu_DC_refine
000000018ca7cd0c (__TEXT,__text) non-external _decode_mcu_DC_refine
000000018ca7d5a8 (__TEXT,__text) non-external _decode_mcu_sub
000000018ca70bdc (__TEXT,__text) non-external _decompress_data
000000018ca70db8 (__TEXT,__text) non-external _decompress_onepass
000000018ca71094 (__TEXT,__text) non-external _decompress_smooth_data
000000018ca850b4 (__TEXT,__text) non-external _do_barray_io
000000018ca84fac (__TEXT,__text) non-external _do_sarray_io
000000018ca70db0 (__TEXT,__text) non-external _dummy_consume_data
000000018ca82ccc (__TEXT,__text) non-external _dump_buffer_e
000000018ca63c9c (__TEXT,__text) non-external _emit_byte
000000018ca7f620 (__TEXT,__text) non-external _emit_byte
000000018ca7f920 (__TEXT,__text) non-external _emit_dht
000000018ca7f6a0 (__TEXT,__text) non-external _emit_dqt
000000018ca825ec (__TEXT,__text) non-external _emit_eobrun
000000018ca7b968 (__TEXT,__text) non-external _emit_message
000000018ca63994 (__TEXT,__text) non-external _emit_restart
000000018ca82d20 (__TEXT,__text) non-external _emit_restart_e
000000018ca7f7e4 (__TEXT,__text) non-external _emit_sof
000000018ca84030 (__TEXT,__text) non-external _empty_mem_output_buffer
000000018ca83e0c (__TEXT,__text) non-external _empty_output_buffer
000000018ca634f0 (__TEXT,__text) non-external _encode_mcu
000000018ca62f18 (__TEXT,__text) non-external _encode_mcu_AC_first
000000018ca80964 (__TEXT,__text) non-external _encode_mcu_AC_first
000000018ca632a8 (__TEXT,__text) non-external _encode_mcu_AC_refine
000000018ca80fa8 (__TEXT,__text) non-external _encode_mcu_AC_refine
000000018ca62cd4 (__TEXT,__text) non-external _encode_mcu_DC_first
000000018ca8063c (__TEXT,__text) non-external _encode_mcu_DC_first
000000018ca631f0 (__TEXT,__text) non-external _encode_mcu_DC_refine
000000018ca80e20 (__TEXT,__text) non-external _encode_mcu_DC_refine
000000018ca816e0 (__TEXT,__text) non-external _encode_mcu_gather
000000018ca81950 (__TEXT,__text) non-external _encode_mcu_huff
000000018ca7b938 (__TEXT,__text) non-external _error_exit
000000018ca6222c (__TEXT,__text) non-external _examine_app0
000000018ca624ac (__TEXT,__text) non-external _examine_app14
                 (undefined) external _exit (from libSystem)
000000018ca86778 (__TEXT,__const) non-external _extra_pool_slop
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fflush (from libSystem)
000000018ca70608 (__TEXT,__text) non-external _fill_dc_scans
000000018ca64028 (__TEXT,__text) non-external _fill_input_buffer
000000018ca5fc30 (__TEXT,__text) non-external _fill_inverse_cmap
000000018ca6420c (__TEXT,__text) non-external _fill_mem_input_buffer
000000018ca859b8 (__TEXT,__const) non-external _fill_mem_input_buffer.mybuffer
000000018ca69580 (__TEXT,__text) non-external _finish_input_pass
000000018ca730cc (__TEXT,__text) non-external _finish_output_pass
000000018ca62ad8 (__TEXT,__text) non-external _finish_pass
000000018ca64720 (__TEXT,__text) non-external _finish_pass
000000018ca5f0d4 (__TEXT,__text) non-external _finish_pass1
000000018ca5f830 (__TEXT,__text) non-external _finish_pass2
000000018ca834dc (__TEXT,__text) non-external _finish_pass_1_quant
000000018ca8029c (__TEXT,__text) non-external _finish_pass_gather
000000018ca7c880 (__TEXT,__text) non-external _finish_pass_huff
000000018ca803f0 (__TEXT,__text) non-external _finish_pass_huff
000000018ca72380 (__TEXT,__text) non-external _finish_pass_master
000000018ca86768 (__TEXT,__const) non-external _first_pool_slop
000000018ca7ba60 (__TEXT,__text) non-external _format_message
000000018ca660f8 (__TEXT,__text) non-external _forward_DCT
000000018ca66220 (__TEXT,__text) non-external _forward_DCT_float
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
000000018ca84df8 (__TEXT,__text) non-external _free_pool
                 (undefined) external _fseek (from libSystem)
000000018ca7b214 (__TEXT,__text) non-external _fullsize_downsample
000000018ca7b060 (__TEXT,__text) non-external _fullsize_smooth_downsample
000000018ca73b58 (__TEXT,__text) non-external _fullsize_upsample
                 (undefined) external _fwrite (from libSystem)
000000018ca6542c (__TEXT,__text) non-external _get_byte
000000018ca61924 (__TEXT,__text) non-external _get_interesting_appn
000000018ca61e78 (__TEXT,__text) non-external _get_sof
000000018ca6699c (__TEXT,__text) non-external _gray_rgb_convert
000000018ca5e018 (__TEXT,__text) non-external _grayscale_convert
000000018ca66868 (__TEXT,__text) non-external _grayscale_convert
000000018ca7b2ac (__TEXT,__text) non-external _h2v1_downsample
000000018ca7c0d8 (__TEXT,__text) non-external _h2v1_merged_upsample
000000018ca73b60 (__TEXT,__text) non-external _h2v1_upsample
000000018ca7b654 (__TEXT,__text) non-external _h2v2_downsample
000000018ca7bec0 (__TEXT,__text) non-external _h2v2_merged_upsample
000000018ca7b39c (__TEXT,__text) non-external _h2v2_smooth_downsample
000000018ca73bb4 (__TEXT,__text) non-external _h2v2_upsample
000000018ca83dcc (__TEXT,__text) non-external _init_destination
000000018ca5efa0 (__TEXT,__text) non-external _init_error_limit
000000018ca8402c (__TEXT,__text) non-external _init_mem_destination
000000018ca64208 (__TEXT,__text) non-external _init_mem_source
000000018ca64018 (__TEXT,__text) non-external _init_source
000000018ca7b76c (__TEXT,__text) non-external _int_downsample
000000018ca73c64 (__TEXT,__text) non-external _int_upsample
000000018ca67890 (__TEXT,__text) non-external (was a private external) _jdiv_round_up
000000018ca6425c (__TEXT,__text) non-external (was a private external) _jinit_arith_decoder
000000018ca62830 (__TEXT,__text) non-external (was a private external) _jinit_arith_encoder
000000018ca852d0 (__TEXT,__const) non-external (was a private external) _jpeg_aritab
000000018ca5d688 (__TEXT,__text) non-external (was a private external) _jpeg_calc_jpeg_dimensions
000000018ca6891c (__TEXT,__text) non-external (was a private external) _jpeg_core_output_dimensions
000000018ca6fbc4 (__TEXT,__text) non-external (was a private external) _jpeg_default_qtables
000000018ca758d4 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_10x10
000000018ca78a58 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_10x5
000000018ca75c6c (__TEXT,__text) non-external (was a private external) _jpeg_fdct_11x11
000000018ca76120 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_12x12
000000018ca785e4 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_12x6
000000018ca76534 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_13x13
000000018ca76a7c (__TEXT,__text) non-external (was a private external) _jpeg_fdct_14x14
000000018ca78008 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_14x7
000000018ca76f14 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_15x15
000000018ca77414 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_16x16
000000018ca779cc (__TEXT,__text) non-external (was a private external) _jpeg_fdct_16x8
000000018ca7555c (__TEXT,__text) non-external (was a private external) _jpeg_fdct_1x1
000000018ca7a84c (__TEXT,__text) non-external (was a private external) _jpeg_fdct_1x2
000000018ca792c4 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_2x1
000000018ca754dc (__TEXT,__text) non-external (was a private external) _jpeg_fdct_2x2
000000018ca7a76c (__TEXT,__text) non-external (was a private external) _jpeg_fdct_2x4
000000018ca753e0 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_3x3
000000018ca7a5f8 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_3x6
000000018ca791bc (__TEXT,__text) non-external (was a private external) _jpeg_fdct_4x2
000000018ca75248 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_4x4
000000018ca7a1e4 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_4x8
000000018ca79ee8 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_5x10
000000018ca750ac (__TEXT,__text) non-external (was a private external) _jpeg_fdct_5x5
000000018ca79b98 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_6x12
000000018ca79060 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_6x3
000000018ca74ee0 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_6x6
000000018ca79788 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_7x14
000000018ca74bf8 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_7x7
000000018ca79314 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_8x16
000000018ca78ddc (__TEXT,__text) non-external (was a private external) _jpeg_fdct_8x4
000000018ca75598 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_9x9
000000018ca7de8c (__TEXT,__text) non-external _jpeg_fill_bit_buffer
000000018ca82938 (__TEXT,__text) non-external _jpeg_gen_optimal_table
000000018ca7dfd8 (__TEXT,__text) non-external _jpeg_huff_decode
000000018ca6a914 (__TEXT,__text) non-external (was a private external) _jpeg_idct_10x10
000000018ca6d8dc (__TEXT,__text) non-external (was a private external) _jpeg_idct_10x5
000000018ca6ad00 (__TEXT,__text) non-external (was a private external) _jpeg_idct_11x11
000000018ca6b1b4 (__TEXT,__text) non-external (was a private external) _jpeg_idct_12x12
000000018ca6d57c (__TEXT,__text) non-external (was a private external) _jpeg_idct_12x6
000000018ca6b62c (__TEXT,__text) non-external (was a private external) _jpeg_idct_13x13
000000018ca6bb90 (__TEXT,__text) non-external (was a private external) _jpeg_idct_14x14
000000018ca6d150 (__TEXT,__text) non-external (was a private external) _jpeg_idct_14x7
000000018ca6c088 (__TEXT,__text) non-external (was a private external) _jpeg_idct_15x15
000000018ca6c5ec (__TEXT,__text) non-external (was a private external) _jpeg_idct_16x16
000000018ca6cbfc (__TEXT,__text) non-external (was a private external) _jpeg_idct_16x8
000000018ca6f78c (__TEXT,__text) non-external (was a private external) _jpeg_idct_1x2
000000018ca6e1a0 (__TEXT,__text) non-external (was a private external) _jpeg_idct_2x1
000000018ca6f644 (__TEXT,__text) non-external (was a private external) _jpeg_idct_2x4
000000018ca6a35c (__TEXT,__text) non-external (was a private external) _jpeg_idct_3x3
000000018ca6f46c (__TEXT,__text) non-external (was a private external) _jpeg_idct_3x6
000000018ca6e038 (__TEXT,__text) non-external (was a private external) _jpeg_idct_4x2
000000018ca6f13c (__TEXT,__text) non-external (was a private external) _jpeg_idct_4x8
000000018ca6ee30 (__TEXT,__text) non-external (was a private external) _jpeg_idct_5x10
000000018ca69fb0 (__TEXT,__text) non-external (was a private external) _jpeg_idct_5x5
000000018ca6eacc (__TEXT,__text) non-external (was a private external) _jpeg_idct_6x12
000000018ca6de70 (__TEXT,__text) non-external (was a private external) _jpeg_idct_6x3
000000018ca69d74 (__TEXT,__text) non-external (was a private external) _jpeg_idct_6x6
000000018ca6e6b4 (__TEXT,__text) non-external (was a private external) _jpeg_idct_7x14
000000018ca69a20 (__TEXT,__text) non-external (was a private external) _jpeg_idct_7x7
000000018ca6e1f0 (__TEXT,__text) non-external (was a private external) _jpeg_idct_8x16
000000018ca6dbe0 (__TEXT,__text) non-external (was a private external) _jpeg_idct_8x4
000000018ca6a580 (__TEXT,__text) non-external (was a private external) _jpeg_idct_9x9
000000018ca8234c (__TEXT,__text) non-external _jpeg_make_c_derived_tbl
000000018ca7d27c (__TEXT,__text) non-external _jpeg_make_d_derived_tbl
000000018ca83f24 (__TEXT,__text) non-external (was a private external) _jpeg_mem_dest
000000018ca64140 (__TEXT,__text) non-external (was a private external) _jpeg_mem_src
000000018ca85f7c (__TEXT,__const) non-external (was a private external) _jpeg_natural_order2
000000018ca85f18 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order3
000000018ca85e98 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order4
000000018ca85df4 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order5
000000018ca85d24 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order6
000000018ca85c20 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order7
000000018ca8650c (__TEXT,__const) non-external _jpeg_zigzag_order
000000018ca862e0 (__TEXT,__const) non-external _jpeg_zigzag_order2
000000018ca862f0 (__TEXT,__const) non-external _jpeg_zigzag_order3
000000018ca86314 (__TEXT,__const) non-external _jpeg_zigzag_order4
000000018ca86354 (__TEXT,__const) non-external _jpeg_zigzag_order5
000000018ca863b8 (__TEXT,__const) non-external _jpeg_zigzag_order6
000000018ca86448 (__TEXT,__const) non-external _jpeg_zigzag_order7
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
000000018ca7c084 (__TEXT,__text) non-external _merged_1v_upsample
000000018ca7bda0 (__TEXT,__text) non-external _merged_2v_upsample
000000018ca834e0 (__TEXT,__text) non-external _new_color_map_1_quant
000000018ca5ef90 (__TEXT,__text) non-external _new_color_map_2_quant
000000018ca60150 (__TEXT,__text) non-external _next_marker
000000018ca73b50 (__TEXT,__text) non-external _noop_upsample
000000018ca5e368 (__TEXT,__text) non-external _null_convert
000000018ca66d68 (__TEXT,__text) non-external _null_convert
000000018ca5e014 (__TEXT,__text) non-external _null_method
000000018ca7b9e0 (__TEXT,__text) non-external _output_message
000000018ca7fb70 (__TEXT,__text) non-external _output_pass_setup
000000018ca5f468 (__TEXT,__text) non-external _pass2_fs_dither
000000018ca5f758 (__TEXT,__text) non-external _pass2_no_dither
000000018ca72330 (__TEXT,__text) non-external _pass_startup
000000018ca72578 (__TEXT,__text) non-external _per_scan_setup
000000018ca73f2c (__TEXT,__text) non-external _post_process_1pass
000000018ca740c4 (__TEXT,__text) non-external _post_process_2pass
000000018ca73fc4 (__TEXT,__text) non-external _post_process_prepass
000000018ca67e1c (__TEXT,__text) non-external _pre_process_context
000000018ca68098 (__TEXT,__text) non-external _pre_process_data
000000018ca72f08 (__TEXT,__text) non-external _prepare_for_output_pass
000000018ca72138 (__TEXT,__text) non-external _prepare_for_pass
000000018ca5f054 (__TEXT,__text) non-external _prescan_quantize
000000018ca73444 (__TEXT,__text) non-external _process_data_context_main
000000018ca737c0 (__TEXT,__text) non-external _process_data_crank_post
000000018ca67a70 (__TEXT,__text) non-external _process_data_simple_main
000000018ca73708 (__TEXT,__text) non-external _process_data_simple_main
000000018ca651bc (__TEXT,__text) non-external _process_restart
000000018ca7ddf4 (__TEXT,__text) non-external _process_restart
000000018ca837b0 (__TEXT,__text) non-external _quantize3_ord_dither
000000018ca83974 (__TEXT,__text) non-external _quantize_fs_dither
000000018ca83880 (__TEXT,__text) non-external _quantize_ord_dither
000000018ca63ddc (__TEXT,__text) non-external _read_backing_store
000000018ca6034c (__TEXT,__text) non-external _read_markers
000000018ca6178c (__TEXT,__text) non-external _read_restart_marker
000000018ca84850 (__TEXT,__text) non-external _realize_virt_arrays
000000018ca847a8 (__TEXT,__text) non-external _request_virt_barray
000000018ca84700 (__TEXT,__text) non-external _request_virt_sarray
000000018ca7bb34 (__TEXT,__text) non-external _reset_error_mgr
000000018ca69274 (__TEXT,__text) non-external _reset_input_controller
000000018ca6032c (__TEXT,__text) non-external _reset_marker_reader
000000018ca66908 (__TEXT,__text) non-external _rgb1_gray_convert
000000018ca66c20 (__TEXT,__text) non-external _rgb1_rgb_convert
000000018ca5e1b8 (__TEXT,__text) non-external _rgb_convert
000000018ca66bb4 (__TEXT,__text) non-external _rgb_convert
000000018ca5e138 (__TEXT,__text) non-external _rgb_gray_convert
000000018ca66884 (__TEXT,__text) non-external _rgb_gray_convert
000000018ca5e224 (__TEXT,__text) non-external _rgb_rgb1_convert
000000018ca5e2a0 (__TEXT,__text) non-external _rgb_ycc_convert
000000018ca5e06c (__TEXT,__text) non-external _rgb_ycc_start
000000018ca61bb8 (__TEXT,__text) non-external _save_marker
000000018ca8674c (__TEXT,__const) non-external _select_ncolors.RGB_order
000000018ca72410 (__TEXT,__text) non-external _select_scan_parameters
000000018ca84f48 (__TEXT,__text) non-external _self_destruct
000000018ca7afbc (__TEXT,__text) non-external _sep_downsample
000000018ca73a00 (__TEXT,__text) non-external _sep_upsample
000000018ca640c8 (__TEXT,__text) non-external _skip_input_data
000000018ca61830 (__TEXT,__text) non-external _skip_variable
                 (undefined) external _sprintf (from libSystem)
000000018ca692d4 (__TEXT,__text) non-external _start_input_pass
000000018ca70838 (__TEXT,__text) non-external _start_input_pass
000000018ca7087c (__TEXT,__text) non-external _start_output_pass
000000018ca5e5b4 (__TEXT,__text) non-external _start_pass
000000018ca628c8 (__TEXT,__text) non-external _start_pass
000000018ca6434c (__TEXT,__text) non-external _start_pass
000000018ca856e0 (__TEXT,__const) non-external _start_pass.aanscalefactor
000000018ca85660 (__TEXT,__const) non-external _start_pass.aanscales
000000018ca83260 (__TEXT,__text) non-external _start_pass_1_quant
000000018ca5ee28 (__TEXT,__text) non-external _start_pass_2_quant
000000018ca66f44 (__TEXT,__text) non-external _start_pass_coef
000000018ca7e78c (__TEXT,__text) non-external _start_pass_coef
000000018ca66864 (__TEXT,__text) non-external _start_pass_dcolor
000000018ca7afb8 (__TEXT,__text) non-external _start_pass_downsample
000000018ca73e30 (__TEXT,__text) non-external _start_pass_dpost
000000018ca658fc (__TEXT,__text) non-external _start_pass_fdctmgr
000000018ca85a40 (__TEXT,__const) non-external _start_pass_fdctmgr.aanscalefactor
000000018ca859c0 (__TEXT,__const) non-external _start_pass_fdctmgr.aanscales
000000018ca80024 (__TEXT,__text) non-external _start_pass_huff
000000018ca7c2d8 (__TEXT,__text) non-external _start_pass_huff_decoder
000000018ca67a2c (__TEXT,__text) non-external _start_pass_main
000000018ca732e4 (__TEXT,__text) non-external _start_pass_main
000000018ca7bd8c (__TEXT,__text) non-external _start_pass_merged_upsample
000000018ca67dc4 (__TEXT,__text) non-external _start_pass_prep
000000018ca739ec (__TEXT,__text) non-external _start_pass_upsample
000000018ca86178 (__TEXT,__const) non-external _std_chrominance_quant_tbl
000000018ca86078 (__TEXT,__const) non-external _std_luminance_quant_tbl
000000018ca83e70 (__TEXT,__text) non-external _term_destination
000000018ca840d8 (__TEXT,__text) non-external _term_mem_destination
000000018ca6413c (__TEXT,__text) non-external _term_source
