00007ff8113eebc4 (__TEXT,__text) non-external +[CalAlarm alarm]
00007ff8113f7504 (__TEXT,__text) non-external +[CalRecurrenceRule iCalendarValueFromDayOfTheWeek:]
00007ff8113f74b0 (__TEXT,__text) non-external +[CalRecurrenceRule iCalendarValueFromRecurrenceType:]
00007ff8113f7643 (__TEXT,__text) non-external +[CalRecurrenceRule recurrenceRuleWithString:]
00007ff8113f959d (__TEXT,__text) non-external +[CalTask taskFromRemoteManagedObject:]
00007ff8113f90af (__TEXT,__text) non-external +[CalTask task]
00007ff8113f136c (__TEXT,__text) non-external +[CalTaskPredicate predicateWithPredicate:calendars:]
00007ff8113f8143 (__TEXT,__text) non-external +[NSDate(CalStoreUtils) calStoreDateInTimeZone:fromFloatingDateInGMT:]
00007ff8113eefb8 (__TEXT,__text) non-external -[CalAlarm _createReservedDictionaryIfNeeded]
00007ff8113ef6d0 (__TEXT,__text) non-external -[CalAlarm absoluteTrigger]
00007ff8113ef6da (__TEXT,__text) non-external -[CalAlarm acknowledged]
00007ff8113ef69d (__TEXT,__text) non-external -[CalAlarm action]
00007ff8113f50ff (__TEXT,__text) non-external -[CalAlarm copyWithZone:]
00007ff8113f5211 (__TEXT,__text) non-external -[CalAlarm dealloc]
00007ff8113ef5b5 (__TEXT,__text) non-external -[CalAlarm description]
00007ff8113ef6bb (__TEXT,__text) non-external -[CalAlarm emailAddress]
00007ff8113f5277 (__TEXT,__text) non-external -[CalAlarm finalize]
00007ff8113f4d18 (__TEXT,__text) non-external -[CalAlarm hash]
00007ff8113eebdd (__TEXT,__text) non-external -[CalAlarm init]
00007ff8113f4e24 (__TEXT,__text) non-external -[CalAlarm isEqual:]
00007ff8113f4ccd (__TEXT,__text) non-external -[CalAlarm relatedTo]
00007ff8113ef6c5 (__TEXT,__text) non-external -[CalAlarm relativeTrigger]
00007ff8113eec3f (__TEXT,__text) non-external -[CalAlarm setAbsoluteTrigger:]
00007ff8113eef33 (__TEXT,__text) non-external -[CalAlarm setAcknowledged:]
00007ff8113eec30 (__TEXT,__text) non-external -[CalAlarm setAction:]
00007ff8113ef085 (__TEXT,__text) non-external -[CalAlarm setEmailAddress:]
00007ff8113f4c48 (__TEXT,__text) non-external -[CalAlarm setRelatedTo:]
00007ff8113eec92 (__TEXT,__text) non-external -[CalAlarm setRelativeTrigger:]
00007ff8113ef00c (__TEXT,__text) non-external -[CalAlarm setSound:]
00007ff8113ef0fe (__TEXT,__text) non-external -[CalAlarm setUrl:]
00007ff8113ef6b1 (__TEXT,__text) non-external -[CalAlarm sound]
00007ff8113f4cf3 (__TEXT,__text) non-external -[CalAlarm triggerDateRelativeTo:]
00007ff8113ef6a7 (__TEXT,__text) non-external -[CalAlarm url]
00007ff8113ef818 (__TEXT,__text) non-external -[CalAttendee address]
00007ff8113ef822 (__TEXT,__text) non-external -[CalAttendee commonName]
00007ff8113eff29 (__TEXT,__text) non-external -[CalAttendee copyWithZone:]
00007ff8113eff7a (__TEXT,__text) non-external -[CalAttendee dealloc]
00007ff8113ef78a (__TEXT,__text) non-external -[CalAttendee description]
00007ff8113efd86 (__TEXT,__text) non-external -[CalAttendee hash]
00007ff8113efcfc (__TEXT,__text) non-external -[CalAttendee initWithAddress:commonName:status:]
00007ff8113efdb1 (__TEXT,__text) non-external -[CalAttendee isEqual:]
00007ff8113ef82c (__TEXT,__text) non-external -[CalAttendee status]
00007ff8113f45c7 (__TEXT,__text) non-external -[CalCalendar calendarItemTypes]
00007ff8113ef597 (__TEXT,__text) non-external -[CalCalendar color]
00007ff8113f43cd (__TEXT,__text) non-external -[CalCalendar copyWithZone:]
00007ff8113f44ea (__TEXT,__text) non-external -[CalCalendar dealloc]
00007ff8113ef49d (__TEXT,__text) non-external -[CalCalendar description]
00007ff8113f4557 (__TEXT,__text) non-external -[CalCalendar group]
00007ff8113f40f2 (__TEXT,__text) non-external -[CalCalendar hash]
00007ff8113f4050 (__TEXT,__text) non-external -[CalCalendar initWithUID:type:editable:]
00007ff8113f401c (__TEXT,__text) non-external -[CalCalendar init]
00007ff8113ed611 (__TEXT,__text) non-external -[CalCalendar isEditable]
00007ff8113f411d (__TEXT,__text) non-external -[CalCalendar isEqual:]
00007ff8113f45fd (__TEXT,__text) non-external -[CalCalendar managedObjectIDString]
00007ff8113ef583 (__TEXT,__text) non-external -[CalCalendar notes]
00007ff8113f4ad0 (__TEXT,__text) non-external -[CalCalendar remoteManagedCalendarFromCalendar]
00007ff8113f45d6 (__TEXT,__text) non-external -[CalCalendar setCalendarItemTypes:]
00007ff8113ed602 (__TEXT,__text) non-external -[CalCalendar setColor:]
00007ff8113f4561 (__TEXT,__text) non-external -[CalCalendar setGroup:]
00007ff8113f4607 (__TEXT,__text) non-external -[CalCalendar setManagedObjectIDString:]
00007ff8113ed5f3 (__TEXT,__text) non-external -[CalCalendar setNotes:]
00007ff8113ed5e4 (__TEXT,__text) non-external -[CalCalendar setTitle:]
00007ff8113ef56f (__TEXT,__text) non-external -[CalCalendar title]
00007ff8113ef5ab (__TEXT,__text) non-external -[CalCalendar type]
00007ff8113ee44a (__TEXT,__text) non-external -[CalCalendar uid]
00007ff8113eecb9 (__TEXT,__text) non-external -[CalCalendarItem addAlarm:]
00007ff8113f8ab5 (__TEXT,__text) non-external -[CalCalendarItem addAlarms:]
00007ff8113ef493 (__TEXT,__text) non-external -[CalCalendarItem alarms]
00007ff8113ef489 (__TEXT,__text) non-external -[CalCalendarItem calendar]
00007ff8113f8efb (__TEXT,__text) non-external -[CalCalendarItem copyWithZone:]
00007ff8113ef439 (__TEXT,__text) non-external -[CalCalendarItem dateStamp]
00007ff8113f9018 (__TEXT,__text) non-external -[CalCalendarItem dealloc]
00007ff8113ef356 (__TEXT,__text) non-external -[CalCalendarItem description]
00007ff8113f8a8c (__TEXT,__text) non-external -[CalCalendarItem hasAlarm]
00007ff8113f8ed0 (__TEXT,__text) non-external -[CalCalendarItem hash]
00007ff8113ee84c (__TEXT,__text) non-external -[CalCalendarItem initWithTitle:UID:]
00007ff8113f8a76 (__TEXT,__text) non-external -[CalCalendarItem init]
00007ff8113f8b78 (__TEXT,__text) non-external -[CalCalendarItem isEqual:]
00007ff8113f909b (__TEXT,__text) non-external -[CalCalendarItem managedObjectIDString]
00007ff8113f8aad (__TEXT,__text) non-external -[CalCalendarItem nextAlarmDate]
00007ff8113ef461 (__TEXT,__text) non-external -[CalCalendarItem notes]
00007ff8113f8af2 (__TEXT,__text) non-external -[CalCalendarItem removeAlarm:]
00007ff8113f8b08 (__TEXT,__text) non-external -[CalCalendarItem removeAlarms:]
00007ff8113f8b1e (__TEXT,__text) non-external -[CalCalendarItem setAlarms:]
00007ff8113eecf6 (__TEXT,__text) non-external -[CalCalendarItem setCalendar:]
00007ff8113ee90f (__TEXT,__text) non-external -[CalCalendarItem setDateStamp:]
00007ff8113ee900 (__TEXT,__text) non-external -[CalCalendarItem setManagedObjectIDString:]
00007ff8113ee91e (__TEXT,__text) non-external -[CalCalendarItem setNotes:]
00007ff8113ee8cf (__TEXT,__text) non-external -[CalCalendarItem setTitle:]
00007ff8113f908c (__TEXT,__text) non-external -[CalCalendarItem setUid:]
00007ff8113ee92d (__TEXT,__text) non-external -[CalCalendarItem setUrl:]
00007ff8113ef44d (__TEXT,__text) non-external -[CalCalendarItem title]
00007ff8113ef425 (__TEXT,__text) non-external -[CalCalendarItem uid]
00007ff8113ef475 (__TEXT,__text) non-external -[CalCalendarItem url]
00007ff8113ee417 (__TEXT,__text) non-external -[CalCalendarItemPredicate calendars]
00007ff8113f89a0 (__TEXT,__text) non-external -[CalCalendarItemPredicate copyWithZone:]
00007ff8113f8a0a (__TEXT,__text) non-external -[CalCalendarItemPredicate dealloc]
00007ff8113eddab (__TEXT,__text) non-external -[CalCalendarItemPredicate initWithPredicate:calendars:]
00007ff8113f3d26 (__TEXT,__text) non-external -[CalCalendarStore agentUpdatedCache:]
00007ff8113f150d (__TEXT,__text) non-external -[CalCalendarStore autorelease]
00007ff8113f3d1a (__TEXT,__text) non-external -[CalCalendarStore calDavSharedUIDChanged:]
00007ff8113f3d20 (__TEXT,__text) non-external -[CalCalendarStore calMeCardChanged]
00007ff8113f3ece (__TEXT,__text) non-external -[CalCalendarStore calPersistanceNotification:userInfo:]
00007ff8113f1516 (__TEXT,__text) non-external -[CalCalendarStore calendarWithUID:]
00007ff8113ed2b8 (__TEXT,__text) non-external -[CalCalendarStore calendars]
00007ff8113f14f9 (__TEXT,__text) non-external -[CalCalendarStore copyWithZone:]
00007ff8113f15e1 (__TEXT,__text) non-external -[CalCalendarStore eventWithUID:occurrence:]
00007ff8113ede96 (__TEXT,__text) non-external -[CalCalendarStore eventsWithPredicate:]
00007ff8113f3d2c (__TEXT,__text) non-external -[CalCalendarStore notificationForDistributedNotification:userInfo:]
00007ff8113ede90 (__TEXT,__text) non-external -[CalCalendarStore release]
00007ff8113f3110 (__TEXT,__text) non-external -[CalCalendarStore removeCalendar:error:]
00007ff8113f2344 (__TEXT,__text) non-external -[CalCalendarStore removeEvent:span:error:]
00007ff8113f28aa (__TEXT,__text) non-external -[CalCalendarStore removeTask:error:]
00007ff8113f1502 (__TEXT,__text) non-external -[CalCalendarStore retainCount]
00007ff8113ed2af (__TEXT,__text) non-external -[CalCalendarStore retain]
00007ff8113f2b5d (__TEXT,__text) non-external -[CalCalendarStore saveCalendar:error:]
00007ff8113f1f6b (__TEXT,__text) non-external -[CalCalendarStore saveEvent:span:error:]
00007ff8113f2514 (__TEXT,__text) non-external -[CalCalendarStore saveTask:error:]
00007ff8113f1d80 (__TEXT,__text) non-external -[CalCalendarStore taskWithUID:]
00007ff8113f1916 (__TEXT,__text) non-external -[CalCalendarStore tasksWithPredicate:]
00007ff8113f5983 (__TEXT,__text) non-external -[CalEvent _createReservedDictionaryIfNeeded]
00007ff8113f5aee (__TEXT,__text) non-external -[CalEvent attachments]
00007ff8113ef774 (__TEXT,__text) non-external -[CalEvent attendees]
00007ff8113ef200 (__TEXT,__text) non-external -[CalEvent compareStartDate:]
00007ff8113f576d (__TEXT,__text) non-external -[CalEvent copyWithZone:]
00007ff8113f58b3 (__TEXT,__text) non-external -[CalEvent dealloc]
00007ff8113ef248 (__TEXT,__text) non-external -[CalEvent description]
00007ff8113ef737 (__TEXT,__text) non-external -[CalEvent endDate]
00007ff8113f5954 (__TEXT,__text) non-external -[CalEvent finalize]
00007ff8113f53d7 (__TEXT,__text) non-external -[CalEvent hash]
00007ff8113ee81d (__TEXT,__text) non-external -[CalEvent initWithTitle:UID:]
00007ff8113ee7a5 (__TEXT,__text) non-external -[CalEvent initWithTitle:startDate:endDate:UID:]
00007ff8113ef74d (__TEXT,__text) non-external -[CalEvent isAllDay]
00007ff8113f6e54 (__TEXT,__text) non-external -[CalEvent isDetached]
00007ff8113f542b (__TEXT,__text) non-external -[CalEvent isEqual:]
00007ff8113f5a41 (__TEXT,__text) non-external -[CalEvent isInvitation]
00007ff8113ef721 (__TEXT,__text) non-external -[CalEvent location]
00007ff8113f52bf (__TEXT,__text) non-external -[CalEvent nextAlarmDate]
00007ff8113ef700 (__TEXT,__text) non-external -[CalEvent occurrence]
00007ff8113ef75e (__TEXT,__text) non-external -[CalEvent recurrenceRule]
00007ff8113f6672 (__TEXT,__text) non-external -[CalEvent remoteManagedEventFromEvent]
00007ff8113f5a8f (__TEXT,__text) non-external -[CalEvent setAttachments:]
00007ff8113ef1ef (__TEXT,__text) non-external -[CalEvent setAttendees:]
00007ff8113ee8ef (__TEXT,__text) non-external -[CalEvent setEndDate:]
00007ff8113ee94d (__TEXT,__text) non-external -[CalEvent setIsAllDay:]
00007ff8113f6e65 (__TEXT,__text) non-external -[CalEvent setIsDetached:]
00007ff8113f59de (__TEXT,__text) non-external -[CalEvent setIsInvitation:]
00007ff8113ee93c (__TEXT,__text) non-external -[CalEvent setLocation:]
00007ff8113ee973 (__TEXT,__text) non-external -[CalEvent setOccurrence:]
00007ff8113eea8b (__TEXT,__text) non-external -[CalEvent setRecurrenceRule:]
00007ff8113ee8de (__TEXT,__text) non-external -[CalEvent setStartDate:]
00007ff8113ee95d (__TEXT,__text) non-external -[CalEvent startDate]
00007ff8113efa5b (__TEXT,__text) non-external -[CalEventPredicate UID]
00007ff8113efbe3 (__TEXT,__text) non-external -[CalEventPredicate copyWithZone:]
00007ff8113efc96 (__TEXT,__text) non-external -[CalEventPredicate dealloc]
00007ff8113ee439 (__TEXT,__text) non-external -[CalEventPredicate endDate]
00007ff8113efa6c (__TEXT,__text) non-external -[CalEventPredicate evaluateWithObject:]
00007ff8113edcd0 (__TEXT,__text) non-external -[CalEventPredicate initWithPredicate:startDate:endDate:UID:calendars:]
00007ff8113edcae (__TEXT,__text) non-external -[CalEventPredicate initWithPredicate:startDate:endDate:calendars:]
00007ff8113ef9f9 (__TEXT,__text) non-external -[CalEventPredicate initWithType:subpredicates:]
00007ff8113ee428 (__TEXT,__text) non-external -[CalEventPredicate startDate]
00007ff8113f09f1 (__TEXT,__text) non-external -[CalGroup _isMarkedForDeletion]
00007ff8113ed930 (__TEXT,__text) non-external -[CalGroup _setIsMarkedForDeletion:]
00007ff8113eda34 (__TEXT,__text) non-external -[CalGroup _setPassword:]
00007ff8113ed9fd (__TEXT,__text) non-external -[CalGroup _setPrincipalURL:]
00007ff8113f06b7 (__TEXT,__text) non-external -[CalGroup acAccountID]
00007ff8113f0472 (__TEXT,__text) non-external -[CalGroup copyWithZone:]
00007ff8113f05a1 (__TEXT,__text) non-external -[CalGroup dealloc]
00007ff8113f0241 (__TEXT,__text) non-external -[CalGroup description]
00007ff8113f1335 (__TEXT,__text) non-external -[CalGroup emailAddress]
00007ff8113f0829 (__TEXT,__text) non-external -[CalGroup exchangeAutodiscoverURL]
00007ff8113f07d5 (__TEXT,__text) non-external -[CalGroup exchangeRootFolderID]
00007ff8113f1312 (__TEXT,__text) non-external -[CalGroup externalServerURL]
00007ff8113f061c (__TEXT,__text) non-external -[CalGroup finalize]
00007ff8113f1358 (__TEXT,__text) non-external -[CalGroup fullName]
00007ff8113f02cf (__TEXT,__text) non-external -[CalGroup hash]
00007ff8113ed61e (__TEXT,__text) non-external -[CalGroup initWithUID:type:]
00007ff8113f0213 (__TEXT,__text) non-external -[CalGroup init]
00007ff8113f079f (__TEXT,__text) non-external -[CalGroup isDelegate]
00007ff8113f064b (__TEXT,__text) non-external -[CalGroup isEnabledForCalendar]
00007ff8113f0681 (__TEXT,__text) non-external -[CalGroup isEnabledForReminders]
00007ff8113f02fa (__TEXT,__text) non-external -[CalGroup isEqual:]
00007ff8113f070a (__TEXT,__text) non-external -[CalGroup isManuallyConfigured]
00007ff8113f096e (__TEXT,__text) non-external -[CalGroup isValidIAGroup]
00007ff8113f0a27 (__TEXT,__text) non-external -[CalGroup localMigrationIsInProgress]
00007ff8113f09e7 (__TEXT,__text) non-external -[CalGroup managedObjectIDString]
00007ff8113effcb (__TEXT,__text) non-external -[CalGroup managedObject]
00007ff8113f089a (__TEXT,__text) non-external -[CalGroup password]
00007ff8113f087d (__TEXT,__text) non-external -[CalGroup principalURL]
00007ff8113f0f5f (__TEXT,__text) non-external -[CalGroup remoteManagedGroupFromGroup]
00007ff8113f12fe (__TEXT,__text) non-external -[CalGroup serverURL]
00007ff8113ed7cd (__TEXT,__text) non-external -[CalGroup setAcAccountID:]
00007ff8113f1349 (__TEXT,__text) non-external -[CalGroup setEmailAddress:]
00007ff8113f0846 (__TEXT,__text) non-external -[CalGroup setExchangeAutodiscoverURL:]
00007ff8113f07f2 (__TEXT,__text) non-external -[CalGroup setExchangeRootFolderID:]
00007ff8113f1326 (__TEXT,__text) non-external -[CalGroup setExternalServerURL:]
00007ff8113ed804 (__TEXT,__text) non-external -[CalGroup setFullName:]
00007ff8113ed8d1 (__TEXT,__text) non-external -[CalGroup setIsDelegate:]
00007ff8113ed813 (__TEXT,__text) non-external -[CalGroup setIsEnabledForCalendar:]
00007ff8113ed872 (__TEXT,__text) non-external -[CalGroup setIsEnabledForReminders:]
00007ff8113f0740 (__TEXT,__text) non-external -[CalGroup setIsManuallyConfigured:]
00007ff8113ed79f (__TEXT,__text) non-external -[CalGroup setManagedObjectIDString:]
00007ff8113f08b7 (__TEXT,__text) non-external -[CalGroup setPassword:]
00007ff8113ed98f (__TEXT,__text) non-external -[CalGroup setServerURL:]
00007ff8113ed790 (__TEXT,__text) non-external -[CalGroup setTitle:]
00007ff8113ed99e (__TEXT,__text) non-external -[CalGroup setUseKerberos:]
00007ff8113f12e0 (__TEXT,__text) non-external -[CalGroup title]
00007ff8113f12f4 (__TEXT,__text) non-external -[CalGroup type]
00007ff8113eda6b (__TEXT,__text) non-external -[CalGroup uid]
00007ff8113f06d4 (__TEXT,__text) non-external -[CalGroup useKerberos]
00007ff8113f8013 (__TEXT,__text) non-external -[CalNthWeekDay copyWithZone:]
00007ff8113f812f (__TEXT,__text) non-external -[CalNthWeekDay dayOfTheWeek]
00007ff8113f807d (__TEXT,__text) non-external -[CalNthWeekDay dealloc]
00007ff8113f7eb0 (__TEXT,__text) non-external -[CalNthWeekDay description]
00007ff8113f7f45 (__TEXT,__text) non-external -[CalNthWeekDay hash]
00007ff8113f80e7 (__TEXT,__text) non-external -[CalNthWeekDay initWithDayOfTheWeek:weekNumber:]
00007ff8113f7f81 (__TEXT,__text) non-external -[CalNthWeekDay isEqual:]
00007ff8113f8139 (__TEXT,__text) non-external -[CalNthWeekDay weekNumber]
00007ff8113ef8a7 (__TEXT,__text) non-external -[CalPredicate copyWithZone:]
00007ff8113ef8ff (__TEXT,__text) non-external -[CalPredicate dealloc]
00007ff8113ede02 (__TEXT,__text) non-external -[CalPredicate initWithPredicate:]
00007ff8113ef941 (__TEXT,__text) non-external -[CalPredicate predicate]
00007ff8113ef896 (__TEXT,__text) non-external -[CalPredicate subpredicate]
00007ff8113f87df (__TEXT,__text) non-external -[CalRecurrenceEnd copyWithZone:]
00007ff8113f8861 (__TEXT,__text) non-external -[CalRecurrenceEnd dealloc]
00007ff8113f85e1 (__TEXT,__text) non-external -[CalRecurrenceEnd description]
00007ff8113f898c (__TEXT,__text) non-external -[CalRecurrenceEnd endDate]
00007ff8113f86ba (__TEXT,__text) non-external -[CalRecurrenceEnd hash]
00007ff8113f889c (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEndDate:]
00007ff8113f891f (__TEXT,__text) non-external -[CalRecurrenceEnd initWithOccurrenceCount:]
00007ff8113f8703 (__TEXT,__text) non-external -[CalRecurrenceEnd isEqual:]
00007ff8113f8996 (__TEXT,__text) non-external -[CalRecurrenceEnd occurrenceCount]
00007ff8113f85d1 (__TEXT,__text) non-external -[CalRecurrenceEnd usesEndDate]
00007ff8113eea9f (__TEXT,__text) non-external -[CalRecurrenceRule copyWithZone:]
00007ff8113eeb99 (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheMonth]
00007ff8113eeb8f (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheWeek]
00007ff8113f7451 (__TEXT,__text) non-external -[CalRecurrenceRule dealloc]
00007ff8113ef837 (__TEXT,__text) non-external -[CalRecurrenceRule description]
00007ff8113f7af5 (__TEXT,__text) non-external -[CalRecurrenceRule firstDayOfTheWeek]
00007ff8113f7106 (__TEXT,__text) non-external -[CalRecurrenceRule hash]
00007ff8113eea56 (__TEXT,__text) non-external -[CalRecurrenceRule initDailyRecurrenceWithInterval:end:]
00007ff8113f6f2b (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:end:]
00007ff8113f6f98 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:end:]
00007ff8113f6f63 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDaysOfTheMonth:end:]
00007ff8113f6e78 (__TEXT,__text) non-external -[CalRecurrenceRule initRecurrenceWithType:interval:forDaysOfTheWeek:forDaysOfTheMonth:forNthWeekDaysOfTheMonth:forMonthsOfTheYear:end:]
00007ff8113eeefb (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:end:]
00007ff8113ef1b7 (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:forDaysOfTheWeek:end:]
00007ff8113f7017 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:end:]
00007ff8113f7083 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:forMonthsOfTheYear:end:]
00007ff8113f704f (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forMonthsOfTheYear:end:]
00007ff8113f71e4 (__TEXT,__text) non-external -[CalRecurrenceRule isEqual:]
00007ff8113eebad (__TEXT,__text) non-external -[CalRecurrenceRule monthsOfTheYear]
00007ff8113eeba3 (__TEXT,__text) non-external -[CalRecurrenceRule nthWeekDaysOfTheMonth]
00007ff8113eebba (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceEnd]
00007ff8113eeb83 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceInterval]
00007ff8113eeb79 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceType]
00007ff8113f7675 (__TEXT,__text) non-external -[CalRecurrenceRule stringValueAsDateOnly:isFloating:]
00007ff8113ee984 (__TEXT,__text) non-external -[CalStoreRemoteCALDailyRecurrence(LegacyTranslation) convertToCalRecurrenceRule]
00007ff8113f7b01 (__TEXT,__text) non-external -[CalStoreRemoteCALMonthlyRecurrence(LegacyTranslation) convertToCalRecurrenceRule]
00007ff8113eed2a (__TEXT,__text) non-external -[CalStoreRemoteCALWeeklyRecurrence(LegacyTranslation) convertToCalRecurrenceRule]
00007ff8113f7ce5 (__TEXT,__text) non-external -[CalStoreRemoteCALYearlyRecurrence(LegacyTranslation) convertToCalRecurrenceRule]
00007ff8113ee454 (__TEXT,__text) non-external -[CalStoreRemoteManagedEvent(CalStoreUtils) expandEventsFromDate:toDate:]
00007ff8113f9f70 (__TEXT,__text) non-external -[CalTask completedDate]
00007ff8113f94a8 (__TEXT,__text) non-external -[CalTask copyWithZone:]
00007ff8113f9545 (__TEXT,__text) non-external -[CalTask dealloc]
00007ff8113f925e (__TEXT,__text) non-external -[CalTask description]
00007ff8113f9f27 (__TEXT,__text) non-external -[CalTask dueDate]
00007ff8113f9318 (__TEXT,__text) non-external -[CalTask hash]
00007ff8113f90c8 (__TEXT,__text) non-external -[CalTask initWithTitle:UID:]
00007ff8113f90f7 (__TEXT,__text) non-external -[CalTask isCompleted]
00007ff8113f9343 (__TEXT,__text) non-external -[CalTask isEqual:]
00007ff8113f914c (__TEXT,__text) non-external -[CalTask nextAlarmDate]
00007ff8113f9f4e (__TEXT,__text) non-external -[CalTask priority]
00007ff8113f9acb (__TEXT,__text) non-external -[CalTask remoteManagedTaskFromTask]
00007ff8113f9f86 (__TEXT,__text) non-external -[CalTask setCompletedDate:]
00007ff8113f9f3d (__TEXT,__text) non-external -[CalTask setDueDate:]
00007ff8113f910e (__TEXT,__text) non-external -[CalTask setIsCompleted:]
00007ff8113f9f5f (__TEXT,__text) non-external -[CalTask setPriority:]
00007ff8113f841b (__TEXT,__text) non-external -[NSDate(CalStoreUtils) calStoreNSDateWithGMT]
00007ff8113f82c4 (__TEXT,__text) non-external -[NSDate(CalStoreUtils) calStoreNSDateWithTimeZone:]
00007ff8113fc200 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00007ff8113fc25c (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00007ff8113fc28c (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00007ff8113fc218 (__TEXT,__gcc_except_tab) non-external GCC_except_table1
00007ff8113fc234 (__TEXT,__gcc_except_tab) non-external GCC_except_table5
00007ff8113fc26c (__TEXT,__gcc_except_tab) non-external GCC_except_table6
00007ff8113fc24c (__TEXT,__gcc_except_tab) non-external GCC_except_table7
00007ff8113fc27c (__TEXT,__gcc_except_tab) non-external GCC_except_table8
                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
