                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataCreateWithBytesNoCopy (from CoreFoundation)
                 (undefined) external _CFDataGetMutableBytePtr (from CoreFoundation)
                 (undefined) external _CFDictionaryCreate (from CoreFoundation)
                 (undefined) external _CFErrorCreateWithUserInfoKeysAndValues (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
000000023d0f1730 (__TEXT,__text) external _DRBufferAsResource
000000023d0eec48 (__TEXT,__text) external _DRMeshDescriptorSetVertexCapacity
000000023d0ef0c8 (__TEXT,__text) external _DRMeshDescriptorSetVertexLayout
000000023d0eeef8 (__TEXT,__text) external _DRMeshDescriptorSetVertexLayoutCount
000000023d0ef4ac (__TEXT,__text) external _DRMeshGetIndexCapacity
000000023d0ef638 (__TEXT,__text) external _DRMeshGetPartAt
000000023d0ef4c0 (__TEXT,__text) external _DRMeshGetPartCount
000000023d0ef718 (__TEXT,__text) external _DRMeshGetPartRenderFlagsAt
000000023d0ef498 (__TEXT,__text) external _DRMeshGetVertexCapacity
000000023d0efb8c (__TEXT,__text) external _DRMeshReadIndices
000000023d0efde4 (__TEXT,__text) external _DRMeshReadIndicesUsing
000000023d0ef91c (__TEXT,__text) external _DRMeshReadVertices
000000023d0efdb4 (__TEXT,__text) external _DRMeshReadVerticesUsing
000000023d0efc44 (__TEXT,__text) external _DRMeshReplaceIndices
000000023d0efe04 (__TEXT,__text) external _DRMeshReplaceIndicesUsing
000000023d0ef9fc (__TEXT,__text) external _DRMeshReplaceVertices
000000023d0efdd4 (__TEXT,__text) external _DRMeshReplaceVerticesUsing
000000023d0ef50c (__TEXT,__text) external _DRMeshSetPartAt
000000023d0ef4f8 (__TEXT,__text) external _DRMeshSetPartCount
000000023d0ef7a4 (__TEXT,__text) external _DRMeshSetPartRenderFlagsAt
000000023d0efcfc (__TEXT,__text) external _DRMeshUpdateIndices
000000023d0efdf4 (__TEXT,__text) external _DRMeshUpdateIndicesUsing
000000023d0efac4 (__TEXT,__text) external _DRMeshUpdateVertices
000000023d0efdc4 (__TEXT,__text) external _DRMeshUpdateVerticesUsing
000000023d0eebd4 (__TEXT,__text) external _DRRelease
000000023d0f16a4 (__TEXT,__text) external _DRResourceAsBuffer
000000023d0f1740 (__TEXT,__text) external _DRResourceAsMaterial
000000023d0f1540 (__TEXT,__text) external _DRResourceAsMesh
000000023d0f1608 (__TEXT,__text) external _DRResourceAsTexture
000000023d0f152c (__TEXT,__text) external _DRResourceGetClientIdentifier
000000023d0f1510 (__TEXT,__text) external _DRResourceGetIdentifier
000000023d0f17dc (__TEXT,__text) external _DRResourceIsAttachedToDevice_RemoveMeAfterVerification
000000023d0f281c (__TEXT,__text) external _DRResourcesCommitCopyEventWithDevice
000000023d0f27f0 (__TEXT,__text) external _DRResourcesCommitCopyToXPC
000000023d0f2894 (__TEXT,__text) external _DRResourcesCommitGetId
000000023d0f28a8 (__TEXT,__text) external _DRResourcesCommitGetUserPayload
000000023d0f2878 (__TEXT,__text) external _DRResourcesCommitHasEvent
000000023d0eebd0 (__TEXT,__text) external _DRRetain
000000023d0f1694 (__TEXT,__text) external _DRTextureAsResource
000000023d0f0260 (__TEXT,__text) external _DRTextureCopyDescriptor
000000023d0effe0 (__TEXT,__text) external _DRTextureCreateUnmanaged
000000023d0f00c4 (__TEXT,__text) external _DRTextureDescriptorCreate
000000023d0f0210 (__TEXT,__text) external _DRTextureDescriptorGetArrayLength
000000023d0f0148 (__TEXT,__text) external _DRTextureDescriptorGetDepth
000000023d0f0120 (__TEXT,__text) external _DRTextureDescriptorGetHeight
000000023d0f0170 (__TEXT,__text) external _DRTextureDescriptorGetMipmapLevelCount
000000023d0f0198 (__TEXT,__text) external _DRTextureDescriptorGetPixelFormat
000000023d0f0238 (__TEXT,__text) external _DRTextureDescriptorGetSwizzle
000000023d0f01c0 (__TEXT,__text) external _DRTextureDescriptorGetTextureType
000000023d0f01e8 (__TEXT,__text) external _DRTextureDescriptorGetTextureUsage
000000023d0f00f8 (__TEXT,__text) external _DRTextureDescriptorGetWidth
000000023d0f0224 (__TEXT,__text) external _DRTextureDescriptorSetArrayLength
000000023d0f015c (__TEXT,__text) external _DRTextureDescriptorSetDepth
000000023d0f0134 (__TEXT,__text) external _DRTextureDescriptorSetHeight
000000023d0f0184 (__TEXT,__text) external _DRTextureDescriptorSetMipmapLevelCount
000000023d0f01ac (__TEXT,__text) external _DRTextureDescriptorSetPixelFormat
000000023d0f024c (__TEXT,__text) external _DRTextureDescriptorSetSwizzle
000000023d0f01d4 (__TEXT,__text) external _DRTextureDescriptorSetTextureType
000000023d0f01fc (__TEXT,__text) external _DRTextureDescriptorSetTextureUsage
000000023d0f010c (__TEXT,__text) external _DRTextureDescriptorSetWidth
000000023d0f02ec (__TEXT,__text) external _DRTextureReadTexture
000000023d0f0354 (__TEXT,__text) external _DRTextureReplaceTexture
000000023d0f041c (__TEXT,__text) external _DRTextureReplaceWithMemoryResource
000000023d0f03b8 (__TEXT,__text) external _DRTextureTryReplaceTexture
000000023d0effdc (__TEXT,__text) external _DRValidateIndices
000000023d0f3998 (__TEXT,__const) non-external (was a private external) _DirectResourceVersionNumber
000000023d0f3958 (__TEXT,__const) non-external (was a private external) _DirectResourceVersionString
                 (undefined) external _IOSurfaceCreate (from IOSurface)
                 (undefined) external _IOSurfaceCreateXPCObject (from IOSurface)
                 (undefined) external _IOSurfaceGetAllocSize (from IOSurface)
                 (undefined) external _IOSurfaceGetBaseAddress (from IOSurface)
                 (undefined) external _IOSurfaceLookupFromXPCObject (from IOSurface)
                 (undefined) external _MTLCopyAllDevices (from Metal)
                 (undefined) external _MTLCopyAllDevicesWithObserver (from Metal)
                 (undefined) external _MTLCreateSystemDefaultDevice (from Metal)
                 (undefined) external _MTLRemoveDeviceObserver (from Metal)
                 (undefined) external _OBJC_CLASS_$_MTLSharedEventListener (from Metal)
                 (undefined) external _OBJC_CLASS_$_MTLSharedTextureHandle (from Metal)
                 (undefined) external _OBJC_CLASS_$_MTLTextureDescriptor (from Metal)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
000000023d0eb9fc (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000023d0eba1c (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000023d0eba38 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
0000000298e35d40 (__DATA_DIRTY,__bss) non-external __MergedGlobals
0000000298e35d50 (__DATA_DIRTY,__bss) non-external __MergedGlobals
0000000298e35d60 (__DATA_DIRTY,__bss) non-external __MergedGlobals
                 (undefined) external __NSConcreteStackBlock (from libSystem)
000000023d0ebb94 (__TEXT,__text) non-external (was a private external) __Z14ArcObjectClassv
000000023d0f2f7c (__TEXT,__text) non-external __Z14ArcObjectClassv.cold.1
000000023d0eba44 (__TEXT,__text) non-external (was a private external) __Z16ArcObjectDestroyPvP13objc_selector
000000023d0eba74 (__TEXT,__text) non-external (was a private external) __Z20ArcObjectDescriptionPvP13objc_selector
                 (undefined) external __Z22MTLAttributeFormatSize18MTLAttributeFormat (from Metal)
000000023d0ebb04 (__TEXT,__text) non-external (was a private external) __Z25ArcObjectDebugDescriptionPvP13objc_selector
000000023d0f3760 (__TEXT,__const) non-external __ZL9UUID_NULL
000000023d0f3790 (__TEXT,__const) non-external __ZL9UUID_NULL
000000023d0f3880 (__TEXT,__const) non-external __ZL9UUID_NULL
000000023d0f3890 (__TEXT,__const) non-external __ZL9UUID_NULL
000000023d0f12c8 (__TEXT,__text) non-external __ZN13ContextConfigD0Ev
000000023d0f127c (__TEXT,__text) non-external __ZN13ContextConfigD1Ev
000000023d0ebdf8 (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObject7disposeEv
000000023d0ebcac (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObjectC2EP10objc_class
000000023d0ebd94 (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObjectD0Ev
000000023d0ebd50 (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObjectD1Ev
000000023d0ebd0c (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObjectD2Ev
000000023d0f23b0 (__TEXT,__text) non-external __ZN16ClientConnectionD0Ev
000000023d0f2338 (__TEXT,__text) non-external __ZN16ClientConnectionD1Ev
000000023d0f22e8 (__TEXT,__text) non-external __ZN22ClientConnectionConfigD0Ev
000000023d0f22ac (__TEXT,__text) non-external __ZN22ClientConnectionConfigD1Ev
000000023d0f434d (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector11s_knameinitE
000000023d0f42de (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector12s_knameallocE
000000028fe8e900 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector13s_kUTF8StringE
000000023d0f42c3 (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector17s_knameUTF8StringE
000000028fe8e8f8 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector22s_krespondsToSelector_E
000000023d0f44f8 (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector26s_knamerespondsToSelector_E
000000028fe8e8f0 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector30s_kmethodSignatureForSelector_E
000000023d0f4387 (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector34s_knamemethodSignatureForSelector_E
000000028fe8e8e8 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector7s_kinitE
000000028fe8e8e0 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector8s_kallocE
000000023d0de9ac (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL11SharedEventEEaSEOS3_
000000023d0de9ac (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL19SharedEventListenerEEaSEOS3_
000000023d0de9ac (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL19SharedTextureHandleEEaSEOS3_
000000023d0de9ac (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL6BufferEEaSEOS3_
000000023d0de9ac (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL7TextureEEaSEOS3_
000000023d0de9ac (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL8ResourceEEaSEOS3_
000000023d0de9ac (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL8ResourceEEaSINS1_7TextureEEENSt3__19enable_ifIXsr3stdE16is_convertible_vIPT_PS2_EERS3_E4typeEONS0_IS8_EE
000000023d0ee174 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh10setPayloadENS_18DirectResourceSlotENS_9SharedPtrINS_20DirectMemoryResourceEEE
000000023d0ee488 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh11updatePartsEU13block_pointerFvPNS_14DirectMeshPartEmE
000000023d0ee300 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh12setPartCountEm
000000023d0f2ff8 (__TEXT,__text) non-external __ZN2re10DirectMesh12setPartCountEm.cold.1
000000023d0ee930 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh12updateBufferEmPN3MTL13CommandBufferE
000000023d0ee5d8 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh12updateBufferEmU13block_pointerFvPvmE
000000023d0ee9d8 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh13replaceBufferEmPN3MTL13CommandBufferE
000000023d0ee77c (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh13replaceBufferEmU13block_pointerFvPvmE
000000023d0ee998 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh13updateIndicesEPN3MTL13CommandBufferE
000000023d0ee6ac (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh13updateIndicesEU13block_pointerFvPvmE
000000023d0edc78 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh14attachToDeviceEPN3MTL6DeviceE
000000023d0eea40 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh14replaceIndicesEPN3MTL13CommandBufferE
000000023d0ee850 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh14replaceIndicesEU13block_pointerFvPvmE
000000023d0edb10 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh15allocateStorageERKNS_29DirectResourceCreationOptionsE
000000023d0eea80 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh15replaceInternalEPNS_9SharedPtrINS_20DirectMemoryResourceEEES3_
000000023d0ee730 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh15validateIndicesEv
000000023d0eda78 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh6createERKNS_21DirectMeshDescriptionERKNS_29DirectResourceCreationOptionsE
000000023d0ee0bc (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh8setPartsEmNS_10UnownedPtrINS_20DirectMemoryResourceEEE
000000023d0eddf4 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshC1ERKNS_21DirectMeshDescriptionE
000000023d0edd7c (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshC2ERKNS_21DirectMeshDescriptionE
000000023d0ede9c (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshD0Ev
000000023d0ede98 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshD1Ev
000000023d0eddf8 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshD2Ev
000000023d0d6dd4 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFence10invalidateEv
000000023d0f28e8 (__TEXT,__text) non-external __ZN2re11DirectFence10invalidateEv.cold.1
000000023d0d6e80 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFence20addInvalidateHandlerEONSt3__18functionIFvPS0_EEE
000000023d0d6c18 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceC1EPKc
000000023d0d6d18 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceC1EPN3MTL13CommandBufferE
000000023d0d6af0 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceC2EPKc
000000023d0d6c1c (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceC2EPN3MTL13CommandBufferE
000000023d0d6d9c (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceD0Ev
000000023d0d6d98 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceD1Ev
000000023d0d6d1c (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceD2Ev
000000023d0f28bc (__TEXT,__text) non-external __ZN2re11DirectFenceD2Ev.cold.1
000000023d0df770 (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandEPKNS_10DirectMeshE
000000023d0dfa28 (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandEPKNS_12DirectBufferE
000000023d0df6fc (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandEPKNS_13DirectTextureE
000000023d0df8e8 (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandERKNS_16DirectResourceIdEPKNS_16DirectMeshUpdateE
000000023d0dfaa4 (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandERKNS_16DirectResourceIdEPKNS_18DirectBufferUpdateE
000000023d0d832c (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer10setPayloadENS_18DirectResourceSlotENS_9SharedPtrINS_20DirectMemoryResourceEEE
000000023d0d8490 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer12setBytesUsedEm
000000023d0d808c (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer14attachToDeviceEPN3MTL6DeviceE
000000023d0d8008 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer15allocateStorageERKNS_29DirectResourceCreationOptionsE
000000023d0d824c (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer23replaceContentsInternalENS_9SharedPtrINS_20DirectMemoryResourceEEE
000000023d0d7f4c (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer6createERKNS_23DirectBufferDescriptionERKNS_29DirectResourceCreationOptionsE
000000023d0d854c (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer6updateEU13block_pointerFvPvmE
000000023d0d8678 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer7replaceEPN3MTL13CommandBufferE
000000023d0d85c8 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer7replaceEU13block_pointerFvPvmE
000000023d0d8130 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBufferC1ERKNS_23DirectBufferDescriptionE
000000023d0d81c8 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBufferD0Ev
000000023d0d81c4 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBufferD1Ev
000000023d0d817c (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBufferD2Ev
000000023d0e16b8 (__TEXT,__text) non-external (was a private external) __ZN2re12commandCountERKNS_22DirectResourceCommandsE
000000023d0dfb30 (__TEXT,__text) non-external (was a private external) __ZN2re12makeCommandsEPKNS_21DirectResourcesCommitE
000000023d0ed724 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture10setPayloadENS_18DirectResourceSlotENS_9SharedPtrINS_20DirectMemoryResourceEEE
000000023d0ed5a8 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture14attachToDeviceEPN3MTL6DeviceE
000000023d0f38a0 (__TEXT,__const) non-external (was a private external) __ZN2re13DirectTexture14kContentsUsageE
000000023d0ed18c (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture14makeDescriptorEPN3MTL7TextureE
000000023d0ed020 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture14makeDescriptorERKNS_24DirectTextureDescriptionE
000000023d0ed884 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture14replaceTextureEPN3MTL13CommandBufferE
000000023d0ed310 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture15allocateStorageERKNS_29DirectResourceCreationOptionsE
000000023d0ed8d0 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture17tryReplaceTextureEPN3MTL13CommandBufferE
000000023d0ed5b4 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture23allocateRuntimeResourceERKNS_24DirectTextureDescriptionENS_10UnownedPtrINS_20DirectMemoryResourceEEEPN3MTL6DeviceE
000000023d0ed374 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture6createENS_9SharedPtrINS_20DirectMemoryResourceEEE
000000023d0ed284 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture6createERKNS_24DirectTextureDescriptionERKNS_29DirectResourceCreationOptionsE
000000023d0ed418 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTextureC1ERKNS_24DirectTextureDescriptionE
000000023d0ed980 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTextureD0Ev
000000023d0ed928 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTextureD1Ev
000000023d0d7e10 (__TEXT,__text) non-external (was a private external) __ZN2re13lengthInBytesEN3MTL9IndexTypeE
000000023d0d7e2c (__TEXT,__text) non-external (was a private external) __ZN2re13lengthInBytesERKNS_25DirectMeshVertexAttributeERKNS_22DirectMeshVertexLayoutEm
000000023d0d8734 (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRA16_h
000000023d0d9b5c (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_16CreateDirectMeshE
000000023d0d962c (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_16DirectMeshValuesE
000000023d0d9d18 (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_16UpdateDirectMeshE
000000023d0da2c8 (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_18CreateDirectBufferE
000000023d0da154 (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_18DirectBufferValuesE
000000023d0da478 (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_18UpdateDirectBufferE
