00007ff80dab0dc0 (__TEXT,__const) non-external _DOWNCASE_TBL
00007ff80daac560 (__TEXT,__const) non-external _huff_sym_table
00007ff80daa244c (__TEXT,__text) non-external _insert
00007ff80daa6ca4 (__TEXT,__text) non-external _insert_link_dep
00007ff80daa2e59 (__TEXT,__text) non-external _lookup_token
                 (undefined) external _malloc (from libSystem)
00007ff80daa6a30 (__TEXT,__text) non-external _map_resize
00007ff8424d4d90 (__DATA,__data) non-external _mem_default
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00007ff80da9fab5 (__TEXT,__text) non-external _nghttp2_adjust_local_window_size
00007ff80da9f2f1 (__TEXT,__text) non-external _nghttp2_bufs_add
00007ff80daa40e3 (__TEXT,__text) non-external _nghttp2_bufs_addb
00007ff80daa6696 (__TEXT,__text) non-external _nghttp2_bufs_free
00007ff80daac330 (__TEXT,__text) external _nghttp2_check_authority
00007ff80da9e400 (__TEXT,__text) external _nghttp2_check_header_name
00007ff80da9e442 (__TEXT,__text) external _nghttp2_check_header_value
00007ff80daac283 (__TEXT,__text) external _nghttp2_check_header_value_rfc9113
00007ff80daac2d0 (__TEXT,__text) external _nghttp2_check_method
00007ff80daac2ff (__TEXT,__text) external _nghttp2_check_path
00007ff80daa42bc (__TEXT,__text) non-external _nghttp2_frame_add_pad
00007ff80daa6f66 (__TEXT,__text) non-external _nghttp2_frame_pack_altsvc
00007ff80daa2617 (__TEXT,__text) non-external _nghttp2_frame_pack_headers
00007ff80daa705b (__TEXT,__text) non-external _nghttp2_frame_pack_priority_update
00007ff80daa6e9e (__TEXT,__text) non-external _nghttp2_frame_pack_push_promise
00007ff80daa25df (__TEXT,__text) external _nghttp2_hd_deflate_bound
00007ff80daa4960 (__TEXT,__text) external _nghttp2_hd_deflate_change_table_size
00007ff80daa74d2 (__TEXT,__text) external _nghttp2_hd_deflate_del
00007ff80daa7659 (__TEXT,__text) external _nghttp2_hd_deflate_get_dynamic_table_size
00007ff80daa7663 (__TEXT,__text) external _nghttp2_hd_deflate_get_max_dynamic_table_size
00007ff80daa75fa (__TEXT,__text) external _nghttp2_hd_deflate_get_num_table_entries
00007ff80daa7608 (__TEXT,__text) external _nghttp2_hd_deflate_get_table_entry
00007ff80daa71be (__TEXT,__text) external _nghttp2_hd_deflate_hd
00007ff80daa2727 (__TEXT,__text) non-external _nghttp2_hd_deflate_hd_bufs
00007ff80daa72bd (__TEXT,__text) external _nghttp2_hd_deflate_hd_vec
00007ff80da9ed60 (__TEXT,__text) non-external _nghttp2_hd_deflate_init2
00007ff80daa745a (__TEXT,__text) external _nghttp2_hd_deflate_new
00007ff80daa7466 (__TEXT,__text) external _nghttp2_hd_deflate_new2
00007ff80daa7165 (__TEXT,__text) external _nghttp2_hd_inflate_change_table_size
00007ff80daa75d7 (__TEXT,__text) external _nghttp2_hd_inflate_del
00007ff80daa5b67 (__TEXT,__text) external _nghttp2_hd_inflate_end_headers
00007ff80daa663f (__TEXT,__text) non-external _nghttp2_hd_inflate_free
00007ff80daa7685 (__TEXT,__text) external _nghttp2_hd_inflate_get_dynamic_table_size
00007ff80daa768f (__TEXT,__text) external _nghttp2_hd_inflate_get_max_dynamic_table_size
00007ff80daa766d (__TEXT,__text) external _nghttp2_hd_inflate_get_num_table_entries
00007ff80daa767b (__TEXT,__text) external _nghttp2_hd_inflate_get_table_entry
00007ff80daa74f5 (__TEXT,__text) external _nghttp2_hd_inflate_hd
00007ff80daa74ff (__TEXT,__text) external _nghttp2_hd_inflate_hd2
00007ff80daa50ba (__TEXT,__text) non-external _nghttp2_hd_inflate_hd_nv
00007ff80da9ee07 (__TEXT,__text) non-external _nghttp2_hd_inflate_init
00007ff80daa7565 (__TEXT,__text) external _nghttp2_hd_inflate_new
00007ff80daa7571 (__TEXT,__text) external _nghttp2_hd_inflate_new2
00007ff80daa3c6f (__TEXT,__text) non-external _nghttp2_hd_table_get
00007ff80daac361 (__TEXT,__text) external _nghttp2_http2_strerror
00007ff80daa8b19 (__TEXT,__text) non-external _nghttp2_http_on_request_headers
00007ff80daa5bb1 (__TEXT,__text) non-external _nghttp2_http_on_response_headers
00007ff80daa88dd (__TEXT,__text) non-external _nghttp2_http_parse_priority
00007ff80daa252a (__TEXT,__text) non-external _nghttp2_http_record_request_method
00007ff80daabf71 (__TEXT,__text) non-external _nghttp2_increase_local_window_size
00007ff80daa961f (__TEXT,__text) external _nghttp2_is_fatal
00007ff80da9f70d (__TEXT,__text) non-external _nghttp2_iv_check
00007ff80daa4aa7 (__TEXT,__text) non-external _nghttp2_map_each
00007ff80da9fa1e (__TEXT,__text) non-external _nghttp2_map_find
00007ff80da9fe1a (__TEXT,__text) non-external _nghttp2_nv_array_copy
00007ff80daa710d (__TEXT,__text) external _nghttp2_nv_compare_name
00007ff80da9a2fe (__TEXT,__text) external _nghttp2_option_del
00007ff80da9a20f (__TEXT,__text) external _nghttp2_option_new
00007ff80daa698f (__TEXT,__text) external _nghttp2_option_set_builtin_recv_extension_type
00007ff80daa69d9 (__TEXT,__text) external _nghttp2_option_set_max_deflate_dynamic_table_size
00007ff80daa69f4 (__TEXT,__text) external _nghttp2_option_set_max_outbound_ack
00007ff80daa695c (__TEXT,__text) external _nghttp2_option_set_max_reserved_remote_streams
00007ff80daa69cc (__TEXT,__text) external _nghttp2_option_set_max_send_header_block_length
00007ff80daa6a02 (__TEXT,__text) external _nghttp2_option_set_max_settings
00007ff80daa69bf (__TEXT,__text) external _nghttp2_option_set_no_auto_ping_ack
00007ff80da9a248 (__TEXT,__text) external _nghttp2_option_set_no_auto_window_update
00007ff80da9a297 (__TEXT,__text) external _nghttp2_option_set_no_closed_streams
00007ff80da9a26f (__TEXT,__text) external _nghttp2_option_set_no_http_messaging
00007ff80da9a28a (__TEXT,__text) external _nghttp2_option_set_no_http_semantics
00007ff80daa6942 (__TEXT,__text) external _nghttp2_option_set_no_recv_client_magic
00007ff80daa6a1d (__TEXT,__text) external _nghttp2_option_set_no_rfc9113_leading_and_trailing_ws_validation
00007ff80da9a255 (__TEXT,__text) external _nghttp2_option_set_peer_max_concurrent_streams
00007ff80daa6a10 (__TEXT,__text) external _nghttp2_option_set_server_fallback_rfc7540_priorities
00007ff80daa6969 (__TEXT,__text) external _nghttp2_option_set_user_recv_extension_type
00007ff80da9f063 (__TEXT,__text) non-external _nghttp2_outbound_item_free
00007ff80daa94c7 (__TEXT,__text) external _nghttp2_pack_settings_payload
00007ff80daa76a1 (__TEXT,__text) non-external _nghttp2_pq_push
00007ff80daa780f (__TEXT,__text) non-external _nghttp2_pq_remove
00007ff80daa78d8 (__TEXT,__text) external _nghttp2_priority_spec_check_default
00007ff80da9fe01 (__TEXT,__text) external _nghttp2_priority_spec_default_init
00007ff80da9e790 (__TEXT,__text) external _nghttp2_priority_spec_init
00007ff80da9de9f (__TEXT,__text) external _nghttp2_rcbuf_decref
00007ff80daa8bb6 (__TEXT,__text) external _nghttp2_rcbuf_get_buf
00007ff80daa3cfc (__TEXT,__text) external _nghttp2_rcbuf_incref
00007ff80daa8bc4 (__TEXT,__text) external _nghttp2_rcbuf_is_static
00007ff80daa3d19 (__TEXT,__text) non-external _nghttp2_rcbuf_new
00007ff80daa67c0 (__TEXT,__text) external _nghttp2_select_next_protocol
00007ff80daa630d (__TEXT,__text) non-external _nghttp2_session_add_goaway
00007ff80da9f7a1 (__TEXT,__text) non-external _nghttp2_session_add_item
00007ff80daaa9ec (__TEXT,__text) non-external _nghttp2_session_add_ping
00007ff80daa9c0d (__TEXT,__text) non-external _nghttp2_session_add_rst_stream
00007ff80da9f374 (__TEXT,__text) non-external _nghttp2_session_add_settings
00007ff80da9fb5d (__TEXT,__text) non-external _nghttp2_session_add_window_update
00007ff80daa9eaa (__TEXT,__text) non-external _nghttp2_session_adjust_closed_stream
00007ff80daa1645 (__TEXT,__text) non-external _nghttp2_session_adjust_idle_stream
00007ff80da9a2eb (__TEXT,__text) external _nghttp2_session_callbacks_del
00007ff80da9a12c (__TEXT,__text) external _nghttp2_session_callbacks_new
00007ff80da9a166 (__TEXT,__text) external _nghttp2_session_callbacks_set_before_frame_send_callback
00007ff80daa68ea (__TEXT,__text) external _nghttp2_session_callbacks_set_data_source_read_length_callback
00007ff80daa6935 (__TEXT,__text) external _nghttp2_session_callbacks_set_error_callback
00007ff80da9e0b2 (__TEXT,__text) external _nghttp2_session_callbacks_set_error_callback2
00007ff80daa68f4 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_begin_frame_callback
00007ff80da9a18e (__TEXT,__text) external _nghttp2_session_callbacks_set_on_begin_headers_callback
00007ff80da9a1ac (__TEXT,__text) external _nghttp2_session_callbacks_set_on_data_chunk_recv_callback
00007ff80daa6928 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_extension_chunk_recv_callback
00007ff80da9e08a (__TEXT,__text) external _nghttp2_session_callbacks_set_on_frame_not_send_callback
00007ff80da9a198 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_frame_recv_callback
00007ff80da9a1d0 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_frame_send_callback
00007ff80da9a178 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_header_callback
00007ff80daa68c2 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_header_callback2
00007ff80da9e072 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_invalid_frame_recv_callback
00007ff80da9e09c (__TEXT,__text) external _nghttp2_session_callbacks_set_on_invalid_header_callback
00007ff80daa68d6 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_invalid_header_callback2
00007ff80da9a1c4 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_stream_close_callback
00007ff80daa690e (__TEXT,__text) external _nghttp2_session_callbacks_set_pack_extension_callback
00007ff80da9e05e (__TEXT,__text) external _nghttp2_session_callbacks_set_recv_callback
00007ff80daa68e0 (__TEXT,__text) external _nghttp2_session_callbacks_set_select_padding_callback
00007ff80da9a1e5 (__TEXT,__text) external _nghttp2_session_callbacks_set_send_callback
00007ff80da9a1f1 (__TEXT,__text) external _nghttp2_session_callbacks_set_send_data_callback
00007ff80daa691b (__TEXT,__text) external _nghttp2_session_callbacks_set_unpack_extension_callback
00007ff80daabed2 (__TEXT,__text) external _nghttp2_session_change_extpri_stream_priority
00007ff80daabd48 (__TEXT,__text) external _nghttp2_session_change_stream_priority
00007ff80daa9f7c (__TEXT,__text) external _nghttp2_session_check_request_allowed
00007ff80daabd3b (__TEXT,__text) external _nghttp2_session_check_server_session
00007ff80daa9734 (__TEXT,__text) external _nghttp2_session_client_new
00007ff80da9a2ac (__TEXT,__text) external _nghttp2_session_client_new2
00007ff80daa9796 (__TEXT,__text) external _nghttp2_session_client_new3
00007ff80daa5d53 (__TEXT,__text) non-external _nghttp2_session_close_stream
00007ff80daab699 (__TEXT,__text) external _nghttp2_session_consume
00007ff80da9ddb7 (__TEXT,__text) external _nghttp2_session_consume_connection
00007ff80da9dfc5 (__TEXT,__text) external _nghttp2_session_consume_stream
00007ff80daabdd4 (__TEXT,__text) external _nghttp2_session_create_idle_stream
00007ff80da9e55d (__TEXT,__text) external _nghttp2_session_del
00007ff80daa5f1c (__TEXT,__text) non-external _nghttp2_session_destroy_stream
00007ff80daabd1a (__TEXT,__text) external _nghttp2_session_find_stream
00007ff80daab84b (__TEXT,__text) external _nghttp2_session_get_effective_local_window_size
00007ff80daab838 (__TEXT,__text) external _nghttp2_session_get_effective_recv_data_length
00007ff80daabeb8 (__TEXT,__text) external _nghttp2_session_get_hd_deflate_dynamic_table_size
00007ff80daabeab (__TEXT,__text) external _nghttp2_session_get_hd_inflate_dynamic_table_size
00007ff80daabd0e (__TEXT,__text) external _nghttp2_session_get_last_proc_stream_id
00007ff80daab914 (__TEXT,__text) external _nghttp2_session_get_local_settings
00007ff80daab857 (__TEXT,__text) external _nghttp2_session_get_local_window_size
00007ff80da9e1c2 (__TEXT,__text) external _nghttp2_session_get_next_stream_id
00007ff80daab77b (__TEXT,__text) external _nghttp2_session_get_outbound_queue_size
00007ff80daab86b (__TEXT,__text) external _nghttp2_session_get_remote_settings
00007ff80da9a52f (__TEXT,__text) external _nghttp2_session_get_remote_window_size
00007ff80daabd31 (__TEXT,__text) external _nghttp2_session_get_root_stream
00007ff80daab7cc (__TEXT,__text) external _nghttp2_session_get_stream_effective_local_window_size
00007ff80daab796 (__TEXT,__text) external _nghttp2_session_get_stream_effective_recv_data_length
00007ff80daabc9d (__TEXT,__text) external _nghttp2_session_get_stream_local_close
00007ff80daab7fc (__TEXT,__text) external _nghttp2_session_get_stream_local_window_size
00007ff80daabcd3 (__TEXT,__text) external _nghttp2_session_get_stream_remote_close
00007ff80da9a4f9 (__TEXT,__text) external _nghttp2_session_get_stream_remote_window_size
00007ff80da9e2b5 (__TEXT,__text) external _nghttp2_session_get_stream_user_data
00007ff80da9a5d2 (__TEXT,__text) external _nghttp2_session_mem_recv
00007ff80daa9fb8 (__TEXT,__text) external _nghttp2_session_mem_send
00007ff80da9ffe2 (__TEXT,__text) non-external _nghttp2_session_mem_send_internal
00007ff80daa5c52 (__TEXT,__text) non-external _nghttp2_session_on_data_received
00007ff80daa4388 (__TEXT,__text) non-external _nghttp2_session_on_settings_received
00007ff80daa1d9a (__TEXT,__text) non-external _nghttp2_session_open_stream
00007ff80daaa326 (__TEXT,__text) non-external _nghttp2_session_pack_data
00007ff80daaa217 (__TEXT,__text) non-external _nghttp2_session_predicate_data_send
00007ff80da9e31b (__TEXT,__text) external _nghttp2_session_recv
00007ff80daa988b (__TEXT,__text) non-external _nghttp2_session_reprioritize_stream
00007ff80da9e72c (__TEXT,__text) external _nghttp2_session_resume_data
00007ff80da9a53d (__TEXT,__text) external _nghttp2_session_send
00007ff80daa97d2 (__TEXT,__text) external _nghttp2_session_server_new
00007ff80daa9844 (__TEXT,__text) external _nghttp2_session_server_new2
00007ff80daa980b (__TEXT,__text) external _nghttp2_session_server_new3
00007ff80da9a320 (__TEXT,__text) external _nghttp2_session_set_local_window_size
00007ff80da9e1dc (__TEXT,__text) external _nghttp2_session_set_next_stream_id
00007ff80da9e482 (__TEXT,__text) external _nghttp2_session_set_stream_user_data
00007ff80daabec5 (__TEXT,__text) external _nghttp2_session_set_user_data
00007ff80da9e540 (__TEXT,__text) external _nghttp2_session_terminate_session
00007ff80daa9728 (__TEXT,__text) external _nghttp2_session_terminate_session2
00007ff80daaa031 (__TEXT,__text) non-external _nghttp2_session_update_recv_connection_window_size
00007ff80daaa0c2 (__TEXT,__text) non-external _nghttp2_session_update_recv_stream_window_size
00007ff80daab9bc (__TEXT,__text) external _nghttp2_session_upgrade
00007ff80daabc23 (__TEXT,__text) external _nghttp2_session_upgrade2
00007ff80daaba22 (__TEXT,__text) non-external _nghttp2_session_upgrade_internal
00007ff80da9e2e3 (__TEXT,__text) external _nghttp2_session_want_read
00007ff80da9a477 (__TEXT,__text) external _nghttp2_session_want_write
00007ff80da9a204 (__TEXT,__text) external _nghttp2_set_debug_vprintf_callback
00007ff80daa6cf4 (__TEXT,__text) non-external _nghttp2_stream_dep_add_subtree
00007ff80daa60b9 (__TEXT,__text) non-external _nghttp2_stream_dep_remove
00007ff80daa6d59 (__TEXT,__text) non-external _nghttp2_stream_dep_remove_subtree
00007ff80daa6e69 (__TEXT,__text) external _nghttp2_stream_get_first_child
00007ff80daa6e55 (__TEXT,__text) external _nghttp2_stream_get_next_sibling
00007ff80daa6e4b (__TEXT,__text) external _nghttp2_stream_get_parent
00007ff80daa6e5f (__TEXT,__text) external _nghttp2_stream_get_previous_sibling
00007ff80daa6deb (__TEXT,__text) external _nghttp2_stream_get_state
00007ff80daa6e8b (__TEXT,__text) external _nghttp2_stream_get_stream_id
00007ff80daa6e7f (__TEXT,__text) external _nghttp2_stream_get_sum_dependency_weight
00007ff80daa6e73 (__TEXT,__text) external _nghttp2_stream_get_weight
00007ff80daabfd1 (__TEXT,__text) external _nghttp2_strerror
00007ff80daa8f29 (__TEXT,__text) external _nghttp2_submit_altsvc
00007ff80da9deef (__TEXT,__text) external _nghttp2_submit_data
00007ff80daa9541 (__TEXT,__text) external _nghttp2_submit_extension
00007ff80daa8d57 (__TEXT,__text) external _nghttp2_submit_goaway
00007ff80da9de06 (__TEXT,__text) external _nghttp2_submit_headers
00007ff80daa90dd (__TEXT,__text) external _nghttp2_submit_origin
00007ff80daa8c28 (__TEXT,__text) external _nghttp2_submit_ping
00007ff80daa8c35 (__TEXT,__text) external _nghttp2_submit_priority
00007ff80daa9305 (__TEXT,__text) external _nghttp2_submit_priority_update
00007ff80daa8dbe (__TEXT,__text) external _nghttp2_submit_push_promise
00007ff80da9e221 (__TEXT,__text) external _nghttp2_submit_request
00007ff80daa9470 (__TEXT,__text) external _nghttp2_submit_response
00007ff80daa8d3e (__TEXT,__text) external _nghttp2_submit_rst_stream
00007ff80da9a312 (__TEXT,__text) external _nghttp2_submit_settings
00007ff80daa8d7b (__TEXT,__text) external _nghttp2_submit_shutdown_notice
00007ff80daa8bec (__TEXT,__text) external _nghttp2_submit_trailer
00007ff80da9e0c6 (__TEXT,__text) external _nghttp2_submit_window_update
00007ff80daa8bd3 (__TEXT,__text) external _nghttp2_version
00007ff80daa6558 (__TEXT,__text) non-external _ob_q_free
00007ff80daa887a (__TEXT,__text) non-external _parse_uint
00007ff80daa7bdc (__TEXT,__text) non-external _parser_bare_item
00007ff80daa8688 (__TEXT,__text) non-external _parser_boolean
00007ff80daa83bb (__TEXT,__text) non-external _parser_byteseq
00007ff80daa833c (__TEXT,__text) non-external _parser_date
00007ff80daa7a27 (__TEXT,__text) non-external _parser_key
00007ff80daa81bc (__TEXT,__text) non-external _parser_number
00007ff80daa78f4 (__TEXT,__text) non-external _parser_skip_inner_list
00007ff80daa86f9 (__TEXT,__text) non-external _parser_skip_params
00007ff80daa7f58 (__TEXT,__text) non-external _parser_string
                 (undefined) external _realloc (from libSystem)
00007ff80daa6821 (__TEXT,__text) non-external _select_next_protocol
00007ff80daa1720 (__TEXT,__text) non-external _session_after_frame_sent1
00007ff80daa1bdd (__TEXT,__text) non-external _session_after_frame_sent2
00007ff80daaab34 (__TEXT,__text) non-external _session_call_error_callback
00007ff80daa4252 (__TEXT,__text) non-external _session_call_select_padding
00007ff80daa649c (__TEXT,__text) non-external _session_close_stream_on_goaway
00007ff80daaa2aa (__TEXT,__text) non-external _session_defer_stream_item
00007ff80daa9d99 (__TEXT,__text) non-external _session_detach_stream_item
00007ff80daaa816 (__TEXT,__text) non-external _session_handle_invalid_connection
00007ff80daaa87e (__TEXT,__text) non-external _session_handle_invalid_stream2
00007ff80daa41e9 (__TEXT,__text) non-external _session_headers_add_pad
00007ff80da9f13c (__TEXT,__text) non-external _session_inbound_frame_reset
00007ff80daa1cbf (__TEXT,__text) non-external _session_is_closing
00007ff80da9e7aa (__TEXT,__text) non-external _session_new
00007ff80daa9638 (__TEXT,__text) non-external _session_ob_data_push
00007ff80daa9dff (__TEXT,__text) non-external _session_ob_data_remove
00007ff80daaa7af (__TEXT,__text) non-external _session_predicate_push_response_headers_send
00007ff80daa4c53 (__TEXT,__text) non-external _session_process_headers_frame
00007ff80daab1cb (__TEXT,__text) non-external _session_process_ping_frame
00007ff80daaad02 (__TEXT,__text) non-external _session_process_priority_frame
00007ff80daab479 (__TEXT,__text) non-external _session_process_priority_update_frame
00007ff80daaafbd (__TEXT,__text) non-external _session_process_push_promise_frame
00007ff80daaaec8 (__TEXT,__text) non-external _session_process_rst_stream_frame
00007ff80daab276 (__TEXT,__text) non-external _session_process_window_update_frame
00007ff80daaa96d (__TEXT,__text) non-external _session_resume_deferred_stream_item
00007ff80daa6294 (__TEXT,__text) non-external _session_terminate_session
00007ff80daa1d05 (__TEXT,__text) non-external _session_update_consumed_size
00007ff80daaaad5 (__TEXT,__text) non-external _session_update_stream_priority
00007ff8424d2ea0 (__DATA,__const) non-external _static_table
00007ff80daa6b08 (__TEXT,__text) non-external _stream_less
00007ff80daa9770 (__TEXT,__text) non-external _stream_less.217
00007ff80daa6c62 (__TEXT,__text) non-external _stream_obq_move
00007ff80daa6b2f (__TEXT,__text) non-external _stream_obq_push
00007ff80daa6bcc (__TEXT,__text) non-external _stream_obq_remove
                 (undefined) external _strlen (from libSystem)
00007ff80da9fc0f (__TEXT,__text) non-external _submit_headers_shared_nva
00007ff80daa4b8c (__TEXT,__text) non-external _update_local_initial_window_size_func
00007ff80daa4b14 (__TEXT,__text) non-external _update_remote_initial_window_size_func
00007ff8424d4db8 (__DATA,__data) non-external _version
                 (undefined) external _vsnprintf (from libSystem)
