                 (undefined) external _BLASStateRelease (from libBLAS)
                 (undefined) external _BLASStateRetain (from libBLAS)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___cospi (from libSystem)
                 (undefined) external ___cospif (from libSystem)
                 (undefined) external ___sincos_stret (from libSystem)
                 (undefined) external ___sincosf_stret (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __get_cpu_capabilities (from libSystem)
                 (undefined) external _atan2 (from libSystem)
                 (undefined) external _atan2f (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _cblas_dgemm (from libBLAS)
                 (undefined) external _cblas_sgemm (from libBLAS)
                 (undefined) external _cos (from libSystem)
                 (undefined) external _cosf (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _log (from libSystem)
                 (undefined) external _log10 (from libSystem)
                 (undefined) external _log10f (from libSystem)
                 (undefined) external _log2 (from libSystem)
                 (undefined) external _logf (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset_pattern4 (from libSystem)
                 (undefined) external _memset_pattern8 (from libSystem)
                 (undefined) external _posix_memalign (from libSystem)
                 (undefined) external _pow (from libSystem)
                 (undefined) external _powf (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _realloc (from libSystem)
                 (undefined) external _sin (from libSystem)
                 (undefined) external _sinf (from libSystem)
                 (undefined) external _tan (from libSystem)
000000018bea78b4 (__TEXT,__text) external _vDSP_DCT_CreateSetup
000000018be87d14 (__TEXT,__text) external _vDSP_biquad
000000018be88450 (__TEXT,__text) external _vDSP_biquadD
000000018be87714 (__TEXT,__text) external _vDSP_biquad_CreateSetup
000000018be88158 (__TEXT,__text) external _vDSP_biquad_CreateSetupD
000000018be87ca8 (__TEXT,__text) external _vDSP_biquad_DestroySetup
000000018be883d4 (__TEXT,__text) external _vDSP_biquad_DestroySetupD
000000018be8795c (__TEXT,__text) external _vDSP_biquad_SetCoefficientsDouble
000000018be87b04 (__TEXT,__text) external _vDSP_biquad_SetCoefficientsSingle
000000018bec5cfc (__TEXT,__text) external _vDSP_biquadm
000000018be3c4d8 (__TEXT,__text) external _vDSP_biquadmD
000000018bec74a8 (__TEXT,__text) external _vDSP_biquadm_CopyState
000000018be690f8 (__TEXT,__text) external _vDSP_biquadm_CopyStateD
000000018bec670c (__TEXT,__text) external _vDSP_biquadm_CreateSetup
000000018be68788 (__TEXT,__text) external _vDSP_biquadm_CreateSetupD
000000018bec741c (__TEXT,__text) external _vDSP_biquadm_DestroySetup
000000018be6906c (__TEXT,__text) external _vDSP_biquadm_DestroySetupD
000000018bec7510 (__TEXT,__text) external _vDSP_biquadm_ResetState
000000018be69160 (__TEXT,__text) external _vDSP_biquadm_ResetStateD
000000018bec7030 (__TEXT,__text) external _vDSP_biquadm_SetActiveFilters
000000018be68ce4 (__TEXT,__text) external _vDSP_biquadm_SetActiveFiltersD
000000018bdeac14 (__TEXT,__text) external _vDSP_biquadm_SetCoefficientsDouble
000000018bdf2ce0 (__TEXT,__text) external _vDSP_biquadm_SetCoefficientsDoubleD
000000018bdeb270 (__TEXT,__text) external _vDSP_biquadm_SetCoefficientsSingle
000000018bdf34ec (__TEXT,__text) external _vDSP_biquadm_SetCoefficientsSingleD
000000018bdeab70 (__TEXT,__text) external _vDSP_biquadm_SetTargetsDouble
000000018bdf2c44 (__TEXT,__text) external _vDSP_biquadm_SetTargetsDoubleD
000000018bdeb1dc (__TEXT,__text) external _vDSP_biquadm_SetTargetsSingle
000000018bdf3460 (__TEXT,__text) external _vDSP_biquadm_SetTargetsSingleD
000000018bde9f5c (__TEXT,__text) external _vDSP_blkman_window
000000018be31c10 (__TEXT,__text) external _vDSP_blkman_windowD
000000018be86f0c (__TEXT,__text) external _vDSP_conv
000000018be40018 (__TEXT,__text) external _vDSP_convD
000000018bde0590 (__TEXT,__text) external _vDSP_create_fftsetup
000000018be27754 (__TEXT,__text) external _vDSP_create_fftsetupD
000000018be35e20 (__TEXT,__text) external _vDSP_ctoz
000000018be28670 (__TEXT,__text) external _vDSP_ctozD
000000018be22410 (__TEXT,__text) external _vDSP_deq22
000000018be22ac0 (__TEXT,__text) external _vDSP_deq22D
000000018be195d8 (__TEXT,__text) external _vDSP_desamp
000000018be7ebc0 (__TEXT,__text) external _vDSP_desampD
000000018bde0eb0 (__TEXT,__text) external _vDSP_destroy_fftsetup
000000018be27660 (__TEXT,__text) external _vDSP_destroy_fftsetupD
000000018be80e28 (__TEXT,__text) external _vDSP_distancesq
000000018beaedd4 (__TEXT,__text) external _vDSP_distancesqD
000000018be6d620 (__TEXT,__text) external _vDSP_dotpr
000000018bde9e5c (__TEXT,__text) external _vDSP_dotpr2
000000018be73b74 (__TEXT,__text) external _vDSP_dotpr2D
000000018bde9edc (__TEXT,__text) external _vDSP_dotpr2_s1_15
000000018bdea76c (__TEXT,__text) external _vDSP_dotpr2_s8_24
000000018be28978 (__TEXT,__text) external _vDSP_dotprD
000000018bdecf30 (__TEXT,__text) external _vDSP_dotpr_s1_15
000000018bded9c0 (__TEXT,__text) external _vDSP_dotpr_s8_24
000000018bec86f4 (__TEXT,__text) external _vDSP_f3x3
000000018be732d4 (__TEXT,__text) external _vDSP_f3x3D
000000018bec85bc (__TEXT,__text) external _vDSP_f5x5
000000018be6bcf4 (__TEXT,__text) external _vDSP_f5x5D
000000018be0b954 (__TEXT,__text) external _vDSP_fft2d_zip
000000018be14858 (__TEXT,__text) external _vDSP_fft2d_zipD
000000018be0bc3c (__TEXT,__text) external _vDSP_fft2d_zipt
000000018be6e050 (__TEXT,__text) external _vDSP_fft2d_ziptD
000000018be0b98c (__TEXT,__text) external _vDSP_fft2d_zop
000000018be32b5c (__TEXT,__text) external _vDSP_fft2d_zopD
000000018be0dc20 (__TEXT,__text) external _vDSP_fft2d_zopt
000000018bdedb94 (__TEXT,__text) external _vDSP_fft2d_zoptD
000000018be0df04 (__TEXT,__text) external _vDSP_fft2d_zrip
000000018be40a58 (__TEXT,__text) external _vDSP_fft2d_zripD
000000018be0ec38 (__TEXT,__text) external _vDSP_fft2d_zript
000000018be5048c (__TEXT,__text) external _vDSP_fft2d_zriptD
000000018be0df3c (__TEXT,__text) external _vDSP_fft2d_zrop
000000018bdfd3cc (__TEXT,__text) external _vDSP_fft2d_zropD
000000018be0ec74 (__TEXT,__text) external _vDSP_fft2d_zropt
000000018be935e0 (__TEXT,__text) external _vDSP_fft2d_zroptD
000000018be6c270 (__TEXT,__text) external _vDSP_fft3_zop
000000018bdec9e0 (__TEXT,__text) external _vDSP_fft3_zopD
000000018be28254 (__TEXT,__text) external _vDSP_fft5_zop
000000018be7ed60 (__TEXT,__text) external _vDSP_fft5_zopD
000000018be1e9ac (__TEXT,__text) external _vDSP_fft_zip
000000018be2dd2c (__TEXT,__text) external _vDSP_fft_zipD
000000018bdf07d4 (__TEXT,__text) external _vDSP_fft_zipt
000000018be19da8 (__TEXT,__text) external _vDSP_fft_ziptD
000000018be10764 (__TEXT,__text) external _vDSP_fft_zop
000000018be28c78 (__TEXT,__text) external _vDSP_fft_zopD
000000018be36d80 (__TEXT,__text) external _vDSP_fft_zopt
000000018be7f878 (__TEXT,__text) external _vDSP_fft_zoptD
000000018beadc64 (__TEXT,__text) external _vDSP_fft_zrip
000000018be7f884 (__TEXT,__text) external _vDSP_fft_zripD
000000018be800f0 (__TEXT,__text) external _vDSP_fft_zript
000000018bead054 (__TEXT,__text) external _vDSP_fft_zriptD
000000018be1d140 (__TEXT,__text) external _vDSP_fft_zrop
000000018be28cd0 (__TEXT,__text) external _vDSP_fft_zropD
000000018be76a08 (__TEXT,__text) external _vDSP_fft_zropt
000000018be3cb18 (__TEXT,__text) external _vDSP_fft_zroptD
000000018be0ec88 (__TEXT,__text) external _vDSP_fftm_zip
000000018be191b4 (__TEXT,__text) external _vDSP_fftm_zipD
000000018be0f0e8 (__TEXT,__text) external _vDSP_fftm_zipt
000000018be91958 (__TEXT,__text) external _vDSP_fftm_ziptD
000000018be0ecc0 (__TEXT,__text) external _vDSP_fftm_zop
000000018be04e1c (__TEXT,__text) external _vDSP_fftm_zopD
000000018be0f5e4 (__TEXT,__text) external _vDSP_fftm_zopt
000000018be31900 (__TEXT,__text) external _vDSP_fftm_zoptD
000000018be0f5f8 (__TEXT,__text) external _vDSP_fftm_zrip
000000018be14958 (__TEXT,__text) external _vDSP_fftm_zripD
000000018be0fa40 (__TEXT,__text) external _vDSP_fftm_zript
000000018beaebc4 (__TEXT,__text) external _vDSP_fftm_zriptD
000000018be0f630 (__TEXT,__text) external _vDSP_fftm_zrop
000000018be6b2e0 (__TEXT,__text) external _vDSP_fftm_zropD
000000018be0fa7c (__TEXT,__text) external _vDSP_fftm_zropt
000000018be6b2cc (__TEXT,__text) external _vDSP_fftm_zroptD
000000018be49600 (__TEXT,__text) external _vDSP_hamm_window
000000018be36850 (__TEXT,__text) external _vDSP_hamm_windowD
000000018bebee44 (__TEXT,__text) external _vDSP_hann_window
000000018be49958 (__TEXT,__text) external _vDSP_hann_windowD
000000018bec7918 (__TEXT,__text) external _vDSP_imgfir
000000018beaf124 (__TEXT,__text) external _vDSP_imgfirD
000000018be1c670 (__TEXT,__text) external _vDSP_maxmgv
000000018be23acc (__TEXT,__text) external _vDSP_maxmgvD
000000018be24aac (__TEXT,__text) external _vDSP_maxmgvi
000000018be254e0 (__TEXT,__text) external _vDSP_maxmgviD
000000018be1d9b4 (__TEXT,__text) external _vDSP_maxv
000000018be1dbc0 (__TEXT,__text) external _vDSP_maxvD
000000018be25f9c (__TEXT,__text) external _vDSP_maxvi
000000018be264b4 (__TEXT,__text) external _vDSP_maxviD
000000018be962c4 (__TEXT,__text) external _vDSP_meamgv
000000018bebf274 (__TEXT,__text) external _vDSP_meamgvD
000000018be72cdc (__TEXT,__text) external _vDSP_meanv
000000018bebfe08 (__TEXT,__text) external _vDSP_meanvD
000000018be7af80 (__TEXT,__text) external _vDSP_measqv
000000018be70dd8 (__TEXT,__text) external _vDSP_measqvD
000000018be1dde8 (__TEXT,__text) external _vDSP_minmgv
000000018be1e124 (__TEXT,__text) external _vDSP_minmgvD
000000018be255f4 (__TEXT,__text) external _vDSP_minmgvi
000000018be25e78 (__TEXT,__text) external _vDSP_minmgviD
000000018be265c0 (__TEXT,__text) external _vDSP_minv
000000018be26dc4 (__TEXT,__text) external _vDSP_minvD
000000018be26fec (__TEXT,__text) external _vDSP_minvi
000000018be27554 (__TEXT,__text) external _vDSP_minviD
000000018be1e7a0 (__TEXT,__text) external _vDSP_mmov
000000018be3618c (__TEXT,__text) external _vDSP_mmovD
000000018be16ce4 (__TEXT,__text) external _vDSP_mmul
000000018be8a5e4 (__TEXT,__text) external _vDSP_mmulD
000000018be6a8a0 (__TEXT,__text) external _vDSP_mtrans
000000018bdeea00 (__TEXT,__text) external _vDSP_mtransD
000000018be0a8f0 (__TEXT,__text) external _vDSP_mvessq
000000018bdf8534 (__TEXT,__text) external _vDSP_mvessqD
000000018be323b4 (__TEXT,__text) external _vDSP_normalize
000000018be1935c (__TEXT,__text) external _vDSP_normalizeD
000000018be18d90 (__TEXT,__text) external _vDSP_nzcros
000000018be1913c (__TEXT,__text) external _vDSP_nzcrosD
000000018be36d8c (__TEXT,__text) external _vDSP_polar
000000018beacfe4 (__TEXT,__text) external _vDSP_polarD
000000018be69d28 (__TEXT,__text) external _vDSP_rect
000000018be7f55c (__TEXT,__text) external _vDSP_rectD
000000018beacfa8 (__TEXT,__text) external _vDSP_rmsqv
000000018be33f00 (__TEXT,__text) external _vDSP_rmsqvD
000000018bdf4290 (__TEXT,__text) external _vDSP_svdiv
000000018be33074 (__TEXT,__text) external _vDSP_svdivD
000000018bde0100 (__TEXT,__text) external _vDSP_sve
000000018bde0928 (__TEXT,__text) external _vDSP_sveD
000000018be70aa8 (__TEXT,__text) external _vDSP_sve_svesq
000000018be70c48 (__TEXT,__text) external _vDSP_sve_svesqD
000000018be14ac0 (__TEXT,__text) external _vDSP_svemg
000000018be78524 (__TEXT,__text) external _vDSP_svemgD
000000018be14d40 (__TEXT,__text) external _vDSP_svesq
000000018be785cc (__TEXT,__text) external _vDSP_svesqD
000000018be7a500 (__TEXT,__text) external _vDSP_svs
000000018be7a624 (__TEXT,__text) external _vDSP_svsD
000000018beae7dc (__TEXT,__text) external _vDSP_vaam
000000018be2f920 (__TEXT,__text) external _vDSP_vaamD
000000018be36470 (__TEXT,__text) external _vDSP_vabs
000000018be19430 (__TEXT,__text) external _vDSP_vabsD
000000018be2ebcc (__TEXT,__text) external _vDSP_vabsi
000000018bde04d8 (__TEXT,__text) external _vDSP_vadd
000000018be1e204 (__TEXT,__text) external _vDSP_vaddD
000000018bebf8c0 (__TEXT,__text) external _vDSP_vaddi
000000018be8113c (__TEXT,__text) external _vDSP_vaddsub
000000018be814c0 (__TEXT,__text) external _vDSP_vaddsubD
000000018be2cbc4 (__TEXT,__text) external _vDSP_vam
000000018be2cce4 (__TEXT,__text) external _vDSP_vamD
000000018be7ea14 (__TEXT,__text) external _vDSP_vasbm
000000018be3c96c (__TEXT,__text) external _vDSP_vasbmD
000000018be2ce24 (__TEXT,__text) external _vDSP_vasm
000000018be33168 (__TEXT,__text) external _vDSP_vasmD
000000018be8185c (__TEXT,__text) external _vDSP_vavlin
000000018beae2e8 (__TEXT,__text) external _vDSP_vavlinD
000000018be7e4f0 (__TEXT,__text) external _vDSP_vclip
000000018bdf80f4 (__TEXT,__text) external _vDSP_vclipD
000000018be7c688 (__TEXT,__text) external _vDSP_vclipc
000000018be92f98 (__TEXT,__text) external _vDSP_vclipcD
000000018bde0424 (__TEXT,__text) external _vDSP_vclr
000000018be1e9c0 (__TEXT,__text) external _vDSP_vclrD
000000018be18d48 (__TEXT,__text) external _vDSP_vcmprs
000000018be25498 (__TEXT,__text) external _vDSP_vcmprsD
000000018be14f98 (__TEXT,__text) external _vDSP_vdbcon
000000018be3c4e8 (__TEXT,__text) external _vDSP_vdbconD
000000018bebf2b0 (__TEXT,__text) external _vDSP_vdist
000000018be6e70c (__TEXT,__text) external _vDSP_vdistD
000000018be110a0 (__TEXT,__text) external _vDSP_vdiv
000000018be70ef4 (__TEXT,__text) external _vDSP_vdivD
000000018bdf6538 (__TEXT,__text) external _vDSP_vdivi
000000018be2d0b0 (__TEXT,__text) external _vDSP_vdpsp
000000018be1b980 (__TEXT,__text) external _vDSP_venvlp
000000018be40c48 (__TEXT,__text) external _vDSP_venvlpD
000000018bdf2b34 (__TEXT,__text) external _vDSP_veqvi
000000018be358c0 (__TEXT,__text) external _vDSP_vfill
000000018be33260 (__TEXT,__text) external _vDSP_vfillD
000000018be2d554 (__TEXT,__text) external _vDSP_vfilli
000000018bec756c (__TEXT,__text) external _vDSP_vfix16
000000018be1e858 (__TEXT,__text) external _vDSP_vfix16D
000000018be716ec (__TEXT,__text) external _vDSP_vfix32
000000018bdfca30 (__TEXT,__text) external _vDSP_vfix32D
000000018be314b8 (__TEXT,__text) external _vDSP_vfix8
000000018be91968 (__TEXT,__text) external _vDSP_vfix8D
000000018be74c88 (__TEXT,__text) external _vDSP_vfixr16
000000018be5786c (__TEXT,__text) external _vDSP_vfixr16D
000000018bdee4d4 (__TEXT,__text) external _vDSP_vfixr32
000000018be70e10 (__TEXT,__text) external _vDSP_vfixr32D
000000018be81b24 (__TEXT,__text) external _vDSP_vfixr8
000000018bdec9b4 (__TEXT,__text) external _vDSP_vfixr8D
000000018beaeb94 (__TEXT,__text) external _vDSP_vfixru16
000000018be7f848 (__TEXT,__text) external _vDSP_vfixru16D
000000018be40c18 (__TEXT,__text) external _vDSP_vfixru32
000000018be04dec (__TEXT,__text) external _vDSP_vfixru32D
000000018bdedbb0 (__TEXT,__text) external _vDSP_vfixru8
000000018be70e40 (__TEXT,__text) external _vDSP_vfixru8D
000000018be820c0 (__TEXT,__text) external _vDSP_vfixu16
000000018be922e4 (__TEXT,__text) external _vDSP_vfixu16D
000000018be95c80 (__TEXT,__text) external _vDSP_vfixu32
000000018be2d234 (__TEXT,__text) external _vDSP_vfixu32D
000000018be81e24 (__TEXT,__text) external _vDSP_vfixu8
000000018be6a708 (__TEXT,__text) external _vDSP_vfixu8D
000000018bec7700 (__TEXT,__text) external _vDSP_vflt16
000000018bec2ebc (__TEXT,__text) external _vDSP_vflt16D
000000018be7c458 (__TEXT,__text) external _vDSP_vflt24
000000018be765c4 (__TEXT,__text) external _vDSP_vflt32
000000018be377b4 (__TEXT,__text) external _vDSP_vflt32D
000000018beae3ec (__TEXT,__text) external _vDSP_vflt8
000000018be40cac (__TEXT,__text) external _vDSP_vflt8D
000000018be7afb8 (__TEXT,__text) external _vDSP_vfltsm24
000000018be378a4 (__TEXT,__text) external _vDSP_vfltsmu24
000000018be33ccc (__TEXT,__text) external _vDSP_vfltu16
000000018be82408 (__TEXT,__text) external _vDSP_vfltu16D
000000018be71514 (__TEXT,__text) external _vDSP_vfltu24
000000018be4b354 (__TEXT,__text) external _vDSP_vfltu32
000000018be887c0 (__TEXT,__text) external _vDSP_vfltu32D
000000018be2676c (__TEXT,__text) external _vDSP_vfltu8
000000018be6ba88 (__TEXT,__text) external _vDSP_vfltu8D
000000018be771d0 (__TEXT,__text) external _vDSP_vfrac
000000018be2d5d8 (__TEXT,__text) external _vDSP_vfracD
000000018be72350 (__TEXT,__text) external _vDSP_vgathr
000000018bdfc180 (__TEXT,__text) external _vDSP_vgathrD
000000018be1fb94 (__TEXT,__text) external _vDSP_vgathra
000000018be47e3c (__TEXT,__text) external _vDSP_vgathraD
000000018be7619c (__TEXT,__text) external _vDSP_vgen
000000018be7fd20 (__TEXT,__text) external _vDSP_vgenD
000000018bea94b8 (__TEXT,__text) external _vDSP_vgenp
000000018be146f0 (__TEXT,__text) external _vDSP_vgenpD
000000018be26ce0 (__TEXT,__text) external _vDSP_viclip
000000018be96450 (__TEXT,__text) external _vDSP_viclipD
000000018be826f4 (__TEXT,__text) external _vDSP_vindex
000000018be87178 (__TEXT,__text) external _vDSP_vindexD
000000018be83a94 (__TEXT,__text) external _vDSP_vintb
000000018be42b00 (__TEXT,__text) external _vDSP_vintbD
000000018be576ec (__TEXT,__text) external _vDSP_vlim
000000018bebf188 (__TEXT,__text) external _vDSP_vlimD
000000018be871a8 (__TEXT,__text) external _vDSP_vlint
000000018be7d44c (__TEXT,__text) external _vDSP_vlintD
000000018bde03ac (__TEXT,__text) external _vDSP_vma
000000018be33f3c (__TEXT,__text) external _vDSP_vmaD
000000018be73d00 (__TEXT,__text) external _vDSP_vmax
000000018be1ea38 (__TEXT,__text) external _vDSP_vmaxD
000000018be37dc0 (__TEXT,__text) external _vDSP_vmaxmg
000000018bea8a6c (__TEXT,__text) external _vDSP_vmaxmgD
000000018be743c0 (__TEXT,__text) external _vDSP_vmin
000000018be1f4a8 (__TEXT,__text) external _vDSP_vminD
000000018be6a230 (__TEXT,__text) external _vDSP_vminmg
000000018be1dfe8 (__TEXT,__text) external _vDSP_vminmgD
000000018be1bd00 (__TEXT,__text) external _vDSP_vmma
000000018be5eb58 (__TEXT,__text) external _vDSP_vmmaD
000000018be681b0 (__TEXT,__text) external _vDSP_vmmsb
000000018be26b34 (__TEXT,__text) external _vDSP_vmmsbD
000000018be7374c (__TEXT,__text) external _vDSP_vmsa
000000018be34068 (__TEXT,__text) external _vDSP_vmsaD
000000018be73788 (__TEXT,__text) external _vDSP_vmsb
000000018be341f0 (__TEXT,__text) external _vDSP_vmsbD
000000018bde03e8 (__TEXT,__text) external _vDSP_vmul
000000018be1f620 (__TEXT,__text) external _vDSP_vmulD
000000018be6b3b4 (__TEXT,__text) external _vDSP_vnabs
000000018be86c88 (__TEXT,__text) external _vDSP_vnabsD
000000018be737c4 (__TEXT,__text) external _vDSP_vneg
000000018be3431c (__TEXT,__text) external _vDSP_vnegD
000000018be82aa0 (__TEXT,__text) external _vDSP_vpoly
000000018be80c70 (__TEXT,__text) external _vDSP_vpolyD
000000018be83688 (__TEXT,__text) external _vDSP_vpythg
000000018be18b74 (__TEXT,__text) external _vDSP_vpythgD
000000018be83d54 (__TEXT,__text) external _vDSP_vqint
000000018be779c8 (__TEXT,__text) external _vDSP_vqintD
000000018be1b9f0 (__TEXT,__text) external _vDSP_vramp
000000018be1f8e0 (__TEXT,__text) external _vDSP_vrampD
000000018bde0bb0 (__TEXT,__text) external _vDSP_vrampmul
000000018bdeefe8 (__TEXT,__text) external _vDSP_vrampmul2
000000018be1c618 (__TEXT,__text) external _vDSP_vrampmul2D
000000018bdef848 (__TEXT,__text) external _vDSP_vrampmul2_s1_15
000000018bdeff58 (__TEXT,__text) external _vDSP_vrampmul2_s8_24
000000018be36b2c (__TEXT,__text) external _vDSP_vrampmulD
000000018bdf064c (__TEXT,__text) external _vDSP_vrampmul_s1_15
000000018bdf078c (__TEXT,__text) external _vDSP_vrampmul_s8_24
000000018be7fd80 (__TEXT,__text) external _vDSP_vrampmuladd
000000018bdf07e0 (__TEXT,__text) external _vDSP_vrampmuladd2
000000018be69ccc (__TEXT,__text) external _vDSP_vrampmuladd2D
000000018bdf110c (__TEXT,__text) external _vDSP_vrampmuladd2_s1_15
000000018bdf12ac (__TEXT,__text) external _vDSP_vrampmuladd2_s8_24
000000018be1b550 (__TEXT,__text) external _vDSP_vrampmuladdD
000000018bdf1720 (__TEXT,__text) external _vDSP_vrampmuladd_s1_15
000000018bdeea60 (__TEXT,__text) external _vDSP_vrampmuladd_s8_24
000000018be84a00 (__TEXT,__text) external _vDSP_vrsum
000000018be6b284 (__TEXT,__text) external _vDSP_vrsumD
000000018be7a6cc (__TEXT,__text) external _vDSP_vrvrs
000000018be2204c (__TEXT,__text) external _vDSP_vrvrsD
000000018be73800 (__TEXT,__text) external _vDSP_vsadd
000000018be21d8c (__TEXT,__text) external _vDSP_vsaddD
000000018be84d30 (__TEXT,__text) external _vDSP_vsaddi
000000018be7383c (__TEXT,__text) external _vDSP_vsbm
000000018be344c4 (__TEXT,__text) external _vDSP_vsbmD
000000018bead9ec (__TEXT,__text) external _vDSP_vsbsbm
000000018be69494 (__TEXT,__text) external _vDSP_vsbsbmD
000000018be2f3c0 (__TEXT,__text) external _vDSP_vsbsm
000000018be3519c (__TEXT,__text) external _vDSP_vsbsmD
000000018be2f67c (__TEXT,__text) external _vDSP_vsdiv
000000018be35294 (__TEXT,__text) external _vDSP_vsdivD
000000018be42ad0 (__TEXT,__text) external _vDSP_vsdivi
000000018be22b28 (__TEXT,__text) external _vDSP_vsimps
000000018be3eda0 (__TEXT,__text) external _vDSP_vsimpsD
000000018be73878 (__TEXT,__text) external _vDSP_vsma
000000018be352c8 (__TEXT,__text) external _vDSP_vsmaD
000000018bdfbd54 (__TEXT,__text) external _vDSP_vsmfix24
000000018be91ed8 (__TEXT,__text) external _vDSP_vsmfixu24
000000018be738b4 (__TEXT,__text) external _vDSP_vsmsa
000000018be353ac (__TEXT,__text) external _vDSP_vsmsaD
000000018be2f6b0 (__TEXT,__text) external _vDSP_vsmsb
000000018be3569c (__TEXT,__text) external _vDSP_vsmsbD
000000018be738f0 (__TEXT,__text) external _vDSP_vsmsma
000000018bebf79c (__TEXT,__text) external _vDSP_vsmsmaD
000000018bde049c (__TEXT,__text) external _vDSP_vsmul
000000018be22090 (__TEXT,__text) external _vDSP_vsmulD
000000018bdeb9a0 (__TEXT,__text) external _vDSP_vsort
000000018beaeb38 (__TEXT,__text) external _vDSP_vsortD
000000018bebfe40 (__TEXT,__text) external _vDSP_vsorti
000000018beb8290 (__TEXT,__text) external _vDSP_vsortiD
000000018be2facc (__TEXT,__text) external _vDSP_vspdp
000000018be7392c (__TEXT,__text) external _vDSP_vsq
000000018be31914 (__TEXT,__text) external _vDSP_vsqD
000000018be31b5c (__TEXT,__text) external _vDSP_vssq
000000018be32158 (__TEXT,__text) external _vDSP_vssqD
000000018be73968 (__TEXT,__text) external _vDSP_vsub
000000018be22228 (__TEXT,__text) external _vDSP_vsubD
000000018be8ef38 (__TEXT,__text) external _vDSP_vswap
000000018be888ac (__TEXT,__text) external _vDSP_vswapD
000000018be8dc08 (__TEXT,__text) external _vDSP_vswmax
000000018bde3ac8 (__TEXT,__text) external _vDSP_vswmaxD
000000018be85230 (__TEXT,__text) external _vDSP_vswsum
000000018be8d8c0 (__TEXT,__text) external _vDSP_vswsumD
